from_stop,AH,AL,AN,AW,BG,BH,BO,BS,BX,BY,CC,CD,CE,CK,DI,DV,EE,FG,GE,GK,GM,GN,GR,HM,HN,HV,HX,ID,IJ,IM,IO,JC,JF,JK,JL,JU,KI,KW,KX,LB,LT,MF,ML,NL,OG,OP,OU,PJ,PM,PO,PS,PY,QL,QN,QO,QX,RC,RQ,RT,RU,RW,SA,SL,SV,SW,TB,TM,TT,UE,UV,UW,UX,VH,VZ,WB,WQ,WX,XN,XS,YA,YM,YQ,YU,ZB,ZE
AH,0.0,730.3,301.6,616.8,563.7,561.5,2798.2,261.4,370.7,182.8,47.6,379.6,389.3,591.5,591.1,516.6,305.9,271.5,564.6,485.5,39.7,326.6,612.7,531.8,570.5,352.6,767.2,313.7,458.3,423.1,707.0,493.0,444.3,417.2,705.5,561.9,75.0,587.0,610.1,502.6,542.4,541.0,896.8,782.6,544.8,338.2,439.6,723.2,398.6,436.3,558.1,294.8,333.8,404.5,551.7,649.2,508.2,583.4,347.4,480.3,625.7,267.2,525.2,296.7,318.8,569.9,530.5,507.7,524.4,927.8,310.5,203.4,296.5,405.3,406.1,462.6,983.6,417.1,582.7,446.2,499.4,625.1,369.8,756.7,691.8
AL,803.7,0.0,572.7,410.4,547.4,545.2,2168.8,532.5,641.8,587.8,740.2,446.1,660.4,575.2,384.7,787.7,577.0,542.6,835.7,756.6,750.7,597.7,596.4,677.1,841.6,552.4,137.8,584.8,729.4,694.2,26.8,764.1,715.4,688.3,152.2,833.0,703.6,858.1,593.8,773.7,336.0,812.1,196.1,81.9,338.4,477.3,710.7,131.4,669.7,707.4,829.2,565.9,604.9,549.8,345.3,442.8,301.8,854.5,618.5,464.0,122.7,488.4,508.9,496.5,589.9,363.5,514.2,491.4,795.5,227.1,581.6,557.7,567.6,425.9,677.2,733.7,282.9,688.2,853.8,717.3,644.7,896.2,640.9,56.0,100.0
AN,330.2,547.9,0.0,434.4,381.3,379.1,2615.8,40.4,69.0,114.3,266.7,197.2,87.6,315.0,408.7,214.9,4.2,30.0,262.9,183.8,277.2,24.9,388.3,349.4,268.8,170.2,584.8,12.0,156.6,121.4,524.6,191.3,142.6,115.5,523.1,260.2,230.1,285.3,427.7,200.9,360.0,239.3,714.4,600.2,362.4,155.8,137.9,540.8,96.9,134.6,256.4,80.3,32.1,222.1,369.3,466.8,325.8,281.7,45.7,297.9,443.3,84.8,342.8,114.3,17.1,387.5,348.1,325.3,222.7,745.4,52.1,84.2,52.3,222.9,104.4,160.9,801.2,115.4,281.0,144.5,317.0,323.4,68.1,574.3,509.4
AW,643.7,383.9,412.7,0.0,387.4,385.2,2451.8,372.5,481.8,427.8,580.2,286.1,500.4,415.2,21.4,627.7,417.0,382.6,675.7,594.2,590.7,437.7,386.8,517.1,681.6,392.4,428.9,424.8,569.4,534.2,360.6,604.1,555.4,528.3,359.1,672.2,543.6,698.1,433.8,613.7,113.5,652.1,550.4,436.2,174.4,317.3,550.7,376.8,509.7,547.4,669.2,405.9,444.9,399.5,122.8,220.3,96.0,694.5,458.5,304.0,279.3,328.4,348.9,336.5,429.9,141.0,354.2,331.4,635.5,566.3,421.6,397.7,407.6,265.9,517.2,573.7,637.2,528.2,693.8,557.3,484.7,744.0,480.9,410.3,345.4
BG,590.3,473.9,359.3,360.4,0.0,122.4,2541.8,319.1,428.4,374.4,526.8,232.7,447.0,247.6,334.7,574.3,363.6,329.2,622.3,540.8,537.3,384.3,219.2,463.7,628.2,339.0,510.8,371.4,516.0,480.8,450.6,550.7,502.0,474.9,449.1,618.8,490.2,644.7,171.0,560.3,286.0,598.7,640.4,526.2,288.4,263.9,497.3,466.8,456.3,494.0,615.8,352.5,391.5,346.1,295.3,392.8,251.8,641.1,405.1,182.5,369.3,275.0,38.4,283.1,376.5,313.5,91.4,193.2,582.1,656.3,368.2,344.3,354.2,212.5,463.8,520.3,727.2,474.8,640.4,503.9,431.3,690.6,427.5,500.3,435.4
BH,598.1,442.9,367.1,329.4,112.4,0.0,2510.8,326.9,436.2,382.2,534.6,240.5,454.8,255.4,303.7,582.1,371.4,337.0,630.1,551.0,545.1,392.1,276.6,471.5,636.0,346.8,479.8,379.2,523.8,488.6,419.6,558.5,509.8,482.7,418.1,627.4,498.0,652.5,48.5,568.1,255.0,606.5,609.4,495.2,257.4,271.7,505.1,435.8,464.1,501.8,623.6,360.3,399.3,344.2,264.3,361.8,220.8,648.9,412.9,60.0,338.3,282.8,73.9,290.9,384.3,282.5,74.8,70.7,589.9,640.4,376.0,352.1,362.0,220.3,471.6,528.1,696.2,482.6,648.2,511.7,439.1,690.6,435.3,469.3,404.4
BO,2741.7,2058.9,2510.7,2348.4,2485.4,2483.2,0.0,2470.5,2579.8,2525.8,2678.2,2384.1,2598.4,2513.2,2322.7,2725.7,2515.0,2480.6,2773.7,2694.6,2688.7,2535.7,2534.4,2615.1,2779.6,2490.4,2066.0,2522.8,2667.4,2632.2,2035.6,2702.1,2653.4,2626.3,2090.2,2771.0,2641.6,2796.1,2531.8,2711.7,2274.0,2750.1,2225.4,2111.2,2276.4,2415.3,2648.7,2069.4,2607.7,2645.4,2767.2,2512.3,2542.9,2487.8,2283.3,2380.8,2239.8,2792.5,2556.5,2402.0,2060.7,2426.4,2446.9,2434.5,2527.9,2301.5,2452.2,2429.4,2733.5,2256.4,2519.6,2495.7,2505.6,2363.9,2615.2,2671.7,2312.2,2626.2,2791.8,2655.3,2582.7,2834.2,2578.9,2085.3,2038.0
BS,289.7,507.4,40.1,393.9,340.8,338.6,2575.3,0.0,109.2,73.8,226.2,156.7,127.8,368.6,368.2,255.1,44.4,10.0,303.1,224.0,236.7,65.1,389.8,308.9,309.0,129.7,544.3,52.2,196.8,161.6,484.1,231.5,182.8,155.7,482.6,300.4,189.6,325.5,387.2,241.1,319.5,279.5,673.9,559.7,321.9,115.3,178.1,500.3,137.1,174.8,296.6,33.3,72.3,181.6,328.8,426.3,285.3,321.9,85.9,257.4,402.8,44.3,302.3,73.8,57.3,347.0,307.6,284.8,262.9,704.9,49.0,43.7,35.0,182.4,144.6,201.1,760.7,155.6,321.2,184.7,276.5,363.6,108.3,533.8,468.9
BX,424.3,642.0,94.0,528.5,475.4,473.2,2709.9,134.5,0.0,208.4,360.8,291.3,157.0,384.4,502.8,284.3,89.7,124.1,332.3,250.8,371.3,94.3,457.7,443.5,338.2,264.3,678.9,81.4,226.0,190.8,618.7,260.7,212.0,184.9,617.2,328.8,324.2,354.7,521.8,270.3,454.1,308.7,808.5,694.3,456.5,249.9,207.3,634.9,166.3,204.0,325.8,182.8,101.5,325.9,463.4,560.9,419.9,351.1,115.1,392.0,537.4,176.6,436.9,208.4,86.5,481.6,442.2,419.4,292.1,824.4,146.2,178.3,146.4,317.0,173.8,230.3,895.3,184.8,350.4,213.9,411.1,400.6,137.5,668.4,603.5
BY,251.2,562.8,134.1,449.3,396.2,394.0,2630.7,93.9,203.2,0.0,187.7,212.1,221.8,424.0,423.6,349.1,138.4,104.0,397.1,318.0,198.2,159.1,445.2,364.3,403.0,185.1,599.7,146.2,290.8,255.6,539.5,325.5,276.8,249.7,538.0,394.4,151.1,419.5,442.6,335.1,374.9,373.5,729.3,615.1,377.3,170.7,272.1,555.7,231.1,268.8,390.6,135.7,166.3,237.0,384.2,481.7,340.7,415.9,179.9,312.8,458.2,99.7,357.7,129.2,151.3,402.4,363.0,340.2,356.9,760.3,143.0,35.9,129.0,237.8,238.6,295.1,816.1,249.6,415.2,278.7,331.9,457.6,202.3,589.2,524.3
