from_stop,AD,AF,AJ,AR,AS,AV,AY,BB,BI,BL,BX,CM,CO,DL,DO,DR,DY,EA,ED,EH,EK,EN,ET,EU,EV,FA,FF,FK,GJ,GN,GQ,GV,GY,HC,HN,IJ,IO,IS,IX,JH,JM,JO,KM,KO,KR,LI,LJ,LR,LT,MF,MP,MU,MV,NH,NY,OC,OR,OW,OY,PI,PL,PR,PW,PY,QZ,RP,RV,SZ,TL,UL,UZ,VO,VW,VZ,WH,WL,WR,WW,WY,XH,XL,XP,XQ,XR,XS,YD,YG,YI,YK,YQ,YZ,ZC,ZD,ZW
AD,0.0,256.4,475.0,215.8,271.6,211.3,320.7,116.8,327.1,183.4,536.0,503.5,450.9,418.8,100.4,478.9,87.4,149.4,419.7,461.2,98.6,111.1,99.8,477.5,335.6,126.6,250.5,71.8,394.8,466.2,469.1,68.6,93.3,195.5,407.9,81.0,45.6,137.3,62.4,459.3,440.3,394.9,388.0,78.0,82.9,69.6,79.6,76.3,395.9,284.9,110.4,270.9,484.0,266.1,300.0,145.0,337.5,115.0,393.7,471.2,86.5,409.0,375.5,431.4,498.8,376.7,389.6,314.6,433.8,51.5,83.2,367.7,119.1,421.1,419.7,387.0,218.0,223.3,494.5,103.5,127.0,466.3,497.5,244.8,396.1,471.2,170.0,160.9,1936.7,467.3,15.6,180.7,104.5,463.0
AF,268.3,0.0,317.6,329.6,214.0,325.1,235.2,249.3,223.6,170.9,378.6,346.1,333.9,261.4,240.6,372.2,254.2,298.2,335.2,389.3,232.8,251.3,263.8,320.1,232.1,205.1,177.8,200.2,310.3,308.8,311.7,203.2,242.1,113.2,304.4,298.3,258.6,231.9,217.0,301.9,282.9,371.3,230.6,244.8,190.8,248.1,228.4,234.8,311.4,231.8,256.7,213.3,326.6,385.0,242.4,332.2,199.2,216.7,289.5,313.8,220.3,392.7,309.0,324.8,341.4,310.2,330.9,176.3,276.4,227.9,255.0,283.2,225.0,331.7,262.3,320.5,44.0,139.0,337.1,252.3,275.8,308.9,340.1,187.2,238.7,380.8,200.0,309.7,2065.6,309.9,283.9,141.6,253.3,321.8
AJ,439.9,413.6,0.0,416.1,212.6,411.6,276.4,484.9,282.8,351.7,114.9,28.4,98.7,97.9,434.7,54.5,445.6,379.8,195.6,74.3,394.7,445.4,457.9,47.3,230.9,367.0,267.1,389.3,150.1,79.2,6.4,386.1,348.4,331.0,140.9,423.9,404.2,426.7,420.4,17.3,97.5,107.0,105.7,455.0,400.4,446.7,361.2,429.7,220.9,240.6,451.5,213.3,107.6,469.9,184.2,357.4,280.2,378.6,126.0,68.1,369.5,128.4,195.9,161.3,35.5,194.7,138.7,302.9,69.3,431.3,416.9,177.8,386.9,168.2,61.3,184.8,375.2,292.2,79.8,338.3,392.0,89.9,94.4,239.2,89.1,63.1,361.9,391.3,2222.3,74.7,455.5,303.5,381.7,86.6
AR,187.2,347.3,416.0,0.0,275.4,4.5,335.6,142.7,324.0,275.4,457.0,388.5,351.0,322.6,217.1,379.0,148.6,30.5,326.2,361.3,205.8,227.8,234.5,389.4,332.5,250.9,236.3,136.6,315.2,494.5,422.4,133.4,95.7,216.4,306.0,215.7,196.0,187.7,169.6,433.3,460.0,295.0,352.7,158.0,147.7,217.8,108.5,183.5,331.8,260.2,163.6,274.7,464.6,188.1,303.8,73.3,299.6,262.5,293.8,410.2,116.8,352.8,379.3,366.3,368.1,379.3,289.7,276.7,339.9,158.7,234.8,385.5,238.0,338.7,422.6,402.8,308.3,314.2,398.5,85.6,85.3,469.2,344.4,248.6,336.1,371.3,260.9,19.4,1854.6,373.4,202.8,207.8,125.8,363.1
AS,259.0,200.9,244.2,254.0,0.0,249.5,63.7,322.8,70.1,139.0,285.2,216.7,179.2,150.8,222.0,207.2,283.5,217.7,148.0,189.5,182.0,232.7,245.2,217.6,78.6,154.3,54.4,227.2,123.1,338.7,250.6,224.0,186.3,118.3,136.2,261.8,242.1,264.6,207.7,261.5,312.8,123.2,180.9,277.0,238.3,234.0,199.1,217.0,124.2,27.9,289.4,0.6,292.8,257.2,28.3,195.3,67.5,165.9,122.0,238.4,207.4,137.3,103.8,167.7,196.3,105.0,117.9,90.2,168.1,218.6,204.2,96.0,174.2,149.4,292.2,115.3,162.5,137.5,226.7,176.2,229.9,338.8,172.6,26.5,172.8,199.5,149.2,229.2,1928.7,201.6,274.6,90.8,219.6,191.3
AV,182.7,351.0,411.5,4.5,270.9,0.0,331.1,122.8,319.5,279.9,452.5,384.0,346.5,318.1,168.1,374.5,153.1,26.0,321.7,356.8,201.3,178.8,185.5,384.9,328.0,255.4,231.8,132.1,310.7,490.0,417.9,128.9,91.2,211.9,301.5,166.7,147.0,192.2,165.1,428.8,455.5,290.5,348.2,162.5,143.2,168.8,104.0,179.0,327.3,255.7,168.1,270.2,460.1,183.6,299.3,77.8,295.1,217.7,289.3,405.7,112.3,304.6,374.8,361.8,363.6,374.8,285.2,272.2,335.4,154.2,185.8,379.1,242.5,334.2,418.1,398.3,312.8,318.7,394.0,81.1,89.8,464.7,339.9,244.1,331.6,366.8,265.4,14.9,1850.1,368.9,198.3,203.3,130.3,358.6
AY,303.9,215.8,283.7,333.6,79.5,329.1,0.0,360.0,50.6,183.9,344.7,245.1,220.2,179.2,266.9,248.2,331.3,297.3,162.2,230.5,226.9,277.6,290.1,286.2,59.1,199.2,99.3,306.8,137.3,274.9,277.8,303.6,265.9,163.2,150.4,328.4,271.6,379.2,252.6,268.0,265.0,202.8,196.7,321.9,317.9,278.9,278.7,261.9,136.2,60.0,355.1,78.8,292.7,302.1,107.9,274.9,28.0,210.8,162.9,279.9,287.0,224.8,118.0,145.6,224.7,118.0,196.7,50.7,196.5,263.5,249.1,112.1,219.1,148.9,228.4,106.9,176.8,140.3,255.1,255.8,309.5,275.0,306.2,71.4,204.8,240.5,194.1,308.8,2008.3,230.0,319.5,135.7,299.2,232.3
BB,126.5,266.5,485.1,139.1,258.8,134.6,331.9,0.0,338.3,194.6,546.8,513.6,434.8,428.9,167.4,462.8,50.1,171.4,430.9,448.4,165.0,178.1,163.9,487.6,322.8,170.1,261.7,115.9,406.0,452.3,455.2,115.1,115.3,205.6,419.1,165.4,130.0,78.6,128.8,469.4,442.4,379.2,398.1,39.9,130.5,136.0,101.6,122.8,315.2,267.6,54.5,258.1,494.8,289.9,311.6,139.9,323.6,161.1,378.3,481.3,73.9,392.9,386.7,417.5,451.9,386.7,373.5,324.7,419.9,97.6,129.3,354.9,133.2,431.4,429.8,398.9,227.5,233.4,480.6,105.2,101.8,452.4,483.6,256.0,406.9,455.1,180.5,162.6,1958.7,453.4,162.0,192.6,105.7,450.2
BI,318.9,212.8,249.5,333.1,97.6,328.6,39.2,384.7,0.0,198.9,290.5,222.0,184.5,156.1,281.9,212.5,346.3,296.8,111.5,194.8,241.9,292.6,305.1,222.9,8.4,214.2,114.3,306.3,86.6,311.9,255.9,303.1,265.4,178.2,99.7,340.9,286.6,343.7,267.6,305.0,286.0,175.6,186.2,336.9,317.4,293.9,278.2,276.9,87.7,55.8,368.5,98.3,329.7,313.5,107.4,274.4,25.0,225.8,171.8,243.7,286.5,190.3,85.3,131.2,201.6,86.5,146.0,47.7,173.4,278.5,264.1,59.5,234.1,112.9,265.4,96.8,174.4,145.5,232.0,255.3,309.0,312.0,225.0,86.4,169.6,204.8,209.1,308.3,2007.8,206.9,334.5,150.7,298.7,196.6
BL,97.3,286.6,512.3,190.5,228.9,186.0,278.0,153.8,284.4,0.0,514.2,445.7,408.2,379.8,69.6,436.2,124.7,159.1,377.0,418.5,55.9,80.3,92.8,446.6,292.9,83.9,207.8,109.1,352.1,503.5,506.4,105.9,130.6,164.6,365.2,127.3,87.6,174.6,46.0,496.6,477.6,352.2,425.3,115.3,120.2,77.1,116.9,63.8,353.2,242.2,147.7,228.2,521.3,183.1,257.3,209.0,281.8,72.3,351.0,508.5,114.8,366.3,332.8,396.7,425.3,334.0,346.9,262.3,397.1,56.9,60.5,325.0,106.6,378.4,457.0,344.3,248.2,260.6,455.7,175.4,164.3,503.6,401.6,202.1,393.3,428.5,131.1,170.6,1964.4,430.6,112.9,138.0,141.8,420.3
BX,485.0,458.7,112.3,461.2,257.7,456.7,321.5,520.3,327.9,396.8,0.0,104.8,157.1,156.3,479.8,130.9,490.7,424.9,240.7,150.7,439.8,490.5,503.0,72.6,327.0,412.1,312.2,434.4,208.5,131.1,118.7,431.2,393.5,376.1,199.3,469.0,449.3,471.8,465.5,129.6,149.4,152.1,164.1,500.1,445.5,491.8,406.3,474.8,266.0,285.7,496.6,258.4,57.3,515.0,229.3,402.5,325.3,423.7,222.3,84.3,414.6,173.5,254.3,219.7,93.9,253.1,183.8,348.0,127.7,476.4,462.0,236.2,432.0,226.6,111.3,243.2,420.3,350.6,138.2,383.4,437.1,82.1,110.6,284.3,147.5,139.5,407.0,436.4,2135.9,133.1,500.6,348.6,426.8,145.0
CM,411.4,385.1,30.1,387.6,184.1,383.1,247.9,456.4,254.3,323.2,89.1,0.0,88.6,133.8,406.2,26.1,417.1,351.3,167.1,45.9,366.2,416.9,429.4,21.5,253.4,338.5,238.6,360.8,144.3,109.1,36.5,357.6,319.9,302.5,135.1,395.4,375.7,398.2,391.9,47.4,127.4,78.5,99.9,426.5,371.9,418.2,332.7,401.2,192.4,212.1,423.0,184.8,96.7,441.4,155.7,328.9,251.7,350.1,148.7,42.3,341.0,99.9,227.6,155.5,29.7,228.8,110.2,274.4,63.5,402.8,388.4,172.0,358.4,162.4,89.3,179.0,346.7,286.4,74.0,309.8,363.5,120.1,68.6,210.7,91.8,34.6,333.4,362.8,2062.3,68.9,427.0,275.0,353.2,80.8
CO,381.1,354.8,101.0,357.3,153.8,352.8,217.6,416.4,224.0,292.9,142.0,73.5,0.0,77.4,375.9,80.2,386.8,321.0,136.8,62.5,335.9,386.6,399.1,74.4,173.4,308.2,208.3,330.5,92.6,162.0,107.4,327.3,289.6,272.2,83.4,365.1,345.4,367.9,361.6,118.3,180.3,79.9,107.5,396.2,341.6,387.9,302.4,370.9,162.1,181.8,392.7,154.5,149.6,411.1,125.4,298.6,221.4,319.8,68.5,95.2,310.7,40.0,150.0,121.1,53.1,149.8,79.9,244.1,73.0,372.5,358.1,120.3,328.1,117.0,142.2,139.9,316.4,291.4,65.5,279.5,333.2,174.4,121.5,180.4,90.9,72.5,303.1,332.5,2032.0,23.9,396.7,244.7,322.9,12.0
DL,354.5,328.2,93.3,330.7,127.2,326.2,174.3,389.8,141.4,266.3,134.3,65.8,74.7,0.0,349.3,91.9,360.2,294.4,98.5,111.7,309.3,360.0,372.5,66.7,132.9,281.6,181.7,303.9,52.1,147.2,99.7,300.7,263.0,245.6,42.9,338.5,318.8,341.3,335.0,110.6,121.3,99.0,30.0,369.6,315.0,361.3,275.8,344.3,110.3,155.2,366.1,127.9,141.9,391.2,98.8,272.0,166.5,293.2,28.0,87.5,284.1,114.8,97.9,63.3,45.4,96.7,69.4,189.2,17.2,345.9,331.5,79.8,301.5,70.2,99.9,86.8,289.8,216.5,75.8,252.9,306.6,146.5,113.8,153.8,21.9,100.5,276.5,305.9,2005.4,50.7,370.1,218.1,296.3,62.6
DO,101.5,272.8,485.1,205.4,215.1,200.9,264.2,167.3,270.6,126.9,500.4,431.9,394.4,366.0,0.0,422.4,128.9,174.0,363.2,404.7,42.1,10.7,23.2,432.8,279.1,70.1,194.0,104.7,338.3,476.3,479.2,101.5,108.0,150.8,351.4,61.4,57.7,178.0,50.2,469.4,450.4,338.4,398.1,119.5,115.8,51.1,94.3,68.0,339.4,228.4,151.1,214.4,494.1,198.0,243.5,199.4,268.0,58.5,337.2,481.3,84.9,352.5,319.0,382.9,411.5,320.2,333.1,248.5,383.3,61.1,19.4,311.2,110.8,364.6,429.8,330.5,234.4,233.4,441.9,118.2,181.6,476.4,387.8,188.3,379.5,414.7,117.3,185.5,1951.4,416.8,117.1,124.2,119.2,406.5
DR,385.3,359.0,53.4,361.5,158.0,357.0,221.8,420.6,228.2,297.1,112.4,23.3,62.5,107.7,380.1,0.0,391.0,325.2,141.0,19.7,340.1,390.8,403.3,44.8,227.3,312.4,212.5,334.7,122.9,132.4,59.8,331.5,293.8,276.4,113.7,369.3,349.6,372.1,365.8,70.7,150.7,52.4,123.2,400.4,345.8,392.1,306.6,375.1,166.3,186.0,396.9,158.7,120.0,415.3,129.6,302.8,225.6,324.0,122.6,65.6,314.9,73.8,201.5,151.4,53.0,202.7,84.1,248.3,86.8,376.7,362.3,193.7,332.3,147.3,112.6,213.0,320.6,295.6,97.3,283.7,337.4,143.4,91.9,184.6,106.6,8.5,307.3,336.7,2036.2,86.5,400.9,248.9,327.1,74.6
DY,96.2,241.6,460.2,128.3,257.9,123.8,307.0,38.3,313.4,169.7,521.2,442.4,404.9,404.0,117.2,432.9,0.0,121.2,406.0,415.2,114.8,127.9,134.0,462.7,321.9,142.8,236.8,63.6,381.1,451.4,454.3,84.3,65.1,180.7,394.2,115.2,79.8,49.8,78.6,444.5,425.5,348.9,373.2,9.3,105.6,85.8,51.4,92.5,382.2,271.2,22.9,257.2,469.2,260.0,286.3,108.8,322.7,131.2,347.7,456.4,43.3,363.0,361.8,416.6,422.0,363.0,343.6,299.8,393.8,67.7,99.4,354.0,132.3,407.4,404.9,373.3,203.2,208.5,479.7,75.3,91.0,451.5,482.7,231.1,381.3,425.2,155.2,132.7,1908.5,427.3,111.8,167.0,76.3,417.0
