from_stop,AA,AS,AX,BG,BI,BJ,BK,BL,BX,CE,CH,CJ,CL,DE,EA,EL,EM,EQ,ER,EU,EW,FC,FY,GA,GD,GL,HA,HP,IM,IO,KI,KU,KX,LJ,LW,MD,MH,MM,MN,MO,MP,NA,NK,NM,NN,NP,NQ,NT,OB,OE,PE,PG,PM,PO,PP,QA,QF,QM,RD,RG,RK,RW,SJ,SY,TH,TL,TP,TU,UK,UV,UX,VB,VC,VJ,VK,VL,VM,VV,VX,WD,WH,WM,XK,XM,XP,YK,YL,YV,ZB,ZD,ZO,ZR
AA,0.0,307.4,247.6,186.1,422.4,159.3,67.1,167.5,529.8,353.3,254.1,68.7,562.5,242.4,60.3,70.4,22.3,569.6,485.4,478.2,506.3,63.8,201.4,430.5,283.7,256.1,428.3,486.4,435.3,467.8,422.3,444.0,247.7,526.6,89.5,234.5,463.6,478.8,226.8,577.6,461.0,428.3,88.3,195.7,427.5,214.1,440.2,246.1,48.4,562.2,299.7,291.6,482.1,226.8,473.3,181.5,519.8,73.4,241.5,526.8,259.2,67.3,42.8,482.7,261.5,512.2,476.0,470.2,277.2,448.5,211.2,91.3,477.7,751.6,223.0,987.8,55.5,286.6,484.5,30.4,234.3,309.7,258.1,180.6,547.1,140.2,517.0,263.8,217.8,464.6,247.5,455.9
AS,286.8,0.0,254.0,258.0,455.4,325.1,306.7,337.5,561.3,192.9,209.4,264.5,595.5,343.9,280.4,306.8,299.0,602.6,518.4,511.2,524.4,279.6,367.2,463.5,385.2,328.0,461.3,519.4,478.5,500.8,455.3,477.0,138.0,559.6,231.8,336.0,496.6,511.8,329.0,610.6,490.7,461.3,260.7,267.6,460.5,287.1,473.2,240.8,288.0,567.0,10.8,393.1,515.1,286.7,506.3,256.9,552.8,242.6,247.8,559.8,311.9,254.0,282.4,515.7,365.4,545.2,509.0,503.2,352.2,481.5,283.1,285.1,510.7,784.6,324.5,1017.1,295.1,388.1,517.5,291.0,335.8,411.2,313.0,346.4,580.1,306.0,550.0,365.3,332.3,497.6,202.8,488.9
AX,258.6,262.6,0.0,102.1,427.2,290.9,276.1,309.3,533.1,306.3,95.0,236.3,567.3,315.7,246.2,278.6,270.8,574.4,490.2,483.0,511.1,251.4,333.0,435.3,388.9,181.0,433.1,491.2,450.3,472.6,427.1,448.8,199.8,531.4,203.6,307.8,468.4,483.6,172.5,582.4,459.6,433.1,232.5,120.6,432.3,139.0,445.0,168.1,259.8,538.8,251.8,364.9,486.9,201.1,478.1,169.4,524.6,214.4,162.2,531.6,283.7,225.8,254.2,487.5,337.2,517.0,480.8,475.0,332.8,453.3,136.1,256.9,482.5,756.4,296.3,964.3,266.9,359.9,489.3,262.8,307.6,383.0,284.8,312.2,551.9,271.8,521.8,337.1,163.5,465.6,88.4,446.8
BG,204.4,317.4,84.5,0.0,443.2,186.7,201.7,229.0,549.1,328.4,135.4,247.3,583.3,336.9,144.0,161.6,226.8,590.4,506.2,499.0,512.2,224.2,230.8,451.3,378.2,80.6,449.1,507.2,466.3,488.6,443.1,464.8,240.7,547.4,244.5,329.0,484.4,499.6,134.4,598.4,481.8,449.1,273.4,18.4,448.3,36.8,461.0,165.1,217.4,554.8,306.6,386.1,502.9,138.9,494.1,67.2,540.6,234.2,153.6,547.6,299.7,266.7,222.8,503.5,358.4,533.0,496.8,491.0,347.9,469.3,33.9,184.9,498.5,772.4,317.5,938.5,210.3,381.1,505.3,234.8,328.8,404.2,300.8,210.0,578.4,169.6,537.8,358.3,137.7,481.6,129.3,476.7
BI,432.9,452.2,443.5,386.1,0.0,453.2,452.8,493.5,443.8,498.1,398.9,410.6,400.5,468.8,408.5,426.1,445.1,407.6,399.4,316.2,420.3,425.7,495.3,268.5,453.1,456.1,266.3,324.4,273.3,305.8,155.3,282.0,392.5,440.6,377.9,482.5,301.6,316.8,469.4,415.6,375.0,347.2,406.8,395.7,122.2,414.1,354.2,453.0,434.1,400.2,444.5,461.0,396.1,426.8,311.3,381.5,433.8,388.7,441.5,364.8,369.9,400.1,428.5,396.7,422.5,426.2,314.0,384.2,410.2,286.5,411.2,432.4,391.7,590.5,449.4,1082.2,441.2,456.0,398.5,437.1,482.3,479.1,371.0,474.5,385.1,434.1,431.0,433.2,460.4,302.6,392.3,293.9
BJ,142.4,344.8,227.4,173.5,409.8,0.0,137.6,121.8,515.7,357.5,277.1,158.1,549.9,230.2,82.0,99.6,164.8,557.0,472.8,465.6,493.7,134.5,121.3,417.9,273.4,243.5,415.7,473.8,432.9,456.4,409.7,430.9,248.4,514.0,203.6,222.3,451.0,466.2,203.1,564.5,445.1,416.9,184.8,183.1,416.1,205.0,427.6,234.7,155.4,520.9,334.5,280.6,469.0,214.2,460.7,170.2,507.2,163.0,228.9,513.7,247.0,209.8,160.8,470.1,251.2,499.6,463.4,457.6,272.9,435.4,198.1,121.8,464.6,739.0,210.8,966.4,148.3,273.9,471.9,172.3,221.6,297.5,245.9,80.5,534.5,60.1,504.4,251.6,195.9,452.0,270.5,443.3
BK,66.2,309.5,244.6,185.5,419.4,154.3,0.0,128.3,525.3,353.2,252.6,64.0,559.5,221.5,57.3,29.7,83.4,566.6,484.9,475.2,488.4,40.9,198.4,427.5,294.7,254.9,425.3,483.4,442.5,464.8,419.3,441.0,244.6,523.6,107.9,213.6,460.6,475.8,211.5,577.0,451.8,425.3,89.5,192.7,424.5,212.2,437.2,250.0,17.7,531.0,298.7,268.6,481.5,226.2,470.3,179.8,516.8,72.4,240.9,523.8,238.3,89.2,21.2,479.7,240.9,509.2,473.0,467.2,265.1,445.5,208.2,38.7,474.7,748.6,202.1,984.8,10.6,263.6,481.5,96.6,212.9,288.8,237.2,177.6,554.6,137.2,514.0,242.9,217.2,457.8,244.4,439.0
BL,161.4,346.3,227.2,199.0,428.8,121.0,144.2,0.0,534.7,357.3,278.6,139.0,568.9,211.1,101.0,118.6,178.6,576.0,491.8,484.6,512.7,115.9,163.1,436.9,252.4,264.3,434.7,492.8,451.9,474.2,428.7,450.4,266.2,533.0,185.0,203.2,470.0,485.2,194.1,584.0,464.1,434.7,164.5,202.1,433.9,224.5,446.6,259.4,159.4,540.4,335.5,260.3,488.5,233.2,479.7,187.9,526.2,143.9,247.9,533.2,227.9,197.1,165.0,489.1,232.6,518.6,482.4,476.6,253.8,454.9,217.6,115.7,484.1,758.0,191.7,967.4,152.3,255.3,490.9,191.8,202.5,278.4,226.8,142.3,553.5,101.9,523.4,232.5,197.4,471.7,272.0,448.4
BX,489.9,512.3,500.5,443.1,321.4,508.2,507.4,550.5,0.0,556.0,455.4,467.6,397.3,525.8,465.5,483.1,507.1,404.4,156.5,313.0,60.6,482.7,552.3,265.3,512.0,513.1,263.1,321.2,280.3,302.6,321.3,278.8,449.5,26.1,434.9,539.5,298.4,313.6,524.2,412.4,128.8,249.4,463.8,452.7,326.5,472.2,111.3,510.0,491.1,368.8,501.5,518.0,153.2,483.8,308.1,439.8,31.7,445.7,498.5,361.6,426.9,457.1,485.5,153.8,481.9,46.7,310.8,110.9,476.0,283.3,468.2,487.2,148.8,505.5,506.4,1048.4,498.2,513.0,70.4,494.1,538.8,536.1,428.0,531.5,392.4,491.1,188.1,490.2,517.4,295.6,449.3,290.7
CE,286.6,169.0,253.8,257.8,455.2,322.9,304.1,337.3,561.1,0.0,208.7,264.3,595.3,343.7,280.2,306.6,298.8,602.4,518.2,511.0,524.2,279.4,367.0,463.3,416.9,327.8,461.1,519.2,478.3,500.6,455.1,476.8,137.8,559.4,231.6,335.8,496.4,511.6,328.8,610.4,487.6,461.1,260.5,267.4,460.3,285.8,473.0,240.6,287.8,566.8,158.2,392.9,514.9,286.5,506.1,256.7,552.6,242.4,247.6,559.6,311.7,253.8,282.2,515.5,365.2,545.0,508.8,503.0,360.8,481.3,282.9,284.9,510.5,784.4,324.3,999.9,294.9,387.9,517.3,290.8,335.1,411.0,312.8,346.2,579.9,305.8,549.8,365.1,332.1,493.6,202.6,488.7
CH,214.0,217.5,115.0,153.5,382.6,250.3,231.5,264.7,488.5,261.7,0.0,191.7,522.7,271.1,207.6,234.0,231.2,529.8,448.1,437.9,451.6,206.3,294.4,390.7,344.3,234.2,388.5,446.6,405.7,427.5,382.0,403.7,154.7,486.8,158.5,263.2,423.8,439.0,211.6,537.3,415.0,388.0,187.9,172.0,387.7,191.5,400.4,123.0,215.2,493.7,207.2,320.3,441.8,156.0,433.5,181.9,480.0,169.8,117.1,486.5,239.1,180.7,209.6,442.9,292.6,471.9,436.2,430.4,288.2,408.7,187.5,212.3,437.9,711.8,251.7,1015.7,222.3,315.3,444.7,217.7,262.5,338.4,240.2,273.6,517.8,233.2,477.2,292.5,214.4,421.0,6.5,402.2
CJ,46.4,282.8,268.9,240.7,403.7,162.7,64.1,124.9,511.1,328.7,229.5,0.0,543.8,216.0,100.7,73.1,68.8,550.9,466.7,459.5,487.6,21.2,204.8,411.8,257.3,296.5,409.6,467.7,416.6,449.1,403.6,425.3,223.1,507.9,45.9,208.1,444.9,460.1,248.1,558.9,442.3,409.6,25.5,236.1,408.8,254.5,421.5,293.4,47.6,543.5,275.1,265.2,463.4,267.2,454.6,221.9,501.1,48.8,281.9,508.1,232.8,58.0,42.0,464.0,235.1,493.5,457.3,451.5,250.8,429.8,251.6,52.6,459.0,732.9,196.6,1009.1,51.8,260.2,465.8,76.8,207.9,283.3,231.7,184.0,528.4,143.6,498.3,237.4,239.1,445.9,222.9,437.2
