from_stop,AF,AQ,AR,BZ,CC,CE,CF,CM,CR,DP,DS,DU,EG,ER,ES,FO,FP,FS,FW,FY,FZ,GK,GP,GR,HA,HB,HU,IS,IV,JW,JZ,KC,KM,KR,LG,LU,ML,MO,MW,ND,NI,NM,NN,OC,PI,PP,PQ,PU,QT,RA,RE,SV,SZ,TK,TO,UD,UH,VK,VP,VQ,VS,WL,XH,XJ,XK,XR,YC,YL,YN,YS,YW,YZ,ZF,ZJ,ZL,ZQ,ZW
AF,0.0,147.0,373.3,40.9,64.4,336.5,279.3,266.6,316.3,226.6,462.0,141.5,120.9,360.5,352.2,144.8,484.4,131.0,195.3,240.2,422.2,448.5,431.0,269.4,333.3,480.5,275.5,223.4,298.5,233.6,338.0,2073.0,452.8,314.3,16.2,227.3,308.5,143.2,283.5,515.3,249.7,327.2,103.7,383.5,256.5,288.1,267.6,284.2,236.0,187.7,79.7,419.8,386.4,291.5,110.6,198.6,386.1,535.5,229.2,189.3,269.5,367.9,384.4,519.4,373.2,483.4,313.6,288.8,256.4,452.5,173.7,365.2,331.1,204.2,257.0,466.4,375.8
AQ,215.2,0.0,135.4,255.2,262.9,240.7,206.0,204.3,220.9,107.8,514.6,188.4,198.6,252.2,246.9,274.1,573.7,208.1,208.8,126.3,484.8,530.5,496.7,154.8,219.4,570.8,213.2,104.6,179.7,379.0,275.7,2010.7,490.9,195.5,230.5,80.2,180.2,178.2,163.7,633.5,354.8,254.4,191.6,263.7,142.6,169.3,356.9,221.9,88.9,128.3,221.5,509.1,309.4,255.8,183.6,190.2,481.3,624.8,174.1,180.1,206.2,305.8,265.6,608.7,462.5,572.7,234.2,224.5,108.3,541.8,225.7,292.4,217.9,256.2,138.2,561.6,303.0
AR,136.9,119.3,0.0,172.0,180.9,102.5,244.5,65.7,91.0,145.1,498.8,135.8,231.9,160.5,150.3,158.2,490.5,199.9,263.0,163.6,430.5,454.6,467.8,193.3,225.3,512.4,74.6,143.1,213.0,250.6,137.1,1897.9,489.6,232.8,148.5,135.5,213.5,122.3,244.3,547.2,262.9,115.8,137.0,301.0,219.2,133.3,273.7,83.3,145.4,166.8,160.1,425.9,181.5,119.4,145.7,134.3,399.3,541.6,212.6,140.3,67.6,161.4,204.2,525.5,379.3,489.5,152.3,91.4,163.6,494.3,242.6,153.8,130.2,176.1,176.7,482.7,164.4
BZ,74.9,107.0,337.0,0.0,29.0,296.5,239.3,226.6,251.9,167.4,407.7,101.5,98.6,306.2,301.6,109.9,442.9,91.0,155.3,217.9,367.3,420.3,395.9,229.4,298.2,440.5,235.5,183.4,258.5,178.7,298.0,2033.0,417.7,255.1,81.0,200.1,256.1,120.1,239.9,456.1,187.3,287.2,67.1,328.5,234.2,257.2,207.1,244.2,196.0,147.7,52.1,384.7,359.2,257.1,70.6,158.6,363.8,460.0,189.2,149.3,231.9,332.8,357.2,486.9,352.4,463.7,259.3,253.7,228.2,440.9,133.7,325.2,291.1,177.0,217.0,416.4,335.8
CC,104.2,104.6,313.5,126.8,0.0,273.0,266.2,265.3,264.3,216.0,453.8,116.4,112.7,323.0,336.4,130.7,469.8,117.9,182.2,234.5,409.1,434.4,422.8,256.3,327.6,467.4,233.1,212.8,287.9,275.6,334.1,2056.4,444.6,303.7,114.6,206.4,288.4,96.6,269.3,502.2,226.2,263.7,45.1,371.9,250.8,273.8,234.0,241.8,215.1,157.5,28.6,416.0,377.4,228.0,47.1,135.1,377.9,521.4,216.1,176.2,226.1,315.1,373.8,505.3,379.3,490.6,303.7,288.7,234.5,472.9,160.6,301.7,288.7,191.1,246.4,458.2,312.3
CE,239.5,225.6,144.4,279.5,287.2,0.0,311.2,130.5,30.9,148.9,538.9,242.1,321.2,101.8,63.3,258.4,598.0,303.6,249.9,138.0,509.1,554.8,521.0,195.9,162.6,595.1,134.8,160.2,132.3,403.3,58.9,2004.2,515.2,207.2,254.8,198.4,132.8,228.6,163.6,657.8,379.1,69.9,219.7,275.4,142.5,123.1,381.2,19.0,207.1,250.9,267.6,533.4,116.5,71.3,252.0,240.6,505.6,649.1,215.2,246.6,80.9,121.3,123.2,633.0,486.8,597.0,30.6,57.9,226.5,566.1,266.8,107.9,67.5,297.3,149.9,585.9,118.5
CF,193.7,168.9,255.0,233.7,254.4,335.5,0.0,315.3,341.1,202.6,511.1,149.0,183.7,347.0,341.7,161.6,570.2,150.0,96.3,221.1,481.3,527.0,493.2,135.3,314.2,567.3,333.4,205.4,274.5,375.5,377.3,2130.9,487.4,290.3,209.0,205.4,275.0,283.6,258.5,630.0,351.3,374.6,221.9,358.5,237.4,246.1,353.4,342.1,214.1,120.5,269.7,505.6,404.2,376.0,301.6,297.4,477.8,621.3,95.1,172.3,326.4,426.0,360.4,605.2,459.0,569.2,329.0,344.7,233.5,538.3,113.2,412.6,312.7,143.7,233.0,562.4,423.2
CM,192.5,178.6,107.8,232.5,240.2,120.6,335.8,0.0,100.4,238.9,491.9,195.1,197.4,173.8,169.4,211.4,551.0,259.2,323.5,228.0,462.1,507.8,474.0,285.9,234.6,548.1,83.9,250.2,222.3,356.3,156.2,1957.2,468.2,297.2,207.8,238.4,222.8,181.6,253.6,610.8,332.1,111.3,172.7,365.4,232.5,130.3,334.2,102.4,247.1,258.1,220.6,486.4,204.6,61.2,205.0,193.6,458.6,602.1,305.2,199.6,48.9,93.6,195.2,586.0,439.8,550.0,136.7,60.3,266.5,519.1,301.9,131.5,139.5,235.4,239.9,538.9,73.5
CR,231.7,217.8,107.7,281.0,288.7,20.1,331.4,120.1,0.0,169.1,583.0,234.3,224.3,173.8,72.0,256.5,599.5,298.4,270.1,210.0,528.7,554.3,513.2,216.1,234.6,587.3,127.0,180.4,152.5,340.4,81.2,1996.4,552.2,227.4,256.3,270.4,153.0,220.8,172.3,609.8,359.0,60.5,199.6,284.1,162.7,131.8,382.7,39.2,227.3,271.1,269.1,534.9,111.4,75.5,244.2,232.8,485.5,650.6,235.4,238.8,84.1,106.1,131.9,634.5,488.3,598.5,50.8,68.1,298.5,567.6,287.0,98.5,139.5,306.0,170.1,578.1,109.1
DP,203.2,217.4,316.3,225.5,259.0,290.0,162.2,298.2,323.5,0.0,558.3,199.3,196.2,301.5,296.2,161.8,574.3,154.6,100.9,175.6,513.6,538.9,527.3,46.9,268.7,571.9,307.1,135.9,229.0,380.1,331.8,2104.6,549.1,244.8,213.6,192.1,226.6,288.2,210.4,606.7,355.9,348.3,234.4,313.0,191.9,250.8,338.5,302.7,200.8,197.7,274.3,520.5,358.7,364.7,277.5,284.1,482.4,625.9,66.2,224.8,300.1,393.9,314.9,609.8,483.8,595.1,283.5,323.9,220.2,577.4,117.8,386.3,267.2,148.3,187.5,562.7,396.9
DS,310.7,337.8,545.6,350.7,374.2,494.2,473.5,457.4,482.7,417.4,0.0,332.3,316.6,556.2,532.4,301.6,119.0,325.8,375.1,435.9,65.5,83.6,63.3,449.2,529.0,53.3,466.3,414.2,489.3,185.0,528.8,2263.8,65.3,505.1,326.0,418.1,514.3,392.0,470.7,151.4,160.8,507.5,354.8,559.3,452.2,475.2,164.3,475.0,426.8,378.5,389.5,37.5,577.2,515.1,408.6,410.7,82.4,33.0,409.0,366.0,459.3,553.1,575.2,163.0,108.4,139.8,509.3,483.1,446.2,98.5,358.2,545.5,521.9,325.6,447.8,107.4,556.1
DU,76.3,55.8,139.2,116.3,149.9,212.2,141.1,175.4,192.0,135.4,375.7,0.0,34.6,274.2,260.0,135.3,434.8,45.5,108.5,153.9,345.9,391.6,357.8,182.4,247.0,431.9,184.3,132.2,207.3,240.1,246.8,1981.8,352.0,223.1,91.6,136.1,207.8,110.0,191.3,494.6,215.9,225.5,72.8,291.3,170.2,196.9,218.0,193.0,144.8,50.6,165.2,370.2,295.2,226.9,126.6,128.7,342.4,485.9,142.4,43.1,177.3,276.9,293.2,469.8,323.6,433.8,227.3,195.6,164.2,402.9,86.9,263.5,239.9,117.4,165.8,427.0,274.1
EG,105.0,21.1,227.7,133.2,136.4,177.5,174.3,140.7,166.0,100.7,460.5,88.8,0.0,239.5,225.3,224.2,476.5,134.4,197.4,119.2,388.1,441.1,429.5,147.7,212.3,474.1,149.6,97.5,172.6,227.2,212.1,1947.1,451.3,188.4,121.3,101.4,197.6,75.3,154.0,508.9,258.1,190.8,38.1,256.6,135.5,162.2,260.2,158.3,110.1,74.0,65.4,418.3,260.5,198.4,91.9,94.0,384.6,493.6,167.0,42.1,142.6,236.4,258.5,512.0,386.0,497.3,192.6,160.9,129.5,456.0,175.8,228.8,205.2,206.3,131.1,464.9,239.4
ER,308.4,301.7,199.5,328.0,357.1,90.7,331.0,195.6,100.1,169.3,651.4,313.4,323.6,0.0,87.3,329.0,667.9,324.0,270.3,158.4,579.0,632.0,590.9,216.3,90.6,665.0,204.7,180.6,142.8,418.1,91.5,2074.1,642.2,227.6,324.7,218.8,153.2,298.5,181.4,699.8,411.8,160.7,289.6,295.8,162.9,141.8,451.1,103.4,227.5,253.3,337.5,596.4,64.7,175.7,304.2,310.5,575.5,684.5,235.6,305.1,134.5,206.3,70.3,711.4,576.9,688.2,84.2,142.3,246.9,646.9,287.2,198.7,29.9,317.7,170.3,655.8,209.3
ES,257.9,239.1,119.7,271.6,300.7,52.3,326.4,139.2,111.5,156.4,587.3,255.6,328.7,77.3,0.0,278.0,611.0,318.8,265.1,153.2,550.3,567.9,556.3,211.1,135.9,608.6,148.3,175.4,147.5,346.8,50.6,2017.7,578.1,214.7,268.3,205.9,98.0,242.1,176.2,643.4,355.4,122.3,233.2,276.6,157.7,130.6,375.2,65.0,222.3,266.1,260.5,557.2,72.0,137.3,265.5,254.1,511.4,628.1,230.4,260.1,81.5,160.2,115.6,655.0,520.5,631.8,27.8,110.8,241.7,609.0,282.0,160.3,82.7,312.5,165.1,591.7,170.9
FO,36.6,81.5,287.7,76.0,99.5,237.9,183.9,201.1,226.0,160.7,392.0,76.0,60.5,295.5,285.3,0.0,412.5,69.5,67.5,175.2,351.7,377.0,365.6,141.6,268.3,410.2,210.0,157.9,233.0,163.1,272.5,2007.5,386.8,248.4,47.3,161.8,243.0,179.7,216.6,440.4,194.2,251.2,98.1,316.6,195.9,224.8,195.7,218.7,170.5,122.2,114.8,354.2,320.9,258.8,147.1,154.4,320.5,463.6,101.4,109.7,202.6,292.4,318.5,447.5,301.3,411.5,248.6,226.4,192.1,380.6,50.6,289.2,261.2,15.1,191.5,396.4,299.8
FP,448.8,471.0,677.6,497.5,507.4,627.4,606.7,590.6,615.9,550.6,133.1,465.5,449.8,689.4,665.6,440.7,0.0,459.0,508.3,569.1,173.5,176.5,196.5,582.4,662.2,186.5,599.5,547.4,622.5,310.9,662.0,2397.0,198.5,638.8,459.2,551.8,620.1,525.2,603.9,120.8,333.6,640.7,488.0,692.5,585.4,608.4,297.5,608.2,560.0,511.7,515.3,187.9,710.9,648.3,541.8,543.9,216.1,166.2,542.2,499.2,595.9,686.8,708.9,114.4,210.3,136.2,642.5,617.7,579.9,124.1,491.4,678.7,655.6,458.8,581.0,160.3,689.3
FS,91.9,62.7,146.1,119.4,104.3,219.1,148.2,182.3,198.9,142.3,374.0,57.2,41.5,281.1,266.9,91.0,433.1,0.0,64.2,160.8,344.2,389.9,356.1,138.3,253.9,430.2,191.2,139.1,214.2,238.4,253.7,1988.7,350.3,230.0,107.2,143.0,214.7,133.5,198.2,492.9,214.2,232.4,79.7,298.2,177.1,203.8,216.3,199.9,151.7,103.4,119.6,368.5,302.1,233.8,151.5,135.6,340.7,484.2,98.1,70.1,184.2,283.8,300.1,468.1,321.9,432.1,234.2,202.5,171.1,401.2,42.6,270.4,246.8,73.1,172.7,425.3,281.0
FW,97.3,116.4,199.8,137.3,158.0,272.8,116.3,236.0,252.6,165.3,414.7,98.3,95.2,309.7,304.4,65.2,473.8,53.6,0.0,183.8,384.9,430.6,396.8,74.0,276.9,470.9,244.9,144.1,237.2,279.1,307.4,2042.4,391.0,253.0,112.6,196.7,237.7,187.2,221.2,533.6,254.9,286.1,133.4,321.2,200.1,257.5,257.0,253.6,205.4,149.0,173.3,409.2,355.8,287.5,205.2,189.3,381.4,524.9,33.8,123.8,237.9,337.5,323.1,508.8,362.6,472.8,287.9,256.2,224.8,441.9,16.8,324.1,275.4,47.3,195.7,466.0,334.7
FY,240.5,204.7,234.0,275.6,283.3,148.6,231.4,224.7,179.6,69.1,577.6,216.4,226.6,160.1,145.2,228.8,593.6,223.8,170.1,0.0,544.9,558.2,546.6,116.1,107.7,591.2,233.6,80.4,68.0,344.3,190.4,2031.1,568.4,69.1,250.9,118.6,65.6,198.6,49.4,626.0,355.3,218.6,212.0,137.3,30.9,177.3,377.3,161.3,127.3,156.3,241.9,529.5,217.3,233.6,204.0,210.6,501.7,610.7,135.4,208.1,192.4,264.2,153.9,637.6,482.9,593.1,142.1,200.2,146.7,562.2,187.0,256.6,125.8,217.5,11.8,586.3,267.2
FZ,343.3,370.4,565.8,384.7,408.2,526.8,506.1,490.0,508.0,450.0,72.3,364.9,336.8,576.4,576.0,339.6,108.2,358.4,407.7,456.1,0.0,72.3,97.3,481.8,549.2,73.5,498.9,446.8,521.9,217.6,561.4,2296.4,97.9,537.7,360.0,450.7,519.5,424.6,507.3,140.1,220.6,540.1,387.4,607.3,484.8,512.9,180.4,507.6,459.4,411.1,423.5,78.4,609.8,547.7,441.2,443.3,102.6,159.3,441.6,398.6,493.3,573.3,609.2,143.2,142.4,107.2,529.5,517.1,480.2,76.3,390.8,578.1,554.5,345.8,480.4,96.1,588.7
GK,392.6,420.7,627.3,448.5,457.1,577.1,556.4,540.3,556.9,500.3,82.8,415.2,399.5,639.1,615.3,384.5,57.8,408.7,458.0,518.8,135.2,0.0,146.2,532.1,611.9,136.2,549.2,497.1,572.2,260.6,611.7,2346.7,148.2,588.0,408.9,501.0,569.8,474.9,553.6,90.2,266.8,590.4,437.7,642.2,535.1,558.1,229.3,557.9,509.7,461.4,465.0,133.2,660.1,598.0,491.5,493.6,165.3,115.9,491.9,448.9,545.6,641.8,658.1,101.8,160.0,78.6,592.2,560.5,529.1,37.3,441.1,628.4,604.8,408.5,530.7,105.2,639.0
GP,273.9,302.0,385.4,328.5,338.4,458.4,437.7,421.6,449.7,389.5,167.3,296.5,288.7,520.4,514.1,265.8,139.7,290.0,339.3,400.1,134.6,147.9,0.0,421.3,493.2,137.3,430.5,386.3,453.5,192.4,493.0,2228.0,114.5,469.3,290.2,390.2,451.1,356.2,442.8,172.1,132.9,471.7,326.9,545.4,416.4,451.0,128.5,439.2,391.0,342.7,353.7,129.5,549.3,487.2,372.8,374.9,46.6,200.4,373.2,330.2,423.5,517.3,547.3,227.3,72.6,160.5,481.4,448.7,418.3,137.7,322.4,517.6,486.1,289.8,419.9,128.1,520.3
