from_stop,AG,AK,AS,AW,BA,BI,BY,CA,CJ,CQ,CV,DC,DL,DM,DO,DR,DV,EC,EI,EQ,EU,EV,FA,FM,FX,GG,GO,GU,GV,HJ,HX,IM,IQ,IS,IW,JG,JJ,JP,JQ,JV,JZ,KC,KE,KK,KO,KR,KT,LG,LH,LQ,LR,LW,LZ,MI,MM,MY,ND,NP,OE,OJ,PD,PF,PK,PM,PV,PZ,QF,QH,QI,QK,QL,QO,QP,QR,QW,RT,SB,SQ,SS,ST,SY,TJ,TW,UD,UI,UM,UN,UR,UU,UW,UY,VA,VL,VP,VS,WA,WE,WS,WU,XJ,XK,XM,XO,XX,YA,YH,YQ,YS,ZE,ZN,ZP,ZT,ZW,ZY
AG,0.0,140.4,129.6,129.1,315.5,225.8,285.9,95.2,256.1,61.8,12.1,176.4,288.5,167.1,217.0,337.2,308.4,98.9,79.7,181.1,327.6,312.4,209.3,82.8,78.2,197.2,103.0,222.2,223.0,171.4,73.6,261.9,47.7,271.6,76.2,231.2,237.6,119.8,66.7,2449.5,85.8,14.7,250.9,133.5,234.8,29.5,183.7,32.1,325.4,205.0,63.0,237.0,255.3,185.2,59.6,244.3,281.4,319.0,145.5,293.4,44.5,182.8,210.3,123.1,107.5,169.1,216.2,321.6,117.4,136.0,310.8,288.9,296.8,319.8,279.8,122.6,33.6,104.3,282.9,209.6,260.7,112.9,293.3,86.7,146.4,136.0,233.2,241.5,273.5,298.8,120.4,114.7,111.4,263.4,211.5,127.1,286.6,188.1,106.9,84.3,205.7,204.8,102.6,153.4,199.5,321.4,302.6,198.8,325.8,185.6,176.9,157.3,234.7,295.5
AK,129.0,0.0,111.7,75.6,262.6,247.1,238.8,48.1,181.8,75.0,129.1,226.4,241.4,198.3,176.8,247.5,261.3,51.8,141.3,98.0,270.6,264.3,134.8,114.0,55.3,145.9,67.7,140.0,192.0,161.2,135.2,237.2,146.7,224.5,160.9,144.6,198.2,10.5,191.2,2344.8,67.9,129.0,203.8,104.8,224.6,101.7,102.5,117.1,260.8,164.2,70.5,226.8,251.0,165.7,136.6,197.2,234.3,214.6,103.2,204.4,110.5,194.6,99.8,162.0,192.2,84.9,169.1,274.5,69.5,97.2,227.9,228.8,256.5,242.4,259.7,102.8,140.2,87.6,231.0,162.5,177.3,144.1,295.3,100.4,177.6,99.4,209.9,197.1,226.4,259.4,9.8,167.8,132.6,245.5,193.6,163.5,274.7,131.0,118.4,36.2,195.5,171.0,129.6,135.5,131.2,329.2,263.2,177.0,246.5,137.9,130.4,110.8,195.3,262.9
AS,125.6,108.5,0.0,151.5,220.9,96.1,191.3,84.2,159.0,96.7,127.4,115.4,193.9,106.1,133.6,242.6,213.8,87.9,161.1,98.1,233.0,217.8,129.0,60.5,77.0,102.6,125.4,141.9,119.9,41.7,155.0,167.3,150.9,171.4,108.4,124.2,143.0,87.9,73.5,2309.7,43.7,117.9,154.5,180.5,105.1,113.8,100.7,106.0,230.8,110.4,66.5,107.3,160.7,225.4,80.7,149.7,186.8,224.4,62.5,198.8,125.9,53.1,115.7,62.3,118.3,104.7,121.6,227.0,127.2,157.1,216.2,194.3,202.4,225.2,185.2,160.8,136.8,142.5,176.9,115.0,163.6,52.1,198.7,109.7,85.4,157.1,126.2,170.4,178.9,204.2,88.5,217.9,136.3,133.7,81.8,202.7,192.0,228.1,64.8,101.6,76.0,97.8,125.6,23.7,116.5,226.8,208.0,91.8,231.2,102.6,93.9,74.3,140.1,200.9
AW,123.7,53.6,173.1,0.0,275.9,237.4,257.7,66.7,195.1,136.4,105.7,231.7,260.0,259.7,190.1,260.8,280.8,70.4,140.4,100.9,283.9,282.9,140.4,175.4,116.7,168.7,23.2,153.3,197.6,169.0,134.3,250.5,127.8,243.1,214.6,157.9,209.1,71.9,191.1,2335.9,129.3,182.7,222.4,113.4,215.9,155.4,115.8,170.8,266.4,177.5,124.2,280.5,256.6,152.5,198.0,215.8,252.9,227.9,108.8,217.7,112.8,226.3,113.1,215.7,245.9,98.2,187.7,293.1,56.3,80.5,233.5,234.4,269.8,255.7,265.3,89.6,201.6,82.1,244.3,181.1,190.6,205.5,300.9,100.4,239.0,86.2,223.2,210.4,245.0,270.3,71.5,162.3,123.3,306.9,255.0,150.3,288.0,100.3,169.9,97.6,249.2,184.3,112.6,196.9,136.8,342.5,274.1,190.3,259.8,151.2,143.7,124.1,206.2,276.2
BA,311.7,252.4,210.7,268.1,0.0,147.1,64.8,207.4,108.6,307.8,323.9,197.1,92.2,206.4,169.6,21.6,105.3,203.7,344.3,244.2,41.1,89.1,207.5,248.6,278.0,114.1,242.0,194.6,141.0,174.5,338.2,89.1,337.0,105.7,250.0,150.4,71.4,231.8,259.6,2143.2,244.7,304.0,101.1,286.8,199.5,297.0,238.6,292.1,9.8,183.2,267.5,137.0,95.2,342.0,266.8,64.6,85.1,83.3,208.6,93.0,309.1,164.2,223.6,213.2,218.6,261.4,94.0,118.5,243.8,273.7,75.1,88.5,44.9,50.9,72.4,277.4,322.9,259.1,72.5,104.2,113.2,223.4,25.1,310.7,195.7,273.7,191.0,133.2,52.4,70.2,232.4,350.3,337.3,112.9,166.5,337.8,59.5,340.8,250.7,218.2,170.5,161.5,326.6,188.0,221.0,80.1,106.3,156.6,90.1,209.4,219.1,220.4,111.3,51.9
BI,179.1,172.0,133.1,237.7,207.1,0.0,143.4,177.0,132.0,175.2,191.3,32.8,175.6,51.6,165.7,225.3,195.8,173.3,236.5,213.8,209.5,134.2,193.3,136.7,184.6,98.1,211.6,200.5,106.8,90.1,230.4,131.6,204.4,120.4,109.3,156.3,124.7,201.4,127.0,2282.7,176.9,171.4,101.7,256.4,17.0,189.2,217.3,160.3,217.0,179.3,199.7,56.3,125.0,271.1,134.2,67.1,168.5,130.9,178.2,163.1,197.6,44.0,194.3,95.6,86.0,192.5,110.1,208.5,174.9,243.3,128.8,159.4,167.2,201.7,148.9,247.0,190.3,200.7,141.5,103.5,136.6,105.8,185.2,237.3,64.2,243.3,122.1,117.4,158.6,185.9,202.0,272.2,260.0,82.7,76.9,283.8,168.5,311.3,196.2,187.8,80.0,129.9,258.8,109.3,209.7,221.0,160.1,123.9,194.9,182.1,191.8,190.0,91.8,117.0
BY,246.8,230.9,175.9,259.5,64.4,163.5,0.0,197.4,137.8,242.9,259.0,165.1,55.4,141.5,188.4,81.8,75.6,193.7,316.1,204.8,105.6,79.7,213.7,224.6,253.0,106.2,232.0,224.6,144.3,132.9,310.0,108.5,272.1,61.4,185.1,179.0,61.4,221.8,194.4,2207.7,217.1,239.1,78.1,290.9,134.6,276.4,236.8,228.7,74.7,202.6,242.3,70.9,101.9,330.4,201.9,56.0,48.3,144.6,200.0,153.9,294.4,159.7,214.7,185.5,153.7,262.5,84.0,88.5,233.8,258.0,137.4,137.8,105.8,112.2,100.0,267.4,258.0,259.6,133.4,94.2,142.4,195.7,42.5,279.9,161.0,263.7,181.3,123.2,12.9,65.7,222.4,339.6,312.3,47.7,101.6,351.5,78.1,331.1,236.1,208.2,104.4,152.6,301.4,152.1,230.1,88.3,69.5,146.6,151.0,202.5,212.2,210.4,99.8,92.1
CA,130.6,33.4,73.4,60.6,220.2,170.6,190.6,0.0,160.8,109.7,85.7,164.9,193.2,153.4,121.7,237.6,213.4,3.7,158.0,48.5,232.3,216.1,114.0,78.9,91.7,97.7,34.5,126.9,127.7,102.2,151.9,166.6,107.8,176.3,155.7,135.9,142.3,24.3,124.3,2311.5,58.4,122.9,155.6,93.4,149.1,110.7,80.5,112.5,230.1,109.1,81.2,169.1,160.0,132.5,131.5,149.0,186.1,223.7,42.3,198.1,127.2,130.1,115.0,113.1,156.3,73.8,120.9,226.3,36.3,66.2,216.9,193.6,201.5,224.5,184.5,69.6,141.8,62.1,187.6,114.3,165.4,102.9,198.3,118.8,132.7,66.2,137.9,146.2,178.2,203.5,24.9,142.3,103.3,195.5,143.6,130.3,191.3,133.3,64.4,10.7,137.8,109.5,92.6,92.5,96.3,226.1,207.3,103.5,230.5,102.8,73.7,54.1,139.4,205.0
CJ,237.5,189.7,145.7,205.4,117.9,66.4,134.9,144.7,0.0,233.6,249.7,100.7,137.5,110.0,89.2,99.5,157.4,141.0,294.9,164.3,125.9,193.5,127.1,194.3,222.8,51.4,179.3,114.2,60.6,102.7,288.8,92.5,262.8,120.6,175.8,70.0,86.6,169.1,185.4,2150.6,189.5,229.8,99.9,224.1,75.4,247.6,158.2,217.9,108.4,102.8,212.3,95.6,98.6,279.3,192.6,93.3,130.4,69.9,145.9,59.7,259.7,92.4,143.2,154.0,144.4,195.2,65.2,170.6,181.1,211.0,76.6,88.2,65.2,97.7,107.3,214.7,248.7,196.4,39.7,58.6,4.6,164.2,143.1,255.5,130.7,211.0,120.0,15.2,122.5,174.8,169.7,329.8,282.1,122.0,71.4,275.1,130.0,278.1,188.0,155.5,75.4,81.1,271.4,121.9,140.6,184.5,151.6,87.1,101.8,129.0,138.7,157.7,83.7,122.4
CQ,53.9,83.2,88.1,155.1,279.2,184.3,249.6,58.9,261.3,0.0,66.1,137.2,252.2,127.9,180.7,300.9,272.1,62.6,90.9,141.9,291.3,276.1,172.8,43.6,21.0,160.9,90.8,185.7,186.7,129.9,84.8,225.6,79.2,235.3,78.1,194.9,201.3,62.6,113.1,2370.5,44.3,46.2,214.6,165.0,193.3,43.6,144.5,34.3,289.1,168.7,59.2,195.5,219.0,216.7,61.5,208.0,245.1,294.1,106.3,257.1,55.7,141.3,179.3,83.9,109.4,164.4,179.9,285.3,134.6,122.5,274.5,252.6,260.5,283.5,243.5,126.2,65.1,107.9,246.6,173.3,256.8,73.7,257.0,102.4,107.2,122.5,196.9,205.2,237.2,262.5,63.2,146.2,129.0,221.9,170.0,158.6,250.3,202.8,67.7,67.0,164.2,168.5,118.3,111.9,160.3,285.1,266.3,162.5,289.5,146.4,137.7,118.1,198.4,259.2
