from_stop,AD,AO,CC,CO,CX,DO,DV,EB,EC,ED,EG,EH,EX,FB,FD,FF,FI,FL,FQ,FT,GF,GG,GJ,GN,GO,GQ,HR,IK,IO,IT,JB,JF,JH,JO,JT,JU,JW,JZ,KN,KV,KW,LD,LK,LU,LX,MG,MQ,ND,NH,NI,NO,NX,OH,OI,OR,PA,PE,PR,PX,PY,PZ,QB,QK,QO,RB,RD,RH,RL,RT,RY,SE,SM,TD,TW,TZ,UM,UU,UV,UX,VB,VH,VN,VV,WC,WF,WM,WR,WU,XN,XO,XX,XZ,YO,ZA,ZE,ZI,ZJ,ZV,ZX
AD,0.0,498.1,435.2,202.5,123.4,544.1,440.7,483.2,447.5,278.4,334.1,55.1,620.9,537.0,212.5,442.9,594.8,188.7,220.2,529.3,324.0,391.3,313.5,607.6,552.3,485.0,224.0,477.3,428.5,426.1,371.3,476.3,124.1,625.4,189.6,188.2,488.0,197.1,286.6,505.1,310.7,475.9,220.1,476.8,239.7,516.3,430.7,453.6,310.7,542.6,272.3,214.4,543.2,264.2,357.0,532.0,497.9,328.4,420.6,256.3,345.9,249.5,640.3,159.2,453.7,216.8,360.1,404.3,579.3,242.9,458.6,452.9,563.4,545.9,570.7,671.1,371.2,280.0,222.9,537.8,570.8,1910.9,572.0,450.8,199.7,410.8,398.0,106.2,252.7,182.2,348.9,297.2,289.0,336.0,417.4,177.4,388.7,526.4,390.4
AO,510.2,0.0,164.0,437.4,560.6,704.5,602.5,564.6,633.3,301.6,205.3,471.4,753.9,632.1,511.0,531.9,727.8,412.3,428.4,471.7,509.8,524.7,515.0,740.6,605.3,584.4,374.6,20.7,614.7,560.2,269.4,554.8,413.3,760.8,416.2,390.8,569.4,439.4,419.6,604.5,450.1,588.2,462.4,77.0,482.0,611.4,617.1,396.0,221.9,655.5,346.0,417.0,709.0,407.7,558.5,666.1,636.1,199.6,527.6,447.1,562.1,491.8,773.3,401.5,82.9,459.1,231.3,546.4,658.4,355.7,605.5,562.5,658.5,678.9,667.9,804.1,242.4,407.4,521.4,711.6,649.9,1853.3,705.0,550.2,398.9,609.0,552.7,458.9,349.3,424.5,220.1,539.5,471.8,525.3,524.4,378.2,96.7,621.5,591.9
CC,469.6,166.3,0.0,396.8,520.0,663.9,561.9,524.0,592.7,261.0,164.7,430.8,713.3,591.5,470.4,491.3,687.2,371.7,387.8,431.1,469.2,484.1,474.4,700.0,564.7,543.8,334.0,145.5,574.1,519.6,228.8,514.2,372.7,720.2,375.6,350.2,528.8,398.8,379.0,563.9,409.5,547.6,421.8,145.0,441.4,570.8,576.5,355.4,181.3,614.9,305.4,376.4,668.4,367.1,517.9,625.5,595.5,159.0,487.0,406.5,521.5,451.2,732.7,360.9,121.9,418.5,190.7,505.8,617.8,315.1,564.9,521.9,617.9,638.3,627.3,763.5,201.8,366.8,480.8,671.0,609.3,1812.7,664.4,509.6,358.3,568.4,512.1,418.3,308.7,383.9,179.5,498.9,431.2,484.7,483.8,337.6,56.9,580.9,551.3
CO,189.0,390.9,328.0,0.0,224.6,561.7,470.2,512.7,477.0,97.6,275.9,138.3,625.1,566.5,137.2,472.4,599.0,219.1,249.7,471.1,353.5,420.8,343.0,611.8,476.5,514.5,56.0,370.1,458.0,455.6,313.1,505.8,142.7,617.7,219.1,217.7,517.5,226.6,290.8,523.0,340.2,505.4,249.6,369.6,269.2,545.8,460.2,395.4,179.2,572.1,104.3,243.9,572.7,95.3,386.5,561.5,527.4,270.2,450.1,285.8,365.7,267.1,644.5,188.7,346.5,246.3,301.9,433.8,608.8,74.0,488.1,482.4,592.9,550.1,609.3,675.3,313.0,309.5,147.6,567.3,600.3,1852.7,576.2,480.3,229.2,440.3,427.5,155.7,137.0,211.7,290.7,326.7,318.5,365.5,446.9,200.6,281.5,555.9,419.9
CX,112.2,517.3,454.4,220.9,0.0,512.9,459.9,452.0,466.7,297.6,353.3,89.1,640.1,556.2,231.7,462.1,614.0,211.6,189.0,548.5,343.2,410.5,332.7,626.8,571.5,504.2,192.8,496.5,397.3,445.3,390.5,495.5,135.5,644.6,208.8,207.4,507.2,216.3,305.8,524.6,329.9,495.1,239.3,496.0,258.9,535.5,449.9,472.8,329.9,561.8,241.1,233.6,562.4,283.4,376.2,500.8,517.1,347.6,439.8,275.5,367.3,268.7,659.5,178.4,472.9,236.0,379.3,423.5,548.1,262.1,477.8,421.7,532.2,565.1,548.6,690.3,390.4,299.2,242.1,557.0,590.0,1930.1,591.2,470.0,218.9,430.0,417.2,75.0,271.9,216.2,368.1,316.4,308.2,355.2,436.6,190.4,357.5,545.6,409.6
DO,513.1,663.2,600.3,554.8,498.3,0.0,163.9,180.2,104.4,518.7,499.2,474.3,281.5,114.7,586.1,213.3,274.9,370.0,440.5,694.4,274.4,220.8,263.9,266.2,116.3,182.1,512.6,642.4,151.7,186.1,536.4,216.8,416.2,304.4,434.9,408.9,190.0,342.4,391.6,162.2,285.8,159.5,423.1,641.9,442.7,177.2,130.4,618.7,475.8,54.8,474.9,429.1,25.3,460.8,310.7,63.7,104.9,493.5,263.5,316.6,369.8,452.5,297.6,380.5,618.8,347.6,525.2,201.5,64.9,493.7,142.2,201.7,88.4,177.0,40.2,267.1,536.3,346.1,596.5,57.5,72.8,1817.1,274.4,233.4,361.1,198.4,195.2,461.8,417.8,357.3,514.0,423.3,278.9,265.8,260.3,362.5,553.8,181.8,198.0
DV,410.1,577.4,514.5,469.8,460.5,148.2,0.0,100.7,51.6,432.9,413.4,371.3,397.9,151.2,483.1,70.0,371.8,283.5,354.7,608.6,171.4,86.5,160.9,384.6,201.4,134.1,426.8,556.6,12.2,60.5,450.6,92.3,313.2,402.4,342.5,317.1,133.5,239.4,305.8,122.0,197.6,80.0,320.1,556.1,339.7,165.4,34.8,532.9,390.0,146.7,389.1,343.3,147.3,375.0,207.7,136.1,102.0,407.7,121.4,213.6,264.6,349.5,417.3,277.5,533.0,264.7,439.4,75.5,213.2,407.9,62.7,40.1,177.2,311.6,174.8,401.7,450.5,301.1,493.5,141.9,219.9,1990.2,349.0,99.9,275.3,99.3,81.8,358.8,332.0,254.3,428.2,320.3,175.9,162.8,118.2,276.7,468.0,175.5,98.9
EB,394.6,538.4,472.6,416.2,430.2,162.3,65.8,0.0,65.7,393.9,371.5,355.8,330.2,136.4,467.6,92.2,304.1,239.5,312.8,569.6,193.6,108.7,184.9,316.9,154.6,56.3,384.9,514.7,78.0,82.7,408.7,33.6,297.7,337.1,307.2,281.2,32.7,250.3,266.8,73.3,161.0,20.6,322.6,514.2,345.1,121.2,74.3,491.0,348.1,160.8,347.2,304.3,161.4,336.0,229.9,152.0,116.1,368.7,129.1,192.2,289.0,352.0,352.5,264.6,491.1,222.8,400.4,97.7,178.7,368.9,37.9,77.9,162.8,264.8,179.2,352.0,408.6,218.4,480.9,156.0,170.2,1948.3,281.3,50.2,233.4,153.0,104.0,346.2,290.1,267.3,386.3,337.6,179.8,185.0,123.0,234.8,426.1,128.7,148.5
EC,408.6,605.2,542.3,471.6,459.0,96.5,59.4,75.7,0.0,460.7,441.2,369.8,362.6,99.5,481.6,108.8,358.0,282.0,380.9,636.4,169.9,116.3,159.4,349.3,184.4,89.9,454.6,584.4,47.2,81.8,478.4,112.3,311.7,392.7,350.3,344.9,99.7,237.9,358.2,70.3,196.1,55.0,318.6,583.9,338.2,156.5,15.2,560.7,417.8,95.0,416.9,371.1,95.6,402.8,206.2,84.4,50.3,435.5,160.2,212.1,263.1,348.0,380.7,276.0,560.8,272.6,467.2,97.0,161.5,435.7,37.7,97.2,125.5,260.1,123.1,350.2,478.3,299.6,492.0,90.2,169.4,1900.2,339.3,128.9,293.0,93.9,90.7,357.3,359.8,252.8,456.0,318.8,174.4,161.3,157.0,304.5,495.8,166.6,93.5
ED,261.1,281.3,218.4,134.9,296.7,531.4,429.4,394.4,549.1,0.0,178.7,222.3,580.8,459.0,209.3,358.8,554.7,290.3,321.8,426.8,425.6,351.6,415.1,567.5,432.2,411.3,72.9,260.5,530.1,387.1,242.8,381.7,225.7,585.3,297.8,289.8,396.3,298.7,246.5,431.7,277.0,415.1,321.7,260.0,341.3,443.8,521.0,351.1,69.6,482.4,44.3,316.0,532.3,106.0,458.6,493.0,463.0,173.0,354.5,264.9,449.7,351.1,600.2,260.8,236.9,321.3,204.7,371.3,485.3,54.0,432.4,386.8,485.4,505.8,501.8,631.0,215.8,234.3,219.7,538.5,476.8,1808.4,531.9,377.1,301.3,512.4,379.6,227.8,92.7,283.8,193.5,398.8,298.7,437.6,351.3,265.9,171.9,448.4,492.0
EG,387.3,205.0,142.1,314.5,437.7,581.6,479.6,441.7,510.4,178.7,0.0,348.5,631.0,509.2,388.1,409.0,604.9,289.4,305.5,327.4,386.9,401.8,392.1,617.7,482.4,461.5,251.7,184.2,491.8,437.3,87.0,431.9,290.4,635.5,293.3,267.9,446.5,316.5,296.7,481.6,327.2,465.3,339.5,183.7,359.1,488.5,494.2,251.7,99.0,532.6,223.1,294.1,586.1,284.8,435.6,543.2,513.2,5.6,404.7,324.2,439.2,368.9,650.4,278.6,160.6,336.2,23.2,423.5,535.5,232.8,482.6,437.0,535.6,556.0,545.0,681.2,37.0,284.5,398.5,588.7,527.0,1709.0,582.1,427.3,276.0,486.1,429.8,336.0,226.4,301.6,14.7,416.6,348.9,402.4,401.5,255.3,95.6,498.6,469.0
EH,38.7,442.9,380.0,146.5,89.1,488.9,385.5,428.0,392.3,223.2,278.9,0.0,565.7,481.8,157.3,387.7,539.6,137.2,165.0,474.1,268.8,336.1,258.3,552.4,497.1,429.8,168.8,422.1,373.3,370.9,316.1,421.1,57.1,570.2,141.0,139.0,432.8,141.9,231.4,450.2,255.5,420.7,164.9,421.6,184.5,466.6,364.2,398.4,255.5,487.4,217.1,159.2,488.0,209.0,301.8,476.8,442.7,273.2,365.4,208.1,292.9,194.3,585.1,104.0,398.5,161.6,304.9,349.1,524.1,187.7,403.4,400.3,508.2,490.7,524.6,615.9,316.0,224.8,167.7,482.6,515.6,1855.7,516.8,395.6,144.5,355.6,342.8,51.0,197.5,127.0,293.7,242.0,233.8,280.8,362.2,109.1,333.5,471.2,335.2
EX,565.6,706.5,643.6,587.2,550.8,200.4,360.7,288.9,281.4,562.0,542.5,523.8,0.0,270.5,638.6,311.1,35.6,410.5,480.8,737.7,388.8,345.0,394.0,14.2,259.7,311.7,552.9,685.7,369.9,339.6,579.7,282.1,480.5,42.7,478.2,452.2,296.7,418.4,434.9,329.1,329.1,315.5,493.6,685.2,513.2,348.5,307.4,662.0,519.1,205.4,515.2,472.4,191.4,504.1,437.5,216.0,281.9,536.8,306.8,363.2,475.0,520.0,59.6,432.7,662.1,390.9,568.5,364.7,208.3,537.0,332.8,336.1,241.1,150.4,170.1,88.4,579.6,389.4,649.0,234.5,216.2,1740.4,55.6,277.5,404.4,375.4,373.0,514.3,461.1,435.3,554.3,508.6,350.7,404.3,303.6,418.9,594.1,353.1,413.7
FB,491.9,634.1,571.2,526.5,542.3,99.4,125.4,106.8,112.1,489.6,470.1,453.1,305.6,0.0,564.9,151.8,301.0,345.4,411.4,665.3,253.2,168.3,242.7,292.3,115.3,106.4,483.5,613.3,137.6,142.3,507.3,127.8,395.0,328.1,399.2,373.8,116.2,321.2,362.5,86.8,256.7,98.2,401.9,612.8,421.5,56.9,127.4,589.6,446.7,97.9,445.8,400.0,98.5,431.7,289.5,87.3,72.5,464.4,203.2,295.4,346.4,431.3,323.7,359.3,589.7,321.4,496.1,157.3,119.9,464.6,115.5,137.5,104.0,203.1,113.4,293.2,507.2,317.0,575.3,93.1,111.4,1843.2,301.9,160.0,332.0,206.1,163.6,440.6,388.7,336.1,484.9,402.1,257.7,244.6,200.0,333.4,524.7,67.0,205.7
FD,188.0,463.5,400.6,106.2,238.4,572.6,469.2,514.6,476.0,182.1,348.5,149.2,649.4,565.5,0.0,471.4,623.3,217.2,248.7,543.7,352.5,419.8,342.0,636.1,580.8,513.5,127.7,442.7,457.0,454.6,385.7,504.8,152.6,656.3,218.1,216.7,516.5,225.6,315.1,533.6,339.2,504.4,248.6,442.2,268.2,544.8,459.2,468.0,251.8,571.1,176.0,242.9,571.7,167.9,385.5,560.5,526.4,342.8,449.1,284.8,374.4,278.0,668.8,187.7,419.1,245.3,374.5,432.8,607.8,146.6,487.1,481.4,591.9,574.4,599.2,699.6,385.6,308.5,97.8,566.3,599.3,1925.3,600.5,479.3,228.2,439.3,426.5,154.7,209.6,210.7,363.3,325.7,317.5,364.5,445.9,205.9,354.1,554.9,418.9
FF,370.2,511.1,448.2,403.5,420.6,198.5,95.1,113.9,101.9,366.6,347.1,331.4,357.7,167.7,443.2,0.0,331.6,222.4,288.4,542.3,157.1,72.2,146.6,344.4,183.0,115.7,360.5,490.3,82.9,28.2,384.3,92.0,273.3,362.2,276.2,250.8,118.7,223.0,239.5,135.8,133.7,130.3,298.2,489.8,317.8,147.0,85.1,466.6,323.7,191.1,322.8,277.0,197.6,308.7,193.4,186.4,152.3,341.4,51.3,176.9,250.3,327.6,377.1,237.3,466.7,198.4,373.1,61.2,210.0,341.6,113.0,83.6,194.1,293.2,203.5,383.3,384.2,194.0,453.6,192.2,201.5,1923.9,308.8,81.5,209.0,112.6,67.5,318.9,265.7,240.0,361.9,306.0,155.4,148.5,48.1,210.4,401.7,157.1,112.0
FI,591.7,732.6,669.7,625.0,642.1,206.2,386.8,320.9,287.2,588.1,568.6,552.9,26.0,276.3,664.7,337.2,0.0,443.9,509.9,763.8,414.9,371.1,420.1,12.7,265.5,337.8,582.0,711.8,334.5,365.5,605.8,308.2,494.8,32.9,497.7,472.3,322.8,444.5,461.0,357.9,355.2,341.6,519.7,711.3,539.3,369.1,302.5,688.1,545.2,211.2,544.3,498.5,193.6,530.2,463.6,221.8,287.7,562.9,332.9,398.4,498.9,549.1,45.4,458.8,688.2,419.9,594.6,392.8,214.1,563.1,358.9,365.2,244.8,156.2,182.9,76.2,605.7,415.5,675.1,240.3,222.0,1746.2,21.3,303.6,430.5,381.2,399.1,540.4,487.2,464.4,583.4,534.7,376.9,430.4,329.7,431.9,623.2,379.2,439.8
