from_stop,AF,AI,AK,AQ,AT,BO,BV,CC,CE,CO,CP,DB,DK,DN,DR,DW,EB,EF,EJ,EN,EP,ET,FF,FJ,FL,FO,FQ,FR,FT,FW,FX,FZ,GD,GG,GI,GK,GR,GT,GV,HA,HB,HG,HH,HO,HP,HT,IF,IS,IT,IY,IZ,JE,JM,JP,JV,KB,KE,KH,KL,KN,KO,KP,KS,LC,ME,MH,ML,MW,NB,NK,NO,NT,NU,NX,NZ,OE,OG,OK,PC,PD,PE,PG,PP,QD,QH,QY,RD,RN,SJ,SL,SU,SX,TE,TL,TO,TS,TY,UL,UM,UV,VA,VF,VR,VV,VX,WA,WE,WR,WW,WY,XC,XI,XO,YE,YF,YI,YJ,YT,YX,YY,ZE,ZT
AF,0.0,1177.2,339.4,1003.7,481.9,171.9,676.0,982.0,62.4,188.3,471.7,502.5,568.5,168.9,1153.7,934.3,866.5,1201.1,675.5,255.5,888.3,645.1,1216.4,674.3,680.0,526.0,973.7,437.9,444.0,1324.1,687.3,116.2,575.7,94.1,564.1,1326.0,556.0,1359.7,466.8,1272.7,127.0,551.7,835.1,168.7,569.9,596.3,557.4,142.4,975.7,63.9,649.2,666.5,726.3,1244.4,651.3,940.9,198.5,649.8,487.1,723.4,447.1,602.3,47.2,1337.0,178.8,540.5,1300.8,692.7,914.4,1580.0,711.5,209.9,835.6,86.9,980.6,1107.3,1336.5,152.9,1337.8,184.9,162.0,554.4,431.0,133.3,1274.9,464.4,991.6,1303.1,1325.2,1043.9,515.6,480.8,966.9,133.2,492.5,981.2,996.5,604.6,502.1,1066.7,703.8,1147.3,109.4,433.2,1018.1,164.5,746.4,193.5,1142.2,871.6,579.5,628.4,903.4,542.2,151.6,992.3,409.8,97.3,515.7,460.6,1012.9,47.7
AI,1156.6,0.0,961.3,411.2,774.0,1168.5,549.3,389.5,1145.4,1104.9,763.8,648.9,668.7,1187.8,178.5,341.8,1179.5,168.4,565.8,1039.1,337.9,593.6,183.7,987.3,570.3,630.3,189.5,896.4,783.0,623.1,1000.3,1124.5,548.6,1076.4,668.7,625.0,660.3,658.7,925.3,701.6,1204.4,734.9,346.9,1165.3,908.9,576.7,595.7,1161.3,187.3,1146.9,559.2,476.0,549.4,647.0,574.0,348.4,1090.7,490.3,749.3,1036.4,905.6,550.8,1203.9,636.0,1142.2,879.5,599.8,554.8,364.0,1369.0,542.8,1312.0,1148.6,1164.3,1293.6,160.4,635.5,1171.8,636.8,1193.2,1170.3,654.6,695.1,1141.6,242.2,756.5,207.9,602.1,624.2,451.4,662.0,644.4,374.4,1215.3,754.7,388.7,166.5,518.9,841.1,474.2,440.2,102.2,1091.7,725.3,145.1,1172.8,1059.4,1190.1,129.1,321.2,544.7,599.6,1216.4,642.4,1229.0,170.7,748.8,1180.3,829.9,722.8,420.4,1130.7
AK,362.0,1030.0,0.0,856.5,325.8,373.9,528.8,834.8,350.8,310.3,324.5,355.3,421.3,393.2,1006.5,787.1,710.0,1066.3,528.3,244.5,741.1,497.9,1081.6,527.1,532.8,378.8,826.5,290.7,296.8,1365.1,540.1,329.9,428.5,281.8,416.9,1367.0,408.8,1400.7,319.6,1313.7,409.8,404.5,687.9,370.7,422.7,449.1,410.2,366.7,828.5,352.3,502.0,519.3,592.9,1285.4,504.1,793.7,296.1,502.6,339.9,576.2,299.9,455.1,409.3,1378.0,347.6,393.3,1341.8,545.5,767.2,1621.0,564.3,517.4,688.4,369.7,833.4,1058.3,1377.5,377.2,1400.5,401.3,375.7,407.2,283.8,347.0,1140.1,317.2,844.4,1344.1,1366.2,896.7,368.4,361.3,819.7,420.7,345.3,834.0,849.3,457.4,354.9,919.5,556.6,1000.1,297.1,286.0,870.9,378.2,585.2,395.5,1027.0,724.4,432.3,481.2,756.2,395.0,434.4,845.1,262.6,385.7,368.5,313.4,865.7,336.1
AQ,995.2,396.0,799.9,0.0,603.7,1007.1,387.9,90.0,984.0,943.5,602.4,487.5,507.3,1026.4,372.5,42.8,1008.8,432.3,403.8,877.7,176.5,432.2,447.6,825.9,408.9,468.9,192.5,729.0,621.6,887.0,838.9,963.1,387.2,915.0,507.3,888.9,498.9,922.6,763.9,965.5,1043.0,573.5,185.5,1003.9,747.5,415.3,434.3,999.9,194.5,985.5,397.8,314.6,401.8,910.9,412.6,105.5,929.3,328.9,587.9,875.0,744.2,389.4,1042.5,899.9,980.8,718.1,863.7,393.4,202.6,1632.9,368.8,1150.6,987.2,1002.9,1132.2,424.3,899.4,1010.4,922.4,1034.5,1008.9,493.2,533.7,980.2,506.1,595.1,210.4,866.0,888.1,151.9,500.6,512.0,74.9,1053.9,593.3,145.8,215.3,357.5,679.7,174.7,278.8,366.1,930.3,563.9,236.9,1011.4,898.0,1028.7,393.0,159.8,383.3,438.2,1055.0,481.0,1067.6,211.1,587.4,1018.9,668.5,561.4,177.5,969.3
AT,519.5,816.2,314.3,632.8,0.0,531.4,305.1,611.1,508.3,467.8,60.2,141.5,207.5,550.7,792.7,563.4,533.1,852.5,313.9,402.0,527.3,285.6,857.9,350.2,319.0,165.0,612.7,253.3,145.9,1307.2,363.2,487.4,214.7,439.3,201.6,1299.2,195.0,1342.8,288.2,1385.7,567.3,180.8,464.2,528.2,271.8,235.3,172.7,524.2,614.7,509.8,288.2,305.5,379.1,1331.1,290.3,579.9,446.6,288.8,126.1,399.3,268.5,241.3,556.9,1320.1,505.1,242.4,1283.9,331.7,553.4,1778.5,337.8,674.9,511.5,527.2,656.5,844.5,1319.6,534.7,1342.6,558.8,523.3,193.4,60.1,504.5,916.4,52.9,630.6,1286.2,1298.4,682.9,154.6,137.6,605.9,568.3,131.5,615.5,635.5,233.7,194.1,705.7,342.8,786.3,454.6,36.7,657.1,535.7,408.3,553.0,813.2,500.7,218.5,267.4,569.4,181.2,591.9,631.3,111.7,533.3,192.8,99.6,651.9,493.6
BO,171.2,1206.1,368.3,1032.6,510.8,0.0,704.9,1010.9,131.1,245.3,500.6,531.4,597.4,303.3,1182.6,963.2,895.4,1242.4,704.4,333.1,917.2,674.0,1257.7,703.2,708.9,554.9,1002.6,466.8,472.9,1447.9,716.2,240.0,604.6,217.9,593.0,1449.8,584.9,1483.5,495.7,1396.5,166.5,580.6,864.0,46.0,598.8,625.2,586.3,276.8,1004.6,156.8,678.1,695.4,755.2,1368.2,680.2,969.8,231.1,678.7,516.0,752.3,476.0,631.2,218.5,1460.8,157.5,569.4,1424.6,721.6,943.3,1703.8,740.4,381.2,864.5,126.4,1009.5,1231.1,1460.3,287.3,1461.6,308.7,285.8,583.3,459.9,257.1,1316.2,493.3,1020.5,1426.9,1449.0,1072.8,544.5,509.7,995.8,304.5,521.4,1010.1,1025.4,633.5,531.0,1095.6,732.7,1176.2,232.7,462.1,1047.0,288.3,775.3,119.8,1266.0,900.5,608.4,657.3,932.3,571.1,191.1,1021.2,438.7,190.2,544.6,489.5,1041.8,120.1
BV,693.0,603.4,497.7,429.9,301.5,704.9,0.0,408.2,681.8,641.3,300.2,185.3,205.1,724.2,579.9,360.5,706.6,639.7,45.9,575.5,314.5,123.1,655.0,523.7,51.0,166.7,399.9,432.8,319.4,1094.4,536.7,660.9,85.0,612.8,209.9,1096.3,196.7,1130.0,461.7,1172.9,740.8,271.3,261.3,701.7,445.3,108.3,127.1,697.7,401.9,683.3,19.9,78.7,152.3,1118.3,24.7,367.1,627.1,62.0,285.7,572.8,442.0,92.0,740.3,1107.3,678.6,415.9,1071.1,78.5,340.6,1840.3,82.5,848.4,685.0,700.7,830.0,631.7,1106.8,708.2,1129.8,732.3,706.7,219.1,231.5,678.0,713.5,292.9,417.8,1073.4,1095.5,470.1,198.4,209.8,393.1,751.7,291.1,402.7,422.7,55.3,377.5,492.9,116.0,573.5,628.1,261.7,444.3,709.2,595.8,726.5,600.4,297.8,81.1,129.1,752.8,178.8,765.4,418.5,285.2,716.7,366.3,259.2,439.1,667.1
CC,1000.0,400.8,804.7,96.5,608.5,1011.9,392.7,0.0,988.8,956.4,615.3,492.3,512.1,1039.3,377.3,55.7,1021.7,437.1,408.6,882.5,181.3,437.5,460.5,838.8,413.7,473.7,205.4,741.9,626.4,891.8,851.8,976.0,392.0,927.9,512.1,893.7,511.8,935.5,768.7,978.4,1055.9,578.3,198.4,1008.7,752.3,428.2,442.2,1004.7,207.4,990.3,402.6,327.5,392.8,915.7,417.4,118.4,935.2,341.8,592.7,887.9,757.1,394.2,1055.4,904.7,985.6,722.9,876.6,406.3,215.5,1645.8,386.2,1155.4,992.0,1015.8,1137.0,429.1,904.2,1023.3,905.5,1047.4,1021.8,498.0,538.5,985.0,510.9,608.0,223.3,878.9,892.9,52.4,505.4,516.8,23.1,1058.7,606.2,145.9,220.1,362.3,692.6,75.2,291.7,370.9,943.2,568.7,241.7,1016.2,888.8,1033.5,397.8,172.7,396.2,443.0,1067.9,493.9,1072.4,224.0,592.2,1031.8,673.3,574.3,190.4,982.2
CE,74.0,1178.9,341.1,1005.4,483.6,123.4,677.7,993.1,0.0,214.9,473.4,504.2,570.2,206.1,1155.4,936.0,868.2,1227.7,677.2,282.1,890.0,646.8,1243.0,676.0,681.7,527.7,975.4,439.6,445.7,1350.7,689.0,142.8,577.4,120.7,565.8,1352.6,557.7,1386.3,468.5,1299.3,78.5,553.4,836.8,120.2,571.6,598.0,559.1,179.6,977.4,59.6,650.9,668.2,728.0,1271.0,653.0,942.6,203.9,651.5,488.8,725.1,448.8,604.0,121.3,1363.6,130.3,542.2,1327.4,694.4,916.1,1606.6,713.2,284.0,837.3,38.4,982.3,1133.9,1363.1,190.1,1364.4,211.5,188.6,556.1,432.7,159.9,1301.5,466.1,993.3,1329.7,1351.8,1045.6,517.3,482.5,968.6,207.3,494.2,982.9,998.2,606.3,503.8,1068.4,705.5,1149.0,136.0,434.9,1019.8,191.1,748.1,145.0,1168.8,873.3,581.2,630.1,905.1,543.9,103.1,994.0,411.5,93.0,517.4,462.3,1014.6,22.9
CO,208.6,1131.2,293.4,957.7,435.9,250.0,630.0,936.0,197.4,0.0,425.7,456.5,522.5,221.8,1107.7,888.3,820.5,1167.5,629.5,258.2,842.3,599.1,1182.8,628.3,634.0,480.0,927.7,391.9,398.0,1384.4,641.3,158.5,529.7,94.1,518.1,1386.3,510.0,1420.0,420.8,1333.0,262.0,505.7,789.1,246.8,523.9,550.3,511.4,195.3,929.7,198.9,603.2,620.5,680.3,1304.7,605.3,894.9,67.8,603.8,441.1,677.4,401.1,556.3,255.9,1397.3,223.7,494.5,1361.1,646.7,868.4,1640.3,665.5,346.0,789.6,221.9,934.6,1167.6,1396.8,205.8,1398.1,227.2,204.3,508.4,385.0,175.6,1241.3,418.4,945.6,1363.4,1385.5,997.9,469.6,434.8,920.9,249.3,446.5,935.2,950.5,558.6,456.1,1020.7,657.8,1101.3,90.5,387.2,972.1,206.8,700.4,271.6,1202.5,825.6,533.5,582.4,857.4,496.2,286.6,946.3,363.8,232.3,469.7,414.6,966.9,182.7
