from_stop,AD,AE,AH,BB,BC,BD,BH,BK,BQ,BV,CA,CF,CL,CR,DI,DL,DP,DU,DV,EL,EQ,FA,FJ,FN,FP,FU,FX,GP,GQ,GS,GU,HH,IB,IJ,IM,IQ,IR,IY,JH,JM,JO,JQ,JT,JV,JZ,KH,KP,KV,KX,KY,LC,LD,LF,LK,LW,ME,MW,MY,ND,NM,NN,NU,NW,NY,OB,OQ,PF,PG,PH,PM,PN,PZ,QA,QB,QK,QV,RB,RH,RW,SE,SG,SK,SM,SN,ST,SV,TB,TE,TG,TN,TO,UC,UD,UF,UN,UW,VC,VK,VT,VV,WQ,WR,WT,WV,WY,XC,XF,XI,XR,XV,XY,YC,YD,YE,YG,YY,ZF,ZO,ZY
AD,0.0,520.7,68.2,591.4,474.8,654.9,38.1,457.5,534.0,170.8,551.2,344.6,492.4,349.9,549.6,474.5,532.1,618.1,119.7,391.0,498.8,712.2,410.5,416.5,680.0,501.0,290.5,521.1,529.5,599.5,519.6,359.9,389.0,569.7,508.2,576.9,659.6,341.5,510.9,359.6,408.9,512.7,543.1,508.7,511.3,591.3,670.2,101.4,682.2,315.9,568.0,574.5,46.4,587.5,411.1,597.1,521.7,254.9,366.1,543.7,568.2,547.0,407.7,550.2,103.6,110.4,418.3,307.7,562.6,424.3,331.7,319.1,601.7,557.9,608.7,491.4,348.4,568.2,558.6,437.4,605.7,539.7,439.5,652.9,453.2,519.2,539.7,730.8,547.2,489.8,355.5,562.8,572.4,561.0,601.3,383.1,557.8,604.8,138.9,264.3,579.4,37.1,449.2,538.0,446.1,379.3,528.3,553.6,302.6,1159.0,338.7,660.9,259.6,609.4,355.5,400.9,598.9,565.0,503.8
AE,508.3,0.0,471.1,258.1,336.9,330.3,479.2,144.5,200.7,472.0,217.9,645.8,354.5,396.1,210.2,336.6,66.4,237.2,511.6,483.8,360.9,387.6,503.3,420.4,355.4,202.5,383.3,192.9,190.1,218.6,16.0,365.8,481.8,169.9,180.0,177.1,335.0,642.7,24.3,452.4,413.2,179.4,203.7,108.9,373.4,191.5,345.6,493.3,357.6,617.1,202.5,209.0,488.0,206.6,503.9,197.3,383.8,347.7,372.0,215.5,202.7,213.7,500.5,150.4,491.1,502.3,371.9,608.9,229.3,517.1,424.5,411.9,277.1,158.1,284.1,166.9,441.2,187.3,225.3,367.0,281.1,139.9,208.8,328.3,420.9,185.9,211.5,406.2,147.4,156.5,361.4,163.0,172.6,161.2,201.5,684.3,158.0,280.2,530.8,565.5,179.6,463.1,542.0,209.8,392.0,386.4,195.0,153.8,603.8,1135.3,431.5,336.3,560.8,209.6,398.9,381.7,218.0,165.2,365.9
AH,63.1,498.4,0.0,569.1,452.5,632.6,34.0,435.2,511.7,148.5,528.9,322.3,470.1,327.6,527.3,452.2,512.7,595.8,97.4,368.7,476.5,689.9,388.2,394.2,657.7,478.7,268.2,498.8,507.2,577.2,497.3,337.6,366.7,547.4,485.9,554.6,637.3,319.2,488.6,337.3,386.6,490.4,520.8,486.4,489.0,569.0,647.9,79.1,659.9,293.6,545.7,552.2,42.8,565.2,388.8,574.8,499.4,232.6,343.8,521.4,545.9,524.7,385.4,527.9,37.8,88.1,396.0,285.4,540.3,402.0,309.4,296.8,579.4,535.6,586.4,469.1,326.1,545.9,536.3,415.1,583.4,517.4,417.2,630.6,430.9,496.9,517.4,708.5,524.9,467.5,333.2,540.5,550.1,538.7,579.0,360.8,535.5,582.5,116.6,242.0,557.1,17.9,426.9,515.7,423.8,357.0,506.0,531.3,280.3,1136.7,316.4,638.6,237.3,587.1,333.2,378.6,576.6,542.7,481.5
BB,561.6,235.3,524.4,0.0,390.2,399.6,532.5,207.3,138.6,525.3,155.8,699.1,407.8,449.4,310.5,389.9,249.6,280.3,564.9,537.1,414.2,456.9,556.6,473.7,424.7,237.3,436.6,193.7,290.4,261.7,234.2,419.1,535.1,228.6,180.8,241.5,404.3,696.0,225.5,505.7,466.5,117.3,304.0,163.1,426.7,194.6,414.9,546.6,426.9,670.4,271.8,278.3,541.3,249.7,557.2,200.4,437.1,401.0,425.3,216.3,272.0,151.6,553.8,171.6,544.4,555.6,425.2,662.2,167.2,570.4,477.8,465.2,346.4,161.2,353.4,217.1,494.5,230.4,163.2,420.3,350.4,183.2,222.2,397.6,474.2,85.1,212.3,475.5,150.5,96.7,414.7,214.9,195.9,184.5,204.6,737.6,181.3,349.5,584.1,618.8,209.6,516.4,595.3,210.6,445.3,439.7,132.9,222.1,657.1,1133.7,484.8,405.6,614.1,212.7,452.2,435.0,261.1,187.7,419.2
BC,364.4,432.1,327.2,502.8,0.0,566.3,335.3,368.9,445.4,328.1,462.6,501.9,17.5,235.2,461.0,81.2,443.5,529.5,367.7,339.9,105.5,593.8,359.4,188.6,591.4,394.0,238.4,432.5,440.9,510.9,431.0,204.9,321.0,481.1,419.6,488.3,571.0,498.8,422.3,294.5,181.4,424.1,454.5,420.1,118.0,502.7,563.4,338.5,593.6,473.2,479.4,485.9,346.9,498.9,360.0,508.5,128.4,203.8,211.1,455.1,479.1,458.4,356.6,481.9,347.2,358.4,140.1,465.0,474.0,373.2,253.4,268.0,513.1,469.3,520.1,402.8,297.3,479.6,470.0,135.2,517.1,451.1,380.6,564.3,189.1,432.7,451.1,642.2,458.6,401.2,200.5,474.2,457.5,472.4,512.7,540.4,469.2,516.2,386.9,421.6,490.8,319.2,400.0,449.4,160.2,204.9,439.7,465.0,459.9,1199.4,281.6,572.3,416.9,520.8,238.0,149.9,510.3,476.4,110.5
BD,637.6,318.9,600.4,404.6,466.2,0.0,608.5,302.1,364.9,601.3,382.1,775.1,483.8,525.4,240.1,465.9,330.3,257.1,640.9,613.1,490.2,57.2,632.6,549.7,121.1,360.1,512.6,350.5,220.0,238.5,317.8,495.1,611.1,314.6,337.6,238.8,52.1,772.0,309.1,581.7,542.5,343.6,233.6,237.6,502.7,233.6,103.1,622.6,37.2,746.4,207.0,213.5,617.3,226.5,633.2,223.4,513.1,477.0,501.3,373.1,207.2,377.9,629.8,239.5,620.4,631.6,501.2,738.2,393.5,646.4,553.8,541.2,103.7,234.3,65.4,324.5,570.5,207.2,389.5,496.3,107.7,229.0,366.4,88.8,550.2,332.4,369.1,75.8,245.0,304.3,490.7,307.7,301.3,289.9,227.6,813.6,286.7,106.8,660.1,694.8,324.3,592.4,671.3,367.4,521.3,515.7,359.2,298.5,733.1,1278.4,560.8,117.6,690.1,235.7,528.2,511.0,237.9,226.9,495.2
BH,66.1,499.6,47.1,570.3,453.7,633.8,0.0,436.4,512.9,149.7,530.1,323.5,471.3,328.8,528.5,453.4,513.9,597.0,98.6,369.9,477.7,691.1,389.4,395.4,658.9,479.9,269.4,500.0,508.4,578.4,498.5,338.8,367.9,548.6,487.1,555.8,638.5,320.4,489.8,338.5,387.8,491.6,522.0,487.6,490.2,570.2,649.1,80.3,661.1,294.8,546.9,553.4,29.6,566.4,390.0,576.0,500.6,233.8,345.0,522.6,547.1,525.9,386.6,529.1,82.5,89.3,397.2,286.6,541.5,403.2,310.6,298.0,580.6,536.8,587.6,470.3,327.3,547.1,537.5,416.3,584.6,518.6,418.4,631.8,432.1,498.1,518.6,709.7,526.1,468.7,334.4,541.7,551.3,539.9,580.2,362.0,536.7,583.7,117.8,243.2,558.3,16.0,428.1,516.9,425.0,358.2,507.2,532.5,281.5,1137.9,317.6,639.8,238.5,588.3,334.4,379.8,577.8,543.9,482.7
BK,435.6,210.8,398.4,246.9,264.2,396.2,406.5,0.0,189.5,399.3,206.7,573.1,281.8,323.4,262.9,263.9,225.1,303.1,438.9,411.1,288.2,453.5,430.6,347.7,421.3,78.5,310.6,91.2,242.8,284.5,209.7,293.1,409.1,235.8,98.3,243.0,400.9,570.0,201.0,379.7,340.5,168.2,256.4,174.8,300.7,257.4,411.5,420.6,423.5,544.4,268.4,274.9,415.3,272.5,431.2,263.2,311.1,275.0,299.3,113.8,268.6,202.5,427.8,216.3,418.4,429.6,299.2,536.2,218.1,444.4,351.8,339.2,343.0,224.0,350.0,42.9,368.5,253.2,214.1,294.3,347.0,205.8,84.8,394.2,348.2,174.7,129.8,472.1,213.3,145.3,288.7,228.9,238.5,227.1,267.4,611.6,223.9,346.1,458.1,492.8,245.5,390.4,469.3,128.1,319.3,313.7,183.8,219.7,531.1,1071.7,358.8,402.2,488.1,275.5,326.2,309.0,283.9,231.1,293.2
BQ,515.4,189.1,478.2,177.1,344.0,374.5,486.3,161.1,0.0,479.1,67.4,652.9,359.2,403.2,285.4,343.7,200.5,259.1,518.7,490.9,368.0,420.9,510.4,427.5,399.6,162.1,389.4,133.9,265.3,240.5,188.0,372.9,488.9,207.4,134.6,220.3,379.2,649.8,179.3,445.5,420.3,20.8,278.9,141.9,380.5,173.4,389.8,489.5,401.8,624.2,246.7,253.2,497.9,228.5,511.0,179.2,390.9,354.8,379.1,170.1,246.4,13.0,493.1,171.4,498.2,509.4,379.0,616.0,54.7,524.2,431.6,419.0,322.7,140.0,328.3,170.9,448.3,209.2,77.6,374.1,325.3,162.0,192.9,372.5,428.0,104.9,166.1,450.4,129.3,75.5,368.5,193.7,174.7,163.3,208.1,691.4,160.1,324.4,530.5,572.6,188.4,470.2,549.1,164.4,399.1,393.5,47.3,198.0,612.3,1087.5,432.6,380.5,567.9,191.5,406.0,388.8,224.6,166.5,373.0
BV,178.5,463.0,141.3,533.7,417.1,597.2,149.4,399.8,476.3,0.0,493.5,238.3,434.7,292.2,491.9,416.8,474.4,560.4,181.8,333.3,441.1,654.5,352.8,358.8,622.3,443.3,232.8,463.4,471.8,541.8,461.9,302.2,331.3,512.0,450.5,519.2,601.9,235.2,453.2,301.9,351.2,455.0,485.4,451.0,453.6,533.6,612.5,163.5,624.5,209.6,510.3,516.8,158.2,529.8,353.4,539.4,464.0,197.2,308.4,486.0,510.5,489.3,350.0,492.5,161.3,172.5,360.6,201.4,504.9,366.6,274.0,261.4,544.0,500.2,551.0,433.7,290.7,510.5,500.9,379.7,548.0,482.0,381.8,595.2,395.5,461.5,482.0,673.1,489.5,432.1,297.8,505.1,514.7,503.3,543.6,276.8,500.1,547.1,201.0,158.0,521.7,133.3,391.5,480.3,388.4,321.6,470.6,495.9,196.3,1101.3,281.0,603.2,153.3,551.7,297.8,343.2,541.2,507.3,446.1
