from_stop,AD,AL,AR,AZ,BM,CG,CK,CT,DC,DF,DH,DI,DR,DS,DW,EA,EC,ED,EF,EI,ET,FI,GA,GD,GF,GT,HL,HO,HQ,HT,ID,IN,IR,JH,JJ,JK,JN,JO,JQ,KD,KY,LA,LI,LR,ME,MK,MW,NA,NB,NJ,NQ,NU,NX,OC,OJ,OM,OP,OQ,OS,PA,PH,PI,PX,PY,QE,QF,QM,QO,QR,QU,RN,RS,RV,RW,SB,SC,ST,SW,TE,TH,TI,TO,TU,UC,UT,UX,UY,VA,VC,VE,VG,VI,VL,VZ,WL,WM,WY,WZ,XK,XQ,YD,YF,YJ,YM,YN,YY,ZD,ZH,ZJ,ZM,ZY
AD,0.0,535.6,284.4,688.7,246.7,556.4,57.4,532.1,556.8,496.3,62.1,531.6,688.1,511.8,401.0,231.7,200.4,196.9,612.5,74.7,595.9,588.9,445.2,566.4,709.1,557.2,325.5,592.8,536.5,612.1,458.7,590.4,48.3,619.3,662.4,553.6,149.8,153.4,524.7,171.1,309.7,520.2,482.1,636.8,692.4,541.1,588.6,528.2,112.1,552.0,467.4,306.3,502.7,590.1,634.7,500.2,9.6,70.6,541.4,172.4,594.6,553.4,574.9,574.7,101.2,605.0,546.3,453.5,657.2,592.8,593.8,104.3,585.4,654.2,623.9,547.0,539.7,564.0,260.5,119.6,563.1,548.3,353.0,155.0,192.8,601.9,541.3,552.0,527.6,279.5,604.7,598.8,537.2,100.7,511.9,619.6,493.0,540.5,551.0,497.8,217.8,218.0,536.5,549.9,528.5,174.9,542.1,556.4,587.1,579.0,1926.7
AL,446.3,0.0,466.1,258.7,453.8,101.6,472.9,153.7,111.1,117.2,477.6,76.8,258.2,156.8,484.5,438.8,424.4,612.4,258.2,514.9,133.3,213.4,358.8,111.6,246.5,213.9,521.7,150.7,260.1,290.8,150.3,135.6,494.7,164.5,207.6,18.0,565.3,568.9,165.8,589.2,293.7,211.7,150.2,285.2,193.6,126.2,365.5,55.4,527.6,97.2,89.2,531.4,279.6,185.6,201.5,231.0,456.0,486.1,207.1,472.9,205.4,197.3,120.1,351.6,516.7,381.9,73.5,157.3,202.4,138.0,241.4,519.8,130.6,241.0,214.5,168.6,196.4,203.6,467.6,535.1,340.0,322.4,458.1,570.5,501.1,280.6,187.0,197.7,304.5,516.6,149.9,144.0,196.9,506.0,151.5,223.3,103.8,257.4,216.7,189.8,629.0,406.8,168.6,245.7,351.0,475.4,364.1,202.1,125.4,137.2,1986.5
AR,221.2,456.2,0.0,634.1,234.6,477.0,247.8,452.7,477.4,416.9,252.5,452.2,592.0,431.7,218.1,219.6,205.2,387.3,533.1,289.8,508.7,509.5,391.2,487.0,629.7,477.8,55.6,513.4,449.9,532.7,379.3,511.0,269.6,539.9,583.0,474.2,340.2,343.8,445.3,364.1,192.3,440.8,402.7,574.8,613.0,461.7,445.6,448.8,302.5,472.6,399.0,136.4,359.7,510.7,555.3,420.8,230.9,261.0,462.0,253.7,559.2,474.0,495.5,431.7,291.6,462.0,466.9,374.1,577.8,513.4,516.3,294.7,506.0,574.8,544.5,467.6,460.3,484.6,248.4,310.0,420.1,402.5,179.7,345.4,292.1,522.5,461.9,472.6,384.6,96.6,525.3,519.4,451.8,286.8,432.5,540.2,413.6,461.1,471.6,418.4,403.9,187.6,457.1,470.5,431.1,256.2,444.2,477.0,500.8,500.0,2036.9
AZ,648.2,386.2,668.0,0.0,647.8,224.4,674.8,355.6,320.6,337.1,679.5,286.3,340.5,359.4,686.4,640.7,626.3,814.3,354.4,692.1,283.9,356.2,560.7,234.4,316.3,415.8,709.1,340.2,411.6,436.5,352.2,292.9,696.6,371.4,98.2,404.2,767.2,770.8,375.3,788.5,487.7,357.4,352.1,339.7,263.4,335.7,559.5,275.3,730.9,274.5,280.1,733.3,481.5,382.8,344.3,377.3,657.9,688.0,409.0,674.8,350.5,399.2,189.9,553.5,718.6,583.8,293.4,392.3,345.2,207.8,327.8,747.7,273.4,310.8,363.6,370.5,398.3,405.5,669.5,737.0,541.9,519.2,650.4,772.4,703.0,426.3,388.9,318.6,506.4,718.5,292.7,213.8,404.8,707.9,353.4,308.4,305.7,400.2,418.6,383.8,835.2,608.7,361.0,387.3,553.9,677.3,558.6,361.8,202.1,333.7,2188.4
BM,160.0,434.5,217.2,587.6,0.0,455.3,197.6,431.0,455.7,395.2,214.1,430.5,570.3,410.0,270.0,14.9,56.2,275.0,511.4,218.0,494.8,487.8,344.1,465.3,608.0,456.1,258.3,491.7,435.4,511.0,357.6,489.3,208.4,518.2,561.3,452.5,227.9,231.5,423.6,249.2,208.6,419.1,381.0,535.7,591.3,440.0,487.5,427.1,190.2,450.9,366.3,239.1,401.6,489.0,533.6,400.3,169.7,199.8,440.3,104.7,537.5,452.3,473.8,473.6,257.7,503.9,445.2,352.4,556.1,491.7,492.7,260.8,484.3,553.1,522.8,445.9,438.6,462.9,13.7,259.8,462.0,447.2,234.0,233.1,143.1,500.8,440.2,450.9,426.5,212.3,503.6,497.7,433.0,137.8,410.8,514.2,391.9,439.4,449.9,396.7,291.6,36.9,435.4,448.8,427.4,107.2,441.0,455.3,486.0,477.9,1989.8
CG,526.6,264.6,546.4,225.7,534.1,0.0,553.2,234.0,199.0,215.5,557.9,164.7,164.5,196.6,564.8,519.1,504.7,692.7,163.3,570.5,162.3,234.6,439.1,9.9,179.2,294.2,587.5,173.2,220.5,245.4,230.6,117.5,575.0,249.8,199.4,282.6,645.6,649.2,253.7,666.9,374.0,166.3,230.5,148.6,126.3,214.1,445.8,153.7,609.3,152.9,158.5,611.7,359.9,261.2,222.7,186.2,536.3,566.4,287.4,553.2,226.6,277.6,100.1,431.9,597.0,462.2,171.8,261.7,223.6,70.7,144.6,600.1,151.8,147.3,249.9,248.9,276.7,283.9,547.9,615.4,420.3,405.5,528.8,650.8,581.4,235.2,226.8,127.5,384.8,596.9,171.1,124.0,280.1,586.3,231.8,121.6,184.1,278.6,297.0,270.1,713.6,487.1,256.5,265.7,432.3,555.7,444.9,170.7,112.3,225.1,2066.8
CK,111.6,475.1,314.6,628.2,208.9,495.9,0.0,471.6,496.3,435.8,35.6,471.1,610.9,450.6,310.6,193.9,162.6,165.9,552.0,41.9,535.4,528.4,384.7,505.9,648.6,496.7,355.7,532.3,476.0,551.6,398.2,529.9,78.5,558.8,601.9,493.1,118.8,122.4,464.2,140.1,249.2,459.7,421.6,576.3,631.9,480.6,528.1,467.7,81.1,491.5,406.9,326.3,442.2,529.6,574.2,440.9,101.1,57.6,480.9,114.3,578.1,492.9,514.4,514.2,60.0,544.5,485.8,393.0,596.7,532.3,533.3,63.1,524.9,593.7,563.4,486.5,479.2,503.5,222.7,62.1,502.6,487.8,274.6,124.0,128.3,541.4,480.8,491.5,467.1,309.7,544.2,538.3,470.7,69.7,451.4,554.8,432.5,480.0,490.5,437.3,186.8,134.8,476.0,489.4,468.0,111.6,481.6,495.9,526.6,518.9,1913.7
CT,506.2,127.1,526.0,356.3,513.7,224.0,532.8,0.0,148.3,184.4,537.5,199.2,393.1,199.2,544.4,498.7,484.3,672.3,330.8,550.1,242.0,189.4,418.7,234.0,368.9,112.8,567.1,273.1,231.5,314.3,121.7,258.0,554.6,265.8,330.0,145.1,625.2,628.8,116.2,646.5,353.6,222.4,121.6,354.0,316.0,132.6,425.4,195.8,587.5,219.6,131.7,591.3,339.5,132.9,177.5,202.4,515.9,546.0,128.2,532.8,181.4,96.2,242.5,411.5,576.6,441.8,213.9,161.8,261.6,260.4,312.1,579.7,253.0,363.4,166.7,14.9,95.3,58.7,527.5,595.0,399.9,385.1,518.0,630.4,561.0,304.1,229.4,282.1,364.4,576.5,233.0,266.4,124.0,565.9,62.5,322.7,106.9,127.3,124.6,161.2,688.9,466.7,178.1,136.7,410.9,535.3,424.5,262.2,247.8,193.4,2046.4
DC,470.2,65.5,490.0,307.2,477.7,150.1,496.8,160.9,0.0,165.9,501.5,44.0,306.7,180.7,508.4,462.7,448.3,636.3,282.1,538.8,156.6,151.9,382.7,160.1,295.0,136.8,545.6,181.2,275.2,314.7,211.2,184.1,518.6,90.4,256.1,83.5,589.2,592.8,54.6,613.1,317.6,235.6,211.1,323.8,242.1,15.0,389.4,121.0,551.5,145.7,150.1,555.3,303.5,100.3,140.0,256.9,479.9,510.0,121.0,496.8,143.9,149.3,168.6,375.5,540.6,405.8,139.1,251.3,166.4,186.5,265.3,543.7,178.0,289.5,129.2,146.0,119.3,176.8,491.5,559.0,363.9,346.3,482.0,594.4,525.0,304.5,210.9,221.6,328.4,540.5,137.8,192.5,110.8,529.9,142.8,271.8,164.7,195.9,130.6,250.7,652.9,430.7,61.6,184.2,374.9,499.3,388.0,226.0,173.9,63.1,2010.4
DF,402.9,215.5,422.7,335.6,410.4,178.5,429.5,198.7,175.5,0.0,434.2,141.2,215.0,79.4,441.1,395.4,381.0,569.0,172.5,471.5,210.2,301.6,315.4,188.5,252.7,232.4,478.3,111.5,159.6,213.4,190.5,217.6,451.3,228.9,284.5,233.5,521.9,525.5,204.6,545.8,250.3,134.3,157.3,214.2,236.0,190.6,322.1,146.0,484.2,174.1,134.2,488.0,236.2,250.0,289.7,155.6,412.6,442.7,216.6,429.5,293.6,228.6,197.0,308.2,473.3,338.5,164.1,128.7,279.3,207.8,155.7,476.4,207.5,197.8,335.9,213.6,214.9,239.2,424.2,491.7,296.6,279.0,414.7,527.1,457.7,203.2,84.9,112.0,261.1,473.2,226.8,220.9,206.4,462.6,187.1,179.6,148.8,215.7,226.2,230.0,585.6,363.4,233.0,225.1,307.6,432.0,320.7,124.7,202.3,201.6,1943.1
