from_stop,AI,AR,AY,BA,BE,BK,BM,BR,BS,BW,BX,CO,CV,DA,DE,DG,DL,DW,EE,EO,FA,FH,FJ,FK,FL,FS,FU,FZ,GL,GN,GX,HJ,HL,HN,HS,IA,IF,IT,JI,JO,JR,JT,KT,LB,LC,LE,LV,ML,MN,MS,MV,MW,MY,NE,NG,NN,NR,OH,OM,OW,PF,PH,PP,QA,QT,QU,QY,QZ,RA,RB,RI,SA,SC,SJ,SL,SU,SV,SY,TB,TI,TK,TL,TN,TR,UE,UG,UH,UJ,UX,VF,VH,VI,VK,VW,WI,WJ,WO,WX,XG,XI,XJ,XP,XY,YJ,YT,ZI,ZK,ZN
AI,0.0,644.0,501.4,541.4,361.9,473.3,511.1,662.1,569.8,307.4,326.2,332.0,491.3,300.5,359.4,470.6,677.2,519.3,342.0,319.8,247.8,640.2,622.2,295.2,462.3,311.3,313.7,307.9,569.6,413.8,594.2,293.3,519.2,345.3,344.7,538.5,591.1,755.2,276.7,601.9,696.5,324.0,288.6,303.9,325.7,357.8,339.5,764.9,233.7,439.4,666.2,713.8,326.8,644.1,379.5,483.8,354.6,296.3,746.1,335.8,503.6,313.3,631.4,732.7,537.1,706.7,496.5,378.7,650.9,646.9,1482.7,613.7,336.7,533.0,652.5,577.3,294.1,655.6,287.9,385.3,300.2,675.1,423.7,484.0,328.2,291.8,271.8,481.0,629.9,618.2,326.6,479.3,433.5,283.8,467.1,715.3,491.4,469.5,260.7,525.9,480.8,348.8,694.5,541.1,287.0,746.2,484.6,516.5
AR,500.5,0.0,482.8,383.1,806.9,315.0,492.5,291.0,198.7,652.9,771.2,691.2,472.7,604.8,558.0,452.0,306.1,500.7,676.1,624.1,679.5,269.1,251.1,629.3,443.7,645.4,758.7,498.5,280.9,395.2,223.1,483.9,360.9,790.3,789.7,519.9,220.0,350.6,512.6,230.8,325.4,769.0,648.3,663.6,630.0,802.8,784.5,341.7,469.6,420.8,295.1,342.7,686.5,273.0,320.0,465.2,659.6,600.6,322.9,640.1,485.0,734.5,18.7,309.5,518.5,309.6,477.9,844.4,38.2,275.8,1765.3,242.6,779.9,244.3,281.4,288.6,739.1,284.5,732.9,830.3,745.2,304.0,405.1,465.4,632.5,596.1,475.6,462.4,258.8,247.1,660.7,321.0,414.9,784.4,448.5,344.2,333.1,450.9,496.6,507.3,462.2,793.8,323.4,522.5,439.8,341.6,466.0,497.9
AY,326.5,494.3,0.0,391.7,650.9,323.6,9.7,512.4,420.1,496.9,615.2,535.2,171.8,448.8,402.0,151.1,527.5,80.0,520.1,468.1,523.5,490.5,472.5,473.3,142.8,489.4,602.7,342.5,419.9,155.4,444.5,327.9,369.5,634.3,633.7,219.0,441.4,605.5,356.6,452.2,546.8,613.0,492.3,507.6,474.0,646.8,628.5,615.2,313.6,134.5,516.5,564.1,530.5,494.4,229.8,164.3,503.6,444.6,596.4,484.1,184.1,578.5,481.7,583.0,62.2,557.0,102.8,688.4,501.2,497.2,1591.3,464.0,625.7,383.3,502.8,427.6,583.1,505.9,576.9,674.3,589.2,525.4,150.2,129.7,476.5,440.1,319.6,98.3,480.2,468.5,504.7,329.6,140.4,610.4,147.6,565.6,341.7,86.8,340.6,206.4,161.3,637.8,544.8,221.6,283.8,596.5,113.3,197.0
BA,366.8,372.0,349.1,0.0,673.2,45.7,358.8,390.1,297.8,519.2,637.5,557.5,339.0,471.1,424.3,318.3,405.2,367.0,542.4,490.4,545.8,368.2,350.2,495.6,310.0,511.7,625.0,364.8,297.6,261.5,322.2,350.2,31.5,656.6,656.0,386.2,319.1,483.2,378.9,329.9,424.5,635.3,514.6,529.9,496.3,669.1,650.8,492.9,335.9,287.1,394.2,441.8,552.8,372.1,186.3,331.5,525.9,466.9,474.1,506.4,351.3,600.8,359.4,460.7,384.8,434.7,344.2,690.0,378.9,374.9,1631.6,341.7,648.0,261.0,380.5,305.3,605.4,383.6,599.2,696.6,611.5,403.1,271.4,331.7,498.8,462.4,341.9,328.7,357.9,346.2,527.0,70.8,281.2,650.7,314.8,443.3,128.1,317.2,362.9,373.6,328.5,660.1,422.5,388.8,306.1,474.2,332.3,364.2
BE,486.9,832.9,690.3,730.3,0.0,662.2,700.0,851.0,758.7,405.3,92.4,429.9,680.2,398.4,548.3,659.5,853.6,708.2,453.8,417.7,345.7,835.1,811.1,393.1,651.2,409.2,26.8,476.2,758.5,602.7,783.1,484.1,708.1,34.4,151.3,727.4,780.0,944.1,465.6,790.8,885.4,92.5,386.5,401.8,423.6,46.9,105.7,953.8,422.6,628.3,855.1,902.7,424.7,833.0,568.4,672.7,452.5,394.2,935.0,433.7,696.9,573.4,820.3,921.6,726.0,895.6,685.4,88.5,839.8,835.8,1718.2,802.6,101.1,721.9,841.4,767.1,60.3,844.5,112.7,123.2,66.4,864.0,612.6,672.9,426.1,389.7,460.7,669.9,818.8,811.4,424.5,668.2,622.4,544.6,656.0,904.2,680.3,658.4,449.6,714.8,669.7,19.5,882.9,730.0,475.9,935.1,673.5,705.4
BK,321.0,326.2,303.3,68.0,627.4,0.0,313.0,344.3,252.0,473.4,591.7,511.7,293.2,425.3,378.5,272.5,346.9,321.2,496.6,444.6,500.0,328.4,304.4,449.8,264.2,465.9,579.2,343.7,251.8,215.7,276.4,304.4,45.8,610.8,610.7,340.4,273.3,437.4,333.1,284.1,378.7,591.8,468.3,484.1,450.5,623.3,605.0,447.1,290.1,241.3,348.4,396.0,504.6,298.1,140.5,285.7,480.1,421.1,428.3,460.6,305.5,555.0,313.6,414.9,339.0,388.9,298.4,664.9,333.1,329.1,1585.8,295.9,600.4,215.2,334.7,260.4,559.6,337.8,553.4,622.5,565.7,357.3,225.6,285.9,453.0,416.6,296.1,282.9,312.1,304.7,481.2,25.0,235.4,609.6,269.0,397.5,82.3,271.4,317.1,327.8,282.7,614.3,376.2,343.0,260.3,428.4,286.5,318.4
BM,336.2,504.0,9.7,401.4,660.6,333.3,0.0,522.1,429.8,506.6,624.9,544.9,181.5,458.5,411.7,160.8,537.2,70.3,529.8,477.8,533.2,500.2,482.2,483.0,152.5,499.1,612.4,352.2,429.6,165.1,454.2,337.6,379.2,644.0,643.4,228.7,451.1,615.2,366.3,461.9,556.5,622.7,502.0,517.3,483.7,656.5,638.2,624.9,323.3,144.2,526.2,573.8,540.2,504.1,239.5,174.0,513.3,454.3,606.1,493.8,193.8,588.2,491.4,592.7,52.5,566.7,93.1,698.1,510.9,506.9,1601.0,473.7,633.6,393.0,512.5,437.3,592.8,515.6,586.6,684.0,598.9,535.1,159.9,139.4,486.2,449.8,329.3,108.0,489.9,478.2,514.4,339.3,150.1,620.1,157.3,575.3,351.4,96.5,350.3,216.1,171.0,647.5,554.5,231.3,293.5,606.2,123.0,206.7
BR,494.8,331.2,477.1,377.4,801.2,309.3,486.8,0.0,151.0,647.2,765.5,685.5,467.0,599.1,552.3,446.3,153.6,495.0,684.3,618.4,673.8,129.1,165.5,623.6,438.0,639.7,753.0,517.5,275.2,389.5,91.1,478.2,355.2,784.6,784.5,514.2,134.4,244.1,506.9,187.8,185.4,765.6,642.6,657.9,624.3,797.1,778.8,253.8,463.9,415.1,136.6,202.7,680.8,104.8,314.3,459.5,653.9,594.9,235.0,634.4,483.7,728.8,318.6,221.6,512.8,195.6,472.2,818.0,338.1,165.0,1759.6,49.2,776.0,238.6,170.6,283.8,733.4,84.5,727.2,796.3,739.5,164.0,399.4,459.7,626.8,590.4,469.9,456.7,142.4,178.1,655.0,315.3,409.2,778.7,442.8,204.2,327.4,445.2,490.9,501.6,456.5,788.1,182.9,516.8,434.1,235.1,460.3,492.2
BS,439.2,231.6,421.5,321.8,745.6,253.7,431.2,167.7,0.0,591.6,709.9,629.9,411.4,543.5,496.7,390.7,182.8,439.4,614.8,562.8,618.2,145.8,117.6,568.0,382.4,584.1,697.4,437.2,219.6,333.9,99.8,422.6,299.6,729.0,728.4,458.6,96.7,260.8,451.3,119.9,202.1,707.7,587.0,602.3,568.7,741.5,723.2,270.5,408.3,359.5,171.8,219.4,625.2,149.7,258.7,403.9,598.3,539.3,251.7,578.8,423.7,673.2,219.0,238.3,457.2,212.3,416.6,762.4,238.5,152.5,1704.0,119.3,720.4,183.0,158.1,227.3,677.8,161.2,671.6,769.0,683.9,180.7,343.8,404.1,571.2,534.8,414.3,401.1,135.5,136.2,599.4,259.7,353.6,723.1,387.2,220.9,271.8,389.6,435.3,446.0,400.9,732.5,200.1,461.2,378.5,251.8,404.7,436.6
BW,507.8,657.6,515.0,555.0,451.0,486.9,524.7,675.7,583.4,0.0,415.3,38.2,504.9,73.9,373.0,484.2,678.3,532.9,186.9,93.2,125.6,659.8,635.8,126.2,475.9,142.3,402.8,300.9,583.2,427.4,607.8,308.8,532.8,434.4,433.8,552.1,604.7,768.8,290.3,615.5,710.1,415.4,35.1,50.9,99.1,446.9,428.6,778.5,247.3,453.0,679.8,727.4,59.5,632.2,393.1,497.4,185.6,69.7,759.7,181.2,521.6,398.1,645.0,746.3,550.7,720.3,510.1,488.5,664.5,660.5,1712.5,627.3,424.0,546.6,666.1,591.8,383.2,669.2,377.0,446.1,389.3,688.7,437.3,497.6,101.6,137.2,285.4,494.6,643.5,636.1,157.6,492.9,447.1,536.4,480.7,728.9,505.0,483.1,274.3,539.5,494.4,437.9,707.6,554.7,300.6,759.8,498.2,530.1
