from_stop,AB,AE,AH,AO,AP,AQ,AR,AT,AX,BB,BE,BG,BH,BK,BO,BU,BY,CM,CV,DG,DJ,DQ,DR,DS,DU,ED,EI,EK,ER,EZ,FA,FG,FM,FP,FS,FY,GD,GI,GP,GS,GW,HA,HH,HQ,HV,HZ,ID,II,IQ,IS,IX,JB,JT,JX,JZ,KA,KM,KP,KR,KW,KY,LG,LL,LX,MA,MJ,ML,NA,ND,NE,NG,NH,NL,NN,NZ,OB,OE,ON,OR,OT,OV,OY,PE,PG,PL,PO,QA,QB,QD,QE,QH,QN,QV,QW,RA,RC,RH,RI,RX,SI,SL,SM,TC,TE,TL,TO,TT,UC,UD,UE,UF,UP,UQ,UU,UV,UW,VA,VB,VJ,VV,VW,WB,WD,WF,WO,WX,WY,WZ,XD,XF,XQ,XY,XZ,YF,YL,YO,YT,YU,ZM,ZO,ZS
AB,0.0,515.9,620.6,50.7,529.9,453.0,705.7,635.7,548.1,671.8,425.6,544.9,632.9,544.0,529.9,585.7,610.4,548.2,611.9,584.2,624.5,516.3,481.9,91.9,622.9,544.6,560.2,471.4,476.8,663.3,630.8,544.0,491.3,613.6,639.6,493.5,462.9,28.9,622.6,597.7,673.8,98.1,545.6,526.9,669.4,510.9,604.7,77.3,668.4,501.0,124.9,571.9,495.0,133.8,495.6,580.8,431.4,658.9,540.1,545.9,592.1,542.2,504.1,555.0,690.9,623.7,508.3,497.5,58.7,456.9,530.1,673.1,116.8,76.0,465.2,596.0,552.0,64.2,478.2,513.4,507.7,633.0,564.7,507.3,82.6,577.5,378.7,505.3,532.1,123.1,628.8,614.3,420.2,62.3,43.6,628.3,2453.7,476.3,624.3,562.1,440.0,99.1,241.8,640.5,444.0,533.2,585.8,710.3,428.2,454.5,537.2,469.9,729.9,445.1,440.8,22.7,583.7,482.5,560.8,486.0,578.3,637.9,432.6,624.6,561.0,145.0,696.2,623.7,463.6,514.3,608.4,55.3,439.1,510.9,665.1,107.6,532.7,506.5,710.2,627.9,443.6
AE,520.7,0.0,204.3,483.5,693.8,616.9,289.4,799.6,136.6,255.5,589.5,125.6,213.6,153.9,693.8,166.4,191.1,144.9,208.6,164.9,788.4,680.2,645.8,561.6,203.6,141.3,156.9,635.3,640.7,260.0,211.5,707.9,655.2,777.5,236.3,55.1,626.8,549.7,203.3,194.4,254.5,567.8,29.6,174.8,253.1,674.8,185.4,570.8,252.1,47.6,390.1,60.2,658.9,369.1,659.5,177.5,595.3,255.6,704.0,133.6,756.0,122.9,668.0,718.9,274.6,204.4,79.0,661.4,556.1,620.8,694.0,256.8,586.5,508.8,629.1,176.7,715.9,517.2,642.1,94.1,93.4,213.7,157.1,671.2,552.3,741.4,164.7,669.2,128.8,388.1,209.5,778.2,584.1,495.1,496.6,209.0,2266.0,640.2,221.0,726.0,603.9,403.0,405.7,237.2,607.9,129.9,749.7,294.0,592.1,618.4,701.1,633.8,313.6,609.0,604.7,500.0,164.4,646.4,724.7,133.9,159.7,801.8,596.5,788.5,157.7,366.2,279.9,787.6,627.5,162.2,189.1,508.3,603.0,674.8,245.8,601.1,696.6,670.4,293.9,208.6,607.5
AH,629.3,197.4,0.0,592.1,802.4,725.5,85.0,908.2,106.8,51.1,721.9,127.6,268.4,190.7,801.5,150.5,86.6,72.3,8.6,179.9,897.0,788.8,754.4,670.2,210.0,138.5,96.7,743.9,749.3,102.7,206.8,816.5,763.8,886.1,77.4,156.3,735.4,658.3,258.1,22.8,172.3,676.4,190.1,219.6,48.7,783.4,230.9,687.6,47.7,163.8,498.7,189.3,767.5,477.7,768.1,39.7,703.9,98.3,812.6,115.6,864.6,177.7,776.6,827.5,70.2,99.9,140.7,770.0,664.7,729.4,802.6,52.4,689.0,617.4,737.7,143.7,824.5,625.8,750.7,148.9,130.2,91.6,142.7,779.8,641.3,850.0,273.3,777.8,107.2,496.7,160.0,886.6,692.7,603.7,605.2,235.0,2279.4,739.8,63.7,834.6,712.5,511.6,514.3,79.9,716.5,87.3,864.6,89.6,700.7,727.0,809.7,742.4,109.2,717.6,725.4,608.6,88.6,755.0,833.3,192.8,99.1,908.2,705.1,897.1,154.9,474.8,72.1,896.2,736.1,234.8,24.6,616.9,711.6,783.4,141.3,709.7,805.2,779.0,89.5,117.3,716.1
AO,68.0,476.0,580.7,0.0,490.0,413.1,665.8,595.8,508.2,631.9,385.7,505.0,593.0,504.1,490.0,545.8,570.5,508.3,572.0,544.3,584.6,476.4,442.0,78.0,583.0,504.7,520.3,431.5,436.9,623.4,590.9,504.1,451.4,573.7,599.7,453.6,423.0,92.4,582.7,557.8,633.9,84.2,505.7,487.0,629.5,471.0,564.8,87.2,628.5,461.1,85.0,532.0,455.1,124.0,455.7,540.9,391.5,619.0,500.2,506.0,552.2,502.3,464.2,515.1,651.0,583.8,468.4,457.6,72.5,417.0,490.2,633.2,102.9,25.3,425.3,556.1,512.1,64.5,438.3,473.5,467.8,593.1,524.8,467.4,68.7,537.6,338.8,465.4,492.2,83.2,588.9,574.4,380.3,11.6,43.9,588.4,2413.8,436.4,584.4,522.2,400.1,59.2,201.9,600.6,404.1,493.3,545.9,670.4,388.3,414.6,497.3,430.0,690.0,405.2,400.9,47.3,543.8,442.6,520.9,446.1,538.4,598.0,392.7,584.7,521.1,105.1,656.3,583.8,423.7,474.4,568.5,55.6,399.2,471.0,625.2,117.5,492.8,466.6,670.3,588.0,403.7
AP,454.6,730.7,835.4,417.4,0.0,188.3,920.5,435.9,762.9,886.6,220.5,759.7,847.7,758.8,54.1,800.5,825.2,763.0,826.7,799.0,424.7,102.3,177.3,495.5,837.7,759.4,775.0,206.7,212.1,878.1,783.2,69.1,195.2,413.8,852.8,708.3,287.1,483.6,837.4,812.5,801.5,501.7,760.4,741.7,884.2,19.0,819.5,504.7,883.2,715.8,439.2,786.7,131.1,541.5,295.8,795.6,255.6,873.7,131.2,760.7,392.3,757.0,138.4,25.0,905.7,854.9,723.1,157.6,489.2,123.4,121.2,887.9,514.3,442.7,289.4,807.3,77.1,451.1,182.1,728.2,722.5,847.8,779.5,98.4,466.6,377.7,593.5,171.8,746.9,437.4,841.5,414.3,188.4,429.0,430.5,843.1,2546.5,133.8,839.1,66.1,208.5,413.4,520.3,855.3,174.6,748.0,392.3,880.8,252.4,278.7,337.4,106.0,926.6,135.4,265.0,433.9,798.5,282.7,151.9,700.8,793.1,435.9,203.7,424.8,775.8,459.3,907.6,423.9,198.9,729.1,823.2,442.2,263.3,102.0,879.9,535.0,57.8,306.7,906.9,842.7,178.9
AQ,411.2,687.3,792.0,374.0,197.0,0.0,877.1,367.7,719.5,843.2,177.1,716.3,804.3,715.4,197.0,757.1,781.8,719.6,783.3,755.6,356.5,198.3,154.1,452.1,794.3,716.0,731.6,104.1,43.7,834.7,739.8,211.1,219.0,345.6,809.4,664.9,243.7,440.2,794.0,769.1,758.1,458.3,717.0,698.3,840.8,178.0,776.1,461.3,839.8,672.4,395.8,743.3,162.1,498.1,227.6,752.2,212.2,830.3,207.2,717.3,324.1,713.6,169.4,222.1,862.3,811.5,679.7,227.8,446.6,124.0,197.2,844.5,470.9,399.3,246.0,763.9,219.1,407.7,205.9,684.8,679.1,804.4,736.1,174.4,423.2,309.5,550.1,172.4,703.5,394.0,800.2,346.1,147.9,385.6,387.1,799.7,2503.1,134.4,795.7,225.0,167.7,370.0,452.1,811.9,171.7,704.6,324.1,835.9,209.0,235.3,269.2,137.0,883.2,112.2,226.1,390.5,755.1,214.5,227.9,657.4,749.7,367.7,160.3,356.6,732.4,415.9,864.2,355.7,57.8,685.7,779.8,398.8,219.9,178.0,836.5,491.6,199.8,238.5,863.5,799.3,76.3
AR,697.3,284.0,86.5,660.1,837.0,760.1,0.0,966.0,193.4,72.1,732.7,214.2,274.6,277.3,837.0,184.0,173.2,158.9,95.2,213.4,954.8,823.4,789.0,738.2,184.8,225.1,183.3,778.5,783.9,189.3,181.6,851.1,798.4,943.9,165.6,242.9,770.0,726.3,240.2,109.4,147.1,744.4,276.7,306.2,50.4,818.0,205.7,747.4,80.2,250.4,566.7,275.9,802.1,545.7,825.9,126.3,738.5,184.9,847.2,202.2,922.4,221.2,811.2,862.1,55.0,186.5,227.3,804.6,732.7,764.0,837.2,64.9,763.1,685.4,772.3,173.7,859.1,693.8,785.3,235.5,216.8,178.2,229.3,814.4,728.9,907.8,359.9,812.4,193.8,564.7,139.9,944.6,727.3,671.7,673.2,209.8,2253.8,783.4,149.6,869.2,747.1,579.6,582.3,166.5,751.1,173.9,916.1,64.4,735.3,761.6,867.5,777.0,84.0,752.2,747.9,676.6,175.2,812.8,867.9,279.4,185.7,968.2,739.7,954.9,241.5,542.8,9.4,954.0,770.7,321.4,111.2,684.9,746.2,818.0,214.6,777.7,839.8,836.8,64.3,174.7,750.7
AT,517.6,780.7,885.4,480.4,336.9,284.8,973.6,0.0,812.9,936.6,299.0,809.7,897.7,808.8,336.9,850.5,875.2,813.0,876.7,849.0,64.7,338.2,288.9,558.5,884.2,809.4,825.0,303.2,308.6,928.1,828.2,351.0,340.9,70.1,904.4,758.3,365.6,546.6,904.6,862.5,846.5,564.7,810.4,791.7,974.8,317.9,852.3,575.9,933.2,765.8,502.2,836.7,302.0,600.5,198.0,845.6,334.1,923.7,347.1,810.7,24.1,807.0,314.6,362.0,988.8,888.5,773.1,347.1,552.2,263.9,337.1,937.9,577.3,505.7,367.9,857.3,359.0,514.1,327.8,778.2,772.5,897.8,829.5,314.3,529.6,34.8,643.5,312.3,796.9,500.4,891.5,102.5,269.8,492.0,493.5,909.2,2591.5,274.3,889.1,369.1,289.6,476.4,466.3,905.3,293.6,798.0,96.9,929.1,330.9,357.2,243.6,276.9,971.6,252.1,355.6,496.9,848.5,184.9,367.8,750.8,843.1,124.1,282.2,327.0,825.8,522.3,960.7,42.5,295.4,779.1,873.2,505.2,341.8,317.9,929.9,598.0,339.7,208.9,951.9,892.7,275.4
AX,568.5,130.8,87.9,531.3,741.6,664.7,173.0,847.4,0.0,139.1,637.3,61.0,201.8,124.1,740.7,138.6,74.7,110.2,99.5,153.1,836.2,728.0,693.6,609.4,191.8,106.6,90.6,683.1,688.5,193.6,199.7,755.7,704.6,825.3,168.3,95.5,674.6,597.5,191.5,113.7,242.7,615.6,129.3,153.0,136.7,722.6,173.6,618.6,135.7,103.0,437.9,133.9,706.7,416.9,707.3,130.6,643.1,189.2,751.8,49.0,803.8,111.1,721.1,766.7,158.2,88.0,79.9,709.2,603.9,668.6,741.8,140.4,628.2,556.6,676.9,131.8,763.7,565.0,689.9,82.3,63.6,97.3,76.1,719.0,600.1,789.2,212.5,717.0,71.4,435.9,148.1,825.8,631.9,542.9,544.4,197.2,2308.4,688.0,154.6,769.6,651.7,450.8,453.5,170.8,655.7,95.2,803.8,177.6,639.9,666.2,752.9,681.6,197.2,656.8,652.5,547.8,48.0,694.2,772.5,126.2,43.3,849.6,644.3,836.3,123.0,414.0,160.1,835.4,675.3,168.2,72.7,556.1,650.8,722.6,129.4,648.9,744.4,718.2,177.5,105.4,655.3
BB,689.6,257.7,60.2,652.4,840.8,763.9,67.4,968.5,167.1,0.0,736.5,187.9,303.9,251.0,840.8,210.8,146.9,132.6,68.9,240.2,957.3,827.2,792.8,730.5,214.1,198.8,157.0,782.3,787.7,163.0,210.9,854.9,802.2,946.4,137.7,216.6,773.8,718.6,269.5,83.1,176.4,736.7,250.4,279.9,26.9,821.8,235.0,739.7,38.9,224.1,559.0,249.6,805.9,538.0,828.4,100.0,742.3,158.6,851.0,175.9,924.9,238.0,820.3,865.9,56.5,160.2,201.0,808.4,724.1,767.8,841.0,7.7,749.3,677.7,776.1,204.0,862.9,686.1,789.1,209.2,190.5,151.9,203.0,818.2,721.2,910.3,333.6,816.2,167.5,557.0,176.4,946.9,731.1,664.0,665.5,239.1,2257.6,778.2,110.6,873.0,750.9,571.9,574.6,140.2,754.9,147.6,924.9,104.3,739.1,765.4,874.0,780.8,118.4,756.0,763.8,668.9,148.9,815.3,871.7,253.1,159.4,968.5,743.5,957.4,215.2,535.1,80.3,956.5,774.5,295.1,84.9,677.2,750.0,821.8,201.6,770.0,843.6,839.3,98.7,177.6,754.5
