from_stop,AC,AE,AH,AI,AO,AQ,AU,BA,BC,BE,BR,BS,BV,BW,BY,CJ,CS,CW,CZ,EC,ED,EZ,FB,FQ,FZ,GA,GO,HA,HC,HG,HK,HM,HZ,IM,IV,JE,JL,JN,JP,KH,KI,KL,LO,LX,MK,MO,MT,NI,NY,OF,OV,OX,OZ,PC,PG,PH,PU,PY,QK,QU,RH,UB,UM,US,UX,VC,VF,VH,VL,VO,WD,WI,WX,XA,XC,XI,XL,YK,YP,ZQ
AC,0.0,200.9,260.1,314.7,266.5,188.5,412.5,289.1,146.6,660.9,317.0,427.4,225.3,389.0,277.4,292.4,156.1,303.4,764.8,298.3,702.2,636.0,174.3,615.5,908.8,736.7,63.1,185.4,714.9,371.4,301.1,52.2,325.9,263.4,279.9,174.6,32.6,314.2,93.6,324.5,471.1,361.8,445.0,658.1,717.9,315.6,754.6,694.9,558.6,260.3,494.2,262.9,290.8,313.2,418.2,389.1,261.3,339.5,179.1,324.7,733.9,416.6,389.6,658.9,217.1,127.8,210.2,692.2,719.5,274.5,222.2,332.2,552.2,149.1,459.1,656.4,260.8,340.1,237.3,401.7
AE,223.9,0.0,314.3,174.1,125.9,70.8,271.9,148.5,206.3,824.4,176.4,371.5,89.5,248.4,136.8,151.8,246.4,162.8,671.3,346.5,788.5,771.0,228.5,480.4,1043.8,693.9,216.1,239.6,574.3,230.8,160.5,205.2,185.3,117.8,139.3,228.8,225.1,173.6,173.4,183.9,365.2,221.2,339.1,564.6,814.4,175.0,614.0,791.4,452.7,119.7,388.3,317.1,150.2,172.6,277.6,333.2,120.7,198.9,201.3,184.1,730.7,276.0,249.0,523.8,271.3,182.0,51.6,557.1,750.7,133.9,357.2,191.6,417.1,230.7,318.5,521.3,122.1,199.5,96.7,261.1
AH,226.6,297.2,0.0,411.0,362.8,313.7,508.8,385.4,122.4,727.7,413.3,530.8,350.5,485.3,373.7,388.7,127.3,399.7,683.9,203.1,769.0,702.8,186.4,718.9,975.6,803.5,179.2,131.1,635.1,467.7,397.4,221.7,422.2,388.6,376.2,120.3,206.3,410.5,171.9,420.8,574.5,458.1,548.4,577.2,784.7,411.9,674.8,761.7,662.0,356.6,597.6,173.7,387.1,409.5,514.5,492.5,357.6,435.8,134.8,421.0,800.7,512.9,485.9,762.3,46.1,142.9,306.5,795.6,786.3,370.8,175.6,428.5,655.6,164.2,555.4,759.8,336.2,436.4,333.6,498.0
AI,333.7,207.0,441.0,0.0,142.3,277.9,202.0,190.8,333.0,866.7,218.7,201.5,335.0,290.7,179.1,32.2,373.1,135.1,713.6,473.2,830.8,830.1,355.2,389.6,1113.9,736.2,342.8,366.3,616.6,273.1,202.8,331.9,227.6,324.9,181.6,355.5,334.5,215.9,300.1,114.0,245.2,263.5,219.1,606.9,856.7,217.3,656.3,833.7,332.7,162.0,268.3,443.8,192.5,88.4,197.0,163.2,64.8,97.5,328.0,87.2,773.0,318.3,291.3,433.0,398.0,308.7,179.7,466.3,793.0,150.3,483.9,233.9,326.3,357.4,360.8,430.5,144.5,97.1,91.6,211.4
AO,271.2,144.5,378.5,148.3,0.0,215.4,202.7,79.3,270.5,755.2,107.2,245.5,234.1,179.2,67.6,126.0,310.6,36.9,602.1,410.7,719.3,718.6,292.7,383.6,1002.4,624.7,280.3,303.8,505.1,161.6,91.3,269.4,116.1,262.4,70.1,293.0,272.0,104.4,237.6,58.0,239.2,152.0,213.1,495.4,745.2,105.8,544.8,722.9,326.7,50.5,262.3,381.3,81.0,92.7,208.4,207.2,94.9,72.9,265.5,158.3,661.5,206.8,179.8,427.0,335.5,246.2,147.0,460.3,681.5,7.9,421.4,122.4,320.3,294.9,249.3,424.5,57.8,107.9,70.9,191.9
AQ,194.3,61.6,339.8,235.8,187.6,0.0,333.6,210.2,231.8,769.9,238.1,338.1,58.0,310.1,198.5,213.5,271.9,224.5,733.0,328.7,854.5,745.0,254.0,540.5,1061.1,719.3,257.5,265.1,636.0,290.9,222.2,248.2,257.0,97.7,201.0,254.3,195.5,233.7,185.3,244.0,425.3,282.9,399.2,624.7,874.5,236.7,675.7,803.9,512.8,181.4,448.4,344.2,211.9,234.3,339.3,299.8,182.4,260.6,226.8,244.2,768.6,337.7,320.7,583.9,296.8,207.5,139.1,617.2,812.4,195.6,344.5,251.7,477.2,256.2,380.2,567.1,183.8,264.1,158.4,322.8
AU,424.4,298.0,536.9,182.7,184.3,338.3,0.0,212.2,428.9,866.0,240.1,205.8,375.1,20.5,200.5,198.5,469.0,147.4,712.9,569.1,830.1,829.4,451.1,296.5,1113.2,735.5,433.8,462.2,615.9,138.2,199.1,422.9,231.0,413.2,185.0,451.4,425.6,219.3,391.1,126.3,152.1,50.2,126.0,606.2,856.0,100.4,655.6,833.7,239.6,183.4,175.2,539.7,213.9,197.1,5.7,167.5,231.1,111.3,423.9,253.5,772.3,123.1,111.9,339.9,493.9,404.6,294.9,373.2,792.3,176.3,541.6,165.6,233.2,453.3,100.9,337.4,242.2,164.8,255.3,9.3
BA,274.6,147.9,381.9,177.3,80.1,218.8,205.5,0.0,273.9,740.5,27.8,325.7,237.5,182.0,52.9,155.0,314.0,117.0,587.4,414.1,704.6,703.9,296.1,396.5,987.7,610.0,283.7,307.2,490.4,158.4,88.1,272.8,98.9,265.8,52.9,296.4,275.4,87.2,241.0,138.1,319.4,154.8,293.3,480.7,730.5,108.6,530.1,707.5,391.9,35.8,342.5,384.7,66.3,157.4,211.2,287.4,123.9,153.1,268.9,187.3,646.8,209.6,184.7,439.9,338.9,249.6,137.2,473.2,666.8,88.1,424.8,119.2,333.2,298.3,261.8,437.4,79.2,188.1,99.9,194.7
BC,124.2,194.8,154.6,308.6,260.4,211.3,406.4,283.0,0.0,605.2,310.9,428.4,248.1,382.9,271.3,286.3,40.0,297.3,709.1,234.1,646.5,580.3,66.0,616.5,853.1,681.0,76.8,79.9,646.0,365.3,295.0,119.3,319.8,286.2,273.8,69.1,103.9,308.1,69.5,318.4,472.1,355.7,446.0,602.4,662.2,309.5,685.7,639.2,559.6,254.2,495.2,157.4,284.7,307.1,412.1,390.1,255.2,333.4,32.4,318.6,678.2,410.5,383.5,659.9,111.6,40.5,204.1,693.2,663.8,268.4,158.0,326.1,553.2,61.8,453.0,657.4,254.7,334.0,231.2,395.6
BE,827.5,806.5,808.5,835.9,738.7,876.2,846.5,707.7,791.5,0.0,707.2,968.0,896.1,823.0,663.4,813.6,796.4,775.6,355.3,716.0,192.1,104.7,888.3,759.5,530.1,287.1,869.6,820.5,352.6,728.2,665.1,905.9,721.2,928.9,711.5,809.7,870.9,732.3,836.5,801.2,833.5,800.3,832.3,283.2,335.7,771.7,392.3,313.4,896.1,678.0,861.1,738.1,644.0,816.0,846.1,929.7,782.5,811.7,799.4,845.9,280.7,740.7,752.0,769.4,770.0,841.8,790.5,836.2,209.4,746.7,698.1,696.2,770.0,833.3,767.2,803.0,737.8,846.7,758.5,835.7
