from_stop,AA,AF,AI,AJ,AL,AM,AS,AU,AX,BA,BE,BG,BN,BP,BQ,BV,BW,CP,CR,CT,CV,CW,CY,DK,DU,DZ,EC,EL,EZ,FG,FM,FN,FQ,FS,FT,GI,GJ,GN,GP,GR,GU,GX,GY,HC,HD,HE,HH,HP,HX,ID,IF,IM,IP,IU,IX,JA,JE,JF,JG,JJ,JM,JN,JS,JV,JZ,KE,KI,KK,LG,LH,LK,LM,LV,MM,MT,ND,NM,NO,NP,NU,NW,NZ,OL,OP,OR,OS,OT,OV,OW,OX,OY,PK,PO,PX,QN,QP,QQ,QR,QU,QW,RA,RC,RF,RG,RI,RP,RT,RW,RZ,SD,SE,SL,SM,SO,SQ,TB,TD,TE,TI,TJ,TP,TW,TY,UL,UM,UV,VI,VL,VM,VN,VO,VW,WJ,WS,WU,XA,XB,XF,XH,XV,XW,YB,YC,YG,YM,YO,YU,ZB,ZC,ZJ,ZR,ZV
AA,0.0,217.1,267.2,248.6,183.5,251.1,348.0,172.0,383.2,339.1,200.0,114.2,189.6,129.6,1018.7,1568.3,928.2,55.2,265.1,94.4,79.7,259.7,342.4,414.8,254.7,1042.9,238.5,267.1,224.4,427.5,240.8,99.1,177.8,76.8,1179.5,201.6,249.7,196.5,1136.8,101.5,1009.9,275.7,251.9,124.0,1026.4,1128.5,357.2,171.7,155.2,901.3,294.3,185.5,325.9,119.2,122.0,182.7,177.5,190.0,415.4,142.3,387.0,40.1,954.8,366.6,64.6,429.8,407.5,232.3,129.5,92.5,354.3,165.4,950.3,953.9,172.5,299.4,77.2,288.2,277.9,973.6,295.3,1135.9,1189.8,1070.0,264.9,227.8,145.2,994.0,393.5,107.1,994.2,1031.2,137.7,258.2,282.4,314.6,280.9,1096.7,394.5,194.3,211.2,247.4,213.1,365.6,28.1,252.7,385.1,215.4,1152.3,406.0,211.2,261.3,114.7,248.6,108.9,902.4,1046.6,1006.6,242.5,202.5,422.9,197.4,1105.6,300.2,206.9,290.6,88.4,1178.0,1016.0,143.2,236.0,1074.2,175.2,253.4,238.3,405.8,197.3,306.6,263.8,968.0,344.0,322.7,1144.3,225.6,120.8,217.3,220.1,161.7,282.8,1004.7,272.5,88.5
AF,212.2,0.0,81.8,58.7,127.2,239.4,141.4,109.4,166.0,121.9,61.2,123.3,176.7,214.9,801.5,1384.6,711.0,156.2,89.4,174.9,131.7,179.4,125.2,197.6,101.4,825.7,227.2,242.2,219.1,210.3,102.0,239.5,121.8,153.3,962.3,121.3,136.0,82.8,919.6,202.8,792.7,90.8,171.6,113.6,809.2,908.0,140.0,138.7,66.7,684.1,269.4,183.6,108.7,136.4,131.3,138.4,100.1,36.7,198.2,199.0,169.8,171.3,737.6,149.4,146.8,167.7,190.3,93.5,106.4,148.2,137.1,154.1,733.1,736.7,116.4,122.6,187.1,71.0,71.5,756.4,176.4,918.7,972.6,856.6,245.3,222.5,112.7,776.8,176.3,196.5,758.4,814.0,155.5,165.6,65.2,103.1,282.5,852.4,177.3,138.0,84.6,238.3,199.2,148.4,190.5,196.7,164.0,222.7,935.1,188.8,205.9,44.1,147.6,156.0,184.4,685.2,829.4,789.4,247.6,146.5,205.7,158.2,888.4,220.5,126.6,209.6,185.9,960.8,746.0,106.0,201.1,877.6,231.9,242.1,158.0,188.6,195.4,95.1,90.3,743.9,123.6,105.5,927.1,169.6,171.1,222.4,163.7,119.7,65.6,747.1,161.1,147.4
AI,282.5,70.2,0.0,56.5,197.5,309.7,61.3,157.0,141.1,153.4,131.5,193.6,247.0,262.5,776.6,1391.4,686.1,269.5,96.2,267.5,245.0,187.2,118.8,298.5,108.2,770.0,243.4,312.5,289.4,266.3,172.3,309.8,192.1,262.7,906.6,191.6,171.1,153.1,863.9,273.1,767.8,126.8,192.0,217.6,753.5,852.3,194.0,209.0,137.0,659.2,339.7,253.9,83.8,206.7,201.6,208.7,147.7,107.0,177.2,269.3,137.0,284.6,712.7,170.0,260.1,215.6,193.2,101.0,201.4,247.0,146.3,224.4,708.2,711.8,164.0,89.4,257.4,64.1,107.5,731.5,156.2,863.0,916.9,835.6,271.7,258.5,183.0,751.9,151.4,266.8,733.5,758.3,225.8,132.0,101.2,30.9,352.8,827.5,137.0,208.3,132.2,308.6,206.7,157.6,260.8,213.0,139.1,293.0,879.4,242.8,276.2,104.0,217.9,139.8,254.7,660.3,804.5,764.5,273.7,216.8,180.8,228.5,832.7,200.4,196.9,189.4,256.2,905.1,721.1,199.5,271.4,861.2,302.2,255.8,178.4,214.4,265.7,38.5,97.1,719.0,136.0,80.6,871.4,185.9,218.7,266.5,166.1,167.3,119.6,722.2,124.3,242.4
AJ,260.9,48.6,35.4,0.0,175.9,288.1,82.6,135.4,155.7,139.9,109.9,172.0,225.4,240.9,791.2,1390.8,700.7,247.9,95.6,245.9,223.4,203.3,114.9,233.6,107.6,784.6,255.8,290.9,267.8,279.9,150.7,288.2,170.5,241.1,921.2,170.0,184.7,131.5,878.5,251.5,782.4,108.8,220.3,196.0,768.1,870.2,176.0,189.2,115.4,673.8,318.1,232.3,98.4,185.1,180.0,187.1,126.1,85.4,191.8,247.7,126.9,269.2,727.3,184.6,238.5,229.2,206.8,83.9,179.8,225.4,159.9,202.8,722.8,726.4,142.4,103.0,235.8,99.6,89.5,746.1,169.8,877.6,931.5,850.2,284.1,240.5,161.4,766.5,166.0,245.2,748.1,772.9,204.2,145.6,83.2,44.3,331.2,842.1,151.6,186.7,111.6,287.0,220.3,171.2,239.2,226.6,157.6,271.4,894.0,224.8,254.6,86.0,196.3,153.4,222.7,674.9,819.1,779.1,287.3,195.2,195.4,206.9,847.3,214.0,175.3,203.0,234.6,914.8,732.9,177.9,249.8,875.8,280.6,269.4,206.7,229.0,244.1,36.3,96.5,733.6,146.4,95.2,886.0,199.5,197.1,271.1,179.7,145.7,101.6,736.8,123.7,220.8
AL,184.9,110.0,165.9,147.3,0.0,309.4,219.6,110.5,276.1,218.7,174.0,231.1,246.7,141.0,911.6,1436.6,821.1,126.1,141.4,104.6,101.6,231.3,235.3,307.7,153.4,935.8,268.4,312.2,289.1,320.4,169.5,131.6,191.8,205.0,1072.4,191.3,204.1,152.8,1029.7,94.9,902.8,170.1,241.6,173.6,919.3,1021.4,250.1,50.6,53.9,794.2,339.4,253.6,218.8,79.7,74.6,208.4,101.2,88.7,308.3,91.1,247.3,147.4,847.7,259.5,116.7,328.5,300.4,129.7,113.9,189.3,280.8,224.1,843.2,846.8,146.5,174.6,195.8,181.1,148.3,866.5,197.8,1028.8,1082.7,966.7,296.7,44.2,78.2,886.9,286.4,88.6,920.6,924.1,47.6,183.1,162.0,191.7,352.5,962.5,287.4,10.7,86.7,308.3,257.8,292.1,164.7,264.1,278.0,292.7,1045.2,298.9,275.9,154.2,236.0,190.9,66.1,795.3,939.5,899.5,324.8,216.5,315.8,228.2,998.5,242.0,196.6,231.0,129.2,1066.0,911.6,138.6,271.1,1000.6,124.0,302.8,228.0,324.6,265.4,183.7,142.3,875.0,267.3,215.6,1037.2,237.0,161.0,335.9,217.2,120.8,175.7,857.2,169.5,139.8
AM,233.1,262.4,290.2,304.9,335.9,0.0,254.6,275.2,375.1,409.4,283.3,177.1,80.6,289.7,994.6,1492.9,904.1,242.0,217.5,281.2,266.5,176.2,370.3,464.4,202.8,988.0,159.5,39.3,49.4,432.2,276.7,285.9,155.8,198.2,1124.6,156.3,158.7,211.6,1081.9,288.3,985.8,378.3,168.4,231.7,971.5,1042.2,449.9,349.2,275.4,877.2,84.8,87.5,346.4,306.0,308.8,125.3,284.9,241.6,413.7,329.1,382.3,240.8,930.7,422.8,251.4,390.7,359.1,236.9,282.9,213.9,312.2,115.6,926.2,929.8,232.9,206.0,183.6,315.6,359.0,949.5,202.0,1081.0,1134.9,994.6,185.9,380.2,321.4,969.9,387.9,293.9,918.8,976.3,324.5,164.8,352.7,290.2,51.1,1021.3,389.8,346.7,279.7,34.5,119.7,323.5,223.0,161.6,360.8,69.1,1097.4,472.0,60.7,306.6,172.8,156.8,312.0,878.3,1022.2,982.5,52.4,135.6,401.8,104.9,1050.7,217.3,149.8,207.1,275.2,1118.2,943.2,264.6,40.1,998.8,362.0,174.4,154.8,446.6,75.7,297.8,218.4,892.6,298.7,349.8,1089.4,134.5,242.2,141.9,126.7,264.9,328.1,931.3,181.1,241.9
AS,301.4,89.1,48.2,68.4,216.4,285.1,0.0,183.1,131.9,179.5,150.4,212.5,265.9,288.6,767.4,1375.3,676.9,245.4,120.6,293.6,220.9,174.9,141.4,237.2,92.1,760.8,211.5,331.4,270.3,205.0,191.2,328.7,211.0,242.5,897.4,171.7,142.9,172.0,854.7,292.0,758.6,148.4,163.8,243.7,744.3,846.4,222.7,229.7,155.9,650.0,315.0,272.8,119.2,225.6,220.5,227.6,173.8,125.9,186.5,288.2,153.4,266.4,703.5,195.6,236.0,161.0,131.9,182.7,218.3,273.1,85.0,202.2,699.0,702.6,190.1,61.2,276.3,86.7,124.7,722.3,141.4,853.8,907.7,826.4,233.4,280.1,201.9,742.7,160.7,285.7,724.3,749.1,244.7,103.8,122.8,35.5,316.9,818.3,162.6,227.2,159.3,327.5,178.5,96.3,279.7,184.8,133.6,311.9,870.2,244.8,295.1,125.6,236.8,111.6,263.2,651.1,795.3,755.3,245.5,178.8,174.6,247.4,823.5,185.6,165.2,174.6,275.1,891.0,709.1,225.6,290.3,852.0,321.1,227.6,150.2,219.4,284.6,43.1,121.5,709.8,71.5,122.6,862.2,157.7,244.8,238.3,137.9,193.4,126.5,713.0,137.6,259.3
AU,166.9,93.3,156.5,136.0,106.5,279.7,196.1,0.0,259.4,184.3,50.1,140.9,174.6,105.4,894.9,1420.2,804.4,108.1,133.6,110.4,83.6,171.5,218.6,291.0,137.0,919.1,227.4,240.1,253.0,303.7,90.9,188.9,144.5,104.5,1055.7,113.4,115.9,62.7,1013.0,177.3,886.1,153.2,163.7,60.5,902.6,1004.7,233.4,119.8,46.0,777.5,267.3,214.1,202.1,103.1,98.0,136.3,9.6,72.3,291.6,158.3,230.6,129.4,831.0,242.8,98.7,350.3,283.7,82.4,76.6,88.8,230.5,185.5,826.5,830.1,22.6,186.7,177.0,164.4,113.9,849.8,183.1,1012.1,1066.0,950.0,255.7,150.8,92.0,870.2,269.7,171.0,851.8,907.4,130.0,145.5,127.6,157.8,318.9,945.8,270.7,117.3,24.9,276.0,198.5,241.8,146.7,207.9,261.3,244.0,1028.5,282.2,239.8,137.5,161.1,137.5,148.5,778.6,922.8,882.8,262.0,163.8,299.1,156.1,981.8,212.6,118.7,202.4,152.6,1049.3,836.6,38.1,199.0,971.0,191.2,258.0,150.1,307.9,225.9,149.8,132.4,837.3,217.0,198.9,1020.5,186.9,60.5,263.9,154.4,10.2,159.0,840.5,141.0,82.5
AX,453.2,240.9,211.2,264.8,437.8,440.0,202.3,330.7,0.0,290.1,302.2,364.3,417.7,414.3,788.4,1254.7,697.9,397.2,281.7,415.9,372.7,326.5,192.9,185.5,247.0,643.8,367.6,483.2,425.2,153.3,343.0,480.5,362.8,394.3,780.4,326.6,297.8,323.8,737.7,443.8,779.6,285.6,318.7,354.6,627.3,729.4,153.0,381.5,307.7,671.0,469.9,424.6,140.9,377.4,372.3,379.4,321.4,277.7,90.1,440.0,176.9,418.2,724.5,138.5,387.8,136.6,113.7,334.5,390.2,389.2,113.1,357.1,720.0,723.6,317.9,216.1,428.1,215.6,220.7,743.3,293.4,736.8,790.7,674.7,388.3,395.0,353.7,763.7,73.5,437.5,745.3,632.1,396.5,258.7,214.4,237.9,471.8,736.5,126.4,438.5,306.9,457.3,333.4,101.8,431.5,339.7,95.1,463.7,753.2,193.1,446.9,221.3,388.6,266.5,415.0,672.1,702.3,776.3,400.4,333.7,39.6,399.2,706.5,341.1,320.1,330.1,426.9,774.0,730.1,347.0,442.1,695.7,496.1,382.5,305.1,73.2,412.7,246.0,282.6,730.8,129.6,144.3,745.2,312.6,369.4,393.2,292.8,341.0,175.7,734.0,292.5,431.2
BA,299.1,120.3,155.6,139.0,234.5,359.8,171.3,181.1,178.7,0.0,181.6,243.7,297.1,247.0,814.2,1433.5,723.7,250.6,205.3,252.0,230.6,303.4,137.9,228.3,217.3,807.6,347.6,362.6,339.5,241.0,222.4,322.5,242.2,285.9,944.2,241.7,256.4,203.2,901.5,316.6,805.4,66.6,295.8,241.7,791.1,889.9,170.7,237.7,163.4,696.8,389.8,304.0,121.4,250.1,245.0,258.8,171.8,157.1,214.8,300.4,156.1,265.7,745.8,180.1,245.7,180.4,196.7,213.9,170.5,268.2,149.8,274.5,745.8,749.4,188.1,210.7,306.5,83.7,71.1,769.1,288.0,900.6,954.5,873.2,361.2,187.2,194.8,789.5,189.0,310.3,771.1,795.9,277.0,248.8,48.5,128.9,402.9,865.1,170.1,235.2,156.3,358.7,328.0,161.1,281.9,317.1,176.7,343.1,917.0,219.5,326.3,100.7,268.0,262.6,293.7,697.9,842.1,802.1,368.0,266.9,218.4,278.6,870.3,331.2,247.0,320.2,296.9,938.2,758.7,223.6,321.5,898.8,288.3,362.5,273.9,219.3,315.8,125.4,210.7,756.6,139.5,118.2,909.0,290.0,242.8,338.3,287.4,191.4,96.3,761.6,281.5,211.5
