from_stop,AA,AB,AI,AK,AM,AP,AZ,BB,BC,BD,BK,BQ,BW,BY,CC,CR,CT,CV,CW,CY,DD,DV,DX,EB,EC,EE,EI,EM,FB,FL,FW,FY,GB,GC,GJ,GK,GM,GN,GW,GX,HA,HB,HD,HF,HP,HS,HZ,IC,IK,IO,IR,IT,IU,IW,IX,JA,JB,JC,JH,JS,JU,KB,KH,KI,KJ,KP,KV,KW,LD,LP,LQ,LY,MA,MC,MD,MG,MI,MJ,MY,NA,NG,NM,NN,NQ,NU,NW,OA,OE,OI,OP,OQ,OW,OZ,PA,PB,PD,PJ,PN,PQ,PS,PV,QC,QD,QH,QJ,QL,QT,QW,RI,RQ,RS,RV,RX,SB,SE,SF,SK,SM,SR,SS,TD,TG,TI,TS,TZ,UD,UJ,UO,UT,UY,UZ,VD,VI,VK,VM,VQ,VR,VX,WB,WD,WE,WK,XC,XG,XJ,XK,XP,XQ,XV,XZ,YB,YK,YL,YQ,YX,ZA,ZH,ZX
AA,0.0,215.5,266.6,100.6,289.2,443.0,180.9,301.9,290.5,112.8,500.4,305.6,228.9,330.5,497.6,777.3,598.7,392.8,121.3,744.4,456.8,394.7,390.2,481.3,401.7,294.7,823.2,739.1,834.8,336.4,378.7,270.4,305.8,777.3,724.7,341.2,318.5,402.6,420.1,344.3,209.1,309.2,401.7,330.7,414.1,345.3,169.4,233.3,317.6,377.7,633.3,759.2,336.7,246.9,370.9,527.4,370.2,325.2,408.5,140.3,634.5,276.6,720.1,772.7,146.0,269.9,766.3,246.5,350.4,670.1,272.8,249.7,485.6,332.0,234.6,400.7,223.7,353.2,306.1,708.5,858.7,324.7,793.0,251.1,600.8,333.0,83.2,404.9,621.0,382.8,640.3,286.9,200.4,661.2,353.4,151.7,489.6,291.8,408.3,275.3,256.6,127.1,706.6,359.7,747.1,451.0,438.4,442.2,278.7,798.6,433.3,236.4,139.7,445.9,354.1,349.0,264.1,359.4,192.0,775.7,292.8,763.4,137.6,373.9,370.2,332.7,330.9,183.4,824.4,355.6,317.2,306.6,242.7,418.4,374.7,721.8,311.2,351.8,444.1,493.8,300.2,152.3,719.6,294.9,793.5,806.8,729.3,216.1,420.7,358.3,252.0,802.2,437.5,307.4,1136.3,732.1,245.9,633.4
AB,200.1,0.0,267.7,101.7,290.3,444.1,182.0,303.0,291.6,96.6,501.5,306.7,230.0,331.6,498.7,697.6,599.8,393.9,228.1,664.7,457.9,395.8,391.3,482.4,402.8,295.8,743.5,740.2,755.1,337.5,379.8,271.5,306.9,697.6,645.0,342.3,319.6,403.7,421.2,345.4,210.2,310.3,402.8,331.8,415.2,346.4,170.5,234.4,318.7,378.8,634.4,679.5,337.8,248.0,372.0,528.5,371.3,326.3,409.6,123.2,554.8,277.7,640.4,693.0,128.9,271.0,686.6,247.6,351.5,590.4,273.9,250.8,486.7,333.1,235.7,401.8,224.8,354.3,307.2,628.8,779.0,325.8,713.3,252.2,601.9,334.1,190.0,406.0,622.1,383.9,641.4,288.0,201.5,662.3,354.5,183.0,490.7,292.9,409.4,276.4,257.7,128.2,707.7,360.8,667.4,452.1,439.5,443.3,279.8,718.9,434.4,237.5,140.8,447.0,355.2,350.1,265.2,360.5,193.1,696.0,293.9,683.7,138.7,375.0,371.3,333.8,332.0,184.5,744.7,356.7,318.3,307.7,243.8,419.5,375.8,722.9,312.3,352.9,445.2,494.9,301.3,153.4,639.9,296.0,713.8,727.1,730.4,217.2,421.8,359.4,253.1,722.5,438.6,308.5,1137.4,652.4,247.0,634.5
AI,256.0,252.5,0.0,144.7,181.3,256.4,105.0,111.2,182.6,149.8,313.8,179.7,114.6,222.6,311.0,814.3,397.6,284.9,284.0,781.4,270.2,193.6,189.1,294.7,200.6,175.8,860.2,538.0,871.8,228.5,177.6,76.3,111.7,814.3,761.7,215.3,201.6,294.7,219.0,154.0,100.3,215.3,293.8,145.7,213.0,144.2,115.5,185.5,116.5,176.6,432.2,796.2,135.6,156.1,169.8,340.8,169.1,199.3,221.9,177.3,671.5,132.7,757.1,809.7,183.0,133.1,803.3,45.4,149.3,707.1,141.8,55.6,322.1,150.2,186.8,199.6,175.9,223.0,122.4,745.5,895.7,123.6,830.0,141.6,399.7,166.6,245.9,203.8,419.9,274.9,439.2,92.8,116.0,460.1,213.2,238.9,303.0,119.4,221.7,121.0,16.5,118.2,505.5,158.6,784.1,264.4,251.8,241.1,108.3,835.6,232.2,35.3,146.2,244.8,153.0,147.9,216.3,174.4,144.2,812.7,135.6,800.4,153.0,172.8,262.3,131.6,136.8,63.7,861.4,229.7,209.3,105.5,48.6,217.3,191.9,520.7,189.8,150.7,257.5,307.2,99.1,93.0,756.6,100.8,830.5,843.8,528.2,120.6,219.6,196.6,111.3,839.2,236.4,181.5,1005.2,769.1,105.2,432.3
AK,111.2,107.7,165.9,0.0,188.5,342.3,80.2,201.2,189.8,5.0,399.7,204.9,128.2,229.8,396.9,669.5,498.0,292.1,139.2,636.6,356.1,294.0,289.5,380.6,301.0,194.0,715.4,638.4,727.0,235.7,278.0,169.7,205.1,669.5,616.9,240.5,217.8,301.9,319.4,243.6,108.4,208.5,301.0,230.0,313.4,244.6,68.7,132.6,216.9,277.0,532.6,651.4,236.0,146.2,270.2,426.7,269.5,224.5,307.8,32.5,526.7,175.9,612.3,664.9,38.2,169.2,658.5,145.8,249.7,562.3,172.1,149.0,384.9,231.3,133.9,300.0,123.0,252.5,205.4,600.7,750.9,224.0,685.2,150.4,500.1,232.3,101.1,304.2,520.3,282.1,539.6,186.2,99.7,560.5,252.7,94.1,388.9,191.1,307.6,174.6,155.9,26.4,605.9,259.0,639.3,350.3,337.7,341.5,178.0,690.8,332.6,135.7,39.0,345.2,253.4,248.3,163.4,258.7,91.3,667.9,192.1,655.6,36.9,273.2,269.5,232.0,230.2,82.7,716.6,254.9,216.5,205.9,142.0,317.7,274.0,621.1,210.5,251.1,343.4,393.1,199.5,51.6,611.8,194.2,685.7,699.0,628.6,115.4,320.0,257.6,151.3,694.4,336.8,206.7,1035.6,624.3,145.2,532.7
AM,305.4,301.9,174.4,194.1,0.0,258.5,225.1,85.7,27.7,199.2,315.9,52.6,116.8,41.2,313.1,810.0,405.0,103.5,333.4,777.1,272.3,134.0,200.2,296.8,208.0,134.2,855.9,545.4,867.5,47.1,185.0,218.2,238.9,810.0,757.4,88.2,29.2,113.3,226.4,212.9,168.4,98.8,112.4,268.0,220.4,236.7,213.6,55.9,159.3,184.0,439.6,791.9,85.2,108.8,149.3,342.9,180.2,72.2,224.0,226.7,667.2,274.6,752.8,808.1,232.4,131.8,799.0,138.6,160.4,702.8,82.4,197.5,324.2,85.5,96.5,210.7,65.3,63.9,73.1,741.2,891.4,216.1,825.7,172.7,407.1,70.2,295.3,211.2,427.3,93.5,446.6,234.7,244.6,467.5,64.1,288.3,305.1,261.3,223.8,92.0,184.4,167.6,512.9,111.3,779.8,252.1,253.9,248.5,250.2,831.3,239.6,147.8,183.9,252.2,164.1,159.0,159.4,239.3,162.7,808.4,59.8,796.1,202.4,180.2,80.9,185.0,213.8,192.6,857.1,102.6,27.9,178.0,190.5,228.4,85.4,528.1,48.4,129.0,245.2,309.3,152.5,173.9,752.3,249.8,826.2,839.5,535.6,186.8,227.0,69.0,114.6,834.9,243.8,54.4,1134.1,764.8,120.4,439.7
AP,463.8,460.3,265.4,352.5,248.6,0.0,310.1,178.5,249.9,357.6,153.7,247.0,282.9,289.9,150.9,884.3,397.7,352.2,491.8,851.4,110.1,286.1,109.7,134.6,285.9,286.2,930.2,538.1,941.8,295.8,211.7,185.0,149.6,884.3,831.7,282.6,277.9,362.0,212.5,123.6,277.3,292.7,361.1,178.7,201.6,312.9,320.6,268.3,201.8,261.9,432.3,866.2,220.9,294.1,255.1,149.2,129.7,266.6,61.8,385.1,741.5,218.1,827.1,882.4,390.8,271.1,873.3,214.8,146.6,777.1,252.2,207.8,106.8,217.5,306.4,102.7,277.7,290.3,189.7,815.5,965.7,292.3,900.0,309.9,399.8,233.9,453.7,289.1,420.0,342.2,439.3,210.4,321.1,460.2,312.8,446.7,142.9,204.8,36.7,213.7,249.8,326.0,505.6,234.5,854.1,104.3,91.7,324.3,220.3,905.6,163.6,224.0,342.3,164.7,100.9,106.0,371.8,150.0,327.6,882.7,202.9,870.4,360.8,256.0,329.6,261.2,124.5,271.5,931.4,297.0,276.6,254.2,216.1,172.0,287.1,520.8,257.1,236.0,97.4,147.1,228.7,300.8,826.6,160.5,900.5,913.8,528.3,303.5,163.0,281.9,236.3,909.2,229.9,248.8,925.7,839.1,242.1,432.4
AZ,202.9,199.4,125.6,91.6,210.9,309.5,0.0,171.3,212.2,96.7,366.9,227.3,150.6,252.2,364.1,761.2,457.7,314.5,230.9,728.3,323.3,253.7,249.2,347.8,260.7,216.4,807.1,598.1,818.7,258.1,237.7,129.4,164.8,761.2,708.6,262.9,240.2,324.3,279.1,207.1,130.8,230.9,323.4,198.8,273.1,204.3,10.4,155.0,176.6,236.7,492.3,743.1,195.7,168.6,229.9,393.9,229.2,246.9,275.0,124.2,618.4,153.6,704.0,756.6,129.9,191.6,750.2,105.5,209.4,654.0,194.5,108.7,375.2,210.3,156.3,259.7,145.4,274.9,182.5,692.4,842.6,183.7,776.9,172.8,459.8,226.7,192.8,263.9,480.0,304.5,499.3,145.9,89.9,520.2,275.1,185.8,356.1,172.5,274.8,181.1,115.6,65.1,565.6,218.7,731.0,301.1,304.9,301.2,161.4,782.5,292.3,95.4,41.1,304.9,213.1,208.0,185.8,227.5,113.7,759.6,195.7,747.3,99.9,232.9,291.9,191.7,189.9,105.1,808.3,277.3,238.9,165.6,101.7,277.4,252.0,580.8,232.9,210.8,294.2,360.3,159.2,74.0,703.5,153.9,777.4,790.7,588.3,137.8,279.7,256.7,173.7,786.1,296.5,229.1,1013.3,716.0,167.6,492.4
BB,299.1,295.6,88.6,187.8,70.0,172.7,148.1,0.0,71.3,192.9,230.1,68.4,120.9,111.3,227.3,825.8,340.9,173.6,327.1,792.9,186.5,136.9,114.4,211.0,143.9,124.2,871.7,481.3,883.3,117.2,120.9,132.4,153.1,825.8,773.2,104.0,99.3,183.4,162.3,127.1,98.7,114.1,182.5,182.2,156.3,150.9,158.6,89.7,59.8,119.9,375.5,807.7,78.9,115.5,113.1,257.1,94.4,88.0,138.2,220.4,683.0,188.8,768.6,821.2,226.1,92.5,814.8,52.8,74.6,718.6,90.2,111.7,238.4,38.9,127.8,124.9,99.1,111.7,11.1,757.0,907.2,130.3,841.5,147.9,343.0,55.3,289.0,147.1,363.2,163.6,382.5,148.9,159.1,403.4,134.2,282.0,219.3,175.5,138.0,35.1,98.6,161.3,448.8,101.9,795.6,166.3,168.1,184.4,164.4,847.1,174.9,62.0,189.3,156.5,78.3,73.2,193.2,153.5,149.0,824.2,24.3,811.9,196.1,116.1,151.0,99.2,128.0,106.8,872.9,118.4,98.0,92.2,104.7,142.6,155.5,464.0,78.5,94.0,159.4,223.5,66.7,136.1,768.1,164.0,842.0,855.3,471.5,124.9,133.6,139.1,57.7,850.7,179.7,70.2,1048.3,780.6,63.5,375.6
BC,317.1,313.6,186.1,205.8,18.1,270.2,236.8,97.4,0.0,210.9,327.6,64.3,128.5,66.3,324.8,821.7,430.1,121.7,352.0,788.8,284.0,152.2,217.1,304.9,226.2,145.9,867.6,563.6,886.1,72.2,210.1,229.9,250.6,828.6,769.1,99.9,47.4,138.4,244.6,224.6,180.1,110.5,130.6,279.7,245.5,248.4,232.2,67.6,177.5,202.2,457.8,810.5,103.4,120.5,167.5,354.6,191.9,83.9,235.7,238.4,678.9,286.3,764.5,824.0,244.1,143.5,810.7,150.3,172.1,714.5,101.0,209.2,339.0,57.7,108.2,222.4,77.0,89.0,84.8,752.9,903.1,236.0,837.4,184.4,425.3,42.4,313.9,229.4,445.5,118.6,464.8,246.4,256.3,485.7,82.3,300.0,316.8,273.0,232.5,104.0,198.0,182.5,538.0,136.4,795.7,266.9,265.6,240.0,261.9,843.0,251.4,162.6,195.6,254.0,176.6,170.7,171.1,251.0,174.4,827.0,71.5,815.1,214.1,195.7,99.1,196.7,225.5,204.3,868.8,121.2,46.1,189.7,202.2,240.1,103.6,546.3,20.6,146.5,256.9,321.0,164.2,185.6,764.0,250.1,837.9,851.2,553.8,205.4,245.2,77.2,126.3,853.5,262.0,73.0,1145.8,776.5,132.1,457.9
BD,103.4,102.6,171.0,5.0,193.6,347.4,85.3,206.3,194.9,0.0,404.8,210.0,133.3,234.9,402.0,664.4,503.1,297.2,131.4,631.5,361.2,299.1,294.6,385.7,306.1,199.1,710.3,643.5,721.9,240.8,283.1,174.8,210.2,664.4,611.8,245.6,222.9,307.0,324.5,248.7,113.5,213.6,306.1,235.1,318.5,249.7,73.8,137.7,222.0,282.1,537.7,646.3,241.1,151.3,275.3,431.8,274.6,229.6,312.9,27.4,521.6,181.0,607.2,659.8,33.1,174.3,653.4,150.9,254.8,557.2,177.2,154.1,390.0,236.4,139.0,305.1,128.1,257.6,210.5,595.6,745.8,229.1,680.1,155.5,505.2,237.4,93.3,309.3,525.4,287.2,544.7,191.3,104.8,565.6,257.8,86.3,394.0,196.2,312.7,179.7,161.0,31.5,611.0,264.1,634.2,355.4,342.8,346.6,183.1,685.7,337.7,140.8,44.1,350.3,258.5,253.4,168.5,263.8,96.4,662.8,197.2,650.5,42.0,278.3,274.6,237.1,235.3,87.8,711.5,260.0,221.6,211.0,147.1,322.8,279.1,626.2,215.6,256.2,348.5,398.2,204.6,56.7,606.7,199.3,680.6,693.9,633.7,120.5,325.1,262.7,156.4,689.3,341.9,211.8,1040.7,619.2,150.3,537.8
