from_stop,AJ,AN,BF,BN,BO,CC,CK,CL,CU,CW,DB,DC,DL,DM,DZ,EL,EU,FB,FE,FF,FH,FR,FS,FV,GK,GN,GS,GX,HB,HC,HF,HJ,HO,IE,IF,IT,JZ,KB,KC,KE,KF,KG,KN,KU,LN,LO,LP,LU,LV,MD,ML,MT,NS,NT,NW,OV,PB,PH,PI,PJ,PK,PV,QL,QQ,QU,QY,RO,RQ,RR,TE,TJ,TK,UC,UD,UF,UH,UK,UU,UX,VC,WC,WE,WJ,WK,WV,XF,XI,XK,XN,XO,XU,XV,YJ,YN,YO,YR,YT,YY,ZD,ZQ
AJ,0.0,146.2,150.6,253.8,236.8,254.4,469.5,450.0,166.3,308.3,209.5,87.1,308.6,182.0,377.1,80.4,465.1,105.5,133.8,171.0,299.2,266.4,217.5,364.8,60.0,302.5,192.4,220.5,291.5,175.7,90.2,99.9,343.2,57.3,224.1,221.7,144.0,376.8,433.3,112.6,73.2,163.7,194.1,105.0,176.8,236.0,80.1,146.2,200.0,105.5,200.7,321.3,412.8,278.3,132.5,332.4,130.7,137.8,118.7,290.0,1361.4,48.2,142.3,372.9,53.1,287.5,278.8,95.7,241.0,391.4,265.9,146.9,344.9,93.8,305.9,125.1,92.3,185.9,149.2,301.3,293.2,143.3,197.8,81.9,15.5,48.2,269.0,232.5,92.4,205.1,173.1,185.5,103.3,82.2,341.5,359.6,285.3,313.9,225.7,330.6
AN,216.1,0.0,166.2,207.8,201.9,194.7,599.6,580.1,20.0,273.4,216.4,245.6,315.5,210.8,256.4,238.9,595.2,264.0,119.1,65.0,264.3,231.5,233.1,494.9,221.9,281.5,233.5,236.1,289.1,140.8,163.7,220.6,308.3,174.1,189.2,108.3,84.3,506.9,563.4,148.4,231.7,179.3,159.2,246.3,192.4,251.6,264.6,216.8,215.6,264.0,265.0,328.2,542.4,243.4,142.6,348.0,148.9,127.3,105.5,186.3,1472.3,191.1,256.4,331.4,179.6,252.6,257.8,196.6,220.6,521.5,235.8,175.7,310.0,219.1,312.8,237.4,132.2,201.5,164.8,266.4,258.3,158.9,204.7,141.5,208.3,191.1,232.6,248.1,171.5,246.2,188.7,201.1,127.0,158.0,306.6,366.5,264.3,317.2,130.4,356.3
BF,183.7,188.0,0.0,131.4,147.1,169.4,514.1,494.6,208.1,231.4,84.9,170.3,150.9,125.3,300.2,159.7,509.7,198.1,140.7,136.5,222.3,177.9,99.9,409.4,140.2,180.1,148.0,98.1,169.1,87.2,123.7,138.9,266.3,108.5,135.6,180.0,125.9,421.4,477.9,167.3,166.1,13.0,105.6,164.6,61.7,113.6,182.9,135.1,77.6,198.1,179.5,212.5,456.9,201.4,221.5,210.0,204.4,204.1,127.1,213.8,1404.2,157.1,170.9,211.4,144.0,181.2,156.4,188.6,118.6,436.0,143.5,94.0,268.0,153.5,175.7,155.7,96.6,70.8,83.1,224.4,216.3,65.2,123.0,105.9,156.3,157.1,146.6,110.1,105.9,160.7,50.7,73.2,169.6,164.9,264.6,250.8,162.9,197.2,156.7,208.2
BN,222.2,213.7,150.5,0.0,28.6,161.8,605.7,586.2,233.8,127.8,205.2,251.7,136.8,216.9,196.6,245.0,601.3,270.1,166.4,169.4,118.7,85.9,136.4,501.0,228.0,132.5,239.6,50.5,121.5,58.3,169.8,226.7,162.7,180.2,41.6,172.4,142.7,513.0,569.5,195.7,237.8,135.6,39.5,252.4,145.1,48.0,270.7,222.9,63.8,270.1,271.1,174.1,548.5,97.8,247.2,144.4,230.1,229.8,152.8,206.2,1387.0,198.8,262.5,163.8,185.7,107.0,108.8,214.3,12.7,527.6,95.9,181.8,164.4,225.2,110.1,243.5,138.3,136.0,170.9,120.8,112.7,165.0,210.8,147.6,214.4,198.8,99.0,62.5,177.6,252.3,92.3,177.7,195.3,190.6,161.0,197.8,115.3,149.6,149.1,160.6
BO,216.7,208.2,147.2,20.3,0.0,156.3,600.2,580.7,228.3,140.3,217.0,245.1,166.1,211.4,209.1,239.5,595.8,264.6,160.9,163.9,131.2,98.4,163.8,495.5,222.5,159.9,218.8,77.9,148.9,46.9,164.3,221.2,171.6,174.7,13.6,156.3,137.2,507.5,564.0,188.8,232.3,130.1,34.0,246.9,168.9,75.3,265.2,217.4,91.2,264.6,263.8,201.5,543.5,109.6,241.7,171.8,224.6,224.3,147.3,200.7,1399.5,193.3,257.0,191.2,180.2,119.5,136.2,208.8,40.1,522.1,123.3,176.3,176.9,219.7,137.5,238.0,132.8,163.4,165.4,133.3,111.1,156.7,205.3,142.1,208.9,193.3,125.8,89.9,172.1,246.8,119.7,200.7,189.8,185.1,173.5,225.2,142.7,177.0,143.6,188.0
CC,266.3,211.2,175.3,149.2,143.3,0.0,628.3,608.8,231.3,214.8,245.1,270.2,212.3,239.5,283.6,263.5,623.9,288.6,145.9,134.3,205.7,172.9,212.7,523.6,250.6,222.9,262.2,199.8,230.5,82.2,192.4,249.3,249.7,202.8,130.6,137.3,107.6,535.6,592.1,175.2,256.3,158.2,100.6,288.1,197.0,197.3,293.3,245.5,190.4,288.6,293.7,283.1,571.6,184.8,204.0,256.8,202.2,209.3,132.3,171.1,1474.0,203.2,285.1,272.8,236.9,194.0,199.2,193.8,162.0,550.2,177.2,204.4,251.4,247.8,259.4,266.1,189.6,206.1,193.5,207.8,199.7,187.6,233.4,170.2,247.6,203.2,174.0,211.8,200.2,274.9,163.5,228.8,174.8,170.1,248.0,306.8,205.7,258.6,114.0,298.3
CK,439.7,500.2,468.0,546.7,562.4,608.4,0.0,29.4,520.3,612.8,392.5,347.5,493.5,365.0,681.6,353.0,75.3,360.1,487.8,508.4,603.7,599.5,460.0,91.7,384.1,561.5,354.4,530.0,537.9,519.0,459.0,375.4,644.1,426.2,588.4,569.4,498.0,98.2,29.2,495.4,361.4,481.1,531.5,353.5,460.1,498.2,413.4,411.5,520.8,544.4,359.3,504.3,57.6,582.1,469.0,537.5,481.7,491.8,472.3,637.1,1097.2,459.2,321.2,555.9,425.2,562.6,537.8,401.0,533.9,61.1,524.9,406.0,649.4,452.3,485.2,347.4,459.5,469.2,391.5,583.2,595.2,426.5,358.2,468.8,447.3,459.2,527.4,519.8,442.8,388.1,495.9,430.9,457.3,432.2,646.0,543.5,544.3,494.0,579.7,615.8
CL,427.1,487.6,455.4,534.1,549.8,595.8,16.3,0.0,507.7,600.2,379.9,333.7,479.0,352.4,669.0,340.4,45.8,347.5,475.2,495.8,591.1,586.9,447.4,79.1,371.5,548.9,362.8,517.4,525.3,500.5,446.4,362.8,635.1,413.6,575.8,546.5,485.4,85.6,16.6,481.4,348.8,468.5,518.9,340.9,447.5,485.6,400.8,398.9,510.2,347.5,371.1,491.7,56.9,570.2,473.9,524.9,472.1,479.2,460.1,624.5,1084.6,446.6,308.6,543.3,412.6,550.0,525.2,411.0,521.3,48.5,512.3,393.4,636.8,439.7,476.3,334.8,446.9,456.6,378.9,593.2,585.1,416.7,368.2,456.2,434.7,446.6,515.4,507.2,423.9,375.5,483.3,418.3,444.7,419.6,633.4,530.0,531.7,484.3,567.1,603.8
CU,196.0,89.0,146.1,187.7,181.8,174.6,579.5,560.0,0.0,253.3,196.3,224.4,248.6,190.7,236.3,218.8,575.1,243.9,99.0,44.9,244.2,211.4,213.0,474.8,201.8,261.4,198.1,216.0,269.0,126.6,143.6,200.5,288.2,154.0,169.1,98.5,64.2,486.8,543.3,128.3,211.6,159.2,139.1,226.2,172.3,231.5,244.5,196.7,193.5,80.9,243.1,308.1,522.3,223.3,122.5,327.9,128.8,107.2,85.4,166.2,1452.2,171.0,236.3,311.3,159.5,232.5,237.7,176.5,200.5,501.4,215.7,155.6,289.9,199.0,289.0,217.3,112.1,181.4,144.7,246.3,224.1,136.0,184.6,121.4,188.2,171.0,212.5,228.0,178.5,226.1,168.6,174.0,106.9,137.9,286.5,347.3,244.2,294.2,110.3,336.8
CW,359.9,239.2,310.0,148.0,160.1,256.9,743.4,723.9,259.3,0.0,360.2,389.4,144.9,354.6,142.7,382.7,739.0,407.8,262.9,208.8,7.8,123.5,253.5,638.7,365.7,155.5,377.3,162.6,163.1,232.4,307.5,364.4,108.8,317.9,147.4,205.5,228.1,650.7,707.2,292.2,375.5,323.1,145.3,390.1,336.2,183.1,408.4,360.6,180.9,407.8,408.8,215.7,686.7,43.9,272.7,189.4,279.0,257.4,249.3,199.5,1424.6,320.2,400.2,205.4,323.4,126.6,131.8,310.8,160.8,665.3,109.8,319.5,110.5,362.9,181.1,381.2,276.0,253.1,308.6,66.9,87.8,302.7,348.5,285.3,352.1,320.2,106.6,152.4,315.3,390.0,209.4,344.9,257.1,287.1,107.1,239.4,138.3,191.2,182.2,202.2
