from_stop,AF,AL,AS,AT,AV,AW,BS,BU,BZ,CD,CF,CJ,CN,CQ,CY,DD,DG,DH,DM,DN,DQ,DS,DT,DU,DZ,EA,EC,ED,EG,EI,EJ,EL,EP,EV,EW,EX,EZ,FF,FI,FL,FZ,GC,GH,GO,GY,HH,HJ,HO,HX,HY,IB,ID,IG,IJ,IQ,IR,IW,JE,JF,JH,JJ,JM,JN,JV,JX,KA,KF,KH,KT,KU,KW,LL,LN,LQ,LU,LV,MD,MF,MP,MR,NC,NG,NQ,NS,NT,NW,NY,OB,OC,OF,OI,OP,OR,OT,PB,PF,PH,PJ,PM,PR,PY,QE,QG,QJ,QX,RB,RJ,RY,RZ,SE,SU,SW,TE,TJ,TZ,UC,UG,UH,UN,UQ,UZ,VB,VG,VH,VO,VR,WD,WE,WF,WN,WQ,WS,WW,WZ,XB,XD,XW,XY,XZ,YB,YH,YN,YP,YS,YW,ZF,ZG,ZK,ZW,ZX
AF,0.0,93.4,392.4,805.4,925.7,187.4,696.4,339.3,195.0,238.1,284.3,415.8,248.4,244.7,78.7,216.8,412.0,284.1,224.5,372.4,434.9,690.1,145.5,29.9,345.2,904.1,358.0,306.2,688.0,283.9,39.6,593.7,952.3,388.6,378.7,543.4,572.4,216.7,450.4,273.9,503.5,454.0,191.9,125.4,486.1,151.4,223.1,581.7,258.9,826.7,932.4,333.3,773.3,248.8,287.6,513.3,275.6,552.8,555.6,215.4,260.9,559.2,249.8,166.2,169.3,640.8,259.2,271.6,173.7,281.1,686.8,307.0,788.3,728.8,377.8,472.1,245.7,508.7,360.8,135.3,91.4,777.4,236.9,162.1,573.9,271.7,690.0,536.2,612.6,226.6,466.5,277.0,528.1,710.6,280.1,524.3,673.3,219.8,273.4,107.2,247.5,272.6,663.7,160.8,494.5,123.8,1845.9,895.2,296.8,755.3,289.1,299.3,256.0,284.9,344.1,116.6,813.1,602.0,203.9,250.7,273.6,663.1,235.7,342.9,320.6,312.5,90.1,177.4,366.5,694.7,662.7,47.9,800.4,64.5,576.8,242.5,231.7,473.2,94.2,310.4,630.6,382.3,233.5,753.6,94.8,162.8,707.4,211.3,429.1,348.2
AL,103.4,0.0,480.7,893.7,1014.0,207.9,784.7,427.6,283.3,326.4,304.2,504.1,336.7,264.6,14.6,305.1,500.3,304.0,244.4,460.7,523.2,778.4,233.8,73.4,433.5,992.4,446.3,394.5,776.3,372.2,106.2,682.0,1040.6,476.9,467.0,631.7,660.7,305.0,538.7,362.2,591.8,542.3,211.8,31.9,574.4,239.7,311.4,670.0,278.8,915.0,1020.7,421.6,861.6,337.1,375.9,601.6,363.9,641.1,643.9,235.3,349.2,647.5,338.1,254.5,189.2,729.1,347.5,359.9,262.0,369.4,775.1,395.3,876.6,817.1,466.1,560.4,334.0,597.0,449.1,223.6,42.8,865.7,325.2,250.4,662.2,360.0,778.3,624.5,700.9,314.9,554.8,365.3,616.4,798.9,368.4,612.6,761.6,308.1,361.7,216.0,335.8,360.9,752.0,249.1,582.8,143.7,1934.2,983.5,385.1,843.6,377.4,387.6,275.9,373.2,432.4,222.9,901.4,690.3,223.8,339.0,361.9,751.4,324.0,431.2,408.9,400.8,86.1,265.7,454.8,783.0,751.0,55.4,888.7,47.2,665.1,330.8,320.0,561.5,90.2,398.7,718.9,470.6,321.8,841.9,183.1,182.7,795.7,299.6,517.4,436.5
AS,417.0,510.5,0.0,597.0,717.3,563.7,488.0,68.9,331.7,374.8,660.0,207.4,385.1,620.4,495.8,305.3,522.5,659.8,600.2,44.0,226.5,481.7,265.8,447.0,455.7,695.7,468.5,442.9,479.6,420.6,456.7,385.3,743.9,180.2,13.6,335.0,545.9,353.4,560.9,410.6,295.1,245.6,567.6,542.5,277.7,288.1,359.8,373.3,634.6,618.3,724.0,443.8,564.9,385.5,424.3,623.8,412.3,344.4,347.2,591.1,397.6,350.8,386.5,302.9,545.0,432.4,395.9,408.3,310.4,237.0,478.4,443.7,579.9,520.4,38.6,263.7,382.4,619.2,471.3,323.4,508.5,569.0,178.9,350.2,365.5,382.2,481.6,646.7,404.2,189.4,258.1,413.7,319.7,502.2,416.8,634.8,464.9,356.5,410.1,245.0,384.2,409.3,455.3,348.9,286.1,499.5,1637.5,686.8,433.5,546.9,425.8,436.0,631.7,421.6,480.8,254.4,604.7,393.6,579.6,387.4,410.3,454.7,342.3,49.4,431.1,423.0,500.9,365.5,503.2,486.3,454.3,465.0,592.0,481.6,368.4,284.9,223.4,583.7,505.0,447.1,422.2,10.0,370.2,545.2,336.2,538.5,499.0,399.4,220.7,458.7
AT,882.1,975.6,669.1,0.0,207.8,1028.2,167.9,616.0,796.8,839.9,1125.1,585.6,850.2,1085.5,960.9,770.4,867.3,1124.9,1065.3,649.1,586.7,319.8,730.9,912.1,920.8,186.2,933.6,908.0,159.5,885.7,921.8,418.6,234.4,540.4,655.4,333.2,884.0,818.5,826.3,875.7,453.5,473.9,1032.7,1007.6,436.1,753.2,824.9,549.1,1099.7,84.8,214.5,908.9,162.0,850.6,889.4,850.4,877.4,435.9,486.0,1056.2,862.7,429.5,851.6,768.0,1010.1,270.5,861.0,873.4,775.5,702.1,357.4,908.8,90.3,78.2,654.5,473.2,847.5,870.2,936.4,788.5,973.6,101.2,644.0,815.3,361.0,847.3,184.6,897.7,268.9,654.5,486.4,878.8,504.9,190.6,881.9,885.8,303.0,821.6,875.2,712.6,849.3,874.4,293.4,814.0,514.4,964.6,1476.0,153.3,898.6,144.0,890.9,901.1,1096.8,886.7,945.9,719.5,121.4,321.0,1044.7,852.5,875.4,171.5,807.4,619.6,896.2,888.1,966.0,830.6,968.3,174.7,160.7,930.1,134.1,946.7,384.2,750.0,688.5,834.7,970.1,912.2,339.7,659.0,835.3,93.1,801.3,1003.6,337.1,864.5,598.9,923.8
AV,945.7,1039.2,732.7,204.6,0.0,1091.8,265.0,679.6,860.4,903.5,1188.7,649.2,913.8,1149.1,1024.5,834.0,879.4,1188.5,1128.9,712.7,650.3,416.9,794.5,975.7,984.4,18.5,997.2,971.6,256.6,949.3,985.4,515.7,74.6,604.0,719.0,430.3,896.1,882.1,838.4,939.3,550.6,563.1,1096.3,1071.2,533.2,816.8,888.5,646.2,1163.3,236.9,112.4,972.5,259.1,914.2,953.0,862.5,941.0,533.0,549.6,1119.8,926.3,526.6,915.2,831.6,1073.7,367.6,924.6,937.0,839.1,765.7,454.5,972.4,224.9,175.3,718.1,573.6,911.1,882.3,1000.0,852.1,1037.2,214.0,707.6,878.9,458.1,910.9,281.7,909.8,366.0,718.1,550.0,942.4,602.0,287.7,945.5,897.9,400.1,885.2,938.8,776.2,912.9,938.0,390.5,877.6,578.0,1028.2,1337.0,299.2,962.2,241.1,954.5,964.7,1160.4,950.3,1009.5,783.1,273.5,418.1,1108.3,916.1,939.0,268.6,871.0,683.2,959.8,951.7,1029.6,894.2,1031.9,271.8,257.8,993.7,269.8,1010.3,481.3,813.6,752.1,846.8,1033.7,975.8,436.8,722.6,898.9,190.2,864.9,1067.2,434.2,928.1,662.5,987.4
AW,183.9,227.3,514.4,928.0,1048.3,0.0,818.4,461.9,317.6,360.1,130.8,535.7,370.4,91.2,212.6,338.8,534.0,130.6,71.0,494.4,556.9,812.1,267.5,191.9,467.2,1026.1,480.0,428.8,810.0,405.9,223.6,715.7,1074.3,570.0,500.7,665.4,694.4,338.7,572.4,395.9,625.5,576.0,3.9,259.9,608.1,273.4,345.7,704.3,139.6,948.7,1054.4,455.9,896.4,370.8,409.6,635.9,397.6,674.8,677.6,29.6,382.9,681.2,371.8,288.2,28.0,762.8,381.8,393.6,296.3,403.1,809.8,429.0,920.2,850.8,499.8,594.1,368.3,630.7,480.6,257.3,250.7,899.4,358.9,284.1,696.5,393.7,812.0,658.2,734.6,348.6,588.5,399.6,640.1,832.6,402.1,646.9,795.9,347.7,395.4,121.6,369.5,394.6,785.7,282.8,616.5,64.1,1968.5,1017.2,426.2,877.9,411.1,421.3,70.8,406.9,466.7,128.5,935.7,724.6,16.4,372.7,395.6,785.1,362.2,464.9,442.0,434.5,196.6,299.4,488.5,816.7,784.7,173.3,922.4,224.4,698.8,364.5,353.7,595.8,202.9,432.4,752.6,504.3,355.5,875.6,216.8,44.8,822.5,328.1,551.7,470.8
BS,794.3,887.8,581.3,156.2,276.5,940.4,0.0,528.2,709.0,752.1,1037.3,495.7,762.4,993.3,873.1,682.6,766.6,1037.6,977.5,561.3,498.9,219.1,643.1,824.3,833.0,254.9,845.8,820.2,8.4,797.9,834.0,317.9,303.1,512.0,567.6,232.5,783.3,730.7,725.6,787.9,352.8,386.1,944.9,919.8,335.4,665.4,737.1,448.4,1011.9,177.5,283.2,821.1,148.5,762.8,801.6,749.7,789.6,335.2,370.7,968.4,774.9,328.8,763.8,680.2,922.3,169.8,773.2,785.6,687.7,614.3,257.7,821.0,139.1,79.6,566.7,372.5,759.7,769.5,846.4,700.7,885.8,128.2,556.2,727.5,260.3,759.5,86.1,797.0,168.2,566.7,464.5,791.0,393.6,89.9,794.1,785.1,202.3,739.7,787.4,624.8,761.5,786.6,192.7,726.2,426.6,876.8,1517.1,246.0,810.8,130.5,803.1,813.3,1009.0,798.9,858.1,631.7,188.3,220.3,956.9,764.7,787.6,73.0,728.0,531.8,808.4,800.3,875.4,742.8,880.5,74.0,60.0,842.3,175.6,858.9,283.5,662.2,600.7,734.0,882.3,824.4,239.0,571.2,747.5,104.4,713.5,915.8,236.4,776.7,511.1,836.0
BU,353.9,447.4,67.1,533.9,654.2,500.0,424.9,0.0,268.6,311.7,596.9,144.3,322.0,557.3,432.7,242.2,459.4,596.7,537.1,33.0,163.4,418.6,202.7,383.9,392.6,632.6,405.4,379.8,416.5,357.5,393.6,322.2,680.8,117.1,65.2,271.9,482.8,290.3,497.8,347.5,232.0,208.1,504.5,479.4,214.6,225.0,296.7,310.2,571.5,555.2,660.9,380.7,501.8,322.4,361.2,560.7,349.2,281.3,284.1,528.0,334.5,287.7,323.4,239.8,481.9,369.3,332.8,345.2,247.3,173.9,415.3,380.6,516.8,457.3,38.4,200.6,319.3,556.1,408.2,260.3,445.4,505.9,115.8,287.1,302.4,319.1,418.5,583.6,341.1,126.3,195.0,350.6,256.6,439.1,353.7,571.7,401.8,293.4,347.0,184.4,321.1,346.2,392.2,285.8,223.0,436.4,1574.4,623.7,370.4,483.8,362.7,372.9,568.6,358.5,417.7,191.3,541.6,330.5,516.5,324.3,347.2,391.6,279.2,29.4,368.0,359.9,437.8,302.4,440.1,423.2,391.2,401.9,528.9,418.5,305.3,221.8,160.3,520.6,441.9,384.0,359.1,68.8,307.1,482.1,273.1,475.4,435.9,336.3,157.6,395.6
BZ,182.0,275.5,314.1,727.1,847.4,328.1,618.1,261.0,0.0,67.7,425.0,335.4,130.5,385.4,260.8,138.5,294.1,424.8,365.2,294.1,356.6,611.8,67.2,212.0,227.3,825.8,240.1,188.3,609.7,88.8,221.7,515.4,874.0,369.7,300.4,465.1,454.5,46.3,332.5,156.0,425.2,401.3,332.6,307.5,407.8,44.6,28.0,503.4,399.6,748.4,854.1,215.4,696.1,53.7,92.5,395.4,105.2,474.5,477.3,356.1,65.8,480.9,99.4,29.4,310.0,562.5,141.3,153.7,55.8,202.8,609.5,156.6,710.0,650.5,299.5,393.8,50.6,390.8,240.7,88.4,273.5,699.1,158.6,115.2,495.6,153.8,611.7,418.3,534.3,148.3,457.9,123.8,449.8,632.3,85.0,406.4,595.0,107.8,155.5,164.1,129.6,154.7,585.4,113.9,416.2,264.5,1767.6,816.9,186.3,677.0,111.7,181.4,393.9,89.8,193.7,173.5,734.8,523.7,344.6,132.8,78.5,584.8,122.3,264.6,201.5,194.6,265.9,130.5,248.6,616.4,584.4,230.0,722.1,246.6,498.5,164.2,153.4,355.3,270.0,192.5,552.3,304.0,63.1,675.3,101.2,303.5,621.6,164.4,350.8,230.3
CD,228.8,322.3,360.9,773.9,894.2,374.9,664.9,307.8,83.4,0.0,471.8,382.2,177.3,432.2,307.6,185.3,340.9,472.1,412.0,340.9,403.4,658.6,114.0,258.8,274.1,872.6,286.9,235.1,656.5,163.8,268.5,562.2,920.8,416.5,347.2,511.9,501.3,32.3,379.3,202.8,472.0,448.1,379.4,354.3,454.6,91.4,65.2,550.2,446.4,795.2,900.9,262.2,741.8,128.7,149.5,442.2,72.3,521.3,524.1,402.9,122.8,527.7,128.2,76.2,356.8,609.3,188.1,200.5,102.6,249.6,656.3,185.4,756.8,697.3,346.3,440.6,107.6,437.6,287.5,135.2,320.3,745.9,205.4,162.0,542.4,200.6,658.5,465.1,581.1,195.1,504.7,155.4,496.6,679.1,142.0,453.2,641.8,154.6,202.3,210.9,176.4,201.5,632.2,160.7,463.0,305.1,1814.4,863.7,225.7,723.8,167.5,228.2,440.7,116.7,222.5,220.3,781.6,570.5,391.4,179.6,135.5,631.6,169.1,311.4,248.3,241.4,312.7,177.3,295.4,663.2,631.2,276.8,768.9,293.4,545.3,211.0,200.2,402.1,316.8,239.3,599.1,350.8,30.2,722.1,148.0,350.3,675.9,211.2,397.6,277.1
