from_stop,AD,AF,AJ,AK,AQ,AY,AZ,BK,CK,CP,CR,DI,DQ,DV,DY,EE,EH,EK,EM,EN,EQ,FM,GI,GN,GW,GY,HF,HK,HS,HT,IC,IF,IG,IJ,IN,IU,IZ,JU,JV,KG,KJ,KQ,KT,KU,KW,KY,LF,LJ,LK,LL,MC,MF,ML,MP,MQ,MR,NA,OB,OD,OR,OT,PB,PF,PJ,PN,QI,QQ,QR,QT,QU,RH,RI,RJ,RT,RZ,SL,ST,SX,TB,TF,TQ,TY,UO,UR,UW,UX,VK,VX,VZ,WC,WH,WI,WQ,WR,WY,WZ,XA,XI,XK,XL,XQ,XV,YF,YI,YT,ZE,ZI,ZN
AD,0.0,75.2,371.6,37.5,97.9,34.2,73.4,324.9,42.6,94.7,376.1,356.1,153.5,259.7,186.7,160.3,345.2,401.9,110.4,253.5,367.9,167.5,272.9,234.0,214.9,230.6,300.9,142.3,97.0,277.2,102.7,106.3,203.8,101.1,296.7,237.6,357.5,155.1,302.1,233.0,256.5,265.8,353.0,74.3,325.9,94.7,284.8,198.2,63.2,391.7,61.4,83.1,296.3,398.8,1589.9,69.6,119.0,261.5,247.4,157.2,148.8,371.4,292.6,347.6,141.3,82.5,6.8,123.7,104.6,307.1,271.6,73.2,109.3,319.1,135.9,67.8,312.2,90.1,232.2,357.9,86.9,76.3,91.9,321.0,313.9,252.0,269.0,67.5,150.3,178.0,117.6,81.6,113.0,73.9,15.3,200.8,90.8,321.8,274.8,78.2,284.8,198.8,142.2,27.6,120.0,321.0,372.8,30.9
AF,66.7,0.0,438.5,76.1,86.7,101.1,140.3,391.8,82.9,131.6,395.4,344.9,220.4,248.5,253.6,227.2,412.1,390.7,177.9,243.4,434.8,156.3,339.8,225.7,281.8,219.4,367.8,209.2,163.9,266.0,181.4,162.3,270.7,48.4,285.5,226.4,424.4,142.3,369.0,299.9,323.4,332.7,419.9,49.1,393.5,83.5,273.6,189.9,52.0,458.6,36.2,150.0,334.1,445.8,1546.1,106.5,185.9,328.4,314.3,134.1,215.7,433.7,359.5,414.5,130.1,71.3,73.2,160.6,93.4,374.0,338.5,140.1,146.2,386.0,124.7,7.8,379.1,157.6,221.9,399.7,153.8,143.2,57.6,358.8,380.8,240.8,335.9,140.6,139.1,166.8,92.4,148.5,98.7,62.7,82.2,267.7,79.6,388.7,341.7,145.1,351.7,187.6,209.1,66.2,186.9,358.8,361.6,36.0
AJ,381.3,456.5,0.0,418.8,479.2,384.6,401.0,89.3,425.6,387.0,157.6,577.6,225.2,557.4,343.1,274.3,195.5,644.8,341.8,553.2,197.0,514.7,229.4,535.3,259.4,601.3,130.0,286.2,346.0,582.4,372.2,317.8,301.3,477.2,586.6,542.8,189.0,507.5,171.8,277.5,163.4,172.3,17.1,455.6,567.1,476.0,590.0,499.5,444.5,110.1,442.7,410.7,537.5,640.0,1673.7,412.6,371.5,192.7,291.9,499.3,305.2,195.9,152.9,227.7,512.5,463.8,374.8,449.4,485.9,463.5,178.1,386.7,373.5,148.2,507.1,449.1,192.3,361.1,538.3,161.9,386.6,374.5,468.0,562.2,143.0,557.2,178.5,404.1,491.8,524.7,457.6,394.3,491.2,455.2,365.8,298.3,472.1,191.5,184.3,302.5,125.2,570.3,270.1,408.9,298.7,562.2,594.3,412.2
AK,47.2,74.3,419.0,0.0,97.0,81.6,120.8,372.3,6.7,57.1,375.9,322.4,200.9,218.5,234.1,207.7,392.6,368.2,103.4,214.3,415.3,166.6,320.3,196.4,262.3,229.7,348.3,189.7,144.4,243.5,106.9,142.8,251.2,100.2,263.0,203.9,404.9,125.5,349.5,280.4,303.9,313.2,400.4,73.4,288.3,93.8,251.1,160.6,62.3,439.1,60.5,130.5,258.7,361.2,1552.3,32.0,166.4,308.9,294.8,117.3,196.2,414.2,340.0,395.0,140.4,81.6,53.7,86.1,103.7,354.5,319.0,120.6,71.7,366.5,135.0,66.9,359.6,83.1,199.4,380.2,134.3,123.7,91.0,283.4,361.3,218.3,316.4,129.3,149.4,177.1,75.6,129.0,109.0,73.0,62.7,248.2,89.9,369.2,322.2,125.6,332.2,197.9,189.6,9.8,167.4,283.4,339.1,30.0
AQ,105.2,82.5,477.0,123.3,0.0,139.6,178.8,430.3,116.5,126.8,433.9,264.9,258.9,161.0,292.1,265.7,450.6,310.7,173.1,156.8,473.3,69.5,378.3,138.9,320.3,150.1,406.3,247.7,202.4,186.0,176.6,200.8,309.2,131.0,205.5,146.4,462.9,56.3,407.5,338.4,361.9,371.2,458.4,90.4,276.9,67.7,193.6,103.1,42.5,497.1,104.8,188.5,247.3,365.8,1494.8,101.7,224.4,366.9,352.8,48.1,254.2,472.2,398.0,453.0,43.3,79.9,111.7,155.8,57.8,412.5,377.0,178.6,141.4,424.5,37.9,75.1,417.6,152.8,141.9,438.2,192.3,181.7,131.6,272.0,419.3,160.8,374.4,199.0,52.3,79.5,56.9,187.0,11.9,32.3,120.7,306.2,6.3,427.2,380.2,183.6,390.2,116.6,247.6,133.2,225.4,272.0,281.6,74.5
AY,44.8,120.0,365.5,82.3,142.7,0.0,39.1,318.8,89.1,91.2,322.4,400.9,147.4,304.5,180.6,154.2,339.1,446.7,90.3,312.8,361.8,212.3,266.8,278.8,208.8,275.4,294.8,136.2,90.9,322.0,93.8,89.3,197.7,115.3,341.5,282.4,351.4,211.7,296.0,226.9,250.4,259.7,346.9,119.1,370.7,139.5,329.6,243.0,108.0,385.6,106.2,48.8,341.1,443.6,1675.0,116.8,112.9,255.4,241.3,203.5,142.7,360.7,286.5,341.5,186.1,127.3,38.3,153.6,149.4,301.0,265.5,67.1,77.7,313.0,180.7,112.6,306.1,70.0,277.9,326.7,55.0,70.2,106.1,365.8,307.8,296.8,262.9,53.6,195.1,222.8,161.8,47.3,154.7,118.7,29.3,194.7,135.6,315.7,268.7,72.1,278.7,243.6,136.1,72.4,113.9,365.8,417.6,75.7
AZ,135.8,114.9,507.5,145.1,188.1,170.1,0.0,460.8,150.2,198.0,541.7,446.3,289.4,352.5,321.9,296.2,481.1,492.1,246.3,358.4,503.1,257.7,408.8,326.4,350.8,320.8,436.1,278.2,232.9,367.4,238.6,242.2,339.7,75.0,386.9,327.1,492.7,257.3,437.3,368.9,392.4,401.7,488.9,164.1,432.8,184.9,375.0,291.3,153.4,527.6,151.2,8.6,403.9,580.1,1628.7,177.2,254.9,396.7,383.3,249.1,284.6,507.3,428.5,483.5,231.5,172.7,142.0,230.6,194.8,442.3,406.8,190.5,216.9,455.0,225.4,122.8,448.1,225.3,321.7,512.9,222.5,212.2,65.1,427.9,449.8,341.5,404.9,204.3,240.5,268.2,207.4,216.8,203.2,164.1,151.2,336.7,181.0,457.7,410.7,214.1,420.0,282.9,280.0,135.2,255.9,428.6,463.0,121.1
BK,306.5,381.7,91.2,344.0,404.4,309.8,326.2,0.0,350.8,312.2,117.6,502.8,150.4,482.6,268.3,199.5,177.5,570.0,267.0,478.4,157.0,439.9,154.6,460.5,184.6,526.5,90.0,211.4,271.2,507.6,297.4,243.0,226.5,402.4,511.8,468.0,171.0,432.7,97.0,202.7,88.6,97.5,72.6,380.8,492.3,401.2,515.2,424.7,369.7,66.7,367.9,335.9,462.7,565.2,1633.7,337.8,296.7,117.9,217.1,424.5,230.4,155.9,78.1,152.9,437.7,389.0,300.0,374.6,411.1,388.7,103.3,311.9,298.7,108.2,432.3,374.3,117.5,286.3,463.5,121.9,311.8,299.7,393.2,487.4,103.0,482.4,103.7,329.3,417.0,449.9,382.8,319.5,416.4,380.4,291.0,223.5,397.3,116.7,109.5,227.7,35.8,495.5,195.3,334.1,223.9,487.4,519.5,337.4
CK,54.1,81.1,439.9,6.7,103.8,88.4,129.4,393.2,0.0,46.0,523.3,315.6,221.8,209.1,239.2,228.6,413.5,361.4,96.6,207.5,420.4,149.9,325.4,189.6,283.2,212.5,353.4,210.6,151.2,236.7,101.4,160.5,272.1,107.0,256.2,197.1,425.8,118.7,370.4,301.3,324.8,318.3,421.3,80.2,281.5,100.6,245.0,153.8,69.1,460.0,67.3,137.3,251.9,354.4,1545.5,25.2,173.2,329.8,315.7,110.5,202.9,439.7,360.9,415.9,123.7,88.4,59.3,81.0,110.5,361.3,339.9,108.8,64.9,387.4,120.0,73.7,380.5,76.3,193.4,445.3,140.8,130.5,96.1,276.6,382.2,211.5,321.5,117.2,132.7,160.7,68.8,134.1,118.9,79.8,69.5,269.1,96.7,390.1,343.1,132.4,337.3,175.4,212.4,16.6,174.2,276.6,332.3,36.8
CP,94.7,154.7,389.5,68.5,138.8,89.8,130.8,342.8,63.4,0.0,472.9,335.3,171.4,228.8,208.6,178.2,363.1,381.1,46.2,221.5,385.8,147.6,290.8,209.3,232.8,210.2,318.8,160.2,156.6,256.4,51.0,174.2,221.7,168.8,275.9,216.8,379.7,120.4,320.0,250.9,274.4,288.0,370.9,93.3,301.2,119.8,264.7,173.5,130.9,409.6,107.7,138.7,267.6,374.1,1565.2,25.5,178.6,283.7,265.3,112.2,170.6,389.3,310.5,365.5,125.4,132.0,83.5,58.3,109.9,299.6,289.5,114.2,14.5,337.0,120.0,147.3,330.1,25.9,257.3,394.9,145.2,135.9,155.6,296.3,331.8,227.2,291.2,66.8,134.4,162.4,70.5,137.2,125.4,141.6,75.0,223.0,145.1,339.7,292.7,148.0,307.0,177.1,162.0,78.4,153.5,296.3,352.0,98.6
