from_stop,AF,AP,AV,BC,BE,BF,BH,BK,BM,BP,BV,BY,BZ,CC,CE,CG,CI,CJ,CR,CT,CU,CZ,DA,DE,DK,DO,DS,DW,EC,EI,EP,EQ,ES,EW,EZ,FA,FE,FH,FI,FJ,FO,FW,FZ,GA,GC,GN,GR,GW,HF,HG,HH,HT,IF,II,IL,IR,IS,IT,IV,IY,IZ,JC,JH,KJ,KS,KU,KV,KW,LE,LN,LT,LU,MC,MH,MI,MJ,MK,MM,MO,MR,NA,NF,NL,NN,NP,NU,NX,OE,OJ,OT,OW,PP,QE,QH,QJ,QR,QV,QW,RE,RJ,RZ,SJ,SM,SN,ST,SU,TF,TG,TH,TN,TO,TP,TQ,TR,TS,TV,TW,UH,UJ,UQ,US,UT,UX,VG,VI,VM,VR,VS,VW,VZ,WD,WI,WK,WL,WM,WX,XE,XF,XL,XP,XS,XX,YC,YH,YL,YM,YP,YW,ZA,ZH,ZJ,ZK,ZP
AF,0.0,365.4,1046.6,1192.4,801.5,315.2,344.5,419.9,1091.8,344.8,445.9,942.2,416.6,438.1,769.6,175.0,388.4,70.2,478.1,830.8,379.9,944.3,802.9,883.9,1093.1,1105.0,463.4,429.5,484.9,100.8,1005.3,300.0,805.6,452.3,281.7,463.8,218.8,746.1,399.3,420.3,897.6,484.3,45.5,469.4,386.0,45.8,457.3,919.4,473.5,472.2,1192.6,368.3,355.5,414.8,942.2,490.6,125.7,794.6,910.5,479.5,10.3,416.6,467.3,457.7,439.1,1062.5,30.0,202.2,356.8,344.6,71.7,896.0,466.3,350.0,1444.2,1062.4,352.9,286.6,160.2,404.4,936.2,81.4,806.2,1216.4,758.1,427.9,415.0,924.2,408.0,519.1,755.7,816.3,425.1,509.3,272.2,419.3,457.8,791.4,480.6,484.2,48.8,1075.2,884.9,1146.5,726.5,359.6,917.1,831.6,1355.1,541.4,457.5,890.3,187.5,1117.5,848.1,848.2,545.6,1019.0,855.0,445.9,535.1,1008.2,485.5,340.4,932.2,60.9,413.6,296.8,1162.3,1134.3,325.1,1104.7,315.2,165.6,834.5,390.0,405.9,808.6,70.6,782.0,788.1,423.9,466.2,486.0,331.7,1162.0,455.8,463.2,842.8,849.5,337.8,407.6,119.4
AP,379.4,0.0,1136.1,1282.1,1018.6,237.1,267.5,642.0,1172.1,72.6,368.9,1159.3,339.6,655.2,986.7,338.0,173.6,320.5,572.5,1016.2,302.9,1161.4,988.3,1101.0,1242.9,1194.5,622.0,198.6,619.5,314.6,1094.8,87.2,1022.7,669.4,67.4,680.9,381.8,963.2,616.4,343.3,979.1,701.4,363.2,686.5,149.8,336.8,551.7,1025.2,585.0,395.2,1236.0,80.7,278.5,147.5,1036.6,585.0,288.7,1011.7,1127.6,402.5,357.5,339.6,684.4,213.7,362.1,1147.3,378.8,365.2,112.8,267.6,286.0,1113.1,222.3,77.8,1533.8,1207.1,29.0,94.2,225.7,327.4,1152.4,295.2,991.6,1310.8,975.2,197.0,509.4,1012.0,177.1,608.2,972.8,1033.4,642.2,647.5,76.9,188.4,674.9,1008.5,595.2,240.2,308.9,1164.7,966.4,1175.1,943.6,115.6,1134.2,1017.0,1449.5,656.0,639.9,971.8,225.4,1262.2,1051.3,929.7,657.1,1108.5,1043.5,368.9,629.5,1097.7,408.5,263.4,1013.7,367.5,169.6,52.3,1164.7,1279.0,248.1,1185.0,237.1,328.6,1019.9,259.0,623.0,1025.7,340.3,967.4,1005.2,346.9,388.1,597.5,49.1,1306.7,618.6,680.3,1028.2,1062.9,72.0,221.0,333.2
AV,1066.5,1124.2,0.0,201.2,412.0,990.6,945.3,919.5,258.8,1190.8,1050.3,628.9,1089.9,881.6,619.2,1134.8,987.4,975.4,850.4,578.1,980.7,684.6,550.2,570.6,280.6,58.3,786.7,1041.3,784.2,1038.6,193.7,1146.0,470.5,909.1,1127.7,907.3,1180.8,563.3,802.6,1021.1,541.0,927.8,1031.0,923.6,997.8,1068.4,829.6,587.1,862.9,960.2,113.9,1149.9,987.0,1067.0,309.7,862.9,1087.7,605.8,650.8,967.5,1076.8,1089.9,910.8,1017.8,927.1,234.0,1009.2,1164.2,1044.8,1021.1,1068.0,636.3,1052.9,1196.0,1056.3,244.8,1102.2,1132.6,1061.9,1005.2,675.6,1058.3,553.5,846.0,397.9,1039.7,725.8,573.9,1019.8,886.1,457.3,456.1,763.1,812.2,1118.2,1031.1,901.3,531.7,759.9,1019.2,1085.8,57.4,515.3,261.8,428.1,1089.7,657.4,578.9,984.7,820.7,804.6,525.6,1057.0,299.9,483.7,491.6,821.8,84.0,494.8,1050.3,907.4,145.0,973.5,900.7,480.9,1106.8,1038.7,1142.8,251.4,251.2,1001.6,271.7,990.6,1127.6,581.8,950.3,912.2,419.1,1005.5,529.3,474.8,1040.3,953.1,875.4,1081.0,356.8,783.3,906.7,590.1,624.8,1161.2,967.9,1057.2
BC,1185.2,1258.6,185.1,0.0,522.3,1125.0,1079.7,1085.2,252.2,1276.9,1184.7,739.2,1224.3,1047.3,753.6,1269.2,1121.8,1109.8,1016.1,712.5,1115.1,819.0,684.6,680.9,358.5,159.5,952.4,1175.7,949.9,1204.3,359.4,1232.1,580.8,1074.8,1213.8,1073.0,1315.2,697.7,968.3,1155.5,675.4,1093.5,1159.2,1089.3,1132.2,1234.1,995.3,721.5,1028.6,1094.6,98.0,1284.3,1121.4,1201.4,475.4,1028.6,1222.1,740.2,785.2,1101.9,1195.5,1224.3,1076.5,1152.2,1061.5,277.0,1143.6,1298.6,1179.2,1155.5,1219.4,770.7,1187.3,1282.1,1072.6,322.7,1236.6,1218.7,1196.3,1139.6,810.0,1228.6,687.9,862.3,508.2,1174.1,891.5,708.3,1154.2,1051.8,567.6,566.4,873.4,977.9,1204.3,1165.5,1067.0,666.1,925.6,1153.6,1237.2,198.7,649.7,235.9,538.4,1224.1,791.8,713.3,1001.0,986.4,970.3,660.0,1191.4,259.3,594.0,626.0,987.5,232.1,739.8,1184.7,1073.1,234.4,1107.9,1035.1,615.3,1272.5,1173.1,1228.9,325.4,167.8,1136.0,239.3,1125.0,1262.0,716.2,1084.7,1077.9,529.4,1171.2,663.7,585.1,1174.7,1087.5,1041.1,1215.4,263.5,949.0,1072.4,724.5,759.2,1295.6,1102.3,1222.9
BE,837.1,1144.8,568.0,492.7,0.0,1011.2,965.9,635.6,392.1,1109.5,1067.3,343.9,1110.5,592.7,260.2,937.5,1008.0,761.7,886.0,253.3,1001.3,462.8,246.0,285.6,393.4,545.3,545.8,1061.9,567.3,827.5,495.1,1064.7,113.6,620.2,1046.4,618.4,983.5,306.7,513.7,1041.7,315.3,638.9,811.1,634.7,1018.4,857.3,865.2,320.7,898.5,980.8,492.9,1170.5,1007.6,1087.6,236.4,898.5,890.4,294.6,429.0,988.1,847.4,1110.5,621.9,1038.4,947.7,362.8,795.5,966.9,1065.4,1041.7,856.9,414.5,1073.5,1114.7,1158.4,362.7,1122.8,1051.3,924.9,1025.8,453.8,847.2,203.5,1055.4,93.6,1060.3,761.4,312.9,1040.4,921.7,172.3,78.4,478.1,591.7,1036.9,1051.7,612.4,309.9,563.0,1039.8,874.7,524.8,371.1,446.8,143.1,1110.3,435.6,232.9,1194.1,623.8,539.9,365.5,952.2,417.8,109.3,294.9,596.0,472.5,117.1,1067.3,943.0,411.5,994.1,921.3,320.8,895.4,1059.3,1061.5,462.6,434.6,1022.2,405.0,1011.2,930.3,219.4,970.9,623.3,6.0,794.4,193.2,189.8,1060.9,973.7,911.0,1101.6,462.3,538.2,617.8,227.7,181.8,1181.8,988.5,846.1
BF,282.8,226.2,1027.9,1259.7,941.2,0.0,157.0,559.6,1160.2,246.9,146.1,1081.9,105.6,577.8,909.3,241.4,272.5,243.1,495.1,970.5,174.0,1084.0,942.6,1023.6,1160.4,1086.3,544.6,313.6,542.1,218.0,986.6,202.1,945.3,592.0,183.8,603.5,285.2,885.8,539.0,259.7,870.9,624.0,264.1,609.1,270.1,240.2,474.3,917.0,507.6,287.0,1259.9,251.9,110.4,275.6,959.2,507.6,192.1,934.3,1050.2,294.3,260.9,105.6,607.0,272.3,253.9,1129.8,276.9,268.6,240.9,30.4,189.4,1035.7,307.4,252.1,1461.2,1129.7,206.6,188.7,166.3,243.8,1075.0,198.6,945.9,1233.4,897.8,312.0,432.0,903.8,292.1,536.1,895.4,956.0,564.8,570.1,174.3,303.4,597.5,931.1,517.8,273.7,212.3,1056.5,858.2,1066.9,866.2,243.7,1056.8,971.3,1372.1,578.6,562.5,863.6,166.0,1184.8,986.9,821.5,579.7,1000.3,994.7,146.1,552.1,989.5,300.3,155.2,905.5,272.0,297.7,198.9,1056.5,1201.6,80.0,1172.0,0.0,232.0,974.2,204.8,545.6,948.3,237.5,921.7,927.8,112.9,281.0,520.1,185.4,1229.3,541.2,602.9,982.5,989.2,239.9,222.4,236.6
BH,320.1,263.5,989.4,1135.4,978.5,132.3,0.0,601.9,1025.4,284.2,162.4,1119.2,202.0,615.1,946.6,276.5,293.7,280.4,532.4,869.5,92.8,1121.3,841.6,1060.9,1065.2,1047.8,581.9,347.6,579.4,255.3,948.1,239.4,982.6,629.3,221.1,640.8,322.5,923.1,576.3,133.2,832.4,661.3,300.3,646.4,304.1,277.5,511.6,878.5,544.9,248.5,1089.3,289.2,41.6,312.9,996.5,544.9,229.4,971.6,1087.5,255.8,298.2,202.0,644.3,233.8,215.4,1000.6,314.2,305.9,278.2,159.7,226.7,1073.0,268.9,289.4,1387.1,1029.4,243.9,226.0,203.6,117.3,1112.3,235.9,844.9,1270.7,935.1,346.0,469.3,865.3,326.1,568.1,932.7,993.3,602.1,607.4,211.6,337.4,634.8,968.4,555.1,235.2,249.6,1018.0,819.7,1028.4,903.5,281.0,1094.1,870.3,1409.4,615.9,599.8,825.1,203.3,1084.5,904.6,783.0,617.0,961.8,896.8,162.4,589.4,951.0,261.8,116.7,867.0,308.2,335.0,236.2,1018.0,1238.9,100.7,1038.3,132.3,269.3,873.2,166.3,582.9,985.6,274.8,820.7,965.1,152.4,241.4,557.4,222.7,1266.6,578.5,640.2,881.5,916.2,277.2,183.9,273.9
BK,436.3,656.9,982.7,1019.3,633.4,635.0,588.6,0.0,923.7,698.3,690.0,769.1,733.2,71.5,596.5,528.5,630.7,350.5,485.3,657.7,624.0,771.2,629.8,710.8,920.0,1071.9,193.3,684.6,214.8,416.3,1021.7,653.5,632.5,60.0,635.2,112.0,572.3,578.0,129.2,664.4,724.5,132.5,394.9,77.1,641.1,446.1,464.5,746.3,497.8,603.5,1019.5,721.8,630.3,705.3,807.5,497.8,479.2,626.5,737.4,610.8,436.2,733.2,115.5,661.1,570.4,889.4,384.3,555.7,688.1,664.4,445.7,722.9,696.2,703.5,1309.5,889.3,632.3,640.1,513.7,648.5,762.2,436.0,633.1,1081.7,585.0,683.0,360.7,751.1,663.1,526.3,582.6,643.2,160.0,239.2,625.7,674.4,99.4,618.3,210.5,662.5,464.0,1051.4,711.8,973.4,553.4,674.4,744.0,658.5,1220.4,271.3,187.4,717.2,541.0,944.4,674.1,675.1,306.2,999.1,681.9,690.0,542.3,938.1,616.8,544.0,764.1,484.2,682.0,650.3,989.2,961.2,644.9,931.6,635.0,519.1,661.4,593.6,49.8,635.5,378.2,608.9,615.0,683.6,597.5,515.3,616.1,988.9,185.7,94.0,669.7,676.4,691.3,611.2,434.9
BM,1051.7,1162.5,269.8,198.8,397.2,1128.8,1083.5,904.7,0.0,1176.0,1184.9,614.1,1228.1,866.8,530.4,1136.0,1125.6,996.3,835.6,551.0,1118.9,727.5,532.0,555.8,106.2,247.1,771.9,1179.5,769.4,1023.8,178.9,1131.2,455.7,894.3,1112.9,892.5,1179.8,502.4,787.8,1159.3,581.4,913.0,1016.2,908.8,1136.0,1053.6,814.8,646.6,848.1,1098.4,199.0,1199.5,1125.2,1205.2,294.9,848.1,1086.7,509.7,693.7,1105.7,1062.0,1228.1,896.0,1156.0,1065.3,24.7,1030.1,1163.2,1177.2,1159.3,1053.2,679.2,1191.1,1181.2,1173.6,70.4,1142.9,1117.8,1121.2,1143.4,718.5,1043.5,528.7,963.3,383.1,1177.9,711.0,601.7,1158.0,876.6,442.5,441.3,748.3,797.4,1103.4,1169.3,886.5,574.6,745.1,1157.4,1071.5,226.6,517.2,85.9,413.3,1180.0,700.3,593.4,1102.0,805.9,789.8,522.6,1096.9,125.5,472.2,532.0,807.0,174.3,480.0,1184.9,892.6,113.3,1111.7,1038.9,500.8,1092.0,1176.9,1128.0,124.5,266.9,1139.8,12.8,1128.8,1126.6,605.5,1088.5,897.4,404.3,990.7,542.9,460.0,1178.5,1091.3,860.6,1121.7,182.4,768.5,891.9,613.8,523.9,1169.0,1106.1,1042.4
BP,361.4,61.7,1162.2,1308.2,1044.7,263.2,293.6,668.1,1198.2,0.0,398.6,1185.4,365.7,681.3,1012.8,329.4,235.4,346.6,598.6,1042.3,329.0,1187.5,1014.4,1127.1,1269.0,1220.6,648.1,260.4,645.6,308.2,1120.9,71.6,1048.8,688.6,95.8,707.0,375.4,989.3,642.5,369.4,1005.2,727.5,356.8,712.6,211.6,330.4,577.8,1051.3,611.1,421.3,1262.1,137.9,304.6,209.3,1062.7,611.1,282.3,1037.8,1153.7,428.6,351.1,365.7,710.5,275.5,388.2,1173.4,372.4,358.8,174.6,293.7,279.6,1139.2,284.1,5.1,1559.9,1233.2,51.8,66.8,251.8,353.5,1178.5,288.8,1017.7,1336.9,1001.3,258.8,535.5,1038.1,238.9,634.3,998.9,1059.5,668.3,673.6,105.3,250.2,701.0,1034.6,621.3,302.0,297.4,1190.8,992.5,1201.2,969.7,177.4,1160.3,1043.1,1475.6,682.1,666.0,997.9,246.9,1288.3,1080.7,955.8,683.2,1134.6,1069.6,398.6,655.6,1123.8,434.6,289.5,1039.8,361.1,231.4,80.7,1190.8,1305.1,274.2,1211.1,263.2,322.2,1046.0,320.8,649.1,1051.8,333.9,993.5,1031.3,373.0,414.2,623.6,71.9,1332.8,644.7,706.4,1054.3,1089.0,36.2,282.8,326.8
