from_stop,AL,AQ,AW,AZ,BB,BP,BS,BX,BZ,CB,CJ,CM,CP,CR,CV,DN,DR,DU,DY,DZ,EF,EN,EO,EQ,EX,FH,FK,FM,FO,FV,FW,FZ,GA,GE,GF,GG,GJ,GO,HM,HN,HO,HP,HQ,HV,IQ,IV,IY,IZ,JA,JD,JM,JR,JS,JU,JX,KB,KD,KH,KO,KZ,LE,LI,LV,MC,ML,MO,MS,MU,NE,NF,NH,NN,OE,OR,OT,OX,PA,PJ,PL,PP,PR,PU,PX,QC,QG,QL,QO,QT,QZ,RF,RP,RQ,RR,RY,SA,SK,SN,SQ,SU,SY,TJ,TS,TW,UM,UN,UV,UW,UX,VB,VD,VM,VY,WD,WF,WH,WJ,WK,WQ,WV,XB,XC,XJ,XS,XV,YB,YC,YE,YK,YV,ZO,ZQ
AL,0.0,606.8,245.8,793.4,546.0,729.7,630.8,414.9,626.2,237.0,840.1,871.1,215.8,929.3,840.6,695.0,366.3,227.2,462.4,491.7,896.4,441.8,833.4,449.4,392.7,772.2,787.7,159.6,612.4,698.7,155.3,914.3,700.5,579.8,896.7,730.0,727.6,669.8,250.1,512.0,624.7,721.5,883.6,274.4,601.4,616.8,531.4,549.0,432.2,884.7,511.9,394.5,770.1,805.1,558.5,223.8,712.6,285.8,298.9,609.9,231.7,517.7,187.2,692.0,59.9,884.3,267.2,293.8,312.2,662.7,180.7,935.0,839.2,585.7,448.9,608.0,167.3,944.7,783.1,264.5,721.3,791.1,500.1,11.1,854.1,240.4,36.1,342.5,366.1,256.6,476.9,315.0,648.0,708.9,743.0,170.2,875.8,945.3,734.6,809.8,834.2,170.1,556.1,891.4,403.3,394.9,965.2,736.1,607.2,179.9,1992.7,719.2,658.8,937.9,240.5,588.5,751.7,670.5,579.9,422.0,149.7,737.9,359.1,648.9,676.3,577.7,182.8,197.5,914.1,195.1,721.7
AQ,591.9,0.0,715.2,898.3,356.5,1007.0,23.9,349.8,146.1,544.7,945.0,976.0,685.2,1034.2,945.5,1038.6,835.7,696.6,397.3,151.8,1001.3,267.2,938.3,918.8,255.9,877.1,892.6,536.0,1081.8,1044.9,624.7,1019.2,1046.7,435.6,1001.6,1090.6,1097.3,1137.0,557.8,315.8,144.6,1082.1,988.5,515.5,5.3,1086.2,149.2,135.1,257.6,989.6,981.3,257.7,875.0,910.0,1027.9,600.2,1038.2,755.2,768.3,420.4,421.5,145.5,656.6,1103.0,535.0,989.2,736.6,763.2,781.6,1132.1,650.1,1039.9,944.1,125.9,263.4,1077.4,636.7,1049.6,888.0,733.9,1181.9,896.0,191.7,604.2,959.0,709.8,567.1,583.6,835.5,726.0,196.5,784.4,1090.7,1003.7,1203.6,639.6,980.7,1050.2,1032.8,914.7,939.1,639.5,366.6,996.3,644.4,258.1,1070.1,1037.3,1076.6,556.3,1875.7,1042.8,1101.5,1042.8,709.9,399.0,1212.3,1131.1,99.8,269.7,429.5,1084.1,828.5,1118.3,1036.7,1047.1,652.2,666.9,1019.0,473.2,1019.9
AW,228.3,732.6,0.0,856.2,671.8,595.3,756.6,540.7,752.0,362.8,902.9,762.2,266.7,820.4,966.4,560.6,231.9,41.1,588.2,617.5,787.5,567.6,896.2,315.0,518.5,835.0,913.5,285.4,478.0,564.3,206.2,805.4,566.1,705.6,786.0,595.6,593.2,535.4,375.9,637.8,750.5,587.1,774.7,400.2,727.2,482.4,657.2,674.8,558.0,775.8,377.5,520.3,832.9,867.9,424.1,349.6,578.2,99.7,53.0,735.7,357.5,643.5,238.1,557.6,185.7,775.4,21.3,107.7,177.8,528.3,231.6,826.1,902.0,711.5,574.7,473.6,135.9,835.8,845.9,78.4,586.9,853.9,625.9,240.6,745.2,54.3,203.5,468.3,231.7,10.7,602.7,128.9,513.6,574.5,608.6,221.1,766.9,836.4,600.2,718.9,897.0,221.0,681.9,1017.2,529.1,520.7,856.3,601.7,472.8,305.7,2118.5,584.8,524.4,829.0,291.4,714.3,617.3,536.1,705.7,547.8,275.5,603.5,189.1,514.5,541.9,443.3,73.8,58.0,805.2,320.9,587.3
AZ,932.1,937.6,824.2,0.0,999.4,272.3,961.6,978.2,954.3,820.7,97.7,244.1,866.6,315.4,159.4,303.9,580.2,771.5,1032.6,797.7,266.6,895.6,97.3,576.3,890.6,14.1,218.6,769.6,388.8,310.2,876.0,284.5,312.0,1084.8,264.8,355.9,362.6,402.3,833.8,958.7,955.5,347.4,253.8,741.0,932.2,391.8,868.5,879.8,886.0,261.2,492.5,892.4,27.7,62.7,423.2,827.5,301.4,745.4,877.3,1069.6,829.8,823.7,767.6,350.1,786.6,254.5,845.6,793.7,634.2,422.6,773.6,305.2,96.8,922.8,891.8,411.1,880.4,314.9,40.7,764.4,447.2,48.7,806.1,944.4,224.3,758.8,907.3,673.0,632.6,835.0,782.9,774.7,356.0,269.0,468.9,783.3,252.3,315.5,298.1,178.1,40.7,840.1,1009.5,108.6,732.0,886.5,335.4,302.6,429.9,783.6,2001.5,308.1,366.8,320.4,904.2,1041.9,477.6,396.4,905.2,890.0,750.2,349.4,718.6,408.8,302.0,381.6,818.3,808.8,284.3,727.1,285.2
BB,537.2,359.3,660.5,983.3,0.0,1092.0,383.3,198.2,354.5,490.0,1030.0,1061.0,630.5,1119.2,1030.5,1109.7,781.0,641.9,152.4,338.2,1086.3,342.0,1023.3,864.1,292.9,962.1,977.6,481.3,1027.1,1113.4,570.0,1104.2,1115.2,204.6,1086.6,1064.7,1142.3,1084.5,503.1,96.5,353.0,1056.2,1073.5,460.8,353.9,1031.5,335.6,259.0,332.4,1074.6,926.6,294.7,960.0,995.0,973.2,545.5,1127.3,700.5,713.6,163.7,366.8,331.9,601.9,1106.7,480.3,1074.2,681.9,708.5,726.9,1077.4,595.4,1124.9,1029.1,298.3,349.1,1022.7,582.0,1134.6,973.0,679.2,1136.0,981.0,378.1,549.5,1044.0,655.1,512.4,528.9,780.8,671.3,377.1,729.7,1062.7,1005.5,1157.7,584.9,1065.7,1135.2,1117.8,999.7,1024.1,584.8,41.8,1081.3,589.7,295.1,1155.1,1150.8,1021.9,501.6,1960.7,1133.9,1073.5,1127.8,655.2,142.3,1166.4,1085.2,292.9,322.2,374.8,1152.6,773.8,1063.6,1091.0,992.4,597.5,612.2,1104.0,418.5,1104.9
BP,706.8,1104.0,598.9,294.5,1043.2,0.0,1128.0,912.1,1123.4,644.5,341.2,200.5,654.2,258.7,306.1,78.6,354.9,546.2,959.6,988.9,225.8,939.0,334.5,351.0,889.9,273.3,253.2,762.8,163.5,84.9,650.7,243.7,86.7,1077.0,224.3,171.2,137.3,177.0,657.6,1009.2,1121.9,162.7,213.0,564.8,1098.6,166.5,1028.6,1046.2,929.4,214.1,267.2,891.7,271.2,306.2,214.8,827.0,78.2,513.8,652.0,1107.1,653.6,1014.9,542.3,143.0,664.2,213.7,620.3,568.4,408.9,197.3,548.3,264.4,340.3,1082.9,946.1,185.8,655.1,274.1,284.2,539.1,221.9,292.2,997.3,719.1,183.5,533.5,682.0,496.8,407.3,609.7,974.1,549.4,156.0,92.8,243.6,558.0,205.2,274.7,72.8,157.2,335.3,608.5,1053.3,352.1,555.8,892.1,294.6,77.3,204.6,783.1,1825.3,82.8,166.8,267.3,678.9,1085.7,252.3,171.1,1077.1,919.2,704.2,124.1,493.3,183.5,102.0,156.3,593.0,577.2,243.5,749.6,59.9
BS,619.5,28.5,742.8,935.4,384.1,1034.6,0.0,377.4,155.7,572.3,972.6,1003.6,712.8,1061.8,973.1,1066.2,863.3,724.2,424.9,179.4,1028.9,294.8,965.9,946.4,283.5,904.7,920.2,563.6,1109.4,1072.5,652.3,1046.8,1074.3,463.2,1027.1,1118.2,1124.9,1164.6,585.4,343.4,154.2,1109.7,1016.1,543.1,33.9,1113.8,176.8,162.7,285.2,1017.2,1008.9,285.3,902.6,937.6,1061.7,627.8,1063.7,782.8,795.9,448.0,449.1,173.1,684.2,1130.6,562.6,1016.8,764.2,790.8,809.2,1159.7,677.7,1067.5,971.7,135.5,291.0,1105.0,664.3,1077.2,915.6,761.5,1209.5,923.6,219.3,631.8,986.6,737.4,594.7,611.2,863.1,753.6,224.1,812.0,1118.3,1031.3,1231.2,667.2,1008.3,1077.8,1060.4,940.4,966.7,667.1,394.2,1023.9,672.0,285.7,1097.7,1064.9,1104.2,583.9,1903.3,1070.4,1129.1,1076.4,737.5,426.6,1239.9,1158.7,103.9,289.2,457.1,1111.7,856.1,1145.9,1064.3,1074.7,679.8,694.5,1046.6,500.8,1047.5
BX,427.7,406.3,551.0,1030.3,199.8,1034.9,430.3,0.0,401.5,380.5,1077.0,1010.4,521.0,1068.6,1077.5,1000.2,671.5,532.4,116.2,282.4,1035.7,232.5,1070.3,754.6,183.4,1009.1,1024.6,371.8,917.6,1003.9,460.5,1053.6,1005.7,233.6,1034.2,955.2,1032.8,975.0,393.6,165.8,400.0,946.7,1022.9,351.3,400.9,922.0,382.6,306.0,222.9,1024.0,817.1,185.2,1007.0,1042.0,863.7,436.0,1017.8,591.0,604.1,263.7,257.3,378.9,492.4,997.2,370.8,1023.6,572.4,599.0,617.4,967.9,485.9,1074.3,1076.1,345.3,239.6,913.2,472.5,1084.0,1020.0,569.7,1026.5,1028.0,290.8,440.0,993.4,545.6,402.9,419.4,671.3,561.8,267.6,620.2,953.2,896.0,1048.2,475.4,1015.1,1084.6,1039.8,1046.7,1071.1,475.3,209.9,1128.3,480.2,185.6,1104.5,1041.3,912.4,392.1,2007.7,1024.4,964.0,1077.2,545.7,242.3,1056.9,975.7,339.9,212.7,265.3,1043.1,664.3,954.1,981.5,882.9,488.0,502.7,1053.4,309.0,1026.9
BZ,634.9,149.7,758.2,991.2,365.6,1090.4,162.6,392.8,0.0,587.7,1028.4,1062.2,715.3,1133.5,1028.9,1122.0,878.7,739.6,440.3,194.8,1084.7,310.2,978.6,961.8,296.2,960.5,976.0,576.3,1124.8,1128.3,667.7,1102.6,1130.1,444.7,1082.9,1174.0,1180.7,1220.4,600.8,324.9,16.7,1165.5,1071.9,558.5,144.3,1129.2,192.2,144.2,300.6,1073.0,1024.3,298.0,958.4,993.4,1077.1,643.2,1119.5,795.5,811.3,432.2,464.5,188.5,699.6,1168.2,578.0,1072.6,779.6,806.2,824.6,1175.1,693.1,1123.3,1027.5,49.2,306.4,1120.4,679.7,1133.0,971.4,776.9,1265.3,936.3,234.7,647.2,1042.4,752.8,610.1,626.6,878.5,769.0,239.5,827.4,1174.1,1087.1,1287.0,682.6,1064.1,1133.6,1116.2,996.2,1022.5,682.5,375.7,1079.7,687.4,301.1,1153.5,1120.7,1119.6,599.3,1959.1,1126.2,1184.9,1089.1,752.9,408.1,1295.7,1214.5,76.0,304.6,472.5,1167.5,871.5,1161.3,1120.1,1090.1,695.2,707.2,1102.4,516.2,1103.3
CB,211.9,554.5,335.2,809.8,493.7,819.1,578.5,362.6,573.9,0.0,856.5,757.8,305.2,816.0,857.0,784.4,455.7,316.6,410.1,439.4,783.1,389.5,849.8,538.8,340.4,788.6,804.1,156.0,701.8,788.1,244.7,801.0,789.9,527.5,781.6,819.4,817.0,759.2,13.1,459.7,572.4,810.9,770.3,98.7,549.1,706.2,479.1,496.7,379.9,771.4,601.3,342.2,786.5,821.5,647.9,220.2,802.0,375.2,388.3,557.6,126.0,465.4,276.6,781.4,155.0,771.0,356.6,383.2,401.6,752.1,270.1,821.7,855.6,533.4,396.6,697.4,256.7,831.4,799.5,353.9,810.7,807.5,447.8,224.2,740.8,329.8,187.1,166.8,455.5,346.0,424.6,404.4,737.4,643.4,832.4,259.6,762.5,832.0,824.0,714.5,850.6,259.5,503.8,907.8,227.6,342.6,851.9,825.5,696.6,176.3,1817.0,808.6,748.2,824.6,329.9,536.2,841.1,759.9,527.6,369.7,97.4,827.3,448.5,738.3,765.7,667.1,272.2,286.9,800.8,142.8,811.1
