from_stop,AH,AJ,AO,AP,AS,BC,BN,BV,CC,CE,CI,CO,DC,DG,DL,DM,DN,DQ,EG,EP,EW,FE,FG,FI,FP,GA,GD,GF,GH,GI,GO,GS,HI,HJ,HV,HX,HZ,ID,IE,IJ,IL,IT,IV,IW,JI,JJ,JN,JQ,JU,JV,KC,KM,KN,KO,KR,KW,KZ,LM,LT,MD,ME,MM,MQ,MU,MZ,NG,NJ,NN,NP,OI,OM,OP,OV,OZ,PL,PN,PS,QB,QD,QG,QX,RA,RC,RL,RQ,RR,SA,SM,SS,SW,SY,TA,TB,TF,TG,TQ,UA,UD,UR,US,VD,VE,VK,VY,WA,WF,WK,WL,WO,WS,WT,WX,XH,XK,XP,XZ,YC,YQ,YS,YT,ZF,ZG,ZK
AH,0.0,59.6,658.9,290.0,207.3,737.2,702.1,114.6,137.9,252.4,125.0,69.1,752.2,616.6,688.8,167.8,81.6,115.0,759.5,263.7,174.1,687.8,685.1,594.1,183.8,107.9,120.1,94.5,152.0,150.3,101.2,298.0,145.9,233.4,49.6,707.5,134.2,176.8,99.0,317.6,39.3,58.0,210.8,209.3,154.4,682.5,22.2,73.6,166.8,243.5,67.6,677.8,348.5,175.6,85.3,1658.3,121.8,194.5,767.6,637.7,130.3,112.3,785.0,280.2,825.4,217.0,721.2,782.4,233.3,699.8,124.8,186.9,663.7,717.9,754.3,144.4,176.9,705.7,165.5,129.5,747.9,197.8,669.3,34.6,146.0,101.6,134.8,729.2,764.3,14.7,126.8,168.7,38.1,773.6,60.0,683.8,725.7,98.6,115.0,196.9,164.0,652.3,109.2,685.8,718.4,771.2,319.4,310.0,148.0,150.4,145.1,116.0,715.4,501.2,682.9,139.4,746.5,670.4,121.6,695.1,733.4,118.4,737.9
AJ,48.6,0.0,675.5,230.3,147.6,750.4,715.3,152.8,114.4,192.7,65.3,27.5,730.5,629.8,702.0,108.1,87.4,51.9,772.7,204.0,161.9,701.0,698.3,607.3,232.5,91.1,60.4,104.1,88.9,199.0,55.5,234.9,86.2,173.7,32.8,724.1,172.2,117.1,39.3,257.9,45.1,110.1,151.1,149.6,91.3,658.7,72.0,122.3,215.5,184.0,116.3,691.0,288.8,224.3,68.5,1598.6,170.5,134.8,780.8,650.9,145.7,107.6,798.2,220.5,842.0,233.6,734.4,795.6,170.2,716.4,65.1,174.7,676.9,731.1,770.9,193.1,125.3,718.9,105.8,69.8,761.1,138.1,682.5,85.7,86.3,150.3,76.5,742.4,777.5,63.4,67.1,105.6,100.1,786.8,108.7,697.0,738.9,81.8,163.7,155.8,104.3,668.9,144.6,699.0,731.6,784.4,259.7,250.3,200.1,130.1,128.3,134.8,728.6,514.4,696.1,81.7,759.7,683.6,157.0,691.7,746.6,80.0,751.1
AO,649.0,653.4,0.0,647.1,781.2,245.0,93.2,653.4,748.0,702.7,698.9,681.0,360.8,251.0,314.3,655.9,730.7,668.8,327.7,837.6,612.7,293.1,65.3,228.5,586.6,744.6,660.7,633.3,722.5,641.1,709.7,651.7,661.8,627.5,686.3,162.7,682.4,750.7,680.9,674.7,688.4,680.4,784.7,635.4,596.9,59.0,625.6,653.0,633.2,817.6,690.0,198.2,635.0,578.4,722.0,1863.2,617.0,638.0,275.4,212.0,669.1,650.2,292.8,730.5,361.8,586.6,364.7,425.9,803.8,211.0,656.3,625.5,239.9,154.9,265.5,581.3,758.9,145.3,739.4,703.4,310.3,771.7,312.8,610.9,719.9,592.4,708.7,282.6,272.1,634.2,642.7,739.2,673.8,417.1,639.4,228.2,147.9,735.3,610.2,659.0,737.9,290.1,648.0,193.6,361.9,414.7,769.7,667.1,626.6,672.7,781.8,658.2,169.7,228.8,190.7,713.3,254.3,313.9,660.4,176.0,164.3,622.6,289.1
AP,289.0,240.3,752.4,0.0,368.1,783.9,719.2,282.3,334.9,142.6,285.8,267.9,692.6,706.7,664.1,209.0,327.8,221.9,734.8,424.5,238.8,663.1,775.2,684.2,310.5,331.5,213.8,233.6,309.4,312.6,296.6,54.6,248.7,180.6,273.2,736.6,353.9,337.6,234.0,80.4,285.5,350.5,371.6,188.5,150.0,776.0,297.1,324.5,329.1,404.3,356.7,653.1,238.7,302.3,308.9,1548.5,288.5,191.1,810.8,613.0,275.2,237.1,828.2,170.4,804.1,310.5,696.5,757.7,390.7,793.3,209.4,251.6,639.0,693.2,818.8,305.2,337.7,681.0,326.3,290.3,723.2,358.6,644.6,282.4,306.8,263.9,297.0,704.5,825.4,303.8,229.6,326.1,340.5,748.9,310.9,659.1,721.8,322.2,281.7,212.1,324.8,745.8,274.1,775.9,693.7,746.5,209.6,90.8,313.7,266.6,368.7,264.3,690.7,591.3,773.0,300.2,789.7,645.7,286.5,653.8,708.7,209.5,713.2
AS,169.2,120.5,756.2,311.0,0.0,831.1,796.0,233.5,166.1,273.4,57.1,148.1,811.2,710.5,782.7,188.8,208.0,132.6,853.4,255.7,242.6,781.7,779.0,688.0,343.8,211.7,141.1,184.8,152.4,310.3,176.1,315.6,166.9,254.4,153.4,804.8,292.8,168.8,120.0,338.6,165.7,230.7,112.6,230.3,172.0,739.4,192.6,242.9,326.8,145.5,236.9,771.7,369.5,335.6,189.1,1679.3,281.8,215.5,861.5,731.6,226.4,188.3,878.9,301.2,922.7,314.3,815.1,876.3,221.9,797.1,145.8,255.4,757.6,811.8,851.6,304.4,86.8,799.6,157.5,133.3,841.8,99.6,763.2,206.3,138.0,261.6,128.2,823.1,858.2,184.0,147.8,157.3,220.7,867.5,229.3,777.7,819.6,202.4,275.0,236.5,28.8,749.6,225.3,779.7,812.3,865.1,340.4,331.0,311.4,210.8,248.9,215.5,809.3,595.1,776.8,133.4,840.4,764.3,237.7,772.4,827.3,160.7,831.8
BC,724.2,728.6,245.0,722.3,856.4,0.0,145.6,728.6,823.2,777.9,774.1,756.2,176.5,245.6,345.5,731.1,805.9,744.0,138.0,912.8,687.9,103.4,267.3,223.1,661.8,819.8,735.9,708.5,797.7,716.3,784.2,726.9,737.0,702.7,761.5,139.4,757.6,825.9,756.1,749.9,763.6,755.6,859.9,710.6,672.1,200.4,700.8,728.2,708.4,892.8,765.2,243.9,710.2,653.6,797.2,1938.4,692.2,713.2,58.9,251.3,744.3,725.4,93.5,805.7,172.1,661.8,185.6,175.0,879.0,71.9,731.5,700.7,285.6,178.3,34.8,656.5,834.1,208.4,814.6,778.6,65.2,846.9,254.0,687.1,795.1,667.6,785.3,92.9,41.4,709.4,717.9,814.4,749.0,166.2,714.6,265.2,154.2,810.5,685.4,734.2,813.1,284.7,723.2,51.9,244.0,137.3,844.9,742.3,701.8,747.9,857.0,733.4,194.0,335.0,119.6,790.5,37.8,231.4,735.6,217.4,210.0,697.8,99.4
BN,678.3,682.7,99.3,676.4,810.5,151.7,0.0,682.7,777.3,732.0,728.2,710.3,295.7,199.7,282.8,685.2,760.0,698.1,234.4,866.9,642.0,199.8,164.7,177.2,615.9,773.9,690.0,662.6,751.8,670.4,738.3,681.0,691.1,656.8,715.6,70.1,711.7,780.0,710.2,704.0,717.7,709.7,814.0,664.7,626.2,54.7,654.9,682.3,662.5,846.9,719.3,105.6,664.3,607.7,751.3,1892.5,646.3,667.3,182.1,133.1,698.4,679.5,199.5,759.8,268.5,615.9,299.6,329.3,833.1,117.7,685.6,654.8,147.3,62.3,172.2,610.6,788.2,70.1,768.7,732.7,217.0,801.0,281.3,641.2,749.2,621.7,739.4,189.3,178.8,663.5,672.0,768.5,703.1,320.5,668.7,126.9,55.3,764.6,639.5,688.3,767.2,238.8,677.3,100.3,330.4,289.1,799.0,696.4,655.9,702.0,811.1,687.5,77.1,261.1,97.4,744.6,161.0,282.4,689.7,79.1,71.7,651.9,195.8
BV,104.7,131.9,636.8,271.4,259.7,711.7,676.6,0.0,226.5,233.8,177.4,159.5,691.8,591.1,663.3,192.0,186.4,143.0,734.0,316.1,148.6,662.3,659.6,568.6,158.3,212.7,151.5,47.9,201.0,124.8,187.5,276.0,140.3,214.8,154.4,685.4,138.1,229.2,130.4,299.0,144.1,136.1,263.2,190.7,132.4,620.0,81.3,108.7,141.3,296.1,145.7,652.3,329.9,150.1,190.1,1639.7,96.3,175.9,742.1,612.2,83.7,69.1,759.5,261.6,803.3,194.9,695.7,756.9,282.3,677.7,156.2,161.4,638.2,692.4,732.2,118.9,237.4,680.2,217.9,181.9,722.4,250.2,643.8,67.6,198.4,76.1,188.6,703.7,738.8,89.9,121.2,217.7,129.5,748.1,95.1,658.3,700.2,203.4,89.5,171.4,216.4,630.2,62.6,660.3,692.9,745.7,300.8,291.4,125.9,96.8,249.9,72.8,689.9,475.7,657.4,193.8,721.0,644.9,75.0,653.0,707.9,71.8,712.4
CC,146.4,120.6,763.9,318.7,187.0,838.8,803.7,241.2,0.0,281.1,104.7,130.1,818.9,718.2,790.4,196.5,185.2,140.3,861.1,210.8,250.3,789.4,786.7,695.7,330.3,147.2,148.8,192.5,160.1,296.8,158.1,323.3,174.6,262.1,87.4,812.5,270.0,62.1,127.7,346.3,142.9,207.9,190.5,238.0,179.7,747.1,169.8,220.1,313.3,223.4,214.1,779.4,377.2,322.1,51.7,1687.0,268.3,223.2,869.2,739.3,234.1,196.0,886.6,308.9,930.4,322.0,822.8,884.0,177.0,804.8,153.5,263.1,765.3,819.5,859.3,290.9,164.7,807.3,50.8,141.0,849.5,177.5,770.9,183.5,93.1,248.1,64.5,830.8,865.9,161.2,155.5,112.4,197.9,875.2,206.5,785.4,827.3,39.0,261.5,244.2,143.7,757.3,233.0,787.4,820.0,872.8,348.1,338.7,297.9,218.5,83.6,223.2,817.0,602.8,784.5,26.4,848.1,772.0,245.4,780.1,835.0,168.4,839.5
CE,313.4,264.7,631.2,224.6,392.5,730.5,665.8,306.7,359.3,0.0,310.2,292.3,639.2,585.5,610.7,233.4,352.2,246.3,681.4,448.9,263.2,609.7,654.0,563.0,334.9,355.9,238.2,258.0,333.8,337.0,320.3,229.2,273.1,205.0,297.6,683.2,378.3,362.0,258.4,252.2,309.9,374.9,396.0,212.9,174.4,614.4,321.5,348.9,353.5,428.9,381.1,599.7,133.5,326.7,333.3,1495.1,312.9,215.5,757.4,559.6,299.6,261.5,774.8,27.7,750.7,334.9,643.1,704.3,415.1,723.6,233.8,276.0,585.6,639.8,765.4,329.6,370.2,627.6,350.7,314.7,669.8,383.0,591.2,307.8,331.2,288.3,321.4,651.1,772.0,328.2,254.0,350.5,364.9,695.5,335.3,605.7,668.4,346.6,306.1,236.5,349.2,624.6,298.5,654.7,640.3,693.1,66.9,244.6,338.1,284.0,393.1,288.7,637.3,470.1,651.8,326.6,736.3,592.3,310.9,600.4,655.3,233.9,659.8
