from_stop,AD,AE,AH,BB,BC,BD,BH,BK,BQ,BV,CA,CF,CL,CR,DI,DL,DP,DU,DV,EL,EQ,FA,FJ,FN,FP,FU,FX,GP,GQ,GS,GU,HH,IB,IJ,IM,IQ,IR,IY,JH,JM,JO,JQ,JT,JV,JZ,KH,KP,KV,KX,KY,LC,LD,LF,LK,LW,ME,MW,MY,ND,NM,NN,NU,NW,NY,OB,OQ,PF,PG,PH,PM,PN,PZ,QA,QB,QK,QV,RB,RH,RW,SE,SG,SK,SM,SN,ST,SV,TB,TE,TG,TN,TO,UC,UD,UF,UN,UW,VC,VK,VT,VV,WQ,WR,WT,WV,WY,XC,XF,XI,XR,XV,XY,YC,YD,YE,YG,YY,ZF,ZO,ZY
AD,0.0,492.0,251.5,509.4,407.1,918.2,102.3,558.7,591.6,209.1,549.7,227.9,612.3,365.8,631.7,612.0,601.3,813.1,7.5,203.3,575.3,897.8,360.9,652.4,867.3,489.5,424.3,458.1,626.1,786.9,659.1,620.3,293.0,824.9,469.6,773.5,946.7,204.0,538.6,117.6,652.3,569.9,627.5,761.3,810.2,715.0,904.3,189.2,813.3,221.1,673.4,674.9,85.5,806.0,215.0,790.1,715.8,335.0,610.8,607.2,684.3,561.6,266.4,679.3,81.3,165.5,566.8,236.3,498.2,240.6,359.4,301.5,896.8,671.0,633.9,513.3,289.3,692.9,515.4,637.5,963.6,740.3,503.3,704.6,620.4,630.8,635.1,889.7,711.2,600.7,573.1,750.5,802.1,773.7,780.1,204.2,800.6,837.4,92.7,199.2,824.9,76.7,312.7,581.5,586.8,651.4,456.2,811.6,189.7,1716.6,391.1,681.6,159.6,752.8,357.2,629.3,727.8,759.7,757.1
AE,519.5,0.0,542.1,164.5,223.1,426.1,556.8,374.7,246.7,554.1,204.8,572.9,428.3,125.4,139.6,428.0,109.2,321.0,511.9,389.8,391.3,405.7,373.5,468.4,375.2,305.5,350.1,69.4,134.0,294.8,178.8,436.3,305.6,480.0,80.9,281.4,454.6,549.0,46.5,408.2,468.3,225.0,135.4,416.4,626.2,222.9,412.2,534.2,321.2,566.1,181.3,182.8,540.0,313.9,327.3,298.0,531.8,260.8,426.8,115.1,192.2,216.7,229.7,334.4,449.5,510.5,382.8,581.3,153.3,380.9,131.7,194.4,404.7,326.1,141.8,329.3,252.2,200.8,170.5,453.5,471.5,395.4,319.3,212.5,436.4,150.5,143.0,397.6,366.3,255.8,389.1,405.6,457.2,428.8,288.0,549.2,455.7,345.3,501.0,544.2,480.0,488.5,285.3,89.4,402.8,467.4,36.0,466.7,534.7,1924.3,354.0,189.5,504.6,260.7,166.4,445.3,235.7,267.6,573.1
AH,252.7,535.8,0.0,553.2,450.9,962.0,290.0,602.5,635.4,289.0,593.5,306.1,656.1,409.6,675.5,655.8,645.1,856.9,245.1,247.1,619.1,941.6,404.7,696.2,911.1,533.3,468.1,501.9,669.9,830.7,702.9,664.1,336.8,868.7,513.4,817.3,990.5,282.2,582.4,126.8,696.1,613.7,671.3,805.1,854.0,758.8,948.1,267.4,857.1,299.3,717.2,718.7,273.2,849.8,258.8,833.9,759.6,378.8,654.6,651.0,728.1,605.4,310.2,723.1,182.7,243.7,610.6,314.5,542.0,284.4,403.2,345.3,940.6,714.8,677.7,557.1,331.3,736.7,559.2,681.3,1007.4,784.1,547.1,748.4,664.2,674.6,678.9,933.5,755.0,644.5,616.9,794.3,845.9,817.5,823.9,282.4,844.4,881.2,234.2,277.4,868.7,221.7,356.5,625.3,630.6,695.2,500.0,855.4,267.9,1794.8,434.9,725.4,237.8,796.6,401.0,673.1,771.6,803.5,800.9
BB,542.4,190.0,565.0,0.0,246.0,547.6,579.7,397.6,112.3,577.0,98.1,595.8,451.2,148.3,329.7,450.9,299.3,511.1,534.8,412.7,414.2,592.4,396.4,491.3,561.9,328.4,373.0,156.1,324.1,566.5,357.1,459.2,328.5,315.4,167.6,485.7,641.3,571.9,236.6,431.1,491.2,58.6,325.5,251.8,649.1,413.0,598.9,557.1,510.6,589.0,371.4,372.9,562.9,560.3,350.2,535.8,554.7,283.7,449.7,305.2,382.3,82.3,252.6,169.8,472.4,533.4,405.7,604.2,46.6,403.8,154.6,217.3,600.7,161.5,331.9,352.2,275.1,390.9,105.3,476.4,667.5,230.8,342.2,402.6,459.3,328.8,333.1,513.8,201.7,91.2,412.0,241.0,292.6,264.2,525.8,572.1,291.1,541.3,523.9,567.1,315.4,511.4,308.2,279.5,425.7,490.3,154.2,302.1,557.6,1978.0,376.9,379.6,527.5,506.6,189.3,468.2,425.8,499.6,596.0
BC,418.3,226.8,440.9,244.2,0.0,653.0,455.6,250.9,336.8,454.6,284.5,471.7,304.5,100.6,366.5,304.2,336.1,547.9,410.7,288.6,267.5,632.6,272.3,245.2,602.1,181.7,248.9,192.9,360.9,521.7,393.9,269.9,204.4,559.7,204.4,508.3,681.5,447.8,273.4,307.0,245.1,304.7,362.3,496.1,502.4,449.8,639.1,433.0,548.1,464.9,408.2,409.7,438.8,540.8,226.1,524.9,408.0,159.6,260.4,342.0,419.1,296.4,128.5,414.1,348.3,409.3,159.6,480.1,233.0,279.7,94.3,93.2,631.6,405.8,368.7,205.5,149.2,427.7,250.2,230.3,698.4,475.1,195.5,439.4,213.2,365.6,369.9,624.5,446.0,335.5,165.9,485.3,536.9,508.5,514.9,448.0,535.4,572.2,399.8,443.0,559.7,387.3,184.1,316.3,179.6,244.2,191.0,546.4,433.5,1960.4,252.8,416.4,403.4,487.6,92.0,217.3,462.6,494.5,449.3
BD,931.6,412.0,954.2,576.6,635.2,0.0,968.9,786.8,658.8,966.2,616.9,985.0,840.4,537.5,288.3,840.1,318.7,257.6,924.0,801.9,803.4,101.6,785.6,880.5,71.1,717.6,762.2,481.5,293.9,189.1,590.9,848.4,717.7,383.8,493.0,145.8,150.5,961.1,371.4,820.3,880.4,634.3,284.8,325.7,1038.3,205.2,108.1,946.3,96.0,978.2,246.6,292.6,952.1,170.0,739.4,184.5,943.9,672.9,838.9,312.8,278.4,628.8,641.8,407.1,861.6,922.6,794.9,993.4,565.4,793.0,543.8,606.5,118.6,415.4,278.4,741.4,664.3,274.6,582.6,865.6,185.4,346.7,731.4,204.6,848.5,562.6,521.9,48.3,598.6,586.8,801.2,336.5,361.0,313.3,185.9,961.3,285.8,65.3,913.1,956.3,383.8,900.6,697.4,468.3,814.9,879.5,448.1,435.9,946.8,2303.2,766.1,225.8,916.7,166.7,578.5,857.4,249.0,159.7,985.2
BH,82.4,539.4,298.9,556.8,454.5,965.6,0.0,606.1,639.0,256.5,597.1,275.3,659.7,413.2,679.1,659.4,648.7,860.5,74.8,250.7,622.7,945.2,408.3,699.8,914.7,536.9,471.7,505.5,673.5,834.3,706.5,667.7,340.4,872.3,517.0,820.9,994.1,251.4,586.0,165.0,699.7,617.3,674.9,808.7,857.6,762.4,951.7,236.6,860.7,268.5,720.8,722.3,36.8,853.4,262.4,837.5,763.2,382.4,658.2,654.6,731.7,609.0,313.8,726.7,128.7,212.9,614.2,283.7,545.6,288.0,406.8,348.9,944.2,718.4,681.3,560.7,336.7,740.3,562.8,684.9,1011.0,787.7,550.7,752.0,667.8,678.2,682.5,937.1,758.6,648.1,620.5,797.9,849.5,821.1,827.5,251.6,848.0,884.8,140.1,246.6,872.3,124.1,360.1,628.9,634.2,698.8,503.6,859.0,237.1,1764.0,438.5,729.0,207.0,800.2,404.6,676.7,775.2,807.1,804.5
BK,587.7,396.2,610.3,413.6,248.7,822.4,625.0,0.0,495.8,622.3,453.9,641.1,152.9,270.0,535.9,152.6,505.5,717.3,580.1,458.0,115.9,802.0,441.7,494.0,771.5,119.5,418.3,362.3,530.3,691.1,563.3,461.9,373.8,729.1,373.8,677.7,850.9,617.2,442.8,476.4,493.9,474.1,531.7,665.5,350.8,619.2,808.5,602.4,717.5,634.3,577.6,579.1,608.2,710.2,395.5,694.3,256.4,329.0,452.4,511.4,588.5,465.8,297.9,583.5,517.7,578.7,408.4,649.5,402.4,449.1,263.6,262.6,801.0,575.2,538.1,143.3,320.4,597.1,419.6,479.1,867.8,644.5,154.9,608.8,462.0,535.0,539.3,793.9,615.4,504.9,414.7,654.7,706.3,677.9,684.3,617.4,704.8,741.6,569.2,612.4,729.1,556.7,353.5,485.7,428.4,493.0,360.4,715.8,602.9,2129.8,422.2,585.8,572.8,657.0,261.4,470.9,632.0,663.9,297.7
BQ,577.7,225.3,600.3,85.4,281.3,633.1,615.0,432.9,0.0,620.0,133.4,631.1,486.5,189.6,365.0,486.2,334.6,546.4,570.1,448.0,449.5,683.9,437.7,526.6,647.4,363.7,408.3,191.4,365.4,520.2,392.4,494.5,363.8,400.9,202.9,571.2,726.8,607.2,271.9,466.4,526.5,145.9,360.8,337.3,690.4,448.3,684.4,592.4,596.1,624.3,406.7,408.2,604.2,539.3,385.5,529.4,596.0,325.0,485.0,346.5,417.6,17.3,287.9,261.3,513.7,568.7,441.0,639.5,81.9,439.1,195.9,252.6,686.2,253.0,373.2,393.5,308.6,445.4,146.6,511.7,753.0,316.3,377.5,443.9,494.6,364.1,368.4,599.3,293.2,176.7,453.3,332.5,378.1,355.7,513.4,607.4,376.6,626.8,559.2,602.4,400.9,546.7,343.5,314.8,461.0,525.6,189.5,393.6,592.9,2013.3,412.2,420.9,562.8,492.1,224.6,498.7,461.1,493.0,631.3
BV,209.3,546.8,306.3,564.2,461.9,973.0,246.6,613.5,656.8,0.0,604.5,186.8,667.1,420.6,686.5,666.8,656.1,867.9,201.7,258.1,630.1,952.6,415.7,707.2,922.1,544.3,479.1,512.9,680.9,841.7,713.9,675.1,347.8,879.7,524.4,828.3,1001.5,162.9,593.4,172.4,707.1,624.7,682.3,816.1,865.0,769.8,959.1,21.5,868.1,91.7,728.2,729.7,229.8,860.8,269.8,844.9,770.6,389.8,665.6,662.0,739.1,616.4,321.2,734.1,191.1,35.2,621.6,106.9,553.0,295.4,414.3,356.3,951.6,725.8,688.7,568.1,344.1,747.7,570.2,692.3,1018.4,795.1,558.1,759.4,675.2,685.6,689.9,944.5,766.0,655.5,627.9,805.3,856.9,828.5,834.9,206.6,855.4,892.2,190.8,69.8,879.7,194.8,367.5,636.3,641.6,706.2,511.0,866.4,60.3,1719.0,445.9,736.4,41.1,807.6,412.0,684.1,782.6,814.5,811.9
CA,572.7,220.3,595.3,108.1,276.3,655.8,610.0,427.9,190.3,607.3,0.0,626.1,481.5,178.6,360.0,481.2,329.6,541.4,565.1,443.0,444.5,700.6,426.7,521.6,670.1,358.7,403.3,186.4,354.4,515.2,387.4,489.5,358.8,423.6,197.9,501.8,749.5,602.2,266.9,461.4,521.5,168.6,355.8,360.0,679.4,443.3,707.1,587.4,618.8,619.3,401.7,403.2,593.2,534.3,380.5,518.4,585.0,314.0,480.0,335.5,412.6,160.3,282.9,278.0,502.7,563.7,436.0,634.5,50.8,434.1,184.9,247.6,708.9,269.7,362.2,382.5,305.4,421.2,135.6,506.7,775.7,339.0,372.5,432.9,489.6,359.1,363.4,622.0,309.9,199.4,442.3,349.2,400.8,372.4,508.4,602.4,399.3,649.5,554.2,597.4,423.6,541.7,338.5,309.8,456.0,520.6,184.5,410.3,587.9,2008.3,407.2,409.9,557.8,481.1,219.6,498.5,456.1,488.0,626.3
CF,262.7,600.2,359.7,617.6,515.3,1026.4,300.0,666.9,699.8,201.4,657.9,0.0,720.5,474.0,739.9,720.2,709.5,921.3,255.1,311.5,683.5,1006.0,469.1,760.6,975.5,597.7,532.5,566.3,734.3,895.1,767.3,728.5,401.2,933.1,577.8,881.7,1054.9,35.0,646.8,225.8,760.5,678.1,735.7,869.5,918.4,823.2,1012.5,181.5,921.5,213.4,781.6,783.1,283.2,914.2,323.2,898.3,824.0,443.2,719.0,715.4,792.5,669.8,374.6,787.5,244.5,157.8,675.0,228.6,606.4,348.8,467.6,409.7,1005.0,779.2,742.1,621.5,397.5,801.1,623.6,745.7,1071.8,848.5,611.5,812.8,728.6,739.0,743.3,997.9,819.4,708.9,681.3,858.7,910.3,881.9,888.3,260.0,908.8,945.6,244.2,191.5,933.1,248.2,420.9,689.7,695.0,759.6,564.4,919.8,182.0,1772.4,499.3,789.8,151.9,861.0,465.4,737.5,836.0,867.9,865.3
CL,641.3,449.8,663.9,467.2,302.3,876.0,678.6,132.9,549.4,675.9,507.5,694.7,0.0,323.6,589.5,114.6,559.1,770.9,633.7,511.6,23.1,855.6,495.3,547.6,825.1,173.1,471.9,415.9,583.9,744.7,616.9,515.5,427.4,782.7,427.4,731.3,904.5,670.8,496.4,530.0,547.5,527.7,585.3,719.1,312.8,672.8,862.1,656.0,771.1,687.9,631.2,632.7,661.8,763.8,449.1,747.9,218.4,382.6,506.0,565.0,642.1,519.4,351.5,637.1,571.3,632.3,462.0,703.1,456.0,502.7,317.2,316.2,854.6,628.8,591.7,196.9,374.0,650.7,473.2,532.7,921.4,698.1,208.5,662.4,515.6,588.6,592.9,847.5,669.0,558.5,468.3,708.3,759.9,731.5,737.9,671.0,758.4,795.2,622.8,666.0,782.7,610.3,407.1,539.3,482.0,546.6,414.0,769.4,656.5,2183.4,475.8,639.4,626.4,710.6,315.0,524.5,685.6,717.5,259.7
CR,394.0,126.1,416.6,143.5,97.6,552.3,431.3,249.2,225.7,430.3,183.8,447.4,302.8,0.0,265.8,302.5,235.4,447.2,386.4,264.3,265.8,531.9,248.0,342.9,501.4,180.0,224.6,92.2,260.2,421.0,293.2,310.8,180.1,459.0,103.7,407.6,580.8,423.5,172.7,282.7,342.8,204.0,261.6,395.4,500.7,349.1,538.4,408.7,447.4,440.6,307.5,309.0,414.5,440.1,201.8,424.2,406.3,135.3,301.3,241.3,318.4,195.7,104.2,313.4,324.0,385.0,257.3,455.8,132.3,255.4,6.3,68.9,530.9,305.1,268.0,203.8,124.9,346.2,149.5,328.0,597.7,374.4,193.8,338.7,310.9,264.9,269.2,523.8,345.3,234.8,263.6,384.6,436.2,407.8,414.2,423.7,434.7,471.5,375.5,418.7,459.0,363.0,159.8,215.6,277.3,341.9,90.3,445.7,409.2,1914.1,228.5,315.7,379.1,386.9,40.9,315.0,361.9,393.8,447.6
DI,643.2,123.6,665.8,288.2,346.8,293.0,680.5,498.4,370.4,677.8,328.5,696.6,552.0,249.1,0.0,551.7,30.3,181.3,635.6,513.5,515.0,272.6,497.2,592.1,242.1,429.2,473.8,193.1,5.5,155.1,302.5,560.0,429.3,447.5,204.6,141.7,321.5,672.7,83.0,531.9,592.0,348.7,44.8,389.4,749.9,83.2,279.1,657.9,181.5,689.8,41.6,43.1,663.7,174.2,451.0,158.3,655.5,384.5,550.5,24.4,52.5,340.4,353.4,458.1,573.2,634.2,506.5,705.0,277.0,504.6,255.4,318.1,271.6,449.8,51.2,453.0,375.9,61.1,294.2,577.2,338.4,410.4,443.0,121.9,560.1,274.2,233.5,264.5,490.0,379.5,512.8,400.2,424.7,377.0,148.3,672.9,349.5,212.2,624.7,667.9,447.5,612.2,409.0,179.9,526.5,591.1,159.7,499.6,658.4,2014.8,477.7,98.9,628.3,121.0,290.1,569.0,96.0,127.9,696.8
DL,635.2,443.7,657.8,461.1,296.2,869.9,672.5,126.8,543.3,669.8,501.4,688.6,128.8,317.5,583.4,0.0,553.0,764.8,627.6,505.5,91.8,849.5,489.2,541.5,819.0,167.0,465.8,409.8,577.8,738.6,610.8,509.4,421.3,776.6,421.3,725.2,898.4,664.7,490.3,523.9,541.4,521.6,579.2,713.0,198.1,666.7,856.0,649.9,765.0,681.8,625.1,626.6,655.7,757.7,443.0,741.8,103.7,376.5,499.9,558.9,636.0,513.3,345.4,631.0,565.2,626.2,455.9,697.0,449.9,496.6,311.1,310.1,848.5,622.7,585.6,190.8,367.9,644.6,467.1,526.6,915.3,692.0,202.4,656.3,509.5,582.5,586.8,841.4,662.9,552.4,462.2,702.2,753.8,725.4,731.8,664.9,752.3,789.1,616.7,659.9,776.6,604.2,401.0,533.2,475.9,540.5,407.9,763.3,650.4,2177.3,469.7,633.3,620.3,704.5,308.9,518.4,679.5,711.4,145.0
DP,612.8,93.2,635.4,257.8,316.4,316.8,650.1,468.0,340.0,647.4,298.1,666.2,521.6,218.7,30.3,521.3,0.0,211.7,605.2,483.1,484.6,296.4,466.8,561.7,265.9,398.8,443.4,162.7,24.7,185.5,272.1,529.6,398.9,477.9,174.2,172.1,345.3,642.3,52.6,501.5,561.6,318.3,26.1,419.8,719.5,113.6,302.9,627.5,211.9,659.4,72.0,73.5,633.3,204.6,420.6,188.7,625.1,354.1,520.1,5.8,82.9,310.0,323.0,427.7,542.8,603.8,476.1,674.6,246.6,474.2,225.0,287.7,295.4,419.4,32.5,422.6,345.5,91.5,263.8,546.8,362.2,440.8,412.6,103.2,529.7,243.8,203.1,288.3,459.6,349.1,482.4,430.6,455.1,407.4,178.7,642.5,379.9,236.0,594.3,637.5,477.9,581.8,378.6,149.5,496.1,560.7,129.3,530.0,628.0,1984.4,447.3,80.2,597.9,151.4,259.7,538.6,126.4,158.3,666.4
