from_stop,AI,AJ,AP,AS,AT,AV,AX,BA,BB,BH,BM,BS,CB,CF,CG,CK,CO,CP,CZ,DA,DL,DM,DS,DX,EA,EB,EC,ED,EE,EJ,ER,ET,EY,FB,FE,FI,FP,FQ,FY,GC,GE,GH,GJ,GL,GS,GU,GW,GY,HK,HM,HS,HT,IK,IN,IO,IS,IT,IX,IY,IZ,JA,JL,JR,JS,JU,KL,KM,KQ,KY,LD,LF,LL,LT,LV,LW,MK,MS,MT,MX,NA,ND,NJ,NK,NM,NW,OA,OE,OG,OI,OL,OQ,OW,PA,PD,PE,PF,PN,PO,PY,PZ,QI,QO,QU,QV,QY,QZ,RC,RF,RI,RL,SF,SH,SM,SN,SP,SU,SY,TF,TH,TN,TS,TZ,UH,UM,UO,UV,UW,VA,VC,VD,VG,VJ,VO,VR,VW,VX,VZ,WA,WR,WS,XF,XQ,XW,XX,YI,YJ,YO,YQ,YW,YX,ZE,ZH,ZI,ZO,ZQ,ZR,ZS,ZW,ZX
AI,0.0,971.8,714.8,917.6,856.9,612.1,873.0,997.6,2659.8,812.8,625.5,549.8,875.8,1046.3,992.8,697.9,957.7,542.3,502.2,670.4,962.6,557.9,485.6,889.7,879.7,594.8,546.5,785.6,775.7,624.3,449.7,462.3,934.7,891.3,843.9,704.8,567.0,637.1,846.5,893.4,536.0,945.8,753.5,659.5,1004.8,1065.4,835.8,891.2,902.7,564.6,663.2,1026.3,245.5,596.1,888.9,347.0,386.4,643.8,1004.6,846.3,793.5,126.5,1042.2,552.5,1007.3,1010.4,517.5,1013.4,645.1,947.5,837.0,913.1,726.4,1069.6,357.0,672.3,544.9,498.8,980.8,755.2,859.9,994.8,885.6,605.6,326.4,1003.6,532.4,632.3,851.6,779.8,776.6,838.0,639.7,541.7,537.8,757.2,856.2,991.9,484.9,881.3,851.6,632.2,876.7,593.5,673.1,840.1,872.9,793.0,984.3,1074.2,494.6,599.9,631.2,824.4,437.2,496.5,1054.7,782.5,640.0,732.0,418.8,1026.2,947.7,815.1,633.6,600.5,904.3,759.3,613.8,859.6,583.5,438.0,1018.4,1021.5,1060.8,852.0,486.7,710.8,683.7,652.3,622.8,1049.3,856.2,785.8,788.4,937.3,818.4,505.9,800.8,262.1,927.9,247.1,914.3,568.4,853.0,889.4,975.1,830.8,603.1
AJ,969.0,0.0,823.3,309.9,600.3,870.8,488.6,389.9,2064.2,428.4,884.2,808.5,491.4,213.2,159.7,806.4,72.7,801.0,760.9,704.9,323.2,816.6,744.3,633.1,495.3,853.5,805.2,558.0,519.1,794.3,635.8,721.0,240.2,506.9,417.6,968.1,825.7,895.8,420.2,636.8,794.7,758.7,327.2,918.2,329.4,390.0,648.7,166.8,715.6,823.3,680.4,331.8,756.2,854.8,194.4,798.3,645.1,387.2,310.1,659.2,624.4,852.7,347.7,811.2,122.3,151.8,789.8,338.0,698.5,28.5,452.6,528.7,989.7,394.2,629.3,415.7,803.6,757.5,95.8,635.7,475.5,109.8,698.5,835.7,633.8,118.6,791.1,891.0,267.8,353.5,614.3,593.9,829.5,800.4,794.7,399.7,599.6,133.3,743.6,496.9,467.2,740.7,492.3,852.2,936.4,583.5,265.2,644.4,289.8,241.1,753.3,858.6,712.4,440.0,709.5,755.2,169.7,1045.8,898.7,661.2,628.7,193.1,253.2,430.7,892.3,802.5,717.2,374.9,872.5,296.2,842.2,710.3,323.9,188.4,366.3,425.7,759.0,454.2,709.3,915.6,871.4,664.9,471.8,529.2,362.1,52.3,460.9,778.2,544.2,699.5,740.8,880.6,657.7,834.6,468.6,505.0,104.6,446.4,861.8
AP,696.0,784.5,0.0,730.3,359.4,284.4,685.7,810.3,2660.5,625.5,297.8,222.1,688.5,859.0,805.5,10.3,770.4,247.5,347.0,120.4,775.3,263.1,357.2,342.1,692.4,318.0,251.7,235.6,274.5,155.8,411.0,266.3,747.4,704.0,656.6,329.6,272.2,360.3,659.2,345.8,241.2,395.8,566.2,382.7,817.5,878.1,285.8,703.9,352.7,269.8,113.2,839.0,483.2,301.3,701.6,525.3,290.5,403.7,817.3,296.3,243.5,579.7,854.9,257.7,820.0,821.9,496.8,826.1,95.1,760.2,649.7,725.8,351.2,882.3,336.3,375.2,250.1,383.1,793.5,205.2,672.6,807.5,335.6,197.2,360.8,816.3,237.6,340.2,664.3,592.5,226.6,288.0,191.0,245.2,156.2,572.6,310.1,804.6,248.9,694.0,664.3,62.9,689.4,265.8,297.9,342.6,685.6,243.0,797.0,886.9,374.0,272.2,81.2,637.1,416.5,375.9,867.4,407.3,312.3,178.0,380.1,838.9,760.4,627.8,338.8,164.0,354.3,572.0,337.0,672.3,255.8,417.3,832.0,835.4,873.5,664.7,466.0,449.5,133.7,277.1,232.9,862.0,668.9,264.4,601.1,750.0,631.1,485.2,293.4,426.5,377.9,607.6,374.3,196.1,665.7,702.1,787.8,643.5,308.3
AS,933.1,280.1,787.4,0.0,564.4,834.9,452.7,79.9,2193.1,392.5,848.3,772.6,455.5,280.4,226.9,770.5,314.6,765.1,725.0,669.0,44.9,780.7,708.4,597.2,459.4,817.6,769.3,522.1,483.2,758.4,599.9,685.1,140.3,471.0,381.7,932.2,789.8,859.9,384.3,600.9,758.8,722.8,291.3,882.3,87.1,147.7,612.8,125.3,679.7,787.4,644.5,138.5,720.3,818.9,123.0,762.4,609.2,351.3,116.8,623.3,588.5,816.8,154.4,775.3,364.2,367.3,753.9,95.7,662.6,255.8,416.7,492.8,953.8,151.9,593.4,379.8,767.7,721.6,337.7,599.8,439.6,351.7,662.6,799.8,597.9,360.5,755.2,855.1,129.6,317.6,578.4,558.0,793.6,764.5,758.8,363.8,563.7,348.8,707.7,461.0,431.3,704.8,456.4,816.3,900.5,547.6,36.0,608.5,96.5,308.3,717.4,822.7,676.5,404.1,673.6,719.3,411.6,1009.9,862.8,625.3,592.8,260.3,181.8,394.8,856.4,766.6,681.3,339.0,836.6,260.3,806.3,674.4,101.6,255.6,173.0,389.8,723.1,418.3,673.4,879.7,835.5,629.0,435.9,493.3,326.2,294.2,425.0,742.3,508.3,663.6,704.9,844.7,621.8,798.7,432.7,469.1,332.0,410.5,825.9
AT,848.9,575.1,393.0,520.9,0.0,492.6,476.3,600.9,2451.1,416.1,506.0,430.3,479.1,649.6,596.1,376.1,561.0,455.7,555.2,274.6,565.9,471.3,565.4,90.8,483.0,526.2,459.9,127.7,88.8,364.0,515.7,474.5,538.0,494.6,447.2,537.8,480.4,568.5,449.8,86.4,449.4,328.4,356.8,590.9,608.1,668.7,218.4,494.5,285.3,478.0,250.1,629.6,636.1,509.5,492.2,678.2,498.7,194.3,607.9,228.9,183.4,732.6,645.5,465.9,610.6,613.7,705.0,616.7,268.2,550.8,440.3,516.4,559.4,672.9,544.5,165.8,458.3,586.4,584.1,205.4,463.2,598.1,268.2,405.4,513.7,606.9,445.8,548.4,454.9,383.1,184.0,141.1,399.2,455.1,364.4,360.5,120.7,595.2,457.1,484.6,454.9,310.4,480.0,474.0,506.1,14.5,476.2,214.1,587.6,677.5,582.2,480.4,282.1,427.7,624.7,584.1,658.0,615.5,520.5,230.9,508.6,629.5,551.0,418.4,547.0,372.2,286.9,362.6,545.2,462.9,464.0,625.5,621.7,624.8,664.1,455.3,674.2,241.6,279.0,485.3,441.1,652.6,459.5,98.9,391.7,540.6,421.7,693.4,50.0,579.4,310.5,760.5,57.3,404.3,456.3,492.7,578.4,434.1,516.5
AV,644.0,881.1,315.1,826.9,509.7,0.0,782.3,906.9,2717.7,722.1,50.2,72.2,785.1,955.6,902.1,298.2,867.0,195.5,295.0,270.7,871.9,211.1,305.2,492.4,789.0,265.7,199.7,385.9,424.8,224.6,359.0,214.3,844.0,800.6,753.2,274.5,220.2,302.9,755.8,496.1,189.2,546.1,662.8,320.3,914.1,974.7,436.1,800.5,503.0,217.8,263.5,935.6,431.2,249.3,798.2,473.3,238.5,553.1,913.9,446.6,393.8,527.7,951.5,205.7,916.6,919.7,444.8,922.7,245.4,856.8,746.3,822.4,296.1,978.9,284.3,525.5,198.1,326.2,890.1,355.5,769.2,904.1,485.9,175.3,308.8,912.9,185.6,237.6,760.9,689.1,376.9,438.3,231.5,194.9,138.1,666.5,458.9,901.2,196.9,790.6,760.9,232.5,786.0,163.2,242.8,492.9,782.2,393.3,893.6,983.5,322.0,74.8,231.5,733.7,364.5,323.9,964.0,352.2,209.7,332.3,328.1,935.5,857.0,724.4,286.8,170.2,504.6,668.6,279.6,768.9,89.4,365.3,927.7,930.8,970.1,761.3,414.0,601.3,284.0,222.0,192.5,958.6,765.5,414.7,697.7,846.6,727.7,433.2,453.6,374.5,528.2,555.6,524.6,138.1,762.3,798.7,884.4,740.1,256.3
AX,885.9,480.9,740.2,426.7,517.2,787.7,0.0,506.7,2345.3,193.9,801.1,725.4,147.2,555.4,501.9,723.3,466.8,717.9,677.8,621.8,471.7,733.5,661.2,550.0,151.1,770.4,722.1,474.9,436.0,711.2,552.7,637.9,443.8,254.4,353.0,885.0,742.6,812.7,355.6,553.7,711.6,675.6,262.6,835.1,513.9,574.5,565.6,400.3,632.5,740.2,597.3,535.4,673.1,771.7,398.0,715.2,562.0,304.1,513.7,576.1,541.3,769.6,551.3,728.1,516.4,519.5,706.7,522.5,615.4,456.6,218.1,276.2,906.6,578.7,546.2,332.6,720.5,674.4,489.9,552.6,149.2,503.9,615.4,752.6,550.7,512.7,708.0,807.9,360.7,288.9,531.2,510.8,746.4,717.3,711.6,316.6,516.5,501.0,660.5,8.3,232.7,657.6,22.9,769.1,853.3,500.4,382.0,561.3,493.4,583.3,670.2,775.5,629.3,187.5,626.4,672.1,563.8,962.7,815.6,578.1,545.6,535.3,456.8,58.1,809.2,719.4,634.1,140.4,789.4,368.7,759.1,627.2,527.5,530.6,569.9,361.1,675.9,371.1,626.2,832.5,788.3,412.4,102.7,446.1,297.5,446.4,377.8,695.1,461.1,616.4,657.7,797.5,574.6,751.5,164.9,71.4,484.2,211.9,778.7
BA,1010.3,357.3,864.6,77.1,641.6,912.1,529.9,0.0,2270.3,469.7,925.5,849.8,532.7,357.6,304.1,847.7,391.8,842.3,802.2,746.2,74.7,857.9,785.6,674.4,536.6,894.8,846.5,599.3,560.4,835.6,677.1,762.3,170.1,548.2,458.9,1009.4,867.0,937.1,461.5,678.1,836.0,800.0,368.5,959.5,116.9,177.5,690.0,202.5,756.9,864.6,721.7,168.3,797.5,896.1,200.2,839.6,686.4,428.5,146.6,700.5,665.7,894.0,184.2,852.5,441.4,444.5,831.1,125.5,739.8,333.0,493.9,570.0,1031.0,181.7,670.6,457.0,844.9,798.8,414.9,677.0,516.8,428.9,739.8,877.0,675.1,437.7,832.4,932.3,206.8,394.8,655.6,635.2,870.8,841.7,836.0,441.0,640.9,426.0,784.9,538.2,508.5,782.0,533.6,893.5,977.7,624.8,113.2,685.7,126.3,385.5,794.6,899.9,753.7,481.3,750.8,796.5,488.8,1087.1,940.0,702.5,670.0,337.5,234.3,472.0,933.6,843.8,758.5,416.2,913.8,337.5,883.5,751.6,131.4,332.8,202.8,467.0,800.3,495.5,750.6,956.9,912.7,706.2,513.1,570.5,403.4,371.4,502.2,819.5,585.5,740.8,782.1,921.9,699.0,875.9,509.9,546.3,409.2,487.7,903.1
BB,2748.8,2129.8,2717.7,2224.8,2494.7,2765.2,2383.0,2304.8,0.0,2322.8,2778.6,2702.9,2385.8,2238.2,2184.7,2700.8,2115.7,2695.4,2655.3,2599.3,2269.8,2711.0,2638.7,2527.5,2389.7,2747.9,2699.6,2452.4,2413.5,2688.7,2530.2,2615.4,2241.9,2401.3,2312.0,2862.5,2720.1,2790.2,2314.6,2531.2,2689.1,2653.1,2221.6,2812.6,2312.0,2372.6,2543.1,2191.8,2610.0,2717.7,2574.8,2333.5,2536.0,2749.2,2196.1,2515.9,2539.5,2281.6,2311.8,2553.6,2518.8,2632.5,2349.4,2705.6,2165.3,2168.4,2684.2,2320.6,2592.9,2105.5,2347.0,2423.1,2884.1,2376.8,2523.7,2310.1,2698.0,2651.9,2138.8,2530.1,2369.9,2152.8,2592.9,2730.1,2528.2,2161.6,2685.5,2785.4,2158.8,2247.9,2508.7,2488.3,2723.9,2694.8,2689.1,2294.1,2494.0,2149.9,2638.0,2391.3,2361.6,2635.1,2386.7,2746.6,2830.8,2477.9,2180.1,2538.8,2291.5,2266.1,2647.7,2753.0,2606.8,2334.4,2603.9,2649.6,2212.7,2940.2,2793.1,2555.6,2523.1,2218.1,2254.9,2325.1,2786.7,2696.9,2611.6,2269.3,2766.9,2190.6,2736.6,2604.7,2325.6,2213.4,2368.0,2320.1,2653.4,2348.6,2603.7,2810.0,2765.8,2559.3,2366.2,2423.6,2256.5,2095.3,2355.3,2672.6,2438.6,2513.2,2635.2,2660.4,2552.1,2729.0,2363.0,2399.4,2133.1,2340.8,2756.2
BH,829.1,424.1,683.4,369.9,460.4,730.9,177.3,449.9,2288.5,0.0,744.3,668.6,62.8,498.6,445.1,666.5,410.0,661.1,621.0,565.0,414.9,676.7,604.4,493.2,66.7,713.6,665.3,418.1,379.2,654.4,495.9,581.1,387.0,215.6,296.2,828.2,685.8,755.9,298.8,496.9,654.8,618.8,205.8,778.3,457.1,517.7,508.8,343.5,575.7,683.4,540.5,478.6,616.3,714.9,341.2,658.4,505.2,247.3,456.9,519.3,484.5,712.8,494.5,671.3,459.6,462.7,649.9,465.7,558.6,399.8,57.6,237.4,849.8,521.9,489.4,275.8,663.7,617.6,433.1,495.8,46.9,447.1,558.6,695.8,493.9,455.9,651.2,751.1,303.9,232.1,474.4,454.0,689.6,660.5,654.8,259.8,459.7,444.2,603.7,185.6,72.2,600.8,181.0,712.3,796.5,443.6,325.2,504.5,436.6,526.5,613.4,718.7,572.5,56.4,569.6,615.3,507.0,905.9,758.8,521.3,488.8,478.5,400.0,119.4,752.4,662.6,577.3,53.3,732.6,311.9,702.3,570.4,470.7,473.8,513.1,304.3,619.1,314.3,569.4,775.7,731.5,373.6,103.4,389.3,240.7,389.6,321.0,638.3,404.3,559.6,600.9,740.7,517.8,694.7,105.8,134.7,427.4,17.9,721.9
