from_stop,AC,AD,AF,AI,AM,BC,BH,BI,BJ,BP,BX,CC,CE,CO,CQ,CR,CU,CX,CY,DH,DN,DU,DX,EI,EQ,EW,EY,FA,FB,FI,FN,FZ,GA,GX,GY,HB,HE,HH,HM,HP,HV,IO,IW,IY,IZ,JB,JH,JL,JN,JU,KK,KL,KP,KT,KU,KZ,LB,LL,LN,LP,LV,MA,MD,MJ,MP,MZ,NG,NH,NI,NK,NM,NN,NQ,NU,NX,NZ,OD,OH,OU,PD,PL,PN,PO,PP,PQ,RA,RG,RR,RS,SE,SF,SK,SM,SN,SY,TD,TF,TL,TP,TT,TX,UG,UQ,VL,VQ,VZ,WE,WH,WJ,WK,WL,WM,WS,WV,WX,XA,XH,XK,XL,XO,XP,YC,YK,YL,YM,YO,YU,YV,YX,YY,ZA,ZD,ZV,ZW,ZX
AC,0.0,1176.9,305.1,1201.1,337.1,375.0,353.4,1331.9,637.8,1348.3,2326.0,1362.0,587.0,583.4,242.2,635.0,617.5,254.3,1303.4,305.9,1169.8,639.9,765.1,1304.7,546.0,1380.8,550.9,627.8,362.2,1170.7,1301.2,196.2,244.8,351.4,1288.0,1315.0,306.9,1172.1,710.3,617.1,387.9,779.3,1360.3,691.8,1096.9,1325.5,791.9,578.6,396.7,338.3,557.8,1187.5,1130.5,485.6,485.7,1328.7,241.8,344.4,1298.9,607.7,1299.5,795.9,281.6,485.6,1202.0,1319.4,533.2,707.9,1171.7,521.2,281.8,1336.7,1353.7,225.8,208.5,1157.8,1308.4,764.8,160.2,542.7,400.5,554.5,120.9,558.7,1288.1,1186.3,156.6,562.1,233.2,1345.8,1157.6,1182.0,235.2,652.5,480.5,420.4,1316.2,984.5,1258.1,1277.5,1073.8,540.0,395.1,72.5,1132.8,306.2,518.0,472.8,371.1,317.8,488.2,726.9,385.5,162.6,377.0,619.8,469.7,1384.8,1307.8,615.1,1180.6,163.9,1208.3,439.0,1186.1,335.2,1055.3,305.3,370.2,1289.5,76.7,272.4,766.7,718.7,444.0
AD,1219.9,0.0,1018.4,107.4,1032.3,996.0,961.2,270.8,928.5,287.2,1994.6,300.9,877.0,874.1,986.7,607.6,777.1,1037.1,242.3,1178.9,663.2,799.5,926.3,225.6,728.7,319.0,723.8,592.0,934.9,136.8,240.1,1032.0,1029.3,1019.4,211.9,253.9,983.3,78.4,834.7,907.8,942.9,664.7,295.7,699.0,466.3,264.4,697.9,647.7,944.2,946.1,699.4,570.3,623.9,845.0,747.3,249.6,1047.2,1081.5,237.8,754.1,238.4,681.3,1066.8,998.5,94.6,240.3,795.3,832.3,78.3,711.8,1178.9,275.6,292.6,1057.3,1307.8,528.9,247.3,689.4,1283.6,902.1,970.5,913.9,1244.3,718.3,227.0,40.3,1188.4,852.8,994.6,280.9,45.9,561.1,1108.9,812.1,839.9,933.3,255.1,527.7,179.0,198.4,567.2,899.4,911.5,1242.3,503.9,1173.5,780.1,832.2,906.8,1051.8,778.9,699.5,1073.9,1230.6,854.2,778.7,982.6,323.7,246.0,905.8,86.9,1064.6,128.0,951.9,92.4,1208.9,548.7,967.8,936.4,227.7,1200.1,1191.3,672.7,843.1,840.4
AF,307.8,957.9,0.0,970.6,253.9,217.6,96.6,1112.4,418.3,1128.8,2161.7,1142.5,367.5,363.9,73.9,415.5,398.0,124.3,1083.9,266.8,1343.1,420.4,506.3,1085.2,326.5,1161.3,331.4,408.3,142.7,951.2,1084.0,119.2,117.2,241.0,1068.5,1097.4,87.4,952.6,490.8,393.4,168.4,559.8,1140.8,476.0,1282.5,1112.6,572.4,359.1,159.2,112.4,338.3,1381.1,1303.8,266.1,266.2,1109.2,134.4,303.1,1079.4,388.2,1080.0,578.0,154.0,266.1,982.5,1099.9,313.7,488.4,952.2,301.7,313.8,1117.2,1134.2,144.5,395.0,1343.4,1088.9,545.3,370.8,323.2,192.1,335.0,331.5,339.2,1068.6,966.8,278.8,342.6,82.5,1126.3,927.3,1375.6,196.1,433.0,261.0,200.9,1096.7,1157.8,1038.6,1058.0,1247.1,320.5,157.6,329.5,1318.4,332.7,298.5,253.3,151.6,273.4,268.7,536.6,79.3,318.5,157.5,400.3,250.2,1165.3,1088.3,395.6,961.1,150.9,988.8,219.5,966.6,296.1,1228.6,85.8,132.7,1056.1,287.3,325.5,547.2,499.2,224.5
AI,1256.0,88.6,1053.8,0.0,1067.7,1031.4,996.6,174.3,963.9,190.7,2030.0,193.4,913.1,909.5,1022.1,643.0,812.5,1072.5,145.8,1204.0,670.3,834.9,962.4,129.1,764.1,212.2,759.2,627.4,960.0,162.2,143.6,1056.4,1065.4,1054.8,115.4,157.4,1018.7,18.9,870.1,943.2,968.0,700.1,199.2,734.4,473.4,156.9,733.3,683.1,979.6,981.5,734.8,577.4,631.0,880.4,782.7,153.1,1082.6,1116.9,141.3,789.5,141.9,705.7,1102.2,1033.9,73.0,143.8,830.7,856.7,40.6,747.2,1204.0,179.1,196.1,1092.7,1343.2,536.0,150.8,724.8,1319.0,937.5,1005.9,949.3,1279.7,753.7,130.5,88.6,1224.5,888.2,1019.7,184.4,103.0,568.2,1144.3,847.5,875.3,968.7,158.6,534.8,82.5,101.9,574.3,934.8,946.9,1277.7,511.0,1208.9,815.5,867.6,942.2,1087.2,814.3,734.9,1109.3,1266.7,889.6,803.8,1018.0,227.2,139.2,941.2,9.8,1089.7,31.5,987.3,4.8,1233.3,555.8,1003.2,971.8,131.9,1235.5,1226.7,708.1,878.5,864.8
AM,336.1,986.3,248.6,999.0,0.0,37.8,314.9,1140.8,575.8,1157.2,2230.7,1170.9,525.0,521.4,234.9,443.9,444.4,263.5,1112.3,128.5,1371.5,466.8,474.4,1113.6,303.4,1189.7,308.3,436.7,348.9,979.6,1112.4,205.4,278.2,14.2,1096.9,1125.8,268.4,981.0,537.2,550.9,338.9,603.3,1169.2,550.6,1310.9,1141.0,615.9,387.5,244.5,299.8,333.1,1409.5,1332.2,447.1,394.6,1137.6,295.4,49.1,1107.8,365.1,1108.4,621.5,315.0,447.1,1010.9,1128.3,442.6,534.8,980.6,359.1,147.2,1145.6,1162.6,235.0,261.8,1371.8,1117.3,588.8,281.5,504.2,63.3,516.0,320.8,385.6,1097.0,995.2,307.1,500.1,243.5,1154.7,955.7,1404.0,114.3,479.4,442.0,381.9,1125.1,1186.2,1067.0,1086.4,1275.5,501.5,242.9,357.8,1346.8,141.1,427.4,434.3,280.3,19.4,426.2,504.7,329.0,346.8,338.5,446.7,431.2,1193.7,1116.7,553.1,989.5,179.2,1017.2,400.5,995.0,157.8,1257.0,266.8,218.0,1084.5,315.6,158.9,590.7,545.6,208.1
BC,372.4,948.4,210.7,961.1,36.2,0.0,277.0,1102.9,537.9,1119.3,2192.8,1133.0,487.1,483.5,197.0,406.0,406.5,247.4,1074.4,164.8,1333.6,428.9,436.5,1075.7,265.5,1151.8,270.4,398.8,311.0,941.7,1074.5,242.3,240.3,23.3,1059.0,1087.9,230.5,943.1,499.3,513.0,301.0,565.4,1131.3,512.7,1273.0,1103.1,578.0,349.6,206.6,261.9,295.2,1371.6,1294.3,409.2,356.7,1099.7,257.5,85.4,1069.9,327.2,1070.5,583.6,277.1,409.2,973.0,1090.4,404.7,496.9,942.7,321.2,183.5,1107.7,1124.7,267.6,298.1,1333.9,1079.4,550.9,317.8,466.3,25.4,478.1,357.1,347.7,1059.1,957.3,343.4,462.2,205.6,1116.8,917.8,1366.1,150.6,441.5,404.1,344.0,1087.2,1148.3,1029.1,1048.5,1237.6,463.6,205.0,394.1,1308.9,177.4,389.5,396.4,242.4,55.7,388.3,466.8,291.1,383.1,300.6,408.8,393.3,1155.8,1078.8,515.2,951.6,215.5,979.3,362.6,957.1,194.1,1219.1,228.9,180.1,1046.6,351.9,195.2,552.8,507.7,170.2
BH,355.8,900.4,94.3,913.1,319.9,283.6,0.0,1054.9,360.8,1071.3,2104.2,1085.0,310.0,306.4,121.9,358.0,340.5,172.3,1026.4,314.8,1285.6,362.9,511.0,1027.7,269.0,1103.8,273.9,350.8,85.2,893.7,1026.5,167.2,165.2,307.0,1011.0,1039.9,118.5,895.1,433.3,335.9,110.9,502.3,1083.3,418.5,1225.0,1055.1,514.9,301.6,204.7,15.7,280.8,1323.6,1246.3,208.6,208.7,1051.7,182.4,353.3,1021.9,330.7,1022.5,520.5,202.0,208.6,925.0,1042.4,256.2,430.9,894.7,244.2,361.8,1059.7,1076.7,192.5,443.0,1285.9,1031.4,487.8,418.8,265.7,258.1,277.5,379.5,281.7,1011.1,909.3,326.8,285.1,130.5,1068.8,869.8,1318.1,244.1,375.5,203.5,143.4,1039.2,1100.3,981.1,1000.5,1189.6,263.0,172.0,377.5,1260.9,380.7,241.0,195.8,94.1,326.7,211.2,449.9,112.6,366.5,100.0,342.8,192.7,1107.8,1030.8,338.1,903.6,198.9,931.3,162.0,909.1,344.1,1171.1,103.0,198.7,998.6,335.3,373.5,489.7,441.7,167.0
BI,1347.5,285.1,1145.3,195.9,1159.2,1122.9,1088.1,0.0,1055.4,16.3,2121.5,70.4,1004.6,1001.0,1113.6,734.5,904.0,1164.0,66.1,1306.5,761.8,926.4,1053.9,238.6,855.6,66.3,850.7,718.9,1062.5,256.2,61.7,1158.9,1156.9,1146.3,221.9,52.6,1110.2,214.9,961.6,1030.5,1070.5,791.6,28.3,822.4,566.6,175.5,824.8,774.6,1071.1,1073.0,826.3,665.2,722.5,971.9,874.2,262.6,1174.1,1208.4,111.6,881.0,142.9,809.8,1193.7,1125.4,269.0,253.3,922.2,959.2,238.7,838.7,1306.5,75.0,175.9,1184.2,1434.7,627.5,151.8,816.3,1410.5,1029.0,1097.4,1040.8,1371.2,845.2,77.1,284.6,1318.5,979.7,1122.2,13.8,274.5,659.7,1235.8,939.0,966.8,1060.2,15.6,626.3,192.0,211.4,665.8,1026.3,1038.4,1369.2,602.5,1300.4,907.0,959.1,1033.7,1178.7,905.8,826.4,1200.8,1358.2,981.1,906.3,1109.5,52.8,151.2,1032.7,205.8,1190.6,162.2,1078.8,200.8,1335.8,647.3,1094.7,1063.3,83.9,1327.0,1318.2,799.6,970.0,967.3
BJ,624.4,851.9,422.2,864.6,565.2,528.9,365.0,1006.4,0.0,1022.8,2055.7,1036.5,73.1,69.5,390.5,309.5,292.0,440.9,977.9,583.4,1237.1,314.4,469.7,979.2,261.6,1055.3,256.7,302.3,339.4,845.2,978.0,435.8,433.8,552.3,962.5,991.4,387.1,846.6,384.8,99.0,347.4,453.8,1034.8,370.0,1176.5,1006.6,466.4,253.1,421.2,349.9,232.3,1275.1,1197.8,248.8,160.2,1003.2,451.0,614.4,973.4,287.0,974.0,472.0,470.6,402.3,876.5,993.9,207.7,382.4,846.2,195.7,630.4,1011.2,1028.2,461.1,711.6,1237.4,982.9,439.3,687.4,305.9,503.4,317.7,648.1,233.2,962.6,860.8,595.4,62.1,399.1,1020.3,821.3,1269.6,512.7,327.0,243.7,337.1,990.7,1051.8,932.6,952.0,1141.1,303.2,388.5,646.1,1212.4,649.3,192.5,236.0,310.6,595.3,137.3,401.4,477.7,635.1,258.0,294.3,386.4,1059.3,982.3,21.0,855.1,467.5,882.8,355.7,860.6,612.7,1122.6,371.6,413.4,950.1,603.9,642.1,441.2,393.2,383.5
BP,1364.1,301.7,1161.9,212.5,1175.8,1139.5,1104.7,26.3,1072.0,0.0,2138.1,70.1,1021.2,1017.6,1130.2,751.1,920.6,1180.6,70.7,1323.1,778.4,943.0,1070.5,255.2,872.2,56.1,867.3,735.5,1079.1,272.8,45.3,1175.5,1173.5,1162.9,238.5,79.0,1126.8,231.5,978.2,1047.1,1087.1,808.2,28.0,839.0,583.2,164.8,841.4,791.2,1087.7,1089.6,842.9,681.8,739.1,988.5,890.8,279.2,1190.7,1225.0,138.0,897.6,132.2,826.4,1210.3,1142.0,285.6,269.9,938.8,975.8,255.3,855.3,1323.1,58.6,186.4,1200.8,1451.3,644.1,141.1,832.9,1427.1,1045.6,1114.0,1057.4,1387.8,861.8,60.7,301.2,1335.1,996.3,1138.8,13.5,291.1,676.3,1252.4,955.6,983.4,1076.8,42.0,642.9,208.6,228.0,682.4,1042.9,1055.0,1385.8,619.1,1317.0,923.6,975.7,1050.3,1195.3,922.4,843.0,1217.4,1374.8,997.7,922.9,1126.1,52.5,140.5,1049.3,222.4,1207.2,178.8,1095.4,217.4,1352.4,663.9,1111.3,1079.9,73.2,1343.6,1334.8,816.2,986.6,983.9
BX,2265.9,1994.4,2141.0,2007.1,2154.9,2118.6,2083.8,2148.9,2051.1,2165.3,0.0,2179.0,2000.3,1996.7,2109.3,1730.2,1899.7,2159.7,2120.4,2302.2,2379.6,1922.1,2049.6,2121.7,1851.3,2197.8,1846.4,1714.6,2058.2,1987.7,2120.5,2154.6,2152.6,2142.0,2105.0,2133.9,2105.9,1989.1,1957.3,2026.2,2066.2,1787.3,2177.3,1818.1,2319.0,2149.1,1820.5,1770.3,2066.8,2068.7,1822.0,2417.6,2340.3,1967.6,1869.9,2145.7,2169.8,2204.1,2115.9,1876.7,2116.5,1805.5,2189.4,2121.1,2019.0,2136.4,1917.9,1954.9,1988.7,1834.4,2302.2,2153.7,2170.7,2179.9,2403.3,2379.9,2125.4,1812.0,2393.1,2024.7,2093.1,2036.5,2353.8,1840.9,2105.1,2003.3,2314.2,1975.4,2117.9,2162.8,1963.8,2412.1,2231.5,1934.7,1962.5,2055.9,2133.2,2194.3,2075.1,2094.5,2283.6,2022.0,2034.1,2305.4,2354.9,2296.1,1902.7,1954.8,2029.4,2174.4,1901.5,1822.1,2196.5,2347.3,1976.8,1902.0,2105.2,2201.8,2124.8,2028.4,1997.6,2186.3,2025.3,2074.5,2003.1,2331.5,2265.1,2090.4,2059.0,2092.6,2309.6,2313.9,1795.3,1965.7,1963.0
CC,1368.6,305.7,1166.4,217.0,1180.3,1144.0,1109.2,89.6,1076.5,65.3,2142.6,0.0,1025.7,1022.1,1134.7,755.6,925.1,1185.1,75.2,1327.6,782.9,947.5,1075.0,259.7,876.7,35.2,871.8,740.0,1083.6,277.2,49.8,1180.0,1178.0,1167.4,243.0,88.7,1131.3,236.0,982.7,1051.6,1091.6,812.7,57.0,843.5,586.0,162.7,845.9,795.7,1092.2,1094.1,847.4,690.0,743.6,993.0,895.3,283.7,1195.2,1229.5,154.1,902.1,136.7,829.3,1214.8,1146.5,290.1,274.4,943.3,980.3,257.7,859.8,1327.6,20.2,190.9,1205.3,1455.8,648.6,145.6,837.4,1431.6,1050.1,1118.5,1061.9,1392.3,866.3,65.2,305.7,1337.1,1000.8,1143.3,72.7,306.4,680.8,1256.9,960.1,987.9,1081.3,105.3,647.4,213.1,232.5,686.9,1047.4,1059.5,1390.3,623.6,1321.5,928.1,980.2,1054.8,1199.8,926.9,847.5,1221.9,1379.3,1002.2,927.4,1130.6,19.9,145.0,1053.8,226.9,1213.3,183.3,1099.9,221.9,1356.9,668.4,1115.8,1084.4,90.5,1348.1,1339.3,820.7,991.1,988.4
CE,597.1,824.6,394.9,848.3,537.9,501.6,337.7,979.1,76.6,995.5,2028.4,1009.2,0.0,16.2,363.2,282.2,264.7,413.6,950.6,556.1,1209.8,287.1,442.4,951.9,234.3,1028.0,229.4,275.0,312.1,817.9,948.4,408.5,406.5,525.0,938.2,962.2,359.8,819.3,357.5,49.9,320.1,426.5,1004.0,339.0,1147.5,972.7,439.1,225.8,393.9,322.6,205.0,1251.5,1170.5,221.5,132.9,975.9,423.7,587.1,946.1,259.7,946.7,443.1,443.3,375.0,849.2,966.6,180.4,355.1,818.9,168.4,603.1,983.9,1000.9,433.8,684.3,1210.1,955.6,412.0,660.1,278.6,476.1,290.4,620.8,205.9,935.3,833.5,565.6,34.8,371.8,993.0,804.8,1242.3,485.4,299.7,216.4,309.8,963.4,1024.5,905.3,924.7,1113.8,275.9,361.2,618.8,1185.1,622.0,165.2,208.7,283.3,568.0,110.0,374.1,450.4,607.8,230.7,267.0,359.1,1032.0,955.0,53.9,827.8,441.8,855.5,328.4,833.3,585.4,1095.3,344.3,386.1,936.7,576.6,614.8,413.9,365.9,356.2
CO,583.6,811.1,381.4,823.8,524.4,488.1,324.2,965.6,63.1,982.0,2014.9,995.7,26.3,0.0,349.7,268.7,251.2,400.1,937.1,542.6,1196.3,273.6,428.9,938.4,220.8,1014.5,215.9,261.5,298.6,804.4,937.2,395.0,393.0,511.5,921.7,950.6,346.3,805.8,344.0,29.4,306.6,413.0,994.0,329.2,1135.7,965.8,425.6,212.3,380.4,309.1,191.5,1234.3,1157.0,208.0,119.4,962.4,410.2,573.6,932.6,246.2,933.2,431.2,429.8,361.5,835.7,953.1,166.9,341.6,805.4,154.9,589.6,970.4,987.4,420.3,670.8,1196.6,942.1,398.5,646.6,265.1,462.6,276.9,607.3,192.4,921.8,820.0,554.6,21.3,358.3,979.5,780.5,1228.8,471.9,286.2,202.9,296.3,949.9,1011.0,891.8,911.2,1100.3,262.4,347.7,605.3,1171.6,608.5,151.7,195.2,269.8,554.5,96.5,360.6,436.9,594.3,217.2,253.5,345.6,1018.5,941.5,40.4,814.3,426.7,842.0,314.9,819.8,571.9,1081.8,330.8,372.6,909.3,563.1,601.3,400.4,352.4,342.7
CQ,233.8,935.1,62.8,947.8,224.0,212.8,111.1,1089.6,395.5,1106.0,2138.9,1119.7,344.7,341.1,0.0,392.7,375.2,50.3,1061.1,192.8,1320.3,397.6,501.5,1062.4,303.7,1138.5,308.6,385.5,119.9,928.4,1061.2,45.2,43.2,238.3,1045.7,1074.6,64.6,929.8,468.0,370.6,145.6,537.0,1118.0,453.2,1259.7,1089.8,549.6,336.3,154.4,96.0,315.5,1358.3,1281.0,243.3,243.4,1086.4,60.4,231.3,1056.6,365.4,1057.2,555.2,80.0,243.3,959.7,1077.1,290.9,465.6,929.4,278.9,239.8,1094.4,1111.4,70.5,321.0,1320.6,1066.1,522.5,296.8,300.4,187.3,312.2,257.5,316.4,1045.8,944.0,204.8,319.8,8.5,1103.5,904.5,1352.8,122.1,410.2,238.2,178.1,1073.9,1135.0,1015.8,1035.2,1224.3,297.7,152.8,255.5,1295.6,258.7,275.7,230.5,128.8,204.7,245.9,484.6,143.2,244.5,134.7,377.5,227.4,1142.5,1065.5,372.8,938.3,76.9,966.0,196.7,943.8,222.1,1205.8,63.0,127.9,1033.3,213.3,251.5,524.4,476.4,201.7
CR,613.8,563.2,411.6,575.9,425.5,389.2,354.4,717.7,321.7,734.1,1767.0,747.8,270.9,267.3,379.9,0.0,170.3,430.3,689.2,572.8,948.4,192.7,319.3,690.5,121.9,766.6,117.0,13.6,328.8,556.5,689.3,425.2,423.2,412.6,673.8,702.7,376.5,557.9,263.1,296.8,336.8,57.0,746.1,87.8,887.8,717.9,90.2,40.9,337.4,339.3,92.6,986.4,909.1,238.2,140.5,714.5,440.4,474.7,684.7,147.3,685.3,75.2,460.0,391.7,587.8,705.2,188.5,260.7,557.5,105.0,572.8,722.5,739.5,450.5,701.0,948.7,694.2,81.7,676.8,295.3,363.7,307.1,637.5,111.5,673.9,572.1,584.8,246.0,388.5,731.6,532.6,980.9,502.1,205.3,233.1,326.5,702.0,763.1,643.9,663.3,852.4,292.6,304.7,635.5,923.7,566.7,173.3,225.4,300.0,445.0,172.1,91.8,467.1,624.5,247.4,172.6,375.8,770.6,693.6,299.0,566.4,456.9,594.1,345.1,571.9,602.1,833.9,361.0,329.6,661.4,593.3,584.5,65.0,271.5,233.6
