from_stop,AE,AG,AJ,AM,AR,AT,AW,BA,BR,CF,CG,CN,CP,CR,CS,CT,CW,CX,DA,DF,DG,DH,DI,DJ,DL,DN,DO,DQ,DU,DZ,EG,EI,EK,EM,ET,EV,FA,FG,FP,FU,FW,GD,GQ,GR,GT,GU,GV,HE,HH,HK,HO,HZ,IA,IF,IN,IO,IV,IW,IY,JA,JD,JG,JR,JU,JW,KE,KG,KH,KJ,KK,KO,KQ,KU,KW,KZ,LE,LK,LX,MB,MG,MM,MP,MT,MW,NF,NL,NS,NW,NZ,OA,OC,OE,OG,OH,OJ,OO,OT,OU,OW,PB,PG,PM,PO,PR,PT,PW,QC,QD,QI,QN,QT,QU,QV,RB,RI,RO,RT,RY,RZ,SA,ST,SX,TC,TE,TL,TT,TZ,UD,UF,UG,UI,UM,UN,UP,UZ,VA,VJ,VM,VW,VX,VZ,WH,WJ,WZ,XD,XE,XI,XN,XO,XS,XY,YA,YG,YH,YP,YV,ZB,ZG,ZI,ZN,ZR,ZS,ZT
AE,0.0,477.6,374.0,736.9,281.7,522.6,357.3,277.7,872.8,823.2,408.7,817.4,426.5,253.7,269.1,181.3,294.4,419.2,423.9,213.1,763.9,59.7,74.1,465.9,394.6,760.1,188.7,267.1,293.9,1981.8,336.3,256.0,738.8,371.3,288.7,63.5,108.5,830.3,338.9,912.4,472.6,85.7,338.3,425.8,442.5,790.7,235.2,376.2,324.6,314.6,804.5,349.6,318.9,528.5,432.1,102.0,602.0,279.9,696.7,226.3,554.6,683.7,324.4,305.0,315.7,235.2,207.2,378.3,329.3,283.1,426.5,449.2,404.3,856.3,728.7,355.2,673.3,801.0,409.1,258.0,329.7,78.7,33.7,215.8,430.1,197.8,743.6,392.5,324.2,381.6,333.0,812.2,434.2,513.0,88.4,249.3,411.9,447.0,492.9,703.4,92.1,386.5,321.8,342.9,451.0,465.4,848.8,560.5,265.8,269.5,259.9,733.3,323.3,253.7,736.4,737.4,302.9,259.9,658.1,239.6,826.0,339.8,49.0,109.2,339.2,310.5,707.0,732.0,51.0,406.6,252.0,378.4,385.1,16.8,720.8,363.8,752.5,224.6,706.5,511.7,283.6,11.4,274.5,306.4,617.8,398.3,402.9,387.8,189.9,228.2,228.0,713.3,270.8,280.8,853.5,451.3,780.3,348.6,864.0,427.5,428.5,412.9,288.4
AG,498.2,0.0,102.6,548.0,493.8,117.4,587.4,268.0,467.6,424.5,638.8,408.9,656.6,483.8,481.2,411.4,506.5,649.3,654.0,425.2,584.6,556.1,570.1,296.8,624.7,351.6,398.8,479.2,506.0,2029.3,185.1,486.1,333.6,202.2,500.8,559.9,570.5,625.9,547.6,507.2,31.2,584.0,269.2,253.4,672.6,601.2,447.3,606.3,536.7,526.7,399.3,195.2,545.4,123.3,662.2,598.4,193.5,243.5,291.5,438.4,146.1,278.5,554.5,517.1,527.8,447.3,478.3,573.6,186.8,501.9,656.6,280.1,634.4,446.6,495.9,197.7,268.1,641.7,143.2,470.1,275.0,575.1,536.9,427.9,660.2,409.9,564.3,146.2,519.4,212.5,263.9,407.0,666.0,32.0,584.8,246.0,93.4,677.1,92.3,300.8,586.9,616.6,538.3,264.7,278.6,695.5,440.3,155.3,477.9,499.6,472.0,554.0,553.4,465.8,557.1,567.7,533.0,490.0,705.6,258.9,666.7,537.8,545.4,605.6,569.3,540.6,534.0,560.3,549.3,636.7,464.1,128.3,98.9,515.0,315.6,194.7,347.3,436.7,301.3,342.6,249.9,507.8,486.6,536.5,209.3,131.8,633.0,617.9,399.2,440.3,440.1,530.7,500.9,510.9,448.3,681.4,641.4,229.1,458.8,258.4,259.4,643.0,236.3
AJ,402.1,103.5,0.0,579.1,397.7,148.5,491.3,165.3,498.7,455.6,542.7,440.0,560.5,387.7,385.1,315.3,410.4,553.2,557.9,329.1,615.7,460.0,474.0,194.1,528.6,382.7,302.7,383.1,409.9,1962.4,143.1,390.0,364.7,99.5,404.7,463.8,474.4,657.0,451.5,538.3,98.5,487.9,227.2,150.7,576.5,632.3,351.2,510.2,440.6,430.6,430.4,92.5,449.3,154.4,566.1,502.3,224.6,201.5,322.6,342.3,177.2,309.6,458.4,421.0,431.7,351.2,382.2,477.5,84.1,405.8,560.5,177.4,538.3,477.7,527.0,155.7,299.2,672.8,35.0,374.0,172.3,479.0,440.8,331.8,564.1,313.8,595.4,43.5,423.3,109.8,221.9,438.1,569.9,135.6,488.7,204.0,51.4,581.0,118.8,331.9,490.8,520.5,442.2,188.1,175.9,599.4,471.4,186.4,381.8,403.5,375.9,585.1,457.3,369.7,588.2,598.8,436.9,393.9,638.7,216.9,697.8,441.7,449.3,509.5,473.2,444.5,565.1,591.4,453.2,540.6,368.0,86.3,3.6,418.9,346.7,92.0,378.4,340.6,332.4,239.9,151.2,411.7,390.5,440.4,240.4,88.4,536.9,521.8,303.1,344.2,344.0,561.8,404.8,414.8,479.4,585.3,672.5,126.4,489.9,155.7,156.7,546.9,133.6
AM,698.0,588.7,598.9,0.0,865.3,518.4,940.9,764.3,212.8,219.1,992.3,203.5,1010.1,837.3,852.7,764.9,878.0,1002.8,1007.5,796.7,120.3,755.9,769.9,793.1,978.2,310.0,772.3,850.7,877.5,1864.4,681.4,839.6,432.4,698.5,872.3,759.7,805.9,77.8,922.5,155.9,583.7,783.8,765.5,749.7,1026.1,68.2,818.8,959.8,908.2,898.2,279.2,691.5,902.5,454.7,1015.7,798.2,507.5,739.8,390.3,809.9,409.3,377.3,908.0,888.6,899.3,818.8,713.7,961.9,683.1,873.4,1010.1,776.4,987.9,184.2,67.1,694.0,340.3,108.7,639.5,841.6,771.3,774.9,736.7,799.4,1013.7,763.4,100.0,642.5,907.8,708.8,760.2,286.9,1019.5,620.8,784.6,742.3,589.7,1030.6,570.0,334.3,822.3,970.1,909.8,761.0,774.9,1049.0,123.5,399.7,849.4,853.1,843.5,89.7,906.9,837.3,92.8,133.5,886.5,843.5,246.2,755.2,133.7,923.4,745.2,805.4,922.8,894.1,99.8,126.1,749.1,990.2,835.6,624.6,595.2,714.8,291.3,691.0,259.7,808.2,374.7,838.9,746.2,707.6,858.1,890.0,345.6,628.1,986.5,971.4,770.7,811.8,811.6,66.4,854.4,864.4,193.5,1034.9,108.4,725.4,104.8,754.7,755.7,996.5,732.6
AR,220.8,432.3,328.7,809.0,0.0,477.3,302.8,232.4,827.5,784.4,354.2,768.8,372.0,194.0,169.0,154.0,123.2,364.7,369.4,95.0,894.3,278.7,292.7,420.6,355.8,711.5,161.4,100.0,134.3,1936.5,291.0,228.7,693.5,326.0,188.6,282.5,293.1,785.0,235.4,867.1,427.3,306.6,293.0,377.2,388.0,740.3,65.2,321.7,165.0,129.5,759.2,292.4,233.2,483.2,377.6,321.0,553.4,234.6,651.4,47.7,506.0,638.4,297.1,145.4,124.2,144.9,200.9,261.4,284.0,98.3,372.0,403.9,349.8,806.5,841.1,303.6,628.0,755.7,363.8,131.2,284.4,297.7,259.5,102.7,375.6,152.5,874.0,347.2,207.2,336.3,287.7,766.9,397.1,464.4,307.4,204.0,366.6,408.2,447.6,660.7,309.5,332.0,134.7,297.6,402.4,410.9,800.2,515.2,51.2,242.2,68.4,863.7,296.0,62.2,866.8,897.4,275.6,195.4,612.8,194.3,780.7,225.6,268.0,328.2,311.9,283.2,863.7,890.0,271.9,352.1,29.9,333.1,332.4,237.6,675.5,325.1,707.2,111.5,661.2,466.4,238.3,230.4,83.0,279.1,569.2,348.9,348.4,333.3,106.4,128.1,114.9,840.4,206.6,253.5,808.2,396.8,735.0,303.3,818.7,382.2,383.2,358.4,243.1
AT,547.7,141.9,152.1,522.2,543.3,0.0,636.9,317.5,441.8,398.7,688.3,383.1,706.1,533.3,530.7,460.9,556.0,698.8,703.5,474.7,558.8,605.6,619.6,346.3,674.2,325.8,448.3,528.7,555.5,2078.8,234.6,535.6,307.8,251.7,550.3,609.4,620.0,600.1,597.1,481.4,136.9,633.5,318.7,302.9,722.1,575.4,496.8,655.8,586.2,576.2,373.5,244.7,594.9,97.5,711.7,647.9,167.7,293.0,265.7,487.9,120.3,252.7,604.0,566.6,577.3,496.8,527.8,617.3,236.3,551.4,706.1,329.6,683.9,420.8,470.1,247.2,242.3,615.9,192.7,519.6,324.5,624.6,586.4,477.4,709.7,459.4,538.5,195.7,568.9,262.0,313.4,381.2,715.5,174.0,634.3,295.5,142.9,726.6,123.2,275.0,636.4,666.1,587.8,314.2,328.1,745.0,414.5,129.5,527.4,549.1,521.5,528.2,602.9,515.3,531.3,541.9,582.5,539.5,755.1,308.4,640.9,587.3,594.9,655.1,618.8,590.1,508.2,534.5,598.8,686.2,513.6,177.8,148.4,564.5,289.8,244.2,321.5,486.2,275.5,392.1,299.4,557.3,536.1,586.0,183.5,181.3,682.5,667.4,448.7,489.8,489.6,504.9,550.4,560.4,422.5,730.9,615.6,278.6,433.0,307.9,308.9,692.5,285.8
AW,355.6,592.4,488.8,969.1,328.4,637.4,0.0,392.5,987.6,944.5,51.3,928.9,100.9,207.1,151.0,201.3,270.2,93.6,145.4,266.4,1054.4,413.5,427.5,580.7,52.9,871.6,242.2,254.9,231.0,2078.8,451.1,229.4,853.6,486.1,130.4,417.3,427.9,945.1,136.5,1027.2,587.4,441.4,453.1,537.3,171.8,900.4,245.5,50.6,261.7,276.0,919.3,452.5,152.3,643.3,132.1,455.8,713.5,394.7,811.5,259.6,666.1,798.5,99.4,242.1,349.0,184.8,335.7,165.2,444.1,295.7,100.9,564.0,133.6,966.6,1001.2,463.7,788.1,915.8,523.9,195.1,444.5,432.5,394.3,246.1,138.0,202.8,1034.1,507.3,111.1,496.4,447.8,927.0,94.2,624.5,442.2,364.1,526.7,105.3,607.7,820.8,444.3,60.9,359.5,457.7,562.5,180.7,960.3,675.3,294.6,213.8,293.2,1023.8,70.4,287.0,1026.9,1057.5,204.9,198.5,772.9,354.4,940.8,126.7,402.8,463.0,121.9,137.9,1023.8,1050.1,406.7,81.0,289.4,493.2,492.5,372.4,835.6,485.2,867.3,254.9,821.3,626.5,398.4,365.2,307.8,88.0,729.3,509.0,45.5,62.2,271.7,192.0,258.3,1000.5,176.0,182.8,968.3,116.2,895.1,463.4,978.8,542.3,543.3,87.3,403.2
BA,318.6,261.7,158.1,737.3,314.2,306.7,407.8,0.0,656.9,613.8,459.2,598.2,477.0,304.2,301.6,231.8,326.9,469.7,474.4,245.6,773.9,376.5,390.5,250.0,445.1,540.9,219.2,299.6,326.4,1878.9,127.7,306.5,522.9,155.4,321.2,380.3,390.9,727.4,368.0,696.5,256.7,404.4,145.0,206.6,493.0,682.7,267.7,426.7,357.1,347.1,588.6,121.8,365.8,312.6,482.6,418.8,382.8,119.3,480.8,258.8,335.4,467.8,374.9,337.5,348.2,267.7,298.7,394.0,113.4,322.3,477.0,233.3,454.8,635.9,685.2,140.3,457.4,698.1,193.2,290.5,113.8,395.5,357.3,248.3,480.6,230.3,753.6,176.6,339.8,165.7,139.7,596.3,486.4,293.8,405.2,110.0,203.3,497.5,277.0,490.1,407.3,437.0,358.7,127.0,231.8,515.9,629.6,344.6,298.3,320.0,292.4,743.3,373.8,286.2,746.4,757.0,353.4,310.4,555.2,122.9,723.1,358.2,365.8,426.0,389.7,361.0,723.3,749.6,369.7,457.1,284.5,169.8,161.8,335.4,504.9,154.5,536.6,257.1,490.6,295.8,49.7,328.2,307.0,356.9,398.6,178.3,453.4,438.3,219.6,260.7,260.5,720.0,321.3,331.3,637.6,501.8,677.4,132.7,648.1,211.6,212.6,463.4,72.5
BR,817.5,523.4,533.6,196.9,924.8,453.1,1060.4,699.0,0.0,164.4,1111.8,148.8,1129.6,956.8,912.2,884.4,937.5,1122.3,1127.0,856.2,233.5,875.4,889.4,727.8,1097.7,193.0,829.8,910.2,937.0,2046.3,616.1,959.1,331.5,633.2,931.8,879.2,925.4,274.8,978.6,156.1,518.4,903.3,700.2,684.4,1145.6,250.1,878.3,1079.3,967.7,957.7,162.2,626.2,976.4,389.4,1135.2,917.7,442.2,674.5,289.4,869.4,344.0,276.4,1027.5,948.1,958.8,878.3,833.2,1004.6,617.8,932.9,1129.6,711.1,1107.4,129.5,144.8,628.7,223.3,290.6,574.2,901.1,706.0,894.4,856.2,858.9,1133.2,882.9,213.2,577.2,950.4,643.5,694.9,169.9,1139.0,555.5,904.1,677.0,524.4,1150.1,504.7,279.6,941.8,1089.6,969.3,695.7,709.6,1168.5,89.2,334.4,908.9,972.6,903.0,202.9,1026.4,896.8,206.0,216.6,1006.0,963.0,428.1,689.9,315.6,968.8,864.7,924.9,1042.3,1013.6,182.9,209.2,868.6,1109.7,895.1,559.3,529.9,834.3,236.6,625.7,142.7,867.7,257.7,773.6,680.9,827.1,917.6,1009.5,280.3,562.8,1106.0,1090.9,830.2,871.3,871.1,179.6,973.9,983.9,32.8,1154.4,290.3,660.1,107.7,689.4,690.4,1116.0,667.3
CF,843.6,444.2,454.4,218.1,845.6,373.9,939.2,619.8,159.3,0.0,990.6,17.7,1008.4,835.6,833.0,763.2,858.3,1001.1,1005.8,777.0,254.7,896.6,911.0,648.6,976.5,256.5,750.6,831.0,857.8,2067.5,536.9,837.9,287.9,554.0,852.6,900.4,946.6,296.0,899.4,177.3,431.8,924.5,621.0,597.8,1024.4,266.8,799.1,958.1,888.5,878.5,225.7,558.9,897.2,310.2,1014.0,938.9,355.6,595.3,245.8,790.2,264.8,232.8,906.3,868.9,879.6,799.1,847.9,912.2,538.6,843.7,1008.4,631.9,978.8,121.2,166.0,555.8,222.4,304.4,487.6,821.9,626.8,915.6,877.4,779.7,1012.0,779.7,234.4,498.0,871.2,564.3,615.7,233.4,1016.1,468.9,925.3,597.8,445.2,1028.9,425.5,199.0,963.0,968.4,885.7,616.5,630.4,1047.3,110.4,247.8,829.7,851.4,816.4,224.1,905.2,817.6,227.2,237.8,884.8,841.8,449.3,610.7,336.8,889.6,885.9,946.1,921.1,892.4,196.7,232.4,889.8,988.5,808.5,480.1,471.0,855.5,146.8,539.9,206.2,788.5,255.6,694.4,601.7,848.3,838.4,888.3,201.1,479.5,984.8,969.7,753.8,792.1,791.9,200.8,852.7,862.7,140.0,1033.2,311.5,580.9,128.9,610.2,603.8,994.8,588.1
