from_stop,AB,AE,AF,AH,AN,AO,AP,AW,AX,AZ,CF,CG,CH,CJ,CX,DL,DZ,EF,EJ,EQ,EW,FH,FM,FU,FW,FX,FY,GB,GC,GD,GE,GH,GN,GQ,GS,GW,GX,GY,HD,HH,HK,HS,HT,IE,IJ,IX,JG,JR,JS,JU,JV,JX,JY,KF,KJ,KK,KO,KS,KT,KZ,LQ,LU,LV,LX,LY,MY,NG,NT,NW,NZ,OB,OG,OK,OP,PI,PN,PQ,PT,PW,PX,QC,QD,QH,QM,QO,RC,RN,RU,RV,SF,SN,SW,SX,SY,SZ,TG,TM,TP,TS,UO,US,UT,VB,VF,VU,VY,WS,WX,XN,YA,YJ,YK,YQ,YZ,ZC,ZH,ZQ
AB,0.0,614.7,517.4,220.9,636.8,284.6,727.2,308.6,628.5,451.5,504.9,616.5,624.5,150.0,180.3,617.7,640.8,561.7,611.0,440.1,399.7,438.9,429.8,537.7,160.6,84.3,636.2,247.7,236.2,583.3,293.2,552.1,568.7,347.5,459.0,521.5,1990.3,202.5,506.5,497.7,578.6,383.5,51.7,129.0,496.2,622.6,649.5,464.0,135.2,439.4,616.5,623.1,504.7,605.3,583.5,592.0,549.6,557.6,590.8,365.2,542.5,196.5,66.5,140.9,616.5,232.1,578.9,153.2,601.1,592.2,577.4,87.2,459.4,181.9,546.6,605.0,117.9,387.5,80.2,154.0,78.8,149.0,100.1,597.0,546.1,441.8,604.4,157.6,730.0,474.5,359.8,78.4,87.7,619.1,124.5,146.9,593.7,390.3,132.9,218.8,216.1,653.9,727.2,533.5,516.9,244.0,496.1,487.1,633.8,621.4,166.8,531.2,382.6,553.9,111.7,313.1,603.7
AE,607.2,0.0,277.4,786.3,250.2,850.0,178.1,587.1,969.7,353.0,202.5,265.2,1002.7,515.5,751.7,230.4,1019.0,182.5,308.6,457.4,965.1,332.4,337.6,125.8,516.5,655.7,1023.5,637.9,628.9,274.5,858.6,368.7,266.3,912.9,1024.4,219.1,1802.0,767.9,291.3,257.7,295.0,329.1,545.5,700.4,205.9,941.4,262.2,1029.4,700.6,347.2,265.2,962.9,202.3,967.0,204.3,1010.6,260.8,145.7,297.7,930.6,155.9,767.9,563.0,516.0,265.2,525.9,1030.5,509.1,332.2,213.0,437.7,658.6,422.1,547.4,214.9,336.1,566.4,952.9,613.7,519.5,644.2,539.2,596.6,238.0,159.5,459.1,137.2,457.1,180.9,234.5,638.3,574.9,659.1,960.3,689.9,512.4,229.2,336.5,516.4,446.0,509.9,267.3,178.1,158.2,214.5,815.4,1061.5,258.1,997.6,157.8,532.3,316.0,948.0,285.0,470.2,591.6,418.7
AF,537.2,290.1,0.0,716.3,243.2,780.0,278.6,486.8,973.1,207.7,279.6,173.7,1006.1,463.5,681.7,174.9,1022.4,227.7,385.7,312.1,895.1,310.9,192.3,265.1,489.7,585.7,1026.9,492.5,481.0,140.5,788.6,325.2,343.4,842.9,954.4,296.2,1805.4,697.9,63.7,92.0,135.8,183.8,475.5,630.4,251.1,944.8,206.7,959.4,630.6,201.9,173.7,966.3,279.4,970.4,249.5,1024.0,106.8,258.4,148.0,860.6,173.8,697.9,493.0,370.6,173.7,447.3,1033.9,482.3,158.3,258.2,449.4,588.6,331.4,495.4,181.5,162.2,496.4,882.9,543.7,467.5,574.2,393.8,526.6,204.6,170.5,313.8,161.6,405.0,281.4,96.8,538.0,504.9,589.1,963.7,619.9,460.4,155.7,190.6,378.6,345.7,431.3,260.3,278.6,302.9,291.6,745.4,991.5,243.5,1001.0,291.8,480.3,88.4,878.0,111.1,443.4,491.3,385.3
AH,219.5,812.4,715.1,0.0,834.5,63.6,924.9,506.3,407.5,649.2,702.6,814.2,403.5,347.7,143.2,815.4,419.8,759.4,808.7,637.8,178.7,636.6,627.5,735.4,358.3,260.4,415.2,445.4,433.9,781.0,72.2,741.3,766.4,126.5,238.0,719.2,2179.9,18.3,704.2,695.4,776.3,581.2,249.4,137.9,693.9,401.6,847.2,243.0,255.9,637.1,814.2,402.1,702.4,384.3,781.2,361.0,747.3,755.3,788.5,144.2,740.2,159.4,264.2,338.6,814.2,429.8,357.9,350.9,798.8,801.0,775.1,263.3,657.1,379.6,744.3,802.7,315.6,166.5,277.9,351.7,199.5,346.7,297.8,794.7,743.8,639.5,802.1,355.3,927.7,672.2,557.5,276.1,181.6,398.1,245.2,344.6,791.4,588.6,330.6,416.5,413.8,851.6,924.9,731.2,714.6,91.9,275.1,684.8,412.8,819.1,364.5,728.9,161.6,751.6,309.4,510.8,801.4
AN,655.4,237.4,249.9,834.5,0.0,898.2,225.9,635.0,1017.9,375.3,211.1,218.6,1050.9,563.7,799.9,188.1,1067.2,159.2,317.2,323.9,1013.3,236.9,359.9,212.4,564.7,703.9,1071.7,640.7,631.7,214.2,906.8,273.2,274.9,961.1,1072.6,227.7,1850.2,816.1,217.0,294.0,234.7,351.4,593.7,748.6,182.6,989.6,219.9,1077.6,748.8,369.5,218.6,1011.1,210.9,1015.2,181.0,1058.8,200.5,205.7,237.4,978.8,105.3,816.1,611.2,518.8,218.6,595.5,1078.7,557.3,271.9,189.7,342.2,706.8,326.6,595.6,119.4,275.8,614.6,1001.1,661.9,567.7,692.4,542.0,644.8,142.5,102.0,356.1,156.8,505.3,228.7,298.8,686.2,623.1,707.3,1008.5,738.1,560.6,111.6,358.8,526.8,493.9,579.5,17.0,225.9,259.3,223.1,863.6,1109.7,306.3,1045.8,239.1,580.5,253.7,996.2,224.7,518.4,639.5,323.2
AO,282.7,875.6,778.3,63.1,897.7,0.0,988.1,569.5,343.8,712.4,765.8,877.4,339.8,410.9,206.4,878.6,356.1,822.6,871.9,701.0,115.0,699.8,690.7,798.6,421.5,323.6,351.5,508.6,499.6,844.2,79.9,814.6,829.6,62.8,174.3,782.4,2116.2,81.5,767.4,758.6,824.8,644.4,312.6,201.1,757.1,337.9,910.4,179.3,319.1,700.3,877.4,338.4,765.6,320.6,844.4,297.3,810.5,818.5,851.7,80.5,803.4,222.6,327.4,401.8,877.4,493.0,294.2,414.1,862.0,853.1,838.3,326.5,720.3,442.8,809.6,865.9,378.8,102.8,341.1,414.9,262.7,409.9,361.0,857.9,807.0,702.7,865.3,418.5,990.9,735.4,620.7,339.3,244.8,334.4,308.4,407.8,854.6,651.8,393.8,479.7,477.0,914.8,988.1,794.4,777.8,155.1,211.4,748.0,349.1,882.3,427.7,792.1,97.9,814.8,372.6,574.0,864.6
AP,640.6,178.8,310.8,819.7,259.4,883.4,0.0,620.5,1003.1,386.4,235.9,274.4,1036.1,548.9,785.1,239.6,1052.4,191.7,342.0,490.8,998.5,341.6,371.0,159.2,549.9,689.1,1056.9,671.3,662.3,283.7,892.0,377.9,299.7,946.3,1057.8,252.5,1835.4,801.3,286.5,291.1,304.2,362.5,578.9,733.8,215.1,974.8,271.4,1062.8,734.0,380.6,274.4,996.3,235.7,1000.4,213.5,1044.0,270.0,165.1,306.9,964.0,165.1,801.3,596.4,549.4,274.4,559.3,1063.9,542.5,341.4,222.2,446.9,692.0,431.3,580.8,224.1,345.3,599.8,986.3,647.1,552.9,677.6,572.6,630.0,247.2,168.7,492.5,146.4,490.5,2.7,267.9,671.7,608.3,692.5,993.7,723.3,545.8,238.4,369.9,549.8,479.4,543.3,276.5,0.0,191.6,247.9,848.8,1094.9,291.5,1031.0,180.5,565.7,323.2,981.4,294.2,503.6,625.0,427.9
AW,327.4,736.4,515.1,506.5,673.7,570.2,724.9,0.0,706.7,449.2,600.1,614.2,625.4,253.7,471.9,615.4,641.7,656.9,706.2,437.8,685.3,436.6,427.5,632.9,284.3,375.9,690.9,155.7,126.3,581.0,578.8,551.4,663.9,633.1,744.6,616.7,1754.0,488.1,504.2,495.4,561.6,381.2,265.7,420.6,591.4,661.6,647.2,749.6,420.8,437.1,614.2,635.2,599.9,617.4,678.7,748.8,547.3,652.8,588.5,650.8,604.3,488.1,283.2,195.9,614.2,287.1,768.7,276.9,598.8,687.4,575.1,378.8,457.1,285.6,546.4,602.7,286.6,673.1,333.9,257.7,364.4,172.7,316.8,594.7,601.0,439.5,602.1,244.8,727.7,472.2,123.5,295.1,379.3,697.3,410.1,250.6,596.2,388.6,187.9,171.9,271.1,690.8,724.9,614.4,612.1,535.6,781.7,582.3,735.8,738.1,270.5,528.9,668.2,551.6,235.4,76.8,601.4
AX,603.9,1196.8,1099.5,384.3,1218.9,321.1,1309.3,655.9,0.0,1033.6,1087.0,1198.6,145.9,732.1,527.6,1199.8,162.2,1143.8,1193.1,1022.2,298.4,1021.0,1011.9,1119.8,742.7,644.8,94.6,719.3,689.9,1165.4,401.1,1135.8,1150.8,315.8,242.4,1103.6,1887.0,402.7,1088.6,1079.8,1146.0,965.6,633.8,522.3,1078.3,55.6,1231.6,247.4,640.3,1021.5,1198.6,74.4,1086.8,89.8,1165.6,99.7,1131.7,1139.7,1172.9,308.9,1124.6,543.8,648.6,723.0,1198.6,814.2,119.6,735.3,1183.2,1174.3,1159.5,647.7,1041.5,764.0,1130.8,1187.1,700.0,286.2,662.3,736.1,583.9,736.3,682.2,1179.1,1128.2,1023.9,1186.5,739.7,1312.1,1056.6,604.3,660.5,566.0,11.2,629.6,729.0,1175.8,973.0,715.0,735.5,798.2,1236.0,1309.3,1115.6,1099.0,476.3,279.5,1069.2,86.7,1203.5,748.9,1113.3,326.3,1136.0,693.8,585.2,1185.8
AZ,477.2,384.2,199.9,656.3,368.5,720.0,403.9,426.8,1001.1,0.0,307.3,299.0,1034.1,403.5,621.7,300.2,1050.4,364.1,413.4,252.1,835.1,250.9,79.7,307.2,429.7,525.7,1054.9,432.5,423.5,265.8,728.6,365.7,371.1,782.9,894.4,323.9,1833.4,637.9,189.0,180.2,246.4,123.8,415.5,570.4,298.6,972.8,332.0,899.4,570.6,31.7,299.0,994.3,307.1,998.4,385.9,1042.0,232.1,327.1,273.3,800.6,299.1,637.9,433.0,310.6,299.0,387.3,1061.9,422.3,283.6,394.6,389.4,528.6,271.4,435.4,306.8,287.5,436.4,822.9,483.7,407.5,514.2,333.8,466.6,329.9,295.8,253.8,286.9,345.0,406.7,157.0,478.0,444.9,529.1,991.7,559.9,400.4,281.0,131.2,318.6,285.7,371.3,385.6,403.9,299.2,319.3,685.4,931.5,271.5,1029.0,390.9,420.3,213.7,818.0,236.4,383.4,431.3,415.7
