from_stop,AI,AP,BA,BR,BX,BZ,CA,CI,CJ,CV,CW,CY,CZ,DO,EK,EL,EP,ER,FC,FH,FR,FV,GI,GP,GR,GW,GX,HK,HL,HO,HQ,HY,ID,IM,IV,IY,JE,JX,KB,KC,KD,KH,KI,KJ,KN,KO,KV,LI,LX,MJ,NA,NH,NI,NM,NO,NR,NZ,OE,OF,OJ,OQ,OS,OX,PA,PB,PP,PU,QJ,QL,RG,SG,SN,SV,TF,TM,TX,UK,UW,UZ,VB,VG,VH,VJ,VM,VW,WS,WU,XO,XR,XT,YA,YR,YV,YZ,ZL
AI,0.0,112.6,390.5,79.5,443.5,331.8,111.4,175.6,233.6,314.3,329.7,184.2,271.7,182.4,88.9,419.4,350.1,401.5,419.9,192.7,311.8,36.0,195.0,314.7,146.2,282.1,78.1,435.1,266.7,274.1,346.6,291.6,75.6,138.7,393.6,243.4,116.7,310.0,378.2,99.7,190.5,22.2,99.9,2177.1,264.2,78.4,163.1,299.0,308.0,302.6,248.1,224.9,327.9,119.2,267.9,249.1,209.4,212.4,325.8,389.8,91.4,405.8,189.8,252.0,329.2,332.7,311.3,255.3,205.0,139.1,467.0,218.9,93.5,330.5,382.2,315.9,321.4,133.8,149.6,8.8,116.7,288.3,444.4,199.7,405.6,458.0,114.5,313.8,361.5,197.3,173.7,410.6,244.2,274.2,94.9
AP,108.7,0.0,427.2,99.9,502.9,396.4,148.1,212.3,281.8,387.7,393.4,220.9,317.6,247.0,116.5,451.0,386.8,480.6,505.4,252.7,385.2,70.3,277.1,365.8,184.7,310.3,96.8,494.5,331.3,312.6,383.3,345.2,112.3,175.4,449.0,298.0,140.7,338.2,406.5,164.3,214.7,131.0,90.8,2236.5,315.1,97.1,199.8,364.2,344.7,330.8,262.4,252.7,355.7,178.0,308.4,289.6,257.3,277.0,362.5,417.6,156.0,454.7,208.0,298.7,365.9,369.4,391.0,328.1,251.7,204.1,550.1,283.5,130.2,358.3,418.9,380.5,433.5,198.4,157.4,99.2,155.2,328.8,501.1,208.6,488.4,546.6,1.8,362.0,415.1,257.7,212.2,467.3,309.4,325.3,79.8
BA,392.2,473.3,0.0,353.5,166.1,577.9,278.2,257.7,190.2,408.9,711.0,237.2,373.7,563.7,349.9,115.8,149.8,10.9,142.5,399.8,406.4,353.8,190.7,423.3,527.5,404.3,386.2,157.7,648.0,655.4,127.0,414.4,313.9,265.4,103.2,381.0,456.8,432.2,365.2,481.0,496.7,434.3,390.8,2136.9,357.4,440.2,232.4,149.1,153.9,424.8,512.7,432.0,412.4,333.5,402.4,421.2,317.9,593.7,147.0,452.3,472.7,88.1,396.9,406.1,66.7,123.3,397.8,390.1,412.1,307.9,120.8,600.2,318.6,537.6,131.3,490.1,416.0,515.1,439.4,408.1,482.8,382.0,134.0,412.8,152.3,111.8,471.4,288.4,474.9,578.6,555.0,157.3,185.7,413.8,422.9
BR,97.8,144.7,365.7,0.0,411.2,420.9,117.2,174.4,181.8,320.1,417.9,199.2,276.7,271.5,24.8,389.0,355.9,381.1,387.6,198.5,317.6,59.4,151.5,320.5,235.3,287.9,31.5,402.8,355.8,363.2,352.4,297.4,81.4,144.5,349.5,249.2,165.2,315.8,338.9,188.8,223.4,163.5,101.2,2144.8,266.3,107.5,168.9,264.7,283.7,308.4,271.1,230.7,333.7,86.3,317.1,298.3,208.5,301.5,331.6,395.6,180.5,355.2,216.7,257.8,303.9,338.5,317.1,261.1,210.8,112.4,424.5,308.0,99.3,336.3,355.7,301.5,328.8,224.5,166.1,115.9,192.2,337.5,401.6,217.3,362.8,421.0,116.7,262.5,367.3,282.2,264.4,367.8,209.9,280.0,90.2
BX,461.0,518.0,151.6,446.6,0.0,607.8,402.5,372.9,341.9,518.6,742.7,346.9,483.4,666.7,378.2,190.1,191.6,140.9,17.5,507.8,516.1,422.6,315.0,533.0,630.5,514.0,419.9,6.2,679.7,687.1,149.6,532.2,412.8,376.9,166.4,490.7,559.8,541.9,494.5,584.0,525.0,554.5,419.1,2166.8,467.1,468.5,356.7,286.2,305.6,534.5,572.7,540.0,513.6,427.5,512.1,530.9,427.6,629.1,169.6,569.8,575.7,110.7,504.9,515.8,201.5,187.1,515.6,499.8,520.1,401.9,36.4,625.4,426.6,542.9,244.5,520.0,525.7,618.1,467.7,511.1,601.0,491.7,86.5,518.9,104.8,45.1,516.1,416.1,554.1,596.8,658.0,109.8,337.4,525.1,451.2
BZ,317.2,349.4,535.0,345.3,587.3,0.0,263.2,327.4,340.9,245.6,291.8,336.0,216.8,193.5,297.6,571.2,501.9,546.0,604.9,133.1,211.5,278.8,340.7,201.6,277.0,227.2,340.1,593.6,228.8,236.2,498.4,163.2,238.9,290.5,538.9,260.1,285.2,255.1,256.6,294.0,192.8,339.5,249.6,2397.1,257.1,296.3,314.9,444.5,459.8,247.7,142.0,103.6,134.6,253.0,186.5,167.7,269.2,178.2,477.6,204.2,276.0,557.6,203.4,197.1,481.0,484.5,182.9,200.4,150.1,279.6,623.8,174.5,245.3,92.0,534.0,69.1,201.1,238.4,248.2,307.7,252.2,206.9,591.0,162.0,552.2,609.8,347.5,446.3,175.1,145.9,227.9,557.2,389.7,169.5,279.0
CA,134.3,173.1,304.0,143.6,421.9,350.0,0.0,89.1,147.1,227.8,461.3,97.7,238.2,301.3,97.8,332.9,263.6,315.0,402.2,159.2,225.3,95.9,108.5,242.2,265.1,248.6,146.4,428.2,385.6,376.6,260.1,258.1,56.0,52.2,307.1,156.9,194.4,276.5,291.7,218.6,216.3,156.6,110.4,2183.8,177.7,159.8,76.6,212.5,221.5,269.1,256.9,191.4,294.4,53.2,234.4,215.6,125.5,331.3,239.3,356.3,210.3,319.3,156.3,218.5,242.7,246.2,277.8,221.8,171.5,27.6,380.5,337.8,78.0,297.0,295.7,262.2,234.9,252.7,159.0,124.8,235.6,254.8,355.6,172.2,316.8,371.5,171.2,227.3,328.0,293.4,292.6,321.8,157.7,240.7,142.5
CI,187.8,226.6,249.0,169.6,367.4,392.1,80.8,0.0,131.5,214.4,503.4,24.7,181.9,389.7,132.4,295.4,267.0,260.0,343.8,201.3,211.9,149.4,53.5,227.3,353.5,198.5,185.1,359.0,474.0,418.7,263.5,249.6,109.5,37.7,250.8,142.3,282.8,226.4,278.3,307.0,297.2,210.1,190.5,2209.8,163.1,237.2,26.1,157.5,171.4,219.0,299.0,233.5,336.5,87.8,211.6,230.4,110.9,419.7,242.7,305.4,298.7,270.1,177.4,200.3,205.2,249.6,211.4,190.8,213.6,62.2,336.7,426.2,120.1,339.1,306.6,304.3,221.5,341.1,230.9,178.3,308.8,206.9,302.9,214.3,264.1,322.3,224.7,211.7,280.4,335.5,381.0,269.1,102.7,234.1,219.9
CJ,264.8,283.0,194.0,162.7,360.2,400.3,146.2,129.0,0.0,328.6,520.7,153.8,288.5,373.4,159.6,260.5,321.6,205.4,336.6,209.5,326.1,181.8,109.9,331.5,337.2,298.9,195.9,351.8,457.7,465.1,304.7,308.4,141.9,102.3,297.3,262.2,265.7,326.8,392.5,290.7,306.4,244.0,200.5,2105.9,283.0,249.9,133.1,158.2,133.9,319.4,307.2,241.7,344.7,114.0,284.7,265.9,221.5,403.4,338.1,406.6,282.4,273.5,206.6,268.8,246.9,295.1,328.1,272.1,221.8,120.6,309.4,409.9,128.3,347.3,215.3,312.5,335.7,324.8,249.1,217.8,307.7,305.1,328.1,222.5,321.2,305.9,281.1,105.3,378.3,384.1,364.7,326.2,103.4,291.0,232.6
CV,295.7,334.5,384.5,320.6,505.8,253.2,206.3,178.7,280.4,0.0,364.5,178.2,69.0,234.2,311.2,430.9,362.1,395.5,479.3,148.3,35.5,257.3,189.0,55.3,299.7,125.1,301.8,494.5,291.3,279.8,358.6,43.8,217.4,216.5,386.3,114.6,285.2,153.0,101.9,295.9,209.0,318.0,263.1,2360.8,78.2,309.8,204.9,293.0,306.9,145.6,142.1,115.4,145.7,266.6,71.9,90.7,117.1,227.3,337.8,129.0,277.9,405.6,138.5,122.6,340.7,344.7,27.2,85.4,143.7,241.0,472.2,242.7,195.2,200.2,442.1,165.4,70.8,242.3,248.2,286.2,274.9,51.5,438.4,177.2,399.6,457.8,332.6,362.3,127.2,196.6,228.0,404.6,238.2,59.4,292.5
