from_stop,AC,AJ,AR,AY,BD,BJ,BN,BO,BQ,BR,BZ,CA,CC,CF,CM,CP,CU,CX,DA,DC,DK,DL,DQ,DU,EK,EL,EV,EX,EZ,FB,FE,FM,FP,FV,GD,GE,GJ,GK,GR,HA,HC,HJ,HM,HN,HU,HZ,IG,IH,IR,IS,IW,IZ,JI,JL,JR,JZ,KH,KJ,KY,LD,LI,LN,LR,LU,LY,MI,MW,NA,NB,NL,NR,NS,OM,OO,OR,OT,OV,OW,PA,PC,PI,PL,PO,PS,PU,PV,PW,QE,QK,QY,RC,RE,RH,RN,RU,SA,SU,SW,TH,TI,TK,TQ,TR,TX,UF,UG,UH,UT,UV,UY,VI,VL,VM,VQ,VR,VZ,WP,WQ,WR,WU,WW,WX,XE,XF,XJ,XO,XS,XY,YR,YX,ZA,ZF,ZJ,ZN,ZO,ZU
AC,0.0,421.4,301.0,461.8,613.2,626.3,298.4,376.3,751.8,606.1,280.6,416.5,392.5,196.3,546.0,496.0,625.8,733.5,544.7,835.1,433.2,329.9,618.4,368.2,633.0,571.9,629.3,579.4,498.4,839.7,638.0,164.0,669.7,319.9,372.4,407.8,245.3,536.6,602.3,695.9,458.4,2598.5,203.0,391.1,446.0,792.3,339.9,752.3,231.4,559.3,213.8,769.6,807.8,754.7,272.9,497.6,88.7,972.9,204.8,291.0,991.4,617.4,90.6,644.2,398.9,376.3,414.0,313.2,722.1,81.3,923.1,683.6,141.5,642.7,442.4,526.7,653.4,217.9,419.0,694.1,183.6,405.0,716.0,219.8,252.0,392.4,200.4,688.6,213.7,430.6,789.7,336.7,347.2,238.3,536.3,405.9,809.7,757.8,216.6,493.6,467.8,372.0,363.5,430.9,270.4,243.2,779.3,555.4,441.9,544.7,866.0,425.3,197.8,574.2,512.2,693.3,643.5,367.1,517.7,404.9,569.7,170.7,315.7,503.4,614.8,442.9,539.6,437.9,353.3,582.3,608.8,522.8,759.0,615.2,143.2,213.7
AJ,411.1,0.0,340.3,501.1,652.5,665.6,202.0,331.8,707.3,645.4,220.8,455.8,431.8,342.2,585.3,535.3,674.6,689.0,584.0,790.6,472.5,285.4,657.7,417.1,672.3,611.2,650.1,618.7,537.7,803.0,677.3,293.2,690.5,413.6,327.9,140.3,317.5,575.9,641.6,651.4,497.7,2554.0,348.7,430.4,485.3,747.8,379.2,707.8,323.6,598.6,359.5,725.1,763.3,710.2,186.7,536.9,320.9,928.4,368.7,123.6,946.9,656.7,426.1,683.5,354.4,108.8,491.6,268.7,677.6,328.8,878.6,722.9,268.0,598.2,397.9,547.5,692.7,381.8,467.9,742.9,405.2,453.9,671.5,365.5,339.2,444.9,346.3,737.4,377.6,527.1,745.2,376.0,386.5,402.2,575.6,489.4,765.2,713.3,346.9,532.9,507.1,327.5,231.2,386.4,231.1,335.4,734.8,576.2,462.7,584.0,821.5,464.6,466.5,613.5,551.5,732.6,692.3,199.7,557.0,444.2,609.0,420.6,448.1,542.7,654.1,482.2,578.9,477.2,308.8,621.6,648.1,562.1,714.5,654.5,335.9,359.6
AR,269.7,349.7,0.0,252.4,403.8,416.9,129.9,407.5,783.0,396.7,112.1,207.1,183.1,114.4,336.6,286.6,510.0,764.7,335.3,698.9,223.8,361.1,409.0,189.3,423.6,362.5,401.4,370.0,289.0,678.4,428.6,372.2,441.8,185.8,403.6,336.1,89.7,327.2,392.9,559.7,249.0,2744.3,411.2,181.7,236.6,823.5,130.5,783.5,95.8,349.9,422.0,622.3,671.6,785.9,262.4,288.2,296.9,836.7,140.9,205.6,907.2,408.0,198.7,434.8,430.1,304.6,298.2,344.4,585.9,289.5,786.9,474.2,343.7,514.4,473.6,298.8,444.0,154.0,240.1,578.3,177.4,226.1,747.2,428.0,111.4,269.2,118.5,572.8,149.8,307.4,820.9,127.3,137.8,174.4,326.9,282.7,662.4,621.6,119.1,284.2,258.4,403.2,195.0,462.1,101.9,107.6,810.5,327.5,214.0,335.3,744.0,215.9,238.7,364.8,302.8,483.9,527.7,205.8,308.3,195.5,360.3,192.8,220.3,294.0,405.4,233.5,330.2,228.5,384.5,372.9,399.4,313.4,790.2,405.8,351.4,131.8
AY,461.0,541.0,262.9,0.0,316.4,554.8,321.2,598.8,641.4,499.3,303.4,323.8,95.7,305.7,439.2,389.2,514.0,670.3,437.9,944.2,326.4,552.4,320.3,380.6,247.1,465.1,486.0,322.4,201.6,948.8,176.1,563.5,526.4,377.1,594.9,527.4,281.0,74.7,305.5,823.7,351.6,2488.1,602.5,284.3,353.3,729.1,275.3,689.1,287.1,429.9,613.3,813.6,916.9,644.3,453.7,390.8,488.2,1082.0,332.2,396.9,928.2,261.1,390.0,182.3,621.4,495.9,327.5,535.7,799.7,480.8,1032.2,236.5,535.0,314.7,664.9,383.4,191.5,345.3,413.0,582.3,368.7,427.0,652.8,619.3,302.7,280.8,309.8,576.8,341.1,404.5,706.3,229.9,222.4,365.7,239.5,379.8,853.7,866.9,310.4,31.7,361.0,570.2,386.3,653.4,293.2,298.9,716.1,412.1,298.6,247.9,802.8,332.6,430.0,303.9,405.4,242.2,531.7,397.1,247.4,312.2,462.9,384.1,411.6,396.6,336.7,336.1,77.7,345.2,575.8,475.5,502.0,416.0,667.1,421.4,542.7,323.1
BD,607.9,687.9,409.8,311.9,0.0,587.3,468.1,780.5,620.0,529.6,450.3,322.0,216.8,452.6,469.5,419.5,540.8,648.9,452.4,922.8,356.7,734.1,336.5,527.5,202.5,495.4,518.5,338.6,276.4,927.4,222.2,710.4,558.9,524.0,776.6,674.3,427.9,283.3,34.1,802.3,381.9,2466.7,749.4,278.6,351.5,707.7,422.2,667.7,434.0,446.1,760.2,919.0,895.5,622.9,600.6,421.1,635.1,1060.6,479.1,543.8,906.8,186.9,536.9,276.8,803.1,642.8,474.4,717.4,778.3,627.7,1010.8,253.1,681.9,293.3,846.6,415.9,173.6,492.2,559.9,609.1,515.6,573.9,631.4,766.2,449.6,427.7,456.7,603.6,488.0,551.4,684.9,376.8,369.3,512.6,62.9,526.7,959.1,845.5,457.3,343.7,391.3,548.8,533.2,835.1,440.1,445.8,694.7,444.6,445.5,52.8,781.4,330.8,576.9,163.7,435.7,262.8,558.5,544.0,148.8,310.4,493.2,531.0,558.5,426.9,352.9,366.4,323.4,343.4,757.5,505.8,532.3,446.3,645.7,437.6,689.6,470.0
BJ,595.6,675.6,397.5,509.6,521.0,0.0,455.8,733.4,933.4,108.0,438.0,279.4,440.3,440.3,216.7,166.7,152.9,962.3,197.4,1024.8,188.3,687.0,311.9,476.6,515.9,228.8,49.5,272.0,455.1,1004.3,574.9,698.1,119.1,511.7,729.5,662.0,415.6,584.4,530.1,885.6,212.4,2632.9,737.1,274.0,248.7,1021.1,409.9,981.1,421.7,333.1,747.9,948.2,997.5,936.3,588.3,287.9,622.8,1162.6,466.8,531.5,1220.2,500.3,524.6,670.0,756.0,630.5,347.4,670.3,911.8,615.4,1112.8,566.5,669.6,606.7,799.5,164.9,610.8,479.9,428.6,181.5,503.3,442.6,944.8,753.9,437.3,296.4,444.4,164.2,475.7,420.1,998.3,315.8,337.3,500.3,540.9,395.4,988.3,947.5,445.0,541.4,153.8,729.1,520.9,788.0,427.8,433.5,1008.1,135.6,250.1,530.8,1094.8,288.2,564.6,457.1,164.9,576.2,170.6,531.7,400.6,267.8,141.9,518.7,546.2,174.1,308.3,178.4,587.4,257.7,710.4,98.9,145.4,102.3,959.1,344.1,677.3,457.7
BN,356.8,219.7,138.2,299.0,450.4,463.5,0.0,277.5,653.0,443.3,18.7,253.7,229.7,140.1,383.2,333.2,472.5,634.7,381.9,736.3,270.4,231.1,455.6,215.0,470.2,409.1,448.0,416.6,335.6,740.9,475.2,238.9,488.4,211.5,273.6,206.1,115.4,373.8,439.5,597.1,295.6,2499.7,294.4,228.3,283.2,693.5,177.1,653.5,121.5,396.5,305.2,670.8,709.0,655.9,132.4,334.8,266.6,874.1,166.6,75.6,892.6,454.6,224.4,481.4,300.1,174.6,289.5,214.4,623.3,274.5,824.3,520.8,213.7,561.0,343.6,345.4,490.6,179.7,265.8,540.8,203.1,251.8,617.2,311.2,137.1,242.8,144.2,535.3,175.5,333.1,690.9,173.9,184.4,200.1,373.5,308.4,710.9,659.0,144.8,330.8,305.0,273.2,65.0,332.1,29.0,133.3,680.5,374.1,260.6,381.9,767.2,262.5,264.4,411.4,349.4,530.5,490.2,75.8,354.9,242.1,406.9,218.5,246.0,340.6,452.0,280.1,376.8,275.1,254.5,419.5,446.0,360.0,660.2,452.4,281.6,157.5
BO,403.3,349.1,435.4,596.2,747.6,760.7,297.1,0.0,613.1,740.5,315.9,550.9,526.9,437.3,680.4,630.4,769.7,594.8,679.1,696.4,567.6,50.2,752.8,512.2,594.1,706.3,745.2,713.8,632.8,701.0,649.9,285.4,785.6,508.7,131.1,335.5,412.6,671.0,736.7,557.2,592.8,2459.8,340.9,525.5,580.4,653.6,474.3,613.6,418.7,693.7,351.7,630.9,669.1,616.0,200.6,632.0,313.1,834.2,463.8,218.7,852.7,608.1,412.4,778.6,157.6,304.0,586.7,67.2,583.4,321.0,784.4,641.5,260.2,504.0,201.1,642.6,685.8,476.9,563.0,838.0,505.4,549.0,577.3,357.7,434.3,540.0,441.4,832.5,472.7,630.3,651.0,471.1,481.6,497.3,670.7,605.6,671.0,619.1,442.0,628.0,602.2,233.3,326.3,189.6,326.2,430.5,640.6,671.3,557.8,679.1,727.3,559.7,519.6,708.6,646.6,651.2,787.4,294.8,652.1,539.3,704.1,492.5,543.2,637.8,749.2,577.3,674.0,572.3,24.7,716.7,743.2,657.2,620.3,749.6,328.1,454.7
BQ,725.0,670.8,757.1,661.1,620.8,980.5,618.8,579.3,0.0,922.8,637.6,715.2,701.7,638.1,862.7,812.7,934.0,132.8,845.6,314.9,749.9,532.9,729.7,806.6,427.0,888.6,911.7,731.8,713.3,319.5,482.8,607.1,952.1,799.6,575.4,657.2,707.0,584.4,629.9,194.4,775.1,2025.9,662.6,671.8,744.7,99.8,796.0,151.6,693.1,839.3,673.4,388.2,287.6,2.9,522.3,814.3,634.8,452.7,684.5,540.4,298.9,441.0,722.3,577.9,601.9,625.7,869.8,516.2,170.4,642.7,402.9,474.4,581.9,336.9,645.4,809.1,518.7,697.6,891.6,1002.3,701.0,843.4,55.2,679.4,713.7,844.9,633.6,996.8,693.4,883.1,97.1,792.8,803.3,718.0,640.7,858.4,371.7,237.6,696.7,682.2,784.5,347.6,648.0,633.9,647.9,704.9,178.6,837.8,837.3,630.6,173.5,724.0,762.3,556.9,828.9,484.1,951.7,616.5,542.0,703.6,886.4,716.4,795.4,820.1,746.1,759.6,624.5,736.6,556.3,899.0,925.5,839.5,57.9,830.8,649.8,620.2
BR,583.7,663.7,385.6,497.7,509.1,96.3,443.9,721.5,921.5,0.0,426.1,267.5,428.4,428.4,204.8,154.8,187.4,950.4,185.5,1012.9,176.4,675.1,300.0,503.3,504.0,263.3,84.0,260.1,443.2,992.4,563.0,686.2,153.6,499.8,717.6,650.1,403.7,572.5,518.2,873.7,200.5,2612.5,725.2,262.1,297.0,1009.2,398.0,969.2,409.8,321.2,736.0,936.3,985.6,924.4,576.4,276.0,610.9,1150.7,454.9,519.6,1208.3,488.4,512.7,658.1,744.1,618.6,381.9,658.4,899.9,603.5,1100.9,554.6,657.7,594.8,787.6,199.4,598.9,468.0,463.1,216.0,491.4,477.1,932.9,742.0,425.4,330.9,432.5,198.7,463.8,454.6,986.4,303.9,363.1,488.4,529.0,429.9,976.4,935.6,433.1,529.5,141.9,717.2,509.0,776.1,415.9,421.6,996.2,170.1,284.6,518.9,1082.9,276.3,552.7,445.2,153.0,564.3,205.1,519.8,388.7,255.9,130.0,506.8,534.3,162.2,296.4,166.5,575.5,288.9,698.5,87.0,133.5,90.4,947.2,332.2,665.4,445.8
