from_stop,AF,AL,AS,AT,AV,AW,BS,BU,BZ,CD,CF,CJ,CN,CQ,CY,DD,DH,DM,DN,DQ,DS,DT,DU,DZ,EA,EC,EG,EI,EJ,EL,EP,EV,EW,EX,FF,FL,FZ,GC,GH,GO,GY,HH,HJ,HO,HX,HY,IB,ID,IG,IJ,IQ,IW,JE,JF,JH,JJ,JM,JN,JV,JX,KA,KF,KH,KT,KU,KW,LL,LN,LQ,LU,LV,MD,MP,MR,NC,NG,NQ,NS,NT,NW,NY,OC,OF,OI,OP,OR,OT,PB,PH,PJ,PR,PY,QE,QG,QJ,QX,RB,RJ,RY,SE,SU,TE,TJ,TZ,UC,UG,UH,UN,UQ,UZ,VB,VG,VH,VO,VR,WD,WE,WF,WN,WQ,WS,WW,WZ,XB,XD,XW,XZ,YH,YN,YP,YS,YW,ZF,ZG,ZK,ZW,ZX
AF,0.0,126.5,702.4,352.6,273.0,700.7,649.3,759.4,411.8,415.9,692.6,757.9,386.5,665.4,66.7,586.7,710.0,760.2,790.4,794.3,602.6,673.6,670.7,502.0,243.5,427.4,593.5,233.0,149.8,721.7,228.6,778.8,637.6,781.4,388.4,383.0,875.7,880.8,719.4,89.4,808.0,403.2,402.6,868.7,763.1,436.2,283.4,640.4,592.1,309.6,414.0,316.2,713.9,718.3,621.2,403.4,712.0,402.1,404.9,709.6,550.0,433.3,404.8,401.6,547.2,761.1,409.5,469.7,607.5,806.3,865.1,443.4,466.0,113.8,57.0,355.2,571.1,162.0,788.0,635.8,625.7,774.1,578.5,825.4,361.3,943.4,469.4,434.0,696.7,448.4,437.8,396.6,397.2,653.7,367.3,832.1,759.5,2031.0,489.6,666.8,416.9,576.3,310.4,389.3,373.4,497.9,808.0,734.0,423.2,438.9,635.7,635.5,600.5,588.1,601.9,5.4,205.1,427.0,519.3,487.9,692.1,616.2,93.8,812.6,465.7,652.3,58.4,786.0,780.8,331.7,331.9,136.7,752.1,616.0,288.8,786.0,585.6
AL,126.5,0.0,829.0,479.2,399.6,827.3,775.9,886.0,538.4,542.5,819.2,884.5,513.1,792.0,129.8,713.3,836.6,886.8,917.0,920.9,729.2,800.2,797.3,628.6,370.1,554.0,720.5,359.6,276.4,848.3,355.2,905.4,764.2,908.0,515.0,509.6,1002.3,1007.4,846.0,173.6,934.6,529.8,524.1,995.3,889.7,562.8,410.0,767.0,718.7,436.2,540.6,442.8,840.8,844.9,747.8,530.0,838.6,528.7,531.5,836.2,676.6,559.9,531.4,528.2,673.8,887.7,536.1,596.3,734.1,932.9,991.7,564.5,592.6,240.4,141.2,481.8,697.7,288.6,914.6,762.4,752.3,900.7,705.1,952.0,497.6,1070.0,591.8,560.6,823.3,575.0,564.4,523.2,523.8,780.3,493.9,958.7,886.1,2094.1,616.2,793.4,543.5,702.9,437.0,515.9,500.0,624.5,934.6,860.6,549.8,565.5,762.3,762.1,727.1,714.7,728.5,121.1,331.7,553.6,645.9,614.5,818.7,742.8,178.0,939.2,592.3,778.9,121.5,912.6,907.4,458.3,458.5,263.3,878.7,742.6,415.4,912.6,712.2
AS,764.2,807.3,0.0,560.0,588.7,270.1,327.7,125.4,750.1,768.2,117.3,90.9,724.8,90.1,736.9,329.7,76.0,204.9,165.6,132.5,320.5,333.7,41.2,250.5,629.8,288.3,397.0,585.3,762.9,155.8,504.5,111.8,83.4,138.0,740.7,721.3,277.3,191.2,164.1,785.4,182.6,592.8,735.8,243.3,60.6,423.9,577.3,449.8,422.1,661.9,752.3,668.5,228.2,232.3,364.2,741.7,164.7,740.4,757.2,335.7,373.5,771.6,743.1,739.9,170.7,135.8,747.8,594.1,412.6,181.5,206.9,776.2,275.4,818.7,712.9,537.2,148.2,866.9,144.6,295.9,410.8,130.7,209.4,158.4,709.3,318.0,487.1,772.3,200.2,786.7,344.8,734.9,735.5,270.9,510.4,165.1,158.6,2605.9,370.5,198.8,755.2,319.3,662.7,727.6,342.3,363.5,164.6,178.7,761.5,777.2,344.0,295.6,119.2,248.2,262.0,758.8,507.3,765.3,471.6,479.5,82.8,245.5,717.8,169.2,338.5,312.4,705.5,142.6,78.3,684.0,531.5,749.8,131.5,382.6,423.6,118.5,395.0
AT,346.8,389.9,631.0,0.0,72.3,628.7,360.3,665.8,746.5,750.6,621.2,631.3,721.2,594.0,319.5,514.7,598.4,688.8,719.0,672.9,313.6,601.6,599.3,430.0,113.4,355.4,304.9,567.7,392.7,432.7,156.6,652.2,565.6,450.5,723.1,717.7,586.7,716.0,648.0,393.9,621.7,648.0,732.2,703.9,691.7,147.2,60.9,568.4,303.1,644.3,748.7,650.9,425.2,429.3,549.2,738.1,423.0,736.8,739.6,637.6,261.0,768.0,739.5,736.3,475.2,472.1,744.2,180.7,318.5,734.9,700.3,772.6,394.0,448.5,342.7,66.2,499.1,496.7,475.8,563.8,336.7,536.0,506.5,698.8,705.7,664.2,176.2,768.7,407.7,783.1,365.8,731.3,731.9,364.7,613.8,705.5,688.1,2188.5,200.6,377.8,751.6,504.3,645.1,724.0,301.4,208.9,569.9,662.6,757.9,773.6,346.7,563.5,528.5,516.1,529.9,341.4,539.8,761.7,230.3,198.9,620.7,327.2,347.6,500.4,393.7,580.3,288.1,547.9,709.4,666.4,42.9,379.6,680.7,327.0,467.7,714.6,513.6
AV,274.4,317.5,558.6,79.5,0.0,556.3,376.2,615.6,674.1,678.2,548.8,614.1,648.8,521.6,247.1,442.3,566.2,616.4,646.6,650.5,329.5,529.2,526.9,357.6,41.0,283.0,320.8,495.3,320.3,448.6,84.2,635.0,493.2,466.4,650.7,645.3,602.6,737.0,575.6,321.5,637.6,575.6,659.8,724.9,619.3,163.1,10.3,496.0,319.0,571.9,676.3,578.5,441.1,445.2,476.8,665.7,438.9,664.4,667.2,565.2,276.9,695.6,667.1,663.9,402.8,488.0,671.8,196.6,334.4,662.5,721.3,700.2,321.6,376.1,270.3,82.1,426.7,424.3,491.7,491.4,352.6,551.9,434.1,681.6,633.3,680.1,192.1,696.3,423.6,710.7,293.4,658.9,659.5,380.6,541.4,688.3,615.7,2116.1,216.5,393.7,679.2,431.9,572.7,651.6,229.0,224.8,585.8,590.2,685.5,701.2,362.6,491.1,456.1,443.7,457.5,269.0,467.4,689.3,246.2,214.8,548.3,343.1,275.2,516.3,321.3,507.9,215.7,563.8,637.0,594.0,58.8,307.2,608.3,342.9,395.3,642.2,441.2
AW,748.0,791.1,253.3,759.9,575.0,0.0,527.6,292.3,914.2,932.3,225.5,308.8,888.9,198.3,720.7,219.0,260.9,208.3,323.3,327.2,520.4,420.4,221.6,248.8,545.5,272.1,596.9,749.4,746.7,355.7,488.3,319.3,283.3,337.9,904.8,885.4,455.4,432.4,170.1,769.2,368.1,768.0,899.9,428.8,270.5,623.8,585.4,433.6,622.0,826.0,916.4,832.6,428.1,432.2,118.4,905.8,364.6,904.5,921.3,155.4,573.4,935.7,907.2,904.0,294.0,335.7,911.9,794.0,612.5,339.2,425.2,940.3,259.2,802.5,696.7,737.1,317.9,850.7,344.5,382.6,610.7,330.6,325.3,399.6,873.4,503.5,687.0,936.4,400.1,950.8,328.6,899.0,899.6,470.8,733.8,406.3,199.4,2589.7,570.4,398.7,919.3,208.6,826.8,891.7,326.1,563.4,364.5,182.1,925.6,941.3,543.9,382.3,319.1,334.9,348.7,742.6,671.4,929.4,671.5,679.4,223.8,445.4,701.6,369.1,322.3,399.1,689.3,342.5,331.7,848.1,731.4,733.6,187.1,582.5,587.7,346.1,378.8
BS,655.1,698.2,371.7,351.9,380.6,568.4,0.0,441.7,1054.8,1058.9,415.6,407.2,1029.5,388.4,627.8,615.1,374.3,503.2,481.9,448.8,282.3,619.1,339.5,535.9,421.7,663.7,69.2,876.0,701.0,311.6,464.9,428.1,368.8,293.8,1031.4,1026.0,406.3,477.5,462.4,702.2,383.2,956.3,1040.5,465.4,432.4,215.8,369.2,735.2,107.8,952.6,1057.0,959.2,326.0,330.1,597.0,1046.4,320.5,1045.1,1047.9,634.0,229.7,1076.3,1047.8,1044.6,456.1,204.6,1052.5,386.0,84.8,497.8,461.8,1080.9,560.8,756.8,651.0,329.1,433.6,805.0,300.4,581.3,83.0,268.5,494.8,474.7,1014.0,422.9,279.0,1077.0,140.2,1091.4,674.1,1039.6,1040.2,236.7,922.1,481.4,448.5,2496.8,162.4,278.6,1059.9,604.7,953.4,1032.3,609.7,155.4,302.4,477.0,1066.2,1081.9,16.2,581.0,404.6,533.6,547.4,649.7,848.1,1070.0,143.8,231.8,381.1,228.0,655.9,325.0,702.0,597.8,596.4,280.4,450.1,974.7,323.4,687.9,456.2,295.7,776.0,434.8,680.4
BU,807.3,850.4,145.2,669.8,698.5,306.1,437.5,0.0,804.1,822.2,73.9,185.7,778.8,94.1,780.0,435.3,165.8,240.9,79.8,92.7,430.3,443.5,131.0,360.3,604.8,398.1,506.8,639.3,806.0,265.6,547.6,75.8,193.2,247.8,794.7,775.3,270.4,188.9,200.1,828.5,182.4,646.8,794.9,243.1,205.9,533.7,687.1,559.6,531.9,715.9,806.3,722.5,381.7,377.7,334.7,795.7,274.5,794.4,811.2,371.7,483.3,825.6,797.1,793.9,280.5,245.6,801.8,703.9,522.4,95.7,204.6,835.7,385.2,736.2,756.0,647.0,258.0,741.2,254.4,405.7,520.6,293.9,319.2,152.5,753.6,317.8,601.1,826.3,310.0,840.7,454.6,788.9,789.5,380.7,564.4,162.8,245.1,2649.0,480.3,308.6,809.2,424.9,716.7,781.6,452.1,473.3,257.2,214.7,815.5,831.2,453.8,405.4,229.0,358.0,371.8,801.9,561.3,819.3,581.4,589.3,172.6,355.3,760.9,279.0,448.3,422.2,748.6,280.6,223.6,738.0,641.3,792.9,232.8,492.4,477.6,160.4,504.8
BZ,386.9,509.1,696.7,740.5,660.9,819.7,971.0,753.7,0.0,414.2,691.3,752.2,177.7,665.3,449.3,740.6,704.3,754.5,784.7,793.0,963.8,831.3,665.0,655.9,635.8,581.3,981.4,231.3,462.3,799.1,574.2,773.1,731.1,781.3,386.7,137.4,892.9,875.1,713.7,472.0,802.3,395.8,9.9,863.0,761.8,824.1,671.3,794.3,984.4,307.9,71.4,314.5,871.2,880.0,775.1,72.1,808.0,178.9,403.2,885.3,937.9,188.9,144.2,160.2,701.1,779.1,171.5,857.6,995.4,800.6,859.4,22.7,619.9,334.3,439.6,743.1,725.0,339.3,787.9,789.7,1013.6,774.0,732.4,812.7,126.2,937.7,857.3,41.2,843.5,261.0,591.7,128.1,121.0,914.2,361.6,826.4,753.8,2017.8,877.5,842.1,102.1,730.2,313.1,147.9,527.3,885.8,807.9,728.3,232.3,131.5,987.3,789.4,754.4,742.0,755.8,388.0,259.4,166.4,907.2,875.8,686.4,888.8,476.4,812.5,619.6,806.2,441.0,785.9,775.1,330.0,724.2,475.4,746.4,1025.9,296.9,780.3,739.5
CD,432.3,558.9,750.5,784.5,704.9,873.5,1024.8,807.5,439.9,0.0,740.7,806.0,414.6,713.5,499.1,794.4,758.1,808.3,838.5,842.4,1017.6,881.3,718.8,709.7,675.4,635.1,1025.8,188.0,512.1,852.9,628.0,826.9,780.5,835.1,157.7,411.1,946.7,928.9,767.5,521.8,856.1,272.7,425.6,916.8,811.2,868.1,715.3,848.1,1024.0,251.0,442.1,234.2,925.3,929.4,828.9,431.5,861.8,430.2,215.5,939.1,981.9,461.4,432.9,429.7,754.9,832.9,437.6,901.6,1039.4,854.4,913.2,466.0,673.7,384.1,489.4,787.1,778.8,389.1,841.7,843.5,1057.6,827.8,786.2,873.5,399.1,991.5,897.1,462.1,897.3,476.5,645.5,424.7,425.3,968.0,415.4,880.2,807.6,2347.9,921.5,895.9,445.0,784.0,251.8,417.4,581.1,929.8,861.7,782.1,451.3,467.0,1041.1,843.2,808.2,795.8,809.6,437.8,323.2,455.1,951.2,919.8,740.2,942.6,526.2,866.3,673.4,860.0,490.8,839.7,828.9,253.0,763.8,525.2,800.2,1047.9,346.3,834.1,793.3
