from_stop,AB,AE,AF,AH,AN,AO,AP,AW,AX,AZ,CF,CG,CJ,CX,DL,EF,EJ,EQ,EW,FH,FM,FU,FW,FX,FY,GB,GC,GD,GE,GH,GN,GQ,GS,GW,GX,GY,HD,HH,HK,HS,HT,IE,IJ,IX,JG,JR,JS,JU,JV,JY,KJ,KK,KO,KS,KT,KZ,LQ,LU,LV,LX,LY,MY,NG,NT,NW,NZ,OB,OG,OK,OP,PI,PN,PQ,PT,PW,PX,QC,QD,QH,QM,QO,RC,RN,RU,RV,SF,SN,SW,SX,SY,SZ,TG,TM,TP,TS,UO,US,UT,VF,VU,VY,WS,WX,XN,YA,YJ,YK,YQ,YZ,ZC,ZH,ZQ
AB,0.0,645.2,535.8,176.8,846.7,206.2,722.1,485.4,338.5,650.1,969.6,769.7,177.7,452.3,833.3,686.0,646.5,653.6,289.9,617.4,596.0,750.2,349.7,363.4,421.9,452.2,463.7,713.4,208.7,676.4,817.2,215.3,406.7,905.9,2077.1,237.7,491.6,541.7,556.1,590.9,103.6,400.5,749.4,419.8,828.7,386.3,353.2,664.6,897.3,787.5,699.9,299.8,913.2,786.1,723.7,271.8,766.7,639.4,280.6,413.5,760.5,334.0,379.9,326.7,489.7,861.6,663.1,310.3,618.9,504.8,893.6,549.5,362.7,445.9,89.5,410.2,287.6,421.4,412.3,884.5,881.7,608.9,841.9,503.1,804.8,579.5,637.3,96.7,355.7,309.0,398.2,453.7,853.6,546.5,443.1,625.2,460.6,861.0,743.5,852.7,394.3,331.3,764.0,302.3,702.5,455.5,565.3,275.9,752.7,486.6,505.9,676.4
AE,591.9,0.0,152.7,490.3,202.9,477.1,76.8,399.6,609.4,154.9,424.1,156.5,722.8,765.8,189.5,40.7,357.8,262.7,560.8,291.9,143.3,104.9,439.7,676.9,692.8,488.5,500.0,100.2,452.8,285.5,171.9,486.2,677.6,360.4,2177.5,551.2,154.2,158.6,158.1,54.8,648.7,714.0,193.3,690.7,184.9,657.2,666.7,169.4,253.5,231.4,54.6,570.7,300.0,140.8,110.5,542.7,121.4,952.9,825.7,503.5,147.3,424.0,650.8,372.9,218.2,216.3,337.6,623.8,221.3,459.4,249.8,164.7,907.8,716.8,634.6,225.6,601.1,511.4,957.4,240.7,237.9,36.3,196.6,593.1,159.5,160.6,202.8,641.8,669.2,579.9,711.7,192.1,209.8,99.3,533.1,215.0,550.6,217.2,98.2,307.2,707.8,602.2,207.9,573.2,57.2,250.0,205.8,546.8,139.5,396.2,333.7,285.5
AF,490.8,141.0,0.0,389.2,344.0,376.0,217.9,474.3,508.3,114.2,565.2,272.1,621.7,664.7,330.6,181.8,498.9,403.8,459.7,433.0,59.1,246.0,338.6,575.8,591.7,441.1,452.6,215.8,351.7,426.6,313.0,385.1,576.5,501.5,2076.4,450.1,53.1,5.9,183.5,88.9,547.6,612.9,334.4,589.6,326.0,556.1,565.6,128.7,394.6,372.5,195.7,469.6,415.6,281.9,226.1,441.6,262.5,851.8,724.6,402.4,262.9,322.9,549.7,271.8,117.1,357.4,478.7,522.7,362.4,358.3,390.9,176.9,806.7,615.7,533.5,124.5,500.0,410.3,856.3,381.8,379.0,104.7,337.7,492.0,300.6,43.6,343.9,540.7,568.1,478.8,610.6,89.8,350.9,42.3,432.0,356.1,449.5,358.3,239.3,448.3,606.7,501.1,349.0,472.1,198.3,148.9,104.7,445.7,255.1,295.1,474.8,426.6
AH,162.6,509.4,400.0,0.0,710.9,70.4,586.3,349.6,202.7,514.3,833.8,633.9,293.5,275.4,697.5,550.2,510.7,517.8,154.1,481.6,459.2,614.4,213.9,186.5,286.1,316.4,327.9,577.6,72.9,540.6,681.4,79.5,270.9,770.1,1941.3,60.8,355.8,405.9,420.3,457.3,219.4,223.6,613.6,284.0,692.9,250.5,176.3,528.8,761.5,651.7,564.1,164.0,777.4,650.3,587.9,136.0,630.9,462.5,396.4,277.7,624.7,194.2,244.1,190.9,353.9,725.8,527.3,133.4,483.1,369.0,757.8,413.7,478.5,310.1,205.3,274.4,129.2,285.6,528.1,748.7,745.9,473.1,706.1,367.3,669.0,443.7,501.5,212.5,178.8,173.2,239.8,319.1,717.8,410.7,307.3,489.4,324.8,725.2,607.7,716.9,217.4,195.5,628.2,166.5,566.7,319.7,429.5,140.1,616.9,350.8,370.1,540.6
AN,806.5,214.5,367.3,704.9,0.0,691.7,238.3,509.4,824.0,335.2,533.9,157.6,937.4,980.4,70.8,202.2,467.6,372.5,775.4,401.7,323.6,168.4,633.8,891.5,907.4,598.3,609.8,166.5,667.4,395.3,267.8,700.8,892.2,470.2,2392.1,765.8,368.8,369.1,296.7,269.4,863.3,928.6,303.1,905.3,66.2,871.8,881.3,349.7,80.9,341.2,148.2,785.3,384.3,168.2,176.8,757.3,151.9,1167.5,1040.3,669.9,148.4,613.7,865.4,587.5,366.4,312.2,447.4,838.4,331.1,674.0,62.1,303.3,1122.4,931.4,849.2,440.2,815.7,645.8,1172.0,37.7,34.9,250.9,224.0,787.2,362.6,340.9,312.6,856.4,883.8,794.5,926.3,406.7,6.8,313.9,699.5,324.8,744.7,14.2,175.1,417.0,922.4,816.8,317.7,787.8,218.7,464.6,420.4,761.4,205.8,610.8,443.5,395.3
AO,184.3,488.5,379.1,82.7,690.0,0.0,565.4,328.7,132.2,493.4,812.9,613.0,315.2,358.2,676.6,529.3,489.8,496.9,83.6,460.7,438.3,593.5,193.0,269.3,215.6,295.5,307.0,556.7,52.0,519.7,660.5,9.0,200.4,749.2,1870.8,143.6,334.9,385.0,399.4,434.2,241.1,306.4,592.7,213.5,672.0,180.0,259.1,507.9,740.6,630.8,543.2,93.5,756.5,629.4,567.0,65.5,610.0,545.3,418.1,256.8,603.8,177.3,173.6,170.0,333.0,704.9,506.4,216.2,462.2,348.1,736.9,392.8,500.2,239.6,227.0,253.5,193.5,264.7,549.8,727.8,725.0,452.2,685.2,346.4,648.1,422.8,480.6,234.2,261.6,102.7,304.1,298.2,696.9,389.8,286.4,468.5,303.9,704.3,586.8,696.0,300.2,125.0,607.3,96.0,545.8,298.8,408.6,69.6,596.0,329.9,349.2,519.7
AP,661.0,69.0,221.8,559.4,238.9,546.2,0.0,435.6,678.5,224.0,460.1,198.7,791.9,834.9,225.5,36.7,393.8,298.7,629.9,327.9,212.4,140.9,508.8,746.0,761.9,524.5,536.0,169.3,521.9,321.5,207.9,555.3,746.7,396.4,2246.6,620.3,223.3,227.7,227.2,123.9,717.8,783.1,229.3,759.8,220.9,726.3,735.8,238.5,289.5,267.4,90.6,639.8,369.1,176.8,179.6,611.8,157.4,1022.0,894.8,572.6,189.5,493.1,719.9,442.0,287.3,252.3,373.6,692.9,257.3,528.5,285.8,233.8,976.9,785.9,703.7,294.7,670.2,572.0,1026.5,276.7,273.9,105.4,232.6,662.2,132.6,229.7,238.8,710.9,738.3,649.0,780.8,261.2,245.8,168.4,602.2,251.0,619.7,253.2,134.2,343.2,776.9,671.3,243.9,642.3,19.5,319.1,274.9,615.9,208.6,465.3,369.7,321.5
AW,463.2,378.1,530.9,361.6,500.4,348.4,401.9,0.0,480.7,533.1,521.2,460.2,594.1,637.1,487.0,365.8,198.1,205.2,432.1,169.0,521.5,330.0,181.4,548.2,564.1,145.9,157.4,469.1,324.1,228.0,449.4,357.5,548.9,457.5,2112.8,422.5,532.4,536.8,526.7,433.0,520.0,585.3,301.0,562.0,482.4,528.5,538.0,547.6,551.0,339.1,352.1,442.0,678.2,365.9,479.4,414.0,346.5,824.2,697.0,217.5,451.0,161.3,522.1,308.0,471.0,493.8,214.7,495.1,170.5,486.1,547.3,533.3,779.1,588.1,505.9,391.5,472.4,193.4,828.7,538.2,486.9,414.5,421.7,334.8,526.2,538.8,188.9,513.1,540.5,451.2,583.0,435.0,507.3,477.5,247.1,176.8,292.3,507.6,323.3,404.3,579.1,473.5,315.6,444.5,382.3,436.8,584.0,418.1,508.4,467.9,57.5,228.0
AX,311.0,615.2,505.8,209.4,816.7,126.6,692.1,455.4,0.0,620.1,939.6,739.7,441.9,484.9,803.3,656.0,616.5,623.6,133.0,587.4,565.0,720.2,319.7,396.0,83.3,422.2,433.7,683.4,178.7,646.4,787.2,117.6,240.1,875.9,1738.5,270.3,461.6,511.7,526.1,560.9,367.8,433.1,719.4,81.2,798.7,219.7,385.8,634.6,867.3,757.5,669.9,93.2,883.2,756.1,693.7,172.0,736.7,672.0,544.8,383.5,730.5,304.0,173.3,296.7,459.7,831.6,633.1,342.9,588.9,474.8,863.6,519.5,626.9,289.0,353.7,380.2,320.2,391.4,676.5,854.5,851.7,578.9,811.9,473.1,774.8,549.5,607.3,360.9,388.3,28.2,430.8,424.9,823.6,516.5,413.1,595.2,430.6,831.0,713.5,822.7,426.9,164.7,734.0,34.6,672.5,425.5,535.3,156.1,722.7,456.6,475.9,646.4
AZ,581.1,160.2,90.2,479.5,338.8,466.3,237.1,564.6,598.6,0.0,584.4,261.8,712.0,755.0,325.4,201.0,518.1,423.0,550.0,452.2,39.3,265.2,428.9,666.1,682.0,531.4,542.9,205.5,442.0,445.8,332.2,475.4,666.8,520.7,2166.7,540.4,143.4,84.8,209.8,161.2,637.9,703.2,353.6,679.9,320.8,646.4,655.9,14.5,389.4,391.7,214.9,559.9,405.3,284.5,215.8,531.9,265.1,942.1,814.9,492.7,252.6,413.2,640.0,362.1,207.4,376.6,497.9,613.0,381.6,448.6,385.7,216.4,897.0,706.0,623.8,214.8,590.3,500.6,946.6,376.6,373.8,142.7,340.3,582.3,319.8,56.6,363.1,631.0,658.4,569.1,700.9,181.3,345.7,132.6,522.3,375.3,539.8,353.1,258.5,467.5,697.0,591.4,368.2,562.4,217.5,239.2,195.0,536.0,244.8,385.4,494.0,445.8
