from_stop,AE,AF,BJ,BK,BO,BP,BS,BY,CD,CG,CK,CL,CR,CW,DC,DJ,DQ,DY,EC,ED,EG,EQ,ER,ES,EZ,FG,FK,FN,FQ,FS,FZ,GB,GJ,GL,GP,GV,GW,HC,HU,IB,IG,IK,IN,IO,IP,IQ,IX,JA,JC,JD,JE,JI,JJ,JT,KH,LJ,LO,MA,MB,MF,MO,MP,NA,NE,NF,NG,NL,NM,NO,OB,OC,OF,OG,OI,PT,QE,QJ,QL,QO,RL,RN,RT,RU,RV,RX,SJ,SK,SR,ST,SY,TE,TJ,TL,TQ,UE,UI,UL,UN,UQ,UZ,VH,VV,VW,WQ,WS,WX,XF,XP,XR,YF,YK,YM,YP,YS,YT,YW,YY,ZD,ZE,ZI,ZL,ZN,ZP,ZQ,ZV
AE,0.0,170.3,720.2,209.5,254.9,511.3,499.5,550.0,522.9,402.5,610.5,210.8,552.1,184.8,636.6,241.1,76.8,781.2,521.1,388.7,158.9,182.1,80.4,390.4,178.0,242.6,197.0,830.9,613.1,714.6,763.3,667.6,461.5,877.4,204.5,194.2,130.5,697.6,521.3,955.3,252.6,558.6,85.5,141.4,733.3,733.4,511.3,780.0,282.1,552.5,502.1,143.3,587.7,701.7,51.9,636.7,757.3,666.6,247.4,483.8,686.1,334.7,276.7,445.0,340.2,727.0,201.1,753.1,243.8,712.4,31.4,532.6,478.1,183.1,473.1,2218.0,696.8,444.0,184.1,266.0,583.2,412.3,205.3,349.7,194.0,253.1,170.3,689.2,520.8,763.2,209.9,274.2,542.8,524.0,267.1,524.6,497.5,188.6,407.8,509.2,556.6,367.5,194.6,164.4,480.0,197.0,272.9,881.5,96.5,321.2,210.0,86.9,233.5,419.5,795.2,176.6,153.9,184.3,272.7,614.8,505.7,123.4,533.5,71.9,264.0
AF,179.6,0.0,803.5,213.6,327.5,594.6,582.8,633.3,595.5,475.1,693.8,294.1,635.4,230.6,718.0,289.8,160.1,864.5,604.4,461.3,165.1,254.7,160.7,463.0,223.8,274.6,177.9,914.2,696.4,797.9,846.6,750.9,544.8,960.7,185.4,277.5,213.8,780.9,604.6,1038.6,233.5,631.2,94.1,187.2,812.3,816.7,594.6,863.3,354.7,635.8,585.4,226.6,671.2,785.0,216.3,720.0,840.6,749.9,181.0,567.1,769.4,268.3,360.0,517.6,412.8,810.3,246.9,836.4,177.4,795.7,148.2,615.9,561.4,12.8,545.7,2301.3,780.1,527.3,141.5,95.6,666.5,484.9,138.9,422.3,239.8,277.8,253.6,772.5,604.1,846.5,255.7,346.8,626.1,607.3,96.7,597.2,580.8,91.7,491.1,581.8,639.9,440.1,115.7,67.5,563.3,130.6,206.5,964.8,179.8,242.3,242.0,181.3,316.8,502.8,878.5,231.2,203.0,51.4,253.6,698.1,589.0,206.7,616.8,196.3,336.6
BJ,750.4,797.8,0.0,598.9,816.8,616.0,423.8,313.4,523.2,887.0,534.8,584.6,656.8,649.8,400.0,526.9,663.7,544.6,580.8,950.6,790.5,833.2,731.5,601.9,687.5,893.7,848.1,594.3,286.7,478.0,526.7,341.2,385.8,640.8,855.6,546.9,610.6,371.2,207.8,718.7,903.7,655.9,719.6,693.2,406.9,496.8,435.6,453.6,844.0,315.9,426.4,597.8,194.0,375.3,787.1,400.1,430.9,340.2,897.0,588.5,449.5,984.3,650.5,497.4,873.8,400.6,634.3,516.5,893.4,386.0,719.0,637.3,582.8,810.6,1024.4,2062.1,460.2,368.3,833.7,893.5,238.8,530.3,854.9,911.6,703.5,538.9,570.8,452.6,284.2,526.6,719.4,836.1,306.2,448.3,894.6,494.1,602.2,816.1,375.9,993.7,230.2,846.5,822.1,791.9,404.3,846.6,922.5,644.9,682.2,948.7,861.1,752.1,507.6,305.5,558.6,827.7,805.0,811.8,923.8,288.4,565.4,616.9,296.9,767.1,680.0
BK,222.9,197.7,591.0,0.0,370.8,382.1,370.3,420.8,469.7,518.4,481.3,149.6,422.9,214.8,507.4,75.0,203.4,652.0,391.9,504.6,190.4,298.0,204.0,506.3,213.5,299.9,254.3,701.7,483.9,585.4,634.1,538.4,332.3,748.2,261.8,111.9,175.6,568.4,392.1,826.1,309.9,422.0,137.4,176.9,604.1,604.2,382.1,650.8,398.0,423.3,372.9,162.8,458.5,572.5,259.6,507.5,628.1,537.4,296.9,354.6,556.9,384.2,215.5,443.9,456.1,597.8,199.3,623.9,293.3,583.2,191.5,403.4,348.9,210.5,589.0,2088.8,567.6,314.8,233.6,293.4,454.0,476.8,254.8,465.6,229.5,63.0,135.8,560.0,391.6,634.0,245.4,390.1,413.6,394.8,294.5,440.6,368.3,216.0,278.6,625.1,427.4,483.4,222.0,191.8,350.8,246.5,322.4,752.3,186.5,348.6,267.3,224.6,104.3,290.3,666.0,274.5,228.3,211.7,330.0,485.6,376.5,181.9,404.3,239.6,379.9
BO,241.1,322.8,805.4,361.7,0.0,436.8,496.6,635.2,385.7,240.6,566.1,372.6,519.5,346.6,721.8,402.9,238.6,866.4,682.9,226.8,182.0,183.5,170.4,253.2,339.8,242.8,197.2,916.1,698.3,799.8,848.5,752.8,418.5,962.6,204.7,356.0,292.3,782.8,606.5,1040.5,252.8,396.7,247.3,303.2,814.2,818.6,466.9,865.2,120.2,637.7,457.7,305.1,672.9,786.9,236.2,721.9,842.5,751.8,320.0,628.7,771.3,407.3,438.5,307.8,178.3,812.2,362.9,838.3,316.4,797.6,209.7,677.5,470.8,335.6,335.9,2367.2,782.0,435.1,227.0,418.5,668.4,275.1,277.9,187.8,355.8,414.9,332.1,774.4,606.0,848.4,371.7,112.3,628.0,521.1,419.6,387.4,642.4,275.9,556.8,347.3,641.8,205.6,356.4,254.6,435.6,269.6,345.5,966.7,258.3,483.0,210.2,201.2,395.3,504.7,880.4,229.2,154.1,336.8,272.9,700.0,667.5,285.2,618.7,216.2,126.8
BP,518.6,566.0,613.1,367.1,426.2,0.0,392.4,442.9,491.8,270.9,503.4,352.8,82.6,418.0,529.5,295.1,431.9,674.1,414.0,413.5,558.7,536.7,499.7,570.5,455.7,596.0,550.4,723.8,506.0,607.5,656.2,560.5,354.4,770.3,557.9,315.1,378.8,590.5,414.2,848.2,606.0,39.8,487.8,461.4,626.2,626.3,404.2,672.9,421.2,445.4,395.0,366.0,480.6,594.6,555.3,529.6,650.2,559.5,665.2,191.8,579.0,752.5,418.7,466.0,257.7,619.9,402.5,646.0,661.6,605.3,487.2,240.6,33.9,578.8,689.1,2009.5,589.7,336.9,601.9,661.7,476.1,498.9,623.1,374.5,471.7,307.1,339.0,582.1,413.7,656.1,487.6,323.5,435.7,416.9,662.8,462.7,205.5,584.3,300.7,377.6,449.5,230.4,590.3,560.1,372.9,614.8,690.7,774.4,450.4,716.9,563.4,520.3,275.8,312.4,688.1,595.9,507.3,580.0,626.1,507.7,398.6,385.1,426.4,535.3,480.0
BS,608.8,574.5,401.2,375.6,505.4,392.7,0.0,231.0,211.8,653.0,223.4,361.3,433.5,426.5,315.7,290.2,440.4,462.2,357.5,639.2,549.7,551.2,538.1,290.5,464.2,610.5,564.9,511.9,294.1,395.6,444.3,348.6,74.4,558.4,572.4,323.6,387.3,378.6,202.3,636.3,620.5,432.6,496.3,469.9,410.0,414.4,124.2,461.0,532.6,233.5,115.0,374.5,268.7,382.7,603.9,317.7,438.3,347.6,687.7,365.2,367.1,775.0,427.2,186.0,590.7,408.0,411.0,434.1,684.1,393.4,577.4,414.0,359.5,587.3,713.0,1963.0,377.8,56.9,594.7,670.2,264.2,218.9,645.6,600.2,480.2,315.6,347.5,370.2,201.8,444.2,496.1,524.7,223.8,107.7,671.3,182.7,378.9,643.6,152.6,759.7,237.6,618.0,598.8,622.3,92.9,637.3,713.2,562.5,458.9,725.4,577.9,568.9,284.3,100.5,476.2,596.9,521.8,588.5,640.6,295.8,342.1,393.6,214.5,583.9,368.6
BY,578.9,626.3,292.1,427.4,645.3,444.5,252.3,0.0,351.7,715.5,363.3,413.1,485.3,478.3,184.0,355.4,492.2,231.1,409.3,779.1,619.0,661.7,560.0,430.4,516.0,722.2,676.6,380.2,185.0,164.5,312.6,239.5,214.3,327.3,684.1,375.4,439.1,269.5,93.2,504.6,732.2,484.4,548.1,521.7,300.9,183.3,264.1,351.9,672.5,57.2,248.9,426.3,159.8,273.6,615.6,186.0,329.2,238.5,725.5,417.0,136.0,812.8,479.0,325.9,702.3,298.9,462.8,302.4,721.9,284.3,547.5,465.8,411.3,639.1,852.9,1960.4,246.1,196.8,662.2,722.0,155.1,358.8,683.4,740.1,532.0,367.4,399.3,238.5,29.6,269.9,547.9,664.6,6.8,276.8,723.1,322.6,430.7,644.6,204.4,822.2,128.5,675.0,650.6,620.4,232.8,675.1,751.0,430.8,510.7,777.2,689.6,580.6,336.1,134.0,245.1,656.2,633.5,640.3,752.3,186.7,393.9,445.4,16.2,595.6,508.5
CD,495.2,576.9,537.9,615.8,391.8,529.4,229.1,367.7,0.0,539.4,298.6,498.0,570.2,600.7,454.3,440.3,492.7,598.9,494.2,525.6,436.1,437.6,424.5,176.9,593.9,496.9,451.3,648.6,430.8,532.3,581.0,485.3,151.0,695.1,458.8,460.3,546.4,515.3,339.0,773.0,506.9,569.3,501.4,557.3,551.0,551.1,199.4,597.7,419.0,370.2,190.2,559.2,405.4,519.4,490.3,454.4,575.0,484.3,574.1,501.9,503.8,661.4,563.9,72.4,477.1,544.7,617.0,570.8,570.5,530.1,463.8,550.7,496.2,589.7,599.4,2099.7,514.5,167.6,481.1,672.6,400.9,105.3,532.0,486.6,609.9,452.3,586.2,506.9,338.5,580.9,625.8,411.1,360.5,253.6,673.7,119.9,515.6,530.0,289.3,646.1,374.3,504.4,610.5,508.7,168.1,523.7,599.6,699.2,512.4,737.1,464.3,455.3,421.0,237.2,612.9,483.3,408.2,590.9,527.0,432.5,478.8,539.3,351.2,470.3,255.0
CG,409.1,490.8,875.1,529.7,241.0,261.9,654.4,704.9,553.7,0.0,734.1,540.6,344.6,514.6,791.5,557.1,406.6,936.1,676.0,228.3,350.0,351.5,338.4,421.2,507.8,410.8,365.2,985.8,768.0,869.5,918.2,822.5,586.5,1032.3,372.7,524.0,460.3,852.5,676.2,1110.2,420.8,221.8,415.3,471.2,888.2,888.3,634.9,934.9,236.0,707.4,625.7,473.1,742.6,856.6,404.2,791.6,912.2,821.5,488.0,453.8,841.0,575.3,606.5,475.8,72.5,881.9,530.9,908.0,484.4,867.3,377.7,502.6,295.9,503.6,503.9,2271.5,851.7,598.9,395.0,586.5,738.1,443.1,445.9,189.3,523.8,569.1,500.1,844.1,675.7,918.1,539.7,138.3,697.7,678.9,587.6,555.4,467.5,443.9,562.7,106.6,711.5,45.2,524.4,422.6,603.6,437.6,513.5,1036.4,426.3,651.0,378.2,369.2,537.8,574.4,950.1,397.2,322.1,504.8,440.9,769.7,660.6,453.2,688.4,384.2,294.8
