from_stop,AT,BF,BI,BL,CM,CO,CX,DB,EE,EQ,ET,FI,FM,FO,FV,GB,GL,GN,GW,HE,JT,KY,LO,LQ,ND,NR,OJ,OP,PC,PE,PJ,PL,PT,QW,RE,RP,SE,SK,SL,SN,TE,TO,TV,UP,VI,VU,WD,XN,XU,YT,ZR
AT,0.0,247.7,104.5,336.4,347.5,213.4,2325.5,24.1,1.3,279.7,363.2,12.7,239.8,134.5,312.2,331.1,285.2,355.3,352.5,342.6,201.4,339.9,313.9,329.2,211.7,63.6,291.7,225.9,270.2,356.0,221.5,12.7,345.6,200.3,115.0,330.4,341.1,280.5,359.9,147.8,299.3,259.6,246.5,148.2,3.6,277.6,257.9,241.8,293.6,139.7,332.3
BF,231.0,0.0,251.3,193.3,128.4,70.3,2259.7,258.9,232.4,136.6,147.4,243.8,145.2,215.5,120.2,118.5,136.4,131.6,104.7,118.4,104.5,147.9,66.1,137.2,114.8,222.3,113.1,87.1,170.3,139.7,144.5,243.8,133.0,83.6,255.7,138.4,128.5,101.9,112.1,201.6,62.0,81.0,151.9,167.3,234.7,96.9,79.3,136.7,45.8,176.2,84.5
BI,111.3,238.4,0.0,301.9,318.1,184.0,2296.1,136.2,112.7,250.3,333.8,124.1,256.8,262.0,279.8,282.0,255.8,306.2,316.6,308.1,172.0,310.5,304.6,299.8,182.3,39.8,258.4,196.5,281.9,302.3,192.2,124.1,296.5,161.5,105.6,301.0,292.0,251.1,307.5,275.3,250.2,230.2,263.5,165.2,114.9,246.1,228.5,212.4,252.8,156.9,323.0
BL,372.0,162.7,338.8,0.0,81.5,129.0,2177.6,391.8,368.3,136.9,57.5,384.8,288.1,364.3,35.6,138.0,145.0,162.2,195.0,96.9,153.8,22.9,151.3,33.2,134.7,309.8,137.0,124.9,318.3,55.6,152.0,384.8,152.5,160.7,343.2,56.1,153.1,97.9,194.5,355.5,129.2,77.1,294.8,321.2,370.6,74.9,79.6,114.7,121.4,323.9,169.7
CM,323.1,133.7,306.9,113.8,0.0,100.0,2148.6,354.4,324.5,102.8,19.0,335.9,282.0,358.2,67.2,109.0,63.4,133.2,160.9,7.4,142.6,94.9,122.3,84.2,128.6,266.0,58.1,90.8,312.4,57.9,163.9,335.9,123.5,114.3,299.4,85.4,119.0,46.9,160.4,344.3,100.2,48.2,288.7,310.0,326.8,69.5,50.6,144.3,87.3,318.9,140.7
CO,223.0,48.3,206.8,122.9,93.5,0.0,2112.0,247.9,224.4,66.2,149.7,235.8,162.2,238.4,85.3,91.9,101.5,116.1,132.5,88.6,50.9,140.8,114.5,102.3,61.2,165.9,78.2,12.5,192.6,142.5,90.9,235.8,106.4,14.2,199.3,103.5,101.9,67.0,123.4,224.5,60.1,46.1,168.9,190.2,226.7,67.6,44.4,101.8,94.2,197.5,132.9
CX,2128.9,1954.2,2112.7,1865.7,1921.8,1905.8,0.0,2153.8,2130.3,1845.7,1892.5,2141.7,2068.1,2144.3,1901.4,1908.0,1985.3,1878.6,1875.9,1980.3,1956.8,1883.6,1930.4,1893.9,1967.1,2071.8,1950.8,1896.6,2098.5,1909.0,1996.8,2141.7,1890.5,1920.1,2105.2,1897.4,1895.9,1957.6,1866.8,2130.4,1942.9,1980.0,2074.8,2096.1,2132.6,1946.3,1982.4,1980.5,1911.1,2103.4,1908.7
DB,34.1,262.6,107.5,349.2,362.4,228.3,2340.4,0.0,33.8,294.6,384.5,44.9,257.7,166.7,327.1,352.4,300.1,370.2,367.4,352.4,216.3,354.8,328.8,344.1,226.6,78.5,302.7,240.8,288.1,346.6,236.4,44.9,360.5,205.8,132.9,345.3,356.0,295.4,374.8,180.0,320.6,280.9,261.4,163.1,34.9,290.4,272.8,256.7,308.5,161.0,353.6
EE,1.3,249.1,105.9,337.8,348.9,214.8,2326.9,25.5,0.0,281.1,364.6,11.3,241.2,133.1,313.6,332.5,286.6,356.7,353.9,344.0,202.8,341.3,315.3,330.6,213.1,65.0,293.1,227.3,271.6,357.4,222.9,11.3,347.0,201.7,116.4,331.8,342.5,281.9,361.3,146.4,300.7,261.0,247.9,149.6,2.3,279.0,259.3,243.2,295.0,141.1,333.7
EQ,283.1,108.4,255.0,56.6,112.7,60.0,2045.7,308.0,284.5,0.0,83.4,295.9,222.3,298.5,96.9,87.0,118.1,68.9,66.2,128.1,111.0,74.5,100.3,84.8,121.3,226.0,90.9,50.8,252.7,71.3,151.0,295.9,80.8,74.3,259.4,88.3,97.0,83.6,57.1,284.6,120.2,62.7,229.0,250.3,286.8,84.2,61.0,118.4,65.3,257.6,99.0
ET,352.4,163.0,336.2,148.4,29.2,129.3,2177.9,377.3,353.8,132.1,0.0,365.2,311.3,387.5,96.5,138.3,92.7,162.5,190.2,36.7,171.9,124.2,151.6,113.5,157.9,295.3,117.7,120.1,341.7,38.9,193.2,365.2,152.8,143.6,328.7,114.7,148.3,76.2,189.7,373.6,129.5,77.5,318.0,339.3,356.1,98.8,79.9,173.6,116.6,348.2,170.0
FI,12.7,260.5,117.3,344.1,360.3,226.2,2338.3,34.9,11.3,292.5,376.0,0.0,258.8,118.8,325.0,343.9,298.0,368.1,365.3,355.4,214.2,352.7,326.7,342.0,224.5,76.4,304.5,238.7,289.2,368.8,234.3,0.0,358.4,213.1,127.8,343.2,353.9,293.3,372.7,132.1,312.1,272.4,265.5,167.2,9.0,290.4,270.7,254.6,306.4,158.7,345.1
FM,141.2,251.1,159.5,365.5,391.7,275.6,2418.3,166.1,142.6,341.9,410.7,154.0,0.0,233.7,318.9,327.3,329.4,351.5,337.2,381.7,245.6,346.7,317.3,335.9,255.9,130.5,338.8,288.1,25.0,338.4,210.6,154.0,341.8,262.5,181.9,337.1,337.3,331.5,344.6,259.9,291.6,310.6,6.6,84.0,144.9,290.2,308.9,248.5,275.4,75.7,335.7
