from_stop,AM,AO,BE,BS,BW,CB,CI,CQ,DB,DM,DZ,EL,ER,EU,FE,FR,GD,GH,GZ,HK,HU,HZ,IH,IM,IY,IZ,JH,JK,JL,JO,KB,KI,KQ,KS,LN,LP,MA,MR,MU,MZ,NH,NM,OD,OF,OH,OQ,OS,OV,PA,PL,PM,QG,QM,QV,RC,RH,RM,RS,SC,SD,SM,SR,TR,TW,UK,UL,UR,VL,VP,VZ,XC,XH,XN,XO,XS,XT,XU,XZ,YI,YN,YO,YU,ZA,ZB,ZK,ZQ,ZX
AM,0.0,248.2,387.6,89.3,73.7,169.0,113.6,29.5,137.7,189.8,77.2,72.3,164.6,145.5,87.5,418.3,305.4,115.0,81.4,210.6,80.8,145.4,109.2,112.4,48.5,78.0,150.5,228.7,376.9,524.5,99.6,128.5,66.8,26.1,397.0,195.3,169.8,88.9,411.1,337.5,176.2,453.7,135.7,377.5,98.9,193.3,319.7,397.0,326.3,443.1,119.9,103.7,455.9,420.6,226.7,155.9,484.9,169.1,375.3,313.5,161.5,116.9,200.9,356.7,49.9,381.2,74.9,226.8,241.3,225.7,386.7,86.1,222.3,115.7,217.7,128.8,232.3,124.9,1413.2,251.8,124.7,373.8,369.0,192.2,259.7,148.2,198.0
AO,248.9,0.0,224.1,272.6,177.0,100.1,138.7,230.8,139.2,80.0,232.3,255.6,148.4,199.2,267.4,254.8,146.7,298.3,334.2,113.4,270.0,116.9,300.1,161.3,193.9,223.6,134.3,92.3,213.4,361.0,282.9,134.5,250.1,279.9,249.8,74.7,218.7,289.7,247.6,178.8,88.4,290.2,127.3,211.1,300.2,242.2,156.2,233.5,162.8,279.6,143.1,305.0,296.3,257.1,125.3,100.3,374.2,85.0,216.6,154.8,92.1,272.0,310.5,198.0,233.2,217.7,305.6,125.3,82.9,89.3,223.2,263.8,120.8,270.8,36.4,167.4,73.6,292.7,1564.6,88.3,308.0,210.2,224.7,236.0,224.6,128.2,129.8
BE,398.5,248.7,0.0,292.1,313.4,261.9,300.5,380.4,280.3,241.8,381.9,308.9,310.2,310.8,417.0,30.6,90.9,361.6,363.3,275.2,333.3,228.7,315.9,272.9,343.5,373.2,296.1,254.1,135.1,136.8,283.1,246.1,314.8,429.5,72.5,236.5,330.3,353.8,91.3,123.0,250.2,66.0,238.9,98.9,449.8,353.8,65.7,115.6,107.0,55.4,254.7,330.8,68.2,32.9,287.1,262.1,150.0,246.8,131.9,99.0,253.9,421.6,320.9,73.3,382.8,105.5,339.5,147.7,161.2,251.1,125.4,327.1,282.6,420.4,197.3,329.2,170.2,442.3,1547.5,160.4,322.2,14.5,49.3,352.7,235.0,290.0,291.6
BS,130.8,240.7,284.2,0.0,114.6,289.1,176.0,101.2,203.6,182.7,134.3,16.7,185.7,218.5,128.4,299.2,206.8,69.4,72.1,132.3,41.1,136.4,27.4,180.6,83.6,114.1,171.6,184.5,273.5,404.5,10.2,153.8,22.6,108.1,341.0,177.7,238.0,61.6,324.7,238.9,191.1,334.6,146.6,274.1,79.3,261.5,216.3,328.1,222.9,324.0,162.4,42.3,336.8,301.5,137.3,162.0,400.3,167.4,276.7,214.9,174.5,159.3,116.3,258.1,46.6,275.2,47.3,137.4,203.6,144.9,283.3,34.9,132.9,150.1,210.2,204.7,212.6,140.0,1323.8,202.8,30.0,270.4,284.8,265.2,170.3,192.6,232.5
BW,89.8,175.8,309.0,108.7,0.0,90.4,42.5,66.9,59.1,111.2,68.4,91.7,93.5,71.7,103.5,339.7,231.6,134.4,170.3,132.0,106.1,66.8,136.2,33.8,30.0,59.7,79.4,150.1,298.3,445.9,119.0,49.9,86.2,116.0,320.3,116.7,91.2,162.2,332.7,263.7,102.4,375.1,57.1,296.0,136.3,114.7,241.8,318.4,247.7,364.5,41.3,145.0,377.3,344.2,142.2,84.8,459.1,98.0,301.5,239.7,90.4,108.1,225.1,270.4,69.3,305.4,112.3,456.8,167.2,147.1,308.1,99.9,137.7,106.9,145.3,57.7,158.5,128.8,1432.6,168.7,144.1,295.2,295.2,108.5,174.5,69.6,119.4
CB,156.8,106.7,263.9,185.6,76.8,0.0,114.3,138.7,43.7,42.1,140.2,163.5,155.1,136.9,175.3,294.6,186.5,206.2,243.1,98.7,177.9,93.4,208.0,80.4,101.8,131.5,141.0,81.0,253.2,400.8,190.8,76.5,158.0,187.8,287.7,47.6,156.4,208.8,287.4,197.2,33.3,330.0,83.7,253.8,208.1,174.8,196.0,273.3,202.6,298.0,67.9,212.9,332.2,296.9,92.6,99.2,392.6,91.7,256.4,194.6,98.8,179.9,292.1,225.3,141.1,257.5,189.2,114.0,117.6,78.0,241.6,171.7,109.5,178.7,54.8,129.5,113.4,200.6,1541.1,128.1,215.9,250.1,264.5,173.7,201.1,49.1,50.3
CI,114.9,134.5,291.7,133.8,52.5,202.3,0.0,92.0,109.8,94.5,93.5,116.8,50.9,116.7,128.6,322.4,214.3,159.5,195.4,104.0,131.2,54.4,161.3,78.8,56.3,84.8,36.8,126.8,281.0,428.6,144.1,52.0,111.3,141.1,315.5,89.2,136.2,151.7,315.2,246.4,102.9,357.8,44.8,281.6,161.4,159.7,224.5,301.1,230.4,347.2,60.6,170.1,363.9,324.7,129.7,42.2,441.8,55.4,284.2,222.4,47.8,133.2,250.2,265.6,94.4,288.1,137.4,49.1,145.4,123.8,290.8,125.0,125.3,132.0,104.0,28.6,141.2,153.9,1457.7,155.9,169.2,277.9,292.3,163.4,162.1,98.8,144.3
CQ,29.5,245.3,389.3,66.4,75.6,225.8,110.7,0.0,134.8,186.9,74.3,49.4,161.7,147.4,89.4,365.7,307.3,92.1,110.0,198.8,63.8,142.5,79.6,109.5,44.6,75.1,147.6,225.8,374.0,471.0,76.3,124.3,43.9,55.7,396.0,192.1,173.2,84.8,391.2,351.4,178.1,401.1,132.8,371.7,69.3,190.4,317.5,394.1,323.4,390.5,117.0,78.0,403.3,370.2,203.8,153.0,469.0,166.2,377.2,315.4,158.6,114.0,182.8,346.1,27.0,375.7,104.6,113.3,242.9,211.4,383.8,57.6,199.4,103.9,214.8,125.9,234.2,95.3,1390.3,244.4,101.8,371.2,370.9,194.1,236.8,145.3,195.1
DB,139.0,121.3,278.5,157.9,49.1,67.3,91.7,116.1,0.0,81.3,117.6,140.9,125.8,109.2,152.7,309.2,201.1,183.6,219.5,72.8,155.3,70.8,185.4,57.8,80.4,108.9,111.7,113.6,267.8,415.4,168.2,53.9,135.4,165.2,297.2,76.3,128.7,186.2,302.0,233.2,79.3,344.6,61.1,265.5,185.5,152.2,210.6,287.9,217.2,334.0,45.3,194.2,346.8,313.7,122.5,76.6,428.6,62.4,271.0,209.2,69.5,157.3,264.4,239.9,118.5,272.1,161.5,426.3,136.7,110.6,277.6,149.1,118.1,156.1,90.8,106.9,128.0,178.0,1518.5,138.2,193.3,264.6,272.1,146.0,178.5,10.4,96.3
DM,186.8,64.5,226.3,205.7,96.9,132.3,103.2,163.9,63.8,0.0,165.4,188.7,112.9,157.0,200.5,252.4,144.3,231.4,267.3,77.9,203.1,81.4,233.2,105.6,128.2,156.7,98.8,38.8,211.0,358.6,215.6,100.4,183.2,213.0,247.4,5.2,182.8,233.6,245.4,188.4,8.3,287.8,91.8,208.7,233.3,200.0,154.5,231.1,160.4,277.2,93.1,242.0,290.0,256.9,71.8,64.8,369.5,49.5,214.2,152.4,56.6,205.1,275.0,183.1,166.3,212.7,209.2,109.4,79.9,35.8,220.8,196.9,67.3,203.9,34.0,131.9,71.2,225.8,1529.1,81.4,241.1,208.2,222.3,203.7,189.1,74.3,49.7
