from_stop,AA,AN,AT,AZ,BD,BE,BG,BK,BT,BW,CC,CE,CI,CO,CR,CV,CX,DG,DN,DQ,DR,DU,DY,EB,ED,EG,EI,EL,EM,EN,ES,EU,FJ,FO,GE,GF,GO,GR,GY,HL,HN,HS,HU,IA,IC,ID,IV,JF,JG,JO,KF,KO,KR,KX,KY,LA,LD,LG,LJ,LN,LO,LT,MD,MM,MO,MS,MT,NE,NT,NX,OB,OI,OL,OR,PB,PD,PP,PS,PV,PW,PZ,QK,QV,QX,SD,SO,SS,ST,SY,TA,TF,TM,UD,UE,UL,VI,VK,WB,WF,WH,WJ,WR,WW,XG,XH,XT,XY,YA,YF,YG,YI,YZ,ZC,ZD,ZG,ZJ
AA,0.0,246.9,262.1,133.6,232.1,195.0,313.2,154.1,322.4,216.9,113.6,140.2,344.3,139.0,417.8,149.4,112.7,113.0,296.0,132.6,297.6,419.9,173.5,114.6,47.8,149.0,418.4,323.5,160.9,118.7,122.2,188.0,135.8,257.1,201.8,82.4,435.7,377.0,80.6,94.0,295.0,87.9,252.6,350.3,134.5,65.4,389.2,93.0,28.5,157.0,152.9,308.9,213.5,310.9,331.8,377.0,106.0,298.7,113.1,357.9,44.4,37.1,252.9,247.2,300.9,145.5,354.9,258.9,206.5,147.3,261.8,61.1,111.9,102.3,426.3,339.3,174.2,122.9,168.1,159.0,217.3,228.4,307.9,343.0,232.7,121.3,262.7,62.1,193.1,234.5,270.0,275.5,17.6,179.4,234.7,407.6,230.4,73.6,298.6,203.4,156.8,412.2,189.9,320.0,169.6,133.6,225.8,306.6,411.9,81.1,144.1,260.9,2051.7,282.1,100.8,213.1
AN,254.2,0.0,457.6,330.2,75.4,147.5,496.2,348.8,517.1,411.6,276.4,328.2,527.3,253.0,580.9,179.2,276.0,264.7,477.1,327.3,480.6,630.1,145.9,192.0,198.0,133.7,616.1,504.6,218.1,312.0,263.1,135.7,148.1,78.5,95.5,249.6,639.2,558.1,245.9,227.0,486.6,217.5,95.9,524.5,194.1,209.3,583.9,258.2,278.0,353.6,296.9,493.7,126.9,492.0,512.9,604.4,300.7,493.4,229.5,546.8,262.1,207.4,26.4,441.9,483.9,342.1,536.0,462.5,298.2,164.3,456.5,228.3,144.3,293.0,634.6,520.4,88.0,319.5,306.6,264.1,412.0,71.7,489.0,526.3,14.1,268.9,442.2,274.8,86.8,122.0,464.7,95.5,236.5,293.4,429.4,605.9,427.0,203.2,481.6,120.7,186.1,620.5,165.9,501.1,146.2,199.2,123.2,487.7,608.5,295.7,290.0,14.0,1920.4,478.7,235.2,120.0
AT,274.4,472.8,0.0,132.3,465.4,369.0,80.6,108.3,183.3,45.0,249.9,276.9,188.2,220.3,156.7,364.9,261.2,288.8,100.4,135.0,116.6,145.3,407.0,330.1,319.3,382.4,168.5,139.8,335.6,147.9,210.3,421.5,369.3,419.6,435.3,275.9,136.9,112.1,265.7,281.8,63.3,288.5,485.8,164.0,350.0,333.6,126.9,279.0,243.9,104.2,195.9,154.6,370.6,127.2,148.1,237.9,216.7,159.6,245.0,213.0,227.9,308.6,446.2,15.0,119.2,117.0,81.4,77.8,228.2,385.5,84.9,282.0,345.4,237.1,150.0,155.6,407.7,142.2,224.0,256.5,44.6,461.7,124.2,161.5,458.5,280.1,90.3,214.9,426.5,468.0,41.4,509.0,292.1,237.2,95.6,158.3,29.4,304.8,96.0,436.9,390.3,164.1,423.4,162.0,395.0,349.0,463.0,89.8,151.6,235.8,202.8,486.8,2150.7,56.1,275.9,377.7
AZ,140.4,340.7,126.6,0.0,332.9,236.9,181.7,18.5,186.8,81.3,116.9,144.5,212.8,88.1,284.1,232.8,128.8,156.4,162.6,2.7,166.1,286.2,274.9,198.0,187.2,250.4,272.2,190.1,202.6,13.4,69.6,289.4,237.2,287.1,302.9,143.9,295.3,243.6,133.2,149.5,159.4,156.4,353.5,210.0,217.9,201.2,253.6,146.6,111.4,23.3,69.9,175.5,238.5,177.5,198.4,241.4,84.6,163.1,111.9,216.5,95.7,176.2,313.9,111.6,169.4,11.8,221.5,125.2,101.5,248.7,126.2,149.6,213.3,105.0,290.7,205.9,275.6,9.9,98.0,128.4,81.7,329.6,174.5,209.6,326.5,148.0,129.0,82.8,294.5,335.7,134.4,376.9,160.0,111.2,99.1,273.7,96.7,171.6,167.1,304.8,258.2,276.6,291.3,186.6,271.0,216.7,327.2,173.2,278.2,103.3,76.8,354.7,2135.1,148.4,143.8,245.6
BD,238.3,54.3,441.0,314.3,0.0,131.6,487.7,332.9,501.2,395.7,260.5,316.9,518.8,244.5,598.5,172.7,262.1,242.8,468.6,311.4,472.1,600.6,132.5,176.1,182.1,117.8,586.6,496.1,202.4,296.1,263.2,122.3,132.2,44.6,79.6,233.7,609.7,549.6,230.0,207.7,470.7,201.6,20.4,516.0,187.6,195.2,568.0,244.3,262.1,337.7,288.4,481.5,111.0,483.5,504.4,595.9,284.8,477.5,221.0,530.9,246.2,191.5,60.3,426.0,475.4,326.2,527.5,439.6,289.7,143.7,440.6,212.4,128.4,277.1,605.1,511.9,72.1,303.6,298.1,268.6,396.1,3.5,480.5,515.6,40.1,253.0,426.3,258.9,70.9,108.6,448.8,48.0,220.6,284.9,413.5,588.3,411.1,187.3,473.1,107.3,172.7,591.0,152.5,492.6,130.3,195.1,103.6,479.2,592.6,279.8,281.5,68.3,1936.3,462.8,226.7,104.1
BE,180.6,125.4,348.4,221.0,110.6,0.0,382.6,239.6,449.2,302.4,188.6,254.6,413.7,139.4,471.7,115.8,162.4,191.1,363.5,218.1,367.0,516.5,78.7,109.4,124.4,60.1,502.5,391.0,32.4,202.8,149.5,68.5,74.5,105.7,80.3,161.8,525.6,444.5,131.4,153.4,392.0,143.9,131.1,410.9,129.3,135.7,474.7,144.6,204.4,244.4,183.3,380.1,31.4,378.4,399.3,490.8,206.9,425.5,115.9,478.9,188.5,133.8,131.4,332.7,370.3,232.9,422.4,353.3,184.6,90.7,347.3,154.7,70.7,219.4,521.0,406.8,52.7,210.3,193.0,150.5,302.8,106.9,375.4,412.7,111.2,195.3,333.0,201.2,71.6,109.2,355.5,150.2,162.9,179.8,320.2,492.3,317.8,129.6,368.0,78.1,118.9,506.9,98.7,387.5,72.6,124.2,108.0,374.1,499.3,222.1,176.4,139.4,1953.3,369.5,121.6,18.0
BG,321.0,511.9,46.6,178.6,504.5,408.1,0.0,154.9,124.7,91.6,295.8,323.5,120.5,259.5,156.8,404.0,307.8,335.4,19.0,181.6,74.7,214.2,446.1,369.2,353.2,421.6,200.2,58.4,374.0,192.3,240.8,460.6,408.4,458.7,474.4,322.6,131.5,130.9,304.8,328.5,33.2,335.1,525.0,82.6,389.1,368.9,126.3,318.0,290.5,150.1,240.8,83.2,409.7,45.8,66.7,159.2,263.3,101.0,283.4,160.2,274.6,342.5,485.4,61.5,37.7,163.7,89.8,70.4,272.4,424.6,82.2,321.2,384.5,283.7,218.7,74.2,446.8,188.8,268.9,299.3,91.2,500.8,42.8,80.1,497.7,326.7,83.7,261.5,465.7,507.1,71.4,548.1,338.7,282.1,99.1,201.7,76.1,350.7,14.5,476.0,429.4,204.6,462.5,94.3,442.2,388.2,498.4,8.4,150.9,275.4,247.7,525.9,2092.1,46.2,315.0,416.8
BK,166.0,364.4,108.7,23.6,357.0,260.6,179.3,0.0,168.2,62.7,140.8,163.9,210.4,112.0,232.0,256.5,152.8,175.3,160.2,26.6,163.7,283.8,298.6,221.7,210.9,274.1,269.8,187.7,226.3,40.8,101.9,313.1,260.9,311.2,326.9,167.6,292.9,241.2,157.3,169.8,137.7,180.1,377.5,207.6,241.6,223.4,235.0,170.6,135.5,4.7,87.5,176.8,262.2,175.1,196.0,222.8,108.3,144.5,135.9,197.9,119.6,200.2,337.9,93.0,167.0,8.7,219.1,113.6,119.8,277.1,107.6,173.7,237.0,128.7,288.3,203.5,299.3,33.8,115.6,148.1,63.1,353.3,172.1,209.4,350.2,171.7,93.3,106.5,318.2,359.6,115.8,400.6,183.7,128.8,80.5,259.6,78.1,195.7,164.7,328.5,281.9,274.2,315.0,184.2,286.6,236.5,354.6,170.8,259.6,127.4,94.4,378.4,2158.8,129.8,167.5,269.3
BT,339.2,543.2,191.7,196.8,535.8,439.4,190.6,173.1,0.0,237.5,314.0,337.1,112.3,290.8,160.7,435.3,326.0,348.5,188.3,199.8,212.1,143.1,477.4,400.5,384.1,452.9,159.0,138.3,405.1,214.0,280.7,491.9,439.7,490.0,505.7,340.8,152.2,113.4,336.1,343.0,216.8,353.3,556.3,118.4,420.4,396.6,208.1,343.8,308.7,168.3,246.3,144.2,440.0,149.1,158.1,55.2,281.5,23.6,314.7,29.7,292.8,373.4,516.7,207.4,159.4,181.9,175.5,160.7,281.6,455.9,128.3,352.5,415.8,301.9,177.5,122.5,478.1,207.0,274.4,306.9,237.1,532.1,154.0,171.5,529.0,344.9,140.4,279.7,497.0,538.4,233.9,579.4,356.9,287.6,127.6,118.9,222.0,368.9,205.2,507.3,460.7,163.4,493.8,137.2,465.4,415.3,533.4,199.1,228.5,300.6,253.2,557.2,2065.3,228.4,352.4,447.1
BW,229.3,427.7,45.9,86.9,420.3,323.9,106.8,63.2,138.2,0.0,204.1,227.2,143.1,175.3,169.2,319.8,216.1,238.6,106.9,89.9,104.1,227.7,361.9,285.0,274.2,337.4,213.7,134.4,289.6,104.1,165.2,376.4,324.2,374.5,390.2,230.9,236.8,173.9,220.6,233.1,74.9,243.4,440.8,154.3,304.9,286.7,172.2,233.9,198.8,58.4,150.8,109.5,325.5,121.8,142.7,192.8,171.6,114.5,199.2,167.9,182.9,263.5,401.2,30.2,113.7,72.0,165.8,83.6,183.1,340.4,77.6,237.0,300.3,192.0,232.2,150.2,362.6,97.1,178.9,211.4,0.3,416.6,118.8,156.1,413.5,235.0,80.4,169.8,381.5,422.9,53.0,463.9,247.0,192.1,50.5,203.5,15.3,259.0,111.4,391.8,345.2,218.1,378.3,116.9,349.9,299.8,417.9,117.5,196.8,190.7,157.7,441.7,2105.6,67.0,230.8,332.6
