from_stop,AK,AM,AS,AU,AV,AX,AY,AZ,BF,BJ,BY,CB,DG,DN,DS,DW,EH,EP,ER,FB,FD,FS,FT,GA,GN,GT,HD,HE,HI,HL,HV,HX,IF,IG,II,IN,IZ,JH,JL,JT,KS,KT,LH,LQ,MC,MF,MS,MT,NA,ND,NF,NI,NM,NT,NV,NZ,OJ,OK,OQ,OX,QL,QW,RN,RR,RU,SC,SE,SJ,SK,SO,SW,TG,TW,TY,VC,VE,VF,VN,VP,VS,VZ,WA,WD,WH,WK,WL,WS,WU,XG,XJ,XQ,XR,XS,XW,YF,YO,YP,YQ,YR,YW,ZJ,ZL,ZM,ZQ,ZT,ZY
AK,0.0,452.2,228.9,826.5,627.4,524.8,471.9,542.3,90.6,668.8,694.5,341.3,375.3,758.3,463.9,358.8,464.0,580.1,692.1,742.5,517.8,969.7,496.9,254.3,358.2,633.6,540.4,623.7,2190.4,573.7,892.6,637.2,349.2,1065.3,471.4,589.2,329.1,573.8,765.2,26.8,683.1,832.0,775.6,73.6,642.1,570.0,251.9,564.1,984.1,965.3,652.6,700.2,415.9,553.4,768.4,629.6,702.1,435.4,638.4,368.7,217.6,867.9,677.0,625.2,643.2,557.5,531.2,104.1,481.2,369.3,498.9,922.8,696.1,375.6,97.2,512.8,559.7,204.6,279.2,1107.7,625.1,1145.7,600.5,754.7,418.9,664.4,596.0,687.5,186.6,647.9,445.2,305.4,550.0,665.7,577.4,509.0,245.3,737.9,1011.5,561.8,657.0,490.5,722.6,517.6,550.6,551.0
AM,440.7,0.0,200.6,568.8,172.1,168.1,255.4,325.6,345.5,228.4,440.3,128.1,71.1,504.1,8.6,142.1,107.3,223.1,434.4,484.8,161.1,712.0,140.2,174.8,111.1,225.8,323.7,238.9,1735.1,316.0,636.9,238.2,130.8,807.6,258.2,373.6,473.2,316.1,507.5,464.1,425.4,577.8,517.9,359.9,186.8,213.3,177.4,306.4,726.6,707.6,244.8,442.5,72.2,336.7,514.2,170.2,447.9,177.7,258.8,121.6,215.4,610.2,290.6,220.4,257.0,299.8,174.5,327.9,269.2,152.6,142.2,665.1,269.2,72.0,335.1,296.1,203.0,224.9,148.1,850.0,220.3,888.0,342.8,500.5,202.2,209.1,338.3,282.7,290.5,261.1,228.5,168.0,292.3,210.4,224.2,152.0,184.2,480.2,753.8,205.1,399.3,273.8,247.0,259.9,181.0,143.2
AS,236.5,223.2,0.0,597.5,398.4,295.8,242.9,313.3,141.3,439.8,465.5,112.3,146.3,529.3,234.9,129.8,235.0,351.1,463.1,513.5,288.8,740.7,267.9,25.3,129.2,404.6,311.4,394.7,1961.4,344.7,663.6,408.2,120.2,836.3,242.4,360.2,272.5,344.8,536.2,263.4,454.1,603.0,546.6,159.2,413.1,341.0,22.9,335.1,755.1,736.3,423.6,471.2,186.9,324.4,539.4,400.6,473.1,206.4,409.4,139.7,11.2,638.9,448.0,396.2,414.2,328.5,302.2,127.2,252.2,140.3,269.9,693.8,467.1,146.6,134.4,283.8,330.7,24.2,50.2,878.7,396.1,916.7,371.5,525.7,189.9,435.4,367.0,458.5,86.3,418.9,216.2,76.4,321.0,436.7,348.4,280.0,16.3,508.9,782.5,332.8,428.0,261.5,493.6,288.6,321.6,322.0
AU,802.8,531.4,566.2,0.0,475.7,608.5,620.8,691.2,707.6,421.4,447.1,490.2,493.2,503.2,513.7,507.7,597.5,483.3,444.7,495.1,601.5,143.1,563.7,540.4,476.7,544.7,689.3,499.1,2200.0,326.3,66.0,513.0,498.1,238.7,620.3,738.1,838.8,423.4,58.1,829.7,317.0,5.4,46.7,725.5,490.4,517.0,543.0,243.4,157.5,138.7,503.1,445.1,533.8,702.3,513.3,477.9,454.7,366.6,391.0,487.2,577.5,41.3,429.6,536.3,395.8,310.1,617.1,693.5,630.1,518.2,598.8,96.2,448.7,526.4,700.7,661.7,495.5,590.5,513.7,281.1,525.1,319.1,398.4,69.7,567.8,512.7,423.6,457.5,652.6,523.3,594.1,533.6,390.1,514.0,501.8,588.9,549.8,88.2,184.9,525.2,150.2,639.4,454.2,429.9,536.4,406.2
AV,510.2,158.1,273.6,518.4,0.0,198.3,346.2,416.6,415.0,178.7,329.3,215.6,170.2,599.7,140.4,233.1,148.5,173.4,301.3,371.7,206.5,661.6,143.6,247.8,184.1,176.1,414.7,189.2,1826.7,263.8,584.5,179.7,223.5,757.2,345.7,463.5,546.2,415.2,457.1,537.1,524.5,523.9,467.5,432.9,30.0,207.1,250.4,405.5,676.0,657.2,195.1,541.6,171.3,427.7,609.8,48.3,331.3,276.8,209.1,194.6,284.9,559.8,247.1,167.7,204.3,280.0,159.9,400.9,355.5,243.6,127.6,614.7,225.3,153.1,408.1,387.1,185.6,297.9,221.1,799.6,167.6,837.6,441.9,446.6,293.2,36.9,437.4,230.0,360.0,213.4,319.5,241.0,391.4,63.1,222.1,110.1,257.2,429.8,703.4,215.3,498.4,364.8,194.4,359.0,226.5,93.5
AX,511.1,222.3,274.5,540.8,174.9,0.0,347.1,417.5,415.9,201.1,351.7,216.5,171.1,600.6,204.6,234.0,91.5,154.0,323.7,394.1,8.1,684.0,79.8,248.7,185.0,198.5,415.6,193.3,1890.9,286.2,606.9,202.1,224.4,779.6,346.6,464.4,547.1,416.1,479.5,538.0,525.4,546.3,489.9,433.8,189.6,110.3,251.3,357.7,698.4,679.6,217.5,542.5,172.2,428.6,610.7,177.1,353.7,277.7,231.5,195.5,285.8,582.2,269.5,190.1,226.7,302.4,59.5,401.8,356.4,244.5,54.8,637.1,247.7,154.0,409.0,388.0,141.8,298.8,222.0,822.0,190.0,860.0,442.8,469.0,294.1,211.9,438.3,252.4,360.9,217.5,320.4,241.9,392.3,213.2,188.6,73.9,258.1,452.2,725.8,102.1,450.6,365.7,216.8,359.9,90.9,115.9
AY,481.3,249.7,244.7,623.5,424.4,318.4,0.0,177.0,385.7,465.8,491.5,118.2,172.3,554.0,260.9,101.1,257.6,373.3,489.1,539.1,311.4,766.7,290.5,218.5,155.2,426.8,68.5,417.3,1987.4,370.7,691.6,439.2,115.5,862.3,106.1,114.8,516.9,370.8,561.8,508.2,480.1,629.0,572.6,403.6,438.7,363.6,221.1,361.1,777.8,761.9,445.8,497.2,212.9,81.5,565.4,422.5,499.1,232.4,435.4,165.3,256.8,664.8,479.4,418.8,440.2,354.5,324.8,372.0,120.6,90.9,292.5,719.4,497.8,169.2,378.8,40.9,352.9,268.6,192.2,904.7,418.7,942.7,397.5,551.3,41.9,461.4,393.0,481.1,331.1,434.5,16.6,211.7,346.6,462.3,367.8,311.2,228.3,534.9,808.5,355.0,453.6,18.6,519.6,314.6,330.9,344.6
AZ,514.1,282.0,277.5,656.3,457.2,351.2,159.4,0.0,418.9,498.6,524.3,151.4,205.1,588.1,293.7,133.9,290.4,406.5,521.9,572.3,344.2,799.5,323.3,251.7,188.0,460.0,227.9,450.1,2020.2,403.5,722.4,463.6,143.5,895.1,47.0,276.7,550.1,403.6,595.0,541.0,512.9,661.8,605.4,436.8,471.9,396.4,254.3,393.9,813.9,795.1,479.0,530.0,245.7,240.9,598.2,459.4,531.9,265.2,468.2,198.5,288.8,697.7,506.8,451.6,473.0,387.3,357.6,404.8,39.9,123.7,325.3,752.6,525.9,202.0,412.0,200.3,386.1,301.8,225.0,937.5,451.5,975.5,430.3,584.5,106.4,494.2,425.8,513.9,363.9,474.3,132.7,244.9,379.8,495.5,403.8,335.4,261.1,567.7,841.3,388.2,486.8,178.0,552.4,347.4,377.0,377.4
BF,95.1,361.5,138.2,735.8,536.7,434.1,380.8,451.6,0.0,578.1,603.8,250.6,284.6,666.3,373.2,268.1,373.3,489.4,601.4,651.8,427.1,879.0,406.2,163.6,267.5,542.9,449.7,533.0,2099.7,483.0,803.9,555.3,253.3,974.6,380.7,496.1,238.4,483.1,674.5,122.0,592.4,741.3,684.9,17.9,551.4,479.3,161.2,473.4,890.1,874.6,561.9,609.5,325.2,462.7,677.7,538.9,611.4,344.7,547.7,278.0,126.1,777.2,586.3,534.5,552.5,466.8,440.5,13.4,395.2,278.6,408.2,832.1,610.5,284.9,6.6,422.1,469.0,113.9,188.5,1017.0,534.4,1055.0,509.8,664.0,328.2,573.7,505.3,596.8,95.9,553.1,354.5,214.7,459.3,575.0,483.5,427.3,154.6,647.2,920.8,471.1,566.3,399.8,631.9,426.9,447.0,460.3
BJ,550.8,195.2,314.2,418.9,143.0,288.0,386.8,457.2,455.6,0.0,150.5,256.2,210.8,517.1,181.0,273.7,269.0,150.6,148.1,198.5,281.0,562.1,231.0,288.4,224.7,123.2,455.3,166.4,1867.3,85.0,487.0,141.4,258.9,657.7,386.3,504.1,586.8,345.9,357.6,577.7,332.2,424.4,368.0,473.5,157.7,184.3,291.0,156.5,576.5,557.7,142.2,460.3,211.9,468.3,528.5,145.2,158.1,226.4,30.4,235.2,325.5,460.2,105.8,114.8,25.6,101.2,284.4,441.5,400.8,284.2,266.1,515.2,78.2,193.7,448.7,427.7,162.8,338.5,261.7,700.1,114.7,738.1,372.6,347.1,333.8,180.0,368.1,177.1,400.6,176.3,360.1,281.6,249.9,181.3,169.2,265.2,297.8,330.3,603.9,192.5,249.4,405.4,53.9,289.7,226.3,73.5
