from_stop,AC,AV,AY,AZ,BC,BG,BH,BJ,BP,BW,CB,CC,CH,CJ,CP,CS,CY,DH,DL,DX,EC,EI,EO,ES,EX,EY,FD,FG,FJ,FQ,FV,FX,FY,GG,GH,GQ,GV,HC,HE,HG,HN,HS,HV,IG,II,IK,IL,IN,IR,JI,KA,KB,KF,KG,KL,KN,KS,KT,KZ,LB,LS,LW,MD,MG,MI,MJ,MN,NJ,NM,NQ,NT,NX,NZ,OE,OK,OQ,OZ,PD,PE,PH,PR,PT,PZ,QD,QI,QL,QR,RE,RH,RJ,RL,RM,RP,RR,RT,RV,RZ,SI,SK,SM,ST,SY,SZ,TI,TP,TQ,TW,UA,UC,UH,UM,UP,UQ,UR,UX,UY,UZ,VL,VO,VQ,VS,VT,VU,WB,WD,XA,XF,XK,XL,XM,XV,YB,YH,YP,YR,ZA,ZB,ZF,ZH,ZP,ZR
AC,0.0,232.1,74.1,68.2,833.0,433.3,108.8,650.9,644.0,339.2,860.4,273.6,437.1,216.0,397.0,701.8,756.1,532.1,162.6,452.7,1098.5,547.2,617.4,601.1,709.2,125.8,124.4,597.8,163.1,850.1,260.4,2187.9,248.3,1051.7,985.1,818.0,702.9,320.7,702.6,407.0,748.5,49.4,585.0,85.8,242.5,793.7,170.8,1108.6,820.6,644.2,482.9,162.8,812.0,591.7,825.8,437.1,705.0,345.9,649.4,101.5,146.1,425.3,760.9,442.7,442.8,612.3,635.1,1063.8,811.8,826.8,579.5,241.8,588.1,841.1,357.3,633.7,545.8,570.6,696.1,611.8,155.8,322.3,780.1,272.5,640.2,197.7,597.2,761.4,319.6,645.2,812.0,88.4,715.3,517.0,188.8,677.4,853.6,406.6,613.6,186.8,734.3,288.3,738.7,794.6,842.2,691.2,947.2,816.5,129.4,808.6,643.6,446.7,50.0,320.8,241.8,814.6,277.2,144.3,104.9,321.6,767.7,1071.3,340.9,537.5,1030.9,262.5,670.7,48.0,101.2,786.4,456.5,466.8,653.2,278.9,1011.8,507.4,669.4,391.2,629.7,711.1,334.5
AV,253.0,0.0,168.8,305.6,816.9,387.7,343.7,629.1,602.2,228.4,849.3,41.4,395.3,207.1,355.2,680.0,733.2,490.3,235.9,410.9,1076.7,525.4,601.3,579.3,687.4,443.9,326.6,576.0,156.5,808.3,76.3,2146.1,21.8,1029.9,963.3,801.9,681.1,88.5,680.8,365.2,726.7,302.5,563.2,338.9,145.2,777.6,176.7,1086.8,778.8,602.4,443.8,73.1,790.2,549.9,801.6,395.3,683.2,324.1,633.3,141.4,244.5,389.2,739.1,400.9,401.0,590.5,590.3,1042.0,790.0,805.0,537.7,200.0,566.3,819.3,335.5,617.6,504.0,555.6,674.3,570.0,82.1,225.0,758.3,175.2,604.1,34.3,575.4,739.6,297.8,621.7,790.2,330.6,693.5,475.2,147.0,655.6,831.8,384.8,571.8,213.1,715.1,264.9,722.6,752.8,820.4,669.4,925.4,794.7,202.9,786.8,621.8,412.4,287.4,150.7,122.9,792.8,255.4,379.2,324.7,187.2,745.9,1049.5,319.1,495.7,1009.1,220.7,648.9,194.9,197.0,764.6,434.7,425.0,611.4,180.5,990.7,461.9,647.6,349.4,607.9,669.3,237.2
AY,84.1,157.9,0.0,136.7,764.5,355.3,174.8,576.7,569.8,273.0,786.2,199.4,362.9,147.5,322.8,627.6,680.8,457.9,129.8,378.5,1024.3,473.0,548.9,526.9,635.0,176.7,157.7,523.6,88.9,775.9,186.2,2113.7,179.8,977.5,910.9,749.5,628.7,246.5,628.4,332.8,674.3,133.6,510.8,170.0,183.9,725.2,96.6,1034.4,746.4,570.0,408.7,88.6,737.8,517.5,749.2,362.9,630.8,271.7,580.9,27.3,82.5,356.8,686.7,368.5,368.6,538.1,560.9,989.6,737.6,752.6,505.3,167.6,513.9,766.9,283.1,565.2,471.6,496.4,621.9,537.6,81.6,263.7,705.9,213.9,571.7,123.5,523.0,687.2,245.4,569.3,737.8,161.7,641.1,442.8,114.6,603.2,779.4,332.4,539.4,132.1,660.1,212.5,670.2,720.4,768.0,617.0,873.0,742.3,60.9,734.4,569.4,372.5,118.5,260.6,183.2,740.4,203.0,210.3,155.8,263.0,693.5,997.1,266.7,463.3,956.7,188.3,596.5,26.0,32.7,712.2,382.3,392.6,579.0,219.2,937.6,433.2,595.2,317.0,555.5,636.9,275.9
AZ,85.8,304.7,146.7,0.0,887.5,435.5,114.9,699.7,646.2,416.8,909.2,346.2,439.3,270.5,399.2,750.6,803.8,534.3,248.5,454.9,1147.3,596.0,671.9,649.9,758.0,92.2,202.7,646.6,198.6,852.3,333.0,2190.1,326.6,1100.5,1033.9,872.5,751.7,380.4,751.4,409.2,797.3,107.9,633.8,138.5,327.7,848.2,219.6,1157.4,822.8,646.4,485.1,235.4,860.8,593.9,872.2,439.3,753.8,394.7,703.9,174.1,229.3,433.2,809.7,444.9,445.0,661.1,637.3,1112.6,860.6,875.6,581.7,272.7,636.9,889.9,406.1,688.2,548.0,626.2,744.9,614.0,228.4,407.5,828.9,357.7,648.1,270.3,646.0,810.2,368.4,692.3,860.8,83.4,764.1,519.2,219.7,726.2,902.4,455.4,615.8,272.7,785.7,337.1,793.2,796.8,891.0,740.0,996.0,865.3,207.7,857.4,692.4,456.4,34.0,406.0,327.0,863.4,326.0,150.4,19.1,406.8,816.5,1120.1,389.7,539.7,1079.7,293.4,719.5,120.6,179.5,835.2,505.3,469.0,655.4,296.3,1060.6,512.4,718.2,393.4,678.5,713.3,419.7
BC,888.0,809.6,788.1,910.7,0.0,992.8,945.3,296.3,1203.5,767.8,277.9,848.2,996.6,668.9,956.5,216.3,420.1,1091.6,860.6,1012.2,763.6,300.3,225.1,247.7,208.9,981.5,906.4,251.4,757.8,1409.6,792.3,2747.4,831.5,716.8,650.2,50.3,154.9,843.4,146.0,966.5,100.1,875.2,439.5,929.6,743.4,55.5,735.2,773.7,1380.1,1203.7,1042.4,740.3,229.5,1151.2,240.9,996.6,216.5,567.5,292.1,760.7,825.7,990.5,87.7,1002.2,1002.3,303.7,1194.6,728.9,26.8,244.3,1139.0,801.3,361.9,258.6,492.3,330.8,1105.3,324.0,160.7,1171.3,733.3,730.8,85.7,726.9,1205.4,775.2,259.6,426.5,541.2,274.6,229.5,914.2,202.8,1076.5,748.3,240.7,14.8,443.0,1173.1,837.8,154.4,552.2,238.0,1354.1,507.3,165.6,612.3,56.9,785.8,30.0,213.2,1013.7,906.7,783.1,753.4,479.7,563.3,980.8,891.6,776.0,432.8,736.4,571.5,1097.0,696.0,822.0,186.1,814.2,806.4,203.9,456.0,1026.3,1212.7,694.7,676.9,1066.9,237.1,950.7,219.4,1270.6,718.1
BG,432.7,404.9,363.4,433.0,993.5,0.0,408.5,805.7,315.0,524.7,1000.3,464.8,17.3,376.5,51.2,856.6,896.0,203.1,412.5,109.7,1253.3,702.0,777.9,755.9,864.0,352.4,458.3,752.6,304.6,521.1,473.8,2182.6,434.3,1206.5,1139.9,978.5,857.7,448.7,857.4,24.7,888.4,434.9,739.8,444.5,435.6,954.2,325.6,1248.5,491.6,315.2,56.0,320.7,966.8,262.7,978.2,17.3,859.8,500.7,809.9,336.0,416.1,88.0,915.7,13.1,99.8,752.2,306.1,1218.6,966.6,981.6,250.5,378.7,728.0,995.9,512.1,794.2,216.8,725.4,850.9,282.8,328.6,515.4,920.0,465.6,316.9,370.5,752.0,916.2,474.4,800.0,966.8,392.3,870.1,174.0,325.7,832.2,1008.4,561.4,284.6,389.7,889.1,441.5,899.2,465.6,997.0,846.0,1102.0,971.3,332.6,963.4,798.4,117.7,393.2,513.9,434.9,969.4,432.0,388.1,413.9,514.7,922.5,1226.1,480.8,208.5,1185.7,384.5,825.5,389.5,389.3,941.2,611.3,123.8,324.2,402.3,1152.4,163.5,824.2,154.6,784.5,382.1,512.7
BH,109.9,328.8,170.8,120.9,816.1,568.1,0.0,628.3,782.6,376.0,848.5,370.3,575.7,266.3,535.6,679.2,732.4,670.7,139.6,591.3,1075.9,524.6,600.5,578.5,686.6,246.6,93.8,575.2,259.8,988.7,325.1,2326.5,350.7,1029.1,962.5,801.1,680.3,376.2,680.0,545.6,725.9,67.1,562.4,21.0,286.9,776.8,217.7,1086.0,959.2,782.8,624.2,259.5,789.4,730.3,800.8,575.7,682.4,323.3,632.5,198.2,190.5,569.6,738.3,581.3,581.4,589.7,770.7,1041.2,789.2,804.2,718.1,380.4,565.5,818.5,334.7,616.8,684.4,554.8,673.5,750.4,252.5,366.7,757.5,316.9,784.5,294.4,574.6,738.8,297.0,620.9,789.4,81.0,692.7,655.6,327.4,654.8,831.0,384.0,752.2,163.8,714.3,264.1,721.8,933.2,819.6,668.6,924.6,793.9,231.8,786.0,621.0,592.8,89.5,365.2,286.2,792.0,254.6,35.4,140.0,366.0,745.1,1048.7,318.3,676.1,1008.3,401.1,648.1,144.7,188.9,763.8,433.9,605.4,791.8,322.2,989.9,642.3,646.8,529.8,607.1,849.7,378.9
BJ,701.3,622.9,601.4,724.0,313.1,802.3,758.6,0.0,1016.8,581.1,411.0,661.5,809.9,482.2,769.8,241.7,213.4,904.9,673.9,825.5,556.9,113.6,163.0,141.0,249.1,893.1,719.7,137.7,571.1,1222.9,605.6,2560.7,644.8,510.1,443.5,263.1,142.3,656.7,242.5,779.8,249.9,688.5,232.8,742.9,556.7,279.9,548.5,567.0,1193.4,1017.0,858.4,553.6,351.9,964.5,363.3,809.9,89.7,380.8,4.2,574.0,639.0,803.8,241.4,815.5,815.6,152.2,1004.9,522.2,292.3,366.7,952.3,614.6,175.2,381.0,305.6,179.3,918.6,73.5,151.4,984.6,546.6,544.1,219.5,540.2,1018.7,588.5,137.1,219.8,354.5,183.4,351.9,727.5,255.2,889.8,561.6,217.3,298.2,256.3,986.4,651.1,276.8,367.1,284.3,1167.4,300.6,156.3,405.6,255.9,599.1,289.1,183.5,827.0,720.0,596.4,566.7,273.0,376.6,794.1,704.9,589.3,226.1,529.7,384.8,910.3,489.3,635.3,176.8,627.5,617.4,326.3,269.3,839.6,1026.0,509.2,470.9,876.5,209.3,764.0,169.6,1083.9,531.4
BP,445.4,599.6,506.3,431.8,1188.2,315.2,417.9,1000.4,0.0,719.4,1220.6,674.4,322.8,571.2,282.7,1051.3,1104.5,109.6,557.6,290.6,1448.0,896.7,972.6,950.6,1058.7,346.9,511.8,947.3,499.3,355.9,668.5,2377.3,629.0,1401.2,1334.6,1173.2,1052.4,643.4,1052.1,292.7,1098.0,429.4,934.5,439.0,630.3,1148.9,520.3,1458.1,326.4,346.2,371.3,530.3,1161.5,60.0,1172.9,322.8,1054.5,695.4,1004.6,530.7,552.8,296.7,1110.4,328.4,300.5,961.8,66.3,1413.3,1161.3,1176.3,85.3,573.4,937.6,1190.6,706.8,988.9,95.9,926.9,1045.6,277.3,523.3,710.1,1129.6,660.3,151.7,565.2,946.7,1110.9,669.1,993.0,1161.5,386.8,1064.8,305.8,520.4,1026.9,1203.1,756.1,119.4,581.8,1086.4,636.2,1093.9,300.4,1191.7,1040.7,1296.7,1166.0,527.3,1158.1,993.1,199.4,387.7,708.6,629.6,1164.1,626.7,382.6,450.9,709.4,1117.2,1420.8,690.4,284.8,1380.4,594.1,1020.2,480.2,541.4,1135.9,806.0,276.5,159.0,598.2,1362.0,138.0,1018.9,356.5,979.2,216.9,722.3
BW,352.0,216.0,285.6,418.5,794.8,481.7,391.7,607.0,692.4,0.0,816.5,214.6,485.5,120.2,445.4,657.9,712.2,580.5,213.8,501.1,1054.6,503.3,579.2,557.2,665.3,427.9,259.6,553.9,246.7,898.5,167.1,2236.3,237.9,1007.8,941.2,779.8,659.0,209.8,658.7,455.4,704.6,321.6,541.1,326.1,84.8,755.5,181.6,1064.7,869.0,692.6,531.3,189.9,768.1,640.1,779.5,485.5,661.1,302.0,611.2,258.2,272.1,479.4,717.0,491.1,491.2,568.4,683.5,1019.9,767.9,782.9,627.9,290.2,544.2,797.2,313.4,595.5,594.2,533.5,652.2,660.2,198.9,37.9,736.2,52.6,694.3,181.6,553.3,717.5,275.7,601.3,768.1,360.6,671.4,565.4,237.2,633.5,809.7,362.7,662.0,191.0,690.4,242.8,700.5,843.0,798.3,647.3,903.3,772.6,311.7,764.7,599.7,502.6,400.0,141.3,128.2,770.7,233.3,427.2,380.5,75.8,723.8,1027.4,297.0,585.9,987.0,310.9,626.8,311.7,252.8,742.5,412.6,515.2,701.6,93.6,968.6,552.1,625.5,439.6,585.8,759.5,50.1
