from_stop,AG,AL,AQ,AS,BC,BF,BG,BH,BO,BW,CJ,CK,CM,CO,CW,DS,DT,DY,EB,EI,EP,ES,ET,FE,FH,FI,FL,FU,FZ,GC,GJ,GL,GO,GZ,HA,HJ,HL,HV,IB,IM,IU,JH,JQ,JU,JV,JW,KA,KE,KJ,KK,LO,LP,LR,LT,LU,MD,MK,MN,MR,NG,NI,NN,NY,NZ,OC,OM,OO,OP,OX,PD,PI,PM,PX,QB,QD,QH,QJ,QN,RD,RF,RG,RL,RQ,RV,SC,SE,SI,SK,SP,SV,TC,TI,TM,TQ,TU,TW,UC,UE,UF,UI,US,UW,UZ,VI,VM,VP,VS,VY,WD,WG,WP,XE,YI,YT,YU,YY,ZC,ZG,ZQ,ZR,ZT
AG,0.0,180.7,174.8,187.2,197.3,186.5,84.8,147.4,179.5,186.5,110.1,156.1,170.2,257.6,176.0,243.4,135.7,245.0,308.1,193.3,292.3,171.0,222.6,208.3,164.1,117.9,155.9,231.2,234.8,92.6,176.3,209.4,396.5,202.3,170.2,169.6,248.2,175.1,251.8,146.5,218.9,179.9,108.6,265.0,167.3,243.9,129.6,163.9,137.5,225.8,207.6,121.8,165.6,118.4,102.5,108.9,113.1,215.5,166.5,241.1,346.3,143.4,316.8,269.9,89.1,1271.0,128.5,69.9,152.8,146.0,180.8,5.5,234.8,222.0,144.8,162.0,212.6,222.5,168.3,143.9,148.0,199.0,151.8,139.3,218.8,165.3,188.2,74.8,50.4,242.9,218.8,160.8,141.1,132.7,184.0,206.2,137.0,300.1,118.1,139.5,16.8,277.2,151.6,195.6,178.9,88.8,238.8,128.4,158.2,121.7,26.5,240.7,190.6,148.0,321.4,136.9,235.1,286.7,214.8,253.0,202.5
AL,157.3,0.0,271.9,118.8,85.6,5.8,151.9,95.5,67.7,202.1,162.2,208.2,312.7,75.6,141.0,198.7,146.7,309.6,167.1,128.7,107.5,142.4,177.9,197.9,321.1,245.1,128.4,220.1,236.4,159.7,228.4,71.9,260.3,56.1,91.7,148.2,230.6,243.5,207.1,166.7,62.2,104.4,117.3,235.2,182.9,121.9,184.6,79.0,189.6,279.2,360.1,117.1,118.7,183.8,82.5,143.0,165.2,170.8,72.2,277.7,250.1,195.5,59.5,225.2,199.7,1381.6,180.6,222.9,166.1,213.1,170.4,150.9,142.9,138.3,301.8,156.6,201.5,189.0,264.2,197.3,200.1,240.4,203.9,167.5,281.3,206.6,124.3,185.4,207.7,149.5,96.8,137.9,298.1,172.6,99.6,172.7,176.8,76.2,170.2,191.6,174.2,122.6,29.0,259.0,59.8,140.9,87.7,219.7,152.8,60.4,137.1,207.2,158.6,275.2,78.4,293.9,190.4,141.2,218.2,247.2,218.1
AQ,149.6,205.1,0.0,183.2,221.7,210.9,144.2,171.8,203.9,90.8,58.2,103.5,305.0,280.8,133.3,190.4,131.7,301.9,295.8,140.3,288.6,118.0,169.6,77.4,313.4,237.4,151.9,111.2,97.1,152.0,81.5,203.6,389.0,226.7,194.6,140.5,125.4,60.7,165.3,93.5,243.3,175.9,133.0,227.5,110.0,244.8,76.6,188.3,28.8,271.5,352.4,146.2,161.6,92.5,126.9,153.3,129.1,162.5,190.9,87.0,347.0,159.4,264.7,145.8,192.0,1373.9,37.4,215.2,158.4,205.4,102.6,143.2,214.8,196.1,294.1,148.9,130.1,162.5,69.7,189.6,18.2,38.5,57.0,113.4,273.6,68.2,162.3,177.7,200.0,192.1,219.7,156.8,290.4,106.8,208.4,153.2,84.0,281.4,48.5,133.6,166.5,303.7,176.0,20.7,203.3,79.6,233.0,212.0,132.3,146.1,129.4,144.3,137.6,267.5,259.5,286.2,182.0,287.2,59.1,239.5,115.1
AS,162.1,99.3,192.7,0.0,52.1,105.1,156.7,72.1,40.4,122.9,138.6,183.3,317.5,175.0,145.8,121.3,49.5,314.4,155.0,49.5,137.3,63.2,100.5,118.7,325.9,249.9,31.2,142.7,159.0,164.5,207.3,46.2,248.2,75.4,46.7,153.0,153.2,163.9,129.7,87.5,92.0,7.2,100.4,240.0,103.7,95.5,105.4,65.9,166.0,284.0,364.9,87.2,21.5,104.6,139.4,188.5,123.6,93.4,85.9,200.3,238.0,153.9,117.8,147.8,204.5,1386.4,179.4,227.7,170.9,217.9,91.2,155.7,47.5,60.9,306.6,161.4,124.1,111.6,185.0,202.1,176.5,161.2,181.0,88.3,286.1,127.4,45.1,190.2,212.5,72.1,70.4,52.8,302.9,93.4,38.8,95.3,97.6,134.5,173.8,166.7,179.0,152.4,88.9,179.8,73.5,130.7,75.6,224.5,73.6,120.3,141.9,129.8,81.2,280.0,108.2,298.7,113.0,129.8,139.0,252.0,138.9
BC,173.1,97.8,225.4,66.8,0.0,100.8,167.7,80.9,38.9,155.6,173.4,216.0,328.5,154.4,156.8,123.3,100.2,325.4,140.5,82.2,108.9,95.9,102.5,151.4,336.9,260.9,81.9,144.7,161.0,175.5,240.0,44.7,233.7,73.9,27.2,164.0,155.2,196.6,131.7,120.2,63.6,57.9,84.7,251.0,136.4,46.5,138.1,64.4,200.8,295.0,375.9,71.5,72.2,137.3,138.7,172.8,174.3,95.4,84.4,202.3,223.5,204.6,88.7,149.8,215.5,1397.4,212.1,238.7,181.9,228.9,123.9,166.7,67.5,62.9,317.6,172.4,126.1,113.6,217.7,213.1,211.3,193.9,213.7,121.0,297.1,160.1,77.8,201.2,223.5,74.1,21.4,92.3,313.9,126.1,13.9,97.3,130.3,105.4,206.5,199.4,190.0,124.0,87.4,212.5,72.0,163.4,61.1,235.5,106.3,116.6,152.9,131.8,83.2,291.0,79.8,309.7,115.0,115.3,171.7,263.0,171.6
BF,162.5,5.1,276.0,122.9,80.4,0.0,157.1,100.7,71.9,206.2,166.4,204.6,317.9,70.4,145.2,192.9,150.8,313.8,161.9,132.9,102.3,146.5,172.7,195.6,326.3,250.3,132.5,217.7,232.2,164.9,232.6,67.7,256.1,50.9,95.8,148.7,225.4,247.6,201.9,169.1,57.0,108.6,121.5,239.4,187.0,116.7,188.8,84.2,193.8,284.4,337.4,122.3,122.9,187.3,87.7,148.2,170.4,165.6,77.4,272.5,244.9,200.7,54.3,219.4,203.9,1386.8,184.8,227.1,168.4,217.3,173.9,156.1,135.1,133.1,307.0,160.8,197.3,184.8,267.7,202.5,205.3,244.6,209.1,171.6,286.5,210.7,128.5,190.6,212.9,145.3,91.6,142.1,303.3,176.7,95.4,167.5,180.1,72.0,175.4,196.8,175.1,117.4,33.2,263.1,64.0,146.1,82.5,224.9,157.0,65.6,141.3,203.0,152.8,280.4,73.2,299.1,185.2,124.3,222.3,251.4,222.3
BG,88.3,158.8,152.9,165.3,175.4,164.6,0.0,125.5,157.6,164.6,88.2,134.2,243.7,220.9,54.0,221.5,113.8,222.6,271.4,171.4,255.6,149.1,200.7,186.4,252.1,176.1,134.0,209.3,212.9,7.7,154.4,187.5,364.6,180.4,148.3,61.2,226.3,153.6,229.9,124.6,197.0,158.0,86.7,148.2,145.4,222.0,107.7,142.0,115.6,192.2,277.2,99.9,143.7,96.5,80.6,87.0,91.2,193.6,144.6,219.2,351.2,121.5,218.4,248.0,97.0,1359.0,106.6,153.9,79.1,61.1,158.9,81.9,212.9,200.1,232.8,69.6,190.7,200.6,146.4,110.3,126.1,177.1,129.9,117.4,194.3,143.4,166.3,111.3,138.7,221.0,196.9,138.9,229.1,110.8,162.1,184.3,115.1,263.4,96.2,117.6,105.2,240.5,129.7,173.7,157.0,66.9,216.9,67.7,136.3,99.8,68.1,218.8,168.7,206.2,213.2,224.9,213.2,250.0,192.9,160.2,180.6
BH,126.8,96.7,218.1,83.1,81.4,102.5,121.4,0.0,32.0,131.5,131.7,179.2,282.2,172.4,110.5,179.2,60.7,279.1,188.3,93.0,116.7,106.7,158.4,144.1,290.6,214.6,59.1,167.0,183.3,129.2,203.2,79.5,281.5,54.8,56.0,117.7,184.0,172.5,187.6,96.1,71.4,68.7,38.4,204.7,112.3,128.0,114.0,16.5,159.1,248.7,329.6,25.2,68.8,100.5,92.4,126.5,134.8,151.3,43.4,224.6,271.3,165.1,114.5,205.7,169.2,1351.1,150.1,192.4,135.6,182.6,116.6,120.4,130.7,119.9,271.3,126.1,148.4,158.3,193.6,166.8,169.6,186.6,189.6,84.2,250.8,136.0,88.6,154.9,177.2,140.8,102.9,46.0,267.6,89.3,68.1,142.0,106.2,131.2,139.7,162.6,143.7,131.8,67.6,205.2,55.8,126.6,108.9,189.2,69.5,70.3,106.6,176.5,126.4,244.7,87.6,263.4,170.9,163.1,164.4,216.7,147.5
BO,168.8,58.8,204.1,51.0,49.3,64.6,163.4,41.9,0.0,134.3,151.3,186.9,324.2,134.5,152.5,148.1,78.9,321.1,156.2,60.9,96.8,74.6,127.3,130.1,332.6,256.6,60.6,138.7,149.8,171.2,218.7,47.4,249.4,34.9,23.9,156.0,146.4,175.3,156.5,97.8,51.5,36.6,80.4,246.7,115.1,95.9,116.8,25.4,179.5,290.7,344.7,67.2,48.3,116.0,101.9,162.4,153.0,120.2,45.4,193.5,239.2,183.3,77.3,174.6,211.2,1393.1,190.8,234.4,175.7,224.6,102.6,162.4,96.0,87.8,313.3,168.1,117.3,126.9,196.4,208.8,190.0,172.6,192.4,99.7,292.8,138.8,56.5,196.9,219.2,108.7,70.8,82.2,309.6,104.8,36.0,110.9,108.8,94.0,185.2,178.1,182.4,111.9,48.4,191.2,33.0,142.1,76.8,231.2,85.0,79.8,148.6,167.6,95.3,286.7,67.7,305.4,139.8,119.2,150.4,258.7,143.2
BW,168.6,188.8,96.3,109.1,141.6,193.0,163.2,121.8,129.9,0.0,77.2,111.6,324.0,264.5,152.3,122.5,117.2,320.9,227.9,72.4,226.8,50.1,101.7,73.6,332.4,256.4,95.6,112.4,100.6,171.0,82.5,138.7,321.1,164.9,136.2,155.8,96.6,40.9,130.9,49.1,181.5,112.8,152.0,246.5,19.1,176.9,68.1,138.3,61.7,290.5,344.5,136.9,105.3,111.5,145.9,172.3,172.6,94.6,162.2,95.1,279.1,184.4,207.3,149.0,211.0,1392.9,56.4,234.2,175.5,224.4,59.9,162.2,144.3,115.7,313.1,167.9,91.7,101.3,44.5,208.6,114.6,64.8,58.0,103.2,292.6,87.2,95.3,196.7,219.0,124.2,151.8,73.6,309.4,108.3,128.3,85.3,60.1,224.0,67.5,144.2,182.2,241.9,178.4,83.4,163.0,98.6,165.1,231.0,88.5,165.1,148.4,112.4,69.7,286.5,197.7,305.2,114.2,207.5,80.6,258.5,24.2
