from_stop,AC,AZ,BB,BP,CP,CR,CT,CU,DL,EB,EI,EJ,EP,ET,FC,FJ,GB,GE,GG,GN,HJ,HV,II,IL,IW,JC,JG,KE,KQ,KX,LB,LG,MS,MT,NF,NZ,OA,OD,ON,PN,PQ,PR,PU,QD,QP,RA,RF,RO,RQ,SI,SL,SM,TA,TC,TL,UE,UF,UL,UZ,WD,WE,XA,XL,YA,YL,YT,YW,YZ,ZE,ZF,ZI
AC,0.0,57.1,201.0,169.6,364.9,372.5,192.6,207.4,265.1,451.7,607.6,158.4,368.5,332.3,488.3,178.2,177.7,561.8,189.1,61.4,77.3,410.5,341.0,48.0,597.9,235.8,185.0,505.2,297.1,210.7,334.8,240.0,450.1,209.1,402.5,148.5,440.1,356.7,425.9,121.4,338.0,465.7,442.4,377.5,148.0,163.2,297.8,202.5,134.1,155.1,2748.3,370.7,46.1,438.1,214.6,327.7,387.8,506.3,404.7,233.3,235.7,291.1,513.9,58.7,164.5,139.7,556.6,477.1,225.9,507.9,248.7
AZ,14.5,0.0,228.8,197.4,392.7,392.5,212.6,235.2,285.1,479.5,635.4,186.2,396.3,352.3,516.1,211.4,205.5,576.4,216.9,89.2,105.1,438.3,361.0,75.8,625.7,263.6,205.0,525.2,324.9,225.3,362.6,260.0,477.9,236.9,430.3,176.3,473.3,384.5,459.1,136.0,371.2,498.9,470.2,410.7,175.8,196.4,325.6,230.3,161.9,182.9,2776.1,398.5,84.7,465.9,242.4,355.5,415.6,534.1,432.5,261.1,263.5,318.9,541.7,86.5,192.3,167.5,576.6,504.9,259.1,535.7,276.5
BB,213.9,233.9,0.0,34.8,230.1,389.1,171.8,98.4,50.8,316.9,472.8,73.0,473.8,210.1,353.5,43.4,93.4,413.8,172.1,140.1,166.6,266.6,193.0,195.9,463.1,228.2,110.5,357.2,289.6,189.9,365.5,205.5,315.3,160.3,267.7,90.9,505.2,221.9,291.1,162.6,204.6,330.9,459.0,242.7,62.6,162.6,167.8,67.7,99.3,78.3,2740.7,235.9,260.1,303.3,178.7,186.1,253.0,371.5,269.9,197.4,177.0,156.3,382.2,185.2,156.9,138.5,408.6,342.3,91.1,373.1,139.7
BP,192.5,212.5,24.8,0.0,195.2,367.7,150.4,77.0,75.7,282.0,437.9,51.6,438.9,188.7,318.6,8.5,72.0,378.9,150.7,118.7,145.2,231.7,158.1,174.5,428.2,206.8,89.1,322.3,268.2,168.5,344.1,184.1,280.4,138.9,232.8,69.5,470.3,187.0,256.2,141.2,169.7,296.0,424.1,207.8,41.2,141.2,146.4,32.8,77.9,56.9,2719.3,201.0,238.7,268.4,157.3,151.2,218.1,336.6,235.0,176.0,155.6,121.4,347.3,163.8,135.5,117.1,373.7,307.4,56.2,338.2,118.3
CP,371.2,391.2,203.5,178.6,0.0,440.5,329.1,255.7,254.4,137.9,409.2,230.3,410.2,367.4,174.5,170.0,250.7,350.2,329.4,297.4,323.9,215.9,129.4,353.2,399.5,385.5,267.8,293.6,446.9,347.2,443.0,362.8,136.3,317.6,204.1,248.2,441.6,61.3,130.5,319.9,268.7,151.9,395.4,63.7,219.9,312.9,325.1,144.5,256.6,235.6,2898.0,172.3,417.4,239.7,336.0,135.4,22.9,192.5,206.3,354.7,334.3,67.2,318.6,342.5,314.2,295.8,229.6,278.7,155.2,309.5,297.0
CR,313.0,339.4,370.6,339.2,406.9,0.0,262.8,377.0,421.5,493.7,283.0,288.1,20.2,387.3,530.3,347.8,305.4,420.6,245.1,334.5,243.3,476.3,322.0,272.6,169.9,308.3,273.7,125.9,380.5,280.9,33.5,292.2,492.1,273.8,266.3,276.2,120.3,398.7,467.9,222.2,507.6,507.7,94.1,419.5,298.5,253.6,281.3,372.1,261.8,282.8,2841.0,364.9,359.2,353.5,280.0,402.6,429.8,548.3,386.5,298.7,301.1,333.1,104.0,261.9,229.9,285.4,585.4,152.5,395.5,110.0,404.5
CT,154.8,181.2,173.8,142.4,337.7,263.3,0.0,180.2,224.7,424.5,535.3,91.3,272.5,212.1,461.1,151.0,108.6,521.4,66.3,176.3,85.1,374.2,300.6,114.4,422.2,56.3,110.5,378.2,117.6,18.0,238.8,117.0,422.9,98.6,375.3,73.4,344.1,329.5,398.7,81.1,310.8,438.5,346.4,350.3,101.7,12.8,118.3,175.3,65.0,86.0,2568.8,343.5,201.0,410.9,88.1,300.5,360.6,479.1,377.5,106.7,125.9,263.9,353.2,103.7,51.1,88.6,516.2,404.8,198.7,362.3,221.5
CU,220.3,240.3,118.4,87.0,282.3,395.5,178.2,0.0,169.3,369.1,525.0,79.4,404.7,111.6,405.7,95.6,99.8,466.0,178.5,146.5,173.0,318.8,245.2,202.3,515.3,234.6,116.9,409.4,244.7,196.3,371.9,195.9,367.5,166.7,319.9,97.3,557.4,274.1,343.3,169.0,256.8,383.1,511.2,294.9,69.0,169.0,174.2,119.9,105.7,84.7,2747.1,288.1,266.5,355.5,185.1,238.3,305.2,423.7,322.1,203.8,140.7,208.5,434.4,191.6,163.3,144.9,460.8,394.5,143.3,425.3,41.2
DL,264.8,291.2,50.8,85.7,281.0,440.0,222.7,149.3,0.0,367.8,523.7,123.9,524.7,261.0,404.4,94.3,144.3,464.7,191.9,191.0,217.5,317.5,243.9,246.8,514.0,279.1,161.4,408.1,340.4,240.8,416.4,205.5,366.2,201.2,318.6,141.8,556.1,272.8,342.0,213.5,184.5,381.8,509.9,293.6,113.5,213.5,218.7,118.6,150.2,129.2,2791.6,286.8,311.0,354.2,229.6,243.8,303.9,422.4,320.8,248.3,227.9,207.2,433.1,236.1,207.8,189.4,459.5,393.2,142.0,424.0,190.6
EB,476.3,496.3,308.6,283.7,126.2,545.6,434.2,360.8,359.5,0.0,514.3,335.4,515.3,472.5,122.2,275.1,355.8,455.3,434.5,402.5,429.0,321.0,234.5,458.3,504.6,490.6,372.9,398.7,552.0,452.3,548.1,467.9,84.0,422.7,309.2,353.3,546.7,166.4,235.6,425.0,373.8,14.0,500.5,73.1,325.0,425.0,430.2,249.6,361.7,340.7,3003.1,277.4,522.5,344.8,441.1,240.5,149.1,77.0,311.4,459.8,439.4,172.3,423.7,447.6,419.3,400.9,140.1,383.8,260.3,414.6,402.1
EI,566.5,586.5,414.1,389.2,357.1,284.5,539.7,466.3,465.0,443.9,0.0,440.9,254.2,578.0,480.5,380.6,461.3,370.8,498.6,508.0,496.8,426.5,272.2,526.1,243.5,596.1,478.4,137.6,657.5,557.8,287.0,573.4,442.3,527.3,216.5,458.8,285.6,348.9,418.1,475.7,479.3,457.9,239.4,369.7,430.5,530.5,534.8,355.1,467.2,446.2,3094.5,315.1,612.7,303.7,533.5,346.0,380.0,498.5,336.7,552.2,544.9,283.3,162.6,515.4,483.4,506.4,535.6,111.0,365.8,153.5,507.6
EJ,160.7,180.7,82.4,51.0,246.3,316.0,98.7,88.8,133.3,333.1,489.0,0.0,325.2,190.1,369.7,59.6,20.3,430.0,99.0,86.9,93.5,282.8,209.2,122.8,479.3,155.1,37.4,373.4,216.5,116.8,292.4,132.4,331.5,87.2,283.9,17.8,396.8,238.1,307.3,89.5,220.8,347.1,475.2,258.9,10.4,89.5,94.7,83.9,26.2,5.2,2667.6,252.1,206.9,319.5,105.6,202.3,269.2,387.7,286.1,124.3,103.9,172.5,398.4,112.1,83.8,65.4,424.8,358.5,107.3,389.3,130.1
EP,312.2,332.2,369.8,338.4,386.6,30.2,262.0,376.2,420.7,473.4,262.7,287.3,0.0,386.5,510.0,347.0,304.6,400.3,244.3,333.7,242.5,456.0,301.7,271.8,149.6,307.5,272.9,105.6,379.8,280.1,32.7,355.6,471.8,273.0,246.0,269.4,100.0,378.4,447.6,221.4,508.2,487.4,73.8,399.2,297.7,245.8,280.5,371.3,261.0,282.0,2840.2,344.6,358.4,333.2,279.2,375.5,409.5,528.0,366.2,297.9,300.3,312.8,80.6,261.1,229.1,284.6,565.1,132.2,394.7,89.7,403.7
ET,312.9,336.8,208.5,177.1,372.4,384.0,212.9,90.0,259.4,459.2,615.1,169.5,393.2,0.0,495.8,185.7,189.9,556.1,128.8,236.6,263.1,408.9,335.3,292.4,605.4,193.7,207.0,499.5,208.2,207.1,360.4,51.3,457.6,89.9,410.0,187.4,464.8,364.2,433.4,259.1,345.5,473.2,467.1,385.0,159.1,168.5,208.9,210.0,195.8,174.8,2750.6,378.2,356.6,445.6,159.1,328.4,395.3,513.8,412.2,177.8,73.7,298.6,521.4,281.7,147.1,235.0,550.9,484.6,233.4,515.4,72.4
FC,490.9,510.9,323.2,298.3,140.8,560.2,448.8,375.4,374.1,120.2,528.9,350.0,529.9,487.1,0.0,289.7,370.4,469.9,449.1,417.1,443.6,335.6,249.1,472.9,519.2,505.2,387.5,413.3,566.6,466.9,562.7,482.5,25.1,437.3,323.8,367.9,561.3,181.0,250.2,439.6,388.4,134.2,515.1,87.7,339.6,432.6,444.8,264.2,376.3,355.3,3017.7,292.0,537.1,359.4,455.7,255.1,163.7,174.8,326.0,474.4,454.0,186.9,438.3,462.2,433.9,415.5,211.9,398.4,274.9,429.2,416.7
