from_stop,AA,AL,AO,AY,BD,BF,BN,BQ,BU,CI,CP,CY,DA,DB,DI,DS,DV,DW,DY,EH,FD,FG,FL,FV,FY,GK,GO,GT,HD,HF,HH,HI,HT,HZ,IE,IL,IP,IV,JR,JW,KF,KJ,KN,KZ,LA,LC,LG,LH,LW,MD,ME,MI,MP,MS,MY,ND,NH,NM,NS,NT,NV,OA,OT,PB,PS,PT,QA,QE,QN,QO,QQ,QY,RB,RE,RF,RN,RS,SB,SD,SP,SR,TM,TN,TX,UB,UC,UK,UR,VJ,VM,VO,VP,VV,WI,WM,WN,WW,WX,XD,XJ,XM,XO,YJ,YP,YT,YZ,ZJ,ZV
AA,0.0,312.2,96.3,124.8,263.8,198.8,73.9,178.4,126.5,297.7,207.9,202.7,132.7,187.1,208.6,191.2,260.7,186.2,290.8,262.8,246.6,231.2,142.9,116.1,254.5,146.5,200.8,237.7,235.9,197.4,240.6,264.0,234.4,269.0,174.7,115.0,304.7,277.9,200.7,283.6,181.7,219.9,182.0,215.6,273.9,139.7,274.4,125.8,179.6,192.8,140.7,153.2,171.8,57.3,224.8,156.1,86.7,14.2,294.2,76.9,147.4,302.0,234.6,1.2,96.7,226.1,246.6,234.0,57.3,231.2,2470.3,186.1,178.6,182.8,161.6,176.9,131.4,281.7,254.5,170.6,176.7,245.9,201.2,171.5,183.0,219.3,162.2,226.6,265.3,45.7,114.0,335.2,281.2,153.0,308.4,216.6,210.9,131.5,158.4,220.4,91.2,273.5,123.4,130.7,177.4,246.4,233.9,174.9
AL,307.1,0.0,222.6,209.1,153.3,175.0,252.7,219.3,211.2,79.7,225.4,200.7,170.1,130.4,78.7,138.5,62.7,211.5,155.8,131.7,157.4,117.0,262.6,242.4,161.7,186.7,233.5,166.3,94.2,258.7,147.6,115.8,120.0,108.0,149.0,234.5,89.7,74.6,211.1,85.2,246.1,286.9,190.5,132.5,181.1,199.4,98.6,216.9,147.9,144.6,231.8,238.5,200.7,256.2,153.8,183.5,238.2,273.3,65.1,270.2,209.2,12.0,191.4,281.0,258.1,237.3,157.4,141.0,253.8,175.1,2331.8,250.5,113.0,250.1,166.4,244.2,205.8,135.4,82.9,176.4,226.7,124.6,120.0,158.3,145.4,250.6,253.1,133.6,172.3,266.5,240.3,22.9,149.4,188.0,144.9,108.5,278.2,202.7,125.9,194.4,238.7,146.1,229.7,250.2,144.1,179.6,208.1,239.5
AO,116.3,225.6,0.0,28.6,179.3,169.5,84.0,117.0,139.5,214.6,219.9,195.2,80.7,155.8,161.8,117.9,174.1,124.8,213.0,176.5,165.9,134.7,190.9,19.7,170.2,115.0,228.0,174.8,151.6,253.2,156.1,232.5,137.7,237.5,161.5,162.8,220.2,181.2,139.3,252.1,240.6,281.7,185.0,131.1,189.6,163.1,189.9,180.6,99.3,116.0,195.5,202.2,195.2,111.6,162.3,96.0,90.8,130.5,202.1,79.4,59.6,215.4,199.9,122.8,115.5,231.8,165.9,149.5,217.5,183.6,2481.1,245.0,94.3,244.6,130.1,238.7,171.8,197.2,155.2,140.1,221.2,163.9,146.5,109.7,124.8,245.1,216.8,142.1,180.8,92.8,17.7,248.6,234.4,91.6,223.9,135.0,272.7,131.0,81.4,188.9,96.1,186.5,20.9,178.5,95.5,188.1,202.6,234.0
AY,116.4,208.7,28.6,0.0,162.4,130.3,55.3,145.7,98.7,209.8,179.5,158.0,57.0,118.6,133.1,101.0,157.2,153.5,189.6,161.4,149.0,117.8,153.5,8.8,153.1,77.8,186.6,157.9,144.4,222.2,139.2,195.3,120.8,200.3,124.3,125.6,203.3,161.2,168.0,214.7,203.4,244.5,147.8,123.9,172.7,125.9,173.0,143.4,82.4,91.4,158.3,170.6,158.0,81.9,145.4,123.6,66.9,102.0,185.2,76.5,42.8,198.5,165.9,115.0,76.5,201.1,149.0,132.6,81.9,160.2,2461.3,207.8,77.4,207.4,92.9,201.5,134.6,180.3,138.3,102.1,184.0,144.5,129.6,89.4,107.9,207.9,179.6,125.2,163.9,92.8,10.9,230.2,205.7,120.3,207.0,118.1,235.5,93.8,64.5,151.7,67.4,169.6,49.6,141.3,76.0,171.2,165.4,196.8
BD,269.2,132.8,184.7,213.4,0.0,135.1,213.9,181.4,161.5,89.8,125.9,114.3,132.2,110.5,176.2,100.6,81.3,173.6,70.9,33.7,61.1,88.2,212.9,204.5,47.4,137.0,129.8,70.0,124.2,172.3,51.3,51.3,91.2,56.3,129.1,184.8,77.4,134.7,173.2,70.9,206.2,200.8,150.6,103.7,47.5,153.0,65.1,170.5,110.0,106.7,185.4,192.1,160.8,217.4,138.9,145.6,243.7,283.4,113.2,232.3,177.5,122.6,89.1,275.7,234.7,88.8,61.1,155.2,207.4,78.8,2304.3,210.6,75.1,163.7,120.0,157.8,161.7,17.8,108.7,130.0,140.3,39.1,100.1,120.4,107.5,102.1,206.7,164.7,20.7,227.7,202.4,155.8,251.4,150.1,81.8,88.6,191.8,153.0,88.0,108.0,215.3,7.2,191.8,200.5,106.2,65.3,108.6,199.6
BF,207.5,167.6,170.0,146.5,115.6,0.0,128.4,219.6,109.0,143.6,74.2,52.7,170.4,42.7,221.8,77.4,116.1,211.8,142.8,115.9,72.6,117.6,159.4,189.8,90.5,88.1,81.3,63.7,171.6,116.9,82.4,72.0,120.6,77.0,68.4,117.3,153.0,164.1,211.4,91.6,73.0,129.2,17.4,151.1,127.5,89.8,125.1,96.1,101.2,137.2,111.0,117.7,27.6,130.9,32.8,184.9,147.9,169.0,133.9,195.6,131.5,157.4,60.6,176.7,193.2,89.3,72.6,49.1,129.6,54.9,2395.1,77.4,127.9,102.1,67.8,96.2,81.5,133.5,138.1,77.0,78.7,96.6,56.6,89.0,69.4,102.6,130.3,58.6,112.3,141.8,187.7,190.6,298.8,188.3,160.2,72.0,130.2,104.1,145.7,46.4,134.4,122.8,197.1,133.0,105.7,72.4,60.1,66.4
BN,60.8,217.3,110.4,59.3,163.9,104.1,0.0,142.8,72.5,211.3,153.3,131.8,118.5,92.4,134.6,96.3,165.8,135.0,191.1,161.1,150.5,119.3,127.3,68.2,154.6,51.6,164.6,142.8,145.9,196.0,140.7,169.1,122.3,174.1,98.1,99.4,204.8,162.7,120.5,188.7,177.2,218.3,121.6,125.4,174.2,99.7,174.5,117.2,83.9,92.9,132.1,138.8,131.8,26.5,129.9,169.4,37.8,46.6,199.5,91.2,44.3,207.1,139.7,59.6,21.1,168.4,150.5,134.1,154.1,136.3,2459.7,181.6,78.9,181.2,66.7,175.3,108.4,181.8,139.8,75.9,157.8,146.0,106.3,72.5,88.3,181.7,153.4,126.7,165.4,37.8,70.3,231.7,207.2,166.1,208.5,119.6,209.3,67.6,66.0,125.5,12.0,171.1,137.5,115.1,80.1,151.5,139.2,170.6
BQ,198.8,240.6,149.1,120.4,247.8,247.7,137.9,0.0,184.9,244.3,298.1,273.4,68.5,207.4,168.2,170.9,189.1,7.7,281.5,245.0,234.4,150.6,236.3,129.3,238.7,160.4,306.2,243.3,154.0,331.4,224.6,280.4,153.6,272.6,226.0,208.2,254.3,182.2,22.2,249.8,318.8,357.9,263.2,133.5,258.1,223.3,263.2,240.8,198.3,128.5,255.7,262.4,273.4,165.5,230.8,50.6,149.5,184.6,218.0,160.9,113.5,230.4,281.3,192.3,169.4,310.0,234.4,218.0,277.7,252.1,2496.4,323.2,163.4,322.8,190.3,316.9,232.0,265.7,171.1,200.3,299.4,232.4,197.0,208.7,177.8,323.3,277.0,210.6,249.3,175.8,131.4,263.6,214.3,55.1,309.5,185.5,350.9,176.4,153.9,267.1,150.0,255.0,170.1,223.9,194.5,256.6,280.8,312.2
BU,134.8,200.0,136.2,112.7,161.1,86.8,55.4,223.4,0.0,195.0,136.0,114.5,112.1,75.1,188.0,79.4,148.9,213.8,188.7,160.1,134.8,128.2,54.7,156.4,152.2,19.0,143.1,125.5,173.2,126.9,137.9,151.8,122.6,156.8,80.8,26.8,202.0,165.7,173.9,171.4,111.0,149.7,104.3,152.7,173.0,82.4,171.7,55.8,49.8,134.3,70.2,82.5,114.5,58.9,112.6,200.8,132.2,96.5,182.6,122.6,97.7,189.8,122.8,103.7,71.0,154.3,134.8,128.9,92.2,116.7,2462.9,115.4,76.1,112.6,49.8,106.2,91.1,179.0,139.7,64.8,106.5,143.2,89.4,37.2,71.0,164.4,91.5,124.3,162.6,69.7,153.9,223.0,261.0,197.5,205.7,104.4,140.2,4.4,111.9,108.6,61.9,168.3,163.7,42.5,57.4,134.6,122.3,104.9
CI,296.8,79.3,212.3,241.0,93.8,143.4,255.6,209.0,185.5,0.0,160.7,123.9,147.4,141.1,102.1,128.2,108.9,201.2,102.8,72.2,70.7,115.8,240.3,232.1,98.5,164.6,172.0,79.6,151.8,188.1,60.9,78.9,118.8,83.9,166.8,212.4,30.2,97.6,200.8,98.5,216.5,210.4,160.9,131.3,127.6,180.6,18.2,198.1,137.6,126.6,213.0,224.9,171.1,259.1,149.2,174.3,271.3,311.0,56.0,261.7,229.9,69.1,128.4,298.0,266.2,185.0,70.7,165.5,258.1,88.4,2272.3,220.9,102.7,173.3,147.6,167.4,189.3,75.9,138.9,163.0,149.9,46.7,127.7,144.6,135.1,191.8,234.3,175.0,114.6,269.9,230.0,102.3,172.8,177.7,85.4,116.2,201.4,180.6,127.2,117.6,250.4,84.1,219.4,228.1,131.2,116.6,146.6,209.9
