from_stop,AE,AO,AV,BB,BD,BG,BU,BW,CH,CX,CY,DE,DI,DM,DN,DR,DU,EA,EH,EK,EM,EQ,EV,EZ,FB,FF,FG,FK,FP,FT,GO,GP,GQ,GR,GW,HC,HL,HO,HR,HS,HW,HX,IC,IF,II,IN,IV,JD,JE,JJ,JW,KI,KK,KM,KO,KP,KQ,KR,KS,KW,KX,KZ,LE,LO,LV,MB,ML,MN,MY,NF,NK,NO,OD,OJ,OK,OO,PG,PJ,PK,PP,PU,PV,PW,PY,QA,QD,QR,QS,QZ,RE,RR,SC,SD,SJ,SK,SY,TB,TK,TQ,TV,UB,UD,VH,VP,VV,VW,VX,VZ,WB,WM,WQ,XE,XI,XL,XY,XZ,YB,YZ,ZF,ZN,ZP,ZQ
AE,0.0,187.9,50.5,318.2,32.6,281.9,229.8,312.3,225.1,138.9,248.5,216.5,196.3,344.2,269.1,304.3,200.8,193.8,298.7,452.1,264.7,169.8,386.1,251.4,277.3,213.6,231.8,170.0,292.5,285.3,350.3,304.7,111.6,88.5,324.5,96.0,66.2,333.5,416.3,370.4,393.4,336.0,361.0,225.6,203.6,200.2,313.4,158.8,201.7,270.2,239.6,232.3,409.1,2238.5,232.3,368.2,293.3,288.4,376.6,310.6,239.0,271.0,306.4,428.6,309.2,86.2,263.9,336.9,308.3,299.5,175.0,289.2,89.8,326.2,284.1,323.7,179.4,161.9,237.2,342.5,285.9,361.3,175.3,232.0,213.1,365.0,66.3,266.5,303.3,264.5,210.0,373.6,292.3,355.2,205.3,296.6,342.3,248.8,377.8,177.0,329.0,75.7,143.9,301.4,283.7,241.4,337.1,348.7,326.1,296.9,275.7,277.2,323.4,319.0,264.4,346.9,356.1,48.2,211.0,287.9,153.5,199.1
AO,180.4,0.0,181.8,130.2,146.4,289.8,48.2,152.8,37.1,80.7,226.8,85.3,24.4,352.1,249.8,113.2,141.7,160.0,285.4,272.6,245.1,82.8,361.9,63.4,259.3,185.9,230.5,50.2,300.4,265.3,331.9,129.9,106.9,183.0,332.4,192.4,197.5,321.1,331.7,290.4,272.9,148.0,173.0,94.4,48.1,171.7,200.8,39.2,134.8,248.6,221.2,156.7,313.7,2270.1,208.7,349.8,274.9,270.0,283.2,318.5,243.7,83.7,292.5,252.2,278.3,110.5,75.9,319.9,234.3,227.5,45.0,297.1,146.7,168.4,276.2,311.3,120.6,60.7,245.1,341.2,148.2,219.3,119.3,226.9,25.1,363.7,142.7,239.5,304.2,169.8,41.4,212.8,273.6,351.1,86.2,284.2,234.4,106.7,325.7,40.1,227.6,132.6,54.1,309.3,265.8,187.3,318.7,194.1,308.7,100.1,209.6,155.8,260.6,176.6,246.0,240.1,337.7,136.8,75.6,263.3,100.7,28.6
AV,65.3,186.8,0.0,317.1,56.3,247.1,235.1,314.0,215.7,137.4,228.9,215.4,188.6,309.4,213.6,297.1,199.7,192.7,274.5,451.0,245.3,171.4,387.8,250.3,276.6,214.4,176.3,168.9,257.7,256.4,307.4,316.8,110.5,35.7,289.7,45.1,15.7,338.4,415.2,368.3,398.3,334.9,359.9,224.5,205.2,176.8,312.3,157.7,206.6,269.1,238.5,235.9,408.0,2203.7,231.2,343.8,292.2,288.0,375.5,275.8,189.5,269.9,264.6,427.5,308.1,85.1,262.8,340.4,305.2,298.4,173.9,254.4,39.5,325.1,222.0,327.2,178.3,160.0,202.4,287.0,284.8,366.2,174.7,232.6,212.0,309.5,85.1,224.5,250.0,263.4,211.6,372.5,291.2,296.9,204.2,301.5,364.1,257.9,376.7,181.1,327.9,62.6,142.8,266.6,282.6,246.3,336.0,345.4,281.3,282.5,280.6,278.0,322.3,317.9,263.3,345.8,353.6,65.9,201.9,261.5,161.1,192.1
BB,301.3,141.0,302.7,0.0,271.2,236.3,96.3,19.2,129.7,217.3,124.2,131.1,165.5,303.9,147.2,17.3,138.0,156.3,169.9,142.3,142.5,184.7,231.6,109.2,143.8,145.2,167.9,199.5,280.5,135.0,216.4,60.0,205.4,307.8,276.0,329.8,318.4,205.6,201.4,160.1,142.6,17.7,42.7,140.2,140.7,168.0,70.5,180.3,131.1,118.3,118.1,119.8,183.4,2378.5,106.1,238.9,159.4,154.5,152.9,268.6,154.1,80.0,162.2,121.9,148.0,235.3,55.7,204.4,104.0,97.2,186.1,247.2,271.5,38.1,159.3,195.8,166.4,197.3,208.9,202.6,45.6,89.0,165.1,96.6,119.4,225.1,259.2,136.9,165.6,67.2,134.0,82.5,158.1,212.5,138.4,168.7,104.1,103.0,195.4,168.9,97.3,257.4,195.2,259.4,163.1,116.3,203.2,63.8,193.2,30.1,79.3,53.2,130.3,46.3,130.5,109.8,233.9,261.6,145.4,137.4,191.7,157.4
BD,43.4,149.2,56.0,279.5,0.0,260.7,191.1,280.5,186.4,100.2,211.7,177.8,155.1,323.0,230.4,265.6,162.1,155.1,260.0,413.4,232.0,131.1,354.3,212.7,238.6,180.9,193.1,131.3,271.3,246.6,311.6,283.3,72.9,91.5,303.3,96.8,67.6,300.8,377.6,331.7,360.7,297.3,322.3,186.9,164.9,161.5,274.7,120.1,169.0,231.5,200.9,193.6,370.4,2242.1,193.6,329.5,254.6,251.6,337.9,289.4,206.3,232.3,267.7,389.9,270.5,47.5,225.2,304.2,269.6,260.8,136.3,268.0,51.1,287.5,238.8,291.0,140.7,123.2,216.0,303.8,247.2,328.6,136.6,193.3,174.4,326.3,33.6,227.8,264.6,225.8,171.3,334.9,257.7,316.5,166.6,268.0,326.5,227.3,339.1,144.3,290.3,37.0,105.2,280.2,245.0,208.7,298.4,310.0,287.4,258.2,243.0,240.4,284.7,280.3,225.7,308.2,317.4,9.5,172.3,249.2,120.8,160.4
BG,279.7,313.2,260.0,221.3,259.1,0.0,299.5,216.6,276.2,262.4,114.7,203.1,323.8,62.2,90.7,231.0,184.7,163.0,59.6,180.9,129.1,231.9,153.7,227.3,111.1,180.3,134.0,297.7,10.5,79.5,26.7,272.3,242.8,207.2,73.4,194.8,275.7,160.7,181.1,134.2,164.2,211.2,215.5,194.0,265.7,147.4,184.3,308.4,191.6,96.4,141.0,201.8,173.9,2175.1,132.8,56.5,114.5,75.0,141.4,76.8,126.3,242.7,71.4,216.0,130.4,235.8,257.0,95.4,159.7,152.9,302.7,27.6,223.0,179.6,108.7,86.8,165.6,246.5,44.2,64.6,189.3,188.5,167.3,155.1,306.1,87.1,235.8,143.5,78.9,167.9,272.1,194.8,113.2,74.5,254.2,72.4,181.2,219.7,155.0,267.6,162.4,213.3,293.5,39.8,105.4,195.1,158.3,199.9,36.7,243.8,135.1,182.5,148.3,172.4,115.3,168.2,113.2,249.5,213.1,118.0,214.0,278.6
BU,201.8,44.6,202.8,81.9,169.0,241.5,0.0,101.2,33.3,122.6,184.9,37.0,69.1,310.2,201.5,68.0,99.8,111.7,234.6,215.8,205.2,84.2,320.0,15.1,213.2,137.6,182.2,99.0,252.1,215.4,286.2,88.0,99.1,214.3,284.1,210.6,218.5,275.4,283.4,241.1,224.6,99.7,124.7,46.1,44.3,118.1,152.5,83.9,92.9,200.3,175.5,113.1,265.4,2221.8,160.4,304.1,229.2,226.2,234.9,270.2,195.4,34.7,236.5,192.3,230.0,129.0,27.6,285.2,188.0,179.2,104.0,248.8,171.6,120.1,227.9,265.6,72.3,96.8,196.8,292.9,99.9,171.0,68.7,180.3,23.0,315.4,152.9,194.6,253.7,121.5,37.6,164.5,228.2,305.6,37.9,244.9,166.3,43.1,265.0,66.1,185.7,151.1,98.8,261.0,219.6,146.1,273.0,143.6,262.0,60.6,161.3,107.5,215.9,128.3,200.3,191.9,292.0,155.3,27.8,216.0,82.9,55.6
BW,291.1,177.1,289.0,32.2,257.5,272.2,128.6,0.0,162.0,210.5,128.5,185.1,197.8,282.0,154.8,46.9,145.4,170.8,147.4,141.3,148.8,177.9,242.9,152.8,129.8,128.2,172.2,192.7,258.6,139.2,202.4,96.1,188.4,290.8,265.2,300.2,304.7,188.3,208.9,166.6,150.1,25.2,50.2,172.7,177.5,173.9,51.2,216.4,145.6,124.1,88.4,112.4,194.7,2386.0,113.7,217.0,145.4,137.2,160.4,251.3,161.7,111.6,160.3,129.4,155.5,218.3,88.0,195.0,109.8,104.7,201.0,233.2,257.8,49.4,165.1,178.5,179.6,193.8,216.4,200.0,66.7,96.5,175.5,74.0,155.5,219.2,242.2,141.2,167.4,74.8,180.6,90.0,141.1,206.6,131.6,154.7,85.4,120.0,194.3,180.6,104.8,240.4,216.5,242.1,132.5,102.6,185.9,69.1,174.9,67.5,85.1,59.9,137.8,57.6,113.2,121.2,208.2,244.6,138.6,142.1,182.3,194.9
CH,188.4,43.4,189.8,105.2,158.3,264.8,23.2,124.5,0.0,96.2,201.8,60.3,67.9,327.1,224.8,88.2,116.7,135.0,248.2,247.6,220.1,45.6,336.9,38.4,222.1,152.7,198.4,78.4,275.4,240.3,294.7,104.9,92.5,202.8,307.4,212.2,205.5,283.9,306.7,265.4,247.9,123.0,148.0,69.4,10.9,146.7,172.5,82.7,109.8,223.6,184.0,123.5,288.7,2245.1,183.7,312.6,237.7,232.8,258.2,293.5,211.6,58.7,267.5,227.2,253.3,122.4,50.9,282.7,209.3,202.5,83.4,272.1,166.5,143.4,244.1,274.1,95.6,76.2,220.1,292.3,123.2,194.3,94.3,178.1,21.8,314.8,158.2,214.5,272.1,144.8,4.2,187.8,236.4,302.2,61.2,247.0,209.4,81.7,300.7,66.3,202.6,144.5,102.2,284.3,228.6,152.2,281.5,169.1,271.5,75.1,184.6,130.8,235.6,151.6,208.8,215.1,300.5,148.7,50.6,238.3,63.5,77.3
CX,138.6,100.7,145.4,200.5,101.9,291.1,118.9,223.1,107.4,0.0,185.2,96.8,101.9,368.4,208.2,183.5,145.5,128.6,233.5,343.3,200.2,84.8,323.7,133.7,212.5,168.6,196.4,82.2,301.7,222.1,285.1,194.9,57.9,144.9,351.2,147.9,161.1,269.0,351.1,304.6,337.9,218.3,243.3,100.6,101.1,135.0,193.7,71.6,138.6,205.0,174.4,145.1,384.0,2263.7,161.8,297.7,228.1,223.6,306.1,337.3,204.3,154.4,249.3,322.9,244.0,66.6,146.2,272.4,256.0,248.8,87.2,315.9,102.8,238.7,236.8,259.2,114.2,35.8,246.4,282.7,193.8,289.6,104.8,168.9,95.4,305.2,88.4,198.3,253.8,178.6,107.5,283.1,227.5,293.0,85.6,232.1,273.2,139.3,319.7,56.9,264.2,88.7,56.7,328.1,219.4,168.1,271.9,244.7,262.3,170.8,225.6,187.0,262.3,246.9,193.9,310.8,290.9,92.9,146.3,222.1,89.8,68.3
