from_stop,AB,AE,AF,AH,AM,AN,AO,AP,AW,AX,AZ,CF,CG,CH,CJ,CX,DL,DR,DS,DT,DZ,EF,EJ,EN,EQ,EW,FH,FM,FU,FW,FX,FY,GB,GC,GD,GE,GH,GN,GQ,GS,GW,GX,GY,HD,HG,HH,HJ,HK,HS,HT,IE,IJ,IK,IX,JG,JN,JR,JS,JU,JV,JX,JY,KF,KJ,KK,KN,KO,KS,KT,KZ,LA,LQ,LU,LV,LX,LY,MB,MF,MY,NG,NT,NW,NZ,OB,OG,OK,OP,OY,PI,PN,PQ,PT,PW,PX,QC,QD,QH,QI,QM,QO,RC,RN,RU,RV,SF,SN,SW,SX,SY,SZ,TG,TM,TP,TS,UL,UO,US,UT,UX,VB,VF,VU,VY,WK,WN,WS,WX,XN,YA,YI,YJ,YK,YQ,YS,YZ,ZC,ZH,ZQ
AB,0.0,261.7,121.9,164.9,157.0,126.1,142.3,263.9,81.5,157.3,70.6,193.0,175.0,112.8,31.5,132.5,222.8,143.6,239.1,226.2,130.1,210.1,225.7,176.0,114.3,183.9,89.5,86.4,144.4,78.3,127.4,144.4,55.5,73.6,157.4,178.8,102.1,226.0,126.7,160.4,206.2,2216.3,153.2,155.3,216.3,127.5,166.6,140.7,128.7,55.2,86.6,189.6,218.5,143.4,178.1,223.7,117.9,65.6,111.7,200.9,160.4,182.0,166.2,222.2,126.2,174.5,167.9,111.2,143.4,140.4,102.1,104.4,113.1,75.9,79.9,169.2,126.0,190.0,112.4,113.6,96.7,116.5,239.8,110.3,54.7,125.8,66.4,198.6,166.2,124.7,64.0,265.1,37.8,61.7,9.2,48.3,94.2,233.5,147.9,117.8,117.0,114.4,117.0,270.5,90.9,116.2,80.8,102.2,126.8,35.8,93.9,133.2,140.2,35.1,186.4,137.6,122.7,110.4,135.8,175.1,158.2,214.2,121.0,180.9,249.5,109.3,199.6,120.3,216.9,256.5,88.9,164.5,143.6,199.2,128.7,112.9,89.9,82.5
AE,278.4,0.0,177.4,290.3,282.3,188.0,284.7,44.7,268.3,329.5,216.1,92.2,122.2,330.3,312.3,221.9,103.8,258.8,291.7,252.7,347.6,97.4,60.5,432.2,236.6,356.0,200.2,205.6,172.7,334.5,301.3,344.1,250.0,268.1,141.0,304.2,235.8,38.1,269.1,333.5,80.0,2338.9,278.6,152.0,242.8,183.0,268.2,154.8,150.5,330.3,229.0,96.1,312.4,361.1,133.6,338.9,354.0,265.8,195.0,63.8,360.1,101.4,368.3,51.9,311.1,232.2,130.5,168.9,151.9,282.8,235.8,199.1,238.5,356.7,318.2,97.1,406.8,305.2,344.1,349.7,352.9,171.9,24.7,168.9,290.8,225.1,300.2,313.8,127.3,163.7,344.8,422.5,316.3,317.9,287.7,303.5,346.7,348.7,168.1,174.4,162.2,209.1,361.2,27.2,210.1,226.2,359.3,244.6,350.6,289.9,332.1,181.5,139.0,290.3,238.8,197.3,354.4,181.8,251.0,392.6,125.1,72.0,246.4,225.8,331.3,345.4,84.8,355.8,90.6,338.3,327.1,191.6,286.0,278.2,163.5,361.5,260.1,207.5
AF,87.7,157.4,0.0,133.8,97.6,98.8,106.2,167.2,103.3,151.0,25.4,120.3,70.7,151.8,103.4,128.9,118.5,165.8,186.3,167.9,169.1,173.7,140.4,226.6,118.1,177.5,111.3,27.1,111.9,150.2,91.3,165.6,59.3,77.4,60.7,142.6,122.7,121.7,90.6,155.0,131.4,2180.2,122.1,27.8,158.0,4.5,145.6,44.0,69.5,120.3,50.5,111.8,165.7,182.6,81.4,174.1,136.6,66.9,84.5,96.6,181.6,129.5,189.8,152.3,132.6,196.7,71.2,69.9,46.7,104.3,122.7,88.3,127.7,147.8,127.5,64.9,190.7,140.6,153.4,140.3,168.6,19.8,135.5,132.1,90.4,129.6,109.5,149.2,69.5,28.0,135.9,244.0,127.7,133.6,96.7,112.8,136.7,183.9,75.1,63.6,81.2,98.3,170.5,166.2,31.6,138.0,167.4,66.1,172.1,81.0,150.5,88.5,58.0,99.6,165.4,147.4,163.7,71.0,158.0,214.1,118.6,139.4,135.6,203.1,187.5,143.8,121.8,177.3,180.5,194.5,136.4,17.0,107.5,178.2,52.7,151.5,93.7,104.3
AH,163.8,287.9,158.5,0.0,97.9,154.4,50.7,286.0,245.4,101.8,153.9,221.3,180.3,96.3,162.9,116.2,249.0,117.6,75.5,99.5,113.6,238.4,254.0,171.1,246.6,140.2,251.2,130.5,172.7,209.7,78.5,116.4,187.8,205.9,161.5,13.8,245.8,252.2,65.3,105.8,234.5,2176.2,12.8,187.4,89.6,154.1,77.2,147.7,249.5,144.9,110.5,220.5,54.9,144.9,200.2,63.3,81.1,156.6,219.3,227.1,132.4,210.3,140.6,250.5,77.1,110.0,172.0,139.5,165.5,99.9,245.8,100.0,57.3,135.8,243.8,195.4,135.2,72.2,276.3,84.8,159.4,179.4,266.0,267.9,149.9,258.1,197.8,80.8,188.3,173.7,143.5,221.4,155.4,193.1,156.2,212.2,123.9,73.1,170.7,128.1,261.2,86.7,248.4,296.7,124.5,259.9,111.9,96.0,122.9,140.5,137.7,161.5,238.0,199.0,97.0,275.9,286.6,120.7,109.8,158.6,189.1,242.5,49.2,116.4,85.9,88.3,230.5,121.8,245.2,92.9,142.7,176.6,97.2,109.8,139.0,138.7,222.2,244.2
AM,84.4,252.3,93.8,36.1,0.0,130.4,86.9,249.9,166.0,138.0,130.6,197.3,165.6,131.2,101.5,85.6,213.4,51.1,97.4,70.2,149.8,214.4,235.3,128.8,192.6,176.4,174.0,65.8,155.1,128.7,18.9,153.0,154.8,149.6,155.6,50.0,186.6,216.6,36.2,142.0,210.5,2125.8,24.4,122.5,60.3,89.4,47.9,138.9,183.5,47.9,35.8,206.7,88.9,127.6,176.3,76.6,65.8,87.4,150.1,191.5,168.6,186.3,176.8,226.5,113.3,80.7,166.1,115.5,141.6,49.7,121.9,108.7,42.3,76.2,156.5,159.8,83.4,42.9,175.1,61.5,99.8,114.7,230.4,194.8,59.7,201.8,108.7,51.5,164.4,122.9,83.9,189.6,58.4,122.0,76.8,129.6,64.3,86.4,164.3,122.1,201.5,100.2,171.1,261.1,55.0,200.7,65.0,21.3,111.0,85.8,78.1,137.5,195.0,119.6,67.7,219.6,182.1,114.7,56.0,194.8,162.0,218.5,37.9,87.1,89.8,57.2,217.9,104.5,221.2,96.8,83.1,111.9,53.1,80.5,147.6,79.1,165.9,167.0
AN,112.0,155.9,70.5,143.4,126.5,0.0,148.5,137.3,127.6,193.3,49.7,102.6,94.1,218.2,147.4,30.0,111.5,66.9,177.2,162.2,236.8,125.6,131.0,264.2,142.4,240.5,135.6,69.4,87.8,168.1,145.5,208.3,83.6,101.7,75.3,157.3,145.7,120.2,132.9,220.2,113.7,2267.1,131.7,99.2,152.3,66.1,136.3,61.5,142.2,174.5,92.8,94.1,156.6,255.5,45.7,147.0,179.4,91.2,108.8,95.1,223.9,108.0,232.1,142.5,200.3,97.8,85.8,26.7,54.9,146.6,196.1,48.5,86.3,191.8,151.8,97.3,241.9,113.3,177.7,175.1,186.5,81.8,134.0,156.4,116.2,153.9,133.8,121.9,51.8,73.6,179.9,286.3,149.9,151.5,121.3,137.1,190.9,156.8,16.2,41.9,162.4,62.3,194.8,164.7,104.2,159.8,192.9,147.9,238.9,125.0,165.7,7.0,139.2,123.9,156.1,171.7,188.0,34.5,59.1,281.8,101.7,121.7,99.5,104.2,187.6,170.8,104.1,232.4,132.4,194.6,160.7,88.6,149.8,168.9,52.8,205.7,118.0,128.6
AO,130.6,294.2,135.7,51.4,97.8,205.9,0.0,337.5,212.2,60.7,170.4,272.8,231.8,45.5,147.7,157.8,255.3,123.3,78.0,133.5,62.8,289.9,305.5,120.3,241.5,89.4,220.2,107.7,224.2,194.5,78.9,75.3,182.7,200.8,213.0,34.3,230.9,258.5,32.5,64.7,286.0,2089.9,64.2,164.6,139.9,131.3,110.0,199.2,223.3,94.1,77.7,272.0,57.4,94.1,251.7,65.8,30.3,127.2,189.9,233.4,91.3,261.8,98.9,309.9,26.3,152.9,223.5,191.0,217.0,14.0,230.9,151.5,108.8,132.9,210.6,201.7,84.4,79.9,243.1,34.0,168.3,156.6,272.3,241.0,99.5,253.0,182.6,72.9,239.8,164.8,140.6,153.7,104.6,177.9,123.0,179.0,121.0,75.6,222.2,179.6,247.7,138.2,233.2,303.0,101.7,245.0,61.1,63.2,77.5,129.1,135.9,213.0,234.8,165.8,148.5,268.3,253.4,172.2,128.2,107.8,240.6,294.0,100.7,159.3,88.4,37.5,282.0,71.0,296.7,95.4,140.9,153.8,17.2,159.9,190.5,147.6,217.1,213.2
AP,276.2,51.8,222.4,286.0,271.1,168.9,286.8,0.0,246.0,331.6,201.6,76.9,166.0,370.5,299.5,199.0,157.2,235.9,280.5,241.5,389.1,89.6,85.3,416.1,245.2,392.8,218.9,207.7,137.1,320.0,290.1,346.6,235.5,253.6,147.2,299.9,213.5,91.5,271.2,372.5,68.0,2390.8,274.3,179.9,231.6,218.0,257.0,150.5,203.9,319.1,231.1,87.1,301.2,419.7,131.5,316.0,331.7,243.5,190.5,117.2,362.2,82.3,370.4,48.2,352.6,221.0,157.7,154.4,122.7,284.7,291.5,194.8,228.9,343.9,303.7,150.5,394.0,282.3,329.6,327.4,338.4,149.6,78.1,222.3,268.5,256.7,285.7,290.9,98.1,141.4,332.0,424.6,314.1,303.4,285.5,301.3,335.5,325.8,139.5,170.1,215.6,208.6,346.7,34.7,212.2,227.6,352.4,246.7,352.7,277.1,317.6,158.6,192.4,288.1,225.0,250.7,339.9,177.5,228.1,434.1,114.7,76.0,242.1,214.6,320.1,323.1,97.1,396.6,96.4,327.1,306.0,169.3,288.1,264.4,159.2,350.3,252.8,211.9
AW,72.1,242.1,102.3,221.8,213.9,175.9,191.7,232.1,0.0,229.5,96.8,197.4,155.4,185.0,103.7,158.7,203.2,195.6,311.3,272.9,202.3,250.8,225.1,216.7,58.0,256.1,69.9,112.6,184.9,120.6,176.8,217.0,61.7,49.2,137.8,235.7,60.3,206.4,176.1,232.6,208.5,2265.7,210.1,135.7,263.0,107.9,238.8,121.1,109.1,127.4,136.0,188.9,290.7,215.6,158.5,275.7,190.1,91.8,92.1,181.3,232.6,202.8,238.4,248.3,198.4,226.5,148.3,137.4,123.8,189.8,216.0,130.6,170.0,148.1,104.3,149.6,198.2,242.0,136.8,185.8,139.0,96.9,220.2,90.7,126.9,67.2,86.3,250.6,146.6,105.1,136.2,337.3,110.0,104.0,81.4,95.2,166.4,285.5,152.2,140.7,97.4,144.4,159.3,250.9,120.8,88.0,153.0,151.6,199.0,108.0,118.2,165.6,120.6,84.0,258.6,85.0,147.1,148.1,187.8,247.3,196.5,216.5,177.9,246.0,321.7,181.5,200.1,192.5,257.6,328.7,113.2,144.9,193.0,271.4,129.8,150.3,31.3,62.9
AX,135.6,343.1,184.6,113.4,134.0,261.8,96.7,352.9,217.2,0.0,206.3,328.7,293.8,68.5,152.7,224.0,304.2,189.5,150.0,182.4,80.7,338.3,326.1,138.2,250.0,26.9,225.2,156.6,280.1,199.3,115.1,14.5,191.2,209.3,275.0,98.6,237.8,307.4,81.4,24.4,341.9,2093.3,126.2,213.5,188.8,180.2,164.0,261.2,264.4,99.1,126.6,331.4,137.4,31.5,267.1,116.3,62.4,159.3,222.0,282.3,30.5,317.7,38.7,358.3,61.9,219.1,285.5,246.9,232.4,64.2,237.8,213.5,170.8,132.8,215.6,250.6,84.3,146.1,248.1,66.1,186.2,205.5,321.2,246.0,131.6,261.5,187.6,139.1,255.2,213.7,140.5,108.1,109.6,182.9,128.0,184.0,120.9,106.5,283.6,241.6,252.7,200.2,217.3,351.9,150.6,251.9,66.1,112.1,21.0,137.0,147.3,268.9,275.9,170.8,192.7,273.3,258.4,234.2,194.4,74.9,300.0,349.9,162.7,225.5,119.9,69.6,341.4,27.5,345.1,112.9,152.3,202.7,61.5,180.4,252.5,165.5,225.6,218.2
