from_stop,AC,AE,AK,AO,AV,BH,BI,BK,CB,CH,CO,CT,CX,EF,EI,EX,FG,FI,FN,FU,GD,GH,GI,GQ,GW,GZ,HH,HI,HQ,HR,HT,HV,HX,IP,JB,JQ,JS,KE,KK,KO,LE,MB,MX,NA,NH,NJ,NP,NS,NT,NV,NX,OA,OE,OF,OL,OO,OV,OW,PM,QN,QQ,QT,RY,SH,SU,SW,SY,TJ,TK,TQ,TS,TX,UB,UE,UI,UL,UQ,UX,VA,WW,XF,XY,YC,YT,YY,ZA,ZN,ZW
AC,0.0,318.8,831.0,325.9,451.8,206.5,613.0,618.3,375.7,333.6,671.6,3055.7,722.2,284.8,246.0,265.1,519.3,872.9,564.9,793.4,840.9,651.9,262.1,503.1,196.5,560.9,215.9,182.1,237.8,296.0,586.9,355.5,306.7,805.7,585.6,689.1,577.0,546.2,520.8,773.6,735.8,147.1,397.6,403.5,607.9,285.1,535.8,293.8,759.6,527.3,593.3,466.2,777.4,300.1,558.3,620.5,300.3,213.0,878.5,227.7,661.4,760.2,396.2,259.5,56.3,762.8,275.8,861.4,903.5,251.1,490.3,235.1,244.7,253.4,309.0,427.0,381.9,643.2,122.6,676.2,536.2,197.4,322.5,698.2,507.1,337.5,372.5,780.0
AE,309.0,0.0,751.2,57.6,132.9,156.6,488.7,313.8,56.8,42.2,591.8,2736.8,403.3,291.5,127.1,185.3,200.4,554.0,485.1,474.5,522.0,572.1,68.2,184.2,166.6,436.6,145.8,188.8,147.9,302.7,268.0,36.6,313.4,486.8,369.7,609.3,323.6,466.4,396.5,454.7,656.0,247.1,260.7,116.5,289.0,205.3,456.0,26.1,440.7,225.7,274.4,147.3,458.5,122.1,239.4,301.6,73.4,219.7,559.6,234.4,581.6,680.4,77.3,113.6,277.7,443.9,238.3,542.5,584.6,171.3,439.8,241.8,207.2,101.5,10.1,108.1,62.7,563.4,271.6,371.7,364.4,125.8,144.5,618.4,201.0,182.5,85.5,461.1
AK,856.6,772.8,0.0,809.9,801.6,654.3,604.9,610.2,829.7,731.5,169.2,3426.6,900.3,804.0,643.9,593.6,697.4,1064.6,275.9,999.7,1019.0,188.9,788.8,744.7,664.3,552.8,776.5,768.0,754.6,726.1,623.5,809.5,817.0,983.8,577.5,151.7,568.9,294.6,512.7,951.7,434.9,762.8,795.5,801.4,786.0,572.6,305.0,777.8,937.7,968.5,771.4,766.1,955.5,698.0,779.9,668.2,698.2,798.9,1056.6,794.4,360.5,76.0,830.6,657.4,825.3,940.9,754.0,1039.5,1095.2,608.5,482.2,787.0,722.9,822.1,793.0,805.3,865.9,197.6,787.3,668.1,528.1,783.3,720.4,142.6,817.1,735.4,770.4,958.1
AO,387.1,44.8,779.4,0.0,177.8,184.8,533.6,358.7,101.7,70.4,620.0,2781.7,448.2,387.6,155.3,210.0,245.3,598.9,513.3,519.4,566.9,600.3,272.7,229.1,194.8,481.5,198.0,284.9,176.1,398.8,312.9,80.7,409.5,531.7,414.6,637.5,368.5,494.6,441.4,499.6,684.2,275.3,247.8,161.4,333.9,233.5,484.2,63.0,485.6,253.3,319.3,192.2,503.4,150.3,284.3,346.5,101.6,315.8,612.7,330.5,609.8,708.6,114.9,141.8,355.8,488.8,266.5,587.4,629.5,199.5,438.7,337.9,235.4,239.0,35.0,153.0,107.9,591.6,299.8,416.6,409.3,226.5,172.7,646.6,233.1,187.7,113.7,506.0
AV,469.9,160.8,750.8,218.5,0.0,317.5,366.8,191.9,161.0,203.1,591.4,2841.0,281.4,452.4,288.0,346.2,78.5,445.7,484.7,380.8,400.1,571.7,229.1,62.3,327.5,314.7,306.7,349.7,308.8,463.6,146.1,120.0,474.3,364.9,247.8,608.9,201.7,466.0,274.6,332.8,655.6,408.0,380.5,240.7,167.1,366.2,455.6,187.0,318.8,388.2,152.5,25.4,336.6,283.0,117.5,179.7,234.3,380.6,437.7,395.3,581.2,680.0,201.5,274.5,438.6,322.0,399.2,420.6,476.3,332.2,317.9,402.7,368.1,262.4,171.0,34.7,223.6,563.0,432.5,249.8,242.5,286.7,305.4,618.0,147.5,306.7,246.4,339.2
BH,202.2,168.3,624.4,257.4,301.3,0.0,406.4,411.7,225.2,127.0,465.0,2905.2,571.7,216.3,39.4,55.0,368.8,722.4,358.3,642.9,690.4,445.3,193.6,352.6,9.9,354.3,147.4,113.6,150.1,227.5,425.0,204.2,249.3,655.2,379.0,482.5,370.4,339.6,314.2,623.1,529.2,138.3,191.0,196.3,457.4,78.5,329.2,225.3,609.1,397.4,442.8,315.7,626.9,93.5,407.8,469.7,93.7,144.5,728.0,159.2,454.8,553.6,233.4,52.9,170.9,612.3,129.5,710.9,753.0,44.5,283.7,166.6,98.4,159.9,181.8,276.5,234.4,436.6,162.8,469.6,329.6,128.9,115.9,491.6,369.4,130.9,165.9,629.5
BI,598.7,514.9,595.0,565.2,377.7,396.4,0.0,186.3,507.7,473.6,435.6,3187.7,476.4,612.8,386.0,335.7,273.5,640.7,328.9,575.8,595.1,415.9,590.1,320.8,406.4,42.0,518.6,510.1,496.7,624.0,199.6,466.7,634.7,559.9,153.6,453.1,145.0,310.2,82.1,527.8,499.8,504.9,537.6,543.5,362.1,314.7,299.8,533.7,513.8,734.9,347.5,342.2,531.6,440.1,356.0,244.3,440.3,541.0,632.7,555.7,425.4,524.2,572.7,399.5,567.4,517.0,496.1,615.6,671.3,350.6,162.1,563.1,465.0,581.4,517.7,381.4,570.3,407.2,529.4,244.2,104.2,525.4,462.5,462.2,393.2,477.5,512.5,534.2
BK,582.9,361.5,579.2,419.2,231.7,380.6,195.2,0.0,361.7,457.8,419.8,3041.7,330.4,597.0,370.2,319.9,127.5,494.7,313.1,429.8,449.1,400.1,429.8,174.8,390.6,143.1,502.8,494.3,480.9,608.2,53.6,320.7,618.9,413.9,76.2,437.3,30.1,294.4,103.0,381.8,484.0,489.1,521.8,527.7,216.1,298.9,284.0,387.7,367.8,588.9,201.5,196.2,385.6,424.3,210.0,98.3,424.5,525.2,486.7,539.9,409.6,508.4,402.2,383.7,551.6,371.0,480.3,469.6,525.3,334.8,146.3,547.3,449.2,463.1,371.7,235.4,424.3,391.4,513.6,57.9,70.9,509.6,446.7,446.4,260.0,461.7,496.7,388.2
CB,364.5,55.4,806.7,113.1,151.7,212.1,507.5,332.6,0.0,97.7,647.3,2679.9,422.1,347.0,182.6,237.3,219.2,572.8,540.6,493.3,540.8,627.6,123.7,203.0,222.1,455.4,201.3,244.3,203.4,358.2,286.8,56.1,368.9,505.6,388.5,664.8,342.4,521.9,415.3,473.5,711.5,302.6,261.5,117.9,307.8,260.8,511.5,81.6,459.5,88.0,293.2,166.1,477.3,220.7,258.2,320.4,128.9,275.2,578.4,289.9,637.1,735.9,70.8,169.1,333.2,462.7,293.8,561.3,603.4,226.8,458.6,297.3,262.7,150.3,65.6,128.1,118.2,618.9,327.1,390.5,383.2,181.3,198.3,673.9,207.0,183.3,141.0,479.9
CH,316.6,41.2,708.9,102.2,174.2,114.3,490.9,355.1,98.1,0.0,549.5,2778.1,444.6,317.1,84.8,139.5,241.7,595.3,442.8,515.8,563.3,529.8,202.2,225.5,124.3,438.8,127.5,214.4,105.6,328.3,309.3,77.1,339.0,528.1,411.0,567.0,364.9,424.1,398.7,496.0,613.7,204.8,177.3,157.8,330.3,163.0,413.7,70.7,482.0,270.3,315.7,188.6,499.8,79.8,280.7,342.9,31.1,245.3,600.9,260.0,539.3,638.1,111.3,71.3,285.3,485.2,196.0,583.8,625.9,129.0,368.2,267.4,164.9,168.5,54.7,150.6,107.3,521.1,229.3,413.0,405.7,156.0,102.2,576.1,242.3,117.2,43.2,502.4
