from_stop,AD,AN,BN,BO,CH,CU,DF,EA,EC,EF,EH,EM,EQ,ER,ES,ET,FL,FO,FQ,FV,GE,GF,GJ,GW,IN,IU,IY,IZ,JC,KD,KH,LR,LW,MI,MS,MU,MY,NK,NV,PH,RF,RH,SE,SS,TQ,TU,TW,VJ,VM,VP,WR,XK,XO,XT,XV,XW,YI,YN,YO,YX,ZE,ZH,ZK,ZL
AD,0.0,318.4,255.6,409.9,307.8,420.1,398.9,74.0,316.4,446.7,226.2,255.6,222.0,324.7,240.0,325.9,211.6,265.7,413.0,307.4,365.7,428.5,446.0,357.1,153.9,431.5,239.7,324.2,161.3,358.2,193.0,247.5,72.4,150.8,76.4,91.1,149.7,281.1,331.3,51.0,331.7,131.1,268.6,448.4,342.3,129.9,308.1,255.8,258.3,332.6,166.4,320.5,284.8,442.0,68.3,85.7,229.9,173.2,10.3,47.3,271.9,2731.2,224.5,287.1
AN,237.0,0.0,193.1,374.2,272.1,384.4,363.2,156.8,330.2,411.0,271.4,261.9,260.2,338.5,278.7,290.2,299.6,252.1,379.0,244.9,373.7,392.8,410.3,313.0,254.7,401.8,177.2,256.1,262.1,345.0,209.3,253.8,204.5,251.7,177.2,191.9,207.1,220.9,251.9,265.0,296.0,231.9,206.1,412.7,274.2,225.6,321.9,193.3,195.8,264.5,268.7,284.8,271.2,406.1,200.4,217.8,259.0,274.0,247.0,162.7,209.4,2752.7,230.8,224.6
BN,291.6,310.1,0.0,166.6,105.3,176.8,155.6,211.4,148.9,203.4,282.6,246.6,281.8,154.5,257.2,105.9,249.2,282.9,169.7,57.8,155.1,185.2,202.7,126.4,356.6,194.2,96.4,62.9,364.0,72.9,193.5,248.0,259.1,328.4,286.0,293.8,265.8,25.4,64.8,319.6,129.2,333.8,12.9,205.1,81.0,314.6,157.2,82.2,83.2,71.3,280.5,118.1,238.6,198.7,255.0,272.4,272.0,375.9,304.8,217.3,67.9,2540.1,225.0,37.5
BO,464.1,404.7,176.6,0.0,207.8,70.6,10.9,359.9,173.3,79.2,299.6,271.0,306.7,165.0,273.8,188.3,273.6,294.6,27.3,161.7,171.3,52.5,79.0,189.1,398.0,61.2,191.0,198.4,405.4,221.4,288.1,278.0,431.6,352.8,365.2,350.5,345.1,148.8,142.0,492.1,205.6,375.2,163.6,105.8,180.3,411.8,181.6,176.8,177.8,190.0,301.6,195.1,263.0,83.2,427.5,444.9,291.7,417.3,475.4,389.8,162.5,2517.1,309.1,170.9
CH,340.4,292.0,104.7,169.3,0.0,179.5,158.3,238.1,88.1,206.1,186.4,150.4,182.5,99.5,153.2,77.1,149.9,186.7,182.3,172.9,98.4,187.9,205.4,67.4,277.4,190.9,105.2,83.6,284.8,99.6,175.4,157.4,311.0,232.2,244.6,226.8,224.5,79.2,93.3,371.5,48.4,254.6,91.7,207.8,99.5,291.2,82.9,83.9,47.1,92.0,181.0,12.8,142.4,201.4,303.8,324.3,171.1,296.7,356.7,269.2,69.6,2575.0,188.5,119.6
CU,440.2,408.0,179.9,80.6,203.4,0.0,69.6,351.6,149.4,26.2,275.7,247.1,282.8,141.1,257.7,186.2,249.7,270.7,54.1,221.1,157.6,28.0,25.8,184.7,374.1,37.6,194.3,194.0,381.5,233.6,307.7,254.1,407.7,329.0,341.3,326.6,327.7,152.1,145.3,468.2,200.3,351.3,166.9,52.8,175.9,382.8,157.7,180.1,181.1,185.6,281.0,190.7,239.1,21.6,403.6,421.0,287.4,393.4,450.2,365.9,165.8,2453.4,285.2,174.2
DF,453.1,393.7,165.6,10.9,196.8,59.6,0.0,337.3,162.3,68.2,288.6,260.0,295.2,154.0,270.6,179.6,262.6,283.6,15.4,172.7,160.3,41.5,68.0,178.1,387.0,56.2,180.0,187.4,394.4,232.4,287.1,267.0,420.6,341.9,354.2,339.5,340.6,137.8,131.0,481.1,194.6,364.2,152.6,94.8,169.3,395.7,170.6,165.8,166.8,179.0,293.9,184.1,252.0,72.2,416.5,433.9,300.3,406.3,463.1,378.8,151.5,2506.1,298.1,159.9
EA,130.9,254.0,191.2,335.8,233.7,346.0,324.8,0.0,269.7,372.6,179.8,201.4,175.1,278.0,193.6,254.1,165.2,204.3,347.7,243.0,319.0,354.4,371.9,274.6,107.5,364.2,175.3,250.1,114.9,284.1,138.8,193.3,77.3,104.4,30.0,44.7,103.3,219.0,250.0,182.0,265.2,84.7,204.2,374.3,268.2,78.4,261.4,191.4,193.9,258.5,120.0,246.4,210.7,367.7,73.2,90.6,173.9,126.8,117.7,35.5,207.5,2657.1,170.3,222.7
EC,290.7,328.1,155.7,196.7,71.6,165.1,185.7,228.5,0.0,191.4,133.6,97.6,133.3,8.2,100.4,58.4,100.2,121.2,182.4,213.6,49.2,207.6,182.1,37.9,224.6,164.3,139.2,92.7,232.0,174.4,164.7,104.6,258.2,179.4,191.8,177.1,171.7,130.2,149.8,318.7,40.9,201.8,142.7,218.0,74.6,233.3,8.2,125.0,121.9,84.3,128.2,61.9,89.6,186.1,254.1,271.5,137.9,243.9,303.9,216.4,110.7,2510.6,135.7,178.7
EF,479.2,427.3,199.2,81.9,239.3,38.9,70.9,370.9,188.4,0.0,322.1,286.1,321.3,180.1,288.9,225.2,288.7,322.4,47.2,240.4,196.6,29.3,64.8,216.9,413.1,75.8,213.6,198.1,420.5,252.9,320.7,293.1,446.7,367.9,380.3,365.6,360.2,171.4,164.6,507.2,239.3,390.3,186.2,26.5,214.9,421.8,196.7,199.4,200.4,206.5,320.0,229.6,278.1,60.6,442.6,460.0,326.4,432.4,489.2,404.9,185.1,2472.7,324.2,193.5
EH,234.2,416.1,297.0,332.3,188.7,300.7,321.3,172.0,135.5,327.0,0.0,100.3,76.8,143.8,70.8,196.7,43.7,145.0,325.3,342.3,184.8,349.7,317.7,166.7,168.1,299.9,274.6,228.3,175.5,298.0,137.2,92.2,201.7,122.9,135.3,120.6,121.7,265.8,274.8,262.2,169.0,145.3,278.3,353.6,210.2,181.9,133.7,263.3,239.0,219.9,71.7,179.0,100.7,321.7,197.6,215.0,52.9,187.4,247.4,159.9,249.0,2560.0,119.2,301.1
EM,246.0,351.6,272.6,337.2,171.2,280.1,326.2,183.8,114.9,306.4,81.5,0.0,88.6,123.2,63.5,178.4,55.5,111.7,296.5,330.5,164.2,322.6,297.1,146.1,179.9,285.3,266.0,207.7,187.3,285.5,60.5,7.0,213.5,134.8,147.1,132.4,133.5,244.8,258.6,274.0,147.3,157.1,259.6,333.0,189.6,188.6,106.6,251.8,233.0,199.3,86.8,158.5,80.1,301.3,209.4,226.8,55.0,199.2,256.0,171.7,237.5,2539.4,38.0,287.5
EQ,229.3,392.0,302.3,344.1,200.5,312.5,333.1,167.6,147.8,339.3,106.1,105.8,0.0,155.6,91.9,208.5,38.8,144.6,328.9,354.6,196.6,355.0,329.5,178.5,163.7,318.2,286.9,240.6,170.6,303.3,126.4,112.8,196.8,118.0,130.9,115.7,110.3,275.3,306.9,257.8,169.8,140.4,290.6,365.4,222.0,168.5,139.5,275.1,250.8,232.2,66.8,191.4,112.5,333.5,193.2,210.1,100.7,182.5,240.1,155.5,260.8,2571.8,154.4,336.3
ER,299.0,336.4,141.3,188.4,83.0,156.8,177.4,236.8,8.2,183.1,134.5,105.9,141.6,0.0,116.5,69.0,108.5,129.5,173.2,199.2,40.9,199.3,173.8,36.7,232.9,162.0,147.5,78.3,240.3,182.7,166.5,112.9,266.5,187.8,200.1,185.4,186.5,113.5,145.3,327.0,59.1,210.1,128.3,209.7,60.2,241.6,16.5,133.3,130.2,69.9,139.8,70.3,97.9,178.0,262.4,279.8,146.2,252.2,309.0,224.7,119.0,2518.9,144.0,178.9
ES,229.5,403.5,277.9,311.9,176.1,288.1,308.7,167.3,122.9,306.6,73.4,52.9,71.6,131.2,0.0,184.1,39.0,132.4,312.7,329.7,164.4,330.6,305.1,163.6,171.2,287.3,262.0,215.7,178.6,278.9,104.3,44.8,204.8,126.0,138.4,115.9,110.5,253.2,262.2,265.3,156.4,148.4,265.7,341.0,197.6,185.0,114.6,250.7,226.4,207.3,74.8,166.4,88.1,309.1,192.9,218.1,10.0,190.5,242.7,163.0,236.4,2547.4,71.8,288.5
ET,346.2,310.1,105.3,167.6,56.3,177.8,156.6,258.6,75.0,204.4,191.4,155.4,188.3,83.3,158.2,0.0,155.7,191.7,180.6,174.0,82.0,186.2,203.7,32.2,282.4,188.3,78.4,81.9,289.8,120.1,193.5,162.4,316.0,237.2,249.6,232.6,227.2,77.5,91.6,376.5,81.8,259.6,90.0,206.1,82.3,296.2,66.0,64.2,83.2,90.3,186.0,46.6,147.4,199.7,311.9,329.3,176.1,301.7,361.7,274.2,49.9,2573.3,193.5,117.9
FL,190.4,385.3,259.7,301.5,161.0,269.9,290.5,128.2,104.7,296.2,66.3,62.7,48.8,113.0,48.8,165.9,0.0,101.5,284.6,311.5,154.0,312.4,286.9,135.9,124.3,269.1,243.8,197.5,131.7,260.7,129.8,69.7,157.9,79.1,91.5,76.8,71.4,232.7,241.4,218.4,137.1,101.5,247.5,322.8,179.4,133.0,96.4,232.5,208.2,189.1,32.8,148.2,69.9,290.9,153.8,171.2,66.7,143.6,203.6,116.1,218.2,2529.2,100.8,270.3
FO,256.3,334.6,242.9,320.2,221.2,330.4,309.2,194.1,154.2,357.0,80.9,39.2,129.6,162.5,60.9,238.5,96.5,0.0,333.2,313.5,203.5,338.8,356.3,194.9,219.2,341.8,249.0,234.5,226.6,268.5,53.5,31.1,236.5,175.7,170.1,171.7,137.2,230.1,244.2,297.0,187.7,196.4,242.6,358.7,252.6,198.7,145.9,234.8,216.0,242.9,122.8,197.7,119.4,352.3,232.4,249.8,43.0,238.5,269.5,194.7,220.5,2578.7,21.0,270.5
FQ,468.4,390.4,160.9,27.3,210.9,43.2,16.3,333.1,185.2,46.4,302.7,276.7,311.0,170.7,285.9,193.7,285.5,297.7,0.0,203.5,174.4,26.5,69.1,192.2,403.7,72.8,176.7,161.2,411.1,213.4,281.1,283.7,437.3,355.9,370.9,353.6,356.2,131.9,127.7,497.8,218.6,380.9,149.3,78.4,186.0,387.2,192.7,162.5,163.5,195.7,311.3,198.2,268.7,67.5,432.3,450.6,314.4,423.0,486.2,395.5,148.2,2500.2,314.8,156.6
FV,334.7,311.6,79.1,150.4,177.6,191.2,161.4,254.5,221.8,229.7,348.1,319.5,354.7,213.5,330.1,175.9,322.1,343.1,176.9,0.0,200.2,199.6,204.0,208.2,428.9,192.2,168.7,142.1,436.3,116.0,275.8,320.3,302.2,401.4,358.3,366.1,331.6,106.9,93.6,362.7,201.5,406.1,92.1,219.5,160.2,381.8,230.1,154.5,155.5,150.5,353.4,190.3,311.5,208.2,298.1,315.5,344.3,448.2,344.7,260.4,140.2,2539.0,297.3,66.3
GE,334.9,372.3,154.1,180.4,97.4,167.8,169.4,272.7,44.1,194.1,177.8,141.8,177.5,35.8,152.4,81.0,144.4,178.1,163.5,208.7,0.0,191.3,165.8,72.6,268.8,154.0,161.8,91.1,276.2,200.2,208.9,148.8,302.4,223.6,236.0,221.3,215.9,128.6,132.9,362.9,96.1,246.0,141.1,220.7,73.0,282.6,52.4,147.6,147.7,82.7,177.3,87.7,133.8,169.8,298.3,315.7,162.5,288.1,348.1,260.6,133.3,2554.8,179.9,161.8
GF,458.3,415.6,187.5,52.5,218.4,18.0,41.5,359.2,167.5,26.6,301.2,265.2,300.9,159.2,275.8,202.0,267.8,288.8,26.5,228.7,175.7,0.0,43.9,202.8,392.2,61.7,201.9,212.1,399.6,241.2,299.0,272.2,425.8,347.0,359.4,344.7,339.3,162.0,152.9,486.3,208.5,369.4,174.5,53.2,194.0,400.9,175.8,187.7,188.7,203.7,299.1,208.8,257.2,39.9,421.7,439.1,305.5,411.5,471.5,384.0,173.4,2471.8,303.3,181.8
GJ,456.8,424.1,196.0,79.0,213.2,35.8,68.0,367.7,166.0,62.1,292.3,263.7,298.9,157.7,274.3,196.0,266.3,287.3,63.8,237.2,174.2,89.9,0.0,194.5,390.7,11.7,210.4,203.8,398.1,249.7,324.3,270.7,424.3,345.6,357.9,343.2,344.3,168.2,161.4,484.8,211.0,367.9,183.0,88.7,185.7,399.4,174.3,196.2,197.2,195.4,297.6,200.5,255.7,4.2,420.2,437.6,304.0,410.0,466.8,382.5,181.9,2489.3,301.8,190.3
GW,325.7,353.6,125.8,190.4,67.4,200.6,179.4,263.5,42.7,212.9,161.2,123.1,167.8,51.0,133.7,32.2,135.2,168.9,182.3,196.8,72.3,209.0,184.6,0.0,250.1,166.8,101.2,88.4,267.0,142.9,193.7,130.1,283.7,204.9,217.3,202.6,197.2,98.0,111.8,344.2,65.2,227.3,122.3,228.9,70.3,258.8,33.7,96.5,105.1,80.0,153.7,45.2,115.1,198.3,279.6,297.0,163.4,269.4,329.4,241.9,72.7,2536.1,161.2,140.7
IN,158.1,343.2,280.4,439.0,276.1,385.0,428.0,89.1,219.8,411.3,174.0,177.8,163.9,228.1,171.7,283.3,115.0,216.6,401.4,332.2,269.1,427.5,402.0,251.0,0.0,390.2,264.5,312.6,23.9,387.3,186.4,184.8,153.1,68.2,86.7,72.0,117.2,308.2,360.4,209.2,252.2,22.0,293.4,437.9,294.5,128.2,211.5,280.6,283.1,304.2,96.3,263.4,185.0,406.2,149.0,166.4,203.7,35.8,148.1,111.3,296.7,2644.3,207.9,311.9
IU,451.7,412.3,184.2,61.2,202.2,47.6,56.2,349.9,160.9,73.9,294.0,264.6,293.8,158.6,276.0,185.0,261.2,289.0,52.3,225.4,164.9,72.1,11.7,192.2,391.6,0.0,198.6,192.0,399.0,231.9,299.2,271.6,425.2,346.4,358.8,344.1,332.7,157.2,150.4,485.7,207.9,368.8,171.2,100.5,173.9,401.1,176.0,184.4,185.4,183.6,296.0,189.5,256.6,15.2,420.4,438.5,305.7,410.9,464.9,383.4,170.1,2501.1,302.7,178.5
IY,260.3,237.2,43.7,185.7,103.4,195.9,174.7,180.1,158.8,222.5,267.8,239.2,274.9,167.1,249.8,83.7,241.8,262.8,190.5,95.5,168.1,204.3,221.8,106.5,354.7,213.3,0.0,106.7,362.1,41.6,201.6,246.1,227.8,321.1,284.1,291.9,257.4,71.5,102.5,288.3,141.0,331.9,56.7,224.2,124.8,307.6,149.8,16.1,81.3,115.1,273.1,130.5,231.2,217.6,223.7,241.1,270.1,374.0,270.3,186.0,32.2,2525.8,223.1,75.2
IZ,376.7,309.0,62.9,145.5,97.6,155.7,134.5,252.6,85.9,182.3,212.2,183.6,218.8,91.5,194.2,80.4,186.2,207.2,150.3,120.8,92.1,164.1,181.6,88.4,310.6,173.1,95.3,0.0,318.0,135.9,202.4,190.6,344.2,265.5,277.8,263.1,264.2,35.1,66.9,404.7,95.4,287.8,49.9,184.0,18.1,319.3,94.2,81.1,82.1,8.4,217.5,84.9,175.6,177.4,340.1,357.5,223.9,329.9,386.7,302.4,66.8,2551.2,221.7,100.5
JC,227.4,389.6,326.8,392.6,252.1,361.0,381.6,200.7,195.8,387.3,150.0,153.8,139.9,204.1,147.7,259.3,91.0,192.6,377.4,378.6,245.1,403.5,378.0,227.0,161.3,366.2,310.9,288.6,0.0,351.8,228.2,160.8,194.9,44.2,128.5,113.8,168.4,323.8,332.5,255.4,228.2,138.5,338.6,413.9,270.5,170.0,187.5,323.6,299.3,280.2,110.4,239.4,161.0,382.2,190.8,208.2,177.4,11.9,218.1,153.1,309.3,2620.3,191.9,358.3
