from_stop,AA,AU,BA,BD,BI,BQ,BT,CJ,CQ,CZ,DE,DJ,DP,DT,DY,EI,EK,EP,EQ,EU,EV,FJ,FL,FM,FO,FU,GC,GD,GW,GZ,HG,HV,HZ,IC,IJ,IX,JH,JR,JW,KG,KN,KP,KU,LJ,LN,ME,MI,ML,MP,MQ,MW,NJ,NV,OF,PJ,PL,PU,QU,QZ,RD,RI,SP,SQ,TG,TT,TU,TX,UA,WC,WF,WN,WX,YH,YL,YU,ZF,ZM,ZO,ZU
AA,0.0,441.7,309.0,260.5,278.8,452.4,292.1,486.5,258.6,366.2,112.0,441.2,382.2,462.0,408.8,358.2,418.4,420.8,129.9,247.6,417.8,368.0,287.7,404.4,354.7,297.7,149.4,475.1,242.5,345.7,160.0,196.8,440.3,336.8,273.2,318.8,124.4,307.8,280.1,305.2,57.1,407.8,206.7,133.1,449.7,42.2,394.1,143.9,186.0,380.2,128.7,416.7,353.9,379.7,421.8,386.4,337.4,300.5,468.2,400.7,161.2,357.2,1249.5,305.0,249.5,402.5,313.9,292.2,115.3,444.7,478.2,452.6,236.7,406.9,336.6,103.6,396.5,86.4,202.6
AU,361.3,0.0,401.3,299.0,376.0,225.9,473.4,132.9,426.9,290.2,321.4,64.0,162.4,90.4,147.0,97.5,168.0,134.5,298.2,418.2,336.9,289.4,384.9,328.4,439.0,464.6,335.7,103.5,410.8,440.3,348.6,367.4,250.3,418.3,449.6,416.0,312.0,400.1,449.6,469.8,419.6,329.2,377.3,321.7,163.4,416.3,185.9,332.5,368.6,96.2,315.0,34.6,100.3,472.0,0.0,105.0,256.5,392.8,226.0,193.4,361.5,449.5,1442.3,471.9,416.4,194.3,400.9,456.8,289.1,257.0,106.6,209.4,280.1,145.1,433.8,328.5,320.5,344.8,369.5
BA,183.9,426.2,0.0,174.3,82.5,432.0,119.4,466.1,77.5,345.8,193.9,420.8,368.6,441.6,388.4,337.8,398.0,400.4,141.1,80.6,397.4,346.1,71.4,384.0,70.8,112.4,113.3,454.7,112.0,57.1,125.4,173.2,419.9,37.4,187.5,12.2,181.9,19.2,94.8,106.8,294.4,387.4,86.5,212.2,433.1,282.8,373.7,106.6,149.0,359.8,207.8,396.4,333.5,91.1,401.4,366.0,317.0,80.8,441.6,380.3,186.4,69.7,1271.7,111.7,71.2,382.1,91.7,106.9,181.9,424.3,457.8,432.2,180.4,393.6,95.3,203.3,372.4,219.6,126.0
BD,208.2,328.0,177.1,0.0,146.9,336.1,230.2,370.2,234.2,249.9,151.0,325.7,272.7,345.7,292.5,241.9,302.1,304.5,147.4,235.2,301.5,250.2,155.8,288.1,225.3,237.8,117.4,358.8,260.0,213.8,156.4,214.3,324.0,194.1,211.3,186.9,139.0,209.5,233.5,258.6,256.6,291.5,224.2,168.6,333.4,239.9,277.8,111.9,145.5,263.9,164.2,300.4,237.6,247.8,305.5,270.1,221.1,168.6,351.9,284.4,216.6,225.3,1291.5,258.4,202.9,286.2,187.7,243.7,138.3,328.4,361.9,336.3,14.2,297.7,204.7,160.4,280.2,176.7,156.0
BI,153.7,393.7,62.5,144.1,0.0,401.8,138.0,435.9,113.6,315.6,163.7,390.6,338.4,411.4,358.2,307.6,367.8,370.2,110.9,102.6,367.2,315.9,23.2,353.8,112.9,131.0,83.1,424.5,144.3,99.2,95.2,177.8,389.7,79.5,179.1,72.3,151.7,61.3,113.4,138.5,264.2,357.2,108.5,182.0,402.9,252.6,343.5,76.4,91.3,329.6,177.6,366.2,303.3,133.2,371.2,335.8,286.8,54.0,411.4,350.1,156.2,111.8,1255.0,138.3,82.8,351.9,67.4,125.5,151.7,394.1,427.6,402.0,150.2,363.4,90.1,173.1,342.2,189.4,64.3
BQ,394.7,225.5,437.0,334.7,406.8,0.0,504.2,239.2,462.6,321.0,354.8,182.4,96.4,214.7,161.6,111.0,74.8,105.9,333.9,451.6,372.6,321.3,415.7,359.2,469.3,498.0,372.3,227.8,446.5,473.7,382.0,400.8,42.1,454.0,485.3,446.8,342.8,435.8,480.4,505.5,455.3,362.6,410.7,355.1,163.3,443.7,83.5,365.6,404.3,133.0,350.7,198.0,130.0,507.7,156.6,139.2,292.2,428.5,59.6,74.3,397.2,486.3,1463.3,505.3,449.8,91.9,441.9,492.5,324.8,46.5,230.9,87.5,310.9,166.8,464.6,364.2,347.6,380.5,402.9
BT,226.9,465.2,120.9,202.5,142.3,475.9,0.0,510.0,140.5,389.7,261.7,464.7,412.5,485.5,432.3,381.7,441.9,444.3,184.1,151.5,441.3,390.0,165.6,427.9,133.8,7.5,219.1,498.6,107.5,89.4,168.4,227.1,463.8,108.7,137.8,133.2,249.7,137.3,50.1,29.8,362.2,431.3,143.3,280.0,477.0,350.6,417.6,212.4,118.3,403.7,275.6,440.3,377.4,86.2,445.3,409.9,360.9,129.6,485.5,424.2,229.4,101.7,1325.6,71.2,83.0,426.0,112.8,13.5,194.3,468.2,501.7,476.1,216.8,437.5,107.1,271.1,416.3,287.4,116.6
CJ,362.0,23.4,404.3,302.0,374.1,226.6,471.5,0.0,429.9,288.3,322.1,62.7,165.4,111.4,150.0,100.5,171.0,137.5,301.2,418.9,339.9,288.6,383.0,326.5,433.7,465.3,338.7,124.5,413.8,441.0,349.3,368.8,253.3,421.3,452.6,414.1,310.1,403.1,447.7,472.8,422.6,329.9,378.0,322.4,166.4,411.0,188.9,333.2,371.6,96.9,318.0,55.6,103.3,475.0,123.9,103.1,259.5,395.8,229.0,191.5,364.5,452.5,1445.3,472.6,417.1,197.3,409.2,459.8,292.1,257.7,127.6,212.4,278.2,148.1,431.9,331.5,318.6,347.8,370.2
CQ,221.9,464.2,78.9,212.3,102.5,470.0,129.5,504.1,0.0,383.8,231.9,458.8,406.6,479.6,426.4,375.8,436.0,438.4,179.1,11.0,435.4,384.1,84.0,422.0,6.7,122.5,151.3,492.7,84.7,51.4,163.4,135.6,457.9,31.7,266.5,68.7,219.9,24.6,140.9,101.1,332.4,425.4,48.9,250.2,471.1,320.8,411.7,144.6,187.0,397.8,245.8,434.4,371.5,85.4,439.4,404.0,355.0,119.3,479.6,418.3,224.4,64.0,1234.1,106.0,150.2,420.1,132.7,117.0,219.9,462.3,495.8,470.2,218.4,431.6,134.0,241.3,410.4,257.6,166.9
CZ,281.0,310.1,323.3,221.0,293.1,320.8,390.5,354.9,348.9,0.0,241.1,309.6,257.4,330.4,277.2,226.6,286.8,289.2,220.2,337.9,70.8,104.1,302.0,57.4,352.7,384.3,258.6,343.5,332.8,360.0,268.3,287.1,308.7,340.3,371.6,333.1,229.1,355.7,366.7,391.8,341.6,60.8,297.0,241.4,318.1,330.0,262.5,252.2,290.6,248.6,237.0,285.1,222.3,394.0,290.2,254.8,73.5,314.8,336.6,269.1,283.5,371.5,1364.3,391.6,336.1,272.1,328.2,378.8,211.1,313.1,346.6,321.0,197.2,303.6,350.9,250.5,49.5,266.8,289.2
