from_stop,AE,AH,AJ,AK,AT,AZ,BK,BO,BX,CF,CG,CM,CO,CW,CY,DC,DD,DM,DP,DS,DV,DX,DZ,EG,EJ,EK,ER,EW,EX,EY,FB,FK,FS,FZ,GA,GC,GF,GK,GL,HC,HL,HT,HU,HZ,IC,IF,IN,JA,JE,JO,JV,JX,KJ,KK,KL,KR,KU,LA,LD,LG,LL,LM,LN,LX,MD,MI,MR,MS,MU,MY,NF,NH,NN,NP,NQ,NR,NX,OI,OQ,OS,OU,OX,PP,PS,QE,QM,QQ,QS,RB,RG,RN,RQ,RV,SQ,TM,TT,TZ,UG,UH,UJ,UM,UV,VJ,VK,VU,WB,WD,WG,WR,WT,WY,XC,XJ,YO,ZB,ZC,ZH,ZV
AE,0.0,101.8,255.1,237.9,250.5,144.0,338.9,222.3,366.2,397.6,373.9,299.0,336.7,200.3,387.6,361.6,398.5,241.6,48.8,129.6,216.6,350.0,231.6,275.6,578.5,181.6,236.2,246.8,472.3,338.7,190.5,166.3,295.0,117.9,162.1,274.1,324.5,151.6,171.6,369.5,139.6,318.9,247.3,555.6,131.9,250.2,385.4,230.7,363.6,91.9,214.5,238.0,486.5,272.0,456.1,456.8,501.0,141.4,307.9,150.0,360.3,196.8,407.6,340.6,146.8,260.9,270.2,293.7,300.4,174.9,382.8,220.9,165.0,234.0,382.4,2294.7,144.0,286.6,117.7,132.6,237.2,168.1,357.2,253.3,117.9,177.4,269.1,356.9,210.6,360.3,228.4,179.7,236.7,434.1,253.5,223.2,148.3,540.8,177.6,244.9,164.6,467.6,131.4,564.2,463.6,371.7,377.8,69.6,277.3,157.7,190.6,146.1,121.4,279.2,486.7,594.5,216.0,488.0
AH,128.0,0.0,178.2,158.5,171.1,64.6,254.1,142.9,310.5,341.3,272.0,197.1,259.4,123.8,295.8,259.7,294.5,162.3,131.1,50.2,137.3,265.2,152.2,171.6,476.6,79.7,156.8,162.0,385.4,259.3,111.1,146.6,219.2,56.5,82.7,195.5,245.0,116.8,69.7,267.6,59.0,251.0,173.6,453.7,52.5,146.2,300.6,152.4,278.8,12.5,135.1,158.6,384.6,192.6,369.2,369.9,399.1,62.0,235.6,70.6,275.5,117.4,322.8,237.6,67.4,176.9,195.8,206.1,221.0,88.0,280.9,141.5,137.7,154.6,282.5,2215.3,59.2,207.2,38.3,53.2,157.8,89.9,272.4,173.9,33.1,93.2,189.7,255.0,108.7,258.4,149.0,100.3,157.3,349.3,180.0,143.8,46.4,456.0,74.8,143.0,85.2,380.7,104.1,462.3,361.7,269.8,293.0,151.9,206.1,72.9,105.8,120.9,41.9,206.9,384.8,509.7,136.6,384.0
AJ,146.0,236.8,0.0,248.4,40.3,192.4,444.5,178.1,397.2,428.7,437.9,353.9,449.8,216.0,465.9,447.8,459.9,107.7,192.7,158.6,326.7,455.6,39.1,332.8,646.3,292.6,25.7,352.4,577.9,210.2,147.1,202.8,237.0,264.0,208.3,385.9,373.4,134.8,282.6,433.4,153.2,347.4,185.3,640.5,233.7,307.4,491.0,342.8,469.2,209.8,146.5,248.5,572.7,227.7,561.7,560.2,587.2,240.7,430.3,195.9,465.9,245.2,513.2,425.7,195.2,367.3,380.3,396.8,193.3,285.3,404.9,97.4,193.8,105.7,452.6,2151.5,254.1,229.3,174.0,181.0,163.9,128.2,462.8,124.7,228.0,288.1,227.3,379.0,321.6,428.5,112.3,169.8,100.2,539.7,170.3,155.2,259.3,649.3,287.7,343.4,154.7,571.0,162.4,623.6,527.5,439.9,483.4,215.7,388.5,267.8,298.5,177.1,169.8,389.3,545.2,660.6,174.5,574.2
AK,202.5,150.7,159.6,0.0,199.7,95.6,245.9,126.8,392.2,422.9,370.0,251.4,243.7,171.0,280.3,357.7,340.0,146.1,251.4,126.3,208.6,257.0,198.8,185.1,464.4,230.5,185.4,153.8,379.3,159.5,187.2,253.8,94.1,184.8,77.5,181.1,248.6,191.3,220.5,311.0,136.3,333.1,139.5,441.5,174.6,208.8,292.4,137.7,270.6,138.1,203.0,91.1,372.5,71.1,363.1,363.8,485.3,165.6,273.5,127.3,267.3,39.3,314.6,336.7,92.8,167.9,251.6,200.7,161.8,166.9,360.9,125.4,252.5,161.9,275.1,2245.0,139.1,85.7,114.4,107.4,159.7,185.4,264.2,181.2,165.1,199.2,68.2,335.0,216.5,253.4,110.5,176.4,141.2,341.1,176.0,211.7,197.2,447.8,226.5,184.2,161.3,374.6,218.9,493.9,405.1,277.0,284.8,272.2,258.7,179.5,182.6,233.6,118.1,260.6,436.6,501.5,120.5,401.8
AT,105.9,196.7,176.0,208.3,0.0,152.3,404.4,140.7,357.1,388.6,397.8,313.8,409.7,173.6,417.7,407.7,422.3,67.6,154.8,121.0,286.6,415.5,92.9,295.2,606.2,252.5,97.5,312.3,537.8,217.7,107.0,162.7,216.4,223.9,170.4,345.8,335.8,94.7,242.5,393.3,112.1,309.8,144.9,600.4,193.6,269.8,450.9,296.2,429.1,169.7,106.4,208.4,532.6,190.1,521.6,522.3,547.1,203.1,390.2,158.3,425.8,205.1,473.1,385.0,155.1,326.4,340.2,356.4,218.8,244.9,364.8,57.3,155.9,65.3,412.5,2125.6,214.0,204.7,133.9,140.9,155.6,88.8,422.7,84.6,187.9,248.0,187.2,338.9,281.5,388.4,72.2,129.7,62.6,499.6,177.8,115.1,219.2,611.4,248.5,303.3,114.6,533.1,122.3,583.5,487.4,399.8,443.3,175.6,347.3,227.7,260.6,137.0,129.6,349.2,505.1,620.5,134.4,534.1
AZ,108.4,55.0,136.7,119.5,151.5,0.0,252.0,103.9,359.6,391.0,327.1,252.2,249.8,81.9,286.4,314.8,351.7,142.6,157.3,30.6,192.4,263.1,132.6,228.8,470.5,134.8,137.2,159.9,385.4,216.3,91.5,159.7,150.9,89.1,18.0,187.2,254.7,97.2,124.8,322.7,40.6,312.3,139.0,447.6,66.3,203.4,298.5,143.8,276.7,42.4,115.5,119.6,378.6,127.9,369.2,369.9,454.2,75.8,290.7,31.6,273.4,52.7,320.7,293.8,2.8,174.0,253.0,206.8,182.0,145.2,336.0,121.9,158.4,135.0,281.2,2195.7,114.3,142.5,18.7,11.7,118.8,69.1,270.3,154.3,88.2,147.7,125.0,310.1,163.8,259.5,110.0,80.7,137.7,347.2,135.1,124.2,101.5,453.9,130.8,198.1,65.6,380.7,124.8,517.4,416.8,283.1,290.9,178.1,260.1,128.0,160.9,139.5,22.4,262.0,439.9,507.6,97.6,407.9
BK,380.0,279.2,406.2,355.6,423.1,271.5,0.0,373.4,171.3,202.0,149.1,122.2,40.8,353.5,59.4,136.8,119.1,392.7,340.5,302.2,174.7,54.1,404.2,115.4,261.5,208.5,408.8,153.0,176.4,406.1,363.1,336.6,340.7,335.8,253.4,75.4,96.1,343.0,218.5,90.1,312.2,112.2,386.1,238.6,290.7,139.1,46.4,130.3,24.6,291.8,387.1,337.7,169.6,317.7,117.1,131.7,276.2,281.7,79.7,303.2,64.4,242.5,111.7,115.8,268.7,167.1,118.4,54.9,408.4,218.6,140.0,372.0,281.8,408.5,54.2,2047.2,206.6,332.3,290.3,283.3,390.4,340.7,18.2,427.8,232.6,266.7,314.8,114.1,191.2,32.5,357.1,352.3,387.8,138.2,406.7,395.8,241.6,244.9,238.6,158.9,337.2,171.7,315.6,301.9,184.2,56.1,38.8,361.3,111.3,247.0,202.9,300.5,294.0,134.6,261.9,298.6,367.1,196.7
BO,178.8,158.2,32.9,158.2,72.8,127.1,379.2,0.0,430.0,461.4,429.2,354.3,384.5,125.8,413.6,416.9,453.8,113.7,227.7,110.8,294.5,390.3,71.9,330.9,597.7,236.9,58.5,287.1,512.6,227.1,171.7,230.1,186.9,191.2,145.2,320.6,381.9,167.6,226.9,424.8,119.6,382.7,94.8,574.8,168.4,305.5,425.7,271.0,403.9,144.5,179.3,158.3,505.8,160.1,496.4,497.1,556.3,177.9,392.8,133.1,400.6,179.9,447.9,395.9,129.9,301.2,355.1,331.2,188.8,247.3,437.7,130.2,228.8,138.2,408.4,2184.3,216.4,174.7,108.7,115.7,125.6,161.7,397.5,157.5,190.3,250.4,157.2,411.8,265.9,386.7,78.1,160.9,108.8,474.4,141.9,188.0,203.6,581.1,222.2,300.2,145.8,507.9,195.2,619.5,518.9,410.3,418.1,248.5,362.2,230.1,263.0,209.9,104.4,364.1,542.0,634.8,104.4,543.3
BX,309.2,287.6,463.4,446.2,439.2,352.3,184.3,430.6,0.0,30.6,40.6,168.4,220.3,408.6,145.8,77.5,100.0,373.0,358.1,337.9,249.3,202.6,420.3,259.3,287.2,216.9,424.9,292.3,272.8,545.4,325.7,277.3,480.0,344.2,370.4,214.7,198.5,283.7,226.9,95.3,347.9,81.1,425.1,264.3,340.2,235.5,225.2,269.6,209.0,300.2,392.3,446.3,202.4,457.0,208.3,222.9,216.9,349.7,154.3,358.3,188.8,381.8,195.3,65.1,355.1,306.4,193.0,194.2,508.7,293.2,35.9,409.6,222.1,351.2,152.0,2094.7,320.8,471.6,326.0,340.9,445.5,327.5,202.6,370.5,294.7,354.2,454.1,61.7,241.0,152.5,397.7,368.4,368.1,221.8,461.8,401.0,250.0,315.0,247.0,275.3,353.3,237.3,263.9,280.1,165.1,139.3,231.9,378.9,185.9,334.5,277.5,241.2,329.7,229.9,147.7,368.7,424.3,193.9
CF,330.6,326.2,506.6,486.9,460.7,393.0,236.8,471.4,40.6,0.0,81.3,209.1,179.6,452.2,172.4,95.0,115.5,394.5,379.6,378.6,290.0,171.9,441.7,292.7,233.4,257.6,446.3,325.7,229.7,578.8,347.1,304.2,517.0,384.9,426.0,241.2,250.5,305.1,267.6,136.0,387.4,121.8,452.3,210.5,380.9,276.2,194.5,296.3,246.7,340.9,413.7,487.0,158.4,490.4,177.6,192.2,187.3,390.5,195.0,399.1,158.1,415.2,164.6,106.8,395.8,340.6,233.7,230.4,549.4,333.9,76.6,431.0,243.5,372.7,188.2,2052.1,361.5,505.0,366.7,381.6,486.2,348.2,240.3,391.9,335.4,395.5,487.5,102.4,281.7,193.2,419.1,389.8,389.5,191.1,508.4,422.4,290.7,270.9,286.8,316.0,374.7,193.3,285.4,239.6,121.9,180.0,201.2,400.3,225.5,375.2,318.3,262.6,370.4,270.6,117.0,324.7,465.0,140.0
