from_stop,AE,AK,AY,BA,BF,BL,CD,CU,DB,DD,DG,DI,DJ,DS,DX,DZ,EF,EJ,EN,EO,EY,FB,FE,FL,FV,GL,GO,GZ,HB,HP,HV,IB,IU,JE,JO,KD,KM,KN,KO,KQ,LD,LI,LK,MI,MK,MO,MP,MR,MV,MY,NC,ND,NH,NI,NY,OD,OM,OQ,OT,OU,PF,PG,PH,PY,QI,QU,QZ,RU,RX,SZ,TI,TS,UB,US,UW,VF,VO,WA,WB,WC,WH,WT,WW,WY,XH,YD,YI,YJ,YW,ZC,ZV,ZY
AE,0.0,786.0,588.7,103.5,96.6,284.3,159.6,298.5,232.3,595.8,271.2,333.2,152.0,232.4,184.3,184.3,443.3,400.1,601.9,343.5,65.6,235.1,499.9,627.1,204.9,607.2,312.9,457.2,278.0,131.0,184.8,455.1,113.1,199.0,445.5,214.3,301.0,91.9,61.7,47.3,381.2,995.0,545.2,680.3,464.6,541.6,604.4,207.7,640.8,137.4,489.0,472.3,405.8,370.1,565.9,161.3,447.4,466.2,684.6,260.8,363.8,718.5,158.5,660.1,496.3,156.6,333.2,2748.0,663.4,341.8,629.9,386.3,88.5,550.6,302.6,284.9,303.0,160.8,420.3,280.6,285.6,279.1,302.6,127.7,135.7,262.7,711.0,205.7,689.9,312.8,359.5,488.7
AK,700.8,0.0,197.2,716.4,709.5,922.3,559.5,936.5,742.2,987.4,623.6,971.2,614.4,563.5,672.5,597.1,795.7,778.1,979.9,695.9,678.5,613.1,497.1,1005.1,557.3,985.2,950.9,1095.2,916.0,652.6,694.7,833.1,726.0,607.4,442.7,513.8,939.0,631.8,715.6,701.2,1019.2,684.7,1051.6,1058.3,1102.6,919.6,982.4,520.8,1018.8,683.9,867.0,850.3,380.1,748.1,943.9,604.7,876.1,844.2,1062.6,464.8,432.1,1096.5,658.3,1038.1,874.3,731.9,971.2,3401.9,1041.4,719.8,1007.9,475.1,722.8,928.6,655.0,511.0,681.0,720.7,926.7,893.5,663.6,694.9,940.6,693.6,724.1,615.1,249.4,664.3,1067.9,690.8,954.6,297.2
AY,526.6,197.2,0.0,519.1,512.2,725.0,362.2,739.2,544.9,790.1,426.3,773.9,417.1,366.2,475.2,399.8,598.4,580.8,782.6,498.6,481.2,416.9,299.8,807.8,360.0,787.9,753.6,897.9,718.7,465.3,497.4,635.8,528.7,410.1,245.4,316.5,741.7,434.5,518.3,503.9,821.9,882.0,854.3,861.0,905.3,722.3,785.1,323.5,821.5,486.6,669.7,653.0,182.8,550.8,746.6,407.4,678.8,646.9,865.3,267.5,234.8,899.2,461.0,840.8,677.0,534.6,773.9,3204.6,844.1,522.5,810.6,277.8,525.5,731.3,457.7,313.7,483.7,497.6,729.4,696.2,466.3,497.6,743.3,496.3,526.8,417.8,125.5,467.0,870.6,493.5,757.3,99.9
BA,98.1,678.9,481.6,0.0,7.4,315.4,129.7,329.6,263.4,626.9,241.3,364.3,122.1,263.5,88.8,154.4,413.4,431.2,633.0,287.6,32.4,267.3,531.0,658.2,175.0,638.3,344.0,488.3,309.1,111.1,215.9,486.2,49.3,230.1,476.6,184.4,332.1,62.0,92.8,78.4,412.3,891.4,576.3,711.4,495.7,572.7,635.5,177.8,671.9,168.5,520.1,503.4,436.9,401.2,597.0,131.4,478.5,497.3,715.7,230.9,394.9,749.6,189.6,691.2,520.7,61.1,364.3,2779.1,694.5,372.9,661.0,417.4,119.6,581.7,272.7,316.0,334.1,66.4,451.4,250.1,316.7,252.4,333.7,158.8,40.2,232.8,607.2,110.2,721.0,343.9,390.6,381.6
BF,90.6,671.4,474.1,6.8,0.0,307.9,122.2,322.1,255.9,619.4,233.8,356.8,114.6,256.0,81.3,146.9,405.9,423.7,625.5,280.1,24.9,259.8,523.5,650.7,167.5,630.8,336.5,480.8,301.6,103.6,208.4,478.7,41.8,222.6,469.1,176.9,324.6,54.5,85.3,70.9,404.8,898.3,568.8,703.9,488.2,565.2,628.0,170.3,664.4,161.0,512.6,495.9,429.4,393.7,589.5,123.9,471.0,489.8,708.2,223.4,387.4,742.1,182.1,683.7,513.2,53.6,356.8,2771.6,687.0,365.4,653.5,409.9,112.1,574.2,265.2,308.5,326.6,58.9,443.9,242.6,309.2,244.9,326.2,151.3,32.7,225.3,599.7,102.7,713.5,336.4,383.1,374.1
BL,358.4,929.3,732.0,350.9,344.0,0.0,407.0,35.4,415.5,311.4,518.6,88.1,399.4,375.7,431.7,431.7,690.7,313.2,336.8,590.9,313.0,424.8,643.2,362.0,452.3,342.1,28.5,186.6,36.2,388.4,368.0,237.8,360.5,342.3,588.8,461.7,16.6,339.3,296.7,262.4,157.9,1242.4,260.8,415.2,194.0,276.5,339.3,455.1,375.7,392.4,241.9,188.7,549.1,290.9,300.8,408.7,163.0,201.1,419.5,508.2,507.1,453.4,301.8,395.0,597.8,404.0,48.8,2639.0,398.3,443.3,364.8,529.6,343.5,455.5,550.0,428.2,507.9,409.3,135.9,311.9,387.1,529.7,40.8,382.7,383.1,510.1,857.6,453.1,424.8,414.3,75.1,632.0
CD,164.3,549.1,351.8,156.8,149.9,378.6,0.0,392.8,326.6,690.1,111.5,427.5,54.8,326.7,130.3,37.5,283.6,494.4,696.2,183.8,118.9,330.5,429.0,721.4,45.2,701.5,407.2,551.5,372.3,103.0,279.1,549.4,166.4,293.3,374.6,54.6,395.3,72.2,156.0,141.6,475.5,1110.4,639.5,774.6,558.9,635.9,698.7,48.0,735.1,124.3,583.3,566.6,312.0,464.4,660.2,45.1,541.7,560.5,778.9,101.1,364.0,812.8,252.8,754.4,590.6,175.5,427.5,2842.3,757.7,436.1,724.2,407.0,163.2,644.9,142.9,379.2,397.3,138.5,514.6,333.9,379.9,135.3,396.9,134.0,167.7,103.0,477.4,104.7,784.2,407.1,453.8,251.8
CU,332.2,947.2,737.6,368.8,361.9,25.4,424.9,0.0,433.4,330.3,536.5,84.3,417.3,393.6,449.6,449.6,696.3,332.1,355.7,608.8,330.9,432.5,648.8,368.6,457.9,361.0,35.1,193.2,61.7,384.0,385.9,256.7,378.4,360.2,594.4,467.3,35.5,344.9,302.3,268.0,144.6,1248.0,267.4,434.1,200.6,283.1,345.9,473.0,394.6,414.8,248.5,195.3,554.7,297.5,307.4,426.6,169.6,220.0,426.1,513.8,512.7,472.3,307.4,401.6,616.7,409.6,67.7,2664.5,417.2,449.9,371.4,547.5,361.4,474.4,555.6,433.8,514.5,426.1,154.8,329.8,393.7,547.6,48.3,400.6,401.0,528.0,872.2,458.7,443.7,433.2,81.7,649.9
DB,237.4,693.3,496.0,274.0,267.1,370.6,330.1,384.8,0.0,516.7,441.7,419.5,322.5,139.7,354.8,354.8,613.8,307.4,509.2,514.0,236.1,142.4,407.2,534.4,375.4,514.5,399.2,543.5,364.3,301.5,32.8,362.4,283.6,106.3,352.8,384.8,387.3,262.4,219.8,185.5,467.5,1165.5,580.9,587.6,550.9,448.9,511.7,378.2,548.1,315.5,396.3,379.6,313.1,277.4,473.2,331.8,405.4,373.5,591.9,510.9,271.1,625.8,134.1,567.4,403.6,327.1,419.5,2906.1,570.7,249.1,537.2,293.6,266.6,457.9,473.1,192.2,210.3,331.3,456.0,313.6,192.9,452.8,388.9,305.8,306.2,433.2,618.3,376.2,597.2,220.1,445.8,396.0
DD,581.0,971.3,774.0,617.6,610.7,266.6,673.7,275.5,529.5,0.0,785.3,300.7,666.1,417.7,698.4,698.4,957.4,245.4,269.0,857.6,579.7,358.1,685.2,294.2,719.0,274.3,238.0,332.6,302.9,645.1,482.0,170.0,627.2,394.7,630.8,728.4,249.9,606.0,563.4,529.1,370.5,1509.1,287.8,347.4,340.0,208.7,271.5,721.8,307.9,659.1,174.1,120.9,591.1,223.1,233.0,675.4,112.3,133.3,351.7,788.9,549.1,385.6,445.6,327.2,530.0,670.7,217.4,2905.7,330.5,375.5,297.0,571.6,610.2,387.7,816.7,470.2,440.1,674.9,162.9,578.6,319.3,796.4,307.5,649.4,649.8,776.8,896.3,719.8,357.0,346.5,190.8,674.0
