from_stop,AC,AI,AL,AR,AU,AW,BD,BI,BJ,BZ,CD,CH,CO,CV,DG,DI,DJ,DK,DL,DN,DP,DT,DZ,EF,EG,EH,EI,ET,EV,EW,EX,FB,FF,FG,FI,FJ,FO,FZ,GB,GT,GU,HG,HO,HU,HZ,IN,IO,IP,JF,JI,JJ,JK,JQ,JS,KG,KK,KL,KM,KU,KV,LM,LO,LS,LV,MH,MJ,MK,MP,MW,NC,NG,NP,NX,OE,OQ,OR,OX,PH,PJ,PN,PO,PR,QG,QK,QO,QZ,RU,RX,SJ,SQ,SW,TD,TI,UB,UH,UU,UX,VF,VG,VH,VT,VX,WA,WI,WW,XB,XD,XN,XW,XZ,YB,YH,YI,YJ,YN,YO,YT,YZ,ZE,ZO,ZU,ZY
AC,0.0,331.9,479.1,585.4,161.6,66.7,469.7,419.8,137.8,414.4,333.0,402.6,175.9,480.1,335.7,405.2,504.5,226.5,394.8,434.6,92.4,119.8,433.1,301.2,400.4,328.0,435.0,353.7,490.3,317.9,177.4,375.2,169.0,296.4,369.6,334.7,304.8,257.0,522.9,268.0,298.1,1787.8,612.7,399.0,505.3,316.8,233.7,567.2,371.2,323.2,302.1,92.2,265.1,254.4,245.8,512.3,450.3,322.1,315.7,210.3,240.6,334.5,44.2,238.4,293.1,35.1,245.6,488.2,286.4,244.5,538.8,193.4,383.6,224.8,293.7,294.5,230.5,585.2,546.0,336.6,396.5,200.6,531.4,401.8,525.4,119.1,218.3,358.1,252.2,367.6,338.1,512.9,130.1,343.5,12.9,232.5,263.3,216.0,363.4,284.9,522.4,336.8,271.2,275.0,265.1,146.8,237.8,186.7,299.6,466.1,252.9,82.9,543.5,223.3,458.5,254.0,77.2,130.6,251.5,470.2,190.3,326.9
AI,340.5,0.0,146.6,258.7,246.3,272.4,137.7,488.8,244.0,82.4,401.8,476.1,246.2,112.4,29.9,73.4,218.8,263.4,460.6,112.9,302.9,230.6,472.8,39.3,68.4,288.5,460.4,424.0,206.9,411.5,218.6,480.1,253.7,366.7,37.6,336.9,271.8,327.3,288.4,338.3,368.4,1910.7,340.7,67.2,193.2,118.6,327.3,294.3,384.7,9.4,372.4,311.2,255.5,120.5,212.1,414.5,463.1,360.6,386.0,280.0,310.9,404.8,316.0,308.7,363.4,356.7,315.9,202.5,356.7,314.8,254.6,148.3,452.6,141.3,387.3,124.1,300.8,273.3,248.1,98.3,451.5,270.9,188.6,472.1,216.7,237.8,288.6,526.1,87.3,397.0,408.4,170.1,247.1,11.5,337.0,302.8,76.7,205.6,436.5,355.2,156.1,398.8,341.5,345.3,231.4,236.4,131.9,125.6,369.9,198.4,323.2,295.3,196.7,290.8,167.1,324.3,296.2,265.9,321.8,118.8,260.6,108.0
AL,443.0,192.7,0.0,155.9,401.2,399.9,152.1,625.8,401.5,85.7,599.3,673.6,443.7,103.1,168.7,133.7,120.0,491.6,658.1,59.5,451.3,354.7,667.1,236.7,138.0,448.7,657.9,621.5,123.8,609.0,378.8,600.5,393.8,561.5,138.2,513.5,432.0,524.8,185.6,535.8,563.2,1914.2,205.1,127.5,136.1,163.3,498.6,162.6,574.6,199.5,569.9,438.7,415.7,222.2,363.4,588.5,660.6,531.9,583.5,477.5,505.7,599.6,398.5,506.2,560.9,459.2,513.4,107.6,554.2,512.3,159.7,247.3,587.0,243.0,584.8,178.9,498.3,170.5,149.3,143.0,599.9,468.4,89.8,669.6,113.9,386.9,488.7,686.3,250.1,571.0,608.5,71.3,409.8,178.0,439.5,500.3,236.9,365.8,628.5,552.7,39.3,601.9,539.0,542.8,338.2,396.6,233.6,288.4,567.4,99.6,520.7,372.7,97.9,488.3,43.2,519.1,421.0,361.3,519.3,95.1,458.1,152.7
AR,601.2,274.1,160.3,0.0,520.6,521.8,200.4,763.0,558.0,178.2,676.0,797.0,520.4,208.8,247.0,216.6,129.7,571.0,781.5,222.5,587.9,476.6,831.5,313.5,234.5,562.7,765.0,698.2,188.2,685.7,492.8,743.0,513.2,640.9,242.2,611.1,546.0,601.5,122.4,612.5,642.6,1888.1,97.4,222.8,203.2,305.5,601.5,85.6,658.9,283.6,646.6,601.1,529.7,344.1,486.3,688.7,821.8,632.6,660.2,554.2,585.1,679.0,533.4,582.9,637.6,594.1,590.1,52.2,630.9,589.0,68.9,414.6,726.8,364.9,661.5,301.6,575.0,70.1,75.2,285.2,725.7,545.1,144.7,746.3,40.3,508.9,562.8,818.2,361.5,671.2,682.6,140.6,553.2,259.4,574.4,577.0,350.5,479.8,707.9,629.4,149.8,673.0,615.7,619.5,474.4,510.6,355.5,399.8,644.1,121.1,597.4,536.8,138.0,565.0,179.7,598.5,616.6,480.7,596.0,218.5,534.8,294.9
AU,169.8,260.3,409.6,519.1,0.0,116.3,398.1,346.9,120.1,342.8,259.9,334.2,104.3,369.5,287.4,333.8,479.2,154.9,318.7,314.3,167.7,66.0,330.9,229.6,328.8,292.6,318.5,282.1,467.3,269.6,94.7,326.9,7.4,224.8,298.0,195.0,233.2,185.4,480.7,196.4,226.5,1786.8,601.1,327.6,453.6,222.0,185.4,508.4,242.8,251.6,230.5,155.1,193.5,159.6,174.2,272.6,321.2,216.5,244.1,138.1,169.0,262.9,133.5,166.8,221.5,141.3,174.0,462.9,214.8,172.9,503.3,121.9,310.7,130.0,245.4,199.7,158.9,533.7,508.5,241.8,309.6,129.0,445.0,330.2,477.1,47.5,146.7,355.4,180.6,255.1,266.5,426.5,123.1,271.9,121.6,160.9,190.2,167.7,291.8,213.3,416.5,256.9,199.6,203.4,193.5,112.5,143.0,138.4,228.0,430.6,181.3,124.8,501.9,148.9,368.5,182.4,140.1,68.7,179.9,333.3,118.7,232.1
AW,76.7,265.1,411.8,554.6,94.8,0.0,402.9,351.7,107.6,347.6,264.7,339.0,109.1,366.7,295.1,338.4,484.0,126.3,323.5,342.3,51.3,49.1,335.7,234.4,333.6,284.5,323.3,286.9,454.5,274.4,150.1,343.0,102.2,229.6,302.8,199.8,238.0,190.2,508.7,201.2,234.9,1765.3,605.2,332.2,455.0,250.0,190.2,536.4,247.6,256.4,235.3,38.7,198.3,187.6,179.0,277.4,326.0,223.5,248.9,142.9,173.8,267.7,121.0,171.6,226.3,98.6,178.8,467.7,219.6,177.7,531.3,149.9,315.5,158.0,250.2,245.1,163.7,571.0,538.5,269.8,314.4,133.8,473.0,335.0,481.9,52.3,151.5,380.7,185.4,259.9,271.3,454.5,102.6,276.7,89.7,165.7,195.0,172.5,299.4,218.1,460.4,261.7,204.4,208.2,198.3,119.5,171.0,143.2,232.8,458.6,186.1,93.2,481.1,153.7,396.5,187.2,23.7,63.8,184.7,361.3,123.5,260.1
BD,466.6,135.5,113.0,267.6,383.6,413.1,0.0,624.4,379.6,39.6,537.4,611.7,381.8,52.2,108.4,108.1,179.9,432.4,596.2,109.0,464.5,362.8,608.4,174.9,95.9,424.1,596.0,559.6,101.1,547.1,354.2,604.4,391.0,502.3,133.7,472.5,407.4,462.9,249.5,473.9,504.0,1984.7,260.3,114.3,87.4,178.3,462.9,195.4,520.3,145.0,508.0,451.9,391.1,235.4,347.7,209.5,598.7,496.2,521.6,416.2,446.5,540.4,459.4,444.3,499.0,520.1,451.5,163.6,492.3,450.4,230.9,263.2,588.2,256.2,522.9,192.9,436.4,295.9,238.1,158.0,587.1,406.5,146.8,607.7,177.8,393.1,424.2,661.7,222.9,532.6,544.0,163.8,382.6,120.8,500.4,438.4,211.9,341.2,569.3,490.8,160.4,540.7,477.1,480.9,335.8,372.0,246.8,261.2,505.5,174.4,458.8,424.5,139.3,426.4,163.2,459.9,436.9,410.5,457.4,61.9,396.2,167.7
BI,382.2,463.9,610.6,722.7,336.3,314.1,601.7,0.0,303.7,546.4,109.0,74.3,264.5,576.4,491.0,537.4,682.8,215.6,62.7,576.9,365.5,314.8,43.8,433.2,532.4,392.1,188.6,90.6,670.9,102.6,278.3,26.7,328.9,172.2,501.6,144.1,321.6,179.0,752.4,178.1,136.7,1901.4,804.7,531.2,657.2,489.8,152.2,758.3,124.6,455.2,137.3,352.9,281.9,449.4,386.3,107.0,61.0,120.6,126.5,226.5,187.5,109.1,380.4,159.4,136.1,400.9,173.9,666.5,151.2,204.0,718.6,411.7,48.3,419.8,185.6,467.5,209.8,737.3,712.1,509.6,77.9,267.2,652.6,152.0,680.7,279.5,228.1,95.5,384.2,77.3,181.5,634.1,306.7,475.5,378.7,215.1,393.8,379.8,113.6,231.5,620.1,116.5,165.5,167.1,405.6,296.1,432.8,342.0,132.5,702.9,196.4,337.0,705.5,226.0,631.1,188.1,337.9,307.6,213.1,582.8,205.8,499.9
BJ,180.8,244.5,393.8,503.3,134.9,112.7,382.3,343.7,0.0,327.0,339.6,303.2,106.5,353.7,271.6,318.0,463.4,157.1,318.7,357.5,58.8,113.4,357.0,213.8,313.0,234.8,309.0,313.1,451.5,271.8,42.4,323.7,127.5,227.0,282.2,258.6,218.1,187.6,533.0,198.6,307.2,1666.6,585.3,311.8,437.8,245.9,266.7,538.9,295.1,235.8,232.7,72.0,195.7,237.8,158.4,489.2,365.8,240.2,246.3,140.9,171.2,265.1,179.0,169.0,223.7,138.0,176.2,447.1,217.0,175.1,499.2,187.8,307.5,195.9,355.9,223.6,161.1,517.9,492.7,265.7,320.4,131.2,433.2,377.3,461.3,78.1,148.9,282.0,164.8,291.5,377.0,414.7,3.0,256.1,126.1,163.1,174.4,151.9,335.4,215.5,400.7,336.2,201.8,205.6,177.7,11.9,249.2,122.6,230.2,443.0,183.5,149.3,441.3,153.9,411.7,184.6,87.5,106.2,182.1,363.4,120.9,256.0
BZ,449.1,95.8,64.1,176.2,395.6,387.5,38.2,584.7,339.9,0.0,497.7,572.0,342.1,29.9,65.9,38.3,136.3,359.3,556.5,74.5,438.9,342.3,568.7,135.2,56.2,384.4,556.3,519.9,87.6,507.4,314.5,576.0,388.2,462.6,63.9,432.8,367.7,423.2,205.9,434.2,464.3,1941.1,225.4,44.5,139.9,152.7,423.2,178.9,480.6,105.3,468.3,426.3,351.4,209.8,308.0,510.4,559.0,456.5,481.9,375.9,406.8,500.7,404.6,404.6,459.3,465.3,411.8,120.0,452.6,410.7,172.1,237.6,548.5,230.6,483.2,158.2,396.7,190.8,165.6,132.4,547.4,366.8,106.1,568.0,134.2,383.9,384.5,622.0,183.2,492.9,504.3,87.6,343.0,81.1,445.6,398.7,172.6,301.5,532.4,451.1,73.6,494.7,437.4,441.2,296.1,332.3,221.2,221.5,465.8,115.9,419.1,369.7,114.2,386.7,106.7,420.2,411.3,355.7,417.7,36.3,356.5,142.1
