from_stop,AE,AL,AM,AQ,BA,BE,BH,BI,BM,BP,BS,CJ,CM,CV,DN,DP,DY,ED,EG,EJ,EY,FB,FF,FI,FV,GB,GE,GT,HP,IH,IJ,IV,JD,JG,KG,KK,KQ,LE,LG,LK,LW,LX,MM,MP,MS,NA,NS,NY,OP,OQ,PF,PX,QP,QQ,QT,QV,QY,RH,RL,RP,RT,SF,SI,TE,TP,TR,TU,UE,UO,UW,UZ,VF,VU,WG,WH,WJ,XF,XL,XR,YE,YK,YP,YR,YS,ZB,ZE,ZI,ZO,ZU,ZW,ZX
AE,0.0,114.9,155.7,111.0,172.4,120.3,167.4,144.5,225.0,212.7,232.5,151.5,157.9,104.6,112.6,259.4,112.1,136.5,264.3,59.9,237.5,189.1,171.7,26.4,77.4,172.7,67.8,237.6,84.3,225.5,200.8,186.9,122.7,79.6,196.0,113.2,88.8,159.6,252.8,84.5,101.4,208.8,158.6,115.0,276.1,154.3,1976.0,99.3,94.6,166.7,274.0,17.1,103.2,184.1,175.3,292.8,133.9,159.3,140.1,187.7,159.5,194.8,74.2,104.1,181.3,238.9,90.1,221.5,171.3,130.5,70.4,212.5,155.7,242.1,158.2,121.0,260.1,235.0,101.0,116.8,121.6,134.8,170.5,230.3,199.0,138.2,168.4,174.8,163.1,175.9,194.6
AL,126.1,0.0,59.9,106.9,283.3,27.9,140.2,29.5,130.7,98.9,118.7,110.2,98.6,87.3,53.3,139.5,94.8,107.6,177.2,135.0,123.7,296.1,65.5,152.6,157.8,113.4,90.4,297.2,32.3,238.6,141.5,217.0,197.8,154.7,136.7,91.3,163.9,188.7,188.7,189.0,188.8,231.8,152.2,97.7,180.3,272.7,2071.6,207.1,169.7,111.2,160.2,144.1,81.3,98.2,224.4,313.8,240.0,87.5,169.2,298.6,44.5,99.0,138.8,35.2,85.5,140.0,54.8,107.7,239.1,231.6,181.3,305.9,129.7,146.3,103.7,85.7,198.5,175.7,178.1,74.8,126.3,141.6,164.2,134.5,190.1,213.3,262.8,122.2,274.0,103.9,80.8
AM,162.4,59.9,0.0,146.2,261.5,67.2,168.5,20.3,110.4,78.6,98.4,88.7,72.5,59.6,92.6,119.2,67.1,135.9,151.1,171.3,103.4,279.5,45.2,162.8,194.1,59.5,129.7,324.5,83.3,266.9,87.6,245.3,234.1,191.0,82.8,130.6,200.2,228.0,139.6,173.6,190.5,260.1,180.5,88.0,120.3,245.0,2066.7,185.3,192.9,72.9,139.9,171.3,120.6,38.2,263.7,342.1,223.0,115.8,208.5,276.8,83.8,39.0,178.1,95.2,25.5,83.1,109.1,87.4,262.0,209.8,159.5,302.9,158.0,86.3,82.2,140.0,138.5,121.8,201.2,36.5,165.6,180.9,192.5,74.5,218.4,249.6,235.1,83.9,257.4,43.9,60.5
AQ,97.0,110.0,169.3,0.0,190.9,82.0,77.9,138.9,240.1,208.3,228.1,205.0,115.2,158.1,74.3,245.7,165.6,48.2,221.6,70.9,233.1,190.9,174.9,123.5,97.8,130.0,54.0,185.2,137.8,162.9,158.1,154.4,99.2,67.5,153.3,17.0,58.7,77.7,210.1,134.3,83.6,169.5,98.4,168.5,235.6,184.7,1960.6,117.8,115.0,220.2,269.6,114.2,28.6,141.4,112.7,251.5,129.0,71.0,58.2,206.2,125.3,168.2,40.0,145.3,159.4,202.5,143.6,217.1,128.1,149.0,124.1,194.9,67.4,215.5,211.7,174.5,217.4,192.3,72.9,170.3,15.3,28.5,101.9,203.7,136.4,114.5,186.9,228.3,164.9,133.2,190.2
BA,164.7,273.2,257.5,172.1,0.0,254.2,168.9,276.2,326.8,314.5,334.3,260.9,262.2,195.5,240.1,361.2,188.0,195.2,368.6,128.2,339.3,42.6,273.5,138.2,154.2,277.0,225.6,75.7,242.6,183.6,305.1,125.0,89.6,107.9,300.3,190.8,124.3,113.9,357.1,123.0,99.4,147.2,159.6,222.2,377.9,41.6,1863.3,53.3,142.3,268.5,269.9,146.7,200.8,288.4,137.4,180.1,72.3,218.0,133.4,15.2,297.5,296.6,206.0,262.4,283.1,340.7,232.5,323.3,58.6,32.9,83.6,44.5,176.5,343.9,267.6,196.4,364.4,339.3,110.1,218.6,157.2,141.9,184.0,332.1,154.9,104.9,4.0,276.6,64.7,280.2,296.4
BE,140.3,27.9,87.2,78.9,273.9,0.0,112.2,56.8,158.0,126.2,146.0,137.5,70.6,115.3,25.3,166.8,122.8,79.6,177.0,149.2,151.0,273.9,92.8,166.8,172.0,85.4,62.4,269.2,60.3,210.6,113.5,189.0,182.2,150.5,108.7,64.9,141.7,160.7,165.5,203.2,166.6,203.8,124.2,125.7,191.0,267.7,2043.6,197.7,183.9,138.5,187.5,158.3,53.3,96.8,196.4,285.8,212.0,59.5,141.2,289.2,43.2,123.6,110.8,63.2,112.8,160.9,82.8,135.0,211.1,222.2,207.1,277.9,101.7,170.9,131.0,113.7,172.8,147.7,155.9,102.1,98.3,113.6,136.2,159.1,162.1,197.7,255.6,149.5,251.8,88.6,108.1
BH,148.5,132.5,150.6,69.2,182.8,104.5,0.0,161.4,221.0,207.2,209.0,239.4,93.2,210.3,71.1,223.7,217.8,26.2,199.6,97.4,232.0,217.4,195.9,175.0,129.6,108.0,113.9,195.6,164.9,98.3,136.1,76.7,90.6,94.0,131.3,86.3,85.2,87.1,188.1,160.8,110.1,91.5,6.8,228.4,213.6,211.2,1940.6,144.3,141.5,223.6,250.5,165.7,97.9,119.4,78.8,173.5,134.8,49.0,67.6,198.1,147.8,146.2,109.3,153.9,137.4,180.5,187.4,216.0,137.5,140.9,150.6,204.3,7.6,193.5,232.9,218.3,195.4,170.3,97.4,187.2,59.8,73.0,23.9,181.7,49.8,105.9,178.8,234.6,194.7,111.2,211.2
BI,165.7,39.5,30.3,125.8,270.2,46.8,159.1,0.0,101.1,69.3,89.1,80.6,117.5,68.3,72.2,109.9,75.8,126.5,147.6,174.6,94.1,288.2,35.9,171.5,197.4,89.9,109.3,315.1,71.9,257.5,118.0,235.9,229.1,194.3,113.2,110.2,188.6,207.6,159.1,182.3,199.2,250.7,171.1,96.7,150.7,253.7,2075.4,194.0,201.6,81.6,130.6,180.0,100.2,68.6,243.3,332.7,231.7,106.4,188.1,285.5,63.4,69.4,157.7,74.8,55.9,110.4,94.4,78.1,258.0,218.5,168.2,311.6,148.6,116.7,74.1,125.3,168.9,152.2,202.8,45.2,145.2,160.5,183.1,104.9,209.0,244.6,243.8,92.6,266.1,74.3,51.2
BM,248.0,164.2,123.9,254.5,270.7,171.5,256.9,124.6,0.0,46.2,34.4,114.4,169.8,152.5,196.9,92.9,160.0,224.3,124.5,257.2,71.0,325.9,93.8,221.5,268.8,158.9,217.7,358.0,169.2,355.3,130.6,334.4,317.0,276.9,153.6,234.9,274.1,323.3,136.0,232.3,249.2,361.6,263.7,113.7,124.5,269.5,2091.2,247.1,251.6,62.7,75.9,230.0,224.9,137.6,346.8,408.0,281.7,204.2,312.8,286.0,188.1,95.7,276.2,178.7,124.9,73.0,195.0,55.0,286.5,278.3,218.2,349.3,246.4,90.5,107.9,218.1,142.7,153.8,259.9,129.4,269.9,283.1,280.9,78.7,306.8,332.5,266.7,51.5,299.9,143.3,70.8
BP,231.9,111.4,71.1,197.7,331.0,118.7,222.1,71.8,45.2,0.0,33.2,101.5,135.0,129.1,144.1,40.6,136.6,189.5,78.2,240.8,24.8,349.0,33.3,232.3,263.6,124.1,181.2,387.0,143.8,320.5,95.8,298.9,301.0,260.5,118.8,182.1,260.5,279.5,89.7,243.1,260.0,313.7,234.1,149.8,89.7,314.5,2136.2,254.8,262.4,103.7,74.7,240.8,172.1,102.8,315.2,395.7,292.5,169.4,260.0,346.3,135.3,60.9,229.6,146.7,90.1,34.5,166.3,8.8,329.9,279.3,229.0,372.4,211.6,55.7,95.0,197.2,107.9,107.5,270.7,106.0,217.1,232.4,246.1,43.9,272.0,316.5,304.6,92.8,326.9,108.5,18.0
