from_stop,AA,AE,AK,AL,AN,AU,BB,BJ,BU,CU,DN,DX,EB,ER,EY,FA,FL,FM,FS,FV,GA,GK,GL,GM,GZ,HE,HO,IB,IF,II,IJ,IS,IW,IY,JT,KF,KJ,KY,LD,LP,MH,NA,NF,NH,NL,NQ,NR,OL,OQ,OS,OV,OZ,PJ,PM,PO,PZ,QC,QM,QN,QZ,RD,RG,RH,RJ,RS,RU,SE,SQ,SS,ST,SW,SX,SY,SZ,TG,TH,TY,UC,UD,UI,UP,UR,VA,VC,VJ,VL,VO,VR,VY,WA,WB,WH,WK,XA,XE,XF,XJ,XR,XS,XW,XX,XY,YE,YP,ZP,ZU
AA,0.0,236.8,202.1,145.5,131.3,104.7,155.1,2170.3,249.2,254.4,265.2,240.1,311.7,82.9,60.2,72.8,85.5,73.4,294.5,146.4,87.4,251.3,266.4,182.5,56.6,292.6,336.2,278.5,224.7,58.6,110.6,56.7,219.2,263.7,133.3,286.4,298.6,270.3,17.6,102.8,168.5,174.6,95.7,40.6,89.2,213.2,230.1,87.2,61.9,137.0,173.7,299.7,266.4,77.4,255.6,343.4,213.3,60.6,130.1,305.6,177.7,140.6,151.1,204.9,132.6,273.4,246.1,5.4,89.1,32.1,102.6,97.9,217.4,110.6,234.7,235.0,338.1,103.9,68.1,73.9,221.9,139.0,354.4,80.3,283.3,128.6,206.1,155.4,253.5,102.1,74.0,79.0,190.2,250.4,223.5,261.0,89.4,186.0,128.5,140.9,108.0,230.9,297.1,43.4,262.3,149.5
AE,224.4,0.0,32.8,266.0,262.6,290.2,329.5,2034.1,70.6,144.4,56.7,86.6,119.2,260.1,231.2,196.0,200.2,219.3,133.4,238.7,264.6,179.0,78.3,256.3,209.4,210.8,131.6,135.4,113.5,215.9,273.7,264.3,45.3,55.6,185.7,142.6,216.8,192.8,206.7,280.9,345.7,242.4,190.8,267.2,179.8,59.7,22.0,271.8,289.7,309.9,263.6,108.7,76.3,193.9,87.6,200.3,87.0,237.8,308.7,128.4,272.2,211.3,328.3,71.0,171.3,127.1,20.6,218.9,265.9,256.6,279.4,188.1,92.9,239.7,33.5,64.8,161.2,183.1,203.2,251.1,72.6,226.3,211.3,257.5,120.3,314.1,59.1,216.5,108.8,224.9,233.7,185.6,259.7,96.9,15.4,226.0,295.4,163.0,306.5,318.1,178.7,57.4,138.5,241.9,151.9,210.2
AK,198.4,40.7,0.0,262.4,250.4,264.2,303.5,2022.8,49.5,118.4,63.0,60.6,109.5,234.1,205.2,170.0,174.2,193.3,139.3,213.2,238.6,160.9,84.6,230.3,183.4,205.6,136.9,137.9,91.3,189.9,277.6,235.0,19.7,61.5,166.7,128.0,211.6,179.9,180.7,254.0,319.7,209.5,164.8,240.0,153.8,33.7,27.9,245.8,260.4,288.2,237.6,99.4,64.2,168.3,81.9,203.0,61.0,211.8,283.1,118.7,212.8,195.4,302.3,45.0,145.3,115.0,53.8,192.9,240.3,230.6,253.8,162.5,66.9,227.1,32.5,35.5,166.5,157.1,177.2,225.1,54.2,203.6,214.0,231.5,128.1,288.1,33.5,190.5,82.8,199.3,200.8,156.3,200.3,70.9,21.3,219.7,269.4,137.0,280.4,292.1,152.7,31.4,128.8,212.6,147.3,184.7
AL,147.9,250.7,230.7,0.0,90.7,208.0,264.8,2068.1,232.1,158.7,191.9,180.0,219.1,151.8,169.7,107.2,153.0,172.1,193.1,50.7,213.5,155.6,170.7,41.5,155.3,157.4,240.5,182.8,159.3,172.0,258.8,212.3,229.8,193.4,88.9,193.2,163.4,159.4,130.2,197.8,281.5,72.6,143.6,188.6,105.9,206.9,227.0,189.6,207.1,249.5,34.2,229.2,273.7,132.0,291.4,247.7,241.5,158.1,235.2,209.9,42.7,44.9,264.1,225.5,224.5,177.7,267.0,142.4,196.9,180.1,132.1,97.2,247.4,46.8,222.4,245.6,242.4,135.9,141.3,122.5,264.3,56.1,258.7,175.3,185.7,231.9,204.1,59.9,157.8,76.9,172.7,120.4,53.3,169.7,233.6,143.8,213.2,90.3,241.0,253.9,158.6,241.5,201.4,102.3,166.6,68.4
AN,120.0,245.7,228.9,48.0,0.0,180.1,237.4,2070.0,230.3,156.9,190.1,178.2,217.3,123.9,141.8,79.3,145.6,155.0,197.0,48.9,172.5,153.8,168.9,85.0,127.4,174.5,237.3,181.0,157.5,144.1,230.7,184.4,228.0,191.6,87.1,188.9,180.5,172.8,102.3,169.9,253.6,77.1,136.2,160.7,98.5,205.1,225.2,161.7,179.2,217.8,76.2,227.4,268.6,104.5,289.6,245.9,239.7,130.2,217.0,208.1,57.9,43.1,236.2,223.7,96.8,175.9,265.2,114.5,169.0,152.2,104.2,89.8,245.6,13.1,220.6,243.8,240.6,128.5,113.4,94.6,262.5,48.7,256.9,147.4,185.8,204.0,202.3,57.9,156.0,49.0,144.8,92.5,70.4,167.9,231.8,160.9,185.3,88.5,213.6,226.0,156.8,239.7,199.6,74.4,164.8,66.6
AU,105.8,285.4,269.0,205.7,191.5,0.0,81.8,2176.5,316.1,314.6,332.1,307.0,375.0,88.0,132.0,139.7,157.3,145.2,354.7,206.6,61.7,311.5,326.6,242.7,123.5,322.8,396.4,338.7,291.6,129.1,65.0,103.9,270.2,330.6,200.2,346.6,328.8,324.8,116.4,11.2,142.8,234.8,167.5,75.1,156.1,280.1,297.0,26.8,53.8,99.9,233.9,366.6,297.2,142.7,272.9,403.6,246.7,92.8,44.5,365.8,206.2,200.8,125.4,254.2,106.9,333.6,263.4,111.3,53.1,83.6,107.7,164.8,234.7,170.8,301.6,256.0,398.3,175.7,133.4,107.0,239.2,205.9,414.6,33.7,343.5,23.8,273.0,215.6,313.7,169.0,140.9,145.9,218.7,317.3,290.4,309.2,26.3,246.2,102.8,115.2,157.4,259.7,357.3,128.3,322.5,216.4
BB,152.9,331.0,304.9,259.6,233.8,86.2,0.0,2204.8,352.0,368.5,368.0,342.9,414.5,123.9,178.7,175.6,204.4,192.3,386.8,260.5,78.2,365.4,380.5,291.8,159.4,351.1,441.0,392.6,334.0,177.5,117.3,156.4,322.0,366.5,236.1,400.5,357.1,353.1,152.3,75.4,93.6,288.7,214.6,120.1,192.0,316.0,332.9,91.9,100.9,15.2,284.5,404.4,345.8,193.9,325.4,457.5,292.4,139.9,63.7,419.7,234.5,254.7,76.2,306.7,308.4,387.5,314.2,158.4,100.2,130.7,143.6,200.7,287.2,224.7,337.5,308.5,452.2,215.3,185.9,142.9,291.7,241.8,468.5,98.8,395.5,90.6,318.8,269.7,365.1,204.9,176.8,181.9,247.0,353.2,326.3,337.5,73.4,300.1,23.7,66.0,209.9,312.2,411.2,164.2,376.4,252.3
BJ,2023.5,1834.5,1842.1,1860.6,1871.7,1966.5,1948.1,0.0,1794.0,1779.1,1795.2,1818.5,1750.6,1956.8,1987.9,1925.4,2011.1,2001.1,1728.1,1854.6,1964.3,1777.2,1774.0,1828.5,1986.5,1764.8,1738.2,1728.6,1839.9,2046.2,1982.1,2021.0,1852.0,1796.7,1901.9,1728.4,1759.1,1758.2,1961.4,1977.8,1983.6,1827.3,2001.7,2023.3,1920.8,1829.1,1813.7,1993.4,2009.4,1966.2,1835.8,1752.6,1824.1,1950.2,1841.8,1702.4,1890.8,1963.1,1947.5,1741.4,1828.6,1830.0,1966.2,1882.4,1990.7,1741.4,1853.7,1973.6,1990.7,2019.6,1937.1,1912.1,1904.3,1872.8,1809.1,1867.8,1711.7,1994.0,1959.5,1927.5,1886.5,1871.0,1691.4,1952.5,1739.3,1966.7,1836.2,1847.7,1796.3,1895.1,2003.9,1938.5,1825.1,1808.2,1820.3,1789.8,1992.9,1773.3,1974.7,1952.8,1971.6,1863.7,1732.9,1933.5,1771.2,1883.5
BU,255.5,63.9,65.1,243.0,243.3,321.3,360.6,1992.3,0.0,138.3,62.4,84.3,77.4,291.2,263.5,227.1,231.3,250.4,130.6,234.1,298.2,170.8,80.6,240.0,240.5,190.2,89.8,91.0,97.4,247.0,314.0,292.1,76.8,69.0,170.0,80.9,196.2,160.7,237.8,312.0,376.8,229.3,221.9,298.3,210.9,87.1,71.1,302.9,320.0,341.0,249.8,64.8,32.5,224.9,41.3,155.9,129.6,268.9,340.2,86.6,251.6,197.3,361.9,102.1,212.4,67.9,78.5,250.0,297.4,287.7,305.3,216.6,124.0,229.0,55.6,100.7,119.4,214.2,236.8,282.2,111.3,221.7,166.9,288.6,130.1,345.2,76.2,218.4,106.5,216.9,257.9,224.9,239.1,94.6,64.5,205.4,326.5,221.0,337.6,349.2,209.8,88.5,96.7,272.2,146.2,205.6
CU,268.7,146.0,108.4,183.7,190.9,328.8,382.8,1978.9,136.8,0.0,87.6,57.7,114.8,272.6,290.5,228.0,273.8,292.9,94.5,177.7,321.2,100.3,66.4,151.6,276.1,99.3,136.2,78.5,90.6,292.8,377.5,333.1,107.5,89.1,185.4,88.9,105.3,81.3,251.0,318.6,402.3,150.4,264.4,309.4,226.7,84.6,122.7,310.4,327.9,363.2,158.9,124.9,169.4,252.9,187.1,143.4,166.8,278.9,353.2,105.6,160.7,135.9,384.9,150.8,121.5,73.4,162.3,263.2,317.7,300.9,252.9,218.0,172.7,167.6,118.1,123.3,138.1,256.7,262.1,243.3,142.0,176.9,154.4,296.1,81.4,352.7,81.8,148.8,35.5,197.7,293.5,241.2,148.2,47.4,129.3,114.5,334.0,130.1,359.8,374.7,255.1,119.2,97.1,223.1,7.8,164.9
