from_stop,AU,BC,BK,BS,CH,DM,DQ,DS,EC,EF,EU,FD,FK,FU,GB,GO,GU,GY,GZ,HA,HB,HJ,HU,HW,IF,IP,IX,JN,JZ,KS,KZ,LD,MI,MJ,OD,ON,QI,QN,RO,SF,SK,SS,SW,UC,UF,UG,UI,UR,VD,VH,VL,VX,WO,WV,WY,XH,XK,XP,YA,YJ,YS,ZL,ZN,ZO,ZV
AU,0.0,35.3,172.4,99.1,51.2,144.2,280.3,264.5,168.7,210.8,8.7,128.5,111.8,97.6,106.7,216.4,128.8,102.6,144.3,75.6,143.3,2298.2,269.2,321.9,216.6,170.1,73.1,180.3,275.1,160.4,262.1,293.7,240.4,266.4,98.0,187.9,176.3,290.7,65.4,9.9,78.9,128.6,104.9,210.6,113.5,78.0,139.1,81.4,179.4,102.5,277.6,204.5,176.4,216.9,99.0,168.9,113.6,236.8,105.1,249.0,232.8,107.5,234.4,99.6,42.8
BC,36.1,0.0,170.4,123.0,85.1,180.4,278.3,250.2,204.9,176.5,44.8,91.3,148.0,83.3,132.1,181.0,152.7,80.6,121.2,41.3,179.5,2275.1,267.2,323.0,248.7,199.5,71.1,178.3,294.0,189.8,263.2,300.0,217.3,277.5,113.0,165.9,212.5,302.9,43.4,13.9,109.7,106.6,141.1,246.8,119.9,107.2,104.8,47.1,157.4,138.7,284.2,202.5,141.0,196.7,77.0,190.3,79.3,255.4,83.1,234.7,239.1,121.6,199.0,65.3,66.7
BK,167.1,168.4,0.0,198.8,169.1,149.2,172.3,158.6,54.1,325.9,158.4,243.6,229.7,129.9,212.3,161.2,234.4,230.0,256.6,190.7,33.3,2238.4,175.6,195.0,102.0,96.7,144.1,7.8,160.5,87.0,135.2,166.8,158.4,139.5,128.3,315.3,43.7,163.8,192.8,181.3,196.8,244.7,73.8,96.0,231.4,158.3,254.2,196.5,306.8,107.5,150.7,110.9,304.6,145.5,225.6,12.1,228.7,122.2,232.5,143.1,105.9,213.1,176.7,214.7,166.4
BS,138.2,155.9,245.5,0.0,71.5,106.7,343.6,334.5,225.4,241.6,117.2,151.4,79.6,108.8,92.5,312.6,74.6,140.7,229.6,129.4,200.0,2398.7,354.7,366.3,269.2,226.8,91.6,237.6,331.8,217.1,306.5,338.1,348.9,315.3,133.5,231.0,233.0,342.1,126.3,148.1,49.5,123.4,161.6,267.3,110.1,53.3,169.9,130.0,222.5,100.3,322.0,304.7,238.1,328.3,110.8,225.6,157.4,293.5,148.2,304.2,277.2,65.7,330.6,148.2,55.4
CH,83.5,84.3,190.8,106.8,0.0,146.2,288.9,279.8,170.7,205.8,62.5,111.9,75.4,107.3,59.5,241.0,80.1,101.2,199.1,70.6,145.3,2336.9,300.0,311.6,214.5,172.1,85.8,182.9,277.1,162.4,251.8,283.4,277.3,260.6,78.8,195.2,178.3,287.4,54.7,77.2,24.5,90.4,106.9,212.6,77.1,80.0,134.1,58.4,186.7,104.5,267.3,247.8,166.5,256.7,71.3,170.9,108.6,238.8,112.4,280.0,222.5,58.8,259.0,76.6,50.5
DM,138.0,151.9,170.0,82.5,127.7,0.0,268.1,259.0,149.9,309.4,117.0,227.1,162.2,68.5,170.9,261.6,157.2,213.5,247.6,174.2,126.6,2346.2,279.2,290.8,197.8,157.3,97.2,162.1,256.3,141.6,231.0,262.6,285.9,235.3,40.6,298.8,157.5,259.6,176.3,147.9,120.9,203.3,86.1,191.8,190.0,58.9,237.7,180.0,290.3,83.7,246.5,229.2,378.1,274.4,184.2,150.1,512.8,218.0,216.0,272.6,201.7,148.3,279.6,198.2,98.3
DQ,272.3,279.3,147.1,291.7,262.0,242.1,0.0,53.5,104.7,349.0,251.3,351.6,322.6,220.8,306.7,132.4,327.3,340.9,310.7,301.6,128.3,2219.9,11.0,97.8,140.2,189.6,237.0,139.2,70.8,179.9,86.7,134.0,92.7,54.3,193.5,338.4,154.6,24.5,303.7,282.2,289.7,337.6,166.7,67.0,324.3,251.2,365.1,307.4,329.9,200.4,61.0,103.3,347.7,116.7,318.5,127.2,339.6,112.1,343.4,69.0,95.8,306.0,111.0,325.6,259.3
DS,250.9,251.6,138.0,282.6,252.9,233.0,73.5,0.0,95.6,314.2,242.2,323.9,313.5,211.7,297.6,104.7,318.2,313.2,275.9,273.9,119.2,2210.9,82.2,70.7,131.1,180.5,227.9,130.1,43.7,170.8,77.6,123.8,47.0,27.2,184.4,303.6,145.5,72.0,276.0,264.5,280.6,328.5,157.6,57.9,315.2,242.1,337.4,279.7,295.1,191.3,33.9,94.2,312.9,89.0,309.4,118.1,311.9,103.0,315.7,15.5,86.7,296.9,65.3,297.9,250.2
EC,167.5,190.6,42.3,186.9,157.2,137.3,118.1,109.0,0.0,351.0,146.5,257.2,217.8,116.0,200.4,151.2,222.5,243.6,272.5,221.7,21.4,2244.1,129.2,140.8,47.8,84.8,132.2,34.4,106.3,75.1,81.0,112.6,154.1,85.3,116.4,340.4,49.8,104.9,212.0,177.4,184.9,232.8,61.9,41.8,219.5,146.4,279.3,215.7,331.9,95.6,96.5,79.2,323.8,135.5,213.7,22.4,259.7,68.0,257.6,124.5,51.7,201.2,174.4,233.9,154.5
EF,205.5,169.3,278.1,292.4,206.3,336.3,332.0,316.8,328.5,0.0,214.2,96.8,162.9,237.7,150.3,233.4,167.6,107.7,56.7,146.3,285.5,2223.6,320.9,393.3,357.2,296.6,216.8,286.0,360.6,286.9,337.3,370.1,269.7,339.6,264.8,10.5,318.5,344.9,153.6,183.3,230.9,119.4,248.2,317.3,132.7,252.9,69.2,149.9,19.0,294.6,350.8,272.6,196.3,249.1,140.3,298.0,149.4,325.5,93.9,301.3,309.2,184.9,251.4,131.7,236.1
