from_stop,AB,AC,AN,AU,BF,BG,BP,CQ,DJ,EG,EP,EU,EW,FE,GI,GY,JC,JO,KA,KI,KW,KY,LA,MD,ME,MF,MU,NA,NB,NI,NS,NV,NY,OE,OI,OS,OZ,PD,PS,QD,QJ,RE,RN,RT,RW,SG,TH,TJ,TM,TT,TY,TZ,UD,UE,UI,UJ,UO,UT,UV,VI,VN,VV,WP,WR,WU,WW,XA,XR,XY,YC,YN,YU,YZ,ZN
AB,0.0,297.0,183.5,282.5,230.5,256.7,296.7,303.3,274.0,50.1,125.5,298.7,262.7,241.9,231.2,107.7,276.7,193.3,295.7,249.5,409.0,46.0,254.5,213.1,258.9,256.3,216.4,67.5,224.7,256.7,249.0,128.5,65.0,358.2,231.2,137.6,206.0,181.5,319.3,25.7,273.9,250.8,416.6,1550.0,261.6,282.2,70.9,286.5,193.6,287.6,273.4,327.9,368.2,370.4,409.1,145.8,303.6,205.1,42.3,251.8,74.6,195.5,345.2,386.1,230.9,292.7,227.9,5.1,294.6,279.3,53.6,221.3,264.5,435.6
AC,306.9,0.0,130.2,409.3,412.1,377.2,393.2,9.4,400.8,271.7,193.1,480.3,441.2,423.5,361.4,229.1,15.3,118.2,3.7,64.6,501.4,282.1,436.1,339.9,440.5,37.9,427.3,291.4,380.2,438.3,423.6,184.5,244.7,485.0,97.7,348.5,105.5,363.1,417.7,305.7,455.5,430.5,510.9,1630.9,53.4,97.3,255.4,466.2,373.3,86.6,74.3,426.3,469.4,464.7,501.5,327.4,356.9,128.9,287.3,433.4,253.5,140.0,472.0,480.4,412.5,23.1,409.5,296.8,2.3,406.1,297.4,348.0,446.1,529.9
AN,176.6,126.4,0.0,322.7,281.8,337.3,346.1,135.8,312.3,141.4,66.7,350.0,310.9,293.2,274.8,98.9,111.1,9.7,130.1,127.2,453.3,151.8,305.8,253.3,310.2,104.0,297.0,161.1,294.2,308.0,293.3,54.2,114.4,398.4,26.8,218.2,21.3,232.8,370.6,182.4,330.7,301.4,462.8,1525.5,83.4,159.9,125.1,335.9,243.0,173.4,146.1,379.2,406.5,416.6,453.4,197.1,354.9,26.5,157.0,303.1,131.3,18.4,385.4,432.3,282.2,149.7,279.2,166.5,124.0,319.5,167.1,261.4,315.8,481.8
AU,273.9,396.9,303.2,0.0,131.9,126.3,86.1,406.3,8.5,322.9,290.4,129.7,90.2,110.2,50.7,256.0,381.6,313.0,400.6,397.7,136.9,295.9,61.6,67.9,58.1,388.7,90.1,248.8,28.4,125.7,153.7,302.0,240.2,75.6,332.2,157.6,330.3,132.8,69.5,305.1,118.3,104.3,146.4,1498.4,353.9,430.4,322.9,172.9,122.6,443.9,416.6,104.8,160.2,100.2,137.0,178.0,106.0,329.8,244.7,96.2,267.3,296.5,62.6,115.9,119.2,420.0,83.9,305.3,393.7,3.2,258.8,59.8,108.9,165.4
BF,199.0,382.3,255.8,154.1,0.0,111.2,120.0,391.7,143.7,233.3,194.2,123.9,87.9,67.1,99.6,159.8,367.0,265.6,386.0,383.1,239.4,199.7,79.7,119.8,84.1,359.9,70.9,152.6,125.6,81.9,122.1,205.8,144.0,229.8,282.7,61.4,277.2,36.6,144.5,201.8,104.6,75.3,248.9,1550.3,339.3,415.8,236.2,109.8,26.4,429.3,402.0,153.1,320.4,202.7,239.5,81.8,128.8,282.4,148.5,77.0,179.2,243.3,216.8,218.4,56.1,405.6,53.1,209.1,379.9,150.9,158.6,111.7,89.7,267.9
BG,135.7,270.5,176.8,234.9,136.5,0.0,200.8,279.9,226.4,170.0,130.9,204.7,168.7,147.9,180.4,96.5,255.2,186.6,274.2,271.3,313.1,136.4,160.5,200.6,164.9,262.6,151.7,89.3,205.8,162.7,153.1,142.5,80.7,310.6,205.8,72.9,198.2,87.5,225.3,145.6,179.9,154.9,322.6,1631.1,227.5,304.0,172.9,176.7,97.7,317.5,290.2,233.9,393.2,276.4,313.2,51.8,209.6,198.2,85.2,157.8,107.8,170.1,297.6,292.1,136.9,293.6,133.9,145.8,267.3,231.7,113.5,192.5,170.5,341.6
BP,266.3,407.3,344.4,92.6,124.3,136.7,0.0,416.7,84.1,321.9,289.1,159.4,123.4,102.6,58.1,248.4,392.0,354.2,411.0,408.1,142.9,288.3,54.0,78.3,50.5,448.5,82.5,241.2,64.1,137.4,210.7,294.4,232.6,168.3,373.4,150.0,371.5,125.2,48.0,297.5,110.7,109.6,152.4,1508.8,364.3,440.8,324.8,165.3,115.0,454.3,417.8,56.6,218.4,106.2,143.0,170.4,116.4,371.0,237.1,88.6,259.7,337.7,155.3,121.9,111.6,430.4,76.3,297.7,404.1,89.4,265.4,70.2,101.3,171.4
CQ,320.3,9.4,141.5,417.6,421.5,386.3,394.4,0.0,409.9,290.1,205.4,444.6,405.1,432.9,359.2,241.7,26.6,129.5,5.7,75.9,510.5,291.5,445.5,348.2,449.9,48.1,391.7,300.8,384.7,447.7,387.5,193.9,256.0,486.2,109.5,359.0,116.0,372.5,426.0,317.0,376.4,394.9,512.1,1619.6,64.7,81.7,266.7,476.7,384.6,75.3,94.0,434.6,502.2,473.8,510.6,336.8,365.2,144.6,296.7,397.8,262.9,149.4,480.3,488.7,421.9,4.7,418.9,306.2,13.6,414.4,315.8,357.2,455.5,538.2
DJ,291.7,388.4,294.7,8.5,123.4,117.8,77.6,397.8,0.0,314.4,288.2,121.2,81.7,101.7,42.2,245.6,373.1,304.5,392.1,389.2,128.4,287.4,53.1,59.4,49.6,372.5,81.6,240.3,19.9,117.2,145.2,293.5,231.7,84.1,325.0,149.1,321.8,124.3,61.0,296.6,109.8,95.8,137.9,1489.9,345.4,421.9,314.4,164.4,114.1,435.4,408.1,96.3,134.2,91.7,128.5,169.5,97.5,321.3,236.2,87.7,258.8,288.0,71.1,107.4,110.7,411.5,75.4,296.8,385.2,5.3,264.5,51.3,100.4,156.9
EG,74.6,242.4,146.6,293.9,263.7,319.2,277.8,257.5,285.4,0.0,91.3,314.3,274.8,275.1,242.6,80.8,227.1,156.4,246.1,199.9,417.2,94.4,287.7,224.5,292.1,214.5,278.9,101.3,264.8,289.9,257.2,96.6,96.3,369.6,175.6,200.1,168.0,214.7,302.3,33.9,307.1,282.1,426.7,1561.4,212.0,232.6,15.7,317.8,224.9,238.0,209.6,310.9,376.8,380.5,417.3,179.0,241.5,168.0,105.4,285.0,105.1,139.9,356.6,396.2,264.1,257.4,261.1,79.7,240.0,290.7,64.6,232.6,297.7,445.7
EP,113.7,181.7,57.9,263.2,218.9,273.4,279.3,196.6,257.6,74.6,0.0,287.1,248.0,230.3,258.9,37.0,169.1,67.7,188.1,185.2,386.5,87.9,242.9,197.7,247.3,162.0,230.2,97.2,241.4,245.1,226.5,4.8,54.9,338.9,87.8,151.4,81.3,169.9,307.7,111.5,258.4,233.4,396.0,1534.6,141.4,214.7,62.2,273.0,183.5,231.4,204.1,316.3,350.9,352.7,386.6,134.2,292.0,84.5,90.2,236.3,56.4,48.5,325.9,369.4,219.3,204.8,216.3,99.7,182.0,263.9,108.2,205.9,252.9,418.9
EU,257.4,389.1,314.2,137.6,94.1,118.5,145.3,398.5,127.2,291.7,252.6,0.0,47.0,44.9,124.9,218.2,373.8,324.0,392.8,389.9,211.7,258.1,105.0,145.1,109.4,418.3,96.2,211.0,121.2,89.2,159.8,264.2,202.4,226.8,341.1,119.8,335.6,95.0,144.3,260.2,129.9,36.3,221.2,1575.6,346.1,422.6,294.6,117.1,84.8,436.1,408.8,178.4,292.7,175.0,211.8,140.2,154.1,340.8,206.9,102.3,237.6,301.7,213.8,190.7,63.4,412.4,78.4,267.5,386.7,134.4,217.0,137.0,115.0,240.2
EW,233.8,365.5,290.6,90.5,70.5,94.9,121.7,374.9,80.1,268.1,229.0,39.4,0.0,21.3,96.4,194.6,350.2,300.4,369.2,366.3,164.6,234.5,81.4,113.6,85.8,394.7,72.6,187.4,74.1,65.6,112.7,240.6,178.8,179.7,317.5,96.2,312.0,71.4,97.2,236.6,106.3,12.7,174.1,1544.1,322.5,399.0,271.0,93.5,61.2,412.5,385.2,132.5,245.6,127.9,164.7,116.6,130.5,317.2,183.3,78.7,214.0,278.1,166.7,143.6,39.8,388.8,54.8,243.9,363.1,87.3,193.4,105.5,91.4,193.1
