from_stop,AE,AG,AS,AU,BC,BE,BI,CD,CE,CF,CH,CI,CK,CO,CP,CQ,CZ,DC,DQ,DX,ED,EH,ET,FC,FE,FF,FH,FN,FS,FX,GI,GV,GW,HA,HB,HD,HP,HX,HZ,IE,IG,IR,IV,IX,JA,JF,JI,JK,JQ,KH,KN,KY,KZ,LC,LE,LH,LJ,LQ,LV,LW,MH,MQ,NB,NI,NJ,NQ,NV,NX,OJ,OP,OU,PC,PO,PP,PQ,PY,QE,QI,QL,QQ,QS,QW,RH,RU,RW,RZ,SI,SL,SO,ST,SW,TC,TO,TP,TQ,TS,TW,UI,UO,UY,UZ,WE,WM,WP,WS,WZ,XQ,XW,YB,YT,YU,YY,YZ,ZC,ZF,ZS,ZT,ZU,ZY
AE,0.0,497.3,626.7,596.7,381.0,775.4,22.5,592.9,627.8,417.5,457.4,598.7,679.5,96.3,340.6,601.2,331.2,594.9,732.8,746.4,408.3,622.0,281.2,504.6,412.4,441.0,2898.6,699.5,504.4,649.7,644.1,578.0,680.6,597.4,176.5,295.8,53.1,319.9,513.6,486.6,624.6,285.6,220.3,432.6,658.2,128.9,245.9,624.2,627.7,395.5,545.8,634.4,449.7,466.1,461.9,586.1,514.2,565.7,396.0,586.7,506.0,527.9,327.6,755.1,626.4,65.3,489.3,627.6,308.9,745.2,410.3,339.6,653.2,639.0,230.9,451.8,598.7,472.3,451.1,203.9,454.5,478.6,645.6,387.1,743.6,628.9,307.4,625.9,656.3,657.4,551.0,645.7,449.1,332.5,618.0,182.1,174.3,101.9,726.4,783.9,604.4,384.8,641.8,399.2,453.5,270.7,366.7,607.3,295.4,598.7,266.6,591.0,340.1,614.4,460.0,44.1,437.6,686.8,495.1
AG,488.7,0.0,664.2,536.5,325.4,735.9,464.5,696.1,567.6,426.3,401.8,538.5,619.3,495.5,394.6,541.0,554.6,534.7,693.3,686.2,482.7,702.2,329.1,558.6,466.4,137.3,2815.6,639.3,444.2,659.8,681.6,615.5,620.4,634.9,488.0,240.2,542.9,584.8,312.3,540.6,662.1,619.6,413.2,480.5,760.3,614.7,735.7,564.0,707.8,469.9,599.8,730.1,503.7,410.5,84.2,525.9,63.4,505.5,380.5,624.2,364.8,359.9,272.0,694.9,663.9,555.1,566.5,689.3,594.9,792.6,433.6,284.0,700.6,719.2,459.4,529.0,538.5,516.3,375.2,432.4,508.5,522.6,675.7,464.3,683.4,568.7,535.9,565.7,736.4,687.5,490.8,671.2,316.6,380.4,557.8,430.6,660.1,591.7,712.7,723.7,641.9,459.2,581.6,532.6,361.6,377.8,441.1,547.1,655.3,538.5,495.1,530.8,388.0,725.1,37.4,533.9,305.1,734.2,44.3
AS,599.6,626.9,0.0,292.0,612.3,314.1,575.4,59.8,423.5,302.3,688.7,255.0,240.8,680.4,681.5,396.9,739.5,235.4,271.5,264.4,769.6,88.9,616.0,845.5,753.3,570.6,2758.2,191.2,300.1,128.8,76.4,110.9,216.2,190.0,672.9,527.1,621.7,762.0,581.2,827.5,156.6,727.7,633.7,732.3,147.0,646.8,618.6,300.5,94.6,756.8,886.7,101.3,790.6,697.4,591.5,381.8,643.8,361.4,649.4,179.3,438.2,639.5,558.9,273.1,145.0,610.2,376.2,99.3,751.0,275.0,297.2,570.9,183.0,105.9,644.3,338.7,255.0,268.0,644.1,617.3,795.4,274.3,134.3,274.0,261.6,324.2,720.8,251.4,123.2,146.1,346.7,117.4,526.7,667.3,313.3,595.5,633.2,573.6,290.9,301.9,36.7,746.1,250.7,342.3,630.5,684.1,728.0,263.6,754.3,255.0,680.0,252.3,674.9,81.3,589.6,631.7,515.2,216.6,624.7
AU,582.1,537.4,276.9,0.0,522.8,246.8,557.9,207.0,222.9,200.5,599.2,49.4,130.2,662.9,592.0,214.4,722.0,153.6,204.2,197.1,680.1,213.1,526.5,756.0,663.8,481.1,2668.7,150.2,172.6,170.7,294.3,218.1,131.3,290.9,655.4,437.6,604.2,744.5,491.7,738.0,263.8,710.2,616.2,642.8,271.2,629.3,601.1,74.9,218.7,667.3,797.2,241.0,701.1,607.9,502.0,220.7,554.3,160.8,559.9,280.2,348.7,550.0,469.4,205.8,252.2,592.7,358.7,200.2,733.5,303.5,207.8,481.4,211.5,230.1,626.8,321.2,49.4,244.7,554.6,599.8,705.9,251.0,186.6,256.5,194.3,32.1,703.3,76.6,247.3,198.4,146.1,182.1,437.2,577.8,21.2,578.0,615.7,556.1,223.6,234.6,254.6,656.6,92.5,324.8,541.0,575.2,638.5,58.0,736.8,49.4,662.5,115.3,585.4,236.0,500.1,614.2,425.7,245.1,535.2
BC,357.5,330.5,629.9,502.2,0.0,701.6,333.3,661.8,533.3,392.0,76.3,504.2,585.0,364.3,263.4,506.7,423.4,500.4,659.0,651.9,351.5,667.9,197.9,427.4,335.2,274.2,2806.5,605.0,409.9,625.5,647.3,581.2,586.1,600.6,356.8,81.1,411.7,453.6,302.8,409.4,627.8,488.4,282.0,349.3,726.0,483.5,604.5,529.7,673.5,338.7,468.6,695.8,372.5,85.0,295.1,491.6,347.4,471.2,312.7,589.9,339.2,361.1,50.1,660.6,629.6,423.9,532.2,655.0,463.7,758.3,399.3,39.0,666.3,684.9,328.2,494.7,504.2,482.0,367.8,301.2,377.3,488.3,641.4,430.0,649.1,534.4,404.7,531.4,702.1,653.2,456.5,636.9,282.3,249.2,523.5,299.4,528.9,460.5,678.4,689.4,607.6,328.0,547.3,498.3,370.2,246.6,309.9,512.8,524.1,504.2,363.9,496.5,256.8,690.8,293.2,402.7,270.8,699.9,328.3
BE,763.5,728.3,330.5,258.3,713.7,0.0,739.3,260.6,413.8,391.4,790.1,221.3,207.1,844.3,782.9,405.3,903.4,344.5,42.6,123.8,871.0,266.7,717.4,946.9,854.7,672.0,2859.6,229.2,363.5,224.3,347.9,271.7,233.2,330.8,836.8,628.5,785.6,925.9,682.6,928.9,317.4,891.6,797.6,833.7,324.8,810.7,782.5,266.8,272.3,858.2,988.1,294.6,892.0,798.8,692.9,411.6,745.2,351.7,750.8,320.1,539.6,740.9,660.3,132.5,305.8,774.1,540.1,253.8,914.9,357.1,398.7,672.3,265.1,283.7,808.2,502.6,221.3,435.6,745.5,781.2,896.8,441.9,240.2,437.9,121.0,290.5,884.7,217.7,300.9,252.0,337.0,235.7,628.1,768.7,279.6,759.4,797.1,737.5,67.4,161.3,308.2,847.5,217.0,506.2,731.9,766.1,829.4,229.9,918.2,221.3,843.9,306.2,776.3,289.6,691.0,795.6,616.6,298.7,726.1
BI,24.1,474.7,604.1,574.1,358.4,752.8,0.0,570.3,605.2,395.3,434.8,576.1,656.9,121.5,318.0,578.6,303.5,572.3,710.2,723.8,385.7,599.4,258.6,482.0,389.8,418.5,2923.8,676.9,481.8,627.1,621.5,555.4,658.0,574.8,201.7,273.2,78.3,345.1,491.0,464.0,602.0,310.8,197.7,410.0,635.6,154.1,271.1,601.6,605.1,372.9,523.2,611.8,427.1,443.5,439.3,563.5,491.6,543.1,373.4,564.1,483.4,505.3,305.0,732.5,603.8,90.5,466.7,605.0,334.1,722.6,387.7,317.0,630.6,616.4,208.3,429.2,576.1,449.7,428.5,181.3,431.9,456.0,623.0,364.5,721.0,606.3,284.8,603.3,633.7,634.8,528.4,623.1,426.5,309.9,595.4,159.5,199.5,127.1,706.1,761.3,581.8,362.2,619.2,376.6,430.9,248.1,344.1,584.7,320.6,576.1,244.0,568.4,317.5,593.4,437.4,69.3,420.8,664.2,472.5
CD,555.8,583.1,69.8,232.1,568.5,254.2,531.6,0.0,379.7,258.5,644.9,195.1,180.9,636.6,637.7,353.1,695.7,191.6,211.6,204.5,725.8,29.0,572.2,801.7,709.5,526.8,2714.4,131.3,256.3,68.9,87.2,51.0,156.3,130.1,629.1,483.3,577.9,718.2,537.4,783.7,96.7,683.9,589.9,688.5,87.1,603.0,574.8,240.6,34.7,713.0,842.9,33.9,746.8,653.6,547.7,338.0,600.0,317.6,605.6,119.4,394.4,595.7,515.1,213.2,85.1,566.4,332.4,39.4,707.2,215.1,253.4,527.1,123.1,46.0,600.5,294.9,195.1,224.2,600.3,573.5,751.6,230.5,74.4,230.2,201.7,264.3,677.0,191.5,63.3,86.2,302.9,57.5,482.9,623.5,253.4,551.7,589.4,529.8,231.0,242.0,47.5,702.3,190.8,298.5,586.7,640.3,684.2,203.7,710.5,195.1,636.2,208.5,631.1,28.9,545.8,587.9,471.4,156.7,580.9
CE,594.4,549.7,453.6,224.1,535.1,423.5,570.2,383.7,0.0,211.4,611.5,226.1,306.9,675.2,604.3,99.5,734.3,222.3,380.9,373.8,692.4,389.8,538.8,768.3,676.1,493.5,2681.0,326.9,184.9,347.4,472.8,394.8,308.0,467.6,667.7,449.9,616.5,756.8,504.0,750.3,440.5,722.5,628.5,655.1,447.9,641.6,613.4,251.6,395.4,679.6,809.5,417.7,713.4,620.2,514.3,108.7,566.6,72.0,572.2,456.9,361.0,562.3,481.7,382.5,428.9,605.0,371.0,376.9,745.8,480.2,220.1,493.7,388.2,406.8,639.1,333.5,226.1,257.0,566.9,612.1,718.2,263.3,363.3,268.8,371.0,256.3,715.6,280.8,424.0,375.1,86.8,358.8,449.5,590.1,245.4,590.3,628.0,568.4,400.3,411.3,431.3,668.9,269.2,337.1,553.3,587.5,650.8,234.7,749.1,226.1,674.8,218.4,597.7,411.8,512.4,626.5,443.8,421.8,547.5
CF,410.2,439.8,416.8,187.3,425.2,386.7,386.0,346.9,218.4,0.0,501.6,189.3,270.1,491.0,494.4,191.8,550.1,185.5,344.1,337.0,582.5,353.0,428.9,658.4,566.2,383.6,2571.1,290.1,95.0,310.6,434.2,358.0,271.2,303.7,483.5,340.0,432.3,572.6,394.1,640.4,403.7,538.3,444.3,545.2,411.1,457.4,429.2,214.8,358.6,569.7,699.6,380.9,603.5,510.3,404.4,176.7,456.7,156.3,462.3,293.0,251.1,452.4,371.8,345.7,392.1,420.8,111.0,340.1,561.6,443.4,7.6,383.8,351.4,370.0,454.9,73.5,189.3,167.7,457.0,428.9,608.3,173.4,326.5,103.5,334.2,219.5,531.4,216.5,387.2,338.3,141.6,322.0,339.6,480.2,208.6,406.1,443.8,384.2,365.8,374.5,394.5,559.0,232.4,152.9,443.4,494.7,540.9,197.9,564.9,189.3,490.6,181.6,487.8,377.5,402.5,442.3,328.1,385.0,437.6
CH,429.9,402.9,702.3,574.6,72.3,774.0,405.7,734.2,605.7,464.4,0.0,576.6,657.4,436.7,335.8,579.1,495.8,572.8,731.4,724.3,423.9,740.3,270.3,499.8,407.6,346.6,2878.9,677.4,482.3,697.9,719.7,653.6,658.5,673.0,429.2,153.5,484.1,526.0,375.2,481.8,700.2,560.8,354.4,421.7,798.4,555.9,676.9,602.1,745.9,411.1,541.0,768.2,444.9,8.6,367.5,564.0,419.8,543.6,385.1,662.3,411.6,433.5,122.5,733.0,702.0,496.3,604.6,727.4,536.1,830.7,471.7,111.4,738.7,757.3,400.6,567.1,576.6,554.4,440.2,373.6,449.7,560.7,713.8,502.4,721.5,606.8,477.1,603.8,774.5,725.6,528.9,709.3,354.7,321.6,595.9,371.8,601.3,532.9,750.8,761.8,680.0,400.4,619.7,570.7,442.6,319.0,382.3,585.2,596.5,576.6,436.3,568.9,329.2,763.2,365.6,475.1,343.2,772.3,400.7
CI,565.6,520.9,261.4,50.9,506.3,231.3,541.4,191.5,206.4,182.6,582.7,0.0,114.7,646.4,575.5,197.9,705.5,137.1,188.7,181.6,663.6,197.6,510.0,739.5,647.3,464.6,2652.2,134.7,156.1,155.2,280.6,202.6,115.8,275.4,638.9,421.1,587.7,728.0,475.2,721.5,248.3,693.7,599.7,626.3,255.7,612.8,584.6,41.4,203.2,650.8,780.7,225.5,684.6,591.4,485.5,204.2,537.8,144.3,543.4,264.7,332.2,533.5,452.9,190.3,236.7,576.2,342.2,184.7,717.0,288.0,191.3,464.9,196.0,214.6,610.3,304.7,0.0,228.2,538.1,584.3,689.4,234.5,171.1,240.0,178.8,76.7,686.8,88.6,231.8,182.9,129.6,166.6,420.7,561.3,72.2,561.5,599.2,539.6,208.1,219.1,239.1,640.1,77.0,308.3,524.5,558.7,622.0,42.5,720.3,0.0,646.0,98.8,568.9,219.6,483.6,597.7,409.2,229.6,518.7
CK,645.7,601.0,246.5,131.0,586.4,216.4,621.5,176.6,286.5,262.7,662.8,94.0,0.0,726.5,655.6,278.0,785.6,217.2,173.8,166.7,743.7,182.7,590.1,819.6,727.4,544.7,2732.3,145.2,236.2,140.3,265.7,187.7,105.9,260.5,719.0,501.2,667.8,808.1,555.3,801.6,233.4,773.8,679.8,706.4,240.8,692.9,664.7,139.5,188.3,730.9,860.8,210.6,764.7,671.5,565.6,284.3,617.9,224.4,623.5,249.8,412.3,613.6,533.0,175.4,221.8,656.3,422.3,169.8,797.1,273.1,271.4,545.0,181.1,199.7,690.4,384.8,94.0,308.3,618.2,664.4,769.5,314.6,156.2,320.1,163.9,163.2,766.9,90.4,216.9,168.0,209.7,151.7,500.8,641.4,152.3,641.6,679.3,619.7,193.2,204.2,224.2,720.2,89.7,388.4,604.6,638.8,702.1,102.6,800.4,94.0,726.1,178.9,649.0,204.7,563.7,677.8,489.3,214.7,598.8
CO,111.8,499.6,703.0,671.3,383.3,870.7,135.4,669.2,702.4,561.1,459.7,673.3,754.1,0.0,342.9,675.8,259.0,669.5,828.1,821.0,410.6,698.3,283.5,506.9,414.7,443.3,2924.0,774.1,579.0,794.6,720.4,654.3,755.2,673.7,78.8,298.1,93.8,289.2,515.9,488.9,700.9,311.0,222.6,434.9,734.5,117.8,286.6,698.8,704.0,397.8,548.1,710.7,452.0,468.4,464.2,660.7,516.5,640.3,398.3,663.0,508.3,530.2,329.9,829.7,702.7,106.0,565.6,703.9,299.3,821.5,568.4,341.9,729.5,715.3,163.8,528.1,673.3,548.6,453.4,136.8,456.8,554.9,721.9,463.4,818.2,703.5,240.3,700.5,732.6,733.7,625.6,722.0,451.4,334.8,692.6,166.4,163.2,142.6,847.5,858.5,680.7,387.1,716.4,475.5,455.8,273.0,369.0,681.9,284.3,673.3,199.5,665.6,342.4,690.7,462.3,84.8,439.9,763.1,497.4
CP,332.5,374.4,673.8,546.1,258.1,745.5,308.3,705.7,577.2,435.9,334.5,548.1,628.9,339.3,0.0,550.6,398.4,544.3,702.9,695.8,162.9,711.8,172.9,163.9,71.7,318.1,2850.4,648.9,453.8,669.4,691.2,625.1,630.0,644.5,331.8,172.9,386.7,428.6,405.3,145.9,671.7,463.4,257.0,324.3,769.9,458.5,579.5,573.6,717.4,171.5,205.1,739.7,109.0,343.2,339.0,535.5,391.3,515.1,287.7,633.8,383.1,405.0,204.7,704.5,673.5,398.9,576.1,698.9,438.7,802.2,443.2,216.7,710.2,728.8,303.2,538.6,548.1,525.9,342.8,276.2,113.8,532.2,685.3,473.9,693.0,578.3,379.7,575.3,746.0,697.1,500.4,680.8,326.2,224.2,567.4,274.4,503.9,435.5,722.3,733.3,651.5,110.0,591.2,542.2,345.2,79.4,142.7,556.7,499.1,548.1,338.9,540.4,231.8,734.7,337.1,377.7,314.7,743.8,372.2
CQ,554.0,509.3,445.6,216.1,494.7,415.5,529.8,375.7,120.0,172.4,571.1,218.1,298.9,634.8,563.9,0.0,693.9,214.3,372.9,365.8,652.0,381.8,498.4,727.9,635.7,453.0,2640.6,318.9,144.5,339.4,463.0,386.8,300.0,459.6,627.3,409.5,576.1,716.4,463.6,709.9,432.5,682.1,588.1,614.7,439.9,601.2,573.0,243.6,387.4,639.2,769.1,409.7,673.0,579.8,473.9,14.9,526.2,64.0,531.8,448.9,320.6,521.9,441.3,374.5,420.9,564.6,330.6,368.9,705.4,472.2,179.7,453.3,380.2,398.8,598.7,293.1,218.1,216.6,526.5,571.7,677.8,222.9,355.3,228.4,363.0,248.3,675.2,245.3,416.0,367.1,78.8,350.8,409.1,549.7,237.4,549.9,587.6,528.0,392.3,403.3,423.3,628.5,261.2,296.7,512.9,547.1,610.4,226.7,708.7,218.1,634.4,210.4,557.3,404.7,472.0,586.1,397.6,413.8,507.1
CZ,304.1,561.2,764.6,732.9,444.9,932.3,279.9,730.8,764.0,622.7,521.3,734.9,815.7,241.5,404.5,737.4,0.0,731.1,889.7,882.6,472.2,759.9,345.1,568.5,476.3,504.9,2868.6,835.7,640.6,856.2,782.0,715.9,816.8,735.3,234.0,359.7,336.7,30.1,462.4,550.5,762.5,64.9,284.2,391.4,796.1,223.2,359.8,760.4,765.6,459.4,609.7,772.3,513.6,530.0,525.8,722.3,578.1,701.9,434.2,724.6,569.9,566.9,391.5,891.3,764.3,302.0,627.2,765.5,40.2,883.1,630.0,403.5,791.1,776.9,95.1,589.7,734.9,610.2,409.9,122.5,518.4,616.5,783.5,525.0,879.8,765.1,18.6,762.1,794.2,795.3,687.2,783.6,513.0,367.3,754.2,228.0,165.6,265.4,909.1,920.1,742.3,448.7,778.0,537.1,491.7,334.6,430.6,743.5,100.6,734.9,59.4,727.2,374.9,752.3,523.9,327.7,501.5,824.7,559.0
DC,506.8,530.1,241.1,128.1,515.5,327.5,482.6,207.3,215.6,193.2,591.9,130.1,210.9,587.6,584.7,207.1,646.7,0.0,284.9,277.8,672.8,236.4,519.2,748.7,656.5,473.8,2661.4,230.9,165.3,251.4,258.5,258.4,212.0,337.5,580.1,430.3,528.9,669.2,484.4,730.7,304.1,634.9,540.9,635.5,294.5,554.0,525.8,155.6,242.1,660.0,789.9,248.8,693.8,600.6,494.7,213.4,547.0,153.5,552.6,326.8,341.4,542.7,462.1,286.5,292.5,517.4,283.4,246.8,658.2,384.2,200.5,474.1,292.2,253.4,551.5,245.9,130.1,175.2,547.3,524.5,698.6,181.5,267.3,181.2,275.0,160.3,628.0,157.3,270.7,279.1,138.8,262.8,429.9,570.5,149.4,502.7,540.4,480.8,304.3,315.3,218.8,649.3,173.2,249.5,533.7,591.3,631.2,138.7,661.5,130.1,587.2,144.6,578.1,228.8,492.8,538.9,418.4,325.8,527.9
