from_stop,AE,AK,AL,AT,AX,BJ,BK,BL,BO,BP,CB,CK,CL,CW,DJ,DK,DO,DP,DS,EO,ER,ES,FA,FK,FO,FP,FU,FZ,GH,GJ,GY,HH,HL,HR,HS,HY,IE,IH,IK,IV,JE,JN,JO,JP,JR,JS,JV,JW,KA,KF,KI,KK,KL,KO,LC,LG,LH,LJ,LR,LS,LT,LU,LX,LZ,MA,MI,MJ,MO,MQ,NF,NM,NS,NX,OA,OD,OM,ON,OO,OQ,OV,PC,PH,PK,PQ,PU,PW,QA,QD,QI,QJ,QQ,QZ,RC,RE,RJ,RN,RU,RV,RY,SJ,SP,SQ,SZ,TE,TH,TK,TU,UA,UJ,UL,VD,VM,VO,WA,WO,WU,WX,XA,XE,XK,XN,XP,XQ,XR,XZ,YC,YG,YN,ZA,ZD,ZM,ZO,ZY
AE,0.0,189.8,247.3,117.5,776.1,335.4,504.0,450.1,619.5,425.5,386.6,265.6,422.3,407.4,134.7,326.3,343.9,214.2,340.7,187.9,776.3,387.6,243.1,310.9,682.7,466.0,789.1,175.1,720.5,800.0,211.9,165.2,316.0,147.0,463.8,319.3,444.0,301.2,398.7,456.2,378.6,844.2,429.5,160.8,375.7,412.4,24.1,220.9,495.9,365.6,228.5,362.7,87.0,268.4,710.9,484.1,678.5,432.9,368.6,466.4,369.5,435.4,334.2,160.5,727.0,232.7,329.5,1235.5,358.4,506.3,649.7,292.3,102.2,672.0,231.2,418.1,373.1,243.8,433.0,627.1,241.5,581.9,119.7,740.6,299.3,155.9,277.6,35.3,291.6,675.6,114.0,297.5,419.8,815.7,72.6,451.8,23.0,774.0,273.8,379.0,299.2,222.8,458.3,327.5,276.1,408.1,43.8,117.1,238.2,263.8,396.8,495.1,731.3,297.9,201.1,292.5,785.4,330.9,103.5,264.3,377.6,68.9,53.1,106.8,390.0,384.5,230.8,288.0,171.2,600.1,737.7,628.2,136.4
AK,146.9,0.0,260.3,231.3,846.4,350.2,557.7,466.1,689.8,380.6,359.7,281.6,438.3,423.4,150.7,434.4,390.9,131.8,304.5,260.2,846.6,360.7,197.0,296.7,728.5,527.1,859.4,232.7,780.6,871.3,122.6,222.8,424.1,312.2,436.9,374.3,552.1,409.3,445.3,472.2,394.6,915.5,379.4,117.8,483.8,428.4,137.9,327.7,557.0,315.5,226.9,312.6,55.3,376.5,781.2,500.1,754.8,448.9,396.4,518.7,342.6,451.4,299.3,232.8,797.3,276.7,283.4,1306.6,466.5,522.3,720.0,313.5,146.2,717.8,141.9,526.2,317.1,217.1,494.1,697.4,152.2,652.2,229.5,811.9,253.2,264.0,213.2,149.1,395.0,745.9,223.8,405.7,473.5,887.0,186.4,512.9,96.7,798.7,243.2,398.6,215.4,160.9,431.4,353.3,385.9,424.1,169.9,225.2,280.4,213.7,512.4,548.8,801.6,247.8,261.3,221.9,855.7,345.7,129.5,263.2,327.5,125.9,125.4,53.0,451.1,431.1,229.2,204.2,243.5,670.4,821.7,698.5,246.2
AL,182.5,341.8,0.0,169.0,633.1,487.4,344.4,625.0,476.5,515.4,491.9,417.6,574.3,559.4,286.7,169.9,184.8,366.2,492.7,84.7,633.3,539.6,395.1,441.0,515.2,618.0,646.1,353.6,567.3,658.0,363.9,343.7,136.2,234.1,557.0,161.0,287.6,144.8,232.0,608.2,530.6,702.2,581.5,312.8,219.3,564.4,206.7,171.7,647.9,517.6,380.5,507.6,239.0,146.5,567.9,636.1,541.5,584.9,212.2,618.4,521.5,587.4,486.2,141.1,584.0,367.9,481.5,1093.3,202.0,658.3,506.7,444.3,237.4,504.5,383.2,261.7,461.4,395.8,585.0,484.1,393.5,438.9,245.9,598.6,451.3,191.0,429.6,217.9,176.1,532.6,240.2,192.4,260.2,673.7,192.1,603.8,175.0,585.4,446.4,530.2,451.2,374.8,552.4,107.5,140.2,560.1,226.4,160.7,325.3,415.8,299.1,335.5,588.3,449.9,48.0,371.9,642.4,482.9,283.5,416.3,529.6,204.1,144.0,258.8,542.0,217.8,382.8,440.0,97.2,457.1,608.4,485.2,173.3
AT,148.9,308.2,192.3,0.0,731.2,453.8,438.1,568.5,574.6,546.4,505.0,384.0,540.7,525.8,253.1,271.3,288.9,332.6,459.1,176.9,731.4,506.0,361.5,493.2,613.3,584.4,744.2,299.2,665.4,770.1,330.3,289.3,261.0,247.7,582.2,271.1,389.0,246.2,325.7,574.6,497.0,814.3,547.9,279.2,320.7,530.8,173.1,187.9,614.3,484.0,346.9,481.1,205.4,195.4,666.0,602.5,639.6,551.3,313.6,584.8,487.9,553.8,452.6,211.3,682.1,356.8,447.9,1191.4,303.4,624.7,604.8,410.7,226.3,602.6,349.6,407.4,513.6,362.2,551.4,582.2,359.9,537.0,196.6,710.7,417.7,204.6,396.0,184.3,243.4,630.7,190.9,286.1,353.9,785.8,158.5,570.2,141.4,744.1,392.2,582.4,417.6,341.2,576.7,272.5,231.2,526.5,185.9,127.1,338.9,382.2,392.8,429.2,686.4,416.3,146.1,410.9,740.5,449.3,227.6,382.7,496.0,193.0,110.4,225.2,508.4,311.5,349.2,406.4,160.2,555.2,707.8,583.3,163.6
AX,780.1,955.2,637.0,758.8,0.0,935.0,546.9,948.8,286.5,1033.8,994.9,888.7,897.9,929.7,884.3,558.0,557.6,961.3,958.9,608.6,127.2,995.9,851.4,996.8,220.4,1014.1,144.4,885.1,164.8,173.9,923.5,875.2,529.7,705.9,1072.1,465.0,511.5,532.9,530.8,842.1,921.3,205.2,1019.3,920.2,607.4,845.3,804.3,613.7,881.7,973.9,896.9,971.0,835.6,540.1,93.1,813.9,260.6,905.7,572.3,991.1,977.8,958.9,953.7,738.7,77.9,769.5,937.8,981.4,590.1,842.2,217.8,925.9,812.2,147.8,942.8,516.2,1017.2,852.1,981.1,235.0,953.1,204.9,782.5,153.0,907.6,662.8,921.8,815.5,528.2,109.4,776.8,520.4,462.7,230.0,789.7,999.9,772.6,186.4,882.1,987.3,1007.7,953.2,1066.6,558.4,628.8,868.0,744.0,726.0,797.1,872.1,483.6,538.0,82.2,906.2,640.8,927.7,136.3,939.5,813.5,872.6,985.9,778.9,741.6,855.4,938.1,477.2,899.2,1014.5,625.1,295.3,97.2,295.2,749.5
BJ,347.0,257.4,484.5,421.5,992.8,0.0,767.3,240.4,815.1,305.9,214.1,164.5,235.7,197.7,205.9,628.7,615.1,214.1,120.9,484.4,996.8,283.5,182.9,287.6,855.6,246.6,1014.0,344.7,898.9,978.4,297.5,334.8,606.2,500.5,194.9,559.7,743.2,603.6,667.6,266.6,168.9,912.1,143.8,304.7,678.1,184.7,354.3,518.8,276.5,104.6,210.4,88.5,307.2,543.9,906.5,274.4,880.1,223.2,620.6,238.2,265.4,225.7,55.6,457.0,947.5,289.2,117.8,1358.5,660.8,306.0,845.3,72.5,293.6,881.9,316.8,747.9,148.1,165.6,213.6,822.7,327.1,777.5,429.8,919.0,87.6,499.7,262.1,365.5,532.0,871.2,424.1,628.0,694.4,883.6,402.8,232.4,320.9,952.4,222.4,318.8,298.5,305.0,189.4,577.5,586.2,221.5,374.1,413.2,472.1,203.6,715.3,758.4,951.8,188.6,485.5,323.8,1005.9,4.5,351.7,224.7,179.3,330.1,349.6,327.0,170.6,668.1,212.7,287.9,467.7,795.7,916.1,823.8,446.5
BK,344.2,526.6,230.1,326.5,519.4,649.1,0.0,763.8,418.4,659.1,635.6,579.3,760.4,721.1,448.4,98.8,115.9,558.0,657.7,201.7,523.4,639.2,550.2,584.7,382.2,779.7,540.6,452.8,425.5,505.0,511.4,442.9,122.8,281.0,701.6,204.4,91.3,96.1,105.9,704.6,692.3,549.2,736.6,497.6,190.8,639.5,368.4,239.2,744.2,672.7,542.2,651.3,434.7,246.7,507.3,676.4,509.7,768.2,123.1,853.6,621.1,749.1,652.5,302.8,474.1,510.4,636.6,1092.3,130.9,704.7,554.5,624.7,379.9,408.5,530.7,22.8,605.1,550.9,746.7,549.0,541.0,503.8,350.2,445.6,606.4,237.9,629.8,379.6,294.7,422.0,344.5,95.5,42.5,520.7,343.1,765.5,336.7,479.0,590.1,673.9,595.6,541.1,696.1,151.5,221.9,730.5,329.8,293.7,372.2,570.9,58.7,117.8,478.4,605.0,233.9,515.6,532.5,644.6,381.2,610.1,684.7,346.6,305.7,454.5,703.7,134.5,544.5,602.4,218.2,522.0,442.7,427.1,317.2
BL,460.6,447.3,590.0,535.1,896.7,234.8,671.2,0.0,719.0,520.5,423.6,275.3,154.4,212.1,311.4,721.7,721.3,414.3,338.5,599.7,900.7,498.1,378.7,438.4,759.5,215.4,917.9,473.7,802.8,882.3,461.3,455.7,693.4,510.2,411.3,530.0,667.7,696.6,637.9,198.6,63.9,816.0,305.5,418.3,704.6,218.0,483.3,533.2,119.0,321.9,428.6,305.8,420.8,496.2,810.4,108.8,784.0,76.9,736.0,192.4,480.0,290.6,272.9,653.9,851.4,418.2,335.4,1262.4,719.5,182.9,749.2,290.1,422.6,785.8,488.7,694.1,337.5,390.1,182.4,726.6,499.0,681.4,586.2,822.9,305.2,537.6,477.7,494.5,484.3,775.1,578.1,598.3,626.4,787.5,518.0,201.2,434.5,856.3,440.0,514.6,499.3,480.3,406.7,722.1,649.7,133.0,541.0,526.8,549.1,399.4,647.3,662.3,855.7,404.6,599.1,550.0,909.8,231.2,480.7,439.3,396.9,459.1,463.2,440.6,139.4,640.9,430.9,488.1,582.6,699.6,820.0,727.7,599.1
BO,606.4,781.5,463.3,585.1,265.6,761.3,373.2,775.1,0.0,860.1,821.2,715.0,724.2,756.0,710.6,384.3,383.9,787.6,785.2,434.9,269.6,822.2,677.7,823.1,128.4,840.4,286.8,711.4,171.7,251.2,749.8,701.5,356.0,532.2,898.4,291.3,337.8,359.2,357.1,668.4,747.6,295.4,845.6,746.5,433.7,671.6,630.6,440.0,708.0,800.2,723.2,797.3,661.9,378.0,253.5,640.2,255.9,732.0,398.6,817.4,804.1,785.2,780.0,565.0,220.3,595.8,764.1,1123.8,416.4,668.5,300.7,752.2,638.5,154.7,769.1,342.5,843.5,678.4,807.4,335.4,779.4,263.7,608.8,191.8,733.9,489.1,748.1,641.8,366.1,168.2,603.1,346.7,289.0,266.9,616.0,826.2,598.9,225.2,708.4,813.6,834.0,779.5,892.9,384.7,455.1,694.3,570.3,552.3,623.4,698.4,309.9,364.3,224.6,732.5,467.1,754.0,278.7,765.8,639.8,698.9,812.2,605.2,567.9,681.7,764.4,303.5,725.5,840.8,451.4,308.4,188.9,8.7,575.8
BP,377.3,289.4,432.7,459.2,1016.0,336.0,712.8,529.1,835.8,0.0,148.9,321.7,480.9,466.0,220.0,560.0,529.9,243.6,300.5,498.5,1017.5,152.4,193.0,141.2,876.3,523.1,1034.7,356.2,922.1,1001.6,236.3,346.3,513.1,493.1,225.2,586.4,677.4,537.4,689.7,512.3,434.7,932.8,300.8,321.3,609.4,468.5,368.3,504.5,457.9,236.9,242.4,234.0,321.3,561.9,929.7,540.2,900.8,489.0,544.6,514.7,131.8,491.5,297.8,473.6,968.2,300.7,281.9,1379.2,592.1,562.4,866.0,312.1,305.1,905.1,258.1,682.1,308.2,195.1,461.3,843.4,265.9,800.7,441.3,939.7,249.2,505.0,186.3,377.0,561.2,891.9,435.6,650.1,628.6,904.3,416.8,508.9,337.5,973.1,146.6,82.2,152.1,229.2,220.6,544.3,600.2,464.2,385.6,440.9,461.4,137.6,612.5,706.4,972.5,169.2,433.7,173.3,1026.6,329.0,363.2,169.1,248.9,344.1,363.7,341.1,449.6,675.5,242.2,161.4,481.8,816.4,936.8,844.5,456.6
