from_stop,AA,AB,BC,BH,BQ,BR,BV,BX,CA,CW,DC,DI,DS,EZ,FD,FG,FJ,FU,FZ,GA,GD,GE,GP,GS,GW,GX,IA,IM,IQ,JJ,JL,KI,KR,LF,LU,MM,MN,MV,MY,NI,NK,NX,OB,PA,PP,PS,PT,PZ,QA,RC,RH,RK,SG,TM,TQ,UK,UP,UV,UY,VE,VI,VK,WE,XO,XZ,YB,YT
AA,0.0,191.6,224.0,247.4,57.1,218.9,57.9,145.6,171.4,59.1,163.2,230.9,121.1,117.2,160.4,190.9,226.6,199.1,147.2,29.4,129.7,169.1,143.9,108.4,35.7,174.1,163.0,162.2,64.1,129.8,152.5,145.9,70.6,78.8,212.3,132.8,154.7,169.9,94.9,162.1,76.2,154.8,65.0,120.9,67.1,84.5,188.3,195.4,177.9,163.5,173.0,140.0,163.4,1599.4,160.0,157.9,67.5,25.4,51.6,164.0,155.9,206.7,25.2,158.3,199.7,152.6,241.1
AB,194.0,0.0,32.3,465.1,256.3,411.5,213.7,363.8,387.4,216.4,88.3,338.9,126.7,335.9,385.5,406.9,335.0,417.8,363.6,204.7,164.0,385.5,95.3,326.6,251.1,392.8,325.8,91.5,258.1,355.1,306.8,175.1,262.2,151.4,80.1,352.5,182.4,61.5,289.0,88.2,294.4,114.2,231.3,338.7,224.4,128.8,44.2,127.1,90.0,57.5,99.6,131.5,388.7,1792.0,385.3,149.4,258.8,224.6,252.5,382.7,372.3,159.3,164.6,101.0,419.9,369.0,183.8
BC,197.6,24.2,0.0,469.3,254.8,454.5,202.4,343.3,398.5,203.6,55.5,348.5,101.7,339.1,358.1,418.0,344.2,421.0,374.3,227.1,162.5,396.2,73.0,306.1,233.4,396.0,323.3,79.5,261.8,351.7,312.8,178.7,268.3,140.1,108.9,364.2,187.5,21.8,292.6,54.4,273.9,143.0,238.4,318.6,211.6,123.1,11.5,87.7,77.2,44.7,65.3,120.6,385.3,1872.0,381.9,138.5,247.2,223.1,249.3,361.7,383.0,117.0,169.7,68.6,421.6,379.7,151.4
BH,283.3,427.1,458.7,0.0,318.2,91.8,300.7,175.4,140.1,418.3,446.6,258.2,408.0,132.2,204.5,191.6,252.2,153.1,194.9,272.2,395.6,216.2,416.7,180.2,312.7,134.9,217.1,410.1,211.1,182.0,200.9,411.8,204.6,353.3,444.9,156.1,420.3,480.6,196.5,445.5,216.5,431.8,263.4,189.7,309.9,327.3,470.3,465.7,425.8,411.1,456.4,417.0,86.6,1609.5,211.9,434.9,244.9,253.7,225.5,157.0,203.0,494.7,308.6,441.7,251.6,200.3,524.5
BQ,204.3,291.7,317.9,190.2,0.0,161.7,159.9,157.4,114.2,161.1,321.7,91.8,257.3,60.0,193.8,133.7,87.5,141.9,90.0,131.4,254.8,111.9,302.4,109.5,217.8,116.9,70.6,269.3,202.1,72.6,60.1,271.0,208.6,212.5,304.1,85.1,279.8,339.8,37.7,320.6,144.9,291.0,122.6,171.7,169.1,186.5,329.5,324.9,285.0,270.6,331.5,276.2,106.2,1542.2,102.8,294.1,104.1,187.5,189.6,139.0,98.7,365.2,229.6,316.8,142.5,95.4,399.6
BR,265.4,410.7,435.4,94.5,300.3,0.0,277.4,152.1,60.9,395.3,428.7,161.7,384.7,109.2,181.2,117.4,156.3,108.3,128.2,248.9,372.3,150.1,392.4,157.2,295.1,111.6,193.8,386.8,217.7,158.7,174.1,388.5,211.8,330.0,421.6,132.8,397.3,457.3,173.2,427.6,192.6,408.5,268.6,166.4,286.6,296.8,446.9,442.4,402.5,388.1,438.5,393.7,63.3,1517.3,188.9,411.6,266.8,235.2,233.0,133.7,134.9,476.8,290.7,423.8,228.6,133.6,506.6
BV,122.1,246.5,285.9,280.4,157.0,271.4,0.0,150.0,220.9,180.6,285.6,321.7,228.0,172.3,172.1,271.2,316.3,232.7,288.2,154.6,317.3,310.1,249.1,112.8,151.8,189.5,256.9,281.1,86.5,221.8,240.7,328.1,93.7,248.4,274.2,137.2,342.3,307.8,236.3,283.8,80.6,218.9,162.2,125.3,9.1,264.9,297.4,317.6,292.9,309.2,295.2,246.9,197.0,1664.3,252.0,264.8,123.5,91.9,75.1,168.4,296.9,333.5,147.4,280.5,291.7,293.6,363.3
BX,144.5,345.4,331.8,163.0,179.4,156.4,291.2,0.0,116.1,274.4,307.8,215.8,261.4,107.3,59.0,166.4,211.5,127.9,183.4,177.0,268.7,205.3,288.5,68.1,158.0,39.5,186.2,283.2,128.9,156.8,175.7,284.9,135.4,216.6,368.0,92.5,293.7,320.4,171.3,306.7,71.7,312.7,209.6,14.2,300.4,232.1,332.9,340.0,298.9,284.5,317.6,280.3,79.0,1675.8,187.0,298.2,171.8,114.3,116.4,18.4,192.1,351.3,169.8,302.9,226.7,188.8,385.7
CA,218.3,356.8,388.3,143.0,253.2,81.1,230.1,118.2,0.0,348.2,381.9,100.7,327.7,62.1,147.3,67.1,95.3,67.6,67.2,201.6,325.2,89.1,352.0,110.1,248.0,77.7,146.5,338.9,202.7,111.6,130.3,336.0,208.2,282.9,374.9,85.7,350.2,417.5,126.1,380.0,145.5,361.4,193.0,132.5,239.3,256.7,399.8,395.3,355.4,341.0,391.4,346.6,67.0,1568.0,141.8,364.5,219.7,188.1,191.3,99.8,73.9,429.7,243.6,376.7,181.5,72.6,459.5
CW,38.8,315.2,226.1,245.1,55.7,217.5,99.8,162.2,170.0,0.0,202.5,148.7,165.6,115.8,184.3,189.5,143.3,197.7,145.8,72.8,163.0,167.7,165.8,165.3,50.5,172.7,132.1,176.7,80.7,128.4,116.1,179.2,86.6,110.9,212.7,140.9,188.0,208.8,93.5,200.5,92.8,189.4,103.9,137.5,109.0,132.7,227.3,234.3,193.2,178.8,211.9,174.6,162.0,1598.0,158.6,192.5,48.1,42.0,69.3,194.8,152.5,250.2,64.1,197.2,198.3,151.2,280.0
DC,183.8,86.7,61.9,454.2,241.0,442.1,259.0,329.5,392.1,260.2,0.0,343.0,176.4,324.5,352.1,411.6,337.8,399.4,367.5,214.8,148.7,389.8,39.8,374.2,236.3,381.8,314.8,145.4,248.0,337.5,298.4,159.5,254.0,173.8,171.4,350.0,174.1,34.8,320.2,2.3,260.5,205.5,306.1,304.8,267.8,160.1,47.3,31.9,139.7,106.7,9.8,182.6,371.1,1874.1,367.3,200.5,207.5,209.8,235.6,404.9,374.6,87.9,155.9,35.2,407.0,373.0,117.6
