from_stop,AB,AN,AZ,BA,BB,BH,BI,DP,DQ,DU,ED,EJ,EQ,FI,GD,GG,GL,GU,IE,IU,IZ,JK,KU,KV,KW,LK,LN,LY,MI,MJ,MN,NA,NC,NE,NM,NQ,NZ,OD,OH,OW,OZ,PN,PU,QI,QN,QV,QY,RW,SK,SM,SP,SU,TJ,TP,TW,TX,UJ,UW,VH,VQ,WT,XH,XX,YC,YU,ZG,ZH,ZP,ZY
AB,0.0,364.0,179.1,406.7,310.6,343.8,380.4,377.7,427.3,342.2,336.3,215.9,486.6,208.9,370.0,139.2,401.4,322.2,381.2,309.6,335.8,46.3,449.8,259.0,354.7,46.3,201.2,126.1,294.0,387.4,123.6,151.0,56.2,382.0,324.0,489.3,204.6,282.2,540.0,216.1,401.9,454.1,192.7,306.5,424.4,176.5,445.0,504.7,415.7,434.3,188.8,389.3,177.2,304.2,425.1,266.7,331.2,83.8,58.7,472.0,121.8,410.1,444.5,186.8,1206.5,118.4,221.4,190.2,327.5
AN,608.6,0.0,328.4,415.3,284.6,221.2,356.6,187.1,168.9,318.4,195.7,358.3,237.8,389.6,346.2,443.1,200.8,260.0,406.3,285.8,215.2,563.8,251.7,337.3,363.3,563.8,406.5,448.2,268.0,219.3,487.1,400.8,536.1,461.1,201.4,132.3,474.4,312.9,309.2,379.9,212.6,335.0,559.4,296.7,433.0,363.9,255.7,318.4,184.9,185.5,436.8,337.3,447.0,280.4,151.1,304.6,181.5,489.7,607.1,225.4,425.7,151.7,255.2,405.9,1393.2,455.4,352.9,460.0,303.7
AZ,262.9,184.8,0.0,237.1,131.4,164.6,201.2,198.5,248.1,162.2,156.5,36.7,325.9,114.3,280.2,158.2,256.2,104.6,248.3,130.4,156.6,235.3,280.2,109.9,185.1,235.3,74.1,121.0,120.4,224.7,120.2,72.3,251.2,305.7,146.4,325.3,145.9,112.6,370.4,95.0,232.3,291.7,292.7,136.9,254.8,49.9,275.4,342.3,238.9,264.7,240.0,226.8,118.5,124.1,245.9,87.5,152.0,161.2,279.4,302.4,141.0,230.9,275.4,150.7,1222.1,126.9,51.3,131.5,148.3
BA,357.4,257.3,166.9,0.0,203.9,237.1,175.6,194.7,295.1,137.4,199.4,178.8,255.8,272.1,165.2,310.8,170.6,91.4,225.3,104.8,211.1,329.8,219.0,77.9,124.9,329.8,147.1,214.2,187.3,156.6,253.8,221.9,371.4,280.1,217.3,258.5,311.8,53.5,309.2,247.6,171.1,277.7,387.2,75.7,17.6,187.2,214.2,276.9,184.9,203.5,393.2,212.8,284.4,99.4,307.5,107.8,213.6,255.7,373.9,241.2,293.4,277.9,213.7,273.6,1256.6,221.4,125.5,297.4,122.7
BB,462.3,53.3,199.3,277.2,0.0,33.1,236.5,67.0,116.6,198.3,25.6,229.2,167.5,336.9,226.1,313.5,92.0,139.9,286.2,165.7,47.5,434.7,113.6,199.2,225.2,434.7,268.4,319.1,147.9,99.2,320.6,271.7,406.5,341.0,13.3,179.9,345.3,174.8,230.6,250.3,74.5,196.9,506.7,158.6,294.9,234.8,117.6,180.3,106.3,115.2,384.1,217.1,317.9,160.3,114.4,170.5,20.5,360.6,478.8,152.9,296.1,99.4,117.6,276.3,1377.9,326.3,223.8,330.9,183.6
BH,523.4,20.1,256.1,321.9,199.1,0.0,154.3,101.6,83.4,232.1,124.9,286.0,134.0,370.5,166.2,431.5,97.3,174.5,318.2,200.3,165.5,472.6,166.2,243.9,269.9,495.8,313.1,380.2,188.1,133.8,376.4,328.5,524.5,375.6,150.9,158.1,402.1,219.5,205.7,368.3,127.1,249.5,579.6,203.3,339.6,306.1,170.2,232.9,81.4,82.0,457.0,251.7,374.7,194.9,171.3,179.3,138.5,419.6,539.9,121.9,414.3,66.2,169.7,406.9,1422.6,387.4,291.5,387.7,218.2
BI,369.0,149.4,176.7,167.5,108.8,129.2,0.0,79.7,180.1,92.0,84.4,188.6,147.9,281.9,132.6,320.6,85.5,67.8,186.0,61.2,123.8,325.1,104.0,96.4,115.5,341.4,158.7,224.0,92.2,76.8,264.6,231.7,383.0,234.7,109.2,177.7,323.4,65.1,194.2,259.2,56.1,199.8,398.8,48.9,185.2,197.0,99.2,160.1,69.9,88.5,369.6,110.8,294.2,54.0,192.5,84.2,120.1,265.5,392.4,128.4,303.4,162.9,98.7,320.2,1268.2,233.0,137.1,309.0,79.1
DP,417.4,150.8,154.4,222.9,97.4,130.6,169.4,0.0,214.1,131.2,123.1,184.3,265.0,268.8,159.0,289.5,182.4,72.8,219.1,98.6,104.6,389.8,211.1,144.9,170.9,389.8,228.6,274.2,80.8,32.1,275.7,226.8,382.5,273.9,110.8,270.3,300.4,120.5,321.0,226.3,172.0,239.0,447.2,104.3,240.6,189.9,215.1,289.6,196.7,212.7,363.0,150.1,273.0,93.2,211.9,77.6,118.0,315.7,433.9,250.4,272.1,196.9,214.6,252.3,1323.6,281.4,178.9,286.0,116.5
DQ,447.8,105.8,172.6,246.3,115.6,85.6,187.6,18.1,0.0,149.4,40.8,202.5,146.3,287.0,177.2,348.0,61.1,91.0,237.3,116.8,82.0,420.2,82.7,168.3,194.3,420.2,237.5,304.6,99.0,50.3,293.9,245.0,441.0,292.1,65.8,149.0,318.6,143.9,199.7,284.8,43.6,166.0,477.6,127.7,264.0,208.1,86.7,149.4,75.4,94.0,418.6,168.2,291.2,111.4,148.9,95.8,55.0,346.1,464.3,131.7,330.6,151.9,86.7,310.8,1347.0,311.8,197.1,304.2,134.7
DU,414.1,191.1,224.4,212.6,137.7,170.2,68.5,146.5,254.4,0.0,162.8,234.8,216.5,333.5,163.3,371.0,157.4,131.1,225.0,106.3,144.9,385.8,170.8,133.9,160.6,386.5,203.8,272.2,126.7,105.9,304.0,284.6,428.1,281.6,145.2,208.4,368.5,110.2,261.0,307.8,115.4,246.7,436.4,94.0,230.3,228.9,166.0,221.2,138.7,158.7,414.7,158.5,333.6,100.9,251.5,129.3,150.8,310.3,423.1,192.3,353.8,237.2,164.8,357.7,1313.3,270.6,182.2,354.1,124.2
ED,453.0,64.9,192.9,251.5,138.8,44.7,83.9,41.3,128.2,180.1,0.0,222.2,160.4,335.2,87.9,306.5,101.3,114.2,258.5,140.0,41.1,425.4,87.9,173.5,199.5,425.4,242.7,311.1,127.8,88.8,312.6,259.3,400.1,315.3,26.5,160.4,338.9,149.1,204.9,243.9,48.8,171.2,499.7,132.9,269.2,242.9,91.9,154.6,82.6,102.6,377.7,192.0,310.9,132.9,107.4,119.0,13.5,349.2,469.5,136.9,289.3,111.0,91.9,388.4,1352.2,317.6,221.1,324.5,157.9
EJ,303.6,206.3,48.3,240.6,152.9,186.1,179.6,259.4,269.6,184.5,178.0,0.0,320.5,162.7,283.7,131.9,259.7,156.1,269.8,151.9,178.1,276.0,283.7,113.4,188.6,276.0,122.5,160.4,136.3,160.0,168.6,120.7,224.9,327.2,167.9,328.8,194.3,116.1,373.9,68.7,235.8,295.2,333.4,140.4,258.3,98.3,278.9,345.8,249.6,268.2,288.4,230.4,166.9,144.8,267.4,109.0,173.5,201.9,320.1,305.9,114.7,252.4,278.4,213.8,1270.5,167.6,54.8,179.9,169.8
EQ,466.3,175.4,266.9,264.8,203.2,146.3,99.0,105.7,238.7,191.4,110.7,288.0,0.0,381.3,13.1,408.7,120.6,178.6,227.8,158.5,151.6,415.5,22.0,177.9,212.8,438.7,256.0,323.4,186.9,152.9,354.8,331.1,480.3,288.0,128.1,193.1,420.7,162.4,238.2,354.4,54.9,138.1,496.1,146.2,282.5,296.4,44.0,97.8,107.0,132.8,488.2,166.6,384.4,153.4,218.8,181.5,124.9,364.9,473.9,161.3,391.5,221.5,34.6,410.9,1364.1,321.4,234.4,406.3,176.4
FI,439.4,259.2,155.2,303.3,180.0,234.3,208.9,254.9,309.2,219.1,212.9,185.1,369.0,0.0,296.8,227.9,314.9,153.2,292.2,179.0,233.0,432.4,301.5,225.3,251.3,443.5,292.4,346.0,169.0,148.4,312.2,302.6,320.9,354.3,216.1,368.7,382.2,200.9,418.5,164.7,257.7,314.7,385.5,184.7,321.0,268.2,305.5,363.5,296.2,311.2,267.6,225.7,354.8,171.9,240.8,136.1,194.6,384.1,433.2,340.8,210.7,292.0,300.3,314.5,1367.2,346.3,184.4,367.8,196.9
GD,446.4,155.5,255.9,244.9,183.3,135.3,77.3,85.8,218.8,170.4,90.5,267.8,164.9,361.1,0.0,397.7,79.7,158.7,256.5,138.6,131.7,418.8,0.0,166.9,192.9,418.8,236.1,303.2,166.7,132.7,343.8,310.9,460.4,313.9,117.1,173.2,400.8,142.5,218.3,334.5,34.7,128.2,476.2,126.3,262.6,261.2,44.1,106.8,96.0,112.6,468.3,190.1,373.4,131.5,198.6,161.6,104.7,342.6,462.9,150.3,380.5,201.6,43.6,390.7,1345.6,310.4,214.5,386.4,156.5
GG,22.4,386.5,201.6,429.2,333.1,366.3,368.2,400.2,449.8,372.2,358.2,238.4,508.8,497.1,472.3,0.0,448.3,344.7,401.1,332.1,358.3,67.3,472.3,281.5,377.2,68.8,223.7,147.1,322.1,416.8,147.1,173.5,78.7,404.5,348.1,517.4,227.1,304.7,562.5,238.6,424.4,481.4,93.0,329.0,446.9,213.5,467.5,527.2,440.2,456.8,472.3,411.8,199.7,325.0,447.6,289.2,353.7,106.3,81.2,496.7,144.5,432.6,467.0,137.6,1161.4,140.9,243.9,212.7,350.0
GL,451.2,178.3,260.7,249.7,192.8,163.6,92.7,107.6,105.0,189.0,113.3,267.3,85.1,365.9,78.9,418.4,0.0,163.8,256.0,143.4,154.5,395.1,104.1,166.4,197.7,423.6,240.9,308.0,176.2,169.3,323.4,315.7,465.2,293.5,134.6,58.4,405.6,147.3,119.1,341.4,65.0,162.2,481.0,131.1,267.4,281.0,108.1,145.6,11.1,27.8,453.1,169.6,353.0,138.0,196.2,166.4,133.0,349.5,481.5,70.5,387.4,87.8,82.4,390.2,1350.4,320.7,219.3,391.2,161.3
GU,356.1,147.1,93.1,150.0,93.7,126.9,96.5,133.6,234.0,58.3,138.3,123.0,194.7,207.5,86.1,228.2,109.5,0.0,146.2,25.7,150.0,328.5,157.9,72.0,98.0,328.5,167.3,212.9,77.1,95.5,214.4,165.5,321.2,201.0,107.1,197.4,239.1,47.6,248.1,165.0,110.0,166.1,385.9,31.4,167.7,128.6,153.1,216.7,123.8,142.4,301.7,77.2,211.7,20.3,246.4,16.3,152.5,254.4,372.6,180.1,210.8,216.8,152.6,191.0,1250.7,220.1,117.6,224.7,43.6
IE,390.8,342.3,248.7,244.4,249.3,322.1,196.0,272.6,405.6,157.8,277.3,278.6,356.6,363.1,206.9,383.8,266.5,155.5,0.1,129.5,318.5,363.2,206.9,195.2,221.2,363.2,245.3,297.5,232.7,319.5,279.2,298.6,404.8,82.0,303.9,360.0,394.7,170.8,323.1,320.6,221.5,128.4,407.4,154.6,262.1,270.4,174.0,192.2,273.6,299.4,399.8,84.4,367.3,137.9,385.4,171.9,291.5,289.1,407.3,344.2,366.6,388.4,175.2,326.1,1155.6,304.7,235.7,380.3,143.1
IU,345.1,173.1,119.1,143.6,119.7,152.9,70.7,147.2,236.4,32.5,145.4,149.0,208.3,233.5,60.3,254.2,123.1,25.9,120.4,0.0,177.5,317.5,205.6,65.6,91.6,317.5,134.8,201.9,103.1,123.0,240.4,191.5,347.2,175.2,133.1,211.0,265.1,41.2,261.7,191.0,123.6,140.3,374.9,25.0,161.3,154.6,172.7,190.9,137.4,156.0,327.7,51.4,237.7,8.3,234.2,42.3,140.3,243.4,361.6,193.7,236.8,219.2,172.7,217.0,1244.3,209.1,113.2,250.7,17.8
IZ,414.7,96.1,151.7,302.0,166.8,75.9,236.6,91.8,159.4,198.4,50.4,181.6,210.3,266.1,226.2,290.3,116.8,140.0,286.3,165.8,0.0,387.1,138.4,224.0,250.0,387.1,225.9,271.5,150.2,124.0,273.0,224.1,383.3,341.1,56.1,204.7,297.7,199.6,255.4,227.1,99.3,226.5,444.5,183.4,319.7,187.2,142.4,205.1,131.1,158.0,383.6,217.2,270.3,160.4,116.8,122.9,36.2,313.0,431.2,195.7,272.9,142.2,142.4,253.1,1402.7,278.7,176.2,283.3,183.7
JK,50.7,372.5,197.7,361.8,329.2,352.3,361.5,392.4,435.8,322.5,385.3,224.4,450.6,227.5,416.7,147.7,386.4,289.1,336.1,290.7,344.3,0.0,416.7,225.9,321.6,0.0,168.1,79.7,302.5,281.2,79.7,132.2,64.7,351.3,334.1,450.0,210.3,249.1,506.9,224.6,368.8,409.2,147.8,273.4,379.5,161.4,400.1,459.8,384.6,389.4,197.3,344.3,194.7,295.4,433.6,305.5,339.7,38.9,67.2,441.1,130.5,418.6,399.6,133.7,1219.1,73.5,176.5,195.9,320.4
KU,446.4,155.5,255.9,244.9,183.3,135.3,209.4,85.8,218.8,171.2,90.5,267.8,164.9,361.1,199.0,397.7,79.7,158.7,225.3,138.6,131.7,418.8,0.0,166.9,192.9,418.8,236.1,303.2,166.7,118.0,342.8,310.9,460.4,313.9,115.5,167.6,400.8,142.5,218.3,334.5,34.7,128.2,476.2,126.3,262.6,276.2,44.1,106.8,94.0,112.6,468.3,190.1,373.4,133.2,198.6,161.6,104.7,344.7,462.9,152.5,380.3,201.6,43.6,360.5,1345.6,310.4,214.5,386.4,156.5
KV,279.9,229.0,89.4,147.6,175.6,208.8,147.3,166.4,266.8,108.3,171.1,101.3,227.5,208.5,190.7,233.3,161.7,63.1,194.4,76.5,182.8,229.1,190.7,0.0,95.6,252.3,69.1,136.7,164.6,143.0,209.7,155.8,293.9,251.8,190.6,235.8,235.4,23.1,280.9,170.1,142.8,220.2,309.7,47.4,165.3,109.2,185.9,248.6,160.5,178.6,329.5,155.3,208.0,69.4,279.2,79.5,185.3,176.1,296.4,212.9,216.1,249.6,185.9,223.7,1178.6,143.9,48.0,221.0,94.4
KW,409.4,309.3,218.9,51.9,255.9,289.1,217.5,246.7,347.1,179.3,251.4,230.8,307.8,324.1,207.1,362.8,222.6,143.4,168.8,151.0,263.1,381.8,236.0,129.9,0.0,381.8,199.1,266.2,239.3,208.6,305.8,273.9,423.4,223.6,269.3,310.5,363.8,105.5,352.2,299.6,250.6,170.7,439.2,127.7,69.6,239.2,203.1,221.3,236.9,255.5,445.2,105.9,336.4,159.4,359.5,159.8,265.6,307.7,425.9,295.4,345.4,329.9,203.6,325.6,1308.6,273.4,177.5,349.4,164.6
LK,60.8,382.6,197.7,373.6,329.2,362.4,373.3,392.4,445.9,335.1,397.1,234.5,453.5,227.5,362.9,157.8,368.3,289.1,350.5,302.5,354.4,0.0,416.7,225.9,321.6,0.0,168.1,93.0,312.6,354.3,90.5,132.2,74.8,351.3,342.6,456.2,222.1,249.1,506.9,234.7,368.8,421.0,159.6,273.4,391.3,173.2,411.9,471.6,382.6,401.2,207.4,356.1,194.7,297.1,443.7,305.5,349.8,50.7,77.3,441.1,140.4,428.7,411.9,204.3,1219.1,85.3,188.3,207.7,320.4
LN,210.4,286.8,86.6,205.4,233.4,266.6,205.1,224.2,324.6,166.9,228.9,123.4,285.3,124.9,194.7,168.8,200.1,120.9,250.9,134.3,240.6,182.8,248.5,57.7,153.4,182.8,0.0,67.2,216.8,186.1,149.8,86.3,224.4,263.5,246.8,288.0,174.5,80.9,338.7,105.6,200.6,257.6,240.2,105.2,223.1,40.0,243.7,303.4,214.4,233.0,250.6,187.9,147.1,128.9,337.0,137.3,243.1,108.7,226.9,272.9,151.4,307.4,243.2,131.6,1181.1,74.4,73.1,160.1,152.2
LY,143.1,306.4,121.5,280.5,253.0,286.2,221.3,299.3,399.7,242.7,304.6,148.5,369.3,169.7,323.6,148.4,310.2,196.0,284.6,209.4,315.7,92.3,323.6,132.8,228.5,115.5,75.0,0.0,242.0,199.9,49.5,45.1,157.1,289.3,268.0,368.7,129.0,156.0,413.8,145.7,275.7,327.9,171.6,180.3,298.2,65.1,318.8,380.0,291.5,311.5,170.1,263.0,101.6,202.3,412.1,212.4,318.2,39.3,158.3,349.5,131.2,382.5,318.3,96.4,1113.8,5.8,95.2,114.6,227.3
MI,478.9,69.9,210.3,293.8,16.5,49.7,126.2,83.6,133.2,222.4,41.6,240.2,193.0,358.2,130.2,330.1,143.6,156.5,294.6,182.3,64.1,451.3,130.2,210.2,241.8,451.3,285.0,337.0,0.0,151.7,336.2,282.3,423.1,352.0,25.9,196.5,361.9,191.4,247.2,266.9,91.1,207.9,523.3,175.2,311.5,265.9,134.2,196.9,124.9,135.2,400.7,228.1,328.9,175.2,131.0,187.1,37.1,375.1,489.8,163.9,307.3,116.0,128.1,412.0,1394.5,337.3,240.4,347.5,200.2
MJ,369.9,221.6,106.7,176.0,168.2,129.4,91.3,159.6,259.4,83.5,164.3,136.6,228.5,221.1,162.7,224.3,147.0,25.9,169.6,51.7,175.4,301.4,183.9,97.2,124.0,342.3,181.1,226.5,151.4,0.0,227.8,179.1,335.0,205.8,183.2,207.8,252.9,73.6,274.1,178.8,135.2,196.3,388.4,57.4,193.7,142.2,179.1,257.4,149.0,167.6,315.5,102.5,225.5,44.6,204.3,30.1,193.2,268.0,386.4,184.9,224.6,242.2,178.0,257.5,1276.7,233.7,131.4,238.5,69.6
MN,149.1,385.1,158.6,303.7,331.7,364.9,303.4,322.5,422.9,264.4,327.8,185.6,383.6,145.3,346.8,70.9,322.8,219.2,273.9,232.6,338.9,98.3,346.8,156.0,251.7,121.5,112.1,35.5,320.7,291.3,0.0,82.2,160.3,277.3,346.7,391.9,166.1,179.2,437.0,182.8,298.9,369.8,178.9,203.5,321.4,117.2,342.0,415.6,305.5,331.3,120.5,300.2,138.7,226.3,435.3,235.6,341.4,45.3,165.6,369.0,53.7,405.7,341.5,46.8,1101.8,29.3,132.3,151.7,250.5
NA,190.5,267.2,82.3,275.1,213.8,241.0,215.9,293.9,330.5,244.1,238.9,113.1,363.9,143.3,324.2,109.2,304.8,190.6,291.4,204.0,239.0,162.9,318.2,133.4,223.1,162.9,82.3,48.6,202.8,194.5,82.1,0.0,202.2,294.8,228.8,363.3,89.8,150.6,408.4,119.3,276.3,335.2,226.3,174.9,292.8,72.4,313.4,385.8,286.1,306.1,186.3,270.4,56.4,196.9,328.3,207.0,234.4,86.7,213.0,346.4,92.0,313.3,318.9,112.6,1161.2,60.5,102.5,75.4,221.9
NC,127.5,331.4,146.5,383.7,278.0,311.2,347.8,345.1,394.7,309.6,303.7,183.3,463.6,597.5,337.4,105.0,378.4,251.2,348.6,277.0,303.2,119.7,426.8,240.4,331.7,119.7,182.6,109.1,261.4,364.4,73.0,118.4,0.0,349.4,291.4,466.3,172.0,259.2,517.0,183.5,378.9,435.5,198.1,283.5,401.4,143.9,422.0,486.1,392.7,411.3,577.4,370.7,144.6,271.6,392.5,234.1,298.6,207.3,26.1,449.0,89.2,377.5,421.5,154.2,1173.9,101.4,197.9,157.6,294.9
NE,376.7,412.8,296.0,291.7,296.6,392.6,334.6,343.1,442.7,205.8,347.8,325.9,392.5,365.4,277.4,336.1,382.8,202.8,91.9,176.8,389.0,325.9,277.4,242.5,268.5,349.1,240.4,283.4,280.0,382.2,265.1,290.5,390.7,0.0,374.4,411.7,374.4,218.1,359.0,346.1,292.0,279.3,393.3,201.9,309.4,265.5,244.5,262.7,344.1,369.9,385.7,131.6,347.0,185.2,455.9,219.2,362.0,272.9,393.2,380.2,318.9,425.5,245.0,312.0,1141.5,290.6,283.0,360.0,190.4
NM,541.6,38.3,274.3,340.1,217.3,18.2,289.3,119.8,101.6,258.6,142.5,304.2,161.4,393.4,184.4,449.7,131.1,192.7,336.4,218.5,183.7,514.0,184.4,262.1,288.1,514.0,331.3,398.4,200.7,166.7,394.6,346.7,542.7,393.8,0.0,176.3,420.3,237.7,223.9,386.5,145.3,267.7,597.8,221.5,357.8,309.8,188.4,252.7,99.6,100.2,475.2,269.9,392.9,211.4,189.5,197.5,156.7,437.8,558.1,137.9,432.5,84.4,187.9,425.1,1440.8,405.6,309.7,405.9,236.4
NQ,478.8,136.8,203.6,277.3,146.6,116.6,109.7,49.1,30.9,179.6,71.8,233.5,99.5,322.7,113.7,379.0,52.0,122.0,265.7,147.8,113.0,451.2,113.7,199.3,225.3,451.2,268.5,335.6,135.6,135.0,323.9,270.0,472.0,323.1,98.4,0.0,349.6,174.9,171.2,315.8,74.6,197.0,508.6,158.7,295.0,239.1,117.7,180.4,46.9,47.5,449.6,199.2,322.2,140.7,179.9,126.8,86.0,375.0,495.3,85.2,361.8,13.7,117.2,354.4,1378.0,342.8,228.1,335.2,165.7
NZ,283.5,323.9,139.0,368.1,270.5,303.7,340.3,337.6,387.2,302.1,296.2,175.8,448.0,195.3,329.9,128.3,362.8,283.6,387.0,269.5,295.7,255.9,411.2,220.4,316.1,255.9,175.1,140.3,253.9,348.8,159.8,92.9,221.3,387.8,283.9,450.7,0.0,243.6,501.4,176.0,363.3,428.0,313.3,267.9,385.8,136.4,406.4,478.6,377.1,395.7,263.0,363.1,22.8,264.1,385.0,226.6,291.1,181.8,300.0,433.4,110.9,370.0,406.4,91.1,1254.2,147.5,190.4,11.9,287.4
OD,303.8,205.8,113.3,124.4,152.4,185.6,124.1,143.2,243.6,85.9,147.9,125.2,204.3,218.5,113.7,268.2,119.1,39.9,173.8,53.3,159.6,276.2,167.5,24.3,72.4,276.2,93.5,160.6,135.8,105.1,200.2,168.3,317.8,228.6,165.8,207.0,258.2,0.0,257.7,205.0,119.6,224.1,333.6,24.2,142.1,133.6,162.7,225.4,133.4,152.0,341.7,104.7,230.8,47.9,256.0,56.3,162.1,202.1,320.3,189.7,250.8,226.4,162.7,231.0,1203.0,167.8,71.9,243.8,71.2
OH,544.5,253.6,354.0,343.0,281.4,233.4,307.5,183.9,196.3,269.3,188.6,365.9,78.1,459.2,297.1,495.8,133.8,256.8,303.4,236.7,229.8,516.9,100.2,265.0,291.0,516.9,334.2,401.3,264.8,216.1,440.9,409.0,558.5,365.9,213.6,159.7,498.9,240.6,0.0,432.6,132.8,201.5,574.3,224.4,360.7,374.3,122.2,184.9,119.8,136.5,516.8,253.8,471.5,231.3,273.3,259.7,202.8,442.8,561.0,65.7,478.4,179.1,121.7,458.6,1442.3,408.5,312.6,484.5,254.6
OW,85.6,294.5,109.6,338.7,241.1,274.3,310.9,308.2,357.8,272.7,266.8,146.4,418.6,555.6,300.5,63.1,333.4,254.2,357.6,240.1,266.3,132.0,381.8,191.0,286.7,132.0,145.7,110.9,224.5,319.4,89.4,63.5,156.1,358.4,254.5,421.3,99.5,214.2,472.0,0.0,333.9,398.6,156.2,238.5,356.4,107.0,377.0,449.2,347.7,366.3,535.5,333.7,72.1,234.7,355.6,197.2,261.7,152.4,144.4,406.2,45.7,340.6,376.5,25.9,1190.3,117.8,161.0,85.1,258.0
OZ,411.6,120.7,221.1,210.1,148.5,100.5,42.5,51.0,184.0,136.4,56.3,233.0,129.8,331.0,39.0,362.9,64.3,123.9,221.7,103.8,96.9,384.0,39.0,132.1,158.1,384.0,201.3,268.4,137.5,97.9,309.0,282.1,425.6,279.1,82.3,138.4,366.0,107.7,183.5,299.7,0.0,122.3,441.4,91.5,227.8,241.4,43.0,105.7,59.2,81.2,433.5,155.2,338.6,96.7,163.8,126.8,69.9,307.8,428.1,117.7,345.7,166.8,42.5,355.9,1310.8,275.6,179.7,351.6,121.7
PN,407.6,235.6,181.6,206.1,182.2,220.2,128.9,267.3,298.9,95.5,272.0,211.5,341.3,296.0,201.6,321.5,209.8,93.2,113.8,67.2,207.4,384.8,201.6,128.1,154.1,384.8,197.3,264.4,165.6,186.9,301.9,258.8,414.5,176.0,197.2,279.1,327.6,103.7,322.6,258.3,216.2,0.0,442.2,87.5,228.6,221.9,168.7,186.9,192.7,218.5,390.2,47.3,300.2,62.7,384.9,104.8,291.0,303.8,424.1,336.7,299.5,281.7,168.7,332.4,1249.6,271.6,175.7,318.0,76.0
PU,49.1,352.9,168.0,405.2,299.5,332.7,344.2,366.6,416.2,330.3,324.6,204.8,484.8,202.5,448.3,128.1,419.3,272.7,367.5,298.5,324.7,51.7,448.3,261.9,353.2,53.2,204.1,131.5,288.5,385.9,131.5,139.9,45.1,370.9,314.5,493.4,193.5,280.7,538.5,205.0,400.4,457.0,0.0,305.0,422.9,179.9,443.5,507.6,416.2,432.8,177.7,392.2,166.1,291.4,414.0,255.6,320.1,90.7,47.6,470.5,110.9,399.0,443.5,104.0,1195.4,125.3,219.4,179.1,316.4
