from_stop,AB,AI,AJ,BD,BS,BT,BY,CK,CN,CW,DT,DV,EH,EM,FA,FG,FJ,FW,GC,GG,GN,GP,HF,HS,HZ,IB,II,IX,JB,JX,KD,KO,KR,KU,LG,LS,LT,LU,ML,MP,MW,NN,NP,NU,NY,OM,OX,OY,PI,PP,PY,QF,QI,RP,RR,RU,SB,SD,SP,SV,TK,TN,TP,TT,UC,UE,UK,UO,VB,VC,VD,WA,WC,WG,WH,WM,WN,WO,WT,XD,XW,YE,YG,YI,YV,YY,ZW,ZX
AB,0.0,198.9,300.7,151.6,396.2,253.8,247.6,258.2,348.6,232.4,237.0,238.6,312.2,481.8,299.2,296.1,386.5,310.7,107.4,289.2,322.2,184.7,258.2,243.1,132.3,237.1,290.6,172.9,435.9,247.8,257.6,331.4,106.9,274.2,453.1,17.9,290.4,286.2,339.9,242.3,204.2,155.4,191.7,318.4,35.0,268.0,414.4,96.1,297.1,177.0,68.7,351.5,297.9,328.1,333.2,254.2,291.0,353.8,158.4,318.7,52.0,227.2,331.0,258.5,420.5,255.8,262.4,13.8,324.7,309.7,300.8,267.5,166.6,38.6,319.8,248.0,133.5,280.1,220.4,333.0,370.6,280.1,135.0,275.4,280.9,1422.2,266.6,309.8
AI,226.4,0.0,425.0,263.1,232.4,157.0,359.1,369.7,234.0,343.9,103.5,39.6,132.7,366.3,99.6,442.5,551.0,458.2,236.9,89.6,516.5,69.2,66.7,109.6,261.8,87.5,414.9,57.4,320.4,116.6,58.6,511.8,187.0,177.4,337.6,244.3,159.6,432.6,162.8,129.5,70.7,266.9,334.4,464.8,261.5,181.1,538.7,225.6,165.9,306.5,315.4,236.0,193.2,148.6,486.1,54.6,518.2,190.0,102.9,492.3,278.5,338.7,153.9,59.5,305.0,161.0,386.7,240.3,516.9,504.0,508.7,150.7,51.1,265.1,444.1,114.5,213.6,391.6,55.6,436.5,535.1,164.6,75.1,76.4,405.2,1493.8,390.9,421.3
AJ,344.8,478.8,0.0,227.9,628.8,351.1,137.0,214.3,708.1,153.2,581.9,497.4,574.8,578.8,496.0,112.0,174.2,37.1,308.0,486.0,177.7,529.6,473.0,612.9,332.9,451.9,121.7,517.8,592.3,577.7,374.9,135.0,451.8,371.5,550.1,324.2,635.3,102.1,597.0,587.2,549.1,262.0,298.6,134.8,345.4,612.0,181.1,296.7,627.0,212.9,332.8,720.3,642.8,590.7,155.6,451.0,141.4,586.4,434.5,115.5,291.2,158.4,588.1,517.3,588.4,599.8,168.1,328.9,140.1,183.2,131.9,612.4,511.5,303.4,86.5,592.9,478.4,236.2,417.2,65.0,158.3,625.0,479.9,536.5,86.3,1360.5,100.5,162.6
BD,146.2,250.8,242.2,0.0,400.8,240.6,95.9,106.5,480.1,80.7,354.4,269.4,346.8,601.7,268.0,179.3,302.0,195.0,80.0,258.0,253.3,304.6,245.0,384.9,104.9,223.9,188.4,292.8,555.8,349.7,245.0,262.5,253.2,261.0,573.0,125.6,410.3,169.4,369.0,362.2,321.6,34.0,164.3,201.6,117.4,384.0,312.2,68.7,399.0,149.6,104.8,492.3,417.8,362.7,222.9,223.0,269.2,358.4,206.5,243.3,102.7,75.5,360.1,289.3,500.5,371.8,191.9,130.3,255.8,240.8,259.7,387.4,286.5,114.9,217.6,365.4,279.8,128.4,189.2,181.3,286.1,400.0,254.9,308.5,210.9,1394.8,164.4,158.1
BS,486.7,304.8,586.7,505.5,0.0,362.6,601.5,612.1,267.5,586.3,362.3,323.4,286.9,183.9,217.3,671.3,712.7,623.9,498.3,227.8,716.2,286.7,347.0,397.8,510.9,381.3,576.6,300.8,215.3,394.9,315.2,673.5,447.3,383.0,155.2,504.6,280.3,661.4,250.6,318.7,353.2,509.3,496.1,693.6,521.8,265.6,700.4,509.6,361.1,503.7,566.4,349.1,216.8,302.8,714.9,263.1,679.9,221.6,345.3,654.0,538.8,581.1,241.7,343.3,155.9,253.4,548.4,500.6,678.6,721.7,670.4,343.9,308.4,525.4,605.8,353.3,473.9,634.0,298.0,598.2,696.8,191.0,335.4,283.7,566.9,1521.9,552.6,666.7
BT,337.3,110.8,382.0,351.0,237.1,0.0,425.5,436.1,344.9,410.7,209.4,129.4,213.7,325.2,146.0,466.6,508.0,414.4,293.6,136.0,511.5,180.1,85.8,220.5,306.2,106.6,371.9,168.3,366.7,227.5,54.1,468.8,297.9,20.3,296.5,355.2,270.5,456.7,223.7,240.4,194.2,333.3,291.4,488.9,372.4,237.4,495.7,304.9,281.6,299.0,397.3,288.5,304.1,231.0,510.2,101.0,475.2,194.7,169.3,449.3,405.4,405.1,214.8,149.3,334.8,226.5,343.7,351.2,481.6,516.7,465.7,261.6,162.0,376.0,401.1,225.4,324.5,458.0,122.0,389.0,493.3,275.5,186.0,166.2,362.2,1441.6,351.5,462.0
BY,231.8,341.7,146.2,90.8,491.7,331.5,0.0,77.2,571.0,15.7,440.3,360.3,428.9,692.6,358.9,84.4,207.1,92.0,170.9,348.9,157.3,395.5,335.9,475.8,195.8,314.8,173.9,383.7,646.7,440.6,335.9,166.5,338.8,351.9,663.9,211.2,501.2,74.5,459.9,453.1,416.7,124.9,255.2,106.7,208.3,473.6,327.4,159.6,489.9,240.5,195.7,524.7,508.7,456.8,128.0,320.6,174.3,449.3,297.4,148.4,178.2,21.3,451.0,380.2,591.4,464.8,200.7,215.9,150.5,144.8,164.8,478.3,377.4,190.4,232.8,456.3,365.4,99.1,280.1,129.9,192.4,490.9,345.8,399.4,138.5,1370.9,176.9,128.8
CK,264.7,392.6,152.5,141.7,542.6,382.4,70.1,0.0,621.9,67.0,496.2,411.2,488.6,743.5,409.8,72.7,195.4,105.3,221.8,399.8,209.4,446.4,386.8,526.7,246.7,365.7,180.2,434.6,697.6,491.5,386.8,156.2,371.7,402.8,714.8,244.1,552.1,62.8,510.8,504.0,481.2,175.8,306.1,98.6,259.2,525.8,333.7,210.5,540.8,291.4,246.6,634.1,559.6,504.5,116.3,364.8,162.6,500.2,348.3,136.7,211.1,72.2,501.9,431.1,642.3,513.6,226.6,248.8,161.3,196.9,153.1,529.2,428.3,223.3,239.1,507.2,398.3,21.8,331.0,123.5,179.5,541.8,396.7,450.3,144.8,1421.8,159.0,51.5
CN,357.7,234.7,598.7,486.5,270.9,362.4,580.7,593.1,0.0,565.9,122.1,274.4,178.1,303.9,184.0,652.1,744.3,631.1,461.1,196.3,680.0,157.7,301.5,153.5,486.0,322.8,588.6,171.8,252.0,145.0,291.6,689.2,316.5,381.0,275.2,375.6,152.6,642.2,178.6,189.7,224.2,490.3,506.3,674.4,392.8,80.5,712.4,448.0,88.7,530.7,437.4,83.8,50.3,195.4,691.0,224.9,648.8,228.5,265.2,664.2,409.8,560.3,169.7,294.3,242.6,124.5,560.4,369.8,673.2,668.0,658.6,109.0,177.6,396.4,599.3,109.0,344.9,615.0,290.4,612.2,729.6,90.0,206.4,252.2,577.1,1441.4,568.2,644.7
CW,221.3,325.9,161.0,75.0,475.9,315.7,14.7,61.4,541.6,0.0,424.5,344.5,413.1,676.8,343.1,99.2,221.9,106.8,155.1,333.1,172.1,379.7,320.1,460.0,180.0,299.0,188.7,367.9,630.9,424.8,320.1,181.3,328.3,336.1,648.1,200.7,485.4,89.3,444.1,437.3,414.5,109.1,239.4,121.5,192.5,457.8,336.9,143.8,474.1,224.7,179.9,508.9,492.9,430.4,142.8,299.1,189.1,433.5,281.6,163.2,173.7,5.6,435.2,364.4,575.6,449.0,184.9,205.4,165.3,159.3,179.6,462.5,361.2,185.9,242.3,440.5,354.9,83.3,264.3,132.0,207.2,475.1,330.0,383.6,153.3,1355.1,191.7,113.0
