from_stop,AA,AF,BO,BR,BZ,CO,DL,DO,EJ,EQ,EV,FJ,GC,GR,HF,HW,HX,HZ,ID,IH,IK,IV,JI,JM,JN,KC,KJ,KT,LB,LD,LY,MX,NE,NM,NR,NS,NZ,OS,OZ,PC,PD,PO,PT,QD,QU,SG,SV,SW,TG,TO,TP,WH,WT,XO,XY,YT,YZ,ZC,ZF
AA,0.0,210.4,18.2,301.4,238.4,23.5,325.3,236.4,207.3,195.2,288.6,178.4,91.2,129.3,324.7,75.0,67.3,146.5,268.4,182.0,274.9,163.2,214.8,383.2,175.3,288.1,353.2,346.0,84.3,202.4,31.6,244.0,242.2,18.0,297.9,236.1,205.8,113.9,128.0,100.2,185.0,249.6,238.9,216.3,273.3,373.8,321.1,241.6,133.5,217.8,142.6,231.2,162.5,248.4,218.9,1594.7,300.4,247.3,266.2
AF,212.6,0.0,264.5,226.5,55.7,207.9,263.8,66.7,124.2,76.5,193.2,83.9,193.0,196.4,228.8,198.8,224.8,99.7,76.6,137.0,166.6,162.1,68.0,170.5,124.2,192.2,199.9,262.5,213.2,134.3,263.2,161.0,133.9,202.4,202.5,70.1,69.1,168.2,168.7,291.5,148.3,166.5,177.3,15.7,65.5,290.8,196.4,78.8,136.4,81.1,194.7,169.7,179.4,56.6,110.6,1666.7,105.5,72.9,170.3
BO,18.2,257.6,0.0,276.8,285.6,75.7,390.6,211.8,191.2,170.6,265.6,165.2,146.8,121.2,300.1,52.0,106.7,128.2,250.1,98.0,251.9,140.6,190.2,260.3,132.2,263.5,328.6,393.3,94.6,142.1,41.3,225.7,219.2,36.4,274.9,258.6,187.4,126.0,132.3,122.7,163.0,224.9,147.4,263.6,241.5,349.7,298.0,217.0,126.9,193.1,185.2,224.6,140.7,295.7,195.9,1634.0,232.1,222.7,313.5
BR,251.5,167.7,290.6,0.0,225.2,262.0,50.1,224.8,42.4,143.8,103.8,151.4,237.2,236.9,120.4,238.7,246.4,101.1,163.5,206.4,95.6,192.3,101.8,104.8,133.0,83.8,143.7,141.7,233.3,120.3,313.4,41.2,95.0,256.5,113.1,250.8,198.4,222.3,215.5,319.2,154.2,27.2,175.9,196.4,236.5,171.5,151.4,224.6,170.9,200.7,220.9,185.7,251.4,143.5,107.5,1681.2,273.3,243.9,43.9
BZ,260.5,78.0,263.1,224.0,0.0,269.5,274.2,144.8,130.3,78.6,250.3,104.9,242.5,245.9,239.2,246.8,239.9,110.1,57.5,210.4,195.6,176.5,65.5,189.8,134.2,202.6,180.8,230.5,228.3,131.8,280.3,158.5,144.3,264.0,257.0,161.1,137.4,229.8,187.8,306.6,158.7,164.0,187.7,106.7,156.5,288.3,177.3,169.8,164.4,149.4,205.1,180.1,211.4,31.3,121.0,1677.1,183.6,163.9,180.7
CO,37.4,238.4,161.2,288.1,261.1,0.0,338.3,247.1,232.8,225.7,313.0,211.0,115.6,94.9,347.5,108.4,100.7,169.3,275.4,216.5,299.3,196.6,237.6,307.7,197.9,316.3,381.8,368.8,109.0,222.8,69.1,266.8,266.6,0.0,322.3,226.1,228.5,78.8,161.4,110.4,194.3,272.3,251.8,252.4,263.2,397.8,377.9,258.5,168.4,240.5,166.1,244.2,197.3,271.2,243.3,1618.1,290.3,252.6,289.0
DL,251.0,146.3,290.0,169.3,215.0,259.9,0.0,213.1,94.9,114.0,161.1,132.8,194.1,235.5,209.6,236.4,213.0,100.5,135.3,174.3,147.4,121.8,81.7,264.2,153.9,173.0,197.0,246.7,201.4,106.7,301.6,128.9,114.7,254.4,170.4,229.4,175.9,220.2,175.2,279.7,104.0,134.4,133.0,175.0,224.8,258.7,193.5,211.8,171.6,187.9,150.4,125.4,209.7,115.3,91.4,1622.4,251.9,217.5,151.1
DO,229.7,74.3,272.9,259.2,35.1,229.2,309.4,0.0,159.7,107.6,282.9,92.9,214.3,205.6,274.4,220.1,233.2,116.7,92.7,145.9,230.8,183.4,100.7,225.5,145.3,243.2,216.0,265.7,220.4,135.7,256.9,193.7,179.5,229.2,292.2,54.0,90.4,189.5,166.2,299.9,197.8,199.2,222.9,91.9,91.1,324.7,212.5,86.4,159.2,102.4,212.0,215.3,202.1,66.5,156.2,1662.9,118.2,80.5,215.9
EJ,206.3,128.2,190.7,91.3,174.5,218.0,182.9,175.4,0.0,101.5,135.8,117.3,205.0,193.6,108.8,194.7,202.4,64.4,108.6,152.7,119.5,140.2,57.8,173.0,89.8,72.2,137.3,130.1,190.8,94.3,256.9,33.9,86.8,218.3,139.7,206.9,141.9,178.3,183.9,276.0,131.0,40.1,164.3,152.5,205.1,164.9,164.9,180.6,126.9,153.9,171.6,145.9,207.5,81.5,63.5,1673.9,232.2,186.3,50.3
EQ,220.1,73.0,262.3,180.4,109.3,215.5,230.6,107.4,80.9,0.0,147.1,18.8,188.0,195.0,195.6,205.8,199.2,66.5,73.2,135.3,136.3,132.9,24.8,145.5,101.2,161.9,196.9,256.8,184.7,71.1,226.3,114.9,103.6,201.7,167.0,130.2,50.4,175.8,155.6,265.9,125.7,120.4,144.1,79.0,137.1,248.1,193.0,94.6,122.3,62.4,164.4,136.5,191.5,53.2,80.3,1636.4,155.9,100.3,137.1
EV,274.0,65.5,259.8,208.5,121.3,273.5,264.2,119.4,122.9,79.5,0.0,97.5,235.1,249.1,229.2,263.8,232.5,100.1,57.0,203.7,197.7,166.5,58.1,250.1,124.2,232.5,180.7,230.0,220.9,124.4,326.2,148.5,136.9,268.0,9.2,135.7,132.1,233.8,221.4,299.2,148.7,154.0,177.7,78.7,131.1,303.2,176.8,144.4,157.0,144.1,197.7,170.1,245.0,37.0,113.6,1669.7,155.6,138.5,170.7
FJ,193.3,41.6,181.4,189.9,83.0,199.8,248.2,91.7,104.3,7.0,167.3,0.0,206.4,175.4,223.1,190.1,203.8,76.2,90.8,105.4,151.0,150.9,39.5,271.6,105.0,176.6,224.5,263.8,191.6,105.8,199.5,142.4,118.3,193.7,184.4,100.3,32.4,160.1,147.7,259.9,142.8,138.6,162.3,60.5,121.4,272.7,210.6,78.9,128.3,43.9,179.1,154.7,171.3,70.8,95.0,1651.1,137.4,84.6,154.7
GC,152.7,226.7,280.7,181.8,225.8,154.0,220.8,299.1,170.6,193.3,232.8,176.7,0.0,204.1,300.5,228.3,18.8,180.9,224.0,164.0,219.1,64.9,171.4,228.3,209.7,245.9,267.7,303.8,7.3,128.0,217.2,225.3,186.4,195.8,241.1,339.3,193.2,189.0,90.2,84.5,83.3,209.1,134.3,203.8,315.2,334.9,289.9,310.5,60.0,234.1,50.4,128.5,126.1,204.0,163.1,1502.4,309.6,304.6,225.8
GR,23.0,233.5,41.4,269.6,261.5,23.5,310.1,257.1,239.0,218.4,314.4,201.5,102.7,0.0,347.9,98.2,67.5,169.7,285.4,145.8,298.1,186.4,238.0,307.3,199.3,312.1,376.4,369.2,79.6,171.9,34.3,267.2,265.4,18.0,321.9,236.9,229.7,113.9,162.1,82.2,166.1,272.7,224.4,239.5,273.2,397.5,387.9,268.5,156.7,240.9,137.9,216.0,187.1,271.6,242.1,1589.9,300.3,262.6,289.4
HF,368.1,193.6,345.1,189.8,262.3,377.1,228.8,260.4,159.0,209.1,140.9,227.9,329.2,352.7,0.0,353.6,326.6,217.7,200.6,325.4,145.2,250.2,199.1,129.8,249.6,92.6,99.9,74.7,315.0,196.2,418.8,125.0,144.6,371.6,150.2,276.7,275.7,337.4,314.5,393.3,232.4,161.8,216.0,222.3,272.1,49.0,110.3,285.4,252.6,287.7,278.8,225.8,338.7,180.6,157.3,1719.8,299.2,279.5,178.5
HW,219.3,153.2,196.2,210.3,193.5,242.9,250.8,192.2,184.0,158.7,214.3,143.4,116.6,228.6,297.9,0.0,134.5,119.7,234.3,131.5,200.4,88.7,183.6,204.3,149.1,261.3,249.8,299.1,122.3,97.5,269.9,217.2,167.7,236.8,223.4,226.7,161.7,213.1,53.7,201.2,110.9,223.3,164.5,171.5,221.9,348.1,245.9,197.4,60.7,172.9,117.3,156.9,89.4,224.9,144.4,1589.3,248.4,203.1,239.4
HX,139.0,223.0,262.8,192.3,316.4,135.1,242.5,281.2,189.5,210.3,251.7,195.6,19.8,186.2,304.2,210.0,0.0,235.5,309.5,182.9,238.0,84.8,190.3,246.4,264.1,273.0,288.0,337.3,13.2,152.5,170.7,223.5,205.3,135.1,261.0,260.2,213.1,170.1,109.1,66.6,98.5,229.0,156.0,237.0,297.3,354.5,284.1,292.6,78.9,225.1,70.3,148.4,145.0,223.9,182.0,1522.3,324.4,286.7,245.7
HZ,150.3,77.7,127.3,196.2,118.6,159.3,246.4,116.7,69.2,75.5,143.6,67.9,195.4,134.9,178.1,135.8,192.8,0.0,121.8,73.7,129.9,133.4,68.2,133.8,31.8,141.5,206.6,199.4,181.2,53.4,201.0,97.4,97.2,153.8,152.9,151.0,86.0,119.6,114.3,218.0,115.6,102.9,144.6,96.6,146.4,227.2,176.0,121.9,117.3,98.0,162.0,137.0,149.4,101.8,73.9,1634.0,173.5,127.6,119.6
ID,246.2,76.6,223.8,209.7,132.4,255.2,259.9,130.5,107.4,64.3,192.7,80.6,228.2,230.8,224.9,232.5,225.6,95.8,0.0,196.6,138.0,162.2,51.2,132.2,119.9,172.8,123.6,172.9,214.0,101.6,296.9,144.2,130.0,249.7,199.4,114.2,123.1,215.5,162.6,292.3,144.4,149.7,173.4,92.4,142.2,243.0,119.7,155.5,160.4,135.1,190.8,165.8,197.1,17.0,106.7,1662.8,169.3,149.6,166.4
IH,60.8,245.5,75.3,274.2,268.2,111.5,297.3,265.8,245.0,224.6,290.3,207.7,182.6,175.0,353.9,73.5,142.5,148.6,297.6,0.0,274.0,135.2,257.2,283.7,224.8,323.1,323.6,387.0,132.4,147.8,111.4,293.5,241.3,96.3,297.0,320.4,208.0,201.9,138.0,161.1,184.5,290.5,258.2,257.5,295.5,403.5,293.0,271.0,132.6,258.9,190.9,230.3,161.6,259.2,218.0,1662.9,322.6,276.7,268.3
IK,240.2,99.4,283.4,185.1,173.4,253.3,235.3,171.5,108.3,123.3,52.0,139.0,200.8,229.7,185.0,230.6,219.7,93.9,111.7,188.0,0.0,174.3,89.1,8.4,125.6,118.2,49.5,99.2,206.9,80.3,267.4,131.5,37.7,253.3,61.3,187.8,180.0,213.6,156.7,286.4,160.4,168.3,222.5,188.3,183.2,174.5,46.0,196.5,145.7,192.0,202.9,232.3,192.6,91.7,50.4,1726.3,210.3,190.6,185.0
IV,227.4,163.5,194.0,107.4,191.5,227.6,157.6,189.6,168.1,159.0,233.1,141.2,72.2,277.9,237.3,202.1,91.1,117.7,168.5,128.2,219.4,0.0,114.9,223.3,146.3,182.7,247.8,240.6,79.1,129.3,256.6,204.9,186.7,209.2,242.4,223.9,158.9,262.6,90.5,157.8,17.7,145.9,71.1,169.5,219.3,287.6,265.1,194.8,49.7,170.9,28.5,63.5,126.4,148.5,163.4,1500.5,246.4,200.5,162.6
JI,190.8,59.2,234.0,158.4,133.2,203.9,208.6,131.3,58.9,35.3,125.1,51.0,155.4,180.3,173.6,181.2,174.3,44.5,53.5,138.6,111.4,110.9,0.0,119.8,68.8,142.4,176.8,226.5,161.5,34.9,218.0,92.9,78.7,203.9,134.4,147.6,94.1,164.2,111.3,241.0,97.0,98.4,122.1,121.7,143.0,223.9,173.3,130.0,100.3,106.1,139.5,114.5,147.2,33.5,55.4,1611.5,170.1,135.7,115.1
JM,246.8,159.4,289.2,187.9,179.2,258.6,226.9,176.8,110.8,129.1,57.8,157.9,207.6,235.5,175.8,235.3,225.0,96.4,170.6,193.3,5.3,313.2,94.4,0.0,128.3,89.9,40.3,155.7,210.6,98.2,269.9,127.6,43.0,250.2,66.6,193.1,185.8,218.9,162.5,292.2,158.9,224.8,218.6,135.9,188.5,169.6,37.6,201.8,151.5,194.4,208.2,288.8,198.4,146.4,55.7,1722.4,265.0,195.9,175.8
JN,169.1,96.5,136.3,196.7,137.4,178.1,288.3,135.5,102.5,102.0,187.3,76.9,202.7,153.7,220.0,154.6,200.1,41.8,132.2,101.0,173.6,150.1,78.6,177.5,0.0,183.4,223.2,241.3,188.5,97.1,192.2,139.3,140.9,172.6,196.6,169.8,104.8,138.4,144.0,236.8,155.5,144.8,184.3,115.4,165.2,269.1,219.7,140.7,134.9,116.8,178.9,176.7,168.8,112.2,117.6,1650.9,192.3,146.4,161.5
KC,275.4,202.8,257.1,97.1,243.7,284.4,136.1,241.8,66.3,167.9,124.0,175.9,229.8,260.0,85.8,260.9,248.7,125.0,177.8,228.8,128.3,157.5,124.2,132.2,156.9,0.0,65.0,57.8,237.1,160.7,326.1,32.3,153.2,278.9,133.3,259.8,211.1,244.7,221.8,315.4,139.7,69.1,123.3,205.4,255.2,134.9,75.4,247.0,207.3,223.1,186.1,133.1,245.4,157.8,129.9,1627.1,282.3,252.7,85.8
KJ,325.0,168.5,291.8,135.1,237.2,333.6,185.3,234.9,109.7,195.4,115.4,202.8,261.5,310.0,135.0,310.7,280.4,168.0,120.1,256.9,59.6,207.1,173.8,66.7,206.1,49.5,0.0,49.6,267.8,171.3,344.8,81.5,97.4,328.5,124.7,197.1,250.2,293.9,271.0,346.1,188.9,118.3,172.5,197.2,246.6,159.6,9.3,259.9,206.4,262.6,235.7,182.3,294.6,155.1,110.1,1676.3,273.7,254.0,135.4
KT,276.4,131.7,258.1,265.3,187.5,285.4,305.8,185.6,180.5,134.3,66.1,153.1,232.9,261.0,255.5,261.9,251.8,126.0,125.8,256.4,70.4,235.3,124.3,187.2,157.9,169.6,120.0,0.0,240.2,114.8,296.2,202.0,69.8,279.9,75.4,201.9,200.9,245.7,276.7,318.5,217.5,238.8,246.5,147.5,197.3,243.8,116.5,210.6,176.3,212.9,263.9,238.9,311.2,105.8,82.5,1735.9,224.4,204.7,255.5
LB,146.4,192.7,169.5,180.2,233.6,146.7,230.4,292.8,174.6,190.5,239.6,182.9,7.8,197.8,292.1,221.6,11.5,247.1,321.1,150.5,225.9,72.3,178.2,234.3,275.9,255.5,275.5,325.2,0.0,140.4,182.3,211.4,193.2,128.3,248.9,271.8,201.0,181.7,97.0,78.2,90.1,216.9,143.9,211.6,308.9,341.2,272.0,304.2,56.2,213.0,58.2,136.3,131.5,211.8,169.9,1510.2,336.0,298.3,233.6
LD,214.4,133.6,248.1,159.7,161.6,232.7,260.6,182.0,66.8,126.2,116.5,133.8,117.8,219.0,192.3,194.7,130.3,42.5,121.2,108.5,102.8,132.8,55.1,119.2,132.1,132.4,164.9,184.7,111.9,0.0,259.7,100.8,70.1,227.2,138.3,225.3,129.0,180.6,67.3,203.6,85.1,106.3,131.5,139.6,211.7,231.8,161.4,187.2,56.3,163.3,131.5,136.4,108.4,71.3,46.8,1610.4,232.0,192.9,133.8
LY,170.6,286.3,188.9,225.5,316.3,166.7,275.7,312.8,258.2,322.4,288.2,266.7,68.3,224.4,337.4,248.2,33.1,267.1,341.1,262.3,271.2,118.0,226.8,388.0,295.9,300.8,320.8,408.8,48.5,145.0,0.0,256.7,238.5,148.3,294.2,291.8,326.3,201.7,142.3,47.8,139.1,262.2,189.2,305.2,328.9,386.5,317.3,324.2,139.8,338.3,103.5,181.6,176.8,326.5,215.2,1555.5,324.3,324.9,278.9
MX,243.0,170.4,224.7,88.1,211.3,252.0,148.9,209.4,33.9,135.5,168.1,151.3,217.5,227.6,80.6,228.5,236.4,92.6,145.4,196.4,153.5,170.3,91.8,161.9,124.5,44.0,109.1,101.9,224.8,128.3,293.7,0.0,120.8,246.5,177.4,243.7,178.7,212.3,217.9,310.7,152.5,36.7,136.1,189.3,239.1,129.7,119.5,214.6,160.9,190.7,198.9,145.9,241.5,125.4,97.5,1639.9,266.2,220.3,53.4
NE,202.4,110.6,245.6,217.8,174.8,215.5,268.0,172.9,70.5,86.7,46.3,102.4,163.0,191.9,185.2,192.8,181.9,56.1,104.9,150.2,32.6,136.5,51.3,41.0,87.8,150.9,82.2,131.9,169.1,42.5,229.6,104.5,0.0,215.5,55.6,207.2,142.2,175.8,118.9,248.6,122.6,110.0,147.7,166.1,202.6,207.2,78.7,178.1,107.9,154.2,165.1,140.1,154.8,84.9,12.6,1637.1,229.7,183.8,126.7
NM,18.1,225.0,36.4,272.9,253.0,18.3,323.1,239.0,224.7,209.9,304.9,192.5,99.4,111.1,339.4,92.6,85.5,161.2,267.3,128.6,291.2,181.4,229.5,294.9,190.0,302.8,373.7,360.7,92.6,166.9,47.3,258.7,258.5,0.0,314.2,218.0,220.4,95.8,146.2,95.2,179.1,264.2,236.6,231.0,255.1,388.5,369.8,250.4,162.0,232.4,150.9,229.0,180.7,263.1,235.2,1602.9,282.2,244.5,280.9
NR,267.6,42.1,234.8,198.0,110.8,263.0,256.3,108.9,112.4,57.6,80.1,76.4,224.6,238.6,221.3,253.1,222.0,92.2,49.1,193.2,187.2,158.6,47.6,239.6,116.3,222.0,172.8,222.1,210.4,98.4,290.7,140.6,126.4,257.5,0.0,125.2,124.2,223.3,200.0,288.7,140.8,146.1,169.8,70.8,120.6,292.2,168.9,133.9,148.0,136.2,187.2,162.2,234.5,29.1,103.1,1659.2,147.7,128.0,162.8
NS,273.6,81.1,255.3,290.9,74.9,269.0,349.2,39.7,196.7,130.4,273.8,105.3,275.6,244.6,314.2,259.9,273.0,156.5,100.9,185.7,221.7,223.2,140.5,219.2,185.3,256.5,207.3,256.6,261.4,191.3,296.7,233.5,259.5,263.5,283.1,0.0,76.8,229.3,216.9,339.7,233.7,239.0,262.7,65.3,37.0,326.7,203.4,32.3,197.5,66.2,251.8,255.1,241.1,106.3,196.0,1629.6,64.1,26.4,255.7
NZ,197.7,66.0,164.9,228.8,106.9,193.1,287.1,105.0,134.6,45.8,203.6,38.8,199.7,169.5,252.1,184.0,197.1,80.6,129.7,89.5,189.9,147.3,78.4,199.1,109.4,215.5,253.0,302.7,185.5,128.8,248.4,171.4,157.2,187.6,212.9,68.3,0.0,153.4,130.1,263.8,171.6,176.9,200.6,84.9,81.7,301.7,249.5,35.8,121.6,12.0,175.9,193.0,166.0,109.7,133.9,1647.9,108.8,41.5,193.6
OS,43.3,254.9,167.1,276.0,277.6,39.6,326.2,273.2,249.3,242.2,327.9,227.5,103.5,16.0,364.0,114.3,83.6,185.8,301.5,233.0,314.2,202.5,254.1,322.6,214.4,332.8,392.5,385.3,96.9,239.3,75.0,283.3,281.5,39.6,337.2,252.2,245.0,0.0,167.3,98.3,182.2,288.8,239.7,268.9,289.3,414.3,404.0,284.6,174.3,257.0,154.0,232.1,203.2,287.7,258.2,1606.0,316.4,278.7,305.5
OZ,198.5,132.5,157.0,199.4,173.4,199.0,226.9,148.3,113.8,107.1,172.8,90.2,113.2,184.5,245.9,161.0,110.6,99.6,214.2,139.1,156.5,64.8,139.7,273.3,128.4,209.3,229.3,279.0,99.0,30.3,226.0,165.2,123.8,216.7,202.7,205.8,140.8,169.2,0.0,177.3,106.1,170.7,163.6,128.2,178.0,272.3,225.8,153.5,35.1,152.8,93.4,156.0,34.4,204.8,100.5,1565.4,228.3,159.2,164.2
PC,157.8,309.4,180.9,264.8,339.4,158.1,303.8,304.2,248.0,314.9,313.0,300.2,80.1,209.2,365.5,233.0,61.2,258.5,332.5,225.9,299.3,146.3,251.6,308.5,287.3,328.9,348.9,398.6,73.3,183.9,221.3,284.8,266.6,139.7,322.3,283.2,317.7,193.1,170.4,0.0,163.4,290.3,217.3,328.3,320.3,416.4,345.4,315.6,129.6,329.7,131.6,209.7,205.5,349.6,243.3,1583.6,347.4,309.7,307.0
