from_stop,AV,BB,BI,BM,BY,CU,DR,EX,FV,GG,GM,HD,ID,IG,IN,IQ,JC,KQ,KV,MA,MN,NH,NX,OG,OH,OJ,PV,QL,QO,QR,QT,RO,RW,RX,SH,SJ,TA,TJ,TP,TY,UJ,UL,UW,UX,VB,VL,VO,VR,VS,WE,XO,XZ,YB,YK,YN,ZJ,ZL,ZP
AV,0.0,2038.4,153.5,102.8,40.7,118.3,130.5,174.5,172.2,98.0,142.0,156.8,178.8,183.1,140.3,217.0,127.9,196.6,122.3,160.2,192.2,101.9,105.0,100.3,258.3,191.6,161.1,188.0,163.3,160.8,178.1,232.4,75.2,210.8,257.9,182.9,257.7,181.3,231.5,166.6,194.3,122.0,327.2,253.5,213.0,156.8,277.9,179.0,137.1,205.4,157.0,106.6,72.2,152.7,239.6,213.1,220.3,207.4
BB,2146.3,0.0,2138.1,2087.4,2175.7,2077.7,2072.2,2188.6,2133.5,2085.3,2191.2,2221.9,2161.0,2165.0,2127.6,2266.2,2176.6,2185.0,2037.8,2142.1,2101.2,2072.5,2020.5,2134.4,2157.1,2139.7,2138.7,2169.9,2145.2,2180.2,2106.8,2148.8,2062.1,2120.4,2328.5,2237.6,2239.6,2163.2,2213.4,2188.0,2176.2,2193.9,2165.4,2235.4,2194.9,2055.6,2195.4,2200.4,2124.4,2114.4,2171.5,2093.9,2054.1,2201.9,2221.5,2137.4,2145.5,2155.5
BI,5.1,2043.9,0.0,113.9,45.9,123.8,136.0,181.4,177.6,103.5,147.2,162.0,184.3,188.6,145.8,222.5,133.1,208.3,130.5,165.7,200.4,95.8,110.5,105.3,263.8,197.1,166.3,193.5,168.5,166.0,188.0,237.6,85.4,217.2,266.2,193.6,263.2,186.8,237.0,171.8,199.5,127.5,332.4,259.0,218.5,162.0,283.1,184.5,142.6,210.6,162.5,112.1,77.4,157.9,245.1,218.6,225.5,212.9
BM,122.3,1934.9,111.2,0.0,140.9,148.9,83.0,67.4,282.2,121.4,209.5,240.2,290.6,280.3,101.4,284.5,22.8,311.8,193.3,270.2,89.3,159.5,173.8,196.7,233.8,86.5,52.6,303.2,291.3,55.7,75.2,160.4,215.7,133.2,344.0,258.1,361.8,291.3,328.7,145.7,304.3,16.9,400.8,357.6,310.2,225.6,364.0,158.1,98.2,102.5,51.9,107.7,143.3,225.2,343.7,108.0,332.5,102.3
BY,112.2,1998.1,104.0,64.7,0.0,78.0,168.8,130.8,131.7,57.7,101.7,116.5,138.8,142.8,93.5,176.7,87.6,162.8,82.0,119.9,151.9,64.9,64.7,59.8,96.2,151.3,120.8,147.7,123.0,113.5,137.8,35.1,34.9,150.7,228.7,148.1,217.4,141.0,191.2,122.6,154.0,81.7,286.9,213.2,172.7,116.5,237.6,132.2,90.3,165.1,116.7,66.3,31.9,112.4,199.3,153.9,180.0,167.1
CU,157.6,2037.6,152.4,101.4,115.8,0.0,129.1,174.8,33.8,96.6,124.8,77.9,118.2,122.2,138.9,171.6,126.5,135.7,51.7,46.8,193.5,129.0,69.0,127.3,228.8,190.2,154.1,127.1,102.4,159.4,176.7,89.3,98.7,166.1,197.0,137.5,196.8,68.0,170.6,165.2,81.0,120.6,266.3,192.6,152.1,83.1,217.0,177.6,135.7,204.0,155.6,105.2,122.1,107.3,178.7,211.7,45.8,206.0
DR,73.2,2008.6,120.3,93.5,134.5,70.5,0.0,161.7,96.4,64.8,134.7,135.6,169.4,155.3,107.1,214.7,42.1,193.4,136.2,109.5,106.4,88.3,106.6,140.4,169.8,172.8,189.8,178.3,161.0,75.0,96.7,91.0,72.9,69.4,254.3,178.0,248.0,257.9,173.4,133.4,143.7,106.8,226.1,243.8,154.9,170.7,263.2,174.4,103.9,200.8,152.4,73.4,64.9,150.4,229.9,197.9,103.5,121.6
EX,50.6,2002.9,43.7,71.6,89.7,148.1,129.8,0.0,242.5,49.5,171.5,199.8,254.6,239.9,32.3,244.8,90.1,280.3,166.9,229.8,154.4,138.9,148.9,133.4,157.1,113.2,123.3,262.8,253.3,123.7,140.3,121.1,128.5,111.7,306.4,215.5,321.4,251.6,288.3,76.6,263.9,84.9,360.4,320.0,272.2,200.7,326.4,89.0,26.3,170.4,119.2,35.8,121.2,182.6,303.3,175.3,292.8,129.0
FV,160.0,2040.9,154.4,103.7,118.0,43.2,131.4,174.9,0.0,98.9,91.2,44.0,84.3,88.4,141.2,137.8,128.7,109.2,94.9,13.0,193.2,84.1,112.2,93.5,190.0,192.5,161.9,93.3,68.8,161.8,183.4,189.9,73.7,168.5,166.0,109.4,163.0,34.1,136.8,167.4,47.4,122.9,232.4,158.8,118.2,126.3,183.2,179.8,138.0,200.9,157.8,107.5,88.4,73.7,144.9,214.1,48.2,208.4
GG,60.9,1952.6,52.7,15.4,69.6,95.7,25.1,86.7,116.7,0.0,163.8,194.5,248.6,234.6,42.2,238.8,40.5,272.6,116.6,129.7,104.8,108.5,99.3,128.1,151.8,104.2,73.7,257.5,245.6,78.3,90.7,83.7,98.1,96.4,301.1,210.2,316.1,150.9,283.0,68.5,163.9,34.6,355.1,311.9,264.5,151.1,311.2,80.9,39.0,118.0,69.6,8.5,90.1,174.5,298.0,125.7,128.7,120.0
