from_stop,AH,AJ,BG,BK,BT,BU,BV,CE,CG,CJ,CK,CN,CO,CP,DA,DQ,DZ,EG,EK,EQ,ER,FB,FF,FM,FQ,GV,GW,GZ,HN,HO,HP,IF,JM,KE,KF,KI,KL,KP,KV,KW,LQ,LW,MC,MH,MM,MO,MV,NA,ND,NH,NN,NO,NS,NT,OB,OC,OH,OI,OK,ON,OV,OW,OY,PE,PR,PX,QI,QN,QP,QS,RH,RI,RX,SG,SI,SJ,TC,TD,TT,TZ,UD,UJ,UP,UW,UZ,VL,VT,WA,WD,WW,XG,YR,YZ,ZJ,ZU
AH,0.0,286.3,308.6,253.6,519.8,320.5,222.6,370.3,98.0,83.3,47.9,107.4,118.1,135.5,62.4,265.6,57.1,312.1,394.8,168.7,221.3,489.1,212.6,207.6,428.1,220.0,406.7,441.7,221.4,386.7,1578.2,196.1,258.9,526.5,200.6,371.5,315.3,48.6,271.3,545.2,326.9,128.9,226.3,247.4,227.8,277.3,344.9,257.4,229.9,183.3,345.4,296.4,300.1,144.5,226.0,12.4,220.4,263.8,406.7,397.3,280.3,473.9,433.6,328.4,487.3,247.3,256.4,220.2,393.3,200.1,426.9,191.7,299.8,224.3,440.7,24.5,320.9,256.4,518.8,466.8,226.0,565.9,459.9,409.7,192.8,263.5,449.9,217.1,556.9,365.9,303.3,346.1,582.0,188.5,180.2
AJ,307.0,0.0,166.6,57.7,481.2,40.7,178.2,492.0,265.8,230.0,229.5,272.9,286.5,228.3,241.5,139.9,283.6,402.4,516.5,180.9,176.9,450.5,88.6,142.2,389.5,96.0,528.4,444.7,79.8,412.2,1378.8,151.7,109.0,512.0,132.0,425.1,24.3,275.7,129.3,530.7,65.1,237.2,125.0,139.0,162.4,410.1,89.8,112.3,50.3,192.6,138.1,89.1,20.3,215.9,106.4,319.4,169.3,113.9,546.0,135.5,188.5,459.4,395.0,418.7,472.8,105.3,100.4,78.2,487.4,134.7,434.1,126.3,74.5,140.9,562.4,280.6,52.7,93.2,454.9,588.1,160.6,564.5,421.3,148.6,99.6,57.1,571.6,97.8,542.9,100.3,96.0,467.8,574.2,187.7,179.4
BG,170.3,179.9,0.0,129.2,399.5,220.7,49.5,401.4,129.1,93.3,169.3,191.2,149.8,89.7,181.3,160.0,146.9,343.2,425.9,165.3,40.2,368.8,100.8,210.5,209.5,108.2,437.8,367.3,97.0,330.5,1466.4,25.9,162.5,436.0,197.0,343.4,208.9,138.4,121.8,449.0,217.5,100.5,119.9,135.6,224.2,308.4,235.5,190.4,118.1,110.9,222.4,185.3,200.3,79.2,71.1,182.7,21.3,174.3,455.4,300.9,276.7,377.7,313.3,359.5,391.1,97.8,116.0,108.4,415.3,196.5,352.4,188.1,193.4,112.5,471.8,143.4,232.7,160.0,364.6,497.5,233.8,482.8,339.6,313.3,81.0,158.0,481.0,79.1,460.7,280.3,196.9,377.2,498.9,184.9,176.6
BK,225.7,163.4,330.1,0.0,565.5,197.3,242.4,407.0,330.0,294.2,175.9,243.8,350.7,154.0,187.9,203.8,347.8,348.8,431.5,145.3,241.1,534.8,196.2,84.4,446.6,203.6,443.4,474.2,143.7,424.0,1515.6,215.9,135.7,563.2,74.2,408.2,187.8,339.9,292.8,581.9,203.7,147.5,188.9,285.8,104.6,314.0,228.4,259.1,213.8,201.8,284.9,235.9,176.9,163.0,170.6,214.1,240.2,140.6,461.0,274.1,157.1,510.6,393.4,365.1,524.0,268.8,182.6,241.7,420.4,76.9,463.6,68.5,238.0,287.7,477.4,250.3,197.7,119.9,453.3,503.1,102.8,602.6,419.7,287.2,176.4,220.6,486.6,161.7,594.1,242.7,259.5,382.8,612.3,111.8,103.5
BT,490.0,601.0,561.3,552.0,0.0,623.2,472.3,253.8,496.8,461.0,440.2,240.0,517.5,446.0,452.2,557.6,514.6,233.5,240.9,460.9,422.3,130.5,535.4,535.4,184.3,542.8,252.8,188.5,519.8,121.3,1262.8,448.7,585.3,77.8,525.2,134.2,618.7,506.7,544.6,96.5,582.1,495.3,542.7,570.2,555.6,222.9,582.1,550.4,552.7,387.9,582.4,553.4,621.4,433.6,493.9,478.4,462.1,590.2,270.4,542.4,608.1,65.9,240.4,249.8,56.0,520.6,520.4,543.0,249.2,527.9,177.9,519.5,601.1,547.1,114.9,511.6,648.7,569.5,300.3,152.8,553.8,135.2,266.7,555.5,515.6,580.8,124.1,501.9,108.7,657.0,580.0,229.6,144.9,516.3,508.0
BU,358.9,51.8,218.5,109.6,533.1,0.0,230.1,547.0,317.7,281.9,281.4,324.8,338.4,280.2,293.1,72.5,335.5,454.3,568.4,232.8,228.8,502.4,153.4,200.6,321.6,146.3,580.3,500.9,131.7,464.1,1338.0,203.6,160.9,569.6,187.1,477.0,87.5,322.8,181.2,582.6,56.4,289.1,176.9,138.5,211.0,462.0,81.1,105.6,102.2,244.5,137.6,88.6,31.4,267.8,158.3,371.3,221.2,172.7,580.3,122.4,181.5,511.3,446.9,470.6,524.7,157.2,152.3,130.1,548.9,186.6,486.0,178.2,126.4,140.4,614.3,332.0,45.7,127.6,498.2,640.0,176.0,616.4,473.2,134.8,141.1,109.0,624.5,149.7,594.3,59.5,113.5,519.7,632.5,239.6,233.7
BV,261.2,224.6,109.5,220.1,424.1,233.0,0.0,434.9,220.0,184.2,260.2,215.8,240.7,182.5,272.2,225.7,237.8,363.6,459.4,256.2,131.1,393.4,144.4,294.9,332.4,134.4,471.3,387.6,187.9,355.1,1455.4,116.8,253.4,454.9,284.7,368.0,226.0,229.9,72.2,473.6,167.9,191.4,210.8,90.0,315.1,353.0,185.9,140.8,200.5,135.5,172.8,135.7,245.0,170.1,162.0,273.6,112.2,258.3,488.9,263.2,367.6,402.3,337.9,379.9,415.7,48.2,188.5,199.3,430.3,287.4,377.0,279.0,206.7,128.5,505.3,234.8,277.4,237.6,397.8,531.0,313.3,507.4,364.2,276.3,113.0,220.7,514.5,170.0,485.8,266.8,162.3,410.7,517.1,275.8,267.5
CE,514.2,628.3,658.7,608.7,158.4,666.0,572.7,0.0,521.0,488.3,467.5,252.1,544.8,530.4,479.2,607.6,541.9,298.0,23.8,488.2,450.8,127.7,564.9,569.2,242.0,570.1,36.3,132.9,576.5,133.4,1323.1,546.2,614.0,161.8,552.6,149.4,654.2,529.2,618.3,174.8,610.6,522.5,581.4,597.5,582.9,216.7,613.1,578.9,576.9,416.4,610.9,626.6,648.7,538.1,547.9,505.7,570.5,625.8,33.2,570.9,632.3,103.5,183.6,311.2,113.8,597.4,595.9,567.2,198.9,552.1,121.1,546.8,625.3,574.4,70.3,535.3,672.9,608.4,268.8,99.6,592.5,195.5,209.9,580.2,530.2,616.4,80.5,559.0,183.4,728.7,650.1,172.8,205.2,543.6,537.7
CG,215.7,277.8,300.1,245.1,430.7,312.0,214.1,272.2,0.0,138.7,235.7,284.1,20.7,128.3,247.4,257.9,192.3,214.0,296.7,160.2,212.8,400.0,204.1,205.6,210.3,211.5,308.6,347.5,212.9,289.2,1569.7,187.6,250.4,434.1,192.1,273.4,306.8,179.6,262.8,447.1,318.4,120.4,217.8,238.9,219.3,179.2,336.4,304.9,221.4,174.8,336.9,287.9,291.6,136.0,217.5,228.1,211.9,262.2,326.2,388.8,271.8,375.8,258.6,230.3,389.2,238.8,229.5,211.7,295.2,191.6,328.8,183.2,291.3,215.8,342.6,189.2,312.4,247.9,336.3,368.7,217.5,467.8,284.9,401.2,184.3,255.9,352.8,208.6,458.8,357.4,294.8,248.0,477.5,180.0,171.7
CJ,76.9,264.1,286.4,231.4,466.5,298.3,200.4,308.0,35.7,0.0,124.9,145.3,56.4,113.3,115.4,219.0,53.5,249.8,332.5,146.5,199.1,435.8,190.4,185.4,405.9,197.8,344.4,375.2,199.2,325.0,1556.0,173.9,236.7,464.2,175.2,309.2,281.8,45.6,249.1,482.9,304.7,106.8,204.1,225.2,205.6,215.0,322.7,291.2,207.7,161.1,323.2,274.2,277.9,122.3,203.8,89.3,198.2,241.6,362.0,375.1,258.1,411.6,294.4,266.1,425.0,225.1,215.8,198.0,321.4,177.9,364.6,169.5,277.6,202.1,378.4,50.5,298.7,220.9,354.3,404.1,203.8,503.6,320.7,388.2,170.6,242.2,387.6,194.9,495.1,343.7,281.1,283.8,513.3,166.3,158.0
