from_stop,AH,AJ,BG,BK,BU,BV,CG,CJ,CK,CN,CO,CP,DA,DQ,DZ,EG,EK,EQ,ER,FF,FM,FQ,GV,HN,HO,HP,IF,JM,KF,KI,KL,KP,KV,LQ,LW,MC,MH,MM,MO,MV,NA,ND,NH,NN,NO,NS,NT,OB,OC,OH,OI,OK,ON,OV,OY,PX,QI,QN,QP,QS,RI,RX,SG,SI,SJ,TC,TD,TT,UD,UJ,UP,UW,UZ,VL,VT,WA,WW,XG,YS,YX,YZ,ZH,ZJ,ZK,ZS
AH,0.0,406.1,168.0,487.8,424.0,186.5,472.3,404.0,98.6,392.8,417.7,419.9,111.7,408.9,200.5,406.8,324.6,453.2,397.2,352.8,497.0,141.6,360.8,518.3,217.6,1530.6,208.7,525.7,386.8,418.1,366.5,143.8,184.1,352.5,406.3,369.8,356.2,416.9,373.1,396.9,348.5,240.5,421.7,275.7,418.0,387.3,495.9,189.2,8.9,416.3,496.6,350.3,374.5,473.7,390.0,114.5,191.3,161.0,315.2,473.2,450.5,254.3,378.4,434.8,217.2,457.7,429.9,455.2,479.5,417.8,464.4,314.1,221.3,374.1,449.5,215.1,445.3,341.2,463.3,308.5,240.6,328.2,448.6,323.2,268.8
AJ,328.9,0.0,317.6,245.3,179.8,299.4,201.2,140.6,342.2,242.5,154.3,210.3,284.1,227.1,334.5,264.2,124.6,220.0,187.6,231.8,233.6,248.7,225.1,254.9,230.8,1738.9,291.0,227.2,243.0,275.5,87.2,309.2,346.7,211.3,197.9,188.0,150.7,222.8,231.7,133.5,205.9,291.9,158.3,209.4,235.0,141.9,268.3,263.6,345.5,181.0,205.3,95.4,163.8,221.4,270.4,328.6,304.3,313.9,133.4,209.8,252.4,302.1,214.6,28.6,312.1,216.4,187.4,191.8,241.7,227.1,202.2,154.0,345.7,110.7,43.3,238.8,199.9,131.4,234.7,272.9,397.1,185.6,213.3,167.9,316.6
BG,385.6,376.3,0.0,446.5,395.4,267.7,422.9,355.9,372.4,224.2,363.2,432.0,353.4,448.8,25.2,269.5,259.8,448.5,409.3,160.1,449.2,322.6,156.0,476.6,339.0,1867.7,259.3,401.6,456.0,257.2,302.8,352.1,321.1,418.9,419.6,403.6,252.1,438.4,237.0,353.5,261.8,240.2,373.9,285.3,456.7,355.8,490.0,225.4,388.4,396.6,408.2,287.3,384.2,450.9,198.7,291.0,265.4,288.3,258.3,425.4,468.0,258.9,167.5,411.1,355.0,432.0,409.1,402.9,452.3,448.8,417.8,385.8,303.4,326.3,419.7,207.1,415.5,353.1,450.3,229.3,353.5,174.3,428.9,269.3,267.3
BK,481.0,209.6,427.5,0.0,203.8,376.9,170.1,187.7,477.3,373.4,172.9,258.4,440.0,331.9,444.4,408.6,278.8,268.1,235.7,309.3,127.9,404.6,302.6,18.0,386.7,1821.9,368.5,51.1,193.9,406.4,236.2,461.3,424.2,316.1,246.0,292.8,307.8,173.7,376.1,194.8,363.0,369.4,206.4,365.3,339.8,191.1,316.4,341.1,497.6,229.1,163.9,251.3,268.6,173.4,347.9,406.1,381.8,391.4,289.3,178.7,203.3,379.6,292.1,238.3,464.2,148.8,124.2,124.8,178.4,331.9,115.9,258.8,423.2,217.8,253.0,316.3,186.5,236.2,282.8,350.4,474.6,334.0,261.4,325.0,394.1
BU,330.3,77.3,304.6,118.3,0.0,340.8,118.8,57.9,347.9,269.9,65.2,109.9,281.3,167.7,335.9,291.6,121.3,126.4,87.2,273.2,151.2,250.1,266.5,172.5,232.2,1776.8,332.4,143.0,209.3,302.9,81.7,310.6,302.9,144.8,97.5,128.6,178.1,134.3,259.1,67.3,208.0,330.9,57.9,210.8,175.6,56.8,167.9,292.4,346.9,80.6,167.8,96.8,104.4,78.8,317.3,358.0,326.7,355.3,129.5,127.4,169.1,343.5,256.0,106.0,313.5,37.0,105.0,104.9,148.2,167.7,119.8,117.8,387.1,69.3,120.7,280.2,20.0,72.0,134.3,314.3,438.5,213.0,112.9,195.3,358.0
BV,160.7,345.8,107.2,352.9,340.5,0.0,386.3,325.7,142.6,196.7,339.4,395.4,121.8,412.2,124.1,327.0,229.3,405.1,372.7,132.6,418.7,105.4,125.9,371.0,121.8,1636.1,78.9,314.1,475.1,229.7,272.3,141.0,103.9,396.4,383.0,373.1,218.5,407.9,294.5,318.6,268.7,71.3,343.4,182.2,420.1,291.0,453.4,61.0,177.3,366.1,331.6,256.8,348.9,378.5,171.2,71.4,61.5,31.2,221.7,394.9,437.5,81.5,115.4,374.5,143.9,371.2,372.5,376.9,426.8,412.2,387.3,339.1,128.1,295.8,389.2,60.3,354.2,316.5,419.8,153.7,156.3,157.3,398.4,235.7,96.0
CG,436.7,180.2,448.7,148.9,133.1,412.5,0.0,131.9,446.6,409.0,124.4,199.6,384.2,284.4,480.0,390.3,220.0,216.1,176.9,344.9,32.3,348.8,338.2,53.6,330.9,1816.2,404.1,86.7,142.0,442.0,180.4,409.3,459.8,283.2,187.2,245.3,276.9,121.8,357.8,139.0,306.7,402.6,147.6,309.5,298.4,179.7,257.6,376.7,445.6,170.3,199.5,195.5,225.9,102.3,389.0,440.2,417.4,427.0,233.5,8.5,154.6,415.2,327.7,208.9,412.2,96.9,72.3,104.3,147.2,284.4,119.2,249.1,458.8,162.0,230.4,354.4,113.9,188.7,224.0,386.0,510.2,369.6,202.6,294.0,429.7
CJ,305.9,106.0,270.9,104.6,112.2,321.5,60.5,0.0,314.2,236.6,6.9,67.6,248.0,152.4,302.6,258.3,90.6,83.7,44.9,204.3,92.9,216.8,212.3,114.2,198.9,1737.0,310.8,147.3,102.6,269.6,48.4,277.3,269.6,144.1,54.8,112.9,144.9,83.1,225.8,8.5,174.7,302.2,15.6,177.5,166.7,85.5,125.6,284.1,314.3,38.3,198.7,63.5,98.5,88.5,247.0,313.0,304.7,352.8,96.2,69.1,116.9,315.2,229.9,134.7,290.7,76.0,46.7,46.6,96.0,152.4,61.8,117.1,365.8,30.0,156.2,272.0,92.7,56.7,93.0,285.6,409.8,190.2,70.6,162.0,329.7
CK,98.2,345.4,196.1,430.0,364.5,246.3,385.9,325.0,0.0,304.9,332.3,395.0,172.8,427.0,227.4,326.6,228.9,411.5,372.3,272.6,418.3,141.6,280.6,439.6,123.7,1628.9,235.6,472.7,404.9,337.9,271.9,52.8,194.4,361.7,382.6,387.9,233.2,407.5,294.1,316.5,170.2,278.6,343.0,181.8,441.3,324.9,453.0,258.1,107.1,365.7,435.9,256.4,353.3,413.9,309.8,224.5,229.5,277.6,224.6,394.5,437.1,291.2,298.2,374.1,73.7,401.1,372.1,376.5,421.4,427.0,386.9,331.0,352.8,295.4,388.8,267.5,384.6,316.1,419.4,353.9,338.9,258.5,398.0,250.3,305.7
CN,204.9,330.4,177.6,415.0,349.5,221.7,370.9,310.0,214.8,0.0,324.0,380.0,152.4,396.8,202.8,311.6,216.9,396.5,357.3,257.6,403.3,117.0,265.6,424.6,106.4,1687.1,211.0,457.7,412.7,33.0,256.9,177.5,169.8,381.0,367.6,357.7,218.1,392.5,279.1,301.5,155.2,254.0,328.0,166.8,410.8,309.9,438.0,241.6,213.8,350.7,420.9,241.4,338.3,398.9,300.3,224.2,193.6,253.0,209.6,379.5,425.3,266.6,283.2,359.1,180.4,386.1,357.1,361.5,411.4,396.8,371.9,346.9,328.2,280.4,380.6,242.9,369.6,301.1,404.4,338.9,338.6,233.0,383.0,235.3,281.1
