from_stop,AC,AD,BF,CJ,CL,CS,CT,DB,DJ,DS,ED,EL,FB,FI,FM,FV,GB,GI,GL,GP,GR,IN,IV,KF,KS,LH,MX,NE,NP,OO,PJ,PT,QL,QP,RC,SI,SO,SR,TC,UE,UO,UU,VC,WB,WL,XT,YB,YC
AC,0.0,301.2,149.6,117.7,167.7,73.2,139.7,129.8,282.3,196.8,96.5,159.4,103.7,188.2,275.4,42.3,209.1,218.1,302.3,173.8,231.2,258.3,225.1,124.8,130.3,329.1,156.4,124.9,56.3,227.7,139.8,133.3,185.6,182.6,215.2,313.6,1669.7,136.1,304.9,165.2,35.2,240.5,252.5,164.7,236.8,160.7,229.7,130.2
AD,373.4,0.0,293.2,256.8,121.7,292.7,339.9,187.6,138.8,90.1,316.1,208.4,264.2,216.1,45.2,302.1,170.9,75.1,132.2,243.0,202.4,122.1,136.4,304.5,179.3,136.9,334.1,368.2,253.3,188.0,188.7,168.4,225.1,291.4,144.8,143.5,1564.0,154.3,112.0,182.4,313.0,165.6,246.6,318.3,126.6,196.1,136.8,315.0
BF,228.8,300.9,0.0,114.4,195.8,92.4,162.3,152.9,279.2,210.9,126.0,127.9,111.9,156.4,291.5,338.4,202.9,227.6,334.5,188.1,217.5,262.5,228.9,205.5,113.3,287.7,322.3,174.2,143.5,208.1,105.5,126.0,185.4,164.3,219.2,286.0,1682.5,171.6,308.9,213.3,207.3,262.5,259.8,25.1,240.8,180.2,220.8,303.2
CJ,150.2,273.0,118.9,0.0,117.8,112.8,173.7,96.1,247.1,143.6,59.2,131.3,57.6,163.5,222.2,76.3,181.0,152.2,249.0,141.7,203.1,230.4,197.0,164.4,102.2,292.4,188.9,164.4,33.1,199.6,112.2,98.1,161.1,167.4,187.1,293.1,1709.3,77.3,276.8,137.1,92.8,212.4,224.4,144.0,208.7,123.4,201.6,164.2
CL,251.7,176.3,175.1,135.1,0.0,164.3,218.1,65.8,105.7,26.7,198.0,90.3,150.3,119.2,104.2,180.4,144.1,32.1,134.4,130.9,96.5,80.8,103.2,182.7,59.0,135.1,224.9,250.0,131.6,146.7,66.9,46.7,71.0,169.6,111.7,144.8,1622.3,32.6,110.9,114.1,194.9,132.4,135.1,200.2,93.5,96.8,107.1,193.3
CS,128.5,297.7,69.7,171.2,177.8,0.0,89.8,128.6,269.4,203.6,162.9,119.6,99.0,146.6,288.8,42.6,203.3,224.4,331.3,173.4,221.2,259.3,225.9,99.9,105.0,275.5,76.0,81.9,106.8,198.3,102.3,116.2,175.6,157.6,209.4,276.2,1644.8,165.4,299.1,177.4,117.4,259.3,242.5,84.8,231.0,177.0,215.1,50.3
CT,161.3,297.0,108.1,105.0,168.9,34.8,0.0,133.6,288.2,195.6,100.3,131.5,167.6,153.9,276.7,78.0,205.8,218.4,303.5,162.7,227.1,265.4,232.0,128.7,116.9,288.2,64.8,110.5,138.2,205.6,103.0,133.1,192.5,174.7,228.2,283.5,1673.6,137.4,317.9,172.1,152.3,247.4,242.3,80.2,243.7,164.5,224.4,39.6
DB,256.0,204.3,127.4,177.5,98.8,120.3,174.1,0.0,154.5,114.3,153.9,42.6,94.1,71.3,195.4,169.6,78.2,131.0,222.4,154.4,134.4,137.8,104.4,138.7,13.5,206.0,168.3,202.4,177.6,107.0,22.9,29.4,88.8,125.6,94.5,233.7,1643.8,78.6,184.2,44.5,237.3,119.8,163.2,152.5,116.1,30.9,109.0,149.2
DJ,356.2,289.9,255.4,245.1,113.5,248.3,302.1,149.8,0.0,82.0,308.0,169.6,226.4,142.7,140.0,294.0,81.3,89.7,67.8,232.0,204.6,16.7,46.8,266.7,141.5,51.4,296.3,330.1,245.2,116.4,150.9,130.6,169.3,253.6,55.2,79.1,1569.4,146.2,29.6,107.5,304.9,94.0,241.3,280.5,37.0,120.5,65.2,277.2
DS,273.5,205.1,200.3,160.3,27.7,199.8,257.0,97.4,79.9,0.0,225.9,115.5,167.0,144.2,78.5,209.2,124.7,16.6,105.3,147.2,135.2,65.7,80.0,229.4,86.4,111.8,241.2,275.2,160.4,129.1,98.5,75.5,98.7,198.5,88.4,116.6,1599.0,64.1,87.6,139.3,220.1,106.7,156.5,225.4,70.2,128.3,80.4,224.8
