from_stop,AR,AZ,BA,BI,BS,CJ,CL,CP,CS,DA,DE,DH,DJ,DS,EC,EZ,FD,FO,FP,FS,GC,GD,GM,GO,GP,HM,IE,IG,IM,IY,JS,KB,LA,LJ,MF,MN,MR,MS,NK,NL,NN,NO,NY,OA,PG,PI,PK,PX,QF,QH,QN,RJ,RQ,RU,SB,SG,SM,SY,TJ,TN,TP,TV,TX,US,VU,WN,WO,XI,XW,YA,ZK,ZP,ZY
AR,0.0,362.9,289.2,123.2,414.6,399.1,416.4,447.0,14.8,333.2,346.7,372.5,166.4,130.1,317.7,433.9,487.5,464.6,480.3,147.7,319.4,286.3,25.1,305.0,322.2,525.9,320.4,65.6,410.5,388.1,481.9,369.9,424.6,429.5,391.2,1886.6,330.4,363.9,336.6,461.8,307.8,439.0,304.5,418.3,229.0,280.7,442.0,318.6,306.5,81.8,327.8,281.4,261.4,178.5,333.4,385.1,356.4,392.8,403.4,256.2,390.0,74.7,323.4,76.1,241.4,331.9,272.3,252.3,206.7,162.1,280.7,67.2,186.6
AZ,324.4,0.0,120.7,264.5,160.9,146.7,304.9,335.5,338.6,218.1,235.5,102.1,290.9,221.0,203.2,322.4,372.1,353.1,361.7,275.3,58.6,63.6,362.8,146.4,250.3,414.4,190.7,330.4,299.0,123.1,359.7,115.6,313.1,180.1,279.7,2004.5,208.2,252.4,143.5,353.2,128.0,328.1,225.5,307.5,372.3,209.4,331.3,210.3,227.5,308.9,252.3,101.3,146.9,249.9,66.0,9.5,102.1,139.8,291.9,370.8,132.1,310.1,324.8,325.9,105.9,204.2,208.8,140.8,139.2,211.4,68.2,315.3,159.6
BA,288.7,193.4,0.0,254.7,147.9,238.1,167.8,245.1,310.6,131.3,144.8,110.7,281.1,207.6,116.4,232.0,285.3,262.7,271.3,261.9,164.4,125.0,321.0,111.2,128.4,324.0,68.8,312.3,208.6,113.7,272.9,102.6,222.7,200.2,189.3,2055.3,121.4,162.0,69.9,259.9,40.5,237.7,103.6,216.4,358.9,86.5,240.1,143.2,96.0,280.9,134.0,101.8,80.4,236.5,171.8,206.5,89.1,231.2,201.5,361.0,122.7,288.4,230.6,304.2,127.3,194.5,122.0,90.5,126.1,239.9,119.1,292.3,146.2
BI,138.9,268.5,187.7,0.0,320.8,305.3,322.0,352.6,160.8,238.8,252.3,278.7,68.0,81.8,223.9,339.5,392.8,370.2,378.8,118.8,225.6,192.2,171.2,250.7,267.9,431.5,249.2,107.5,316.1,286.6,380.4,275.5,330.2,335.1,296.8,1886.6,228.9,269.5,242.8,367.4,213.4,345.2,243.1,323.9,134.6,226.0,347.6,224.2,264.1,82.0,273.5,187.0,167.6,110.7,239.0,281.6,262.0,298.4,309.0,136.7,295.6,83.6,229.5,99.4,147.0,234.1,218.0,157.9,140.8,101.3,186.3,88.8,92.2
BS,320.7,146.6,200.1,335.8,0.0,172.3,255.3,216.5,342.6,212.4,225.9,100.9,362.2,288.7,197.5,203.4,316.2,293.6,246.6,343.5,132.0,125.0,353.0,141.6,171.5,281.0,225.7,344.3,289.7,66.9,303.8,48.5,229.1,68.5,215.6,2023.7,202.5,229.4,124.3,272.8,105.2,244.1,146.7,218.9,440.0,136.1,241.9,96.4,153.5,312.9,177.1,156.2,161.5,317.6,145.4,160.5,57.0,165.4,204.4,442.1,75.9,320.4,269.6,336.2,181.7,262.0,146.4,171.6,207.9,271.9,173.5,324.3,227.3
CJ,349.1,170.9,220.8,356.5,38.9,0.0,258.0,274.8,363.3,233.1,246.6,121.6,382.9,309.4,218.2,261.7,370.7,348.1,267.3,363.7,152.7,144.4,387.5,162.3,179.7,301.7,188.6,365.0,310.4,87.6,358.3,69.2,231.8,29.7,273.9,2026.4,223.2,232.1,145.0,330.2,125.9,246.8,154.9,272.7,460.7,144.3,296.4,277.1,225.4,333.6,185.3,176.9,182.2,338.3,166.1,180.4,77.7,186.1,262.7,462.8,96.6,341.1,290.7,356.9,202.4,266.2,154.6,192.3,227.9,292.6,194.2,345.0,248.0
CL,400.4,248.2,281.8,359.3,217.1,270.3,0.0,61.3,415.2,101.9,82.7,216.9,385.7,312.2,131.8,48.2,112.6,90.0,111.1,366.5,230.0,221.7,425.6,148.1,177.9,163.8,217.8,416.9,94.1,164.9,100.2,164.5,103.1,269.4,30.0,2106.5,121.7,121.4,240.3,72.1,221.2,118.1,153.1,14.6,407.8,144.5,38.3,194.4,200.6,385.7,183.5,257.8,185.0,341.1,243.4,257.7,173.0,263.4,17.7,409.9,173.9,393.0,249.1,336.7,241.1,320.3,152.8,195.1,232.4,344.5,227.6,346.4,250.8
CP,394.1,220.0,257.0,339.7,201.1,245.7,85.9,0.0,416.0,114.2,92.2,192.3,390.7,317.2,118.3,134.2,196.9,176.0,197.1,372.0,199.2,197.1,426.4,123.5,116.5,249.8,160.0,323.7,156.0,140.3,186.2,139.9,41.7,244.8,116.0,2081.9,123.3,60.0,208.5,155.2,196.6,56.7,91.7,100.6,371.4,82.4,124.3,169.8,181.5,321.3,122.1,233.2,190.0,346.1,218.8,233.9,148.4,250.4,103.7,373.5,147.1,314.2,227.5,300.3,240.7,282.6,91.4,200.1,235.7,345.3,203.0,306.7,255.8
CS,119.5,348.1,265.2,157.3,409.0,384.9,401.6,432.2,0.0,314.8,331.9,358.3,151.6,115.3,303.5,419.1,470.7,449.8,458.4,132.9,299.0,271.8,10.3,290.2,307.4,511.1,305.6,51.4,395.7,366.2,460.0,355.1,409.8,414.7,376.4,1871.8,308.5,349.1,315.2,447.0,293.0,424.8,282.6,403.5,214.2,265.5,427.2,303.8,303.6,67.0,313.0,266.6,247.2,163.7,318.6,362.0,341.6,389.6,388.6,234.3,373.0,59.9,296.3,61.3,226.6,317.1,257.5,237.5,191.9,140.2,265.9,52.4,171.8
DA,291.3,242.6,179.8,257.3,235.9,297.4,83.1,113.7,313.2,0.0,13.4,198.7,283.7,210.2,29.9,100.6,153.9,131.3,139.9,264.5,210.0,183.0,323.6,100.4,166.1,192.6,143.0,314.9,77.2,171.9,141.5,171.5,91.3,288.2,57.9,2057.6,19.8,30.6,157.9,128.5,128.5,106.3,141.3,85.0,305.8,75.7,108.7,289.3,98.6,283.5,171.7,179.1,83.0,239.1,231.1,256.5,177.1,290.5,70.1,307.9,180.9,291.0,161.9,234.7,139.1,224.7,67.7,93.1,129.4,242.5,178.4,241.7,148.8
