from_stop,AA,AL,AM,AS,AU,BA,BG,BN,BP,BQ,BV,BW,CP,CR,CT,CV,CW,DU,DZ,EL,EZ,FN,FS,FT,GI,GJ,GN,GP,GR,GU,GX,HD,HE,HP,HX,ID,IF,IM,IU,IX,JA,JE,JJ,JN,JS,JZ,KE,LG,LV,MM,ND,NM,NU,NW,NZ,OL,OP,OS,OT,OV,OX,OY,PK,PO,PX,QN,QQ,QR,QW,RA,RC,RF,RI,RT,RW,RZ,SE,SM,SO,SQ,TB,TD,TE,TI,TJ,TP,TW,TY,UL,UM,UV,VI,VL,VM,VN,VO,VW,WJ,WU,XB,XH,XV,YC,YG,YU,ZB,ZJ,ZR,ZV
AA,0.0,226.9,157.7,363.2,206.5,370.1,135.5,130.2,187.3,606.6,2000.6,529.3,63.8,277.6,68.0,152.3,367.1,406.4,542.5,219.9,191.3,222.4,93.3,684.3,729.8,301.5,542.5,532.8,125.9,533.1,611.4,556.8,729.8,400.4,234.9,469.6,246.9,188.5,143.9,137.6,164.9,266.8,184.1,41.6,448.2,68.7,409.2,248.7,541.9,451.6,373.0,58.3,520.2,417.5,586.5,679.0,629.6,397.9,412.5,558.0,172.2,472.5,566.3,240.1,429.9,564.6,128.3,554.9,244.0,224.3,176.3,330.6,118.1,433.2,98.7,571.1,206.4,158.5,472.4,130.3,396.2,545.9,538.5,114.0,334.6,401.7,120.7,537.8,456.4,342.5,448.8,146.3,650.2,363.5,254.5,96.9,402.1,140.5,341.4,132.8,213.9,460.6,703.8,340.7,373.1,256.9,517.0,280.8,151.4
AL,228.0,0.0,194.5,232.1,203.9,239.0,132.9,152.2,292.8,423.0,1949.4,393.6,223.8,158.3,228.0,187.9,207.0,224.5,411.4,194.1,231.1,110.7,179.3,554.8,598.7,74.5,411.4,401.7,285.9,402.0,480.3,425.7,598.7,173.4,115.6,338.5,244.3,185.9,159.7,220.3,162.3,87.8,138.5,201.6,317.1,228.7,278.1,69.7,410.8,320.5,191.1,200.3,389.1,235.6,455.4,575.6,421.1,237.8,185.5,426.9,104.4,341.4,444.9,75.8,202.9,433.5,183.2,423.8,17.1,163.7,215.3,103.6,208.5,302.1,197.1,440.0,246.2,155.9,245.4,167.5,265.1,414.8,384.2,198.5,107.6,273.4,99.5,406.7,233.8,115.5,266.9,204.0,546.8,232.4,75.5,126.2,271.0,156.6,210.8,86.8,94.6,268.3,572.7,176.4,203.4,254.3,385.9,53.8,256.9
AM,175.3,209.5,0.0,441.7,93.7,448.6,171.2,165.9,294.6,662.3,2027.2,603.2,171.1,260.2,175.3,259.6,416.6,434.1,621.0,107.1,90.5,256.3,182.6,772.0,808.3,284.1,621.0,611.3,233.2,611.6,689.9,635.3,808.3,383.0,217.5,548.1,134.1,75.7,233.2,244.9,52.1,249.4,236.0,148.9,526.7,176.0,487.7,231.3,620.4,530.1,400.7,147.6,595.3,445.2,665.0,785.2,630.7,446.8,395.1,636.5,201.9,443.6,622.0,222.7,412.5,643.1,42.6,633.4,226.6,111.5,74.7,313.2,207.4,511.7,73.2,649.6,105.6,45.7,455.0,219.6,474.7,624.4,593.8,57.9,317.2,480.2,161.9,616.3,443.4,325.1,476.5,253.6,756.4,442.0,237.1,129.5,480.6,229.8,316.7,168.5,196.5,516.3,782.3,323.3,355.7,144.1,595.5,263.4,258.7
AS,354.1,288.2,454.3,0.0,461.8,6.8,392.7,400.1,392.6,241.8,2074.5,212.4,301.1,385.4,334.6,339.2,209.6,302.0,230.2,453.9,490.9,292.1,360.7,373.6,417.5,273.1,230.2,220.5,340.1,220.8,299.1,244.5,417.5,250.5,358.3,157.3,504.1,443.8,341.1,351.8,422.1,317.7,383.2,322.5,135.9,296.7,122.8,299.6,229.6,139.3,215.5,364.4,207.9,290.9,274.2,366.7,239.9,240.4,262.1,245.7,345.1,160.2,283.3,323.7,280.0,252.3,443.0,242.6,266.9,406.4,475.1,261.5,389.9,159.2,404.8,258.8,506.0,415.7,322.5,376.5,83.9,233.6,226.2,420.1,283.5,114.1,347.4,225.5,428.9,268.8,326.3,317.1,337.9,77.1,305.4,374.1,89.8,386.7,339.3,334.7,337.3,224.3,391.5,325.3,303.0,512.2,204.7,315.7,356.7
AU,204.6,295.9,226.7,499.8,0.0,506.7,204.5,199.2,323.9,689.9,1933.4,661.3,200.4,346.6,204.6,288.9,414.7,432.2,679.1,265.7,260.3,295.6,211.9,822.5,768.1,307.4,679.1,669.4,262.5,582.3,663.1,693.4,768.1,381.1,303.9,606.2,315.9,257.5,262.5,274.2,233.9,191.0,275.3,178.2,584.8,205.3,545.8,317.7,678.5,588.2,398.8,176.9,656.8,443.3,723.1,721.1,712.9,445.5,400.3,694.6,241.2,609.1,649.6,309.1,410.6,739.8,197.3,691.5,313.0,293.3,244.5,303.6,236.7,569.8,167.7,707.7,275.4,227.5,453.1,248.9,532.8,721.1,591.9,183.0,333.3,541.1,189.7,674.4,459.5,341.2,474.6,282.9,692.3,500.1,202.3,162.8,538.7,259.1,311.1,201.8,282.9,543.9,742.1,317.7,350.1,325.9,653.6,286.7,288.0
BA,361.0,295.1,461.2,6.8,468.7,0.0,399.6,407.0,399.5,248.7,2081.4,219.3,308.0,392.3,341.5,346.1,300.7,308.9,237.1,460.8,497.8,299.0,367.6,380.5,424.4,364.2,237.1,227.4,347.0,227.7,306.0,251.4,424.4,341.6,365.2,164.2,511.0,450.7,348.0,358.7,429.0,324.6,390.1,329.4,142.8,303.6,129.7,306.5,236.5,146.2,306.6,371.3,214.8,297.8,281.1,373.6,246.8,331.5,353.2,252.6,352.0,167.1,290.2,330.6,371.1,259.2,449.9,249.5,273.8,413.3,482.0,352.6,396.8,166.1,411.7,265.7,512.9,422.6,413.6,383.4,90.8,240.5,233.1,427.0,374.6,121.0,354.3,232.4,435.8,359.9,333.2,324.0,344.8,84.0,312.3,381.0,96.7,393.6,430.4,341.6,344.2,273.6,398.4,416.4,394.1,519.1,211.6,406.8,363.6
BG,182.9,186.7,61.5,418.9,70.9,425.8,0.0,173.5,302.2,609.8,2004.4,580.4,178.7,237.4,182.9,267.2,393.8,411.3,598.2,61.1,98.1,233.5,190.2,741.6,785.5,261.3,598.2,588.5,240.8,588.8,667.1,612.5,785.5,360.2,194.7,525.3,111.3,52.9,240.8,252.5,29.3,226.6,213.2,156.5,503.9,183.6,464.9,208.5,597.6,507.3,377.9,155.2,575.9,422.4,642.2,762.4,607.9,424.6,372.3,613.7,179.1,528.2,629.6,199.9,389.7,620.3,50.2,610.6,203.8,88.7,82.3,290.4,215.0,488.9,80.8,626.8,113.2,22.9,432.2,227.2,451.9,601.6,571.0,65.5,294.4,460.2,164.0,593.5,420.6,302.3,453.7,261.2,733.6,419.2,214.3,137.1,457.8,237.4,293.9,176.1,173.7,523.9,759.5,300.5,332.9,121.3,572.7,240.6,266.3
BN,156.5,157.4,127.6,389.6,137.0,396.5,66.0,0.0,275.8,580.5,2058.9,551.1,152.3,208.1,156.5,186.2,364.5,382.0,568.9,127.2,164.2,157.1,163.8,712.3,756.2,232.0,568.9,559.2,214.4,559.5,637.8,583.2,756.2,330.9,165.4,496.0,177.4,119.0,206.1,218.6,95.4,197.3,136.8,130.1,474.6,157.2,435.6,179.2,568.3,478.0,348.6,128.8,546.6,393.1,612.9,733.1,578.6,395.3,343.0,584.4,102.7,498.9,589.2,170.6,360.4,591.0,116.3,581.3,174.5,154.8,148.4,261.1,188.6,459.6,146.9,597.5,179.3,89.0,402.9,165.8,422.6,572.3,541.7,131.6,265.1,430.9,51.2,564.2,391.3,273.0,424.4,202.3,704.3,389.9,185.0,54.7,428.5,154.9,264.6,63.3,144.4,483.5,730.2,271.2,303.6,187.4,543.4,211.3,239.9
BP,261.8,225.9,276.0,337.6,285.4,344.5,214.4,251.7,0.0,528.5,2117.0,499.1,217.7,323.1,242.3,104.6,341.5,380.8,516.9,298.8,312.6,229.8,182.4,658.7,704.2,227.6,516.9,507.2,279.8,507.5,585.8,531.2,704.2,326.5,296.0,444.0,325.8,267.4,176.0,137.0,243.8,255.4,252.0,230.2,422.6,222.6,383.6,237.3,516.3,426.0,347.4,219.5,491.2,391.9,560.9,653.4,526.6,371.7,338.6,532.4,282.8,339.5,550.4,261.4,356.0,530.9,264.7,529.3,204.6,303.2,296.8,256.7,224.8,407.6,288.7,545.5,327.7,237.4,398.5,190.9,370.6,520.3,512.9,280.0,260.7,376.1,217.6,512.2,386.9,268.6,423.2,120.7,624.6,337.9,243.1,225.7,376.5,208.4,322.7,229.7,275.0,373.8,678.2,329.3,356.5,335.8,491.4,206.9,173.6
BQ,426.6,360.7,526.8,143.4,534.3,150.3,465.2,472.6,465.1,0.0,2052.0,189.9,373.6,457.9,407.1,411.7,282.1,279.5,270.5,526.4,563.4,364.6,433.2,232.2,276.1,345.6,270.5,136.0,412.6,198.3,276.6,284.8,276.1,323.0,430.8,134.8,576.6,516.3,413.6,424.3,494.6,390.2,455.7,395.0,113.4,369.2,187.8,372.1,207.1,116.8,288.0,436.9,185.4,268.4,318.2,308.3,28.6,312.9,334.6,223.2,417.6,137.7,126.8,396.2,352.5,59.0,515.5,220.1,339.4,478.9,547.6,334.0,462.4,122.4,477.3,174.3,578.5,488.2,395.0,449.0,54.3,40.3,203.7,492.6,356.0,125.6,419.9,265.8,406.4,341.3,303.8,389.6,275.5,149.6,377.9,446.6,67.3,459.2,411.8,407.2,409.8,245.9,250.1,397.8,375.5,584.7,182.2,388.2,429.2
BV,2086.3,2001.4,2108.4,2114.9,2157.2,2108.0,2086.2,2080.9,2205.6,2177.8,0.0,2101.2,2082.1,1993.2,2086.3,2170.6,2151.4,2037.1,2079.0,2147.4,2142.0,2080.3,2093.6,2121.0,2149.3,2044.1,2079.0,2107.3,2144.2,1992.7,2073.5,2093.3,2149.3,2117.8,2041.1,2067.0,2197.6,2139.2,2144.2,2155.9,2115.6,1927.7,2157.0,2059.9,2143.9,2087.0,2181.0,1982.4,2118.4,2167.6,2051.4,2058.6,2096.7,2026.0,2069.5,2090.9,2175.9,2182.2,2137.0,2075.6,2122.9,2188.5,2219.3,2049.3,2147.3,2188.3,2079.0,2131.4,2006.3,2089.2,2126.2,2040.3,2118.4,2205.0,2049.4,2145.6,2157.1,2109.2,2189.8,2130.6,2125.1,2169.6,2002.3,2064.7,2070.0,2176.3,2071.4,2074.3,2047.3,2077.9,2061.4,2164.6,2062.1,2135.3,1939.0,2044.5,2119.1,2140.8,2047.8,2083.5,2020.1,2334.7,2051.4,2054.4,2086.8,2207.6,2172.8,2023.4,2169.7
