from_stop,AA,AB,AE,AN,AO,AR,AV,BC,BD,BP,BY,CB,CG,CS,CX,DA,DP,EA,EC,ED,EO,EV,EW,EZ,FG,FX,GM,GR,GS,GT,HH,HO,HV,IC,II,IK,IU,JD,JJ,JP,JQ,JS,JZ,KH,KS,LF,LN,MS,MU,MY,MZ,NA,NJ,NS,NZ,OF,OM,ON,PF,PQ,PS,QJ,QQ,QZ,RB,RK,RN,RR,RT,SO,SU,SW,TJ,TO,UK,UR,VC,VN,WL,XS,YA,YH,YN,ZC,ZE,ZG,ZK,ZM,ZQ,ZS,ZV
AA,0.0,196.0,139.4,95.9,307.4,151.2,138.5,308.2,242.2,329.7,337.2,9.9,149.0,378.6,147.4,14.5,135.0,278.3,101.3,360.1,253.3,241.4,100.4,341.5,127.4,152.8,272.1,185.8,203.0,68.3,237.7,108.0,282.0,322.4,185.8,174.5,322.3,322.9,142.2,70.0,203.9,155.6,337.5,199.3,203.0,244.9,218.4,116.8,116.2,57.7,361.5,134.4,131.6,206.7,136.2,177.8,81.7,29.6,249.3,230.2,267.1,217.4,318.3,126.4,105.8,156.2,108.2,174.8,146.3,155.6,191.5,249.1,2226.6,309.4,130.0,277.8,220.4,91.3,226.5,142.3,276.8,310.1,180.4,38.0,304.9,70.0,155.9,274.5,413.1,303.7,288.5
AB,189.5,0.0,91.1,130.2,157.8,71.5,160.3,158.6,92.6,283.9,182.0,199.5,49.2,213.8,181.7,163.1,167.6,128.7,100.3,222.1,160.9,86.2,190.0,175.2,148.2,56.7,179.7,56.0,15.1,130.2,181.8,140.6,132.4,242.4,56.0,123.1,344.1,173.3,145.4,159.6,7.8,134.6,187.9,147.7,224.8,89.7,170.1,118.0,72.2,123.1,195.2,52.5,164.2,155.1,78.5,129.5,201.0,219.2,169.5,178.6,117.5,165.8,168.7,62.0,198.3,98.5,78.7,95.0,209.4,134.6,171.7,99.5,2077.0,331.2,164.3,173.9,162.4,92.7,146.7,78.9,127.2,160.5,47.5,183.2,160.1,159.6,72.7,194.7,289.9,375.8,138.9
AE,224.5,240.5,0.0,109.3,347.2,181.1,255.9,346.1,280.1,478.4,375.1,234.5,186.9,401.9,162.4,198.1,281.2,306.7,211.7,409.6,354.0,279.3,225.0,458.9,243.8,214.5,372.8,223.7,240.9,188.0,260.5,264.2,319.9,429.9,223.7,218.7,439.7,360.8,157.2,194.6,246.3,170.6,375.4,214.3,320.4,282.8,78.9,231.6,172.1,158.1,478.9,190.3,277.8,221.7,174.1,41.2,236.0,254.2,305.2,240.4,305.0,232.4,356.2,182.3,292.0,191.7,164.1,230.7,279.3,170.6,206.5,293.0,2264.5,426.8,145.0,315.7,235.4,147.2,282.4,212.0,314.7,348.0,218.3,218.2,342.8,194.6,193.8,330.4,547.4,479.7,326.4
AN,115.1,131.1,138.6,0.0,290.5,71.7,146.5,289.4,170.7,369.0,265.7,125.1,77.5,291.9,68.9,88.7,224.5,197.3,110.7,352.9,244.6,169.9,168.3,402.2,134.4,105.1,316.1,114.3,184.2,131.3,167.0,157.3,210.5,320.5,114.3,162.0,330.3,251.4,46.2,85.2,136.9,59.6,266.0,120.8,211.0,226.1,164.9,122.2,115.4,48.7,369.5,133.6,170.6,128.2,64.7,179.9,179.3,144.8,248.5,129.4,248.3,121.4,299.5,72.9,258.5,82.3,54.7,133.7,169.9,64.6,71.2,236.3,2155.1,317.4,34.0,259.0,124.4,37.8,225.7,102.6,205.3,238.6,108.9,108.8,233.4,137.9,84.4,273.7,438.0,423.0,269.7
AO,332.6,159.1,222.8,296.0,0.0,203.2,254.1,36.2,60.9,252.2,166.3,342.6,180.9,182.7,313.4,306.2,299.3,73.4,229.8,190.4,144.8,124.6,333.1,143.5,242.0,188.4,163.6,187.7,174.3,261.9,261.6,280.2,86.6,210.7,187.7,216.9,290.3,121.5,295.1,302.7,167.0,284.3,156.2,309.2,318.6,84.9,301.8,249.7,217.0,266.2,163.5,202.2,295.9,301.6,210.2,264.1,344.1,362.3,294.8,342.4,85.8,322.0,72.2,211.7,330.0,189.9,223.5,244.7,277.5,280.2,321.4,73.8,2025.2,277.4,296.0,14.1,286.9,237.5,272.0,200.2,95.5,89.7,143.3,326.3,128.4,302.7,168.5,238.3,257.0,236.2,34.5
AR,156.9,82.9,45.4,121.4,210.4,0.0,143.4,201.3,135.3,357.9,217.5,166.9,74.4,257.1,130.8,130.5,168.7,161.9,107.6,264.8,196.4,129.7,157.4,217.9,131.3,33.3,223.2,61.3,96.1,128.4,201.4,154.2,175.1,285.1,61.3,106.2,319.2,216.0,133.6,127.0,101.5,138.4,230.6,159.5,207.9,125.2,124.4,119.1,47.6,90.5,237.9,66.4,167.5,166.9,53.6,94.7,168.4,186.6,173.3,177.6,160.2,169.6,219.4,50.4,191.4,71.2,46.1,98.8,166.8,134.3,160.1,156.2,2119.7,314.3,121.4,166.1,174.2,68.1,150.5,22.8,169.9,203.2,73.5,150.6,210.8,135.0,81.3,198.5,434.9,359.2,181.6
AV,142.9,159.4,194.7,148.5,246.5,157.8,0.0,247.3,181.3,222.4,317.8,152.9,129.6,229.6,200.0,136.8,104.8,217.4,84.1,237.9,296.7,222.0,186.6,202.9,21.9,160.3,315.5,124.9,142.1,96.0,290.3,77.8,221.1,247.7,124.9,70.0,183.7,262.0,194.8,156.2,149.8,208.2,203.7,251.9,64.4,225.5,273.7,47.6,186.8,152.8,222.9,205.0,101.4,259.3,89.4,233.1,182.5,172.6,319.9,282.8,206.2,270.0,257.4,197.0,151.1,64.5,178.8,245.4,40.8,208.2,219.8,188.2,2165.7,170.8,182.6,262.6,273.0,161.9,297.1,172.1,215.9,249.2,119.5,155.6,280.0,156.2,95.0,297.4,292.6,229.0,227.6
BC,321.1,164.0,227.7,250.4,42.2,208.1,239.0,0.0,103.2,294.5,130.0,331.1,185.8,224.4,301.9,294.7,304.2,58.3,234.7,232.7,149.7,129.5,321.6,185.8,226.9,193.3,168.5,151.3,179.2,266.8,225.3,289.7,71.5,253.0,151.3,201.8,253.8,85.2,300.0,291.2,171.9,289.2,198.5,272.9,303.5,89.8,306.7,254.6,221.9,254.7,205.8,207.1,300.8,265.3,215.1,269.0,332.6,350.8,258.5,306.1,128.1,285.7,35.9,216.6,334.9,174.8,228.4,249.6,262.4,289.2,304.3,116.1,1988.9,240.9,284.5,56.4,250.6,242.4,235.7,205.1,137.8,53.4,128.2,314.8,170.7,291.2,153.4,202.0,299.3,278.5,39.4
BD,351.7,202.0,252.5,281.0,176.1,232.9,269.6,175.0,0.0,191.2,301.1,361.7,228.6,121.1,332.5,325.3,336.4,135.6,266.9,129.4,265.6,245.4,352.2,82.5,257.5,218.1,284.4,181.9,184.7,299.0,354.0,309.4,148.8,149.7,181.9,141.0,229.3,218.7,327.3,321.8,192.4,336.7,95.2,349.8,334.1,205.7,331.5,286.8,246.7,285.3,102.5,254.6,333.0,358.2,221.9,293.8,363.2,381.4,371.6,375.9,24.8,367.9,185.1,264.1,367.1,205.4,253.2,297.1,293.0,332.6,373.8,12.9,2093.4,216.4,315.1,190.3,364.5,267.2,348.8,229.9,34.5,176.9,158.8,345.4,67.4,321.8,184.0,330.7,197.2,175.2,155.3
BP,303.4,166.5,217.0,235.9,209.7,205.4,174.6,208.6,142.6,0.0,282.2,313.4,193.1,250.6,287.4,277.0,262.0,169.2,216.5,232.7,261.1,186.4,307.1,57.2,162.5,182.6,279.9,146.4,149.2,228.4,300.5,235.0,182.4,195.0,146.4,115.7,38.0,223.3,282.2,276.7,154.6,299.2,139.7,323.4,186.7,189.9,296.0,180.0,211.2,240.2,77.2,223.3,258.6,315.8,176.8,258.3,314.9,333.1,308.2,338.4,167.5,336.2,218.7,232.8,310.7,153.6,217.7,259.6,198.0,299.2,312.9,155.5,2166.1,25.1,270.0,223.9,301.1,231.7,285.4,194.4,177.2,210.5,123.3,297.1,107.1,276.7,148.5,277.2,228.4,176.3,188.9
