from_stop,AG,AO,AS,AY,BL,DA,DB,DJ,DM,DP,DX,EP,EU,EW,FF,FS,GD,GJ,GK,GV,GY,HO,IG,IK,IQ,JD,JH,JQ,JU,KD,KI,MZ,NG,NY,OE,OG,OL,PV,QK,RC,RF,RG,RH,RW,RZ,SP,SS,SU,UN,VQ,VR,WB,WD,XJ,XR,YI,YM,YN,YP,ZD,ZX
AG,0.0,21.6,279.6,274.4,122.1,117.2,346.3,272.8,184.3,229.4,359.3,349.3,196.8,256.5,267.6,94.9,130.7,163.5,2200.4,244.3,214.7,316.2,159.1,364.2,161.7,412.1,408.3,230.3,347.4,277.1,266.1,302.2,58.1,342.0,99.2,377.5,374.4,191.0,348.6,141.4,391.2,3.6,192.2,318.9,370.3,165.0,358.7,335.3,43.5,234.1,132.7,240.4,296.6,103.3,320.9,205.0,113.3,78.9,207.4,201.3,90.2
AO,83.8,0.0,252.3,254.9,94.8,89.9,319.0,245.5,157.0,202.1,332.0,322.0,175.1,237.0,240.3,67.6,103.4,141.8,2178.7,224.8,187.4,288.9,89.5,336.9,134.4,384.8,381.0,195.9,320.1,249.8,268.8,274.9,36.4,314.7,77.5,350.2,347.1,122.8,321.3,114.1,363.9,87.4,121.6,291.6,343.0,137.7,331.4,308.0,16.2,199.7,111.0,213.1,269.3,76.0,293.6,185.5,86.0,51.6,185.7,174.0,68.5
AS,326.5,271.9,0.0,283.9,219.1,160.4,208.4,5.6,151.6,118.2,79.6,95.3,231.3,216.7,10.5,202.7,194.2,243.8,2308.3,253.8,221.8,37.5,209.5,154.4,267.2,81.7,128.6,194.6,67.7,55.6,193.8,134.3,283.0,105.8,324.0,88.5,170.9,177.6,68.6,271.6,153.7,330.1,176.2,74.5,160.5,265.0,220.8,197.4,232.6,187.3,341.6,157.7,80.2,237.7,76.1,219.9,163.8,200.8,253.1,148.6,308.5
AY,296.2,241.6,341.9,0.0,336.5,331.6,406.3,335.1,398.7,355.6,421.6,411.8,387.5,103.2,329.9,309.3,345.1,354.2,2087.1,89.3,339.1,378.5,349.8,434.7,376.1,474.6,470.6,421.0,409.7,347.6,271.6,364.5,277.3,404.3,289.9,432.0,444.9,381.7,410.9,355.8,453.5,299.8,382.9,311.9,440.8,379.4,331.7,307.2,257.9,424.8,287.4,352.8,367.1,317.7,272.3,103.3,327.7,293.3,398.1,415.7,280.9
BL,180.0,96.1,226.2,160.0,0.0,96.5,325.2,217.9,170.2,208.3,304.4,328.2,173.9,142.1,212.8,73.7,109.6,132.9,2225.9,129.9,92.5,262.3,98.6,343.1,72.8,306.5,353.4,213.2,292.5,260.9,173.9,300.1,132.6,287.1,177.5,356.3,359.6,129.2,293.4,52.5,393.1,183.6,127.8,297.8,349.2,42.8,214.5,195.7,82.2,205.9,245.4,219.3,285.5,18.6,155.5,90.6,92.1,57.8,195.7,180.2,162.0
DA,169.5,85.6,163.8,251.9,110.4,0.0,229.0,155.5,74.0,112.1,242.0,232.0,102.3,234.0,149.9,19.6,45.9,61.3,2264.4,221.8,184.4,199.9,47.0,246.9,150.1,244.1,290.6,117.0,230.1,164.7,320.9,237.7,122.1,224.7,167.0,259.8,263.4,33.0,231.0,129.8,297.5,173.1,31.6,201.6,253.0,153.4,241.4,218.0,71.7,109.7,196.7,181.6,189.3,91.7,203.2,182.5,2.7,40.3,124.1,142.5,151.5
DB,286.1,209.0,64.1,257.9,172.6,123.3,0.0,57.3,142.4,59.8,143.8,142.0,172.9,176.3,52.1,143.0,135.8,161.3,2261.4,227.8,190.4,100.7,178.2,156.9,235.8,217.3,192.8,181.3,131.9,69.8,153.4,86.7,245.5,126.5,279.8,154.2,167.1,119.0,133.1,225.2,175.7,289.7,117.8,16.1,163.0,218.6,161.2,137.8,195.1,185.1,301.2,129.3,89.3,191.3,36.1,188.5,151.9,163.3,183.5,90.2,235.1
DJ,320.8,266.2,6.7,278.2,213.3,155.1,190.9,0.0,138.9,112.5,86.4,102.1,225.6,211.0,4.8,197.0,188.5,198.7,2265.9,248.1,216.1,43.3,200.9,136.9,261.5,159.9,135.4,177.8,74.5,45.0,188.1,29.3,277.3,69.1,314.5,96.8,147.1,171.7,75.7,265.9,118.3,324.4,170.5,68.8,143.0,259.3,203.3,179.9,226.9,181.6,335.9,152.0,64.5,232.0,70.8,214.2,157.5,195.1,236.2,142.9,305.5
DM,172.7,184.7,308.2,354.5,209.5,112.1,283.9,315.2,0.0,160.0,357.7,373.4,52.0,336.6,320.1,129.3,144.0,67.4,2350.5,324.4,275.5,315.6,112.5,387.1,249.2,359.8,403.8,42.9,345.8,311.2,352.5,412.4,221.2,385.4,170.2,368.1,390.3,85.3,377.8,228.9,425.5,176.3,86.7,341.8,393.2,252.5,296.3,272.9,170.8,42.6,264.3,236.5,325.8,197.1,343.4,285.1,107.9,142.0,71.3,197.4,136.6
DP,268.3,213.7,258.3,198.0,112.7,96.3,325.0,251.5,170.0,0.0,338.0,328.0,167.8,180.1,246.3,114.4,75.9,130.1,2263.9,167.9,130.5,294.9,121.2,342.9,175.9,340.6,387.0,212.4,326.1,260.7,211.9,280.2,205.6,320.7,265.8,356.2,353.1,161.8,327.0,165.3,392.9,271.9,163.2,297.6,349.0,158.7,252.5,233.7,155.2,205.1,283.4,69.4,272.7,131.4,193.1,128.6,92.8,123.4,185.8,30.3,196.7
